"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","4","      Financial","A1100C1",29.4,34.6,36.5,42.1,60.9,83.6,80.4,83.6,94.5,118.7,167,226,330.9,369,331.3,380,392.6,383.1,416.7,486.8,611.8,590.6,497.3,397.1,366,422.7,540.9,557.5,623.6,726.1,774.8,988.1,901.2,612.2,522.2,646.9,989.5,1463.3,1728.9,1310.1,748.4,592,572,529.9,445.1,431.5
"13","5","        On deposits \2\","B1305C1",20.1,21.8,25.5,29.7,38.3,49.2,51.1,55.4,62.7,74.5,95.4,125.2,173.2,187.3,175.1,203.6,200.3,186.7,176.3,195.5,228.6,222.7,192.8,129.4,99,96.7,126.4,131.6,139.7,146.2,142,173.1,161,108,82.4,77.5,123.9,194.3,239.4,165.7,110.7,71.8,54.6,42.3,34.2,30.6
"14","6","        On other liabilities","B1306C1",9.2,12.8,11,12.4,22.6,34.4,29.3,28.2,31.8,44.2,71.6,100.8,157.6,181.7,156.1,176.3,192.3,196.4,240.4,291.3,383.2,368,304.6,267.6,267,326,414.5,426,483.9,579.9,632.7,815.1,740.2,504.2,439.8,569.4,865.6,1269.1,1489.4,1144.4,637.8,520.1,517.5,487.6,411,400.9
"15","7","      Nonfinancial","B1101C1",25,30.7,31.7,34.2,43.3,55.5,56,57,64.3,78.8,103,132.6,171.1,183.9,174.7,202.7,219.3,234.7,243.2,279.3,337.2,346.3,334.2,292.1,272.6,289.6,330.4,349.8,384.7,400.2,433.7,509.8,497,439.2,415,416.6,480.5,561.5,649.3,594.1,495.9,462.2,457.5,459.6,448.7,450
"16","8","    Sole proprietorships and partnerships","A2064C1",7.4,8.7,10,11.8,14.7,18.4,20.2,21.9,24.4,29,38.2,48.8,62,70.7,74,87.2,95.4,101.5,95.4,106.9,124.1,121.3,114.3,103.3,102.6,112.5,121.2,129.2,145.4,167.4,171.2,206.9,216.2,182.1,181.6,196.5,277.2,353.7,441,388.1,287.7,274.4,266.5,273.2,269.2,270
"17","9","      Farm","B1103C1",2.5,2.8,2.9,3.2,3.7,4.6,5.1,5.9,6.8,8.2,10.4,13,15.8,17.3,17,16.7,15.4,13.4,12.1,11.1,10.5,9.9,8.9,8.4,8,8.7,9,9.4,9.5,9.5,9.5,9.9,8.9,8.6,7.3,6.9,8.5,9.5,9.8,10.4,10.1,9.8,9.4,10.6,11.2,11.1
"18","10","      Nonfarm","B1102C1",4.9,5.9,7.1,8.6,11,13.9,15.1,16,17.6,20.8,27.7,35.9,46.2,53.4,57,70.5,79.9,88.2,83.2,95.8,113.7,111.4,105.4,94.9,94.6,103.8,112.2,119.8,135.9,157.9,161.7,197,207.2,173.5,174.3,189.6,268.7,344.2,431.3,377.7,277.7,264.6,257.1,262.5,258.1,258.9
"19","11","    Other private business","A2065C1",5.5,6.1,6.8,7.5,8.6,9.8,11.1,12.2,13.6,15.1,17.1,19.5,21.8,23.3,24.5,27.4,30.9,34.9,37.4,40.3,43.8,45.3,45.9,41.8,37,35,34.5,33.5,33.3,33.3,34.3,36.6,36.9,36.6,35.8,36.6,39.8,43.3,47.6,51,49.9,47.2,45.8,45.3,44.9,46.7
"20","12","      Rental income of persons","B1130C1",5.4,6,6.6,7.4,8.4,9.5,10.5,11.5,12.6,13.9,15.5,17.2,18.8,20.3,21.5,24.7,28.7,32.7,35.4,38.2,41.3,42.9,43.7,39.8,35.1,33.1,33.1,32.2,32.1,32,33.1,35.3,35.7,35.4,34.6,35.5,38.7,42.2,46.5,49.9,48.8,46.1,44.7,44.2,43.8,45.6
"21","13","      Proprietors' income","B2631C1",0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.8,1,1.2,1.7,2.3,3,3,3,2.7,2.3,2.1,2,2.1,2.5,2.4,2.2,2,1.9,1.9,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
"22","14","  Households and nonprofit institutions","W291RC1",31.7,34.3,37.5,42.3,48.8,54.5,58.5,65.7,76.8,92.9,112.2,134.4,155.8,177,193.2,221.2,248.6,271.6,282.9,301,330.6,350.8,358.6,357.3,354.7,364.8,407.6,435.3,465.8,490.4,516.8,576.1,602.7,595.3,585.6,602.3,679.3,768,848,833.1,769.3,708.2,661.5,635.6,613.8,620
"23","15","    Households","W292RC1",31.1,33.5,36.7,41.4,47.7,53.2,57.1,64.1,75.2,90.8,109.5,131,151.5,171.8,187.1,213.1,240.7,262.5,273.4,290.3,318.9,339,346.3,344.5,339.9,351,392.8,419.6,449.4,473.4,499.5,558.5,585.1,578.1,568.9,586.3,663.8,752.6,832.8,818.2,755.1,694.8,648.9,623.6,601.8,608
"24","16","      Owner-occupied housing","W498RC1",15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.4,160.5,171.6,183.8,199.9,214.4,220.1,222.2,219.4,223.6,243.9,252.9,268.7,280.9,299.6,330.2,351.2,354.8,348.7,353.3,402.9,463.5,510.9,513.8,467.8,425,389.6,362.7,334.2,326.7
"25","17","      Persons \3\","W293RC1",15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,53.3,60.8,67.2,72,83.2,95.3,102,101.8,106.5,119,124.5,126.2,122.3,120.5,127.4,148.9,166.7,180.7,192.5,199.9,228.3,233.9,223.3,220.2,233,260.8,289.1,321.8,304.4,287.3,269.8,259.2,260.9,267.6,281.3
"26","18","    Nonprofit institutions","W319RC1",0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,17.2,16.6,16,15.5,15.3,15.2,14.9,14.2,13.4,12.6,12,12,12
"27","19","  Government","W500RC1",20.7,23.4,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,211.5,226.1,236.5,253.7,276.9,297.8,314.6,316.3,318.1,327.1,358.3,368.1,373.7,375.3,362,366.3,344.5,317.5,305.4,313.2,352.6,383.5,425.3,410.8,373,402.9,450,438.2,413.8,432.7
"28","20","    Federal","Y669RC1",15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,253.4,261.3,290.4,297.3,300,298.8,282.7,283.3,258.6,229.1,213.5,220.9,257.5,280.7,314.6,294.2,253.8,281.3,326.5,317.9,294.8,312.2
"29","21","    State and local","W497RC1",4.8,5.6,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,42.1,48,51.9,54.4,57.6,60.4,63.7,65,64.7,65.7,67.9,70.9,73.7,76.4,79.3,83.1,85.9,88.4,91.9,92.3,95.1,102.8,110.8,116.7,119.2,121.7,123.5,120.3,119,120.6
"30","22","  Rest of the world","W290RC1",3.7,4.1,4.1,4.4,6,9.5,9.9,11.5,13.7,18,27.5,37.5,57.1,65.2,60.7,76,65.5,61.2,62.7,78.9,100.4,105.9,90.5,70.8,63.6,76.5,98.8,103.6,121.1,135.7,137.8,172.7,133.8,101.5,96.4,112.6,184,279.5,353.3,261,136.3,122.4,136.9,139,144.9,152.1
"31","23","    To business and persons","B1132C1",2.7,3.2,3.2,3.5,5,8.5,8.8,10.2,12.1,16.2,25.2,35,53.9,61.6,56.2,71,59.8,54.6,56.9,71.6,94.8,97.4,84.7,65.7,59.7,73.3,94.9,99.5,117.9,132.6,134.9,169.2,130.6,98.5,91.9,109.7,181.5,277.2,351.3,259.1,135,121.2,135.3,137.5,143.7,151
"32","24","    To government","Y711RC1",0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.3,1.6,1.8,2.2,2.5,3.1,3.6,4.6,5,5.7,6.7,5.8,7.3,5.6,8.5,5.9,5.1,3.9,3.2,3.9,4.1,3.2,3.2,2.9,3.6,3.2,3,4.5,2.8,2.6,2.3,2,1.9,1.2,1.2,1.6,1.5,1.3,1.1
"33","25","Monetary interest received","A2068C1",123.4,141.8,151,168.6,213.5,267,276.1,298.2,338.1,412.8,537.9,687.8,915.4,1028.1,1015.3,1181.9,1263.8,1313.1,1374.8,1546.9,1824.8,1858.1,1755.5,1578.6,1514.6,1628.2,1891.6,1976.9,2147.5,2328.4,2430.6,2856.5,2732.1,2284.4,2142,2324.6,3002.9,3852.8,4493.4,3848.3,2860.5,2609.4,2590.3,2520.7,2380.4,2403
"34","26","  Domestic business \1\","A2069C1",76.2,87.8,93.5,105.7,136.8,172.8,177.2,191.8,214.1,263.2,343.3,436.6,582.7,645.4,638.4,722.7,793.4,827,887.7,1009.2,1195,1212.5,1156.4,1042.6,1012.4,1106.3,1304.8,1361.4,1492.1,1596.9,1705.6,2018.7,1917.5,1605.8,1502,1715.7,2169,2771.2,3196.8,2682.2,1967.3,1812.7,1787.9,1685.9,1590.5,1599.9
"35","27","    Corporate business","A2070C1",75.5,87.1,92.6,104.5,135.7,171.5,175.7,190.4,212.8,261.3,340,430.6,574.6,638.1,630.7,716.1,785.2,818.3,881.2,1000.1,1185.7,1202.3,1146,1034.2,1003.1,1094.6,1283.6,1338.4,1463.7,1561.6,1662.1,1959.2,1855.4,1553.9,1447.4,1646.2,2064.1,2617.6,2982.3,2476.9,1820,1659.5,1643.9,1547.3,1459.4,1477.7
"36","28","      Financial \4\","B1134C1",68.2,78.6,84,94.9,121.4,152.3,156.5,169,188.1,229.5,294.5,369.8,491.4,552.1,547.3,618.2,675.8,702.9,764.4,866.3,1024,1036,981.2,885.1,864.9,944.1,1110.4,1143,1248.1,1355.7,1442.7,1697.8,1610.4,1334.9,1239.9,1425.1,1799.8,2292.4,2633.3,2204.2,1631.3,1506,1489.4,1406.5,1329.9,1333.6
"37","29","      Nonfinancial","B1135C1",7.3,8.5,8.7,9.6,14.3,19.2,19.2,21.3,24.7,31.8,45.5,60.8,83.2,86,83.4,97.9,109.4,115.5,116.8,133.8,161.7,166.3,164.8,149.2,138.2,150.5,173.2,195.4,215.6,205.8,219.4,261.4,245.1,218.9,207.5,221.1,264.3,325.3,349,272.6,188.7,153.5,154.5,140.8,129.5,144.1
"38","30","    Financial sole proprietorships and partnerships \5\","B1136C1",0.7,0.7,0.8,1.1,1.1,1.3,1.4,1.3,1.2,1.7,3.1,5.7,7.8,7,7.5,6.3,8,8.4,6.3,8.9,9.1,9.9,10.2,8.2,9.2,11.6,21.2,22.9,28.4,35.3,43.5,59.5,62,51.9,54.6,69.5,104.9,153.5,214.5,205.3,147.3,153.2,143.9,138.6,131.1,122.2
"39","31","    Other private business","B1137C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","32","  Persons \5\","B1138C1",38.9,44.5,48.4,52.5,61.8,74,78.3,85.8,100.6,114.7,142.2,183,240.7,275.4,268.4,324.7,328.4,334.1,326,350.1,408.6,417,385.3,353.4,327.7,327.8,354.4,366.1,373,432.9,413.2,466.2,476.1,394.7,377.3,312.3,428.7,518.2,605.7,576.3,466,400.2,414.5,458.7,416,432.2
"41","33","  Government","A2071C1",4.6,5.3,5.4,5.8,7.7,10.1,10.8,11.1,12.9,18.1,25.4,33.1,42.4,49.1,54,62.6,70.2,75.5,73.6,79.7,84,87.2,84.3,77,74.8,73.9,79.8,85.5,87.8,87.3,89.9,99.7,94.6,80.7,75.6,77.6,88.5,107.5,120.3,105.1,92.6,93.6,87,75.6,75.5,76.3
"42","34","    Federal","B1139C1",1.9,2,2,2,2.1,2.4,2.9,3.5,4.1,6.2,8.4,10.8,14.4,17.4,19.6,22.3,24.5,27.1,24.2,26.6,25.1,26,24.6,21.1,22,19.4,20.2,21.9,20.3,16.8,16,18.3,17.8,14.8,16.1,16.5,17.2,18.6,21.9,19.4,22.6,29.3,27.5,21.1,22.5,23.2
"43","35","    State and local","B1140C1",2.8,3.3,3.4,3.8,5.5,7.7,7.9,7.6,8.7,11.9,17.1,22.2,28,31.6,34.4,40.3,45.7,48.4,49.4,53.1,58.9,61.2,59.7,55.9,52.8,54.5,59.6,63.5,67.5,70.5,73.9,81.5,76.8,65.9,59.4,61.1,71.3,88.9,98.4,85.7,70,64.3,59.6,54.6,53,53.1
"44","36","  Rest of the world","A2072C1",3.6,4.2,3.7,4.6,7.3,10.1,9.8,9.5,10.6,16.9,27,35.2,49.5,58.2,54.5,72,71.8,76.7,87.5,107.9,137.2,141.4,129.4,105.6,99.8,120.3,152.6,164,194.5,211.2,221.9,271.9,244,203.2,187.1,219,316.8,455.9,570.6,484.7,334.6,302.9,300.8,300.4,298.4,294.6
"45","37","    From business","B1141C1",2.8,3.2,2,2.1,3.6,6,5.4,5.2,5.3,8.6,16.4,23.3,33.3,40.2,36.4,51.9,49.7,53.3,63.4,79.2,102.7,105.3,93.3,71.3,65.6,83.9,105.5,107.2,124.8,139.1,155.1,207.5,186.9,153.9,139.7,164.2,248.8,370,471.6,384.7,243.3,208,200.8,201.7,199.2,198.1
"46","38","    From government","Y712RC1",0.8,0.9,1.8,2.6,3.7,4,4.3,4.3,5.2,8.2,10.6,11.9,16.3,18,18.1,20.2,22.2,23.3,24.1,28.8,34.5,36.1,36.1,34.3,34.2,36.4,47.1,56.8,69.7,72.1,66.7,64.4,57.1,49.3,47.4,54.8,68,85.9,99,100,91.4,94.9,100,98.7,99.2,96.6
"47",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","39","Total imputed interest paid (41+76)","W294RC1",49.3,64.9,75.3,82.5,84.3,96,133.5,127.9,139.6,151.4,144.4,161.1,174.7,237,314.7,313,358.7,398.3,427.9,445.5,465.8,486.2,498.6,528.9,547.1,555.3,586.5,578.6,604.9,593,593.9,619.9,642.6,682.2,712.3,728.9,740.7,760.7,790.6,879,946.1,931.6,952.3,968.2,980.5,971.8
"49","40","Total imputed interest received (54+95)","W295RC1",49.3,64.9,75.3,82.5,84.3,96,133.5,127.9,139.6,151.4,144.4,161.1,174.7,237,314.7,313,358.7,398.3,427.9,445.5,465.8,486.1,498.6,528.9,547.1,555.3,586.5,578.6,604.9,593,593.9,619.9,642.6,682.2,712.3,728.9,740.7,760.7,790.6,879,946.1,931.6,952.3,968.2,980.5,971.8
"50",NA,"Depositor, insurance, and pension services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","41","  Imputed interest paid","A2073C1",57.1,72.1,80.9,88.9,95.4,109.6,137.2,139.1,154.2,173.9,179,204.7,228.3,274.4,330.3,344.7,380.4,416.7,447.3,469,494.6,517.6,529,558.7,578.2,590.7,624.9,623.1,657.5,654,663.7,701.8,726.6,764.3,796.8,818.1,842.8,883.4,934.1,1018.1,1068.2,1054.8,1073,1102,1130.9,1133.6
"52","42","    Domestic corporate business","Y665RC1",43.3,54.1,60.7,66.4,71.3,83,108,108.9,120.5,134,137,160.6,182.3,226.5,280.7,294.9,330.8,366,397,418.8,438.4,463.3,470.3,492.9,510.9,523.1,552.1,556.9,593.2,599.3,612.4,658.2,669.1,688.8,688,707.4,734.3,766.4,820.6,902.7,887.6,875.4,897.2,904.9,916,931.9
"53","43","      Financial","W353RC1",42.6,53.1,59.6,65.2,69.6,80.7,104.3,105.1,116.2,131,135.6,156.7,176.9,221,274.8,286.8,330.8,363,388.7,406.7,430.8,450.5,463.1,485,505.8,519,554.3,561.5,603.1,609.9,626.3,664.8,660.6,668.4,683.6,702.4,733.4,771.9,822.8,866.5,862,854.1,872.9,886,908,929.4
"54","44","        Banks, credit agencies, and investment companies","B1310C1",13.8,17.6,20.1,21.6,21.5,26,40.6,35.7,37.7,41.2,38.8,37.9,36.3,57.1,90.2,80.8,107,110.6,110.6,112.4,109.6,105.4,105.6,120.2,132.4,142,145.2,150.4,161.2,170,178.3,190.4,184,190.5,196.8,211.8,226.3,227.7,240.2,242,221.9,231.3,235.6,231.5,246.1,271.9
"55","45","        Life insurance carriers","B1311C1",8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,19.2,22.2,22.5,30.6,37,43,49.8,58.3,67.5,76.8,86.3,91.9,103.6,112.3,118.1,120.3,128.9,121.2,142.9,147.1,172.8,178.1,188.4,212,195.6,172.5,171.4,177.5,196.1,227.4,255.2,251,238.1,235.2,242.2,248.9,258.6,264.3
"56","46","        Property and casualty insurance companies","W354RC1",0.9,1.1,1.4,1.5,1.6,1.8,2.2,2.7,3.4,4,4.5,5.1,5.8,6.5,7.6,9.1,12.2,17.2,19.2,19.7,20.6,21.8,22.7,23.2,25.9,27.3,26.4,26.7,26.8,27.2,27.5,29.4,31.1,33.1,34.2,33.2,31.6,32,31.5,34.3,27.6,24.1,25.7,27.2,27.7,31.4
"57","47","        Employee pension plans \6\","Y698RC1",19.8,25.7,28.8,32.1,35.2,39.9,46.7,50.4,55.7,63.5,69.8,82.9,97.6,114.2,127,138.2,144,158.3,172.3,182.1,196.6,210.4,216.3,220.9,218.5,228.3,240,237.8,243.4,235.8,233.6,233.8,249.1,270.5,281.1,279.9,279,285,296.1,335.5,371.4,360.9,366.3,375.5,374.1,361.4
"58","48","        Other \7\","Y666RC1",0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0,0.1,0.4,0.6,0.4,0.6,0.3,0.4,0.2,0.2,-0.3,-0.6,-1.1,-1.2,-1.6,-0.8,0.8,1.8,0.2,0.1,0.3,-0.1,-0.1,3.8,2.9,2.6,3.2,3,1.4,0.4
"59","49","      Nonfinancial \8\","Y667RC1",0.7,1.1,1.1,1.2,1.7,2.3,3.7,3.8,4.3,3,1.4,3.9,5.4,5.4,5.9,8.2,0,2.9,8.3,12.1,7.6,12.8,7.2,7.9,5.1,4,-2.1,-4.6,-9.9,-10.6,-13.9,-6.7,8.5,20.3,4.3,5,0.8,-5.5,-2.2,36.2,25.6,21.2,24.3,18.8,8,2.5
"60","50","    Government \8\","Y668RC1",13.8,18,20.2,22.5,24.2,26.6,29.2,30.2,33.7,39.9,42,44.1,46,48,49.6,49.7,49.6,50,49.4,49.4,55.2,53.2,57.5,64.4,65.8,65.8,70.9,64.5,62.4,52,48.3,39.9,52.6,69.9,102.8,103.8,104.1,109.6,105.2,105,170.3,170.7,167.5,187.4,204.4,191.1
"61","51","      Federal","Y282RC1",11.6,15.6,17.3,18.9,20.5,22,23.5,25.1,28.1,33.8,35.8,37.8,39.5,40.9,42.4,43.5,44.3,46,47.7,48.6,50.3,51.6,53.4,55.6,58.1,59.5,61.9,62.7,65.6,66.7,69.5,70.5,72.6,73.6,79.1,85.2,86.9,91.6,93.7,93.8,99.8,99.3,99.1,105,121.3,127.9
"62","52","      State and local","Y315RC1",2.2,2.4,2.9,3.6,3.7,4.6,5.7,5,5.5,6.1,6.2,6.2,6.4,7.1,7.2,6.2,5.3,4,1.7,0.8,4.9,1.6,4.1,8.8,7.7,6.3,8.9,1.7,-3.2,-14.7,-21.2,-30.6,-20,-3.7,23.7,18.6,17.2,17.9,11.5,11.2,70.4,71.4,68.3,82.4,83.1,63.2
"63","53","    Rest of the world","W355RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7.4,8.3,10.4,10.3,8.7,8.2,9.8,10.5,10.6
"64","54","  Imputed interest received","A2074C1",57.1,72.1,80.9,88.9,95.4,109.6,137.2,139.1,154.2,173.9,179,204.7,228.3,274.4,330.3,344.7,380.4,416.7,447.3,469,494.6,517.6,529,558.7,578.2,590.7,624.9,623.1,657.5,654,663.7,701.8,726.6,764.3,796.8,818.1,842.8,883.4,934.1,1018.1,1068.2,1054.8,1073,1102,1130.9,1133.6
"65","55","    Domestic business \1\","A2075C1",19.8,25.8,29.1,31.8,33.4,37.9,48.2,46.8,51.4,57.4,57.2,63.4,68.1,82,90.5,88.5,81.5,89.2,95.4,99.5,99.1,103.2,99.8,108.8,110.4,111,109.8,102.2,97.2,87.5,81.1,84.8,119.8,155.8,173.7,175.8,170.4,172.8,175.6,218.1,256.2,245.9,240.5,256.5,261.2,248.3
"66","56","      Corporate business","A2076C1",18.6,24.3,27.5,30,31.9,36.1,45.2,44.6,49.1,54.6,54.3,60.2,64.5,73.7,80.1,80,73.1,80.2,86.6,90.7,90.1,95,92.2,100.9,101.3,101.1,98.8,90.3,84.5,73.8,66.9,69.3,103.9,139.5,156,157.5,151.3,152.6,157,203.8,246.3,237.2,231.2,245.5,251.3,235.7
"67","57","        Financial","B1143C1",15.8,20.8,23.3,25.5,27.8,31.2,36.4,37.2,41.4,46.8,47.5,52.1,56.1,60.3,63.4,64.8,58.9,63.2,68.9,73.1,72.8,78.3,76.5,84.8,83.4,80.9,77.6,68.4,62.3,51.2,43.9,44.2,78.5,112.3,127.1,126.7,118.7,120.3,126.6,173.6,220.4,213.2,209.4,224,228.6,211
"68","58","        Nonfinancial","B1144C1",2.8,3.5,4.2,4.5,4.2,5,8.9,7.4,7.8,7.8,6.8,8,8.4,13.4,16.8,15.2,14.2,17,17.7,17.7,17.3,16.7,15.8,16.1,17.9,20.2,21.3,21.9,22.2,22.6,23,25.1,25.4,27.2,28.9,30.8,32.6,32.3,30.4,30.1,25.9,24,21.7,21.5,22.7,24.7
"69","59","      Sole proprietorships and partnerships","A2077C1",1.1,1.4,1.6,1.8,1.5,1.7,2.9,2.2,2.2,2.7,2.9,3.1,3.5,8.2,10.2,8.4,8.2,8.8,8.5,8.5,8.8,8,7.3,7.7,8.8,9.7,10.7,11.5,12.6,13.6,14,15.3,15.5,15.9,17.1,17.7,18.6,19.7,18.2,13.8,9.5,8.3,9,10.6,9.5,12.1
"70","60","        Farm","B1146C1",0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.6,0.6,0.6,0.5,0.4,0.4,1,1,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,1,0.9,0.6,0.4,0.3,0.3,0.5,0.4,0.5
"71","61","        Nonfarm","B1145C1",0.9,1.1,1.2,1.3,1.1,1.3,2.1,1.6,1.7,2.1,2.4,2.7,3,7.2,9.2,7.7,7.6,8.3,8.1,8.1,8.4,7.6,6.9,7.3,8.3,9.2,10.1,10.8,11.7,12.6,13.1,14.5,14.6,15,16.2,16.8,17.7,18.7,17.3,13.2,9.1,8,8.6,10.2,9.1,11.6
