"","Table 3#4# Personal Current Tax Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","    Declarations and settlements \2\","PTN1001",27.4,26,24.3,25.8,27.3,31.7,34.9,36.7,42.8,48.3,56.4,64.6,77.8,86.3,81.9,82.7,98.9,104.2,139.4,129.6,151.6,148.5,142.9,148.3,148.6,156.3,174.8,208.9,248.3,282.7,304.9,354.5,344.4,280.7,232.2,241.5,313.2,383.8,425.3,512.4,304.8,311.1,374.5,351,446.4,481.4
"13","6","    Less: Refunds","PTN2001",10.2,13.4,14.5,14.3,22.2,24,34.4,27.5,29.5,32.1,33.9,43.7,47.7,55.2,60.8,64.8,66.7,72.1,72.9,72.3,70.2,73.5,80.2,79.8,75.6,77.1,85.9,89.3,93.8,100,125.2,134.1,148.8,181.5,178.9,186.9,180.4,196.4,206.8,286.3,273.4,252.9,232.2,238.9,229.1,232.7
"14","7","  Other taxes \3\","B035RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","State and local","W071RC1",12.8,14.2,15.9,20.9,22.8,24.5,26.9,31.1,35.4,40.5,44,48.9,54.6,59.1,66.1,76,81.4,87.2,96.6,102.1,114.6,122.6,125.3,135.3,141.1,148,158.1,168.7,182,201.2,214.5,236.7,243,221.9,226.8,247.4,276.4,302.5,323.5,333.5,287.8,297.6,324.1,346.7,372.2,383.3
"16","9","  Income taxes","B245RC1",9.8,10.9,12.4,17.2,18.9,20.4,22.5,26.3,30.4,35,38.2,42.6,47.9,51.9,58.3,67.5,72.1,77.4,86,90.6,102.3,109.6,111.7,120.4,126.2,132.2,141.7,152.3,164.7,183,195.5,217.4,223.3,201.3,204.7,223.6,251.5,276.2,296.4,307,259.5,267.1,292.9,314.3,339.2,349.9
"17","10","  Motor vehicle licenses","S210301",1.9,2.1,2.2,2.4,2.6,2.7,2.8,3.1,3.3,3.6,3.7,4,4.2,4.6,4.9,5.3,5.9,6.3,6.8,7.3,7.8,8.1,8.4,9.2,8.9,9.2,9.7,9.3,9.9,10.4,10.8,11.4,11.3,11.9,12.7,13.7,14,14.7,15,14.9,15.4,16.3,17,17.8,17.9,18.2
"18","11","  Property taxes","S210401",0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.3,2.5,2.8,3,3.2,3.7,3.6,4.1,4.2,4.5,4.6,4.8,5.1,4.8,5.1,5.2,5.8,5.7,6.2,6.6,6.9,7,7.4,7.5,7.3,7.3,7.6,7.7
"19","12","  Other taxes \4\","S210501",0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1.1,1.2,1.3,1.4,1.6,1.6,1.4,1.6,1.7,1.8,1.9,2,2.1,2.3,2.5,2.5,2.5,2.8,3,3,3.1,3.3,3.4,3.7,4.4,4.7,5,5.2,4.6,5.4,6.6,6.9,7.3,7.4,7.5
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2. Estimates of personal current tax receipts do not include deductions for federal refundable tax credits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","The amounts by which federal refundable tax credits reduce personal current tax liabilities are recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","in the NIPAs as social benefits to persons, not as reductions to personal current tax receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Consists of the dividends tax in 1933-34 and of the automobile use tax in 1942-46.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","4. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
