"","Table 6#17C# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"44","37","    Transportation","C512RC0",2294,3247,-1834,-4345,-2627,-3189,2871,7073,8614,9495,9452,9444,3234,5504
"45","38","      Railroad transportation","B3038C0",1107,1740,-230,840,880,1039,1195,2981,3183,3029,1505,827,215,2228
"46","39","      Local and interurban passenger transit","B3039C0",42,44,189,-47,310,290,207,303,413,545,454,449,148,413
"47","40","      Trucking and warehousing","B3040C0",690,-223,-554,-747,1030,1424,2940,3322,2351,1283,463,3191,1956,3378
"48","41","      Water transportation","B3041C0",-93,309,404,389,510,56,334,287,333,380,656,439,-74,489
"49","42","      Transportation by air","B3042C0",-151,925,-2385,-5258,-6432,-6911,-3125,-1101,1267,3474,7175,5337,3606,316
"50","43","      Pipelines, except natural gas","B3043C0",894,815,777,756,714,671,702,673,786,800,779,952,426,-50
"51","44","      Transportation services","B3044C0",-196,-363,-35,-278,362,242,618,610,281,-18,-1580,-1750,-3043,-1271
"52","45","    Communications","C513RC0",22336,22363,21515,25646,29118,33439,38335,41437,39353,41011,30623,25441,7533,497
"53","46","      Telephone and telegraph","B3046C0",21067,21058,20777,23874,26605,28865,32546,34692,32767,36325,25859,21800,11320,-2941
"54","47","      Radio and television","B3047C0",1269,1305,738,1772,2513,4574,5789,6745,6586,4686,4764,3641,-3787,3438
"55","48","    Electric, gas, and sanitary services","C514RC0",18864,20623,23403,23792,26777,27366,28670,35422,41100,41374,40663,37337,38939,28413
"56","49","  Wholesale trade","C510RC0",22710,26698,25364,21489,22511,25837,28939,35253,34130,38850,44153,44053,47730,53963
"57","50","  Retail trade","C511RC0",25732,23949,24842,24193,28777,30667,41855,48866,47241,53930,60411,71662,74467,71038
"58","51","  Finance, insurance, and real estate","A3051C0",58990,65778,75056,84365,113217,128030,117738,125277,141836,150920,167261,144463,160676,157645
"59","52","    Depository institutions","B3091C0",53099,54781,63364,75013,89660,96213,87894,89314,103786,102255,103397,106799,124832,148889
"60","53","      Federal Reserve banks","B3053C0",16249,18078,20649,21821,20731,18296,16691,18514,22944,22548,24282,25600,26676,31230
"61","54","      Commercial and mutual depository institutions","B3092C0",36850,36703,42715,53191,68929,77918,71203,70800,80842,79707,79115,81199,98156,117659
"62","55","    Nondepository institutions","B3093C0",3352,4604,6815,8336,10648,14221,15567,15661,18798,20667,20462,20334,26517,26214
"63","56","    Security and commodity brokers","B3056C0",1246,-2083,-4377,-1643,-4865,-2494,266,-7789,-6093,-1073,11014,-488,-1030,-20896
"64","57","    Insurance carriers","B3057C0",308,10828,16210,8286,19917,27427,20189,35210,29659,32848,28806,19566,11988,6741
"65","58","    Insurance agents, brokers, and service","B3058C0",3069,2490,2558,2935,3019,3105,3278,4089,4478,4932,5466,6835,6949,8690
"66","59","    Real estate","B3059C0",-1313,-1124,-3235,-5253,-7215,-4383,-2178,-596,1552,3069,5034,5551,6085,7936
"67","60","    Holding and other investment offices","B3060C0",-770,-3718,-6279,-3308,2053,-6060,-7278,-10612,-10344,-11779,-6917,-14134,-14667,-19930
"68","61","  Services","A3061C0",13858,14170,15569,19281,25085,31696,38537,47249,52778,56702,62019,50875,55986,17988
"69","62","    Hotels and other lodging places","B3062C0",-668,-651,-1140,-1605,-1131,-398,676,1415,2142,2568,2691,1687,2886,3652
"70","63","    Personal services","B3063C0",849,964,1546,1373,1305,1696,1842,2324,2567,2329,2652,3407,2851,3918
"71","64","    Business services","B3064C0",4378,5871,6509,7655,8273,11555,12860,15338,17533,20646,25253,14943,11104,-31377
"72","65","    Auto repair, services, and parking","B3065C0",-84,-201,-473,-261,-308,-22,769,555,367,471,1239,1362,1058,878
"73","66","    Miscellaneous repair services","B3066C0",482,666,753,728,754,787,890,941,1016,1218,1130,908,991,1070
"74","67","    Motion pictures","B3067C0",-998,-578,-800,-1115,-1507,-77,80,-29,333,691,-92,-123,647,-294
"75","68","    Amusement and recreation services","B3068C0",145,386,1210,663,1006,2158,2032,2436,2252,2981,4100,1354,834,574
"76","69","    Other services","A3069C0",9754,7715,7963,11843,16694,15997,19388,24268,26568,25798,25046,27338,35615,39567
"77","70","      Health services","B3070C0",5595,4227,3760,5999,10232,9286,11430,14650,15123,14922,12672,11698,17297,21085
"78","71","      Legal services","B3071C0",1570,1017,1046,1134,1096,1728,1672,2203,2770,2760,3027,856,2360,4020
"79","72","      Educational services","B3072C0",212,397,328,523,713,592,561,767,1010,976,1199,1860,1951,1749
"80","73","      Other \1\","B3073C0",2377,2073,2828,4187,4652,4391,5726,6648,7664,7140,8148,12924,14008,12713
"81","74","Rest of the world \2\","B394RC0",48009,56985,67131,76087,76471,73090,76931,77966,92947,101970,107554,102761,122003,146179
"82","75","  Receipts from the rest of the world","B3075C0",58922,71580,75510,80918,75492,78328,88948,104525,127364,139358,155495,146786,177293,203036
"83","76","  Less: Payments to the rest of the world","B3076C0",10913,14595,8379,4831,-979,5238,12017,26559,34417,37388,47941,44025,55290,56857
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services; membership organizations; engineering and management services, except",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","for commercial research and testing services and for management and public relations; and services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of receipts by all U.S. residents, including both corporations and persons, of dividends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","foreign affiliates, and earnings of unincorporated foreign affiliates (line 75), net of corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
