"","Table 3#15#2# Contributions to Percent Change in Real Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"18","9","Housing and community services","W597RZ2",0.04,0.22,0.3,-0.17,0.33,0.07,0.02,0.08,0.23,-0.18
"19","10","Health","W598RZ2",0.23,0.21,0.07,0.17,0.24,0.01,0.3,0.34,0.39,0.25
"20","11","Recreation and culture","W599RZ2",0.03,0.07,0.03,0.06,0.02,0.04,0.03,0.06,0.08,0.08
"21","12","Education","W600RZ2",0.92,0.91,0.5,1.19,1.2,1.43,1.9,1.09,0.79,0.75
"22","13","Income security","W605RZ2",-0.04,0.24,0.14,0,0,0.26,0.17,0.13,-0.07,0.15
"23","14","      Federal","A823RZ2",-1.06,2.9,5.31,0.14,-0.21,0.44,6,5.76,0.89,-1.37
"24","15","General public service","W611RZ2",0.13,-0.01,0.15,0.04,-0.03,0.14,-0.13,-0.17,-0.06,0.22
"25","16","National defense","A824RZ2",-0.42,2.49,3.28,-1.09,-1.47,-0.6,5.51,5.52,0.73,-1.83
"26","17","Public order and safety","W615RZ2",0.01,0,0.01,0.01,0,0.01,0.01,0.02,0.01,0.04
"27","18","Economic affairs","W620RZ2",-0.87,0.06,1.58,1.09,1.34,0.83,0.06,0.06,0.29,0.13
"28","19","  Transportation","W625RZ2",0.11,0.05,0.03,0.01,-0.02,0.03,0.05,0.05,0.01,0.05
"29","20","  Space","W631RZ2",0.44,0.46,0.92,1.68,1.2,0.91,0.36,-0.7,-0.32,-0.37
"30","21","  Other economic affairs","W632RZ2",-1.41,-0.46,0.64,-0.6,0.16,-0.11,-0.35,0.71,0.6,0.45
"31","22","Housing and community services","W633RZ2",0.03,0.06,0.04,0.04,-0.03,-0.03,0.04,0.05,-0.09,0
"32","23","Health","W634RZ2",0.09,0.05,0.07,0.04,0.08,-0.1,0.26,0.2,0.23,0.07
"33","24","Recreation and culture","W635RZ2",0.03,0.01,0.02,0.02,-0.03,0.02,0.01,0,0.02,0.02
"34","25","Education","W636RZ2",-0.02,0.02,0.04,0.03,0.02,0.01,0.18,0.04,-0.05,-0.05
"35","26","Income security","W640RZ2",-0.05,0.21,0.11,-0.05,-0.09,0.15,0.07,0.04,-0.18,0.03
"36","27","      State and local","A829RZ2",1.66,2.43,1.19,2.3,2.71,2.79,2.72,2.16,2.54,1.53
"37","28","General public service","W646RZ2",0.16,0.24,0.13,0.14,0.26,0.26,0.2,0.3,0.44,0.48
"38","29","Public order and safety","W650RZ2",0.19,0.17,0.06,0.14,0.25,0.19,0.18,0.14,0.36,0.15
"39","30","Economic affairs","W655RZ2",0.21,0.72,0.26,0.85,0.36,0.59,0.47,0.35,0.25,-0.08
"40","31","  Transportation","W660RZ2",0.1,0.53,0.33,0.62,0.15,0.36,0.47,0.18,0.28,-0.11
"41","32","  Other economic affairs","W665RZ2",0.11,0.19,-0.07,0.23,0.21,0.23,-0.01,0.17,-0.03,0.03
"42","33","Housing and community services","W666RZ2",0.01,0.16,0.26,-0.21,0.36,0.09,-0.02,0.03,0.33,-0.18
"43","34","Health (net)","W671RZ2",0.14,0.16,-0.01,0.13,0.16,0.1,0.04,0.14,0.16,0.18
"44","35","  Gross expenditures","Y650RZ2",0.08,0.17,0.13,0.17,0.24,0.25,0.2,0.29,0.37,0.23
"45","36","  Less: Sales to other sectors","Y651RZ2",0.06,-0.02,-0.14,-0.04,-0.08,-0.15,-0.16,-0.16,-0.21,-0.05
"46","37","Recreation and culture","W672RZ2",0,0.06,0.01,0.04,0.04,0.02,0.03,0.06,0.07,0.06
"47","38","Education","W673RZ2",0.94,0.89,0.46,1.15,1.18,1.42,1.72,1.05,0.84,0.8
"48","39","  Elementary and secondary","W674RZ2",0.82,0.64,0.33,0.76,0.94,1.04,1.13,0.59,0.53,0.48
"49","40","  Higher","W675RZ2",0.09,0.2,0.1,0.33,0.17,0.27,0.46,0.35,0.25,0.25
"50","41","  Libraries and other","W677RZ2",0.03,0.04,0.03,0.06,0.06,0.11,0.13,0.11,0.06,0.07
"51","42","Income security","W678RZ2",0.01,0.03,0.03,0.05,0.09,0.1,0.1,0.09,0.11,0.12
