"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","       Change in private inventories","A014RX1",5.5,-3.8,-14.9,-2.5,12.4,23.7,27.7,21.4,-2.2,-19.3,-4.2,-19.3,8.1,11.8,15.5,49.6,30.8,44.8,29.5,12.7,15.9,-3.9,17.6,17.7,14.3,14,8.5,-7.3,-6.5,-10.4,-8.3,-3.1,12.4,18.3,16.7,23,19.4,13.5,10.4,9.2,5,7.2,10.5,-9.8,-12.3,-10.7,5.4,14.2,11.5,29.2,3.5,17.1,42.8,12.2,17.3,-20.1,-9.2,7.9,26.2,21.8,34.4,21.6,25.4,15.1,29.6,19.5,23.2,16.9,18.1,17.3,20.8,19.9,45.5,32.8,36.9,29.7,52,50,44.5,61.2,57.3,25.2,33.9,33,30.1,52.8,28.8,23.9,40.1,33.5,38.7,21
"12","4","       Residual","A958RX1",-20.8,-26.8,-32.7,-17.2,-10,0.4,3.7,-3.9,-16.1,-31.8,-24,-34.8,-15.3,-11.9,-9.1,18.9,2.1,15,2.1,-11.3,-10.1,-26,-8.2,-8.3,-11.8,-12.3,-16.1,-25.8,-23.8,-26.8,-26,-23.3,-14.7,-11.7,-13.3,-10.3,-13.1,-15.8,-17.2,-18.7,-21.8,-20.4,-18,-26.4,-27,-26.4,-19,-17,-15.5,-10.1,-23.7,-15.8,-7.3,-19.5,-15.4,-31.5,-27.1,-20.7,-13.3,-16,-10.3,-16.4,-15.4,-19.8,-13.1,-17.5,-17.5,-20.7,-20.1,-20.7,-19.9,-18.4,-11.9,-15.6,-13.7,-17.7,-8.8,-11.4,-12.4,-6.9,-9.1,-19.6,-16,-20.1,-18.5,-11.2,-19.7,-23.7,-15.7,-18,-18,-22.5
"13","5","Goods","A353RX1",456.9,452.4,446.7,456.1,468.3,471.9,474.6,472.4,458.8,450.8,457.9,446.5,472.7,485.7,518.8,527.9,524.8,528.3,535.1,533.5,531.9,519.6,524.7,552.1,562.1,565,562.1,542.9,539.2,540.9,545.8,563.2,586.8,609.6,620.5,627.3,620.9,622.4,623.5,633.1,638.9,635.5,645.7,618.9,594.2,593.8,613.8,631,646.2,667,660,665.5,697.2,685.6,689.8,659.3,665.2,684.3,703.4,717.3,735,734.9,744.5,742.4,760.2,765.1,780,784.7,805.1,817,837.1,837,872.8,875.2,897.6,926.1,965.9,962.7,972.2,988.2,983.8,974.9,979.8,978.7,1000.8,1023.7,1028.4,1025.4,1057.4,1049.7,1057.2,1048
"14","6","    Final sales","A325RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","    Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","8","  Durable goods","A354RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","9","    Final sales","A326RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Change in private inventories \1\","A355RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Nondurable goods","A356RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","    Final sales","A334RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","    Change in private inventories \1\","A357RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Services \2\","A341RX1",1211.3,1228,1220.6,1202.2,1203.9,1223.7,1231,1253.4,1266.7,1281.4,1273,1263.8,1275.4,1300.4,1298.3,1343,1410.1,1476.8,1540.7,1555.3,1590,1635.1,1645.6,1661.7,1691.2,1711.9,1705.4,1701,1684.2,1673.3,1687,1696.7,1711.5,1698.8,1725.4,1737.6,1740.1,1762.7,1757.3,1799.5,1808.2,1815.5,1827.3,1863.6,1830,1864.3,1884.3,1902.2,1911.4,1943.4,1961,1979.2,1968.5,1999,1998.8,2025.4,2028.1,2068.6,2074.7,2111.8,2143.6,2182.1,2197.5,2224.1,2222.5,2247.4,2286.9,2305.4,2334.2,2366.1,2379.5,2402.3,2425.4,2470.8,2509.3,2556.9,2575.8,2636.4,2656.3,2690.6,2756.5,2772.7,2800.9,2834.6,2892.9,2927.4,2956.4,2985.3,2991.9,3035.6,3054.1,3082.5
"23","15","Structures","A755RX1",278.3,273.9,299.4,333.4,334.5,353.7,354.7,343.9,334,336.7,355.3,375,400.3,430.3,450.3,442,434.4,419.3,409.3,408.5,419.2,423.9,424,441.7,452.2,453.2,446.8,453,463.6,473.3,487.8,499,523.8,531.6,526.2,517.9,518.9,526.5,524.8,521.7,522.7,516.1,514.5,516.6,515.6,509.3,525.2,556.3,583.5,596.6,591.3,572.8,590.1,575.7,574.6,583.7,595.5,580.9,597.1,616.2,618.8,634.4,638,636.3,642.2,671.7,689.9,695.2,723.5,719.6,721.9,717.7,728.4,754.9,768.9,777,793.6,761.2,756.6,725.4,726.5,741.8,754.5,775.4,783.1,794.6,799.3,807.5,817.7,814.4,817,778.9
"24","16","Residual","A959RX1",-12,-22,-36.4,-31,-17.2,-27.4,-27.1,-34.4,-52,-68.1,-63.4,-80.6,-63.8,-68.8,-37,-39.5,-64.8,-79.9,-92.3,-99.2,-117.6,-150.1,-148.2,-129.1,-132.1,-136.6,-135.4,-157.1,-159,-156.8,-161.2,-149.6,-138.3,-112.5,-108,-102,-109.9,-118.7,-115,-118.1,-115.3,-118.9,-111.6,-152.7,-167.1,-176.5,-167.8,-167.2,-164.5,-158,-169.2,-162.4,-132.6,-149,-144.1,-187.1,-186.5,-173.9,-162.6,-167.6,-160.6,-178.7,-175.2,-184.8,-168.8,-183.1,-187.3,-190.3,-190.1,-186.3,-171.6,-176.8,-153.1,-174.5,-169.6,-159.4,-133.4,-141.2,-135.9,-118.6,-141.9,-160.7,-169.1,-187.5,-186.2,-179.3,-184.8,-198.4,-175.4,-193,-192.2,-193.9
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Motor vehicle output","A953RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding motor vehicle output","A962RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Final sales of computers \3\","BB01RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","  Gross domestic product excluding final sales of computers","BB00RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","21","  Research and development","Y694RX1",15.5,15.7,15.9,16.3,16.7,17,17.2,17.1,16.7,16.6,16.7,17.1,17.9,18.5,18.9,19.1,18.8,19,19.4,20.3,21.6,22.7,23.9,25.2,26.2,27.2,28,28.8,29.6,30.2,30.5,30.9,31,32.1,33.8,36.4,39.6,42.4,44.5,46.1,46.8,47.7,48.6,49.3,50,50.5,51.6,52.7,53.6,54.7,55.4,56.4,58.3,60.2,61.4,62.4,63.7,65.6,67.3,68.8,70.1,72,74.1,76.6,79.8,82.7,85.1,87,88.5,90.1,91.7,93.2,95.2,97.3,99.7,102.6,105.6,108.3,110.8,112.7,114.3,115.6,116.9,118.3,119.7,121,122,123.1,123.8,124.1,123.9,122.9
"31","22","  Gross domestic product excluding research and development","Y695RX1",1925.8,1923.4,1921.1,1951.2,1979.8,2011.9,2023,2025.3,1997.8,1991.2,2013.1,1994.5,2073.9,2136.5,2219.2,2262.3,2293.8,2333.8,2381.8,2386.1,2409.9,2413.7,2429.9,2509,2555,2574,2558.4,2518.1,2505.3,2507.3,2535.7,2585.4,2660.2,2702.7,2737.5,2751.1,2736.4,2756,2751.1,2795.1,2812.5,2805.2,2831.9,2801.4,2726.5,2744.2,2807.7,2873.6,2927.1,2998.5,2991.8,3002.6,3068.7,3054.5,3060.9,3021.7,3041.1,3096.9,3147.8,3211.5,3269.2,3303.1,3332.9,3343.2,3377.7,3419.5,3485.3,3508.7,3585,3627,3675.9,3687.5,3778.9,3829.6,3906.9,3998.4,4096.6,4110.8,4138.2,4172.6,4210.4,4212.8,4248.8,4282.5,4370.5,4445.1,4476.9,4496.4,4567.6,4582.2,4612,4592.4
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
