"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"23","14","  Federal and state unemployment insurance taxes","M318141",0.3,-0.1,-0.2,-0.1,0.3,-0.1,-0.2,-0.1
"24","15","  Withheld personal income tax and social security contributions","M318151",1.1,0.3,-0.1,-0.4,1.2,0.4,-0.4,-0.5
"25","16","  Excise taxes","M318161",0,0.1,-0.2,0,0.1,0.1,-0.1,-0.2
"26","17","  Other","M318171",0,0,0,0,0,0,0,0
"27","18","Equals: Federal government current receipts, NIPAs","M318181",39.4,46.8,43.6,40.8,46.4,54.6,47.5,43.3
"28",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA
"29","19","Budget outlays","M318191",44.9,47.4,46.8,46.4,46.1,45.2,50.4,48.5
"30","20","Less: Coverage differences","M318201",1.4,2.2,0.5,0.5,0.3,-3.2,-1.3,-0.6
"31","21","  Federal employee pension and insurance fund transactions \1\","M318221",-3.5,-3.7,-3.7,-3.8,-3.7,-3.9,-4.2,-4.3
"32","22","    Interest accrued","M318231",-2.5,-2.7,-2.7,-2.7,-2.8,-3.1,-3.2,-3.4
"33","23","    Contributions accrued (employer)","M318241",-2,-2.1,-2.2,-2.3,-2.2,-2.1,-2.3,-2.2
"34","24","    Benefits paid","M318251",1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4
"35","25","    Administrative expenses","M318261",0,0,0,0,0,0,0,0
"36","26","  Financing disbursements from credit programs \5\","M318271",NA,NA,NA,NA,NA,NA,NA,NA
"37","27","  Other differences in funds covered \6\","M318281",-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.7
"38","28","  Net investment \7\","M318291",1.9,1.9,1.7,1.5,1.8,1.2,1.3,0.7
"39","29","  Capital transfers paid \8\","M318301",1.2,1.2,1.8,1.8,1.3,1.3,1.6,1.7
"40","30","  Financial transactions","M318311",2.9,3,0.9,1.5,0.9,-0.1,0.8,1.9
"41","31","    Loan disbursements less loan repayments and sales","M318321",2.6,2.8,0.9,1.6,0.9,-0.2,0.8,1.9
"42","32","    Deposit insurance","B1069C1",0,0,0,0,0,0,0,0
"43","33","    Net purchases of foreign currency","M318341",0.3,0.2,0.1,0.1,0,0.2,0.1,0.1
"44","34","    Other","M318351",0,0,0,-0.2,0,-0.1,0,-0.1
"45","35","  Net purchases of nonproduced assets","M318361",-0.5,-0.2,-0.2,0.1,0,0,0,0
"46","36","  Other \9\","M318391",-0.2,0.5,0.6,-0.1,0.6,-1.1,-0.2,0
"47","37","Less: Netting and grossing differences","M318401",-1,-0.9,-0.9,-1.1,-1.2,-0.7,-0.7,-1.1
"48","38","  Supplementary medical insurance premiums","M318411",NA,NA,NA,NA,NA,NA,NA,NA
"49","39","  Interest receipts","W706MC1",-0.6,-0.6,-0.7,-0.7,-0.5,-0.6,-0.6,-0.7
"50","40","  Current surplus of government enterprises","W707MC1",0.3,0.3,0.4,0.2,0.3,0.3,0.4,0.2
"51","41","  Other \4\","M318431",-0.7,-0.5,-0.6,-0.5,-1,-0.5,-0.5,-0.6
"52","42","Plus: Timing differences","M318441",-1.1,0.5,-0.3,0.4,-1.1,0.3,-0.8,-0.1
"53","43","  Purchases (increase in payables net of advances)","M318451",-0.6,-0.7,-0.2,0.3,-1,-0.4,-0.2,-0.2
"54","44","  Interest payments","M318461",-0.6,1.2,-0.2,0.1,-0.2,0.5,-0.8,0.2
"55","45","  Current transfer payments","M318471",0.1,0.1,0.1,0,0,0,0.1,0.1
"56","46","  Other \10\","W708MC1",0,0,0,0,0.1,0.2,0,-0.2
"57","47","Equals: Federal government current expenditures, NIPAs","M318491",43.4,46.7,46.9,47.3,45.9,49.4,51.5,50.1
"58",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA
"59","48","Budget surplus or deficit (-) (1-19)","M318501",-8.7,2.9,-3.2,-7.1,-2,15.5,-2.5,-5.6
"60","49","Plus: Net investment (28)","M318291",1.9,1.9,1.7,1.5,1.8,1.2,1.3,0.7
"61","50","Less: Net capital transfers received (4-29)","M318521",-0.6,-0.2,-1.1,-1.1,-0.5,0,-0.8,-1
"62","51","Less: Federal employee retirement plans (3-21)","M318531",3.8,4,4.1,4.1,4.1,4.2,4.6,4.7
"63","52","Less: Other coverage differences (5+6-26-27-30-35-36)","M318541",-1.6,-2.8,-0.7,-1,-0.7,1.7,-0.1,-1.2
"64","53","Less: Timing differences (42-12)","M318551",-4.5,3.6,-0.4,-1.2,-3.6,5.7,-0.9,-0.7
"65","54","Equals: Federal government saving, national income and product accounts (18-47)","M318561",-4,0.1,-3.3,-6.5,0.5,5.2,-4,-6.8
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","or net worth of their own. Table 7.23 shows transactions of the federal government defined-benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","subsectors. Contributions for publicly administered insurance funds are transactions with the household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","sector and include the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","certain revenues collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Includes proprietary receipts that are netted against outlays in the budget and that are classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","as receipts in the NIPAs. Also includes some transactions that are not reflected in the budget data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","but that are added to both receipts and expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","5. Consists of transactions (not included in the budget totals) that record all cash flows arising from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","post-1991 direct loan obligations and loan guarantee commitments. Many of these flows are for new loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","or loan repayments; consequently, related entries are included in 'Loan disbursements less loan repayments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","and sales.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","6. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","that were not included in the budget in some time periods, and beginning with 1996, the Universal Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Fund. Includes repayments of certain collections from the U.S. territories and the Commonwealths of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","7. Net investment is gross investment less consumption of fixed capital for government enterprises and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","8. Consists of investment grants to state and local governments and maritime construction subsidies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Does not include the forgiveness of debts owed by foreign governments to the U.S. government or payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","to the Uniformed Services Retiree Health Care Fund to amortize unfunded liability; both are classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","as capital transfers paid by the United States and are excluded from both budget outlays and NIPA current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","9. Consists largely of net expenditures of foreign currencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","10. Primarily includes timing on subsidies and government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Note. Through 1976, fiscal year estimates reflect a July 1-June 30 federal fiscal year. Beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","1977, fiscal year estimates reflect an October 1-September 30 federal fiscal year. NIPA quarterly and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","fiscal year estimates in this table are consistent with the not seasonally adjusted estimates in table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","3.22.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
