"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","3","    Average of GDP and GDI \1\","LA0000091",104.2,92.4,77,59.4,56.9,66.6,74.4,84.3,93.1,87.1,92.8,102.4,129.2,166.5,204,223.3,226.3,227.2,248.5,274.9,272,299.6,345.6,366.4,387.9,389.7,425.1,451.2,475,481.7,522.4,544,563.8,605.2,639.3,685.8,743.3,812.5,860,940.9,1019.1
"12","4","    Net domestic product \2\","A362RC1",94.2,82,67.9,51.2,49.2,58.4,65.8,76.1,83.3,77.4,83.4,92.4,117.3,151.1,185.1,203.2,205,202,220.7,243.4,240.5,266.8,309.5,327.1,346.3,345.2,377.3,396,415.9,419.6,457,475.4,492.7,531,560.6,603.4,655.7,719.7,758.2,829.2,895
"13","5","    Net domestic income \2\","W256RC1",93.4,82.4,67.2,50.9,48.7,58,66,74.9,83.3,76.7,82.1,91.3,117,152,186.9,200.6,201.2,200.8,217.9,243.7,238.8,265.5,306.1,324.5,342.5,342.3,375.2,398.1,416.3,419,456.9,476.7,493.7,531.1,562.1,603.4,655,714.6,754.8,826,893.4
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","    Gross national product","A001RC1",105.3,92.9,77.9,59.9,57.5,67.1,74.6,85.1,93.4,87.8,93.8,103.2,129.8,166.4,203.5,224.9,228.4,228.5,251.1,276.3,274.1,301.6,349.2,369.7,391.6,393.2,428.6,452.9,477.9,484.7,525.2,546.4,566.8,609.2,643.1,690.7,749,820.1,867.1,948.6,1026
"16","7","    Gross national income","A023RC1",104.6,93.3,77.2,59.6,57,66.7,74.8,83.9,93.4,87.1,92.6,102.2,129.5,167.3,205.3,222.4,224.6,227.2,248.2,276.5,272.4,300.4,345.8,367.1,387.9,390.4,426.5,455,478.3,484.1,525.1,547.8,567.8,609.3,644.6,690.7,748.2,815,863.7,945.4,1024.4
"17","8","    Net national product \2\","A027RC1",94.9,82.7,68.4,51.6,49.5,58.7,66.1,76.3,83.7,77.7,83.8,92.7,117.7,151.5,185.4,203.5,205.2,202.7,221.9,244.9,241.8,268.2,311.4,329.1,348.2,347.3,379.7,398.8,419,422.2,459.8,478.5,496.2,535.1,565.1,608.3,661,724.8,763.6,835.2,901.1
"18","9","    National income \3\","A032RC1",94.2,83.1,67.7,51.3,49,58.3,66.4,75.2,83.7,77.1,82.5,91.6,117.4,152.4,187.3,201,201.4,201.5,219,245.1,240,267,308,326.5,344.4,344.4,377.6,400.9,419.4,421.6,459.6,479.9,497.2,535.2,566.6,608.3,660.3,719.7,760.2,832.1,899.5
"19",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","    Gross domestic purchases","A712RC1",104.2,91.8,77.4,59.5,57.1,66.5,74.5,85,93,86.4,92.6,101.5,128.3,166.2,205.4,226.6,228.9,220.6,239.1,269.3,267.6,299.5,344.8,366.6,390.4,390.7,425.7,447.8,470.8,481.5,522.1,539.1,558.4,601,633.6,678.9,738.1,811.2,858.2,941.1,1018.4
"21","11","    Final sales to domestic purchasers \4\","A713RC1",102.6,92.1,78.5,61.8,58.5,67.1,73.3,83.8,90.3,87,92.4,99.1,124,164.3,206.1,227.5,230.4,214.6,239.7,263.7,270.3,293.7,334.9,363.1,388.5,392.7,420.7,443.8,470,481.9,518.1,535.8,555.4,594.9,628,674.1,728.9,797.5,848.3,932.1,1009.3
"22","12","    Final sales to private domestic purchasers \5\","LA0000031",93,81.8,68.3,52.9,49.6,56.3,62.2,70.4,77.2,72.8,77.2,83.5,96.1,98.9,108.1,118.8,133.9,171.4,199.7,219.7,220.3,243,261.3,273.2,291.5,299.9,327.5,345.3,362.5,367.3,399.3,414.8,425.6,454,480.1,518.5,564,611.1,640.2,705.3,768.9
"23",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","13","    Disposable personal income","A067RC1",83.5,74.9,64.6,49.5,46.4,53.2,59.8,67.9,72.8,67.2,72.1,77.7,95.6,121.8,139.4,152,156.3,165.5,174.8,194.5,194.5,215,237.4,250.7,266.3,272.4,291.7,311.8,329.6,340.9,360.9,376.5,393.8,417.5,438.3,476.3,513.2,554.2,592.8,643.8,695.8
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. The arithmetic average of gross domestic product and of gross domestic income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. In this table, net measures are the corresponding gross measures excluding the depreciation of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","3. Equals gross national income less the depreciation of fixed assets as measured by the consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","4. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","5. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
