"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","3","    Average of GDP and GDI \1\","LA0000091",1019.1,1073.2,1163,1278.9,1425.5,1545.1,1682.3,1867.4,2076.3,2345,2609.7,2840.5,3192.6,3341.6,3611.1,4021.4,4321.1,4551.8,4849.9,5252.9,5625.6,5933.9,6129.9,6483.8,6802.6,7240.3,7618.8,8071.9,8602.4,9119.2,9679.4,10334.5,10679.3,11013.9,11517.5,12279.2,13111.5,13964.5,14468.9,14668.9,14381.1,14939.8,15537.1,16256.9,16752,17454.1
"12","4","    Net domestic product \2\","A362RC1",895,939.1,1018.9,1121.6,1250.5,1342.7,1451.4,1618.4,1797.6,2031.5,2261,2436.5,2725.9,2810.7,3077.6,3446.4,3710.1,3908,4142.3,4470.2,4821.6,5092.8,5242.9,5579.6,5875.1,6253.2,6541.3,6924.2,7368.6,7778.9,8259.8,8770.5,9017.8,9315.4,9783.5,10443.2,11111.8,11719.9,12213.3,12355.2,12050.4,12582.8,13067.3,13621,14030.3,14601.4
"13","5","    Net domestic income \2\","W256RC1",893.4,933.8,1009.4,1114.4,1244.4,1335.2,1438.1,1597.9,1778.4,2008.4,2216.2,2392.6,2689.2,2803.9,3023.4,3407.7,3658.8,3831.2,4101.7,4470.7,4757.4,5001.4,5154.5,5468.7,5722.8,6116.4,6450.7,6867.6,7356.3,7839,8297.3,8870,9132.8,9388.2,9797.1,10451.8,11147.3,11937.2,12195.8,12255.8,11975,12533.6,13105.6,13824.3,14208,14813.4
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","    Gross national product","A001RC1",1026,1082.3,1175.4,1291,1441.2,1564.3,1701.9,1894.4,2106.2,2378.2,2664.1,2896.7,3243.9,3381.5,3675.2,4077,4372.1,4607.1,4887.7,5275.3,5682.5,6014.3,6205.6,6570.4,6910.7,7332.6,7692.8,8132,8632.6,9107.4,9687.8,10321.8,10673.6,11026.1,11577.8,12364.1,13186.3,13923.5,14603.2,14890.6,14569.8,15170.3,15764.6,16392.8,16913.5,17611.2
"16","7","    Gross national income","A023RC1",1024.4,1076.9,1165.9,1283.9,1435.1,1556.9,1688.7,1874,2087,2355,2619.3,2852.8,3207.2,3374.7,3621.1,4038.3,4320.8,4530.4,4847.2,5275.8,5618.3,5922.9,6117.3,6459.5,6758.4,7195.8,7602.3,8075.4,8620.3,9167.6,9725.3,10421.3,10788.6,11098.9,11591.4,12372.6,13221.8,14140.8,14585.7,14791.2,14494.5,15121.1,15802.9,16596.1,17091.2,17823.2
"17","8","    Net national product \2\","A027RC1",901.1,945.5,1026.5,1130.1,1263.1,1358.2,1464.4,1635.2,1817.9,2053.1,2292.9,2470.7,2758.8,2847.2,3114.7,3482.6,3735.4,3924.9,4159.8,4492.9,4846.4,5127.5,5274.5,5610.7,5907.1,6277,6570,6956,7392.7,7797.1,8286.9,8807.5,9069.6,9364,9850.6,10532.4,11204.3,11787.5,12338.9,12527.2,12201.4,12788.8,13313.9,13858.6,14280.7,14864.5
"18","9","    National income \3\","A032RC1",899.5,940.1,1017,1123,1257,1350.8,1451.1,1614.8,1798.7,2029.9,2248.2,2426.8,2722.1,2840.4,3060.5,3444,3684.2,3848.2,4119.2,4493.4,4782.2,5036.1,5186.1,5499.7,5754.8,6140.2,6479.5,6899.4,7380.4,7857.3,8324.4,8907,9184.6,9436.8,9864.2,10540.9,11239.8,12004.8,12321.4,12427.8,12126.1,12739.5,13352.3,14061.9,14458.3,15076.5
"19",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","    Gross domestic purchases","A712RC1",1018.4,1071.9,1167.1,1285.8,1424.4,1549.6,1672.9,1879.2,2109,2381.9,2654.7,2875.6,3223.5,3365,3689.8,4143.4,4460.8,4722,5015,5362,5744.4,6057.4,6202.7,6574,6943.9,7401.2,7753.8,8196.6,8710.5,9251.9,9917.3,10660.6,10990.5,11404,12014.3,12894.1,13814.9,14626.8,15196.2,15441.6,14814.2,15477,16097.9,16720.9,17171.6,17878.1
"21","11","    Final sales to domestic purchasers \4\","A713RC1",1009.3,1069.9,1158.9,1276.7,1408.6,1535.6,1679.2,1862.1,2086.7,2356.1,2636.7,2881.9,3193.7,3379.9,3695.5,4078,4438.9,4715.5,4987.8,5343.5,5716.7,6042.9,6203.1,6557.7,6923.1,7337.5,7722.6,8165.8,8639.5,9188.2,9856.4,10606,11028.8,11385.5,11995,12830.2,13755.3,14559.9,15161.7,15473.6,14961.7,15415.5,16056.2,16659.1,17099.8,17800.9
"22","12","    Final sales to private domestic purchasers \5\","LA0000031",768.9,815.7,889.6,988.5,1102.2,1192.5,1296.3,1456.3,1651,1878.8,2111.2,2291,2538.9,2669.9,2929.8,3252.8,3530.5,3741,3957.1,4265.4,4564.8,4804.5,4904.9,5212.3,5557,5933.7,6270.5,6669.3,7085.4,7574.6,8130.4,8771.6,9070,9290.5,9774.2,10472.8,11261.6,11917.7,12359.8,12470.5,11872.7,12241.5,12887.4,13500.5,13985.5,14648.8
"23",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","13","    Disposable personal income","A067RC1",695.8,761.5,830.4,899.9,1006.1,1098.3,1219.3,1325.8,1456.7,1630.1,1809.3,2018,2250.7,2424.7,2617.4,2903.9,3098.5,3287.9,3466.3,3770.4,4052.1,4311.8,4484.5,4800.2,5000.2,5244.2,5532.6,5829.9,6148.8,6561.3,6876.3,7400.5,7752.3,8099.2,8485.8,9002.3,9400.8,10036.9,10507,10994.4,10942.5,11237.9,11801.4,12403.7,12395.6,12913.9
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. The arithmetic average of gross domestic product and of gross domestic income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. In this table, net measures are the corresponding gross measures excluding the depreciation of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","3. Equals gross national income less the depreciation of fixed assets as measured by the consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","4. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","5. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
