"","Table 7#24# Transactions of State and Local Government Defined B","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","      Actual employer contributions","S251101",4.5,5.1,5.6,6.4,7.3,8.5,10.2,12.1,13.5,15,16.9,19.1,20.8,23.3,24.8,26.3,28,30.4,30.4,31.2,32,33,33,33.8,36.1,39,41.7,43.1,43.8,42.1,41.2,39.7,39.2,42.1,56.5,55.8,61.9,69.6,77.7,82.9,85.2,89.9,97,102.9,114.1,119.5
"13","6","      Imputed employer contributions","Y310RC1",2.2,2.3,3.4,4.3,3,3,3.1,0.3,0,0,-0.1,-1.5,-1.8,-2.9,-2.3,-2.1,-1.8,-2,0.1,1.7,10.1,13.3,17.5,30.1,31.2,32.1,33.9,36.7,41.1,48.7,55.3,64.6,72.9,75.6,70.1,90.7,88.2,88.6,88.1,87.4,89.2,101.9,93.7,87,76.7,71.4
"14","7","      Actual household contributions","S251201",2.7,3.1,3.4,3.8,4.2,4.4,4.8,5.3,5.8,6.3,6.7,7.1,7.8,8.6,8.8,9.2,10,11,11.6,12.5,13.4,14.6,15.4,16,16.9,18,19.2,20.3,21.5,22.7,24.3,25.7,27.1,28.5,30.1,30.9,31.8,33.4,35.6,37.9,39,39.7,41.8,44.2,45.5,47.1
"15","8","      Less: Pension service charges \1\","Y327RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.7,0.8,0.9,1,1.3,1.4,1.6,1.8,2,2.2,2.5,3.4,3.9,4.2,4.6,6,7.5,7.7,7.8,9,10.1,12.6,14,10.9,8.7,9.8,10.4,11.1,11.7,12.1
"16","9","    Household pension contribution supplements \2\","Y312RC1",4.2,5.1,6,7.5,8,9.5,11.7,12.5,14,15.8,18.3,21.1,24,30.7,35.3,36.5,39.7,43.6,45.3,47.2,56.3,54.9,60.2,62,62.9,68.9,80.5,75.6,82.9,73.3,69.7,54.5,50.9,66.5,101.6,101.1,100.8,106.5,103.5,88.8,132.7,134.8,133.2,150.2,159.5,147
"17","10","  Income receipts on assets (including plans' claims on employers)","Y312RC1",4.2,5.1,6,7.5,8,9.5,11.7,12.5,14,15.8,18.3,21.1,24,30.7,35.3,36.5,39.7,43.6,45.3,47.2,56.3,54.9,60.2,62,62.9,68.9,80.5,75.6,82.9,73.3,69.7,54.5,50.9,66.5,101.6,101.1,100.8,106.5,103.5,88.8,132.7,134.8,133.2,150.2,159.5,147
"18","11","    Interest","Y313RC1",4.1,4.9,5.8,7.2,7.6,8.7,10.8,11.7,12.7,14.1,16.4,19.3,21.9,27.9,32.1,32.8,35.3,38.6,39.6,40,47.5,44.5,48.7,49.2,49.5,54.9,65.4,57.6,62.3,51.8,47.5,33,31.3,49.9,85.1,80.2,75.6,78.4,73.2,61.1,109.3,111.2,107.1,121.3,126.3,110.3
"19","12","      Monetary interest","Y314RC1",1.9,2.5,2.9,3.6,3.9,4.1,5.2,6.6,7.2,8,10.1,13.1,15.4,20.8,24.9,26.6,30.1,34.7,37.9,39.2,42.6,42.9,44.6,40.4,41.8,48.6,56.4,55.9,65.6,66.5,68.7,63.6,51.4,53.5,61.4,61.7,58.4,60.5,61.6,49.9,38.8,39.7,38.8,38.9,43.2,47.1
"20","13","      Imputed interest on plans' claims on employers \3\","Y315RC1",2.2,2.4,2.9,3.6,3.7,4.6,5.7,5,5.5,6.1,6.2,6.2,6.4,7.1,7.2,6.2,5.3,4,1.7,0.8,4.9,1.6,4.1,8.8,7.7,6.3,8.9,1.7,-3.2,-14.7,-21.2,-30.6,-20,-3.7,23.7,18.6,17.2,17.9,11.5,11.2,70.4,71.4,68.3,82.4,83.1,63.2
"21","14","    Dividends","B1452C1",0.2,0.2,0.3,0.3,0.5,0.8,0.8,0.8,1.3,1.7,1.9,1.8,2.2,2.8,3.2,3.7,4.3,5,5.7,7.1,8.8,10.4,11.5,12.8,13.4,14,15.1,18,20.6,21.5,22.2,21.5,19.6,16.6,16.5,20.9,25.1,28.1,30.3,27.7,23.5,23.7,26.1,28.8,33.2,36.8
"22","15","Current expenditures, accrual basis","Y317RC1",17.9,20.8,24.5,29.6,30.5,35,41.5,42.7,47.3,52.9,60,67,74.9,90.3,101.9,106.4,115.6,126.6,132.7,139.8,168.2,170.7,186.2,203.9,210,226.8,255.8,251.3,272.2,260.1,260.3,239,241,279.1,359.8,379.6,383.5,404.6,408.5,385.9,478.8,501.2,499.1,534.4,555.3,532
"23","16","  Administrative expenses","Y327RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.7,0.8,0.9,1,1.3,1.4,1.6,1.8,2,2.2,2.5,3.4,3.9,4.2,4.6,6,7.5,7.7,7.8,9,10.1,12.6,14,10.9,8.7,9.8,10.4,11.1,11.7,12.1
"24","17","  Imputed income payments on assets to persons","Y312RC1",4.2,5.1,6,7.5,8,9.5,11.7,12.5,14,15.8,18.3,21.1,24,30.7,35.3,36.5,39.7,43.6,45.3,47.2,56.3,54.9,60.2,62,62.9,68.9,80.5,75.6,82.9,73.3,69.7,54.5,50.9,66.5,101.6,101.1,100.8,106.5,103.5,88.8,132.7,134.8,133.2,150.2,159.5,147
"25","18","    Interest","Y313RC1",4.1,4.9,5.8,7.2,7.6,8.7,10.8,11.7,12.7,14.1,16.4,19.3,21.9,27.9,32.1,32.8,35.3,38.6,39.6,40,47.5,44.5,48.7,49.2,49.5,54.9,65.4,57.6,62.3,51.8,47.5,33,31.3,49.9,85.1,80.2,75.6,78.4,73.2,61.1,109.3,111.2,107.1,121.3,126.3,110.3
"26","19","    Dividends","B1452C1",0.2,0.2,0.3,0.3,0.5,0.8,0.8,0.8,1.3,1.7,1.9,1.8,2.2,2.8,3.2,3.7,4.3,5,5.7,7.1,8.8,10.4,11.5,12.8,13.4,14,15.1,18,20.6,21.5,22.2,21.5,19.6,16.6,16.5,20.9,25.1,28.1,30.3,27.7,23.5,23.7,26.1,28.8,33.2,36.8
"27","20","  Benefit payments and withdrawals","S121001",3.5,4,4.7,5.5,6.3,7.1,8.2,9.6,10.5,12,13.3,15.1,17.2,19.3,20.5,23.5,25.5,28.4,31.2,34.1,37,40.6,44.2,48.4,54,59.2,65.5,70.6,77.5,83.4,91.1,100.3,110,121.3,132.6,141.7,151,161.4,173.5,185.5,197.8,213.1,227.4,240.9,256,271.8
"28","21","  Net change in benefit entitlements \4\","Y309RC1",10.1,11.4,13.7,16.4,16,18.3,21.4,20.4,22.6,24.9,28.2,30.5,33.4,39.9,45.6,46,49.8,53.7,55.4,57.5,73.6,73.8,80.2,91.7,91,96.5,107.3,101.6,107.9,99.2,94.9,78.2,72.6,83.6,117.8,127.8,121.6,124.1,117.4,100.7,139.5,143.4,128.1,132.3,128,101.1
"29","22","Cash flow","Y323RC1",5.7,6.8,7.4,8.5,9.4,10.6,12.7,15.1,17,18.8,22,25.8,28.7,35.7,40.7,41.9,46.3,51.8,53.6,54.9,58.6,58.9,58.6,52.8,52.1,58.2,64.5,63.2,70,65.2,60.8,44.2,19.7,11.7,24.1,18.6,16.2,17.6,17.7,2.1,-20,-29.9,-34,-37.1,-31.8,-33.5
"30","23","  Actual employer and household contributions (5+7)","Y324RC1",7.2,8.2,9,10.2,11.5,12.9,15,17.4,19.3,21.3,23.6,26.2,28.7,31.8,33.6,35.6,38,41.4,42.1,43.7,45.4,47.6,48.4,49.8,53,57,60.9,63.4,65.3,64.8,65.5,65.4,66.3,70.6,86.5,86.7,93.7,103,113.3,120.8,124.2,129.6,138.9,147,159.6,166.6
"31","24","  Monetary income receipts on assets (12+14)","Y325RC1",2.1,2.8,3.2,3.9,4.3,4.9,6,7.5,8.4,9.7,12,14.9,17.6,23.6,28.1,30.3,34.4,39.6,43.6,46.4,51.4,53.3,56.1,53.2,55.2,62.6,71.6,73.9,86.2,88,90.9,85.1,71,70.2,77.9,82.6,83.6,88.6,92,77.6,62.3,63.4,64.9,67.8,76.4,83.9
"32","25","  Less: Benefit payments and withdrawals","S121001",3.5,4,4.7,5.5,6.3,7.1,8.2,9.6,10.5,12,13.3,15.1,17.2,19.3,20.5,23.5,25.5,28.4,31.2,34.1,37,40.6,44.2,48.4,54,59.2,65.5,70.6,77.5,83.4,91.1,100.3,110,121.3,132.6,141.7,151,161.4,173.5,185.5,197.8,213.1,227.4,240.9,256,271.8
"33","26","  Less: Administrative expenses","Y327RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.7,0.8,0.9,1,1.3,1.4,1.6,1.8,2,2.2,2.5,3.4,3.9,4.2,4.6,6,7.5,7.7,7.8,9,10.1,12.6,14,10.9,8.7,9.8,10.4,11.1,11.7,12.1
"34",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Effect on personal income (1-7-9 or 15-7-9)","Y328RC1",11,12.5,15,18.2,18.3,21.1,25,24.9,27.5,30.9,35,38.8,43,51.1,57.8,60.7,66,71.9,75.8,80.1,98.4,101.2,110.6,125.9,130.2,139.9,156.1,155.4,167.8,164.1,166.3,158.8,163.1,184.1,228.1,247.6,250.9,264.7,269.3,259.1,307.1,326.6,324,340,350.3,337.9
"36","28","  Less: Effect on personal consumption expenditures (2)","Y327RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.7,0.8,0.9,1,1.3,1.4,1.6,1.8,2,2.2,2.5,3.4,3.9,4.2,4.6,6,7.5,7.7,7.8,9,10.1,12.6,14,10.9,8.7,9.8,10.4,11.1,11.7,12.1
"37","29","  Equals: Effect on personal saving","Y330RC1",10.9,12.4,14.9,18.1,18.2,20.9,24.8,24.7,27.3,30.6,34.8,38.5,42.7,50.6,57.4,60.3,65.3,71.1,74.9,79.1,97.1,99.8,109,124.1,128.1,137.7,153.6,152,163.9,159.9,161.7,152.8,155.6,176.4,220.3,238.6,240.8,252.1,255.3,248.2,298.4,316.9,313.6,328.9,338.6,325.8
"38","30","  Plus: Implied funding of benefits from holding gains on assets","Y331RC1",0.5,0.3,0.3,0.1,1.2,0.8,0,0.6,0.8,0.5,-0.2,-1,-1.5,-5.4,-6.9,-5.7,-6.1,-6.8,-4.7,-3,-8.6,-3.2,-3.5,-0.2,3.1,2.2,-3.8,8.1,6.9,22.3,33.6,57.2,70.1,65.4,41,49.9,61.5,66.7,84.2,108.9,76.4,77.2,87.1,79.6,79.2,99.4
"39","31","    Interest accrued on benefit entitlements","Y332RC1",4.7,5.5,6.4,7.6,9.2,10.4,11.7,13.1,14.8,16.3,18,20.1,22.6,25.2,28.4,30.7,33.6,36.8,40.6,44.2,47.7,51.7,56.7,61.8,66,71,76.7,83.7,89.8,95.6,103.3,111.7,121,131.8,142.6,151.1,162.3,173.2,187.7,197.7,209.1,212.1,220.3,229.8,238.7,246.4
"40","32","    Less: Interest and dividend income received by plans (10)","Y312RC1",4.2,5.1,6,7.5,8,9.5,11.7,12.5,14,15.8,18.3,21.1,24,30.7,35.3,36.5,39.7,43.6,45.3,47.2,56.3,54.9,60.2,62,62.9,68.9,80.5,75.6,82.9,73.3,69.7,54.5,50.9,66.5,101.6,101.1,100.8,106.5,103.5,88.8,132.7,134.8,133.2,150.2,159.5,147
"41","33","  Equals: Change in personal wealth \5\","Y334RC1",11.3,12.8,15.2,18.2,19.3,21.7,24.7,25.3,28.1,31.1,34.5,37.5,41.2,45.2,50.5,54.6,59.2,64.3,70.2,76.1,88.5,96.6,105.5,123.9,131.2,139.8,149.8,160.1,170.8,182.2,195.3,210.1,225.7,241.8,261.3,288.5,302.3,318.8,339.5,357.1,374.8,394.1,400.7,408.5,417.8,425.2
"42","34","  Less: Benefit payments and withdrawals (20)","S121001",3.5,4,4.7,5.5,6.3,7.1,8.2,9.6,10.5,12,13.3,15.1,17.2,19.3,20.5,23.5,25.5,28.4,31.2,34.1,37,40.6,44.2,48.4,54,59.2,65.5,70.6,77.5,83.4,91.1,100.3,110,121.3,132.6,141.7,151,161.4,173.5,185.5,197.8,213.1,227.4,240.9,256,271.8
"43","35","  Plus: Household actual contributions (7)","S251201",2.7,3.1,3.4,3.8,4.2,4.4,4.8,5.3,5.8,6.3,6.7,7.1,7.8,8.6,8.8,9.2,10,11,11.6,12.5,13.4,14.6,15.4,16,16.9,18,19.2,20.3,21.5,22.7,24.3,25.7,27.1,28.5,30.1,30.9,31.8,33.4,35.6,37.9,39,39.7,41.8,44.2,45.5,47.1
"44","36","  Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \5\","Y337RC1",10.5,11.8,14,16.5,17.2,19.1,21.4,21,23.4,25.4,27.9,29.5,31.9,34.4,38.7,40.3,43.7,46.9,50.7,54.5,65,70.6,76.7,91.5,94.1,98.6,103.6,109.8,114.7,121.5,128.4,135.5,142.7,149,158.8,177.7,183.1,190.8,201.6,209.5,215.9,220.7,215.2,211.8,207.2,200.4
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Included in personal consumption expenditures as part of financial services furnished without payment;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","the value is equal to administrative expenses (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Imputed income payments received by persons from the pension plans (line 17) are reinvested as household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3. Plans' claims on employers is the difference between actuarial liabilities and financial assets held",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","by plans. When actuarial liabilities exceed plan assets, imputed interest is positive; when plan assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","4. Excludes implied funding of benefits from holding gains on assets and excludes effects on change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","in the estimated value of benefit entitlements that come from differences between actual experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and previous actuarial assumptions, changes in actuarial assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","5. Excludes effects on change in the estimated value of benefit entitlements that come from differences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","between actual experience and previous actuarial assumptions, changes in actuarial assumptions, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","or net worth of their own. Tables 7.21, 7.22, 7.23, 7.24, and 7.25 show the transactions of the private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
