"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"14","7","          New domestic autos","DNDCRG3",39.598,39.084,39.094,38.936,38.703,38.603,37.744,37.042,37.387,38.444,39.045,40.134,41.837,41.535,41.544,43.838,47.816,50.757,53.443,57.492,61.913,66.759,70.638,73.452,75.292,77.313,79.679,83.089,85.929,87.469,89.134,90.318,93.52,95.652,97.936,101.048,103.157,104.734,104.854,104.044,103.196,103.203,102.728,101.533,99.618,99.054,100,100.912,100.351,100.179,101.124,102.146,105.235
"15","8","          New foreign autos","DNFCRG3",39.601,39.116,39.102,38.937,38.704,38.59,37.679,37.05,37.431,38.455,39.074,40.333,41.906,41.524,41.552,43.924,47.723,50.844,53.477,57.517,61.994,66.796,70.771,73.492,75.296,77.334,79.722,83.124,85.954,87.495,89.15,90.328,93.516,95.642,97.893,101.046,103.136,104.778,104.842,104.054,103.187,103.203,102.742,101.538,99.619,99.057,100,100.899,100.343,100.184,101.108,102.144,105.224
"16","9","        New light trucks","DNWTRG3",35.125,34.679,34.679,34.543,34.337,34.241,33.432,32.865,33.044,34.032,34.542,35.553,36.904,36.701,36.721,38.82,42.333,44.956,47.332,50.858,54.81,59.17,62.944,65.325,67.228,69.721,72.661,75.922,77.262,78.147,80.528,83.596,87.425,90.136,93.485,97.512,100.453,102.898,104.214,103.95,104.616,104.367,103.724,101.698,100.513,99.786,100,98.29,96.811,94.454,95.493,98.191,100.843
"17","10","      Net purchases of used motor vehicles (56)","DNPVRG3",10.737,10.333,11.043,12.545,13.495,14.504,14.943,15.451,15.857,16.868,17.406,17.736,19.476,20.516,21.979,23.818,27.418,31.535,33.929,36.136,37.547,37.763,45.315,50.555,57.565,63.485,63.629,62.766,71.792,72.851,77.224,73.018,73.765,74.41,81.864,90.099,98.35,101.446,101.722,99.476,100.733,102.036,103.562,104.564,97.368,96.195,100,100.096,99.244,93.849,91.656,101.927,104.987
"18","11","        Used autos","DNPURG3",9.917,9.551,10.216,11.617,12.521,13.472,13.898,14.402,14.793,15.758,16.27,16.572,18.241,19.269,20.714,22.478,25.947,29.954,32.274,34.24,35.497,35.611,42.633,47.409,54.233,59.668,59.798,59.5,69.717,70.276,75.453,70.516,71.418,73.373,80.915,89.36,97.562,100.824,101.432,98.826,99.998,100.956,102.175,103.961,96.597,96.245,100,99.98,99.355,93.124,91.212,101.165,105.658
"19","12","          Net transactions in used autos","DNETRG3",23.128,21.27,22.237,24.435,24.742,25.77,25.562,24.985,25.833,26.694,26.57,26.826,28.303,28.221,29.928,30.864,36.521,41.03,43.775,44.29,47.401,48.561,59.514,68.289,75.14,84.958,85.037,80.9,83.957,87.026,88.795,86.468,86.824,90.354,98.015,103.583,114.209,114.435,110.272,108.574,108.963,111.764,113.847,108.992,102.492,95.663,100,100.423,97.581,96.182,90.944,102.647,106.872
"20","13","          Used auto margin","DMARRG3",4.646,4.614,4.99,5.742,6.417,7.014,7.426,8.016,8.202,8.952,9.564,9.878,11.206,12.288,13.311,15.071,16.985,19.935,21.648,23.938,24.176,23.926,27.481,29.382,34.633,36.707,36.992,39.706,53.838,52.465,59.965,53.735,55.092,55.408,62.329,73.018,78.171,84.283,90.246,86.945,89.229,87.998,87.907,97.723,89.658,97.105,100,99.686,101.874,90.624,93.758,100.287,104.812
"21","14","          Employee reimbursement","DREERG3",14.133,14.422,14.793,14.936,15.149,15.35,15.627,15.93,16.561,17.447,18.566,19.96,21.376,22.356,23.556,25.997,29.239,31.442,33.756,36.034,39.541,43.664,47.742,51.607,54.255,56.66,58.881,63.701,67.975,69.534,73.17,76.474,77.396,78.559,82.652,85.748,87.919,89.124,92.228,95.655,98.112,101.03,97.061,102.415,101.307,98.517,100,103.52,106.051,110.436,119.681,116.231,116.436
"22","15","        Used light trucks","DUTRRG3",23.144,21.625,22.406,24.544,24.848,25.863,25.679,25.088,25.234,25.959,26.376,27.145,28.248,28.03,28.038,29.627,32.218,34.376,36.12,40.561,43.231,44.496,54.437,62.323,68.663,76.916,77.133,73.134,76.037,79.054,80.522,78.468,78.814,76.2,83.377,91.014,99.304,102.038,101.723,100.04,101.409,103.133,105.016,105.155,98.136,96.148,100,100.205,99.155,94.465,92.046,102.562,104.514
"23","16","          Net transactions in used trucks","DUTNRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.863,84.765,84.941,80.544,83.776,87.099,88.703,86.431,86.854,90.48,98.081,103.622,114.26,114.412,109.981,108.592,109.006,111.705,113.805,108.97,102.475,95.685,100,100.38,97.576,96.024,90.857,102.645,106.878
"24","17","          Used truck margin","DUTMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.617,63.53,63.746,60.436,62.804,65.298,66.522,64.834,65.068,52.425,58.973,69.087,73.963,79.746,85.346,83.217,86.395,86.203,87.661,97.863,89.737,97.058,100,99.846,102.604,90.612,95.331,102.45,98.102
"25","18","      Motor vehicle parts and accessories (58)","DMVPRG3",44.449,43.094,41.834,41.925,42.606,42.634,44.252,45.172,46.279,47.977,49.53,51.896,53.805,54.164,52.76,56.324,61.427,65.785,70.22,73.488,80.654,89.644,94.189,96.489,93.754,90.142,90.095,89.826,90.551,91.96,93.913,94.241,95.089,95.711,94.15,93.617,93.942,93.786,93.284,92.501,92.053,92.378,94.648,96.294,97.232,97.72,100,104.052,107.595,113.209,117.632,119.92,124.456
"26","19","        Tires","DTATRG3",52.086,48.659,46.251,48.627,50.905,51.197,52.356,53.686,55.663,58.793,61.07,62.947,64.746,64.483,61.517,65.771,70.312,73.976,76.622,78.887,85.59,96.319,102.915,104.818,101.311,93.667,93.783,92.273,92.526,93.916,96.619,95.597,96.42,97.613,96.62,96.455,97.783,97.175,96.111,94.589,93.484,93.384,96.246,97.471,97.386,97.478,100,103.711,106.86,111.754,115.706,118.249,125.035
"27","20","        Accessories and parts","DPAARG3",36.818,38.062,38.288,35.458,34.351,34.1,36.232,36.713,36.854,36.995,37.782,40.757,42.877,44.069,44.652,47.551,53.434,58.598,64.842,69.11,76.808,84.211,86.875,89.541,87.476,87.566,87.362,88.315,89.526,90.969,92.197,93.876,94.757,94.829,92.736,91.89,91.437,91.607,91.486,91.184,91.145,91.725,93.636,95.543,97.138,97.894,100,104.311,108.165,114.377,119.209,121.269,123.84
"28","21","    Furnishings and durable household equipment","DFDHRG3",45.566,45.968,46.123,46.067,46.09,46.141,45.844,46.223,47.263,49.119,50.873,51.98,52.92,53.672,54.938,59.415,65.322,68.132,70.645,74.219,78.849,85.255,91.556,96.275,98.518,99.712,100.805,101.867,103.477,104.952,105.265,106.33,106.936,108.203,108.777,110.457,110.284,110.597,110.433,110.341,108.906,108.118,106.266,104.082,101.164,99.914,100,99.6,98.887,98.141,97.815,93.732,92.361
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRG3",41.276,41.93,42.406,42.506,42.616,42.781,42.8,43.583,44.988,46.709,48.571,49.592,50.441,51.124,52.624,57.205,61.731,63.795,66.208,69.431,73.694,80.319,86.214,90.29,92.312,94.225,96.344,97.853,99.64,101.802,102.437,103.82,104.435,106.32,107.4,109.191,109.781,110.465,110.293,110.293,109.525,108.862,106.839,104.719,102.167,100.906,100,99.4,97.63,96.04,95.142,90.545,88.854
"30","23","        Furniture","DFNRRG3",36.68,36.743,37.126,37.307,37.461,37.511,37.741,38.687,40.128,42.193,44.605,46.397,47.833,48.66,50.326,54.611,59.045,61.118,63.435,66.807,71.263,77.23,82.249,85.715,87.849,89.603,91.989,94.043,95.68,97.856,97.499,98.095,98.13,100.541,102.231,105.07,106.251,107.7,107.587,107.379,107.1,106.711,104.923,102.781,101.414,101.086,100,100.844,99.942,98.901,99.095,95.074,94.162
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRG3",66.696,68.502,69.197,69.358,68.161,67.96,67.524,68.584,72.954,74.688,76.188,75.654,75.485,76.581,79.311,83.931,90.057,91.681,94.137,98.045,102.567,113.352,121.078,125.448,128.012,129.76,131.871,130.616,130.589,132.212,135.065,138.095,140.896,142.068,142.055,140.234,138.474,136.875,135.507,136.321,132.613,126.803,122.072,117.326,109.003,103.791,100,90.49,83.688,79.493,76.433,71.461,67.667
"32","25","        Carpets and other floor coverings","DFLRRG3",33.536,34.127,34.081,34.011,34.353,35.022,34.692,34.856,34.855,35.572,36.112,36.021,35.999,35.817,36.287,39.278,42.333,44.37,45.543,47.763,50.848,55.688,61.578,65.832,67.158,68.622,70.419,72.397,74.686,76.399,78.244,80.814,81.833,82.746,82.988,84.596,86.029,87.352,89.192,91.038,90.944,93.27,96.129,97.299,96.163,96.175,100,104.356,105.634,105.546,106.249,102.403,102.478
"33","26","        Window coverings","DWCTRG3",42.331,45.787,47.904,47.749,48.269,47.929,48.038,48.748,49.865,51.264,52.835,53.432,53.786,55.194,56.047,66.891,72.452,74.42,81.543,84.296,88.893,96.361,104.425,112.26,113.887,118.395,118.722,118.657,121.987,125.413,125.961,126.771,126.803,127.736,127.698,127.729,125.686,122.904,120.296,116.344,116.179,118.042,109.601,106.954,104.484,102.098,100,100.258,99.625,98.9,94.742,87.306,85.66
"34","27","      Household appliances (part of 33)","DAPPRG3",69.404,68.458,67.06,65.512,64.272,63.553,62.062,61.023,61.072,62.36,63.731,65.304,66.646,66.993,67.06,70.492,78.29,82.636,85.639,90.013,94.916,99.651,105.428,111.896,115.155,115.378,112.837,112.284,113.132,113.382,113.339,112.625,111.435,110.706,110.999,112.389,111.518,111.338,110.808,109.401,106.974,105.893,105.152,104.045,100.817,97.307,100,102.443,105.762,106.068,106.938,102.257,100.965
"35","28","        Major household appliances","DMHARG3",66.366,65.458,64.119,62.641,61.455,60.769,59.348,58.351,58.397,59.626,60.937,62.44,63.721,64.052,64.116,67.406,74.848,79.014,81.893,86.073,90.768,95.292,100.815,106.999,110.114,110.319,107.892,107.368,108.097,108.457,108.793,108.346,107.039,106.224,106.919,108.985,108.793,109.171,108.355,106.826,104.732,103.904,103.601,102.994,99.973,96.68,100,102.908,106.862,107.54,108.115,103.49,102.136
"36","29","        Small electric household appliances","DSEARG3",95.932,94.702,92.801,90.624,88.903,87.908,85.793,84.384,84.452,86.272,88.166,90.353,92.228,92.713,92.81,97.488,108.392,114.324,118.424,124.494,131.23,137.806,145.804,154.757,159.276,159.673,156.138,155.286,158.157,156.094,150.228,146.367,146.464,146.534,143.471,139.456,133.369,129.038,130.604,130.123,125.01,121.829,117.39,112.063,107.16,101.964,100,99.229,98.511,96.643,99.126,94.223,93.426
"37","30","      Glassware, tableware, and household utensils (34)","DUTERG3",29.605,30.535,30.914,31.71,32.771,33.375,33.362,34.071,35.065,37.793,39.366,40.605,41.804,43.656,46.143,52.125,61.007,64.881,67.604,72.485,78.456,86.616,95.286,99.275,101.138,101.345,101.766,104.513,107.072,107.884,109.512,111.668,114.248,116.523,115.888,117.427,115.117,113.772,113.038,115.522,113.115,111.767,108.7,104.758,100.59,100.449,100,96.742,95.579,97.032,97.281,94.936,93.491
"38","31","        Dishes and flatware","DCHNRG3",30.88,31.849,32.245,33.075,34.182,34.812,34.798,35.537,36.575,39.431,41.065,42.358,43.61,45.536,48.131,54.374,63.637,67.676,70.515,75.583,81.816,90.313,99.365,103.555,105.503,105.7,106.155,109.024,111.688,112.534,114.234,116.481,119.177,121.546,120.877,122.489,120.089,118.682,117.911,121.953,119.33,115.963,111.309,106.166,102.238,101.7,100,93.309,88.195,87.773,86.787,82.513,78.073
"39","32","        Nonelectric cookware and tableware","DNECRG3",28.349,29.239,29.602,30.365,31.381,31.959,31.947,32.625,33.578,36.182,37.694,38.879,40.027,41.805,44.185,49.911,58.418,62.129,64.737,69.432,75.145,82.97,91.268,95.07,96.85,97.062,97.452,100.08,102.536,103.313,104.871,106.938,109.404,111.586,110.985,112.453,110.231,108.947,108.249,109.405,107.195,107.702,106.19,103.493,99.069,99.312,100,99.746,101.986,105.063,106.405,105.826,107.374
"40","33","      Tools and equipment for house and garden (35)","DTOORG3",55.636,56.016,57.624,58.595,58.873,58.46,57.415,56.346,56.235,58.537,60.866,60.518,59.969,59.897,60.028,63.773,69.69,72.166,73.682,75.278,79.422,84.869,90.77,97.525,99.847,99.932,103.157,101.393,101.65,101.731,98.146,98.994,100.082,99.956,99.969,101.742,101.768,103.464,104.948,102.352,100.22,100.187,99.639,98.469,96.269,97.27,100,101.048,101.201,100.286,100.696,97.941,99.015
"41","34","        Tools, hardware, and supplies","DHDWRG3",55.17,55.525,57.13,58.091,58.362,57.951,56.914,55.864,55.76,58.043,60.342,59.995,59.449,59.38,59.514,63.22,69.091,71.543,73.047,74.633,78.741,84.139,89.993,96.685,98.987,99.071,102.269,100.52,100.775,100.854,97.302,98.141,99.219,99.096,99.107,100.866,100.891,102.569,104.044,100.898,98.579,99.216,98.619,97.392,95.103,96.626,100,101.363,101.624,100.837,101.134,98.373,99.967
"42","35","        Outdoor equipment and supplies","DLWNRG3",57.857,58.475,60.034,61.065,61.398,60.986,59.908,58.692,58.517,60.904,63.413,63.075,62.509,62.42,62.53,66.472,72.612,75.2,76.772,78.419,82.738,88.422,94.537,101.615,104.042,104.128,107.483,105.648,105.92,106.006,102.253,103.154,104.287,104.146,104.176,106.012,106.045,107.822,109.351,109.5,108.355,104.739,104.461,103.625,101.94,100.259,100,99.723,99.458,98.089,98.891,96.162,95.624
"43","36","    Recreational goods and vehicles","DREQRG3",170.09,171.249,170.332,168.465,168.129,166.091,163.802,161.985,162.965,166.162,169.99,170.219,176.274,178.829,181.567,189.612,202.162,209.123,215.139,222.858,232.778,245.713,256.731,262.659,259.515,255.842,251.345,243.369,240.293,238.753,238.118,236.186,233.188,226.024,217.915,213.375,204.407,189.919,174.023,159.335,145.426,136.287,126.989,118.777,111.283,105.762,100,93.79,87.159,82.654,77.353,71.744,66.904
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRG3",702.183,702.997,691.603,671.042,662.384,659.957,639.281,613.754,605.049,602.258,601.641,601.776,605.488,610.138,609.436,620.379,638.271,645.898,647.458,656.941,673.13,688.805,701.402,696.398,663.134,633.777,600.244,561.945,543.147,521.853,507.263,484.718,461.433,429.938,400.113,379.023,347.896,302.876,259.435,221.455,190.628,170.842,150.609,134.169,120.226,110.188,100,89.563,79.601,72.179,64.272,57.497,52.13
"45","38","        Video and audio equipment","DVAARG3",305.065,305.047,299.171,289.116,284.299,279.906,270.483,258.787,254.892,254.042,253.611,253.811,255.172,255.865,254.865,258.958,266.243,268.777,268.777,271.523,277.61,282.342,287.243,286.212,278.108,266.325,250.875,238.506,230.751,221.835,216.173,210.586,205.694,201.397,197.056,191.408,184.909,177.243,169.977,161.917,151.337,141.876,133.551,124.863,116.342,108.324,100,90.248,78.828,70.864,61.394,53.288,47.956
"46","39","          Televisions","DTVSRG3",502.522,505.906,491.746,467.924,456.278,445.972,428.113,406.201,398.266,397.059,396.424,396.901,398.559,396.16,390.35,393.906,404.604,409.792,404.784,404.208,409.734,415.352,418.679,413.265,398.819,378.308,351.326,330.016,315.669,306.212,298.839,292.096,285.265,282.062,274.098,269.512,261.043,245.896,233.92,223.561,206.712,187.892,168.303,150.848,130.671,112.845,100,83.704,63.825,52.847,39.833,30.202,25.149
"47","40","          Other video equipment","DOVARG3",798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,798.447,792.026,791.917,802.921,813.637,820.173,809.772,781.526,741.213,688.494,646.54,603.879,558.207,530.09,499.679,463.888,442.913,428.133,398.727,377.627,354.467,336.865,300.853,254.118,209.321,171.748,150.281,128.331,113.062,100,86.761,76.017,66.308,59.258,51.957,45.447
"48","41","          Audio equipment","DAUDRG3",194.55,191.125,187.742,181.697,178.921,175.276,166.156,155.252,152.713,152.231,151.25,150.966,150.34,151.049,151.901,155.734,158.905,160.687,160.379,164.46,170.164,173.927,179.48,181.569,178.496,173.865,167.977,163.268,165.008,163.313,162.565,162.211,164.363,162.758,161.036,159.589,155.858,152.378,147.352,140.95,134.675,132.219,127.35,121.083,114.693,108.812,100,94.878,89.559,85.312,80.951,78.321,74.69
"49","42","          Recording media","DRECRG3",122.412,122.642,122.791,122.918,123.207,125.094,124.72,124.21,123.691,122.155,122.903,123.58,128.144,132.8,134.28,140.076,151.665,153.15,159.895,163.566,168.67,172.096,176.478,177.172,173.031,166.739,158.406,151.558,147.396,141.168,137.593,134.112,131.614,128.759,126.475,122.989,119.005,114.998,110.677,108.21,105.227,103.766,105.387,102.806,103.032,102.474,100,95.592,90.981,88.198,82.987,78.447,76.315
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRG3",76.533,76.677,76.77,76.85,77.03,78.21,77.976,77.657,77.332,76.372,76.84,77.263,80.116,83.028,83.953,87.577,94.822,95.751,99.968,102.517,106.059,108.406,111.868,113.149,111.243,108.361,104.695,101.752,102.836,101.774,101.314,101.083,102.43,101.428,100.355,99.458,97.118,94.958,91.836,91.009,92.274,93.089,97.139,96.213,98.712,99.013,100,98.072,96.09,94.273,90.034,85.725,83.566
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.818,332.14,336.594,341.148,343.634,339.325,327.42,310.343,288.343,270.889,253.057,233.981,222.2,209.458,194.497,185.645,179.453,167.135,158.274,148.56,141.188,133.899,121.07,115.548,113.518,108.958,106.775,105.406,100,93.703,87.244,83.8,77.895,73.168,71.154
"52","45","        Photographic equipment","DCAMRG3",98.602,99.655,100.418,101.277,103.397,115.134,110.684,106.493,104.098,99.884,98.07,95.264,93.108,96.767,97.972,100.811,102.952,104.515,105.029,108.714,112.74,124.887,129.284,132.771,134.12,135.729,137.241,141.958,150.727,157.157,163.788,167.142,169.557,172.036,173.273,170.009,170.748,170.581,170.867,166.517,161.667,157.264,148.348,138.66,127.899,112.941,100,86.998,70.822,62.648,59.339,54.587,51.286
"53","46","        Information processing equipment","DIPERG3",5255.665,5280.594,5277.541,5169.683,5163.946,5165.086,5422.154,5684.512,5872.906,6177.371,6518.77,6761.175,7220.117,7695.396,7941.031,8225.204,8758.409,9351.35,9921.129,10670.499,11214.958,10776.605,10765.174,9779.78,7455.702,6716.319,6325.945,4973.667,4558.653,4221.313,3955.838,3382.134,2869.524,2216.806,1734.753,1524.983,1223.922,859.031,590.348,412.027,302.901,247.909,190.904,153.23,126.737,113.208,100,88.652,81.334,74.778,68.943,64.08,58.574
"54","47","          Personal computers and peripheral equipment","DCPPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45850.266,45850.266,44655.696,30093.581,25576.903,20587.353,14573.687,12812.359,11815.649,8903.465,8042.746,7362.732,6836.629,5745.221,4809.821,3652.668,2816.611,2459.286,1956.852,1357.412,923.072,607.069,413.039,318.417,227.923,171.96,136.16,118.736,100,84.669,75.307,66.012,57.17,53.153,47.911
"55","48","          Computer software and accessories","DCPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9870.281,9870.281,9613.098,6478.319,5505.925,4431.372,3144.013,2757.948,2543.467,1916.761,1730.72,1583.892,1470.524,1236.209,1033.983,785.507,606.713,529.76,421.326,292.196,198.687,163.425,150.036,144.841,134.273,125.376,113.639,105.858,100,93.901,89.13,86.057,84.843,78.728,73.158
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRG3",28.242,28.376,28.36,27.78,27.75,27.756,29.137,30.547,31.559,33.195,35.03,36.333,38.799,41.353,42.673,44.2,47.065,50.252,53.313,57.626,61.244,66.326,74.271,84.215,92.833,100.369,108.762,117.664,126.562,135.421,144.135,155.848,163.961,173.009,179.039,185.496,192.648,203.564,213.493,206.91,183.756,165.918,149.047,135.688,121.086,108.58,100,90.988,84.428,80.893,77.25,74.406,71.903
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRG3",64.435,65.053,65.603,66.161,66.41,63.785,63.792,65.534,67.963,71.675,74.76,75.006,74.818,73.418,74.351,77.08,81.847,84.483,86.503,88.764,92.619,98.634,104.234,107.221,108.461,108.481,106.851,105.903,107.516,111.324,113.594,117.717,122.276,123.038,121.817,123.733,122.877,121.625,120.621,118.305,112.34,108.286,105.981,103.226,102.375,101.15,100,98.73,97.314,99.536,101.723,98.708,94.052
"58","51","      Sports and recreational vehicles (79)","DWHLRG3",27.534,28.164,28.062,28.343,28.713,28.91,29.01,29.46,30.199,31.259,32.534,31.395,35.28,36.548,38.19,42.507,46.88,49.212,52.297,55.511,59.276,64.869,68.949,71.688,72.596,75.106,77.242,77.217,77.599,80.074,82.487,84.51,86.224,88.037,88.967,91.045,93.593,94.381,93.73,93.917,96.09,97.889,99.282,98.807,98.013,98.396,100,102.489,102.091,103.12,104.094,104.501,106.815
"59","52","        Motorcycles","DMCYRG3",26.55,26.193,26.191,26.101,25.96,25.848,25.27,24.843,25.07,25.803,26.171,27.022,28.023,27.829,27.857,29.455,31.977,34.006,35.851,38.582,41.628,44.881,47.646,49.525,50.806,52.263,53.92,56.218,59.115,61.835,64.598,66.405,69.423,72.287,75.93,82.59,87.783,92.127,93.52,93.623,94.362,96.822,97.937,98.315,98.708,98.915,100,99.517,96.999,97.97,99.969,98.945,97.168
