"","Table 6#2C# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"42","35","        Rubber and miscellaneous plastics products","B4035C0",23142,24631,26195,27361,27921,30193,31995,34225,35798,35977,38110,40498,41742,43461
"43","36","        Leather and leather products","B4036C0",2632,2754,2814,2879,2815,2909,3028,3016,2856,2770,2754,2644,2561,2533
"44","37","    Transportation and public utilities","Q4037C0",193068,202350,211753,224670,232424,246469,254786,267480,275742,288841,305019,328242,360179,385335
"45","38","      Transportation","J4038C0",103264,109486,116018,122989,126758,134732,139204,147236,152168,160724,169647,182729,194369,206185
"46","39","        Railroad transportation","Q4039C0",16977,15435,15173,14858,15047,15725,15321,15176,15071,15290,15443,16527,17128,16752
"47","40","        Local and interurban passenger transit","B4040C0",5324,5988,6334,6808,7246,7760,8239,8854,9275,9901,10545,11540,12644,12916
"48","41","        Trucking and warehousing \2\","Q4041C0",43005,42158,44457,46527,47222,50498,52819,57547,60495,65602,71483,77718,80306,86273
"49","42","        Water transportation","B4042C0",6665,6397,6698,7125,7575,7783,7802,7979,7828,7967,8204,8528,8941,9484
"50","43","        Transportation by air \2\","B4043C0",22904,30275,33325,36589,38082,40548,41920,43895,45031,47177,48096,51807,57719,61638
"51","44","        Pipelines, except natural gas","Q4044C0",857,904,896,975,1056,1160,1129,1155,1129,1143,1203,1261,1427,1487
"52","45","        Transportation services","B4045C0",7531,8330,9135,10105,10528,11258,11972,12631,13340,13644,14673,15348,16203,17636
"53","46","      Communications","J4046C0",50169,52104,52787,55867,57347,59963,62496,66480,70188,73980,80413,88990,102887,112264
"54","47","        Telephone and telegraph","J4047C0",39857,41105,41385,43222,44564,46262,48113,51097,53251,55303,60669,66779,77750,85156
"55","48","        Radio and television","J4048C0",10313,10999,11401,12645,12783,13701,14383,15383,16937,18677,19744,22211,25137,27109
"56","49","      Electric, gas, and sanitary services","J4049C0",39635,40760,42949,45814,48320,51774,53086,53764,53385,54138,54960,56522,62923,66886
"57","50","    Wholesale trade","B4050C0",180195,197965,212519,221597,226157,239763,244200,259023,276683,292152,314578,342575,358111,384677
"58","51","    Retail trade","B4051C0",259555,279087,294005,306503,314224,328483,344034,367791,388177,407019,432017,466270,495691,528123
"59","52","    Finance, insurance, and real estate","A4052C0",204781,223133,231656,245711,255456,284111,299050,306925,321721,348490,381987,429602,457440,502854
"60","53","      Depository institutions","Q4053C0",56891,62293,65296,68103,68226,72811,74615,76612,79578,83870,89724,94911,99461,102387
"61","54","      Nondepository institutions","B4054C0",13271,12741,13172,14137,15146,18246,21626,22068,22424,25623,29744,38219,40799,41965
"62","55","      Security and commodity brokers","B4055C0",31350,32654,30468,31886,34417,46358,50811,49895,56115,66375,77614,91326,101023,128318
"63","56","      Insurance carriers","Q4056C0",44770,48143,51760,56782,61082,65528,68226,71369,74005,77558,82279,90951,95286,99481
"64","57","      Insurance agents, brokers, and service","B4057C0",18482,21133,22467,23999,25015,25984,26764,28402,29605,31359,33542,36321,37940,40469
"65","58","      Real estate","B4058C0",30290,33786,35293,36282,36244,37864,39086,41070,41836,44416,48241,54274,58260,62219
"66","59","      Holding and other investment offices","B4059C0",9728,12384,13201,14521,15327,17319,17921,17508,18158,19288,20843,23601,24671,28014
"67","60","    Services","A4060C0",542897,604178,667804,741310,780225,849400,906413,962083,1038233,1120351,1216983,1340686,1453546,1616266
"68","61","      Hotels and other lodging places","Q4061C0",22280,24883,27022,29300,29875,31382,32490,33598,35004,36823,39274,42479,47429,51033
"69","62","      Personal services","J4062C0",15559,16734,17758,19229,19841,20552,21514,22414,23741,25089,26908,29342,30983,33196
"70","63","      Business services","B4063C0",90031,98816,110840,123535,126284,141210,154041,170473,196409,226145,263043,308614,355627,430833
"71","64","      Auto repair, services, and parking","B4064C0",16556,18078,19493,21274,20946,21839,23274,24909,26583,28664,30557,33366,35754,38640
"72","65","      Miscellaneous repair services","Q4065C0",7792,8903,9836,10637,9611,10273,10939,10663,11627,12437,12982,14116,14478,15263
"73","66","      Motion pictures","J4066C0",8591,9069,10001,11708,11823,12199,13491,14621,16613,18997,20885,22266,23173,24342
"74","67","      Amusement and recreation services","J4067C0",15960,17656,19588,22540,23929,26938,29403,30855,33965,37102,39876,43412,46947,51505
"75","68","      Health services","B4068C0",176037,193648,214535,240986,264154,288481,308633,324756,338250,352994,369665,389781,410709,431737
"76","69","      Legal services","Q4069C0",32677,38925,42027,46286,47882,50879,52298,52778,54250,56683,60010,64214,67747,74111
"77","70","      Educational services","B4070C0",29099,30395,33037,35521,38496,41752,44366,47366,50385,53587,57303,62977,68266,73368
"78","71","      Social services and membership organizations","A4071C0",45248,49717,55011,60492,65897,70687,76531,82419,88556,93783,100617,111506,121030,131935
"79","72","        Social services","B4072C0",19591,21449,24305,27503,30699,34200,36906,39507,42306,44459,47364,51859,57113,62684
"80","73","        Membership organizations","B4073C0",25505,28268,30706,32989,35198,36487,39625,42912,46250,49324,53253,59647,63917,69251
"81","74","      Other services \3\","B4074C0",75337,89008,99693,110375,112294,122986,128585,135991,150817,165891,183669,204479,218519,246537
"82","75","      Private households","W151RC0",7729,8344,8963,9428,9191,10222,10848,11241,12033,12156,12195,14133,12884,13766
"83","76","  Government","A4076C0",539498,579737,625049,676422,719926,765005,788355,816508,840127,863488,895601,935469,988376,1051895
"84","77","    Federal","B4077C0",184833,196357,204432,215788,227340,233258,230623,230559,228555,228602,230773,234412,241612,256305
"85","78","      General government","B568RC0",153078,161932,168456,176006,186491,189571,188055,186073,183338,182172,183457,185846,191682,202444
"86","79","        Civilian","B4079C0",79672,85866,90632,96049,102630,107164,111455,112887,112343,112948,114183,116331,120360,128011
"87","80","        Military \4\","W4080C0",73406,76067,77824,79957,83861,82407,76600,73186,70995,69224,69274,69515,71322,74433
"88","81","      Government enterprises","A4081C0",31755,34424,35976,39782,40849,43687,42568,44486,45217,46430,47316,48566,49930,53861
"89","82","    State and local","B4082C0",354665,383380,420617,460634,492585,531747,557732,585949,611572,634886,664828,701056,746764,795590
"90","83","      General government","B251RC0",329571,356280,391130,428683,458547,495321,519213,545530,569642,591374,618973,652522,695113,740400
"91","84","        Education","B4084C0",171503,185525,203661,223041,238967,256694,269882,282810,296781,310334,327171,346751,370274,395857
"92","85","        Other \1\","B4085C0",158067,170755,187469,205642,219581,238627,249331,262720,272861,281040,291802,305771,324839,344543
"93","86","      Government enterprises \1\","B4086C0",25095,27099,29488,31951,34038,36426,38519,40419,41930,43512,45855,48534,51651,55190
"94","87","Rest of the world","A4187C0",-1356,-867,-1285,-2307,-2751,-2965,-3320,-4015,-4090,-4125,-4402,-4563,-7170,-6565
"95","88","  Receipts from the rest of the world","B4188C0",994,995,1017,1172,1290,1796,1820,1943,2179,2181,2270,2437,4246,4395
"96","89","  Less:  Payments to the rest of the world \5\","B4189C0",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6672,7000,11416,10960
"97",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","90"," Households and institutions","W506RC0",171035,193106,211746,233654,252425,273018,291410,307628,324186,339662,358223,384958,407551,434883
"99","91"," Nonfarm business","A4091C0",2062570,2229013,2361110,2493199,2544050,2703179,2811122,2960478,3114089,3296999,3541299,3840847,4104225,4465701
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","3. Consists of museums, botanical and zoological gardens; engineering and management services; and services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","5. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
