"","Table 1#10# Gross Domestic Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"13","5","      To the rest of the world","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","6","  Supplements to wages and salaries","A038RC1",10.3,9.7,8.9,8.7,8.9,8.9,8.9,9,9.7,9.9,9.8,9.8,10.3,10.8,11.5,12.3,13.5,14.1,14.6,15.1,15.3,15.6,15.8,16.1,16.3,16.5,16.7,16.7,17,17,17.2,17.5,18.2,18.6,19,19.3,19.9,20.4,20.8,21.4,22.4,22.8,23.3,23.6,23.5,23.6,23.8,24.3,26.2,26.4,26.5,26.8,28.5,28.9,29.2,29.4,30,30.3,30.8,31.2,32.9,33.4,33.8,34.1,35.4,36,36.6,37.3,37.8,38.6,39.5,40.3,41,42,43.1,44.3,48.3,49.5,50.6,51.4,52.3,53.2,54.4,55.8,57.9,59.4,60.9,62.3,65.2,66.9,68.6,70.1
"15","7","Taxes on production and imports","W056RC1",17.7,17.7,18,19,19,19.7,20,20.3,20.4,20.8,21.3,21.2,21.6,22.5,24.4,23.4,25.1,24.1,24.5,25.3,26.1,26.9,27.3,28.1,28.7,29.2,29.3,29.2,28.7,28.8,28.7,29.3,30.2,31.2,31.9,32.5,33,33.6,34.6,35.7,36.1,36.6,37,36.7,36.8,37.3,37.8,38.9,39.8,40.3,41.7,42.4,43.7,44.3,44.9,45.3,45.8,46.5,47.3,48.4,49.4,49.9,50.9,51.3,52,52.9,53.9,54.7,55.7,56.7,57.9,58.8,60.2,60.3,60.5,61.8,61.4,62.8,63.7,64.9,65.6,66.8,68.7,70.6,73.4,75.4,77.7,79.1,80.6,82.9,85.2,86.7
"16","8","Less: Subsidies \1\","A107RC1",0.5,0.4,0.4,0.3,0.4,0.3,0.6,0.9,0.6,0.4,0.5,0.5,0.7,0.8,0.8,1.1,1.2,1.1,0.9,1,0.8,0.8,0.8,0.7,0.7,0.4,0.7,0.2,0.1,0.7,0.3,0.2,0.3,0.3,0,0.2,0.3,0.5,0.9,1.2,1.3,1.2,1.1,1,1.1,1.3,1.5,1.6,1.1,0.9,1.1,1.1,1,1.3,1,1.2,1.6,2,2.2,2.3,2.3,2.4,2.2,2.2,2,2.2,2.3,2.4,2.7,2.9,2.6,2.7,2.9,3,3,3.1,3.6,3.9,4.1,4.2,4,3.9,3.7,3.7,4,4.2,4.2,4.2,4.3,4.5,4.7,4.7
"17","9","Net operating surplus","W271RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.6,134.2,129.5,130.6,134.1,131.3,130.9,129.1,129.6,135.1,139.2,146.1,147.6,148,150.4,153.9,155.1,158.6,161.1,164.1,169,170.9,173.3,174.9,184.8,188.8,191.8,198.3,206.6,204,203.4,206.4,205.7,205.4,208.4,211.5,215.2,221.2,223.9,226.4,228.9,229.3,229.3,224.8
"18","10","  Private enterprises","W260RC1",66.3,66.6,67.7,70.4,75.6,81.3,81.3,82.2,76.1,73.5,74.5,71.6,77.5,82.1,88.3,92.2,93.9,95.6,97.2,99.2,95.3,95,97.1,100,101.7,100.6,98.9,92.3,96.2,97.4,99.9,103.5,110.6,112.9,113.4,114.9,113.2,114,115.2,117,118.9,118.4,119,114.8,112.5,114.3,118.6,124.4,127.2,133.7,129,130,133.6,130.7,130.5,128.8,129.3,134.8,138.9,145.6,147.2,147.7,150,153.5,154.3,157.8,160.2,163.3,168.1,170,172.7,174.1,184.1,188,191.1,197.8,206.1,203.7,203.3,206.2,205.6,205.2,208.1,211.6,214.9,220.8,223.5,226.2,228.9,229.3,229.4,224.7
"19","11","    Net interest and miscellaneous payments, domestic industries","W272RC1",2.2,2.4,2.5,2.5,2.4,2.5,2.6,2.6,2.7,2.7,2.8,2.9,3.1,3,3.1,3.2,3.4,3.5,3.6,3.8,3.9,4,4.1,4.2,4.5,4.5,4.8,4.9,5.1,5.4,5.6,5.9,5.9,6.1,6.2,6.3,6.5,6.7,7,7.4,7.7,7.9,8.2,8.5,9,9.4,9.7,9.8,8.7,9.7,9.8,10.1,10.3,10.3,10.6,11,11.4,11.9,12.4,13.1,12.9,13.8,14.3,14.7,14.3,14.5,15,15.5,16.1,16.7,17.4,17.9,18.5,18.9,19.5,19.8,20.6,21.4,22.4,23.5,24.3,25,25.3,25.7,26.3,26.8,27.2,28.2,31.1,33.2,35.4,36.6
"20","12","    Business current transfer payments (net)","B029RC1",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1,0.9,0.9,0.9,1.1,1.2,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.2,2.4,2.5,2.5,2.6,2.7,2.8,3.2,3.3,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.4,4.7,4.8,4.8,4.8
"21","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",36.2,33.3,33.9,35,36.4,40.2,40.6,39.9,35.4,34.9,34.2,34.2,36.2,36.8,38.5,38.5,40.9,42.5,43.2,43.7,41.7,43,44.7,42.8,43,42.3,41.2,41.6,42.7,42.1,42.2,42,43.7,44.3,44.6,44.5,44.9,45.3,46.4,46.8,46.9,47.7,48.8,47.7,50.3,50.3,50.1,49.9,50.1,50.3,50.4,50.6,49.7,50.7,50.9,51,52.3,52.6,53.3,54.5,55.3,55,54.9,55.8,56,55.8,56.2,57.6,57.9,58.8,59.3,60.5,61.9,63.2,64,65.6,69.2,67.2,67.2,68.1,68.9,68.5,70.5,70,71.7,73.2,75,75.5,75.6,77.1,78,77.3
"22","14","    Rental income of persons with capital consumption adjustment","A048RC1",6.7,6.8,7,7.2,7.3,7.5,7.5,7.6,7.5,7.7,7.9,8.1,8.5,8.7,8.8,9.1,9.3,9.6,9.9,10.1,10.4,10.7,10.9,11.3,11.6,11.9,12.2,12.5,12.8,13,13.1,13.3,13.3,13.4,13.4,13.5,13.6,13.6,13.7,13.8,13.9,14,14.1,14.3,14.6,14.8,14.9,15,15,15.4,15.8,16,16.2,16.4,16.5,16.7,16.9,17.1,17.3,17.5,17.7,18,18.2,18.3,18.5,18.7,18.8,18.8,18.8,18.8,18.9,18.8,19.1,19.3,19.5,19.5,19.8,19.8,20,20,20.3,20.4,20.4,20.3,20.1,20.1,20.2,20,20.2,20.3,20.5,20.5
"23","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",20.6,23.5,23.6,25,28.8,30.5,29.9,31.4,29.8,27.5,28.8,25.6,28.9,32.8,37,40.4,39.2,38.9,39.3,40.4,38.1,36.2,36.2,40.6,41.5,40.6,39.6,32.3,34.7,36,38,41.4,46.6,47.9,47.8,49,46.7,46.9,46.4,47.3,48.6,47,46.1,42.4,36.9,38.1,42.3,48.1,51.8,56.5,51.4,51.5,55.6,51.6,50.7,48.3,46.9,51.3,53.9,58.5,59.2,58.9,60.5,62.5,63.1,66.3,67.6,68.7,72.5,72.9,74,73.6,81.1,83.1,84.6,89.5,93,91.9,90.3,91.2,88.7,87.7,88.2,91.8,92.9,96.6,96.9,98,97.2,93.9,90.7,85.5
"24","16","      Taxes on corporate income","A054RC1",11.6,10.9,10.8,11.8,12.1,12.8,12.6,12.2,11,9.7,10.1,9.9,13.6,16.3,19.9,21.8,26.3,22.3,20.1,21.5,19.8,18.7,18.6,20.5,21.6,21.7,21.2,16.6,16.4,16.9,17.9,19.3,21.3,21.6,22.2,23.1,22,22.5,21.1,22.3,22.8,21.9,21.4,19.6,16.9,17.2,19.4,22.3,23.5,25.7,23.1,22.6,25.1,23.1,22,20.9,20.7,22.1,23.4,25.4,23.9,23.7,24.4,24.5,24.6,26.3,27,27.7,27.9,28,28.6,28.2,29.6,30.5,31.1,33.1,34.2,34.2,33.9,33.3,32.5,32.2,32.5,34.4,38.7,39.5,39.7,40.6,41.5,40.4,39.1,38.9
"25","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",9,12.6,12.8,13.2,16.6,17.7,17.3,19.2,18.7,17.8,18.7,15.7,15.3,16.5,17.1,18.6,13,16.6,19.2,18.8,18.3,17.6,17.5,20,19.9,18.9,18.3,15.8,18.3,19.1,20.1,22.1,25.2,26.3,25.6,26,24.7,24.4,25.3,25,25.8,25.1,24.7,22.8,20,20.8,22.9,25.8,28.3,30.8,28.3,28.9,30.4,28.6,28.7,27.3,26.2,29.2,30.5,33,35.3,35.2,36.2,38,38.5,40,40.6,41.1,44.6,44.9,45.4,45.4,51.5,52.6,53.6,56.4,58.9,57.7,56.4,57.9,56.2,55.5,55.7,57.4,54.2,57.1,57.3,57.4,55.8,53.5,51.5,46.6
"26","18","        Net dividends","A449RC1",5.4,5.6,5.9,5.7,6.2,5.8,6.3,6.5,6.4,6.3,6.3,6.7,7.4,7.6,8,8.5,7.4,7.5,7.4,7.4,7,7.6,7.5,7.7,7.3,8,7.9,7.8,8.1,7.5,7.9,7.9,8.5,8.7,9.2,9.2,9.3,9.4,9.3,9.8,9.8,9.8,9.9,9.9,9.9,9.9,9.9,9.6,10.3,10.7,10.9,10.9,11.3,11.3,11.7,11.4,11.2,11.4,11.5,12,12.2,12.4,12.6,12.2,13,13.6,13.7,13.9,14.2,14.9,15.2,15.7,15.7,16.3,17.3,18.2,18.5,18,17.7,17.1,18.2,19,18.6,17.5,19.7,19.7,20.5,20.8,20.2,20.4,20.2,20.7
"27","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",3.6,7,7,7.5,10.4,11.9,11.1,12.8,12.4,11.4,12.4,9,7.9,8.9,9.1,10.1,5.6,9.1,11.8,11.5,11.3,10,10.1,12.3,12.5,10.9,10.4,8,10.2,11.5,12.1,14.2,16.7,17.6,16.4,16.8,15.3,15,15.9,15.2,16,15.4,14.8,12.9,10,10.9,13,16.2,18,20.1,17.4,18,19.2,17.3,17,15.9,15,17.8,19,21.1,23.1,22.8,23.5,25.9,25.5,26.5,26.9,27.1,30.4,30.1,30.2,29.7,35.9,36.3,36.3,38.2,40.3,39.7,38.7,40.9,37.9,36.5,37.1,39.9,34.5,37.5,36.7,36.6,35.5,33,31.3,25.9
"28","20","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.6,0.5,0.6,0.4,0.4,0.3,0.3,0.3,0.5,0.4,0.3,0.4,0.4,0.7,0.8,0.8,0.9,0.9,0.8,0.6,0.8,0.7,0.8,0.7,0.5,0.5,0.3,0.1,0.2,0.1,0.2,0.3,0,0.3,0.3,0.3,0.2,0,0,0,0
"29","21","Consumption of fixed capital","A262RC1",27.7,28.8,29.8,30.5,30.8,31.2,31.7,32,32.3,32.3,32.3,32.4,32.5,32.8,33.6,34.9,36.3,37.4,38.3,39.1,39.6,40.2,41,41.7,42.5,43.2,43.8,44.4,45,45.7,46.3,47,47.5,48.2,49.3,50.6,52.1,53.5,54.8,56,57.3,58.4,59.5,60.4,61.1,62,62.9,63.8,64.5,65.1,65.8,66.4,67,67.6,68.2,68.8,69.5,70.2,70.9,71.8,72.7,73.5,74.6,75.6,76.5,77.5,78.5,79.5,80.6,81.8,83,84.2,85.6,87.1,88.8,90.5,92.3,94.3,96.3,98.3,100.2,102.3,104.6,106.9,109.4,111.9,114.5,117.4,120.5,123.5,126.3,129.2
"30","22","  Private","A024RC1",16.3,17.3,18.2,19.1,19.9,20.6,21.2,21.7,22.1,22.4,22.8,23.1,23.4,23.9,24.6,25.5,26.6,27.5,28.2,28.7,29,29.3,29.7,30.2,30.7,31.1,31.6,32,32.4,32.8,33.2,33.5,33.9,34.5,35.3,36.2,37.3,38.4,39.3,40.2,41.1,41.9,42.7,43.4,44,44.7,45.2,45.7,46.2,46.6,47,47.4,47.7,48,48.4,48.7,49.1,49.5,50,50.5,51,51.5,52.1,52.6,53.2,53.8,54.5,55.2,55.9,56.8,57.7,58.7,59.7,60.9,62.1,63.5,65,66.4,67.9,69.4,70.9,72.5,74.1,75.8,77.6,79.5,81.6,83.7,86.1,88.3,90.6,92.8
"31","23","  Government","A264RC1",11.5,11.5,11.6,11.4,10.9,10.6,10.5,10.3,10.2,9.9,9.5,9.3,9.1,8.9,9,9.4,9.7,9.9,10.1,10.4,10.6,10.9,11.3,11.5,11.8,12.1,12.2,12.4,12.6,12.9,13.1,13.4,13.5,13.7,14,14.4,14.8,15.1,15.5,15.8,16.2,16.5,16.8,17.1,17,17.3,17.7,18,18.3,18.5,18.7,19,19.3,19.5,19.8,20.1,20.4,20.7,21,21.3,21.7,22,22.5,23,23.3,23.7,24,24.3,24.7,25,25.3,25.5,25.9,26.2,26.6,27,27.3,27.9,28.4,28.9,29.3,29.8,30.5,31.1,31.8,32.4,33,33.7,34.4,35.1,35.7,36.5
"32",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Statistical discrepancy","A030RC1",2.8,2.7,2.1,3.8,0.7,-1.1,0.2,-0.9,0.8,0.7,2,3.4,3.3,0.4,0.6,0.6,3.4,3.4,4.5,2.3,3.7,2.4,1.7,2.5,2.9,3.2,3.5,5.4,2.7,2.5,3.4,2.9,3.4,1.8,2,1.3,-0.9,-1.8,-2.6,-3,-1.2,-1.9,0.6,0.9,-1.2,0.5,1,2.1,0,-1.5,1.8,0.2,0.2,-1.6,-0.2,-3.8,-1.3,-0.5,-0.1,-2,1.4,1.3,0.9,-3.9,-2.4,-3.4,0.4,-0.7,2.6,0.7,0.4,-3.8,-2.2,-1.7,2.8,4.2,6.5,4.5,4.8,4.7,7.5,3.6,2.1,0.4,5.1,6.7,1.3,-0.3,5.6,1.9,0.8,-1.9
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
