"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"27","20","      Food services and accommodations","DFSARL1",1.9,4.6,-2.2,-9.8,13.6,7.5,13.7,13.4,0.8,8.9,5.8,11.2,10.1,18.5,14.2,12.5,-9.9,-12,-3.3,1.1,1,9.2,4.8,3.7,-0.3,2.5,2.9,1.2,-1.5,2.1,1.1,0.3,3.6,2.5,5.1,7.1,5,-1,6.2,2.2
"28","21","      Financial services and insurance","DIFSRL1",-8.6,-6.6,-4.3,7.3,-8.2,8.6,3.9,1.6,-3.2,2.7,0.3,2.1,-3.2,5.9,0.5,3.3,7.2,7.8,4.9,2.7,11.8,11.7,0.2,3.9,6.9,8.1,5.1,2.9,3.1,2,4,5.4,-0.2,3.5,7,6.6,3.4,5,5.2,1.4
"29","22","      Other services","DOTSRL1",-2.6,-6.4,-12.3,-7.6,7.2,5.4,8,6.5,-3.8,2,2.4,4.6,3.4,3.3,0.6,2.8,3.5,3.5,2.4,1.1,3.6,1.9,2.1,3.1,2.4,7.2,4.3,3.6,3.3,4.4,3.2,3.2,4,3.7,4.5,5.7,5.9,5.9,2.8,2.9
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRL1",4.8,2.4,-7.6,-8.6,-5.7,-1.2,1.6,-3.2,5,1.2,6.6,0.6,4.3,9.1,7.7,0.6,3.2,-7.9,1.1,0.4,0.7,-1.7,11,2.8,4.1,2,7.3,1.5,4.9,10.2,11.5,2.6,3,3.6,11.1,5.3,3.3,4.6,5.2,1
"31","24","      Gross output of nonprofit institutions \2\","DNPERL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.4,5.3,5.8,7.8,5.9,6.5,6,6.8,5.2
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,5.4,6.4,6.8,6.3,6.3,8,6.6,7.5,6.9
"33","26","Gross private domestic investment","A006RL1",-31.9,-35,-63.1,35.3,65.3,74,26.4,23.2,-31.2,25.4,36.2,22.4,-44.3,-37.6,19.4,28.7,139.6,-3.8,26,-22.7,39.3,0.2,-8.2,5.6,-3.9,23.1,-0.3,-3.7,-7.3,19.2,0.4,0.3,11.9,6.8,7.9,13.8,9,-3.5,6,5.6
"34","27","  Fixed investment","A007RL1",-22.3,-29,-38.4,-9.7,26.4,27.1,30.6,16,-18.6,17.8,18.7,15,-40.3,-21.4,19,33.1,77.4,18.8,9.4,-8.3,18.8,-4.1,-0.6,7.8,1.9,12.6,1.4,-0.7,-6.2,13.5,1.2,0.7,8.6,7.7,9.1,10.4,6.2,-0.9,7,5.9
"35","28","    Nonresidential","A008RL1",-16.7,-32.7,-36.9,-8,25.6,24.6,32.4,18.4,-23.7,9.9,21.6,19,-37.4,-15.9,26.9,36.5,44.5,14.8,4.6,-8.8,9.1,4.2,-0.1,10,-1.4,10.7,6.8,1.8,-9.3,8.1,5.5,0.8,8.1,5.8,10.7,16.7,12.3,-0.3,4.8,7
"36","29","      Structures","A009RL1",-14.4,-35.6,-38.8,-22.4,12.8,10.9,31.3,26.8,-20,5.5,13.5,18.8,-38.2,-27.3,30.9,34.8,97.5,-9,5.2,-3.3,7.2,7.7,-0.4,8.9,3.4,7.2,10.5,-0.1,-5.5,2.4,7.9,1.4,4.6,1.2,10.4,15.9,6.8,-2.5,1.4,5.4
"37","30","      Equipment","Y033RL1",-20.7,-33.3,-41.4,2.3,38.3,36.2,37.2,16.3,-30.4,15.4,29.6,17.2,-42.6,-10.2,33.7,43.2,24.7,35.9,5.2,-12.4,10.4,2.9,-2.9,9.1,-5.6,13.7,2.6,2.6,-14.6,11.9,3.8,-2.1,11.4,7.8,12.6,18.2,15.5,-1,6.1,8.3
"38","31","        Information processing equipment","Y034RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,2.4,-10.5,10.5,10.7,15,10.2,-10.1,15,15.5,13.4,-10.6,9.1,19.8,9.1,10.3,15.1,13.9,18.1,29.8,6.2,5.7,20.1
"39","32","          Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,0,50
"40","33","          Other","A937RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,2.7,-10.6,10.7,10.2,15.1,10.1,-10,14.9,15.8,13.2,-10.7,8.8,15,6.1,6.7,3.7,9.3,13.1,17.8,0.5,2.6,15.9
"41","34","        Industrial equipment","A680RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,-7.5,-22.9,15.5,12.3,3.9,10.1,3.1,-0.8,10.4,1.3,-16.7,1.5,7.8,-5.3,5.1,8,13,17.9,15,0.4,-2,6.6
"42","35","        Transportation equipment","A681RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,4.1,-0.6,10.7,-3.9,-17.4,19,-12.4,27.3,-10.2,6.9,-27.1,32.5,3,-5.5,23.3,-3.2,13.1,25.3,10,-3.3,20.2,4
"43","36","        Other equipment","A862RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,22,-16.1,5.7,0.5,1.1,-2.3,-5.8,17.3,3.2,-5.4,1.4,7.4,-8.2,-1,6.7,16.3,10.8,11.1,12.4,-5.5,1.2,6.8
"44","37","      Intellectual property products","Y001RL1",0.6,-3.9,-2.8,4.2,15.1,10.6,11.7,5.2,7.6,-2.2,4.5,30.6,-4.7,-13.6,-0.2,12.6,21.8,0.1,-2.3,-3.3,8.3,-1.7,24.8,20.8,5.4,7.9,16.5,3.6,4.6,8.8,6.1,11,4.7,9.9,4.5,12.7,13.2,7.8,7.5,5.4
"45","38","        Software \4\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,37.8,103.2,24.6,28,54.2,17.4,12.4,34.7
"46","39","        Research and development \5\","Y006RL1",11,21,-0.3,1.3,13.7,7.4,1.6,0.5,13.2,-4.6,15.4,46.3,-6.2,-34.6,-1.5,1.9,54.3,14.8,1.6,-13.4,17.7,6.1,36,25.9,6.1,3.3,27.6,1.9,5.8,7.9,10.2,6.1,8.3,7.4,7.8,12,11.5,10.5,8.2,6.5
"47","40","        Entertainment, literary, and artistic originals","Y020RL1",-4.3,-18,-4.5,6.4,15.9,13,18.9,8.2,4.4,-0.8,-2.6,17.7,-3,11.5,0.6,20.2,3.1,-12.2,-6.6,8.9,-0.4,-10.6,9.3,12.2,4,16.3,-1.9,7.2,2.2,10.6,-6.9,20.7,-4.1,7.5,-5.3,11.4,9,-0.8,4.7,-5.7
"48","41","    Residential","A011RL1",-38.1,-15,-43.5,-16,29.6,36.2,24.4,7.8,0.4,39.8,12.3,5.9,-48,-38.4,-13,14.1,297.6,28.1,19.4,-7.4,36.4,-16.1,-1.6,3.7,8.4,16.1,-7.9,-5.9,1.1,25.1,-6.8,0.4,9.6,11.7,6,-2.6,-8.4,-2.6,13.5,3.1
"49","42","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","44","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","  Exports","A020RL1",-17.3,-16.9,-21.6,0.6,11.2,5.5,5.1,25.9,-1.1,5.6,13.8,2.5,-34,-15.7,7.4,40.2,116,14,-21.2,-0.9,-12.4,22.5,-4.3,-6.7,4.8,10.7,16.5,8.7,-13.5,10.3,17.3,0.5,5.1,7.2,11.8,2.8,6.9,2.3,7.9,4.9
"54","47","    Goods","A253RL1",-17.9,-17.3,-22.4,-0.5,10.2,4.9,5.2,25.7,1.5,5.5,14.9,2.6,-38.6,-21.8,7.3,50,131.1,15,-22.6,-0.6,-13.6,21.8,-5.2,-6.8,5.7,10.5,17.3,7.9,-15.2,-0.7,23.5,0.5,4.4,7.9,13.9,1,7.5,0.5,8.1,5.2
"55","48","    Services","A646RL1",-13,-14.1,-16.7,7.5,18,9.5,4,27.4,-15,5.8,7.8,2.4,-11.6,5.6,7.6,12.3,62.5,8.8,-12.7,-2.6,-6.4,26.4,-0.3,-6.4,1.3,11.4,13.1,12.5,-6.3,54.8,1.6,0.6,6.9,5,5.4,8.7,5.2,8,7.3,3.9
"56","49","  Imports","A021RL1",-13,-12.8,-17.1,4.2,2.2,31,-1.2,12.5,-22.3,5,2.5,22.9,-9.2,26.1,4.7,6.4,-17.1,-5,16.7,-3.5,18.2,3.9,8.8,9.4,-4.9,12.1,8.1,4.2,4.8,10.5,1.3,-0.7,11.3,2.7,5.3,10.6,14.9,7.3,14.9,5.7
"57","50","    Goods","A255RL1",-15.7,-12.7,-19.2,12.3,2.3,37.4,-3.7,11.8,-23.8,8.9,4.9,18,-30.7,15.7,3.7,-0.3,15.5,-4,14.6,-3.9,22.1,-2,2,5.8,-7.6,11.6,9,2.9,2.8,17.4,-1.6,-0.1,14.8,4,6.6,14.2,15.8,5.3,20.7,5.5
"58","51","    Services","A656RL1",-2.8,-13.1,-11.5,-15.9,1.8,7.3,10.9,15.6,-16.5,-6.7,-5.9,41.9,63.1,41.4,5.8,14.5,-52.2,-8,23.4,-2.4,6.4,27.2,30.4,18.2,1.1,12.9,6.5,6.9,8.6,-2,7.8,-1.7,4.7,-0.1,2.6,2.9,12.7,12.2,1.8,6.3
"59","52","Government consumption expenditures and gross investment","A822RL1",10.1,4.2,-3.1,-3.4,12.2,3.1,16.1,-4.1,7.6,8.7,3.6,68.1,132.1,50,12.3,-12.1,-64.7,-14.9,5.8,10.9,0.6,36.7,19.6,6.8,-6.4,-3.2,0.2,4.6,3.4,2.5,0.6,5.3,6.5,2.4,2.5,3.2,8.7,7.9,3.4,0.2
"60","53","  Federal","A823RL1",10.8,3.4,2,22.7,32.1,2.7,49.1,-9.7,10.4,7.2,13.4,164.6,198.9,59.3,13.9,-13.5,-71.9,-24.9,5.7,8.4,-4.2,63.5,28.2,7.5,-12.1,-8,-1.4,3.9,0.5,2,-1.7,4.8,8.9,0.2,-0.4,0.8,10.7,10.1,1.5,-2.4
"61","54","    National defense","A824RL1",6.8,0.5,-0.4,-4.2,-9.7,21.3,17.4,0.9,4.4,10.3,73.7,420.1,256.2,64.3,14.3,-13.4,-75.1,-30.9,-0.7,3.9,-0.4,87.3,30.6,6,-13.2,-8.5,-0.5,4.5,0,-2.8,-0.8,5,6.6,-2.2,-3.1,-1.3,12.9,12.5,1.6,-4.1
"62","55","      Consumption expenditures","A997RL1",3.2,-2.5,-0.4,-7,-11.8,26.6,4.6,-2.1,6,12.2,57.6,293.4,253.1,85.4,22.8,-4.2,-70,-31,-5.9,-0.6,3.3,71.4,27.2,3.5,-12.7,-6.6,-1,4.4,-1.4,-9,0.6,2.7,8.4,0.4,-1.9,1.5,13.5,12.6,4.6,-3.5
"63","56","      Gross investment","A788RL1",76.3,35.4,0.2,21.3,4.6,-9.7,122.9,12,-0.7,4.1,130.1,703.5,259.5,43.1,3,-29.6,-89.5,-30.3,44.4,28.8,-16.1,167,41,13.1,-14.4,-13.6,1,4.7,4,14.7,-3.8,10.4,2.8,-8.4,-6.2,-9.4,11,12.4,-8.8,-6.8
"64","57","    Nondefense","A825RL1",15.6,6.8,4.5,51.5,59.6,-4.3,63.8,-13.1,12.6,6.2,-8.3,-11.4,-23.8,-19.8,1,-16.3,44.4,17.4,35.2,23.5,-14.7,-14.6,12.2,18.9,-4.6,-4.9,-6.7,0,4.1,33,-6,4.1,20.5,11,10.4,7.9,3.6,1.9,1.3,3.9
"65","58","      Consumption expenditures","A542RL1",10.3,-3.3,-10.8,56.7,85.3,-25.5,124.3,-14.6,16.9,10.8,-9.2,-21.9,-29,-24,17.8,-13.5,60.8,11.8,29.1,19.9,-22.3,-17.8,17.6,30.4,-2.8,-2.7,-13.3,-6.2,-1.8,45.1,-15.3,-1.6,18.9,-0.3,3.9,3.3,-3,10.7,0.9,9.4
"66","59","      Gross investment","A798RL1",35.3,39.2,41.8,43.3,19,47,-11.9,-8.1,-0.6,-10.7,-4.5,30.8,-10.7,-9.9,-33.7,-26.1,-28.8,77.6,71.6,39.5,15.3,-6.1,-0.2,-13.3,-12.7,-16.3,31.7,23.3,21.2,3,25.8,17.2,23.5,33.2,20.1,14.2,11.9,-7.9,1.9,-3.6
"67","60","  State and local","A829RL1",10,4.4,-4.5,-10.6,4.7,3.3,0.1,0.2,5.7,9.8,-3.1,-6.1,-9,-8.4,-3.4,3.5,9.8,13.4,6,14.9,8.1,0.8,1.6,4.9,8.6,7.1,3.3,5.9,8.4,3.3,4.3,6.1,2.9,5.9,6.7,6.6,6.2,5,6,3.5
"68","61","    Consumption expenditures","A991RL1",6.4,5.8,1.6,-2.1,2,6.2,-19,8.5,0.5,6.2,5.8,3.6,2.6,-0.1,-1.8,2.4,3.2,6.7,0.8,8.6,6.1,-0.3,1.3,3.3,4.2,6.5,3.6,5.3,7.8,3.5,5.6,5.4,2.6,4.6,6.4,6.4,6,4.5,6.6,6.5
"69","62","    Gross investment","A799RL1",16.9,1.7,-17.7,-33.8,14.6,-5.6,66.2,-13.3,16.3,16.1,-17.8,-26.3,-40.6,-46.1,-17.2,15.6,75,51.6,26.3,34.8,13.4,3.5,2.4,8.7,19.4,8.6,2.4,7.2,9.9,3,1.4,7.9,3.7,8.8,7.3,7.1,6.7,6.3,4.6,-4
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","5. Research and development investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","expenditures are included in software investment on line 38.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
