"","Table 6#19B# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","      Stone, clay, and glass products","B3216BC0",342,325,455,386,327,391,473,669,661,598,606,748,592,525,556,651,718,727,648,547,636,661
"24","17","      Primary metal industries","B3217BC0",1182,887,1356,1261,938,1215,918,1613,1657,1567,994,1276,1126,782,875,1155,1575,1983,2240,1781,1374,1108
"25","18","      Fabricated metal products","B3218BC0",654,432,685,622,512,533,515,638,658,645,509,576,450,509,677,756,865,1226,1505,1467,1376,1273
"26","19","      Machinery, except electrical","B3219BC0",1072,797,1063,1069,1041,998,950,1035,1290,1133,688,1108,913,902,1251,1360,1800,2312,2629,2571,2387,2196
"27","20","      Electric and electronic equipment","B3220BC0",572,432,768,593,691,726,723,810,1035,1151,1121,1312,1178,1130,1259,1336,1396,2053,2484,2408,2390,2253
"28","21","      Motor vehicles and equipment","B3221BC0",1105,1274,1697,1057,1117,1204,1182,2198,1383,1429,583,1646,1623,1372,2082,2546,2619,3487,3110,2383,3107,2840
"29","22","      Other transportation equipment","B3222BC0",164,125,227,190,243,312,369,421,626,636,518,306,200,223,488,521,610,914,1069,1297,1480,881
"30","23","      Instruments and related products","B3223BC0",128,109,165,167,173,184,236,250,265,269,256,343,319,322,396,436,483,664,829,798,841,885
"31","24","      Miscellaneous manufacturing industries","B3224BC0",215,146,238,186,148,141,149,181,179,172,150,188,147,151,192,189,226,284,287,299,280,244
"32","25","    Nondurable goods","A3225BC0",6606,4967,6520,5509,4946,5560,5837,7166,7562,7102,6423,7948,7779,7396,7781,8203,9424,11066,12259,11914,12385,11874
"33","26","      Food and kindred products","B3226BC0",950,937,1037,773,743,834,849,988,959,922,1061,1192,1188,1212,1260,1458,1532,1715,1910,1790,1746,1706
"34","27","      Tobacco manufactures","B3227BC0",148,160,155,131,130,154,170,199,208,218,246,263,278,301,302,314,320,332,356,381,377,406
"35","28","      Textile mill products","B3228BC0",916,389,674,439,219,227,120,283,294,245,213,405,335,291,371,383,490,644,632,527,605,519
"36","29","      Apparel and other textile products","B3229BC0",184,101,179,80,102,86,92,123,124,101,115,165,161,185,236,230,303,373,466,446,483,421
"37","30","      Paper and allied products","B3230BC0",500,347,554,542,430,449,477,588,701,552,469,602,551,518,551,591,675,801,961,860,936,1024
"38","31","      Printing and publishing","B3231BC0",406,376,368,334,345,350,363,472,496,518,468,602,603,579,654,716,945,1114,1317,1213,1222,1298
"39","32","      Chemicals and allied products","B3232BC0",1022,964,1384,1130,1014,1088,1266,1639,1714,1720,1542,2023,1938,1905,1939,2174,2507,2994,3206,2802,3013,2774
"40","33","      Petroleum and coal products","B3233BC0",2252,1540,1837,1846,1731,2138,2266,2555,2753,2551,2034,2342,2424,2088,2091,1950,2200,2564,2788,3269,3246,3052
"41","34","      Rubber and miscellaneous plastics products","B3234BC0",147,98,239,190,168,180,171,237,239,201,215,266,232,250,293,289,339,391,471,458,588,557
"42","35","      Leather and leather products","B3235BC0",79,54,94,45,64,54,62,81,73,75,61,88,69,67,84,98,113,138,152,168,168,116
"43","36","  Transportation and public utilities","A3236BC0",1975,1785,2491,2404,2523,2608,2507,3141,3275,3131,3084,3696,3905,3989,4499,5151,5716,6653,7436,6512,5954,5895
"44","37","    Transportation","A3237BC0",986,673,1114,942,849,752,392,689,653,466,325,450,300,309,489,714,898,1288,1354,730,363,13
"45","38","      Railroad transportation","B3238BC0",690,380,713,553,551,458,117,316,308,255,78,136,91,86,110,231,223,323,405,-45,-32,-60
"46","39","      Local and interurban passenger transit","B3239BC0",43,21,24,36,31,22,16,26,20,23,28,53,45,43,44,50,64,87,75,61,70,50
"47","40","      Trucking and warehousing","B3240BC0",116,108,156,106,101,112,101,128,90,105,97,151,93,160,225,203,234,345,333,244,321,253
"48","41","      Water transportation","B3241BC0",71,80,73,105,48,45,11,63,97,2,15,18,19,37,41,68,98,86,113,80,83,3
"49","42","      Transportation by air","B3242BC0",-2,15,48,51,34,39,52,60,32,-31,-4,-19,-68,-116,-25,55,170,320,286,205,-161,-292
"50","43","      Pipelines, except natural gas","B3243BC0",38,43,70,59,55,51,64,59,66,72,72,83,76,67,69,84,73,87,89,96,75,77
"51","44","      Transportation services","B3244BC0",29,26,30,31,29,25,31,37,40,39,39,28,44,31,25,23,36,39,52,88,6,-17
"52","45","    Communication","A3245BC0",270,295,476,552,663,791,921,1157,1267,1302,1390,1633,1708,1815,2044,2219,2321,2713,3225,3045,2902,3229
"53","46","      Telephone and telegraph","B3246BC0",241,258,393,404,461,558,632,770,816,863,1002,1203,1262,1427,1645,1810,1968,2176,2424,2483,2469,2703
"54","47","      Radio and television","B3247BC0",30,37,82,148,202,232,289,386,451,439,388,430,446,388,400,409,353,537,801,561,433,526
"55","48","    Electric, gas, and sanitary services","B3248BC0",720,816,901,911,1011,1066,1194,1295,1355,1364,1368,1612,1897,1865,1966,2218,2496,2652,2857,2737,2689,2653
"56","49","  Wholesale trade","B3249BC0",1537,970,1712,1347,1040,943,851,1313,1448,1330,1246,1580,1370,1421,1601,1660,2123,2544,2767,2640,3074,3382
"57","50","  Retail trade","B3250BC0",2241,1624,2113,1518,1376,1231,1217,1592,1529,1448,1421,1816,1495,1778,2079,2205,2958,3395,3356,3924,4409,4464
"58","51","  Finance, insurance, and real estate","A3251BC0",2422,2807,2604,2658,3060,3342,3478,3833,3944,3906,3952,4976,5165,5136,5395,4991,4914,5862,6952,6696,7542,7524
"59","52","    Banking","J3252C0",1141,1146,1159,1311,1334,1417,1317,1790,2124,2090,1796,2408,2487,2324,2381,2684,2422,3300,3646,3539,4381,5394
"60","53","      Federal Reserve banks","B3253BC0",61,42,-7,39,54,51,46,44,66,82,71,-177,45,86,64,74,-447,45,36,46,38,56
"61","54","      Commercial and mutual banks","J3254C0",1080,1104,1166,1272,1280,1366,1271,1746,2058,2008,1725,2585,2442,2238,2317,2610,2869,3255,3610,3493,4343,5338
"62","55","    Credit agencies other than banks","J3255C0",308,382,466,486,688,657,741,852,952,1023,1117,1215,1294,1487,1548,1395,1429,1500,1331,1360,1462,1385
"63","56","    Security and commodity brokers","B3256BC0",0,11,12,-1,4,16,39,9,6,8,8,30,29,49,-1,22,41,75,103,181,248,-54
"64","57","    Insurance carriers","B3257BC0",586,847,542,488,663,830,927,757,464,321,569,806,847,887,842,460,399,459,1179,1090,871,619
"65","58","    Insurance agents, brokers, and service","B3258BC0",46,41,41,38,46,45,46,44,61,60,68,84,93,67,94,116,145,154,191,174,208,201
"66","59","    Real estate","B3259BC0",414,446,455,386,367,413,459,425,339,347,401,413,373,279,303,312,427,486,602,572,749,520
"67","60","    Holding and other investment offices","B3260BC0",-73,-67,-71,-50,-41,-36,-52,-45,-2,57,-7,20,42,43,228,2,51,-112,-100,-220,-376,-542
"68","61","  Services","A3261BC0",459,463,372,256,282,295,278,391,354,431,407,571,452,647,555,828,968,1389,1709,2021,2246,1670
"69","62","    Hotels and other lodging places","B3262BC0",78,69,58,51,56,41,38,28,34,30,8,6,-21,-38,-45,-45,-41,7,46,122,127,121
"70","63","    Personal services","B3263BC0",49,50,43,42,42,43,44,48,63,68,72,80,83,78,71,106,144,184,192,199,225,198
"71","64","    Business services","B3264BC0",87,88,98,96,99,106,104,126,160,202,194,214,226,229,208,279,320,403,525,539,404,261
"72","65","    Auto repair, services, and parking","B3265BC0",13,10,15,15,17,17,11,15,13,0,14,33,27,34,50,41,58,76,77,72,105,116
"73","66","    Miscellaneous repair services","B3266BC0",8,6,2,2,0,-5,-16,-8,-3,-9,-14,-7,9,14,17,14,33,37,45,35,36,55
"74","67","    Motion pictures","B3267BC0",127,165,102,-25,-22,12,32,93,-37,1,3,65,-27,169,66,205,231,420,392,454,756,297
"75","68","    Amusement and recreation services","B3268BC0",38,22,0,5,16,8,-4,-3,1,7,10,39,19,16,9,8,29,23,74,73,89,103
"76","69","    Other services","A3269BC0",59,53,54,70,73,73,68,91,122,131,121,140,136,145,179,220,193,239,358,526,504,518
"77","70","      Health services","B3270BC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,57,60,62,131,153,140
"78","71","      Legal services","B3271BC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,21,11,26,17,12,-1
"79","72","      Educational services","B3272BC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,7,1,5,19,29
"80","73","      Other \1\","B3273BC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,114,161,268,373,319,352
"81","74","Rest of the world \2\","A3274C0",1261,1125,1269,1744,1888,1798,1962,2354,2821,3092,2523,2718,3137,3316,3772,4081,4469,4706,4528,4775,5636,6595
"82","75","  Receipts from the rest of the world","B3275C0",1652,1554,1767,2249,2345,2288,2442,2890,3356,3630,3078,3382,3790,4045,4494,4885,5379,5782,5656,5990,6996,8047
"83","76","  Less: Payments to the rest of the world","B3276C0",391,429,498,505,457,490,480,536,535,538,555,664,653,729,722,804,910,1076,1128,1215,1360,1452
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2. Consists of receipts by all U.S. residents, including both corporations and persons, of dividends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","foreign affiliates, and earnings of unincorporated foreign affiliates (line 75), net of corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
