"","Table 6#5D# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"69","62","    Real estate and rental and leasing","N4362C0",1765,1806,1827,1923,1919,1935,1967,2004,2037,2023,2012,1870,1791,1801,1827,1878,1925
"70","63","      Real estate","N4363C0",1181,1209,1219,1286,1317,1339,1365,1399,1425,1419,1415,1342,1305,1312,1331,1374,1413
"71","64","      Rental and leasing services and lessors of intangible assets \5\","N4364C0",585,597,608,638,602,596,603,604,612,604,597,528,486,489,496,504,513
"72","65","    Professional, scientific, and technical services","N4365C0",5776,6099,6462,6624,6413,6375,6511,6790,7105,7354,7533,7180,7158,7338,7531,7790,7995
"73","66","      Legal services","N4366C0",985,1008,1022,1053,1074,1099,1113,1124,1129,1133,1124,1084,1072,1067,1071,1088,1075
"74","67","      Computer systems design and related services","N4367C0",982,1100,1219,1235,1096,1061,1091,1143,1215,1304,1376,1342,1380,1466,1540,1624,1703
"75","68","      Miscellaneous professional, scientific, and technical services \6\","N4368C0",3809,3991,4221,4336,4244,4215,4307,4524,4761,4918,5034,4755,4705,4805,4919,5078,5217
"76","69","    Management of companies and enterprises \7\","N4369C0",1581,1614,1626,1633,1624,1660,1669,1743,1762,1809,1818,1795,1791,1826,1883,1975,2008
"77","70","    Administrative and waste management services","N4370C0",6815,7216,7564,7093,6974,6898,7188,7435,7618,7779,7456,6642,6832,7135,7358,7620,7927
"78","71","      Administrative and support services","N4371C0",6524,6922,7267,6782,6663,6587,6871,7107,7284,7435,7106,6304,6490,6784,7003,7258,7551
"79","72","      Waste management and remediation services","N4372C0",291,295,297,311,311,311,316,327,333,345,350,338,342,351,356,362,376
"80","73","    Educational services","N4373C0",2025,2100,2179,2271,2383,2421,2510,2543,2619,2688,2769,2804,2865,2927,2972,3030,3060
"81","74","    Health care and social assistance","N4374C0",11146,11376,11636,11949,12325,12646,12907,13258,13686,14025,14447,14684,14910,15104,15724,16119,16478
"82","75","      Ambulatory health care services","N4375C0",3803,3831,3929,4054,4190,4341,4475,4652,4841,4968,5128,5233,5371,5531,5693,5829,6005
"83","76","      Hospitals","N4390C0",3440,3499,3527,3753,3864,3924,3973,4056,4140,4239,4351,4400,4405,4433,4499,4512,4508
"84","77","      Nursing and residential care facilities","N4391C0",2289,2326,2374,2451,2496,2536,2558,2590,2637,2672,2743,2790,2839,2866,2899,2918,2980
"85","78","      Social assistance","N4392C0",1614,1719,1806,1691,1775,1845,1901,1960,2068,2146,2225,2261,2296,2275,2634,2861,2984
"86","79","    Arts, entertainment, and recreation","N4393C0",1327,1388,1478,1526,1539,1515,1552,1601,1620,1681,1663,1607,1598,1592,1631,1693,1754
"87","80","      Performing arts, spectator sports, museums, and related activities","N4394C0",375,387,413,429,427,419,425,435,445,466,463,447,442,443,454,476,498
"88","81","      Amusements, gambling, and recreation industries","N4395C0",952,1001,1064,1097,1112,1097,1127,1166,1174,1214,1200,1160,1156,1149,1177,1217,1255
"89","82","    Accommodation and food services","N4396C0",7946,8207,8412,8309,8347,8468,8495,8948,9213,9384,9389,8938,8888,9164,9549,9825,10130
"90","83","      Accommodation","N4397C0",1566,1612,1654,1674,1629,1621,1448,1672,1685,1713,1731,1571,1559,1610,1639,1686,1710
"91","84","      Food services and drinking places","N4398C0",6379,6594,6757,6635,6718,6847,7047,7276,7528,7671,7657,7367,7329,7554,7909,8139,8420
"92","85","    Other services, except government","N4399C0",5471,5571,5649,5645,5791,5820,5885,5855,5867,5987,6031,5781,5579,5590,5712,5705,5936
"93","86","  Government","A4376C0",18701,18844,19101,19431,19804,19922,19916,19933,20008,20279,20551,20629,20520,20235,20003,19908,20125
"94","87","    Federal","A4377C0",4205,4162,4171,4134,4196,4253,4210,4165,4155,4207,4284,4339,4400,4340,4279,4216,4162
"95","88","      General government","A4378C0",3417,3370,3391,3356,3409,3486,3474,3439,3437,3444,3525,3660,3780,3749,3705,3654,3607
"96","89","        Civilian","B4379C0",1846,1821,1844,1808,1832,1884,1882,1889,1890,1902,1959,2075,2181,2158,2140,2108,2108
"97","90","        Military \8\","B4380C0",1571,1549,1547,1548,1577,1602,1592,1550,1547,1542,1566,1585,1599,1591,1565,1546,1499
"98","91","      Government enterprises","B4381C0",788,792,780,778,787,767,736,726,718,763,759,679,620,591,574,562,555
"99","92","    State and local","A4382C0",14496,14682,14930,15297,15608,15669,15706,15768,15853,16072,16267,16290,16120,15895,15724,15692,15963
"100","93","      General government","A4383C0",13548,13726,13961,14279,14536,14583,14602,14668,14747,14925,15112,15137,14982,14766,14649,14597,14845
"101","94","        Education","B4384C0",7234,7372,7572,7742,7898,7912,7952,7997,8040,8127,8214,8218,8186,8089,8154,8041,8037
"102","95","        Other \9\","B4385C0",6314,6354,6389,6537,6638,6671,6650,6671,6707,6798,6898,6919,6796,6677,6495,6556,6808
"103","96","      Government enterprises \9\","B4386C0",948,956,969,1018,1072,1086,1104,1100,1106,1147,1155,1153,1138,1129,1075,1095,1118
"104","97","Rest of the world \10\","A4387C0",-401,-441,-396,-541,-549,-592,-628,-665,-686,-725,-1100,-802,-822,-826,-979,-1027,-1068
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. Full-time equivalent employees equals the number of employees on full-time schedules plus the number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","of employees on part-time schedules converted to a full-time basis. The number of full-time equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","employees in each industry is the product of the total number of employees and the ratio of average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","weekly hours per employee for all employees to the average weekly hours per employee on full-time schedules.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of furniture and home furnishings stores; electronics and appliance stores; building material",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","and garden equipment and supplies dealers; health and personal care stores; gasoline stations; clothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","and clothing accessories stores; sporting goods, hobby, book, and music stores; miscellaneous store",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Consists of scenic and sightseeing transportation; transportation support activities; and couriers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","and related services; specialized design services; management, scientific, and technical consulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","services; scientific research and development services; advertising and related services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and regional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","8. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","9. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","10. Includes estimates of foreign professional workers and undocumented Mexican migratory workers employed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
