"","Table 6#18B# Taxes on Corporate Income by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Mining","A3106BC0",280,408,323,362,641,1727,1572,1723,1961,1862,2402,2032,1964,831,467,1066,330,360,876
"14","7","    Metal mining","B3107BC0",83,93,4,19,88,119,46,39,34,80,101,121,64,-51,10,1,-22,1,141
"15","8","    Coal mining","B3108BC0",16,126,78,43,63,569,548,338,199,148,136,141,136,86,116,69,25,118,164
"16","9","    Oil and gas extraction","B3109BC0",109,133,170,235,391,918,884,1248,1619,1461,1947,1542,1651,715,231,809,149,-113,196
"17","10","    Nonmetallic minerals, except fuels","B3110BC0",72,56,71,65,99,121,94,98,109,173,218,228,113,81,110,187,178,354,375
"18","11","  Construction","B3111BC0",828,825,982,971,1041,1016,1161,1272,1460,1697,2084,2141,1972,1311,1343,1375,1889,2443,2862
"19","12","  Manufacturing","A3112BC0",19915,15155,17386,20433,24705,25645,25159,34070,38195,41696,42998,41077,39255,28169,34301,41336,35040,34476,46352
"20","13","    Durable goods","A3113BC0",11371,7240,9184,11575,13547,12104,11451,16915,20563,23118,20969,15606,16606,9531,12400,18954,14073,14720,19515
"21","14","      Lumber and wood products","B3114BC0",316,177,281,496,869,550,297,641,916,1083,927,371,189,4,535,604,553,832,1399
"22","15","      Furniture and fixtures","B3115BC0",258,177,187,255,233,188,204,278,332,411,427,431,439,386,570,658,777,897,733
"23","16","      Stone, clay, and glass products","B3116BC0",539,376,480,574,574,436,439,722,902,1241,1059,704,480,190,789,976,1152,1417,1385
"24","17","      Primary metal industries","B3117BC0",834,508,378,699,1135,2510,1186,1007,975,1679,1934,1633,1438,143,-178,765,396,538,936
"25","18","      Fabricated metal products","B3118BC0",1169,875,868,1063,1311,1685,1644,2076,2349,2444,2644,2367,2746,1753,1868,2459,2175,2308,2451
"26","19","      Machinery, except electrical","B3119BC0",2315,1898,1846,2244,2796,2817,2961,3935,4688,5354,5126,4363,4772,3160,2714,3659,2307,1978,2919
"27","20","      Electric and electronic equipment","B3120BC0",1570,1019,1230,1616,1817,1317,1442,2333,2982,3357,3230,2980,2924,2221,2608,3633,2683,2825,3197
"28","21","      Motor vehicles and equipment","B3121BC0",2619,913,2575,3032,3030,908,1447,3642,4854,4745,2725,0,968,237,1561,3245,1724,1938,2577
"29","22","      Other transportation equipment","B3122BC0",507,425,397,500,543,581,546,680,802,793,804,592,461,-72,735,935,990,642,1991
"30","23","      Instruments and related products","B3123BC0",944,679,661,758,842,773,836,1059,1185,1405,1401,1542,1449,972,764,1161,657,664,1129
"31","24","      Miscellaneous manufacturing industries","B3124BC0",300,193,281,338,397,339,449,542,578,606,692,623,740,537,434,859,659,681,798
"32","25","    Nondurable goods","A3125BC0",8544,7915,8202,8858,11158,13541,13708,17155,17632,18578,22029,25471,22649,18638,21901,22382,20967,19756,26837
"33","26","      Food and kindred products","B3126BC0",1822,1843,1825,1745,2191,2626,3286,3357,3477,3499,3355,4095,3609,3417,3488,3495,4742,3982,5736
"34","27","      Tobacco manufactures","B3127BC0",437,478,504,484,446,435,592,730,827,925,1001,932,999,1122,1311,2035,1286,1109,653
"35","28","      Textile mill products","B3128BC0",541,465,459,506,611,530,402,594,694,805,775,622,587,434,771,633,644,943,814
"36","29","      Apparel and other textile products","B3129BC0",398,364,397,425,512,434,530,645,809,695,710,826,871,803,1099,802,895,839,579
"37","30","      Paper and allied products","B3130BC0",627,488,448,620,995,1373,918,1192,1129,1304,1574,1176,1131,845,1151,1501,1189,1325,2341
"38","31","      Printing and publishing","B3131BC0",1008,832,932,1040,1162,1162,1297,1666,2035,2298,2191,2071,2068,2003,2617,3178,3244,4180,3789
"39","32","      Chemicals and allied products","B3132BC0",2549,2230,2266,2586,3169,3743,3415,4070,4117,4221,4114,3675,3831,3106,4011,4069,3830,4813,7674
"40","33","      Petroleum and coal products","B3133BC0",608,844,850,881,1474,2749,2718,4166,3657,3869,7395,11242,8493,6041,6434,5631,4176,1511,3919
"41","34","      Rubber and miscellaneous plastics products","B3134BC0",426,248,397,455,485,383,393,514,678,683,632,473,693,533,748,835,802,879,1149
"42","35","      Leather and leather products","B3135BC0",128,123,124,116,113,106,157,221,209,279,282,359,367,334,271,203,159,175,183
"43","36","  Transportation and public utilities","A3136BC0",5479,4538,4112,3974,4069,4013,3343,4558,5341,6298,5754,6263,6279,5200,7711,11199,11102,13751,19423
"44","37","    Transportation","A3137BC0",597,427,620,853,875,1079,904,1153,1137,1391,1637,1695,1596,1037,1742,1999,1793,1581,3035
"45","38","      Railroad transportation","B3138BC0",122,41,59,114,129,210,106,166,26,178,358,399,105,2,132,295,241,11,855
"46","39","      Local and interurban passenger transit","B3139BC0",35,20,31,42,14,19,16,18,9,25,47,51,42,35,44,75,46,59,55
"47","40","      Trucking and warehousing","B3140BC0",261,239,368,462,442,416,405,500,512,578,505,562,781,513,887,625,755,1008,610
"48","41","      Water transportation","B3141BC0",72,61,45,53,74,183,137,97,122,112,165,211,151,-15,31,65,7,1,113
"49","42","      Transportation by air","B3142BC0",5,-41,14,65,72,85,15,83,127,156,84,51,29,-124,-40,349,161,47,845
"50","43","      Pipelines, except natural gas","B3143BC0",56,68,60,81,93,121,174,207,237,220,360,310,369,573,603,483,480,365,369
"51","44","      Transportation services","B3144BC0",46,39,43,36,51,45,51,82,104,122,118,111,119,53,85,107,103,90,188
"52","45","    Communication","A3145BC0",2721,2256,1791,1478,1635,1486,794,1518,1775,2494,1849,1922,1891,1516,1930,3638,3948,6032,7721
"53","46","      Telephone and telegraph","B3146BC0",2518,2098,1635,1240,1369,1204,507,1016,1156,1779,1166,1280,1358,980,1327,2763,3416,5520,7022
"54","47","      Radio and television","B3147BC0",203,158,156,238,266,282,287,502,619,715,683,642,533,536,603,875,532,512,699
"55","48","    Electric, gas, and sanitary services","B3148BC0",2161,1855,1701,1643,1559,1448,1645,1887,2429,2413,2268,2646,2792,2647,4039,5562,5361,6138,8667
"56","49","  Wholesale trade","B3149BC0",2265,2148,2343,2753,4065,5338,4260,4399,4870,5602,6806,6949,6605,5035,5921,7438,8806,8843,7795
"57","50","  Retail trade","B3150BC0",2798,2576,3025,3246,3570,3101,4119,4669,5278,6162,5992,5340,5287,5203,7244,8059,8237,9898,9850
"58","51","  Finance, insurance, and real estate","A3151BC0",7262,8014,8855,9280,10289,10436,10303,12591,14937,18557,20619,19957,19318,18193,20116,23074,29784,35205,37475
"59","52","    Banking","J3152C0",4281,5121,4735,4425,5608,6648,6337,6987,7384,9154,11651,13519,15573,15871,16123,18336,21335,21918,24322
"60","53","      Federal Reserve banks","B3153BC0",3019,3494,3357,3231,4341,5550,5382,5870,5937,7006,9279,11706,14024,15205,14229,16054,17796,17804,17739
"61","54","      Commercial and mutual banks","J3154C0",1262,1627,1378,1194,1267,1098,955,1117,1447,2148,2372,1813,1549,666,1894,2282,3539,4114,6583
"62","55","    Credit agencies other than banks","J3155C0",489,462,716,898,1015,814,835,1303,1765,2221,1711,88,-820,-1556,63,154,1335,2372,3404
"63","56","    Security and commodity brokers","B3156BC0",157,125,334,262,92,116,323,389,203,283,334,845,544,806,809,399,845,1712,1023
"64","57","    Insurance carriers","B3157BC0",1417,1493,2036,2536,2444,2059,1994,2597,3815,4791,4761,3439,2124,1961,1076,1741,3244,5212,5185
"65","58","    Insurance agents, brokers, and service","B3158BC0",93,141,158,159,163,159,162,263,365,415,409,420,302,232,209,242,510,758,778
"66","59","    Real estate","B3159BC0",629,543,685,734,725,500,565,798,1074,1255,1222,970,973,457,1189,1483,1461,1768,1264
"67","60","    Holding and other investment offices","B3160BC0",196,129,191,266,242,140,87,254,331,438,531,676,622,422,647,719,1054,1465,1499
"68","61","  Services","A3161BC0",1033,1003,1013,1149,1276,1251,1438,1732,2109,2619,2948,3025,3332,2461,3366,3649,3929,4249,5292
"69","62","    Hotels and other lodging places","B3162BC0",121,103,80,122,96,46,79,96,182,315,410,345,360,224,322,226,246,277,262
"70","63","    Personal services","B3163BC0",88,91,88,102,115,129,113,121,132,156,179,180,203,163,200,228,223,233,264
"71","64","    Business services","B3164BC0",414,381,367,371,470,408,496,553,742,868,972,903,1038,812,990,1408,1448,1676,1825
"72","65","    Auto repair, services, and parking","B3165BC0",62,53,77,66,72,83,71,114,131,126,112,86,84,52,97,105,107,134,205
"73","66","    Miscellaneous repair services","B3166BC0",18,17,15,23,21,36,43,51,46,52,59,88,100,53,57,81,79,102,79
"74","67","    Motion pictures","B3167BC0",57,85,45,52,51,72,101,105,148,177,176,136,138,115,140,76,81,139,168
"75","68","    Amusement and recreation services","B3168BC0",116,105,114,118,142,149,180,209,232,263,314,347,314,200,170,113,174,224,274
"76","69","    Other services","A3169BC0",157,168,227,295,309,328,355,483,496,662,726,940,1095,842,1390,1412,1571,1464,2215
"77","70","      Health services","B3170BC0",73,91,123,135,164,179,206,259,276,343,389,506,623,542,919,936,1075,923,1454
"78","71","      Legal services","B3171BC0",8,0,9,9,11,10,15,15,17,27,40,38,49,61,129,97,127,155,231
"79","72","      Educational services","B3172BC0",2,8,4,8,20,6,22,20,16,41,38,48,43,22,45,56,55,39,67
"80","73","      Other \2\","B3173BC0",74,69,91,143,114,133,112,189,187,251,259,348,380,217,297,323,314,347,463
"81","74","Rest of the world","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","1. Consists of taxes on corporate income paid to federal, state, and local government and taxes paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","by domestic corporations to foreign governments on income earned abroad.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Consists of social services, membership organizations, and miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
