"","Table 6#18D# Taxes on Corporate Income by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"54","47","  Information","N3147C0",21462,26222,23685,8172,4116,11687,17566,26092,33062,33871,21618,19663,24406,21404,28413,31197,33402
"55","48","    Publishing industries (includes software)","N3148C0",4932,8253,7278,4035,4263,6425,7754,10020,10343,11443,6099,6143,7119,7196,7763,NA,NA
"56","49","    Motion picture and sound recording industries","N3149C0",948,520,165,126,608,1133,1466,492,1139,2318,1285,1216,2595,3004,3759,NA,NA
"57","50","    Broadcasting and telecommunications","N3150C0",14463,15771,15372,4034,-986,3250,6700,13505,19166,17487,10989,10109,11438,8197,11105,NA,NA
"58","51","    Information and data processing services","N3151C0",1119,1678,870,-24,231,878,1645,2074,2413,2623,3245,2194,3253,3008,5786,NA,NA
"59","52","  Finance and insurance","N3191C0",69211,66154,68525,64122,64931,79212,80461,89703,115217,112393,62016,88868,131220,124511,147058,146908,162173
"60","53","    Federal Reserve banks","N3153C0",26561,25410,25344,27089,24495,22022,18078,21468,29052,34598,31689,47430,79268,75424,88418,NA,NA
"61","54","    Credit intermediation and related activities","N3192C0",11406,11477,12089,15496,19163,19986,18784,18097,17281,15018,4911,4815,9064,13633,15512,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3193C0",6404,11050,9925,7649,4760,6817,7856,13091,18141,13270,1365,10113,11001,9583,11338,NA,NA
"63","56","    Insurance carriers and related activities","N3156C0",24720,17674,20268,12830,15421,28784,33829,35068,48617,46366,22412,26557,31000,25010,30914,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3157C0",121,543,899,1058,1093,1603,1914,1979,2126,3141,1640,-47,887,862,876,NA,NA
"65","58","  Real estate and rental and leasing","N3158C0",3113,2734,2537,2038,1788,2844,3835,5637,7453,7212,2845,594,2699,2546,3577,3464,3881
"66","59","    Real estate","N3159C0",2149,1997,1910,1510,1653,2290,3085,4035,4575,5311,1999,-40,1571,1550,1811,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3160C0",964,737,627,528,135,554,751,1603,2878,1901,847,635,1128,996,1765,NA,NA
"68","61","  Professional, scientific, and technical services","N3161C0",4858,4391,3651,1067,1512,3415,5151,5887,7561,6661,6995,6412,9358,9166,9923,9902,10861
"69","62","    Legal services","N3162C0",279,248,213,288,363,354,375,486,512,371,483,563,501,505,534,NA,NA
"70","63","    Computer systems design and related services","N3163C0",1823,1316,215,-721,-319,664,1204,1163,1727,1523,1905,1654,2388,2543,3186,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3164C0",2756,2828,3223,1501,1468,2397,3573,4238,5321,4767,4608,4196,6469,6117,6203,NA,NA
"72","65","  Management of companies and enterprises \5\","N3165C0",20388,21204,26335,27928,30299,31666,38644,50815,50441,39318,19649,2732,18766,25785,33869,37366,35461
"73","66","  Administrative and waste management services","N3168C0",2062,1614,1346,1517,1294,1372,1954,3889,3211,3661,3322,2330,3472,3291,4050,4254,4274
"74","67","    Administrative and support services","N3169C0",1614,1430,1191,1379,975,1230,1622,3360,2574,2644,2412,1280,2175,2463,3009,NA,NA
"75","68","    Waste management and remediation services","N3170C0",448,184,155,138,320,142,332,528,637,1017,909,1050,1297,829,1041,NA,NA
"76","69","  Educational services","N3171C0",219,214,346,239,340,469,650,795,773,758,962,1702,2102,1533,1156,955,1227
"77","70","  Health care and social assistance","N3172C0",2189,2124,1956,2197,3023,3349,4034,4901,5814,4097,4375,4907,4494,4117,5476,5079,5927
"78","71","    Ambulatory health care services","N3173C0",887,810,725,909,1112,1650,1649,2158,2200,1733,1933,1942,1830,1959,2046,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3175C0",1125,1134,971,899,1449,943,1505,1756,2399,1282,1351,1669,1194,1018,2213,NA,NA
"80","73","    Social assistance","N3176C0",177,180,261,389,462,756,879,987,1216,1082,1091,1297,1471,1139,1216,NA,NA
"81","74","  Arts, entertainment, and recreation","N3177C0",591,472,436,172,168,337,566,844,1466,722,622,141,404,590,780,806,974
"82","75","    Performing arts, spectator sports, museums, and related activities","N3178C0",322,217,175,104,105,207,301,456,1001,389,343,85,169,276,391,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3179C0",268,255,261,68,63,130,265,387,465,333,279,56,235,314,388,NA,NA
"84","77","  Accommodation and food services","N3180C0",2418,2800,2800,2084,1967,2214,3224,5446,5448,5296,3202,1886,3109,3682,5047,5378,6418
"85","78","    Accommodation","N3181C0",954,1074,1081,611,687,626,1415,2243,1867,2503,1055,-467,297,369,1525,NA,NA
"86","79","    Food services and drinking places","N3182C0",1464,1726,1719,1473,1280,1588,1808,3204,3581,2793,2147,2353,2812,3312,3521,NA,NA
"87","80","  Other services, except government","N3183C0",959,768,793,637,613,826,891,1083,1313,982,976,600,741,1037,1048,985,1194
"88","81","Rest of the world","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2. Consists of scenic and sightseeing transportation; transportation support activities; and couriers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","and related services; specialized design services; management, scientific, and technical consulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","services; scientific research and development services; advertising and related services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
