"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Corporate business","A438RC1",5.2,5.1,4.8,4.2,4,4.1,4.2,4.2,4.7,4.8,4.8,5,5.6,6.4,6.6,6.7,7,8,9.8,11.5,12.4,13.3,15.1,16.1,17.3,18.3,19.6,22.1,24.6,26.4,27.6,28.5,29.5,30.8,32.4,34.4,37.1,40.9,45.1,50,55.7
"12","5","      Financial","B580RC1",0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.9,2.2
"13","6","      Nonfinancial","B456RC1",5,4.9,4.6,4.1,3.9,3.9,4,4.1,4.6,4.6,4.6,4.8,5.4,6.1,6.3,6.5,6.7,7.8,9.5,11.1,12,12.8,14.6,15.6,16.7,17.7,18.9,21.4,23.8,25.5,26.7,27.6,28.6,29.8,31.3,33.3,35.8,39.4,43.5,48.1,53.5
"14","7","    Noncorporate business","W277RC1",2.9,2.8,2.6,2.3,2.1,2.1,2.1,2.2,2.4,2.5,2.5,2.6,2.9,3.3,3.3,3.4,3.5,3.9,5,5.9,6.5,7.1,8,8.5,8.8,9,9.4,10.1,10.6,11.1,11.4,11.5,11.8,12.1,12.5,13,13.8,14.8,15.8,17,18.5
"15","8","      Sole proprietorships and partnerships","A1615C1",2.4,2.4,2.2,1.9,1.7,1.8,1.7,1.8,1.9,2,2,2.1,2.3,2.6,2.6,2.7,2.8,3.1,4,4.8,5.4,5.9,6.7,7.1,7.4,7.6,7.9,8.5,9,9.5,9.7,9.7,9.7,9.9,10.2,10.6,11.2,11.9,12.7,13.7,14.9
"16","9","        Farm","B1616C1",0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1.2,1.5,1.8,2,2.3,2.5,2.5,2.6,2.6,2.7,2.8,3,3,3,3,3,3.1,3.2,3.4,3.7,4,4.2,4.5
"17","10","        Nonfarm","B1617C1",1.7,1.7,1.5,1.3,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.5,1.6,1.8,1.8,1.8,1.9,2.1,2.8,3.3,3.6,3.9,4.4,4.6,4.8,5,5.2,5.7,6.2,6.5,6.7,6.7,6.8,6.9,7.1,7.3,7.7,8.2,8.8,9.5,10.4
"18","11","      Other private business","A1618C1",0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,1,1.1,1.2,1.2,1.3,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.7,1.9,2,2.2,2.3,2.4,2.6,2.8,3,3.3,3.6
"19","12","        Rental income of persons","B1620C1",0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1,1,1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.6,1.7,1.9,2,2.1,2.3,2.5,2.7,2.9,3.2
"20","13","          Nonfarm tenant-occupied housing","B2608C1",0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2.1,2.3,2.5,2.7,2.9
"21","14","          Farm tenant-occupied housing","W278RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","15","          Farms owned by nonoperator landlords","B2609C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"23","16","          Nonfarm nonresidential properties","B2610C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"24","17","        Proprietors' income","B1619C1",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"25","18","  Households and institutions","W279RC1",1.3,1.3,1.2,1,0.9,1,1,1.1,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.9,2,2.3,3,3.4,3.7,4,4.6,5,5.3,5.6,6.1,6.6,7.1,7.4,7.8,8.2,8.5,8.8,9.3,9.9,10.7,11.5,12.4,13.6,15.2
"26","19","    Owner-occupied housing","B2607C1",1,1,0.9,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.6,1.8,2.3,2.7,2.9,3.2,3.6,4,4.2,4.5,4.9,5.3,5.6,5.9,6.2,6.5,6.7,6.9,7.2,7.6,8.2,8.8,9.5,10.4,11.6
"27","20","    Nonprofit institutions serving households","B1621C1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.5,2.7,3,3.3,3.7
"28","21","Government","A264RC1",1,1,0.9,0.9,1,1.1,1.1,1.3,1.4,1.5,1.5,1.6,2.1,3.6,6.5,9.3,10.7,11.5,11.5,10.6,9.7,9.1,10,11.1,12.1,13,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.8,25.1,26.4,28.1,30.2,32.7,35.4
"29","22","  General government","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.8,3.4,6.2,9,10.4,11.2,11.1,10.1,9.3,8.6,9.4,10.4,11.4,12.3,13.1,14.5,15.7,16.5,17.6,18.6,19.7,21.1,22.5,23.7,24.9,26.5,28.4,30.8,33.2
"30","23","    Federal","B995RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.9,2.2,4.9,7.9,9.2,9.9,9.6,8.4,7.5,6.9,7.3,8.2,9.2,10,10.7,11.6,12.6,13.3,14.2,15,15.9,17,18.1,19,19.8,20.8,22.2,23.8,25.5
"31","24","    State and local","B986RC1",0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.2,1.2,1.1,1.3,1.5,1.7,1.7,1.7,2.1,2.2,2.3,2.3,2.5,2.9,3.1,3.2,3.4,3.6,3.8,4.1,4.4,4.7,5.1,5.7,6.2,6.9,7.8
"32","25","  Government enterprises","A266RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2
"33","26","    Federal","B833RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
"34","27","    State and local","B846RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.9
"35",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Nonfarm business","B1667C1",7.5,7.3,6.8,6,5.7,5.9,5.9,6.1,6.8,6.9,6.9,7.3,8,9.1,9.3,9.6,9.9,11.3,13.9,16.3,17.6,18.8,21.4,22.7,24.2,25.4,27,30.2,33.2,35.5,36.9,38,39.3,41,42.9,45.4,48.8,53.4,58.5,64.4,71.6
