"","Table 6#19A# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"58","51","  Wholesale trade","Q3249C0",354,24,-103,-162,130,262,281,429,361,185,355,427,656,545,540,573,584,1546,1708
"59","52","  Retail trade and automobile services","Q3250C0",575,159,-82,-299,111,365,415,568,506,308,505,584,839,828,896,880,938,2084,2312
"60","53","  Finance, insurance, and real estate","Q3251C0",1473,616,388,290,403,135,190,581,609,810,837,946,1024,1097,1268,1545,1446,2002,1869
"61","54","    Banking","A3252C0",937,762,664,571,533,417,458,510,556,534,552,605,646,625,741,846,887,1043,1036
"62","55","    Security and commodity brokers, and services","Q3256C0",182,-187,-214,-45,-97,4,-18,21,-51,-11,12,0,-1,-5,6,14,21,13,-1
"63","56","    Credit agencies (other than banks) and holding and other investment companies","Q3259C0",84,-58,-57,-64,-91,-158,-133,-147,-114,-80,-60,1,20,96,83,70,61,103,170
"64","57","    Insurance carriers","B3255C0",199,109,118,160,414,216,166,340,317,393,346,333,285,324,298,410,286,471,202
"65","58","    Insurance agents, brokers, and service","Q3257C0",29,22,24,25,20,23,20,20,19,18,20,20,24,16,14,15,13,33,44
"66","59","    Real estate","Q3258C0",42,-32,-147,-357,-376,-367,-303,-163,-118,-44,-33,-13,50,41,126,190,178,339,418
"67","60","  Services","Q3261C0",309,238,63,-80,-11,93,116,160,165,119,130,148,220,253,391,428,459,708,586
"68","61","    Hotels and other lodging places","Q3262C0",10,-4,-24,-34,-30,-23,-23,-24,-23,-30,-23,-11,-7,13,47,53,54,84,75
"69","62","    Personal services","Q3263C0",32,26,15,3,12,22,23,25,23,10,15,16,21,27,32,36,32,50,55
"70","63","    Business services","Q3264C0",52,47,22,10,9,29,31,32,31,25,35,32,39,33,38,43,43,75,85
"71","64","    Miscellaneous repair services","Q3266C0",5,4,2,2,2,5,3,4,3,2,1,2,5,6,5,5,4,6,10
"72","65","    Motion pictures","Q3267C0",168,148,58,-33,19,64,78,108,114,103,83,91,137,142,223,247,277,357,240
"73","66","    Amusement and recreation services","Q3268C0",13,0,-12,-20,-15,-1,4,10,11,6,11,11,12,11,16,21,31,65,50
"74","67","    Other services","Q3269C0",29,17,2,-8,-9,-3,1,6,6,4,8,7,12,20,30,23,18,71,71
"75","68","      Health services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","69","      Legal services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","70","      Educational services, n.e.c.","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","71","      Social services and membership organizations","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","72","Rest of the world \1\","A3274C0",232,137,-4,-34,-2,60,159,104,272,301,324,266,391,378,372,423,342,691,986
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of receipts by all U.S. residents, including both corporations and persons, of dividends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","foreign affiliates, and earnings of unincorporated foreign affiliates, net of corresponding payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Receipts by U.S. residents of their share of reinvested earnings of their incorporated foreign affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","are not included from 1930 to 1936; corresponding payments are not included from 1930 to 1939.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
