"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","3","  Durable goods manufacturing industries","PK30D3",92.282,92.238,92.315,92.239,91.949,91.909,91.788,91.661,91.556,91.397,91.357,91.245,91.145,91.047,90.969,90.802,90.663,90.544,90.515,90.377,90.321,90.218,90.198,90.024,89.845,89.815,89.748,89.667,89.71,89.713,89.628,89.614,89.566,89.662,89.654,89.69,89.74,89.788,89.824,89.75,89.682,89.706,89.791,89.727,89.801,89.618,89.661,89.613,89.587,89.431,89.464,89.401,89.441,89.424,89.388,89.248,89.299,88.812,88.873,88.931,88.812,88.856,88.873,88.787,88.756,88.843,88.706,88.645,88.761,88.737,88.722,88.565,88.55,88.506,88.716,88.397,88.426,88.386,88.518,88.496,88.57,88.756,88.94,88.91,89.046,89.536,90.102,90.641,91.185,91.33,91.386,91.939,92.287,92.498,92.567,92.927,93.316,93.447,93.494,93.472,93.357,93.243,93.414,93.371,93.674,93.793,93.91,94.063,94.686,94.925,95.194,95.549,96.151,96.435,96.48,96.877,97.185,96.931,97.425,97.603,97.705,97.651,97.732,98.137,98.286,98.269,98.179,97.832,97.536,98.072,98.241,98.128,98.591,99.049,99.661,100.631,101.526,102.075,102.803,103.152,103.018,102.935,102.022,101.27,100.801,100.341,99.972,99.584,99.415,99.394,99.341,99.761,99.935,100.371,100.43,100.531,100.708,100.968,101.133,101.728,102.008,101.659,101.349,101.327,101.39,101.88,101.94,102.013,102.579,103.314,103.716,104.245,104.312,104.458,104.614,104.615,104.42,104.471,104.392,104.39,104.544,104.922,105.006,105.076,105.036,104.85,104.757,104.626,104.72,105.001,104.987,105.082,105.283,105.337,105.307,105.471,105.329,105.223,105.167,105.232,105.196,105.657,105.862,106.012,106.17,106.328,106.117,106.154,106.305,106.345,106.557,106.706,106.731,107.125,106.999,107.035
"12","4","    Wood product manufacturing","PK3213",93.251,93.805,94.806,94.984,95.599,94.829,95.001,94.821,95.068,95.364,96.211,95.817,95.487,95.807,95.515,95.201,94.737,93.578,94.236,94.995,94.958,94.296,94.191,94.339,94.463,94.89,95.474,95.341,96.201,97.87,99.773,98.921,97.554,96.289,96.396,96.833,97.049,96.631,96.547,95.73,94.327,94.013,93.374,92.551,92.616,93.195,93.164,92.917,92.164,92.269,92.288,92.171,95.355,96.168,94.006,93.814,93.597,92.463,92.259,91.938,92.253,92.298,92.966,92.868,92.38,91.845,91.981,92.517,92.144,92.284,92.297,92.504,92.41,92.78,92.104,92.268,92.371,93.194,95.229,95.947,99.324,100.247,101.13,100.158,98.553,102.065,104.667,105.918,107.812,105.646,104.113,107.412,108.064,105.472,103.32,104.698,104.975,106.906,106.667,106.016,104.152,106.977,105.758,104.778,107.137,108.443,105.87,106.746,107.585,107.263,107.193,106.863,107.091,105.327,105.059,103.794,103.845,103.183,103.44,103.977,104.329,104.395,104.17,104.403,104.313,104.51,105.785,104.43,103.972,103.776,103.5,103.218,102.605,102.453,102.773,102.721,105.067,106.13,105.487,105.783,105.683,104.748,104.352,103.699,102.058,100.885,99.704,98.992,98.731,98.833,100.153,100.029,100.563,99.471,100.09,100.51,98.7,100.752,101.995,104.411,106.721,103.57,102.749,101.439,101.084,101.128,101.344,101.994,102.712,102.62,102.808,102.544,101.746,101.972,102.431,102.776,102.898,103.912,103.616,103.339,103.408,104.056,104.949,105.391,106.86,107.3,106.947,108.427,109.402,108.203,109.878,110.886,113.103,114.234,115.604,117.018,115.176,113.696,113.19,114.119,114.456,115.545,116.304,116.289,117.058,117.406,117.735,117.753,119.031,120.031,121.087,122.033,122.392,121.937,121.491,120.809
"13","5","    Nonmetallic mineral product manufacturing","PK3273",74.625,74.664,74.755,74.944,74.898,74.862,74.882,75.026,74.996,75.152,75.192,75.158,74.904,74.939,74.964,75.407,75.584,75.795,76.134,76.352,76.452,76.623,76.643,76.675,76.697,77.243,77.313,77.396,77.609,77.778,77.797,78.19,78.237,78.502,78.529,78.449,78.729,78.806,78.876,78.876,78.885,78.931,78.822,78.672,78.804,78.717,78.69,78.541,78.683,79.126,79.07,79.155,79.174,79.034,79.249,79.328,79.426,79.639,79.832,79.726,79.629,79.381,79.299,79.441,79.717,79.807,79.8,80.076,80.08,80.113,80.095,80.174,80.017,80.156,80.138,80.281,80.261,80.249,80.304,80.363,80.461,80.522,80.778,80.738,80.736,81.347,81.325,81.639,82.132,82.532,83.014,83.644,84.175,84.51,84.703,84.904,85.784,86.326,86.728,87.073,87.388,87.787,88.548,88.934,89.335,89.804,90.654,91.027,92.634,93.33,93.771,94.132,94.641,94.952,95.591,95.722,95.762,95.683,95.811,95.839,96.328,96.333,96.648,96.842,96.744,96.834,96.449,96.349,96.447,96.402,96.451,96.543,96.896,96.951,97.21,97.517,97.736,97.897,98.472,99.082,99.383,99.917,100.152,100.312,101.066,100.965,100.612,100.754,100.36,100.152,99.929,99.693,99.451,99.083,98.936,98.9,98.789,99.002,99.004,98.866,98.855,98.963,98.791,99.016,98.94,98.985,98.937,98.993,98.886,99.218,99.642,99.788,99.801,100.087,100.473,100.46,100.327,100.155,100.354,100.883,101.547,102.103,102.337,102.504,102.636,102.787,103.053,103.32,103.262,103.439,103.555,103.723,104.73,105.177,105.419,105.827,106.048,106.162,106.334,106.577,106.759,106.745,106.816,106.939,107.436,108.059,108.262,108.606,108.557,108.907,109.179,109.453,109.486,109.401,109.336,109.698
"14","6","    Primary metal manufacturing","PK3313",74.254,74.668,75.184,75.137,74.944,75.191,74.882,75.061,75.143,75.073,75.078,74.89,74.551,74.36,73.896,73.711,73.321,72.772,72.155,71.997,71.578,71.072,70.598,69.981,69.392,68.903,68.671,68.452,68.658,68.752,68.831,69.085,69.435,70.027,70.197,70.621,71.449,72.089,72.164,72.405,72.174,71.927,72.049,71.99,72.021,71.923,71.209,71.125,70.821,70.613,70.298,69.713,69.584,69.393,69.126,68.874,68.619,68.215,68.041,68.017,67.958,67.852,68.244,68.256,68.697,69.409,69.774,69.957,70.443,70.579,70.932,71.108,71.084,71.143,70.981,70.495,70.46,70.448,70.378,70.71,70.938,71.516,72.246,73.224,74.848,77.468,79.634,82.729,84.859,84.781,86.181,88.658,90.325,91.558,92.713,93.875,95.493,95.902,95.118,93.991,92.516,90.782,89.943,89.11,90.37,92.195,94.8,96.47,98.599,99.685,100.082,101.572,106.005,107.773,110.171,111.06,112.051,112.937,112.154,112.669,109.874,110.395,111.82,115.765,117.535,117.172,116.764,113.823,111.657,111.316,111.797,111.643,112.799,115.753,121.142,126.352,132.026,135.859,138.456,138.631,135.19,125.855,116.636,108.184,103.367,99.597,97.359,94.332,93.84,94.438,95.546,99.765,103.252,105.067,104.463,106.124,108.666,110.494,111.901,116.099,117.722,116.379,113.427,112.501,113.857,115.598,117.204,117.582,120.474,125.092,126.86,129.578,129.511,128.65,128.797,128.261,126.941,124.534,123.63,121.973,122.028,124.058,124.102,123.35,121.863,119.834,118.363,116.7,118.095,117.313,116.4,117.059,117.181,116.841,116.33,115.969,114.668,114.393,114.006,114.272,114.203,114.411,114.953,115.441,115.494,116.255,115.768,115.83,117.211,116.932,117.899,118.83,119.275,118.709,118.388,117.97
"15","7","    Fabricated metal product manufacturing","PK3323",72.198,72.264,72.384,72.469,72.521,72.569,72.692,72.787,72.823,72.963,72.977,72.987,73.082,73.167,73.226,73.27,73.38,73.477,73.479,73.458,73.491,73.498,73.629,73.619,73.576,73.569,73.544,73.618,73.643,73.678,73.709,73.744,73.844,73.963,74.083,74.111,74.227,74.283,74.442,74.52,74.564,74.676,74.742,74.768,74.798,74.882,74.921,74.972,75.134,75.155,75.215,75.263,75.32,75.301,75.338,75.354,75.359,75.417,75.391,75.453,75.514,75.491,75.486,75.537,75.575,75.611,75.737,75.732,75.779,75.814,75.839,75.85,75.871,75.894,75.94,75.915,75.909,75.925,76.035,76.062,76.104,76.147,76.339,76.471,76.998,77.605,78.733,79.761,80.605,81.139,81.491,82.095,82.559,82.86,83.132,83.284,83.811,84.406,84.685,84.941,85.001,85.114,85.091,85.246,85.379,85.665,85.918,86.187,86.698,86.9,87.247,87.659,88.003,88.5,89.16,89.648,89.835,90.218,90.392,90.724,91.201,91.576,91.927,92.288,92.63,92.457,92.567,92.912,92.798,93.104,93.344,93.814,94.665,95.33,96.154,97.677,98.935,99.808,101.188,102.044,102.367,102.381,102.274,102.046,102.083,101.443,100.95,100.24,99.891,99.563,99.241,99.082,99.232,99.329,99.316,99.388,99.524,99.859,100.106,100.319,100.713,100.747,100.862,101.175,100.643,100.725,100.801,101.049,101.696,102.344,102.862,103.545,103.988,104.37,104.588,104.651,104.738,104.639,104.674,104.987,105.023,105.316,105.468,105.822,105.991,106.018,105.659,105.58,105.672,105.818,105.771,105.881,106.018,106.125,106.138,106.272,106.332,106.21,106.3,106.413,106.091,106.215,106.294,106.325,106.542,106.866,106.867,106.972,107.028,107.149,107.375,107.449,107.395,107.367,107.231,107.339
"16","8","    Machinery manufacturing","PK3333",78.069,78.144,78.234,78.345,78.404,78.399,78.531,78.614,78.641,78.721,78.735,78.807,78.908,78.995,79.082,79.15,79.195,79.279,79.354,79.415,79.547,79.563,79.62,79.704,79.829,79.901,79.941,80.051,80.111,80.123,80.174,80.225,80.212,80.318,80.309,80.374,80.436,80.523,80.56,80.578,80.636,80.761,80.871,80.913,80.984,80.99,81.041,81.11,81.26,81.318,81.459,81.509,81.584,81.716,81.718,81.826,81.861,81.898,81.996,81.992,82.015,82.074,82.195,82.165,82.201,82.223,82.322,82.322,82.41,82.549,82.574,82.563,82.653,82.635,82.64,82.723,82.784,82.863,82.892,82.953,83.01,83.102,83.177,83.226,83.348,83.567,83.818,84.088,84.279,84.459,84.772,84.9,85.18,85.42,85.681,85.822,86.411,86.662,86.992,87.157,87.534,87.683,87.879,88.067,88.186,88.399,88.605,88.809,89.259,89.438,89.604,89.74,90.009,90.274,90.518,90.763,91.067,91.417,91.651,91.819,92.301,92.586,92.817,93.098,93.146,93.218,93.347,93.584,93.756,93.957,94.244,94.429,94.803,95.148,95.481,95.92,96.425,96.949,98.069,98.507,98.944,99.313,99.741,99.866,100.072,100.02,100.05,99.978,99.961,99.901,99.988,99.906,99.993,99.985,100.031,100.096,99.927,99.959,99.99,100.159,100.204,100.078,100.135,100.282,100.43,100.486,100.504,100.742,101.104,101.376,101.714,102.095,102.372,102.67,102.98,103.16,103.443,103.67,103.862,103.937,104.114,104.534,104.678,104.83,104.932,104.989,105.073,105.244,105.299,105.421,105.611,105.713,105.821,106.002,106.117,106.193,106.309,106.367,106.451,106.525,106.624,106.799,106.832,106.885,107.193,107.463,107.534,107.737,107.797,107.984,107.992,108.108,108.209,108.301,108.305,108.406
"17","9","    Computer and electronic product manufacturing","PK3343",163.687,162.578,161.994,161.342,158.915,158.221,157.775,156.106,155.575,154.484,153.919,153.559,152.534,151.428,150.736,149.358,148.574,148.107,147.41,146.224,145.749,145.079,144.632,143.764,142.837,142.258,141.857,141.039,140.524,139.905,138.752,138.274,137.838,137.494,137.162,136.633,135.771,135.248,134.936,134.571,133.897,133.976,134.278,134.002,133.84,133.473,133.246,132.746,132.382,131.972,131.519,130.812,130.569,130.082,129.59,128.418,128.314,128.029,127.881,127.737,127.238,126.81,126.777,126.062,125.847,125.561,124.781,124.21,124.05,123.461,122.997,121.815,121.133,120.201,119.873,119.891,119.738,119.196,118.632,117.088,116.619,116.081,116.2,115.317,115.049,114.792,114.466,114.461,114.303,114.142,113.816,113.624,113.275,113.063,112.578,112.714,112.05,111.88,111.665,111.473,111.22,111.062,111.061,111.122,110.405,110.085,109.711,109.337,109.019,108.839,109.21,109.514,109.474,109.336,109.348,109.348,109.471,108.99,108.969,108.894,108.848,107.296,106.581,106.52,105.791,105.714,104.781,103.976,103.6,103.071,102.781,102.34,102.028,102.152,101.932,101.902,102.027,102.001,101.902,101.686,101.563,101.566,101.4,101.095,100.68,100.411,100.232,99.973,100.078,99.826,99.971,100.081,99.73,99.804,99.678,99.548,98.802,98.988,98.905,98.672,98.615,98.372,98.43,98.014,97.759,97.495,96.745,96.456,96.419,96.697,96.658,96.541,96.588,96.631,96.42,96.252,95.724,95.852,95.478,95.898,95.868,95.937,95.863,95.933,96.189,95.787,95.726,95.47,95.285,95.309,95.086,94.832,95.138,95.08,94.925,95.43,95.685,95.746,95.862,95.723,95.572,95.603,95.599,95.681,95.209,95.063,95.046,95.098,94.894,95.049,95.091,94.943,95.129,95.166,95.061,95.182
"18","10","    Electrical equipment, appliance, and component manufacturing","PK3353",81.033,81.148,81.368,81.362,81.512,81.535,81.406,81.322,81.311,81.189,81.153,81.159,81.102,80.982,81.114,81.101,81.11,81.231,81.192,81.198,81.21,81.095,81.056,80.983,80.932,80.75,80.709,80.639,80.76,80.718,80.892,80.973,81.057,81.127,81.096,81.074,81.186,81.329,81.374,81.344,81.405,81.392,81.509,81.502,81.462,81.517,81.429,81.341,81.37,81.435,81.466,81.392,81.444,81.399,81.331,81.193,81.232,81.133,81.112,81.144,81.196,81.222,80.987,80.981,80.92,80.977,80.933,80.962,80.849,80.781,80.756,80.721,80.815,80.414,80.427,80.411,80.458,80.472,80.403,80.422,80.402,80.446,80.508,80.701,80.766,81.007,81.711,82.225,82.787,82.858,82.907,83.038,83.287,83.604,83.622,83.841,84.676,85,85.338,85.492,85.51,85.73,85.888,85.887,86.238,86.774,87.564,87.985,88.481,88.777,89.189,90.158,91.605,92.729,92.856,93.578,93.63,93.661,93.483,93.396,93.292,93.339,93.631,94.403,95.24,95.396,95.866,96.096,96.284,96.774,96.799,96.825,97.427,97.898,98.77,99.031,99.418,99.669,100.438,100.494,100.887,100.739,99.436,99.093,99.041,98.992,99.203,99.482,99.785,99.692,99.753,100.377,100.536,100.787,101.101,101.391,101.715,101.704,101.972,102.351,102.391,102.338,102.167,102.39,102.581,102.994,103.487,104.036,104.387,104.726,104.969,105.699,105.471,105.951,106.458,106.24,106.308,105.961,106.304,106.276,106.592,107.195,107.182,107.271,107.533,107.162,107.211,107.19,107.337,107.565,107.295,107.51,107.642,107.662,107.578,107.444,107.29,107.167,107.173,107.33,107.381,107.374,107.66,107.67,107.77,107.619,107.41,107.199,107.596,107.56,107.827,108.087,107.996,107.964,107.775,107.626
"19","11","    Transportation equipment manufacturing","PK3363",90.261,90.216,90.215,90.038,89.898,90.032,89.732,89.858,89.593,89.344,89.284,89.125,89.297,89.345,89.437,89.421,89.309,89.277,89.489,89.373,89.395,89.521,89.709,89.613,89.498,89.656,89.548,89.609,89.696,89.676,89.542,89.616,89.664,89.934,89.949,90.089,90.221,90.235,90.367,90.367,90.647,90.623,90.688,90.634,90.878,90.292,90.736,90.838,90.85,90.358,90.689,90.941,90.657,90.741,91.144,91.218,91.486,90.075,90.364,90.67,90.44,90.748,90.657,90.586,90.466,90.658,90.248,90.098,90.368,90.355,90.381,90.237,90.398,90.54,91.48,90.422,90.557,90.477,90.807,91.132,91.029,91.493,91.583,91.529,91.572,91.566,91.899,91.922,92.244,92.659,92.372,92.572,92.816,93.299,93.322,93.669,93.905,93.469,93.514,93.636,93.681,93.21,93.894,93.865,94.251,93.603,93.244,93.127,93.614,93.895,94.123,94.287,94.366,94.548,93.336,94.144,94.672,93.408,95.132,95.129,95.619,95.598,95.43,95.221,95.236,95.31,95.307,95.153,94.825,96.76,97.019,96.584,97.201,97.265,96.972,97.688,97.758,97.396,97.602,98.036,98.14,100.636,100.369,100.476,100.274,100.257,100.034,100.017,99.772,99.986,99.412,99.683,99.27,100.305,100.594,100.337,100.769,100.744,100.492,100.769,100.832,100.451,100.204,100.43,100.421,101.446,101.273,101.17,101.664,101.781,102.018,102.373,102.289,102.449,102.542,102.659,102.445,103.289,103.384,103.403,103.618,103.478,103.542,103.688,103.592,103.758,104.033,104.072,103.809,104.985,105.126,105.041,105.041,105.038,104.932,105.034,104.896,104.795,104.649,104.583,104.573,105.792,106.099,106.346,106.606,106.604,105.999,105.902,105.719,105.546,105.572,105.538,105.353,106.842,106.727,106.846
"20","12","      Motor vehicle and parts manufacturing","PK3MV3",97.621,97.549,97.557,97.345,97.101,97.291,96.807,96.983,96.607,96.28,96.171,95.924,96.144,96.187,96.305,96.112,95.899,95.833,96.27,96.11,96.082,96.099,96.376,96.22,96.067,96.269,96.115,96.248,96.38,96.315,96.07,96.17,96.178,96.466,96.435,96.569,96.595,96.395,96.549,96.488,96.854,96.698,96.728,96.627,96.891,95.971,96.557,96.68,96.572,95.769,96.221,96.538,96.089,96.118,96.659,96.702,97.013,94.881,95.322,95.731,95.318,95.751,95.586,95.517,95.35,95.578,94.866,94.586,94.93,94.872,94.862,94.598,94.715,94.875,96.111,94.563,94.693,94.491,94.879,95.241,95.047,95.489,95.619,95.463,95.387,95.344,95.753,95.657,96.097,96.526,95.896,96.032,96.315,96.817,96.742,97.101,97.17,96.501,96.326,96.527,96.491,95.798,96.681,96.513,96.984,95.883,95.34,95.062,95.351,95.73,95.935,95.994,96.071,96.266,94.438,95.514,96.228,94.213,96.626,96.513,97.074,96.943,96.607,96.234,96.151,96.127,95.904,95.555,94.961,97.794,98.13,97.421,97.684,97.675,97.136,97.651,97.582,96.736,96.617,97.095,97.022,101.144,100.532,100.549,100.233,100.019,99.77,100.074,99.843,100.32,99.119,99.601,98.822,100.582,101.007,100.49,100.906,100.823,100.309,100.417,100.458,99.754,99.336,99.656,99.454,100.72,100.449,100.231,100.649,100.742,100.666,101.04,100.779,100.9,100.99,101.059,100.639,102.612,102.655,102.589,102.898,102.669,102.682,102.826,102.586,102.778,103.106,103.09,102.608,104.315,104.547,104.375,104.283,104.198,103.913,103.853,103.561,103.396,103.161,103.045,102.964,104.804,105.163,105.458,105.704,105.626,104.704,104.57,104.247,103.919,103.854,103.766,103.436,105.616,105.45,105.491
"21","13","      Other transportation equipment manufacturing","PK3OT3",73.702,73.718,73.7,73.597,73.671,73.693,73.766,73.787,73.758,73.673,73.714,73.738,73.809,73.865,73.9,74.239,74.326,74.349,74.148,74.107,74.22,74.556,74.571,74.603,74.566,74.633,74.63,74.536,74.527,74.603,74.709,74.721,74.848,75.065,75.181,75.335,75.708,76.223,76.289,76.411,76.499,76.746,76.89,76.934,77.124,77.278,77.411,77.477,77.753,77.896,77.977,78.087,78.155,78.344,78.471,78.613,78.809,78.831,78.823,78.93,79.077,79.122,79.187,79.115,79.114,79.227,79.544,79.72,79.804,79.887,79.998,80.133,80.409,80.504,80.717,80.865,81.006,81.228,81.415,81.652,81.784,82.314,82.302,82.51,82.871,82.96,83.098,83.438,83.46,83.847,84.416,84.779,84.932,85.37,85.636,85.938,86.593,86.743,87.331,87.264,87.505,87.58,87.795,88.092,88.222,88.704,88.755,89.002,90.002,90.07,90.37,90.795,90.87,91.013,91.294,91.466,91.571,91.985,92.2,92.448,92.797,93.003,93.189,93.312,93.52,93.786,94.232,94.468,94.65,94.885,94.992,95.055,96.299,96.491,96.631,97.686,97.98,98.379,99.09,99.458,99.838,99.846,100.128,100.372,100.318,100.544,100.358,99.964,99.706,99.626,99.805,99.781,99.851,99.908,99.994,100.104,100.552,100.612,100.741,101.282,101.38,101.551,101.582,101.633,101.969,102.544,102.547,102.651,103.28,103.435,104.246,104.556,104.782,105.01,105.11,105.31,105.456,104.272,104.456,104.633,104.695,104.711,104.867,105.014,105.182,105.3,105.479,105.614,105.733,105.976,105.949,106.006,106.164,106.308,106.533,106.937,107.092,107.108,107.136,107.169,107.293,107.317,107.521,107.675,107.966,108.107,108.116,108.072,108.166,108.297,108.494,108.565,108.653,108.825,108.807,109.076
"22","14","    Furniture and related product manufacturing","PK3373",78.019,78.076,78.099,78.203,78.298,78.327,78.467,78.446,78.61,78.592,78.809,78.828,78.925,79.051,79.126,79.122,79.32,79.274,79.283,79.362,79.376,79.549,79.572,79.672,79.836,79.857,79.874,79.934,80.051,80.27,80.371,80.558,80.624,80.728,80.803,80.87,80.97,81.02,81.277,81.423,81.487,81.519,81.622,81.74,81.911,81.956,82.055,82.087,82.217,82.291,82.411,82.532,82.589,82.686,82.752,82.775,82.867,82.912,82.89,82.894,82.941,82.987,82.997,83.049,83.083,83.17,83.437,83.475,83.712,83.769,83.846,83.798,83.908,83.948,83.952,84.103,84.155,84.188,84.227,84.24,84.054,84.201,84.173,84.349,84.236,84.58,84.836,84.823,85.126,85.322,85.519,85.973,86.072,86.182,87.019,87.323,87.575,87.84,87.865,88.171,88.612,88.74,89.083,89.048,89.261,89.567,89.853,90.21,90.53,90.781,90.863,90.911,91.272,91.365,91.518,91.609,91.752,92.047,92.098,92.105,92.483,92.767,92.783,92.93,92.985,93.11,93.027,93.104,93.242,93.333,93.706,93.683,94.149,94.402,94.564,95.359,95.732,96.621,97.454,98.312,98.814,99.365,99.508,99.604,99.912,100.261,100.166,100.008,99.98,99.953,100.039,99.746,99.962,100.046,99.98,99.925,99.82,99.542,99.742,99.99,99.803,100.203,100.425,100.39,100.504,100.425,100.401,100.329,100.67,100.94,101.33,101.479,101.705,101.875,102.343,102.588,102.975,103.065,103.28,103.702,104.128,104.414,104.319,104.63,104.634,104.793,105.007,104.921,105.038,105.402,105.436,105.239,105.53,105.512,105.53,105.903,106.176,106.193,106.181,106.279,106.561,106.595,106.661,106.461,106.874,106.952,107.101,107.153,107.529,107.726,108.361,108.553,108.746,108.84,108.588,108.743
"23","15","    Miscellaneous durable goods manufacturing","PK3393",81.751,81.746,81.871,81.957,81.981,82.089,82.126,82.178,82.21,82.289,82.252,82.187,82.254,82.304,82.385,82.318,82.374,82.394,82.525,82.578,82.743,82.848,82.898,82.877,82.909,82.834,83.027,83.131,83.125,83.08,83.09,83.075,83.024,83.288,83.265,83.39,83.452,84.409,84.423,83.878,83.928,84.27,84.419,84.781,84.856,84.809,84.962,85.128,85.452,85.491,85.563,85.646,85.865,85.85,86.003,86.136,86.232,86.255,86.349,86.33,86.235,86.595,86.426,86.674,86.567,86.727,86.819,86.837,87.005,87.2,87.16,87.24,87.456,87.801,87.862,88.025,87.991,88.114,88.288,88.329,88.316,88.342,88.287,88.558,88.553,88.635,88.632,88.733,88.983,89.306,89.324,89.688,89.951,89.8,89.836,90.177,90.473,90.524,90.891,90.917,91.138,91.197,91.441,91.519,91.64,91.823,91.853,90.92,92.014,91.976,92.153,92.435,92.718,92.712,93.025,93.167,92.953,93.095,93.285,94.313,94.686,95.004,95.156,95.204,95.456,95.384,95.28,95.393,95.752,95.868,96.191,96.239,96.838,96.844,97.29,97.473,97.633,98.376,99.068,99.005,98.929,99.217,99.099,99.456,99.743,100.111,100.184,100.324,100.066,99.926,99.691,99.789,99.774,99.916,100.195,100.286,100.374,99.94,100.371,100.932,101.027,101.214,101.66,101.954,102.413,103.031,103.652,103.635,103.565,105.024,105.384,105.711,105.933,106.418,106.55,106.561,106.523,106.446,106.15,106.457,106.52,107.097,107.081,106.964,106.999,107.094,107.16,107.074,107.142,106.909,106.979,107.365,107.383,107.488,107.633,107.871,108.065,107.959,107.89,108.026,107.945,107.907,108.01,108.097,108.323,108.219,108.164,108.246,108.482,108.627,108.699,108.842,108.667,108.734,108.747,108.85
"24","16","  Nondurable goods manufacturing industries","PK30N3",68.322,68.107,68.001,67.557,67.294,67.07,66.819,67.213,67.144,67.214,67.336,67.432,66.825,66.557,66.414,66.358,66.365,66.234,66.19,65.966,65.699,65.8,65.692,65.716,65.907,65.454,65.822,66.607,66.69,66.786,67.377,68.047,68.551,68.782,69.205,70,70.098,71.127,71.921,71.263,71.388,72.48,72.47,72.072,72.822,72.942,73.449,73.61,73.673,73.634,73.293,73.746,73.978,73.629,72.474,72.57,73.086,71.389,70.877,70.198,69.953,70.057,70.889,71.613,71.079,71.394,71.956,72.046,73.049,73.405,73.29,73.454,74.64,76.694,77.132,74.93,74.115,75.017,75.088,75.565,75.521,75.998,76.416,77.166,77.94,78.147,78.239,79.214,80.208,80.215,80.644,80.858,81.442,83.425,84.299,83.478,84.085,85.121,86.301,86.417,85.597,86.383,87.332,88.556,91.486,94.053,91.365,92.205,92.963,92.099,92.273,93.369,93.923,95.146,94.611,95.663,92.806,92.324,93.279,94.548,91.774,93.054,95.722,97.946,99.397,99.292,100.717,98.895,99.793,100.196,104.364,103.126,104.664,105.56,109.872,111.312,115.456,118.252,122.232,118.63,118.763,110.713,102.525,96.265,96.765,96.079,94.9,96.719,98.601,101.737,100.342,102.694,101.869,101.857,103.996,104.246,106.561,105.601,107.453,108.825,109.67,108.608,108.609,109.321,109.623,111.474,112.532,113.516,115.36,117.674,121.851,124.692,126.495,125.648,126.242,124.965,125.853,124.127,124.527,123.595,124.809,125.567,128.157,128.489,126.986,124.841,124.141,126.6,128.684,128.187,125.233,124.28,124.908,127.877,127.004,126.312,126.245,126.279,126.428,127.03,126.7,125.751,124.353,124.792,125.455,126.487,127.587,129.046,128.308,128.312,128.49,128.282,127.632,125.033,122.72,118.704
