"","Table 8#3# Federal Government Current Receipts and Expenditures,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235"
"11","3","  Personal current taxes","A074RU1",7.9,3.3,4.1,3.5,8.4,3.1,3.5,3.1,6.3,2.5,3.6,2.9,6.1,3.1,4.1,4.1,9.4,4.9,5.6,5.4,10.8,6.1,6.9,6.3,11.3,5.9,7.6,6.5,10.5,4.8,6.7,6.1,8.3,7.8,7.7,6.8,9.1,9,8.4,7.5,9.6,9.9,8.8,7.7,9.1,9.3,8.9,8.1,9.3,10.5,9.7,8.9,10.1,12.1,10.4,9.2,9.5,12.5,10.7,9.9,10.7,14,11.5,10.4,11.4,14.2,12.3,11.3,11,13.7,11.3,10,11.2,16,12.8,11,12.7,17.9,14.1,13.9,15.6,17.9,16.5,14.4,16.2,21.2,20.8,18.2,20.7,27.1,23.5,20.3,20.6,25.8,22.9,19.6,18.4,23.4,23.5,20.6,21.6,29.4,27.3,24.5,23.8,27,30.5,28.3,25.8,33.1,35.4,32.3,27.7,27.5,34.2,31.4,28.2,37.9,39.6,35.6,33,46.5,43,39.7,36,53.7,51.1,48.1,45.4,64.7,58.6,56,51.8,69.8,65.6,62.9,59.5,84.4,74.7,72,66.6,85.8,76.1,66.5,68.4,74.5,74.7,68.6,67.7,77,80.6,76.1,78.2,87.5,88.6,81.6,77.9,92.8,93.3,86.1,82.5,120.9,99.1,90,88.4,117.6,100.2,96.6,93.4,145.1,111.7,101.3,94.8,148.2,117.2,110,92.3,138.3,121.3,109.5,96.1,137.5,126.8,114.9,117.9,129.3,134.5,123.9,128.7,143,140.2,130.8,133.5,164.5,149.4,138.5,141.3,199.6,168.7,153.8,158.1,232.2,184.9,169.1,175.7,266.3,203.1,180.9,189.4,281.7,216.6,205.4,194.1,343.9,244,217.1,215.2,360.6,201,217.8,170.9,242.9,219.4,197.2,165.5,225.6,190.7,192.6,156.3,216.1,209.4,220
"12","4","  Taxes on production and imports","W007RU1",1.9,1.8,1.9,2.1,1.8,1.9,2,2.1,1.9,1.9,2.1,2,1.9,2.1,2.5,2.3,2.4,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.6,2.7,2.7,2.7,2.4,2.4,2.3,2.5,2.4,2.7,2.6,2.8,2.5,2.7,2.7,3,2.8,2.9,2.9,2.9,2.6,2.9,2.7,3,2.8,3.1,3,3.2,3.1,3.5,3.1,3.3,3,3.5,3.2,3.6,3.2,3.7,3.4,3.8,3.4,3.9,3.5,3.9,3.4,4.2,3.7,4.1,3.9,4.2,3.4,3.9,3.1,4.1,3.5,3.8,3.4,3.9,3.8,4.2,3.9,4.3,4.2,4.6,4.1,4.6,4.5,4.7,4.3,4.7,4.5,4.7,4.7,4.9,4.7,4.8,4.4,4.8,4.6,4.8,4.7,5,5.1,5.1,4.8,5.1,5.2,5.1,4.7,5.6,5.9,6.1,5.1,5.6,5.6,5.4,5.3,5.7,6.1,5.8,5.8,6.5,6.6,6.7,6.3,6.5,6.5,6.7,6.6,8.6,9.4,9.4,12.3,13.3,12.4,12.3,10.7,10.4,10.1,10.3,9.9,11.5,11.7,11.8,11.5,12,12.2,12,11.5,11.5,11.9,11.4,11,10.7,11.3,11,11,11.3,12,12,12.3,12.7,12.6,12.7,13.2,12.5,12,12.5,12.7,12.8,12.3,13.7,14.6,15.3,16,16.2,15.5,15.4,16.2,16.6,15.4,16,16.9,18.4,18.9,19.6,20.4,20.4,18.7,18.8,19.3,19.1,18.1,17.8,18,19.4,17.6,19.8,20.4,20.3,19.7,20.2,20.5,20.7,19.8,20.4,21.6,22.1,21.1,22.1,22.6,22,21.2,21.6,21.6,21.5,20.8,21.6,22.5,22.3,22,22.1,22.7,22.9,22.7,23.1,24.1,24.1
"13","5","  Taxes on corporate income","B075RU1",2.6,2.5,2.6,3,2.7,2.9,3,3.1,2.4,2.3,2.4,2.5,3,3.9,4.9,5.3,5.9,5.5,4.9,5.4,4.6,4.6,4.5,4.9,5,5.3,5.1,4,3.9,4.2,4.2,4.6,4.8,5.4,5.3,5.6,5.2,5.4,4.9,5.4,5.3,5.3,5.1,4.8,3.9,4.1,4.6,5.3,5.2,6.2,5.5,5.5,5.6,5.6,5.2,5,4.5,5.4,5.4,6.1,5.2,5.8,5.6,5.8,5.4,6.4,6.2,6.6,6,6.8,6.6,6.7,6.6,7.4,7.1,7.8,7.5,8.2,7.7,8,7.1,7.7,7.2,8,8.2,9.4,8.9,9.6,8.8,9.6,8.7,9.1,7.1,8.1,7.7,7.7,7.7,8.9,8.2,8.6,8.2,9.4,9,10.1,9.9,11.4,10.7,11.2,9.7,11.8,12.5,11,8.3,10.6,12.2,12.4,12.3,14.5,14.1,13.6,12.6,16.8,16.7,15.4,14.5,19.1,18.4,19.3,17.1,19.6,19,18.7,18.3,16.2,17.3,18.5,16.5,16.5,17.2,15.5,10.6,12.8,13.3,12.4,10.8,15.2,17.1,18.2,17.7,20.7,18.6,18.2,17,19.3,21.2,18.8,19,21.4,21.5,22,22,26.6,28.4,26.1,24.6,27.8,29.4,29.3,30.2,30.1,29.1,27.8,26.6,30.3,32.6,28.6,25.9,27.8,29.2,27,28.9,31.7,28,30.2,30.1,35.5,35.5,37.5,32.7,39.4,42.7,42,41,46.3,48.5,43.5,44.1,50.1,50,46.4,46.2,51.3,55,50.5,48.6,52.6,54.2,48.8,49,54.6,55.5,53.9,56.2,58.3,55.1,49.8,42.9,45.5,41.4,34.9,32.3,37.8,39.7,40.7,43.5,45.4,48.5,49.3,49.3,56.8,53.6,57.7
"14","6","  Taxes from the rest of the world","W008RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.8,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.5,1.2,1.2,1.2,1.5,1.2,1.2,1.4,2,1.3,1.4,1.5,1.6,1.7,1.8,1.7,2.1,1.8,1.5,1.7,2.1,1.7,1.8,1.8,2,1.7,2.5,1.9,2.4,2.3,2.1,2,2.8
"15","7","Contributions for government social insurance","B077RU1",1.6,1.5,1.2,1,1.2,1.2,1.1,0.9,1.3,1.3,1.2,1,1.4,1.4,1.3,1.1,1.7,1.8,1.5,1.3,2,1.7,1.6,1.4,2,1.8,1.6,1.3,2.3,2.1,1.8,1.5,2.3,2.7,2.1,1.7,2.6,3,2.2,1.8,3.1,3.5,2.5,1.9,3,3.5,2.5,2,3.7,4.2,3.1,2.5,4.6,5.1,3.6,2.7,4.8,5.2,3.7,2.8,5.6,5.9,4.1,3,6.4,6.7,4.6,3.4,6.6,6.9,4.7,3.5,6.8,7.2,4.9,3.8,8.4,9,7.3,5.8,9.5,10.4,7.8,6.2,10.4,11.1,8.8,7.4,12.1,12.5,10.2,8.3,13.3,13.2,10.5,8.3,14.8,14.6,11.5,9,17,16.7,13.5,10.6,21.3,20.8,17.5,14.4,23.2,23.2,20.1,17,24.2,24.2,20.8,18.2,27.4,27.6,23.4,20.8,30.5,30.7,26.6,22.6,35.7,35.7,30.2,26.2,40.6,40.5,35.4,32.3,44.3,43.8,38.4,36.1,51.9,51.5,45.6,42.8,56.1,55.4,48.5,44.9,59.7,59.3,53.1,49.6,70.7,67.4,59.8,54.9,76.9,75.4,64.6,59.5,81.8,80.4,69.8,65.5,85.6,86,73.3,71,96.3,95.6,83.6,77.5,102.4,102.6,87.7,83.5,109.8,108.7,93.1,88.5,112.5,114.6,97.5,93.9,118.6,121,101.3,100.9,121.3,129.2,107.5,105.5,130.6,136,115.7,111.4,141.7,143.5,118.7,115.4,146.9,149.7,123.3,122.8,154,157,131.6,133.7,162.8,168.8,139,143.2,170.4,178.4,150.2,152.6,187.9,189.7,157.5,156.6,197,199.2,161.1,160.2,200.5,201.6,167.2,164.9,207.5,207.7,172.4,171.5,220.8,219.9,188.1,173.7
"16","8","Income receipts on assets \1\","W009RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.6,0.7,0.6,0.8,0.7,0.8,0.7,0.9,0.7,0.9,0.8,1,0.8,0.9,0.9,1,0.9,1,0.9,1,1,1,1,1.2,1.1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.5,1.7,1.7,1.8,1.8,2.1,2.2,2.4,2.4,2.5,2.7,3,2.9,3.2,3.5,4,4.1,4.3,4.7,5.2,5.4,5.4,5.7,5.7,5.8,5.8,6,6.2,6.4,6.7,6.7,6.8,6.9,7.1,7.5,7.6,7.8,7.7,8.2,7.6,7.3,7.2,7,6.5,8.4,7.1,7,7.5,7.1,7.1,7.6,6.8,6.9,6.7,6.8,9.8,8.1,7.5,7.6,6.9,6.6,6.4,6.3,6.4,6.8,6.5,6.7,6.1,6.1,5.6,6.3,5.4,5.9,5.6,6.4,5.7,6.7,6.3,7.9,6.1,6.8,6.1,7.7,5.3,5.6,4.9,6.6,4.4,4.9,4.8,6.7,5.1,6.1,5.9,7.2,6,7,6.4,7,4.5,4.2,4.9,7.7,3.4,4.8,5.5,7.6,4.8,5.2,5.2,6.9,4.6
"17","9","Current transfer receipts","W011RU1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,1.1,1,0.9,0.9,1,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.7,1.8,1.8,1.8,1.8,2,3.4,2,2,2,2,1.8,2.4,2.5,2.8,2.7,2.8,2.5,2.6,2.8,2.9,2.9,3,3.3,3.2,3.1,3.2,3.4,3.9,4.3,4.4,4.6,4.7,4.6,4.5,4.7,5.6,5.5,5,5.4,5.1,6.1,5.4,5.8,4.9,5.4,4.5,5.4,3.9,4.9,4.5,5.8,7.9,5.4,4.6,5.9,4.1,5.6,4.8,6.5,4.6,5.3,5.1,6.8,5.5,6.1,5.9,7.4,6.3,6.9,6.3,7,6.8,6.1,6.4,6.2,6,6.4,6.6,5.9,6.9,6.7,7.1,6.9,7.9
"18","10","Current surplus of government enterprises \2\","B097RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,-0.1,-0.2,0,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,0,0,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,0,-0.1,-0.1,-0.2,0,-0.2,-0.5,-0.5,-0.2,-0.5,-0.4,-0.6,-0.1,-0.2,-0.4,-0.4,-0.2,-0.3,-0.6,-0.4,-0.5,-0.4,-0.8,-0.2,-0.3,-0.7,-1.7,-0.6,-0.6,-0.2,-1.7,-0.2,-0.1,-0.2,-0.3,-2.2,-0.2,-0.3,-0.2,-2.1,0.4,0.2,0.1,-2.7,0.1,0,-0.1,-3.5,0.1,0,0.3,-3.7,0.9,0.7,0.4,-4.2,0.6,0.4,0.4,-4.3,0.5,0.3,0.3,-4.4,0.5,0.4,0.6,-4.4,1.1,0.8,0.9,-4.5,1.2,0.7,0.6,-4,0.8,0.8,1,-4.9,0.8,0.9,1,-3.7,0.3,-0.1,0.2,-5.3,0.1,1.3,1.6,-5.6,1.3,1.6,1.7,-5.7,2.3,1.3,1.4,-5.5,1,1.1,1.6,-5.5,2.4,1.8,1.8,-5.8,1.5,1.1,1.6,-6.1,2.2,1.8,2.2,-5.9,2.3,1.7,2.2,-6.2,2.4,1.6,2.2,-5.9,1.8,1.1,2,-6.1,0.8,-0.3,0.7,-7.7,1.8,0.3,0.3,-3.5,1.3,1.4,1.4,-2,1.2,1.2,1.1,-3.2,0.5
"19","11","    Current expenditures","W013RU1",9.2,9.6,9.7,9.1,8.7,9.5,9.8,10.8,11,11,10.7,10.8,12.6,10.5,9.2,11,11.6,13,13.9,14.8,14.2,15.3,15.8,16.9,16.2,17.1,15.7,17.8,15.8,16.3,15.1,16.9,15.8,15.8,16.6,17.1,16,17.4,16.1,18.8,18.1,19,18.7,20.2,18.9,20.4,20.5,21.6,19.6,21.3,21.1,21.5,20.6,21.8,21.7,22.7,22.3,23.9,22.5,24.2,24.3,25.6,24.9,26.2,25.9,26.3,27.3,26.9,26.9,28.2,28.2,27.4,27.2,29,30.6,30.8,30.9,33.4,35.9,35.4,37.5,38.8,39.8,40.1,40.7,44.1,43.9,44.7,42.9,46.4,47.9,46.6,45.7,52.1,52.3,51,51.7,56.7,55.7,56,58.1,62.2,60.7,63.4,63.6,67.1,65.7,65.3,68.5,74.6,73,77.1,81.4,90.6,84.9,89.3,91,95.2,91.9,96.1,96.9,99.7,105.5,105.4,107.2,110.5,115.9,116.4,117.2,121.6,128.9,129.7,135.9,142,153.4,154.5,160.2,163.7,174.4,174.4,176.1,181.6,193,197.7,195,203.2,209.5,207.8,207.4,213.2,220.6,236,224.5,233.5,238.5,251.8,235.2,252.2,255,263.7,249,257,257.9,277.8,261,271.1,265.9,294.7,278.2,292,286.2,311,297.9,313.6,310,332,298.6,330,326.5,359.9,343,359.2,355.7,386.7,357.5,374.1,367.5,396.9,367.5,377.9,377.9,409.9,387.2,407.3,394.6,414.4,402.4,412.5,409.6,441.3,412.4,423.4,416.5,456.7,418.5,429.5,421.8,465.1,429.7,441,432,484.9,451.9,465.3,450,497.2,480.1,492,480.1,517.3,507.7,524.7,515.2,553.6,540.1,570.5,551.8,588.9,585.5,590.2,583.8,621.7
"20","12","Consumption expenditures","A957RU1",5.2,5.5,5.1,5.1,4.6,5.1,5.4,6.2,6,5.7,5.7,5.9,5.6,5.1,5,6.4,7,8,9.5,9.9,9.9,10.7,11.2,12.5,11.6,12.3,11.2,13.2,11,11.1,10.2,11.7,10.4,10.4,11.3,11.8,10.4,11.6,10.4,12.6,11.9,12.1,11.9,13.5,11.8,12.8,12.3,13.9,11.3,13.1,12.8,12.8,11.6,12.4,12.7,13.1,12.2,13.3,12.5,13.6,13.4,15,14.3,15,14.3,15.1,15.8,15.6,14.8,16.4,16.1,15.5,14.8,16.3,16.7,17.9,17,18.9,20.1,19.8,20.7,22.2,21.4,22.8,22.7,24.6,23,25.1,23.1,25.3,25.1,24.8,24,25.3,24.3,25,24.5,26.5,25.1,25.8,26.7,27.9,26.6,26.4,26.8,28.2,26.7,27.1,28,30.1,29.2,30.7,30.7,34.4,31.8,32.6,32.6,37,33.1,34.5,34.6,36.4,42,37.7,37.7,39.4,45.4,40.8,41.4,43.1,49.5,45,46.7,49.9,58.2,52.7,54.4,56.8,67.2,59.9,60.9,61.4,74.7,66.3,67.1,68.7,82.9,67.8,69.3,72.5,84.3,83.8,75.8,77.2,92.8,92.7,80.9,83.9,97.4,96,86.1,88.2,98.9,101,88.7,90.6,99.9,103.3,90.5,96.3,106,106.4,97.3,99.4,110,113.1,103.1,105.7,115.9,114.8,102,104.1,120.8,118.3,102,103.4,120.8,115.7,103.3,101.5,121.5,114.6,103.9,104,120.8,111.8,102.5,102.5,120,121.3,104.3,107.3,121.7,124.3,101.5,105.7,121.4,126,105.4,109.8,128.2,131.6,111.6,119.3,133.5,134.9,119.2,124.9,140.6,147.1,130.5,138,159.9,163.2,147,158,178.4,178.4,165.5,167,196.7,196.5
"21","13","Current transfer payments","W014RU1",2.8,2.8,3.5,2.9,3.1,3.1,3.3,3.3,3.8,4,3.8,3.6,5.7,3.9,2.9,3.2,3.2,3.3,3.2,3.3,2.9,3.1,3.3,3.1,3.2,3.3,3.1,3.3,3.6,3.6,3.7,3.9,4.1,4,3.9,4,4.1,4.2,4.1,4.3,4.6,4.9,4.7,5.1,5.5,6,5.9,6,6.7,6.5,6.5,6.6,6.8,7,6.7,7,8,8.1,7.7,7.6,8.4,8.1,7.9,8,8.9,8.6,8.2,8.3,9.1,8.9,8.6,8.6,9.3,9.7,9.8,9.5,10.7,11.2,10.8,11.6,13,13.1,13.4,13.2,14.1,15.4,14.7,15.1,15.5,16.7,16,16.8,17.9,21.1,20.1,21,22.5,25.1,23.4,24.6,26.5,28.6,25.4,31.4,31.1,32,30.6,31.2,33.9,36.9,36.6,38.3,43,47.8,45.5,47.2,49.6,48.4,49.7,50.8,52.6,52.3,53.3,54.7,57.7,57.6,57.8,59.6,61.5,61.7,64.6,66.7,71.7,71.3,77,79.2,82.6,80.3,82.4,84.1,87.2,87.6,88.6,95.5,96.7,97.1,92.9,96.4,98.9,98.2,96.7,102.6,104.4,104,103.7,107.1,109.6,110.6,112.4,112.5,112.7,113.4,112.6,114.2,120.9,120.6,118.4,122,130.8,129.9,128.5,132.8,142,143.6,141.5,142.7,134.8,147.7,152.4,162.7,179,178.5,176.6,184.7,190.4,189.9,186.7,197.7,203.1,196.7,194.7,204.6,213.1,213.7,204.6,207.6,229.1,221.6,214.7,222.9,236.3,227.9,221.1,233.6,245.9,233.1,227.8,239.8,255.3,242.9,238.5,249.5,270.2,255.6,248,264.3,292.5,278.6,272.5,287.7,321,308.6,299.4,314,340.6,333.5,320,333.6,367.3,346.1,331.5,346.3
"22","14","  Government social benefits","W015RU1",2,1.9,2.5,2,1.9,1.8,1.7,1.8,2,2.1,2,2.1,4.3,2.4,1.7,1.9,1.9,2,2,2,2,1.9,2.1,2.1,2.2,2.1,2.1,2.3,2.6,2.7,2.6,2.8,3,2.9,2.8,2.8,3.1,3.1,3,3.1,3.5,3.7,3.5,3.8,4.5,4.8,4.5,4.4,4.8,4.6,4.5,4.6,5,5,4.9,5.2,6.1,5.9,5.7,5.6,6.2,5.9,5.8,5.9,6.6,6.2,6,6.1,6.7,6.3,6.2,6.2,6.8,6.6,7.2,6.9,7.4,7.2,7.5,8.2,9.2,9.1,9.3,9.3,10.2,10.6,10.6,10.8,11.5,11.6,11.4,11.7,12.6,14.7,14,14.8,15.9,17.3,16.4,16.9,18.3,17.9,17,20.1,21.3,21.2,20.8,21.8,24.3,25.5,26.2,27.9,31.5,33.7,33.5,34.3,36.8,35.2,35.4,36.6,38.8,37.4,37.8,39,40.9,40,40.8,41.7,44.6,44.4,46.7,48,52.3,52.4,57.8,58.3,61.9,60.6,63.8,65.1,68,68.6,70.8,75.1,77.6,77.6,74.3,74.9,78,77.6,76.6,78.4,81.9,81.7,81.2,81.8,85.7,85.3,86.8,87.5,89.3,89.8,90,89,95.4,95.7,93.8,94.2,103.7,103.6,101.6,103.3,111.9,112,111.4,111.8,122.6,123.4,121.9,126.3,139.3,137.5,136.7,138.1,147.9,145.6,143.3,145.6,157.2,150.1,149.7,150.6,163.1,164,157.5,158,177.4,169.4,165.5,167.8,184.5,176.2,171.4,174.2,190.4,178,173.8,177,195,182.4,178.6,182,206.6,190.5,183.5,191.8,222.2,204.9,204.6,209.6,240.8,226.9,223.6,228.4,255.5,238.2,233,238.3,273,249.9,245.3,249
"23","15","    To persons","B087RU1",2,1.9,2.5,2,1.9,1.8,1.7,1.8,2,2.1,2,2.1,4.3,2.4,1.7,1.9,1.9,2,2,2,2,1.9,2.1,2.1,2.2,2.1,2.1,2.3,2.6,2.7,2.6,2.8,3,2.9,2.8,2.8,3.1,3.1,3,3.1,3.5,3.7,3.5,3.8,4.5,4.8,4.5,4.4,4.8,4.6,4.5,4.6,5,4.9,4.9,5.1,6,5.9,5.7,5.6,6.1,5.8,5.7,5.9,6.6,6.1,5.9,6,6.6,6.3,6.1,6.2,6.8,6.5,7.2,6.9,7.4,7.1,7.3,8.1,9.1,9,9.1,9.3,10.1,10.5,10.5,10.7,11.4,11.5,11.3,11.6,12.5,14.6,13.9,14.7,15.8,17.2,16.3,16.8,18.2,17.8,16.9,20,21.1,21.1,20.7,21.7,24.2,25.3,26,27.7,31.3,33.6,33.3,34.2,36.6,35,35.2,36.4,38.6,37.2,37.5,38.8,40.7,39.8,40.5,41.4,44.4,44.2,46.5,47.7,52,52.1,57.5,58,61.6,60.3,63.4,64.7,67.8,68.3,70.4,74.8,77.3,77.2,74,74.5,77.7,77.2,76.3,78,81.6,81.4,80.8,81.5,85.4,84.9,86.4,87,88.9,89.4,89.6,88.7,95,95.3,93.4,93.8,103.3,103.2,101.2,102.9,111.5,111.6,111,111.4,122.1,123,121.4,125.6,138.9,136.9,136.2,137.7,147.5,145.1,142.8,145.1,156.8,149.7,148.8,150.2,162.8,163.5,157,157.5,176.8,168.9,164.9,167.3,184,175.6,170.9,173.7,189.9,177.4,173.2,176.4,194.4,181.9,178,181.4,206,189.9,182.9,191.2,221.5,204.3,204,208.9,240.1,226.2,222.9,227.7,254.8,237.5,232.3,237.6,272.2,249.1,244.5,248.2
"24","16","    To the rest of the world \3\","W016RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.4,0.7,0.5,0.4,0.3,0.5,0.5,0.5,0.4,0.4,0.8,0.5,0.3,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8
