"","Table 5#4#1B# Percent Change From Preceding Period in Real Priva","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"39","32","    Other \4\","W050RL1",0.4,-9.6,23.7,-24.6,-29.7,16.9,15.3
"40","33","    Brokers' commissions on sale of structures","C321RL1",7.3,2,5.3,-5.9,-14.1,-5.5,3.6
"41","34","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","A012RL1",7.7,6,0.7,0.4,4.8,8.4,10.3
"43","36","  Permanent site","A943RL1",9.5,7.4,0.8,0.6,4,9.8,12
"44","37","    Single-family structures","A944RL1",10.9,7.4,1.1,0.1,3.9,10.7,12.8
"45","38","    Multifamily structures","C292RL1",-1.1,7.9,-1.7,4.3,5.3,2.6,4.2
"46","39","  Other structures","A863RL1",5.2,3.9,0.5,0,6,6.4,7.6
"47","40","    Manufactured homes","A945RL1",8.8,-5.2,-24.4,-20.1,-9.9,-18.3,-3.2
"48","41","    Dormitories","C295RL1",17.9,27.6,1.7,9.2,-4.4,9.2,-12.4
"49","42","    Improvements","A946RL1",0.6,3.6,2.7,1.4,5.6,5,3.5
"50","43","    Brokers' commissions on sale of structures","A758RL1",15.2,7.2,-0.7,1.5,11.2,11.9,14.6
"51","44","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RL1",6.2,3,3.1,-1.3,-4.9,3.2,6.7
"54","46","    Nonresidential structures","A771RL1",5.5,-0.4,6.8,-3.2,-16.1,-4.2,2.1
"55","47","    Residential structures","A756RL1",6.8,5.8,0.3,0.2,4.1,7.9,9.3
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA
