"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"11","4","      Income of organizations not filing corporation income tax returns","A1629C1",0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.7,0.9,0.8,1,1.2,1,1.1,1.1,1.3,1.6,2,2.2,2.8,3.4,3.8,3.6,3.7,5,6.4,6.2,6.6,7,8.8,10.6,12.8,16,17.4,16.5,19,18.2,15.9,17,19.8,22.8,24.5,24,23.8,22.7,23.8,28.1,28.8,29.7,32.6,34,39.4,36.8,33.5,26.7,32.9
"12","5","        Federal Reserve banks","B1630C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.6,0.7,0.9,0.8,0.9,1,1.1,1.3,1.7,2,2.5,3.1,3.5,3.3,3.3,4.5,5.7,5.6,5.9,6.1,7.6,9.4,11.8,14.4,15.2,14.6,16.4,16.3,15.5,15.7,17.6,20.2,21.4,20.3,17.8,16.2,18.1,22.5,22.1,23.8,25.2,26.3,30.8,28.3,23.7,20.1,20
"13","6","        Federally sponsored credit agencies \2\","B1631C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.3,0.4,0.6,0.8,0.8,1,1.6,1.2,1.4,0.7,0,0.6,1.5,2.2,2,2,1.9,2.1,2.1,2.6,2.7,3.1,3.4,3.7,3.9,4.1,3.8,3.7,4
"14","7","        Other \3\","B1632C1",0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.4,0.2,0.6,0.5,0.7,1.2,1.1,0.4,0.6,0.7,0.4,1.1,1.7,4.1,4.3,3.7,3,4,2.8,4,4,4.7,4.4,6,2.9,8.9
"15","8","      Depletion on domestic minerals","B1176C1",0.6,0.5,0.3,0.2,0.2,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.9,1.5,1.2,1.4,1.6,1.6,1.7,1.8,2.1,2.4,2.6,2.4,2.5,2.7,2.7,2.8,2.9,3.3,3.4,3.6,3.9,4.3,4.2,4,4.2,4.5,5.8,9.3,4.5,4.8,5,5.7,6.8,7.6,6.7,5.8,6.2,6.5,6.4,7.6,6.9,6.9,7.3,7.6,6.8,7.3,6.9,7.6,8.1,8.2,8.4,8,8,8.4,7.9,7.5,7.9,9.2
"16","9","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1",0.1,0,0,0,-0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.3,0.3,0.3,0.6,0.6,0.7,0.9,1,1.1,1.1,1.2,1.2,1.1,0.8,0.8,0.6,0.5,0.6,0.4,0.4,0.4,0.3,0.3,0.2,0.3,0.2,0,0.3,0.6,1.7,2.7,3.5,4.3,6.8,9.8,13.4,19.6,19.9,10.2,11.2,7.5,-3.9,-7.2,-5.1,-7.7,-4.9,-8.1,-7.4,-6.3,-3.8,-2.1,0.6,6.4,3.7,0.5,5.1,10.6,2.5,5.7,9.9
"17","10","      State and local taxes on corporate income","B1179C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.1,34.9,35.8,35.5,30.2,32.2,35.3,43
"18","11","      Interest payments of regulated investment companies","B1181C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.2,-0.4,-0.3,-0.4,-0.8,-1.1,-1,-1,-1.5,-1.8,-4.4,-8.7,-18.3,-23.2,-17.5,-21.7,-24.4,-28.5,-45.1,-53.5,-67.5,-68,-60.3,-57.1,-59.6,-77.3,-79.2,-86.4,-96.1,-119,-118.2,-143.5,-124.1,-100.7,-71.3,-75.3
"19","12","      Bad debt expense","B1182C1",0.9,1,1.2,1.3,1.2,1.2,1,0.9,0.8,0.7,0.7,0.6,0.7,0.5,0.4,0.3,0.3,0.3,0.7,0.7,0.8,0.8,0.8,0.9,1.1,1.4,1.7,1.9,1.9,2.1,2.3,2.8,3.1,3.5,3.5,3.9,4.2,4.3,4.4,4.9,5.9,6.5,7.8,8.3,10.5,12.8,13.8,13.8,14.2,15.7,17.4,18.8,22.3,26.7,30.5,33.8,43.3,53.4,54.6,58.6,68.8,83.7,100.9,89.6,80.7,67.9,67.8,74.7,83.6,86.4,100.2,107.7,142.2,168,151.1,139.7
"20",NA,"Less: Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","        Gains, net of losses, from sale of property","B1183C1",0.7,-0.2,-1.3,-1.6,-1.4,-0.1,0.2,0.4,0.1,0,0,-0.7,-1,-0.2,-0.2,0,0.6,1.1,0.7,0.7,0.6,1,1.1,1.1,0.8,1.8,1.7,1.7,1.6,2.8,1.8,2.6,4,3.4,3.6,3.9,5.2,5.4,7.5,8.9,7.8,5.2,7.4,10.1,9.5,7.7,8.9,10.6,14,16.7,21,27.1,28.8,29.1,42,46.7,75.2,124,82.9,80.1,82.9,62.8,62.2,70.9,90.8,71,115.5,132.8,200.8,201,269.4,286.3,156.6,96.4,123.3,170.8
"22","14","        Dividends received from domestic corporations","B1184C1",2.6,2.6,2,1.3,1,2.2,3,2.7,2.7,1.8,1.9,2,2.2,1.3,1.3,1.4,1.4,1.7,1.9,2.2,2.2,2.5,2.4,2.4,2.4,2.3,2.6,2.7,2.7,2.8,2.9,3.1,3.3,3.6,3.6,4,4.5,4.4,4.4,4.9,5,5.2,5.5,6.5,9.4,13.8,8.8,12,13,13.3,16.8,18.7,17.4,18.2,19.7,21.2,17,15.2,13.9,22.3,24.8,23.4,23.5,25.3,28.8,33,38.7,47.2,57.7,64.2,67.3,69.6,67.6,68.1,76.1,98.7
"23","15","        Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1",0.4,0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.6,1,1.1,1.2,1.5,1.9,1.8,1.9,1.8,2.4,2.5,2.7,2.7,2.8,2.9,3.5,3.6,4.3,5.2,5.2,5.7,6.5,7.1,7.8,8.5,10.7,13.3,20.6,43.6,41.9,49.8,52.3,53.6,77.8,52.2,44.1,44.8,41.6,44.8,45.7,41.7,48.4,64.9,55,61.9,54.2,67.2,77.1,79.2,92.3,107.1,113.8,107.3,123.4,131.4,115.5,108.1,132.2,167.9
"24","16","      Costs of trading or issuing corporate securities \4\","B1186C1",0.3,0.2,0.1,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.6,0.7,1,1.3,1.4,1.7,2.1,2,1.5,1.7,2,2.5,2.1,1.5,1.8,3.2,3.8,5.3,7,5.6,8,12.9,8.3,9.6,9.4,10.2,16.3,15.5,19.2,11.8,19.8,23.3,24.2,25.3,41.5,53,33.3,21,23.9,22.3
"25","17","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1,1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48,57,67.1,76.1,76.5,73.1,76.9,77.1,92.8,101.9,110.9,103,121.5,145.7,169.7,155.8,165.5,193.4
"26","18","Equals: Profits before taxes, NIPAs","A053RC1",10.6,4.3,0.4,-1.5,1.7,3.1,4.2,6.9,7.5,4.4,7.6,10.4,18.3,22,25.6,24.5,20,24.9,31.9,35.9,29.6,43.2,44.8,40.2,41.7,39.3,49.9,50.5,49.1,43,53.8,51.6,51.6,57,62.1,69.1,80.2,86.7,83.5,92.4,91.4,81,92.9,107.8,134.8,147.8,145.5,179.7,210.4,246.1,271.9,253.5,243.7,198.5,233.9,268.6,257.4,246,317.6,386.1,383.7,409.5,423,461.1,517.1,577.1,674.3,733,798.2,718.3,775.9,773.4,707.9,768.4,908.1,1204.7
"27","19","Federal income and excess profits taxes, IRS","B1188C1",1.2,0.7,0.4,0.3,0.4,0.6,0.8,1.2,1.3,0.9,1.2,2.5,7.2,12.3,15.9,14.9,10.8,8.9,11,11.9,9.8,17.3,22.1,19.1,19.9,16.9,21.7,21.4,20.6,18.8,22.5,21.9,22.2,23.9,26.3,27.9,31.7,34.4,33.3,39.7,39.4,33.3,37.5,42.9,52.4,66.1,66.1,83,96.3,107.9,120,105.1,102.3,86.8,92.2,108,111.3,111.1,118.5,131.5,127.9,128.3,121.3,131.4,154.6,172.8,198.8,223.7,239.4,231.4,242,266.3,220.9,209.7,243.8,299.6
"28","20","Plus: Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1",0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,-1.1,-2.2,-2.3,-0.5,-0.1,-0.2,-0.1,-0.1,0.1,0,-0.3,-0.1,0.4,0,0.2,0.3,-0.3,0.2,-0.1,0.1,0.1,0.4,0.3,0.3,0.2,0.1,-0.1,-0.4,-0.8,-0.1,-0.2,-0.1,-1.6,-1.5,-1,-1.1,0,-0.7,-4.4,-6.8,-13.2,-4.7,-4.8,-4.9,-7.9,-1.5,-2.3,-0.7,-2,-3.6,0.3,2.4,0.7,-0.5,-0.1,-1.8,-3.9,-5.5,-9.9,-29.1,-27.7,-1.7,7.8
"29","21","      Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.9,0.9,0.7,0.8,0.9,1.6,1.3,1.6,1.9,2.5,3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,25.3,27.1,24.5,22,18.1
"30","22","      State and local taxes on corporate income","B1179C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.1,34.9,35.8,35.5,30.2,32.2,35.3,43
"31","23","      Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,7.1,7.7,8,8.9,9.1,9.9,10.2,9.2,10,10.2,14.1
"32","24","Less: U.S. tax credits claimed for foreign taxes paid","B1191C1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.7,1,1,1.1,1.1,1.2,1.2,1.5,1.6,1.9,2.3,2.6,2.9,3.2,3.7,4,4.5,5.7,6.3,9.6,20.8,20,24.3,26.8,27.5,38.2,26.4,23.8,21.2,21.5,23.1,26.7,24.4,23.5,29.4,26.8,28.2,24.6,25.3,27.6,29.2,33.5,43.3,44.9,39.8,39.9,49.9,42.3,43.2,51.1,57.8
"33","25","      Investment tax credit \5\","B1192C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,1.3,1.7,2,2.1,2.4,1.9,0.9,1.6,3,3.8,4.2,6.5,9.1,11,12.9,14.6,15.1,18.9,17.3,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","      Other tax credits \5\","B1193C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.7,3.1,1.3,0.6,1.2,1.2,2.7,20.9,21.3,12.9,8,6.1,4.8,3.6,4,4.5,6.9,8.1,8.9,9.8,10.3,10.1,9.1,12.3,11.8,12.9,15.2,17.3
"35","27","Equals: Taxes on corporate income, NIPAs","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.7,218.7,231.7,246.1,248.3,258.6,265.2,204.1,192.6,243.3,307.4
"36","28","Profits after tax, NIPAs (18-27)","A055RC1",9.2,3.4,-0.1,-1.9,1.2,2.3,3.3,5.5,5.9,3.4,6.2,7.6,10.7,10.6,11.5,11.5,9.3,15.8,20.7,23.5,19.4,25.3,22.2,20.8,21.4,21.7,27.8,28.5,27.7,24,30,28.8,28.7,32.9,35.7,40.9,49.1,52.8,50.6,52.8,51.4,46.2,54.7,65.5,84.9,95,93.9,114.4,136,161.3,181.9,166.3,159.4,132,153.3,171.1,158,136.3,187.2,244.4,237.7,264.1,284.4,312.4,346.1,383.3,455.6,501.4,552.1,470,517.2,508.2,503.8,575.8,664.8,897.3
"37","29","Dividends paid in cash or assets, IRS","B1194C1",8.5,8.2,6.2,3.9,3.1,4.9,5.9,7.4,7.5,5,5.7,6.1,6.7,5.6,5.7,6.1,6.1,7.5,8.4,9.4,9.6,11.6,11.3,11.3,11.6,11.9,13.6,14.5,14.9,15,16.2,17.2,18,19.6,21.1,23.3,26,27,28.2,31.6,33,32,32.6,36,41.8,49.3,44.6,53.4,61.5,68.6,82.6,97.4,120.3,131.2,128.3,144.9,161.5,190.7,197.5,224,263.2,283.2,290.7,304.1,341.7,380.9,445.1,530.8,655.1,718.3,769.8,910.3,724.9,581.5,614.5,785
"38","30","Plus: Posttabulation amendments and revisions \6\","B1195C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.3,-0.6,-0.6,-0.5,-0.7,-0.5,-0.1,-0.7,-1.6,-1.8,-2.7,-2.7,-1.1,-0.5,-0.7,0,0.8,0.3,1.1,-0.1,0.6,1,-0.7,-4.5,-6.4,-1.7,-5.1,-9.5,-31,-14,-3.1,-10.3,-14,-21.2,-26,-41.2,-40,-68.2,-91.8,-164.6,-176.6,-235.7,-291.2,-156.1,-18.9,-23.2,-59.4
"39","31","      Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.7,0.6,0.7,0.9,0.7,0.5,0.6,0.7,0.6,0.5,0.8,1,1.1,1.3,1.4,1.6,1.9,1.5,1.8,1.8,1.6,1.5,1.2
"40","32","      U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.7,0.8,0.8,1,1.2,1.1,1.1,1.4,1.6,1.8,1.9,1.7,1.9,2,2.4,2.7,2.7,3.2,3.3,2.8,3.2,3.4,3.8,3.9,4.7,4.9,6.8,9.8,6.6,9,11.1,11.2,16,16.7,15.4,16.4,12.1,12.3,11.8,17.9,16.7,31.9,31.6,25,24.3,28,20.6,37.3,32.6,40.3,50.6,42.5,41.7,29.5,40.9,47.9,32,47.8
"41","33","      Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.7,0.3,0.5,0.8,1,1,1,1.2,1,1.1,1.4,1.5,1.3,1.7,1.4,2,1.9,2.7,2.8,2.8,3.8,3.5,3.5,5.3,4.1,3.9,6.5,3.3,3.8
"42","34","      Interest payments of regulated investment companies","B1635C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.2,-0.4,-0.3,-0.4,-0.8,-1.1,-1,-1,-1.5,-1.8,-4.4,-8.7,-18.3,-23.2,-17.5,-21.7,-24.4,-28.5,-45.1,-53.5,-67.5,-68,-60.3,-57.1,-59.6,-77.3,-79.2,-86.4,-96.1,-119,-118.2,-143.5,-124.1,-100.7,-71.3,-75.3
"43","35","Less: Dividends received by U.S. corporations","B1198C1",2.8,2.8,2.1,1.3,1.1,2.3,3.2,2.9,2.9,2.1,2.2,2.3,2.4,1.5,1.5,1.6,1.6,2,2.2,2.6,2.6,3.1,3,2.9,3,2.9,3.3,3.4,3.5,3.8,4,4.2,4.8,5.1,5.5,6.5,6.7,6.3,6.6,6.9,7.9,8.7,9.7,11.1,14.9,21.2,14.3,19.5,21.3,22.6,29.5,33.2,31.2,32.1,33.6,36.6,37.7,37.9,39,64.6,58.3,56.6,52.3,54.1,54.7,63.3,74.1,93.5,108.7,113.4,118.8,129.9,117.6,113.7,121,157.1
"44","36","      Earnings of U.S. residents remitted by their unincorporated foreign affiliates","B1636C1",0.2,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.6,0.6,0.8,0.9,0.9,1,1.1,1.3,1.3,1.1,1.1,1.1,1.3,1.6,1.7,1.8,1.8,1.5,1.7,1.9,1.9,1.7,2.1,2.2,3.5,4.6,3.5,4.9,5.5,6,9.3,8.8,9.3,9.7,5.9,4.8,6,7.2,5.7,6.6,3.1,2.5,3.1,9.7,7.7,6.6,6.1,7.1,7,5.6,8.3,3.3,2.8,5,11,6.5
