"","Table 6#6A# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"22","15","      Durable goods","H4414C0",1630,1556,1391,1127,1087,1171,1264,1376,1491,1365,1479,1568,1840,2292,2619,2774,2732,2615,2883,3159
"23","16","        Lumber and basic timber products","H4415C0",1172,1156,1010,787,737,791,833,911,963,940,956,934,1026,1205,1446,1564,1618,1813,2046,2396
"24","17","        Furniture and finished lumber products \2\","H4416C0",1398,1310,1196,962,900,948,988,1074,1123,1102,1138,1158,1304,1514,1743,1892,1988,2187,2395,NA
"25","18","        Stone, clay, and glass products","H4417C0",1557,1525,1386,1167,1071,1088,1171,1262,1357,1303,1359,1393,1554,1771,2024,2174,2249,2380,2670,2924
"26","19","        Iron and steel and their products, including ordnance","H4418C0",1740,1640,1410,1044,1073,1166,1295,1446,1591,1359,1549,1643,1923,2283,2637,2781,2792,2696,3062,3297
"27","20","        Nonferrous metals and their products \3\","H4419C0",1665,1554,1455,1177,1132,1209,1277,1361,1492,1402,1521,1595,1824,2230,2581,2724,2735,2717,2967,NA
"28","21","        Machinery, except electrical","H4420C0",1827,1748,1521,1311,1260,1345,1425,1550,1693,1534,1681,1813,2144,2630,2857,2975,2930,2862,3112,3433
"29","22","        Electric and electronic equipment","H4421C0",1655,1658,1461,1182,1203,1282,1364,1478,1616,1527,1601,1688,1919,2287,2466,2578,2584,2615,2876,3158
"30","23","        Motor vehicles and equipment","H4422C0",1813,1571,1455,1234,1170,1314,1489,1600,1672,1653,1762,1934,2243,2880,2978,3103,2968,2814,3143,3381
"31","24","        Other transportation equipment \3\","H4423C0",1747,1728,1590,1463,1310,1317,1381,1496,1614,1589,1667,1764,2160,2695,2982,3188,3175,2971,3145,NA
"32","25","        Miscellaneous manufacturing, including instruments and miscellaneous plastic products \3\","H4425C0",1568,1535,1466,1230,1166,1195,1244,1298,1359,1274,1337,1380,1540,1882,2176,2320,2401,2442,2657,NA
"33","26","      Nondurable goods","H4426C0",1455,1425,1352,1166,1086,1139,1178,1210,1267,1241,1263,1299,1440,1654,1895,2081,2211,2404,2683,2895
"34","27","        Food and kindred products","H4427C0",1503,1489,1451,1303,1204,1221,1253,1290,1351,1331,1372,1385,1472,1650,1878,2044,2170,2385,2668,2865
"35","28","        Tobacco manufactures","B4428C0",979,985,908,787,725,750,778,817,883,870,916,1000,1117,1240,1431,1580,1676,1779,1950,2040
"36","29","        Textile mill products","H4429C0",1155,1096,1039,847,829,883,926,952,994,926,960,986,1159,1385,1556,1681,1817,2056,2338,2584
"37","30","        Apparel and other textile products","H4430C0",1361,1265,1162,941,900,987,1016,1013,1025,999,1025,1022,1159,1331,1595,1788,1943,2192,2327,2442
"38","31","        Paper and allied products","B4431C0",1514,1487,1404,1208,1143,1186,1235,1313,1403,1359,1414,1458,1646,1850,2076,2254,2365,2535,2901,3194
"39","32","        Printing and publishing","B4432C0",2010,2011,1943,1740,1599,1644,1698,1702,1722,1697,1718,1764,1852,1971,2156,2376,2576,2862,3210,3499
"40","33","        Chemicals and allied products","H4433C0",1673,1647,1608,1419,1312,1341,1385,1455,1559,1621,1611,1723,1893,2131,2386,2608,2670,2765,3118,3383
"41","34","        Petroleum and coal products","H4434C0",1844,1904,1810,1619,1505,1513,1587,1629,1833,1863,1852,1954,2113,2410,2806,3046,3097,3183,3616,4100
"42","35","        Rubber products","H4435C0",1597,1563,1392,1191,1137,1248,1358,1472,1526,1457,1548,1583,1778,2116,2478,2699,2722,2826,3081,3197
"43","36","        Leather and leather products","H4436C0",1327,1215,1152,970,950,1017,1043,1045,1085,1017,1038,1041,1237,1447,1659,1831,1972,2131,2313,2414
"44","37","    Transportation and public utilities","A4437C0",1598,1578,1539,1393,1339,1402,1490,1565,1631,1675,1714,1745,1850,2099,2386,2576,2660,2861,3059,3297
"45","38","      Transportation","A4438C0",1643,1610,1549,1373,1334,1393,1492,1582,1644,1676,1723,1756,1885,2183,2493,2679,2734,2973,3168,3428
"46","39","        Railroad transportation","B4439C0",1749,1717,1661,1461,1439,1505,1645,1724,1774,1849,1877,1906,2030,2303,2585,2714,2711,3049,3211,3607
"47","40","        Local and interurban passenger transit","H4440C0",1598,1587,1500,1328,1219,1310,1361,1433,1505,1529,1569,1559,1664,1990,2280,2458,2596,2886,3020,3109
"48","41","        Trucking and warehousing","B4441C0",1298,1269,1230,1179,1172,1207,1264,1328,1408,1456,1521,1551,1630,1859,2147,2374,2545,2752,3063,3140
"49","42","        Water transportation","H4442C0",1275,1214,1153,1038,1059,1055,1088,1373,1536,1299,1557,1648,1854,2729,3388,3624,3583,3415,3747,4248
"50","43","        Transportation by air","H4443C0",2500,2250,2600,2333,2333,2333,2125,2200,2167,2231,2267,2263,2292,2265,2457,2766,2830,2829,3256,3658
"51","44","        Pipelines, except natural gas","B4444C0",1920,1750,1810,1706,1450,1545,1565,1600,1808,1957,1955,1957,2083,2280,2720,3038,3240,3259,3750,4100
"52","45","        Transportation services","H4445C0",1424,1427,1377,1224,1127,1180,1269,1275,1279,1276,1271,1365,1579,1782,2100,2314,2386,2550,2762,2601
"53","46","      Communication","A4446C0",1394,1423,1456,1363,1274,1364,1401,1451,1516,1622,1643,1661,1685,1766,1934,2110,2325,2499,2672,2869
"54","47","        Telephone and telegraph","B4447C0",1386,1410,1436,1335,1245,1338,1378,1420,1481,1580,1600,1610,1633,1715,1878,2035,2246,2413,2583,2776
"55","48","        Radio and television broadcasting","B4448C0",2500,2500,2625,2667,2625,2273,2077,2267,2333,2556,2476,2565,2577,2667,2929,3333,3515,3972,4073,4234
"56","49","      Electric, gas, and sanitary services","B4449C0",1562,1575,1572,1516,1427,1484,1565,1588,1683,1723,1739,1772,1847,2016,2261,2439,2566,2665,2959,3189
"57","50","        Utilities: electric and gas","B4493C0",1589,1603,1600,1542,1453,1510,1589,1615,1705,1749,1766,1795,1870,2040,2284,2467,2596,2697,2996,NA
"58","51","        Local utilities and public services, n.e.c.","B4494C0",1107,1107,1115,1087,1000,1043,1136,1125,1238,1190,1227,1318,1364,1524,1778,1889,2000,2045,2217,NA
"59","52","    Wholesale trade","H4450C0",2072,2039,1934,1672,1477,1550,1640,1652,1693,1686,1698,1754,1943,2177,2416,2600,2751,3021,3322,3661
"60","53","    Retail trade and automobile services","H4451C0",1409,1384,1324,1173,1066,1102,1139,1159,1218,1217,1224,1236,1299,1395,1555,1709,1879,2141,2368,2530
"61","54","    Finance, insurance, and real estate","A4452C0",2062,1973,1858,1652,1555,1601,1632,1713,1788,1731,1729,1725,1777,1885,2041,2191,2347,2570,2740,3010
"62","55","      Banking","B4453C0",1969,1909,1881,1817,1726,1768,1830,1891,1919,1941,1969,1963,1977,2069,2134,2256,2408,2650,2862,3025
"63","56","      Security and commodity brokers, and services","H4455C0",3172,3097,3011,2925,2742,2807,2770,2941,3048,2809,2806,2845,3040,3073,3947,4179,5286,5226,4714,4760
"64","57","      Credit agencies (other than banks) and holding and other investment companies","H4454C0",1862,1828,1767,1632,1574,1660,1759,1886,2009,2039,2102,2114,2177,2352,2605,2808,2914,3213,3412,3443
"65","58","      Insurance carriers","B4456C0",2268,2226,2127,1800,1677,1716,1745,1823,1901,1846,1826,1838,1910,2044,2224,2380,2490,2655,2811,3273
"66","59","      Insurance agents, brokers, and service","H4457C0",1975,1877,1748,1581,1464,1575,1679,1781,1887,1880,1882,1890,1975,2140,2331,2513,2661,2923,3103,3030
"67","60","      Real estate","H4458C0",1575,1446,1237,979,906,981,1021,1078,1176,1121,1144,1145,1198,1285,1412,1550,1642,1864,2052,2374
"68","61","    Services","H4460C0",1079,1066,1008,918,854,857,873,898,938,943,952,953,1020,1132,1347,1538,1688,1863,1996,2074
"69","62","      Hotels and other lodging places","H4461C0",1098,1097,1030,908,816,863,878,897,941,946,958,997,1025,1097,1269,1455,1612,1745,1902,2026
"70","63","      Personal services","H4462C0",1219,1200,1136,996,889,905,915,940,978,992,1034,1042,1075,1196,1384,1570,1709,1854,1978,2087
"71","64","      Commercial and trade schools and employment agencies \4\","B4495C0",1650,1778,1625,1500,1364,1417,1400,1471,1526,1500,1529,1625,1833,2175,2520,2714,2571,2520,2903,NA
"72","65","      Business services","H4463C0",2274,2412,2255,1844,1653,1709,1884,1915,1966,1899,1886,1889,1967,2072,2332,2584,2739,2861,3023,3285
"73","66","      Miscellaneous repair services","B4465C0",1814,1793,1684,1464,1286,1339,1429,1456,1544,1552,1603,1579,1891,2152,2641,2901,2810,2766,2974,2825
"74","67","      Motion pictures","B4466C0",2169,2175,2179,1959,1891,1844,1892,1896,1972,1942,1971,1948,2016,2124,2250,2379,2567,2978,3031,2964
"75","68","      Amusement and recreation services","B4467C0",1273,1268,1244,1218,1185,1190,1193,1232,1269,1270,1277,1280,1292,1328,1461,1663,1888,2185,2345,2475
"76","69","      Health services","H4468C0",925,933,919,865,810,801,829,851,876,899,908,927,955,1036,1127,1262,1401,1605,1821,1825
"77","70","      Legal services","B4469C0",1378,1394,1333,1260,1168,1160,1163,1200,1231,1205,1198,1224,1265,1324,1423,1653,1856,1757,1971,2196
"78","71","      Educational services, n.e.c.","H4470C0",1313,1329,1323,1279,1189,1175,1163,1180,1211,1228,1234,1240,1264,1344,1469,1562,1641,1802,2113,2009
"79","72","      Membership organizations","H4473C0",1712,1698,1653,1545,1442,1440,1435,1465,1497,1529,1546,1408,1379,1482,1679,1795,1876,1984,2077,2090
"80","73","      Miscellaneous professional services","H4474C0",2314,2027,1897,1714,1619,1609,1600,1759,1774,1909,1973,1902,2245,2654,3063,3237,3258,3280,3495,3752
"81","74","      Private households","B4475C0",731,676,584,497,460,473,485,506,558,527,544,554,601,706,919,1140,1313,1411,1463,1500
"82","75","  Government","A4476C0",1574,1576,1568,1499,1344,1297,1305,1290,1367,1348,1348,1354,1399,1645,1797,1930,2059,2380,2615,2820
"83","76","    Federal","A4477C0",1673,1632,1673,1603,1302,1263,1295,1186,1270,1221,1214,1205,1292,1652,1808,1943,2069,2491,2831,2957
"84","77","      General government","A4478C0",1547,1492,1549,1504,1213,1178,1183,1112,1188,1149,1137,1125,1239,1632,1792,1929,2057,2490,2843,2949
"85","78","        Civilian, except work relief","B4479C0",1933,1768,1895,1824,1673,1717,1759,1896,1797,1832,1843,1894,1970,2226,2628,2677,2646,2904,3180,3256
"86","79","        Military \5\","B4480C0",1181,1191,1182,1164,1070,1070,1154,1152,1132,1120,1134,1025,1113,1485,1565,1763,1931,2279,2556,2676
"87","80","        Work relief","B4496C0",NA,NA,NA,NA,954,971,839,931,1007,991,939,883,889,965,1064,NA,NA,NA,NA,NA
"88","81","      Government enterprises","B4481C0",1903,1907,1913,1791,1577,1635,1780,1869,1851,1811,1819,1820,1777,1949,2168,2372,2412,2492,2763,2996
"89","82","    State and local","A4482C0",1538,1555,1532,1462,1364,1317,1311,1431,1471,1502,1506,1534,1565,1626,1749,1861,2004,2162,2375,2677
"90","83","      General government","A4483C0",1534,1553,1530,1459,1361,1313,1305,1428,1467,1499,1503,1530,1555,1609,1725,1838,1981,2139,2350,2654
"91","84","        Public education","B4484C0",1517,1528,1536,1470,1365,1329,1358,1395,1435,1476,1473,1507,1534,1588,1688,1817,1975,2127,2374,2666
"92","85","        Nonschool, except work relief","B4485C0",1549,1576,1541,1479,1413,1391,1425,1457,1493,1517,1530,1552,1574,1628,1756,1855,1986,2149,2331,2645
"93","86","        Work relief","B4497C0",NA,1000,1045,1057,1140,1128,1034,1345,1455,1333,909,909,1000,1000,NA,NA,NA,NA,NA,NA
"94","87","      Government enterprises","B4486C0",1600,1595,1573,1529,1455,1438,1473,1487,1536,1563,1578,1610,1734,1908,2142,2255,2405,2554,2791,3000
"95","88","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","1. For 1948, included in anthracite mining (line 9).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. For 1948, included in lumber and basic timber products (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","3. For 1948, included with iron and steel and their products, including ordnance (line 19).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","4. For 1948, included with educational services, n.e.c. (line 71).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","5. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
