"","Table 6#21A# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"56","49","      Utilities: electric and gas","B3478C0",-34,-269,-255,-243,-147,-103,-159,-124,-59,-79,-36,37,53,102,106,59,38,226,128
"57","50","      Local utilities and public services, n.e.c.","B3479C0",18,-27,-8,10,18,11,11,3,7,-1,6,7,9,9,29,19,12,7,42
"58","51","  Wholesale trade","B3449C0",166,-148,-236,-233,69,102,88,161,103,74,200,278,455,375,365,394,408,1256,1390
"59","52","  Retail trade and automobile services","B3450C0",231,-138,-325,-438,-1,196,189,191,158,71,234,301,539,551,586,570,616,1570,1783
"60","53","  Finance, insurance, and real estate","A3451C0",646,6,-112,-6,271,181,524,289,301,509,546,731,813,713,877,1136,1006,1520,1410
"61","54","    Banking","A3452C0",526,370,325,321,396,250,286,338,378,346,356,397,434,425,526,609,622,773,744
"62","55","    Security and commodity brokers, and services","B3456C0",177,-193,-219,-50,-101,0,-22,2,-50,-17,9,-12,-7,-4,11,16,24,8,1
"63","56","    Credit agencies (other than banks) and holding and other investment companies","B3455C0",84,23,33,26,3,194,558,-64,-38,-21,27,176,195,29,57,33,31,69,150
"64","57","    Insurance carriers","B3457C0",139,67,74,151,409,213,146,335,313,365,311,317,284,329,277,420,280,497,252
"65","58","    Insurance agents, brokers, and service","B3458C0",13,7,8,17,13,15,10,11,9,7,10,8,11,8,5,7,6,22,29
"66","59","    Real estate","B3459C0",-293,-268,-333,-471,-449,-491,-454,-333,-311,-171,-167,-155,-104,-74,1,51,43,151,234
"67","60","  Services","A3461C0",68,32,-59,-171,-94,-7,7,-8,-15,-25,4,17,55,112,177,191,179,349,311
"68","61","    Hotels and other lodging places","B3462C0",4,-8,-26,-35,-30,-23,-22,-24,-23,-32,-27,-15,-12,8,39,45,45,67,60
"69","62","    Personal services","B3463C0",21,19,10,0,10,20,20,20,18,4,8,9,14,20,24,26,22,37,44
"70","63","    Business services","B3464C0",10,18,4,-11,-6,7,9,2,-2,2,11,4,14,15,18,22,24,46,53
"71","64","    Miscellaneous repair services","B3466C0",2,2,1,1,2,4,2,3,2,1,0,1,4,6,4,4,3,5,9
"72","65","    Motion pictures","B3467C0",32,9,-28,-96,-48,-9,2,-7,-5,7,15,21,32,54,72,77,66,120,82
"73","66","    Amusement and recreation services","B3468C0",-6,-13,-18,-23,-16,-4,-2,-1,-2,-4,0,-1,1,3,7,9,17,39,22
"74","67","    Other services","A3469C0",5,5,-2,-7,-6,-2,-2,-1,-3,-3,-3,-2,2,6,13,8,2,35,41
"75","68","      Health services","B3470C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","69","      Legal services","B3471C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","70","      Educational services, n.e.c.","B3472C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","71","      Social services and membership organizations","B3473C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","72","Rest of the world \1\","A3474C0",0,0,0,0,0,0,0,0,150,54,140,32,160,153,134,130,114,266,297
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of receipts by all U.S. residents of their share of the reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","their incorporated foreign affiliates, net of the corresponding payments to foreign residents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","for their share of the reinvested earnings of their incorporated U.S. affiliates.  Receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","are not included from 1930 to 1936; payments are not included from 1930 to 1939.  Estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","for 1929 are included in dividends paid in table 6.20A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
