"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"15","8","  Police","W580RC1",2,2.2,2.3,2.5,2.6,2.8,3.1,3.4,3.8,4.5,5,5.7,6.5,7.4,8.3,9.3,10.7,11.7,12.8,14.2,15.6,17.2,19.1,21,22.8,24.5,26.9,28.8,30.7,33.4,36.1,39.2,42.2,45.4,47.9,50.7,54.3,59,64.2,68.7,73.2,77.6,82.8,89.7,95.9,103
"16","9","  Fire","W581RC1",1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.6,4.1,4.5,4.8,5.5,6,6.7,7.4,8.2,8.8,9.4,10.3,11.3,12.1,12.6,13.7,14.8,15.6,16.8,17.2,18.1,19,20.1,20.9,21.9,23.4,25.1,26.3,28.7,30,31.2
"17","10","  Law courts","W582RC1",0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,1.9,2.1,2.5,2.8,3.2,3.5,3.9,5.1,5.9,6.8,7.5,8.3,8.9,9.5,10.5,11.3,12.2,14.1,15.9,17.7,19.5,20.8,23.3,24.8,26.7,27.9,27.7,30,32.4,34.7,37.5,41.9,41.9,43.9
"18","11","  Prisons","W583RC1",0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.9,2.2,2.5,2.8,3.4,4.1,4.6,5.2,5.8,6.6,7.5,8.6,10,11.4,13,15.1,17.2,19.4,22.1,25.3,28.9,31.9,33.5,35.5,39,42.1,44.4,47.4,50.1,54.6,58.8,62.5,64.6,65.5,67.8
"19","12","Economic affairs","W584RC1",20.5,19.5,20.6,23.3,26.2,29.1,31.4,33.2,35,37.6,39.5,41.5,44.5,46.8,48.9,56.1,63.2,65.5,70.3,80.4,89.5,101.7,113.6,115.6,123.2,126.1,139,148.2,150.1,149,160.8,176.9,183,193.5,200.3,207.1,211.6,218.3,228.5,233.7,253.5,273.2,287.3,306.8,318,325.2
"20","13","  Transportation","W589RC1",12.2,12.2,13.1,13.9,15.2,15.7,16.8,18.5,19.8,21.4,22.5,24.6,26.2,27.4,29.2,34.3,37.7,37.8,39.2,43.5,49.6,55.6,59.4,62.1,66,71.7,77.2,82.1,86.3,90.9,94,102.5,107.2,110.3,115.4,123.2,125.4,130.6,138.7,145.2,156.6,168.6,181.4,192.9,201.1,206
"21","14","    Highways","W590RC1",10.7,10.6,11.3,12.1,13.2,13.6,14.5,16,16.8,18.1,18.9,20.7,22.3,22.8,24.1,28.4,31.3,31.1,32,35.3,40.2,44.5,47.5,49.4,51.4,56.4,61.2,65.6,68.9,72.5,73.9,80.2,82.9,84.8,88.8,94.6,97.7,101.5,108.9,113.9,123.1,131.2,140.8,144.2,146.7,152.8
"22","15","    Air","W591RC1",0.6,0.7,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.6,1.9,2,2.1,2.3,2.6,2.7,2.8,2.9,3.3,3.7,4.3,4.3,4.3,5.3,5.7,6.4,7.1,7.6,8.1,9,10,11.2,12.4,13.5,13.2,12.3,13.3,13.6,14.5,15.8,16.9,18.9,24,26.9,26.5
"23","16","    Water","W592RC1",0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.6,2,2.2,2.2,2.5,2.9,3.5,4.1,4.3,4.6,5.2,5.4,5.5,5.3,5.6,6,6.1,6.6,7.2,7.2,7.3,7.5,7.4,7.7,7.7,8.6,8.8,10.8,11.3,11.2,11.8,11.3
"24","17","    Transit and railroad","W593RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.7,0.6,0.6,1,1.2,1.3,1.5,1.7,1.8,2,2.2,2.8,3.3,3.8,4,4.2,4,4.1,4.2,4.3,5,5.6,5.9,5.9,5.8,7.8,8,8.1,8.4,8.2,8.9,9.7,10.4,13.6,15.7,15.6
"25","18","  Space","W595RC1",0.3,0.6,0.9,1.9,3.5,4.9,5.9,6.4,5.5,5.3,4.7,4.4,4.3,4.2,3.9,4.3,4.8,4.8,5,5.2,5.6,6.6,7.3,7.6,8.5,8.8,9.3,9.1,10,11.4,13.6,15.7,16.4,16.6,16.9,16.2,16.3,17.4,17.3,16.5,16,16.3,16.8,16.4,16.9,18.2
"26","19","  Other economic affairs","W596RC1",8.1,6.7,6.5,7.5,7.5,8.5,8.7,8.3,9.7,10.9,12.3,12.5,14,15.3,15.8,17.5,20.7,22.9,26.1,31.7,34.2,39.5,46.9,46,48.6,45.6,52.5,56.9,53.8,46.7,53.2,58.7,59.3,66.5,67.9,67.7,69.9,70.4,72.5,72,80.9,88.3,89.1,97.5,100,101
"27","20","    General economic and labor affairs","W585RC1",0.9,1.1,1.2,1.3,1.5,1.6,1.8,2.1,2.6,2.9,3,3.4,4.2,4.8,5.2,4.4,4.7,5.3,6,6.8,7.8,9.3,9.3,9.3,8.9,9.4,10.5,11,12,12.6,14.9,18.7,15.5,17.5,18.2,18.3,19,20,20.8,21.4,23.5,27.6,25.2,28.2,27.7,27.7
"28","21","    Agriculture","W586RC1",4,2.2,1.4,2.2,1.6,1.8,1.5,0.5,0.9,2.4,3.4,2.5,2.6,2.5,2.5,2.7,3.8,3.8,4.1,4.6,5.1,7.3,7.5,9.8,11.8,8.3,12.4,17.3,12.2,4.9,9.2,8.9,10.9,12.1,11.4,10.7,10.4,10.5,12.3,11.5,13.6,14.4,15.2,16.6,16,15.5
"29","22","    Energy","W587RC1",1.2,1.4,1.7,1.6,1.7,2.2,2.2,2.1,2.5,2.5,2.7,2.9,3,3.3,3.4,4.7,5.8,7,8.9,12.5,12.1,12.4,18.3,14.7,14.4,13.9,14.5,13.1,12.5,12,11.3,11.8,12,15.2,16.9,14.9,16,13.2,12.9,11.3,13.7,13.4,14.9,17.4,21.6,21.1
"30","23","    Natural resources","W588RC1",1.7,1.7,2,2.1,2.3,2.4,2.8,3.1,3.4,2.8,2.9,3.4,3.7,4,4.1,4.8,5.7,5.8,6.3,7,8.4,9.5,10.7,11,12.2,12.3,13.4,13.6,14.3,15,15.5,16.5,17.6,18.4,18.7,21.2,21.6,23,22.3,23.4,24.8,27.9,29.4,32.1,31.8,33.1
"31","24","    Postal service","W594RC1",0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,0.9,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.5,2.5,2.7,3.4,4,4.2,4.9,4.5,4,2.8,2.6,3.1
"32","25","    Other","W684RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.5
"33","26","Housing and community services","W597RC1",2.7,2.8,3.1,3.5,3.3,3.8,4,4.2,4.5,5.2,5.1,5.5,6.2,6.2,7,8.3,9.5,10,9.9,11.8,13.1,15.7,15.6,15.3,14.7,16.4,17.8,20.1,22.1,23.1,24.1,26.4,27.4,27.6,27.4,26.1,27.2,29.5,31,31.5,34.3,33.8,37.5,41,43.6,44.6
"34","27","Health","W598RC1",4.3,4.6,5,5.2,5.6,6,6.4,7,7.7,8.7,9.8,11.3,12.7,14.3,16,18.4,21,22.2,24.3,26.5,28.1,32.6,34.9,35.8,37.6,40.7,43.4,45.3,48.6,52.6,56.4,61.7,64.9,66.3,67.9,70.2,70.8,71.8,72.3,72.6,78,83.4,84.9,92,100,105.2
"35","28","Recreation and culture","W599RC1",0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.5,1.8,2.2,2.4,2.6,2.8,3.2,3.9,4.7,5,5.2,6,6.5,7,7.5,8,8.3,8.9,9.9,10.7,11.2,12.1,13.3,14.7,15.5,16.1,16.4,17.3,18.5,19.8,21.5,22.7,23.9,26.8,29.1,31.2,31.9,33.2
"36","29","Education","W600RC1",17.2,19.1,21,22.6,25,27.7,30.8,35.7,40.1,43.9,48.6,54.8,60.7,66.2,73.2,81.5,92.8,100.9,107.7,115.8,127.4,139.7,150.5,160.6,169.7,184.4,200.8,217.8,232.3,249.8,270.5,292.6,308.9,320.8,334.5,353.1,377.6,396.9,420.3,443.1,471.7,510.7,544.2,567.4,599.7,630.4
"37","30","  Elementary and secondary","W601RC1",14.2,15.7,17.2,18.3,19.9,22,24.2,27.6,30.5,33.5,36.9,41.1,45.5,49.5,54.4,60.7,69.5,75.4,80.7,86.9,95.8,104.5,111.5,119.1,126.6,138.1,150,163.4,175.5,188.6,204.4,222,235.5,246,255,268,288.2,304.7,323.8,341.8,364.8,394.6,421,438.6,468.8,490.5
"38","31","  Higher","W602RC1",2.4,2.6,3,3.4,4,4.4,5.1,6.2,7.4,8.1,9.1,10.6,11.6,12.8,14.7,16.3,18.1,20,21.3,22.8,25.1,28.1,31.3,33.6,34.8,37.3,41.2,44.2,45.8,49.3,53.1,56.8,59.1,60.1,64.2,68.6,71.9,73.7,77.2,81.2,85.3,92.6,97.6,101.8,103.5,111.1
"39","32","  Libraries and other","W682RC1",0.7,0.7,0.8,0.9,1.1,1.3,1.5,2,2.2,2.3,2.6,3.1,3.5,3.9,4.1,4.5,5.2,5.5,5.7,6.1,6.5,7.1,7.7,7.9,8.3,9.1,9.7,10.3,11,11.9,13,13.8,14.3,14.7,15.3,16.4,17.5,18.5,19.3,20.2,21.6,23.6,25.6,27,27.4,28.7
"40","33","    Libraries","W603RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2,2.2,2.4,2.6,2.9,3.2,3.4,3.7,4,4.3,4.7,4.8,4.9,5.1,5.5,5.9,6.3,6.5,6.8,7.1,7.6,8.3,8.7,9.1
"41","34","    Other","W604RC1",0.5,0.5,0.5,0.6,0.7,0.8,1,1.5,1.6,1.7,1.9,2.4,2.7,3,3.1,3.4,4,4.2,4.3,4.6,4.8,5.2,5.7,5.7,5.9,6.4,6.8,7.1,7.6,8.2,9,9.4,9.6,9.9,10.4,11.3,12,12.6,13,13.7,14.8,16.5,18,18.7,18.8,19.6
"42","35","Income security","W605RC1",1.1,1.1,1.4,1.6,1.6,1.7,2.1,2.5,2.9,2.9,3.4,4,4.7,5.8,6.6,8.4,9.2,10.5,12.1,13,14.2,15.9,16.8,17.5,19.3,20.8,22.2,23,24.4,26,28.7,32,35,39,40.8,44.7,46.5,47.5,50.6,55,58.4,62.8,68,76.8,79,80.2
"43","36","  Disability","W606RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,0.9,1.2,1.1,1.3,1.5,1.8,2.1,2.1,2.5,2.8,2.8,3.1,3.4,3.1,3.3,3.4,4.7,5,5
"44","37","  Retirement \1\","W607RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1.2,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1.2,1.2,1.2,1.3,1.2,1.3,1.6,1,1.5,1.4,1.8,1.9,1.9
"45","38","  Welfare and social services","W608RC1",0.8,0.7,0.9,1.2,1.2,1.2,1.6,2,2.3,2.2,2.7,3.2,3.8,4.6,5.3,6.8,7.6,8.8,10.1,11,12,13.3,14.2,14.7,16.5,17.8,19.2,20.2,21.4,23,25.5,28.6,31,33.6,35.7,38.5,40.4,41.4,44,47.7,51.9,55.6,60.3,67.1,68.3,69.4
"46","39","  Unemployment","W609RC1",0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.3
"47","40","  Other","W610RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.4,1.8,2,2,2.2,2.3,2.2,2.5,2.8,3.6,3.8
"48","41","      Federal","A823RC1",65.4,64.1,67.9,75.3,76.9,78.5,80.4,92.5,104.8,111.4,113.4,113.5,113.7,119.7,122.5,134.6,149.1,159.7,175.4,190.9,210.6,243.8,280.2,310.8,342.9,374.4,412.8,438.6,460.1,462.3,482.2,508.3,527.7,533.9,525.2,519.1,519.2,527.4,530.9,530.4,555.8,578.8,612.9,679.7,756.4,825.6
"49","42","General public service","W611RC1",1.8,2,2.1,2.3,2.5,2.6,3,2.9,2.7,2.7,3.4,4.4,5.5,6.1,6.5,8,8.8,9.4,10.1,10.2,11.5,12.8,12.8,14.4,14,14.1,16.4,17.7,19.3,19.2,20,23.6,26.1,26.6,25.7,25.8,28.4,25.5,28.5,27.3,29.8,29.7,32.8,33.6,35.5,43.9
"50","43","  Executive and legislative","W612RC1",1.8,2,2,2.3,2.4,2.5,2.8,2.8,2.5,1.2,1.8,2.2,2.9,3.2,3.4,4.6,4.8,5,5.5,5.7,7.2,8.5,8.3,9.2,7.9,8.5,9.2,9.4,10.8,9.8,10.1,12.8,13.4,13.3,13.4,13.5,16,14.1,18.2,17.6,18,20,20.4,20.7,23.2,31
"51","44","  Tax collection and financial management","W613RC1",0.1,0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,1.5,1.7,2.1,2.6,2.9,3.1,3.5,4,4.4,4.6,4.4,4.3,4.4,4.5,5.2,6.2,5.6,7.2,8.3,8.4,9.4,10,10.8,12.7,13.3,12.3,12.3,12.4,11.4,10.3,9.6,11.8,9.8,12.5,12.9,12.3,12.9
"52","45","  Other \2\","W614RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","National defense","A824RC1",53.8,53.4,56.5,61.1,61,60.3,60.6,71.7,83.5,89.3,89.5,87.6,84.6,87,88.2,95.6,103.9,111.1,120.9,130.5,145.2,168,196.3,225.9,250.7,281.6,311.2,330.9,350,354.9,362.2,374,383.2,376.9,362.9,353.7,348.7,354.6,349.6,345.7,360.6,370.3,392.6,437.1,497.2,550.7
"54","47","Public order and safety","W615RC1",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,1,1.2,1.4,1.6,1.9,2.2,2.5,2.7,3.1,3.4,3.5,3.7,4.4,5,5.4,5.9,6.7,8.2,9.1,9.8,11.5,12.9,14,14.4,15.4,17.1,18.4,20.1,21.8,24.9,27.2,32.2,35.3,38.3
"55","48","  Police","W616RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.9,0.9,1.1,1.2,1.4,1.4,1.6,1.7,1.8,1.9,2.4,2.8,3,3.2,3.6,4.4,4.8,5.1,5.4,6.3,7,7,7,8.5,11.2,12.7,13.5,15.4,16.4,18.5,21.8,25.2
"56","49","  Fire","W617RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.4,0.8,0.3
"57","50","  Law courts","W618RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.7,0.8,1,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.2,2.6,2.9,3.3,4,4.3,4.5,4.7,5.3,5.2,3.5,3.9,4.2,4.6,5.3,7.9,7.3,7.4
"58","51","  Prisons","W619RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.8,0.8,1.1,1.3,1.4,2.1,2.3,2.4,2.7,3.1,3.3,3.7,3.5,4.1,4.7,5.2,5.4,5.4,5.5
"59","52","Economic affairs","W620RC1",7.3,6.1,6.2,8.2,9.5,11.6,12.5,12.6,12.7,13.6,14.2,14.1,15.3,16.3,16.4,17.7,21,22.4,25.6,29.9,32.1,37.5,44.1,43.2,47.8,45,50.4,53.8,51.9,46.2,54.4,61.4,63.5,70.2,71.3,71.3,71.4,73.5,74.8,73.7,79.3,84.2,85.2,94.3,98,101.1
"60","53","  Transportation","W625RC1",1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.8,1.9,2,2.2,2.6,2.8,3.2,3.4,3.9,4.3,4.5,5.1,5.6,6.3,7,7.5,7.8,9.1,9.6,10,10,10.5,11.2,11.8,12.9,14.5,15.3,15.4,17.1,16.1,16.9,17.6,18.5,18.7,19.2,21.1,26.4,29.6,29.1
"61","54","    Highways","W626RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.5,0.5,0.7,0.9,0.4,0.4,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.6
"62","55","    Air","W627RC1",0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1.3,1.4,1.5,1.7,1.8,2,2.1,2.3,2.5,2.6,2.9,3,3,3.8,4,4.6,4.9,5.1,5.5,6.1,6.6,7.4,7.9,8.7,9.1,9,9.4,9.1,9.3,9.8,9.8,11,15.7,18.3,17.3
"63","56","    Water","W628RC1",0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.4,1.7,1.8,1.9,2.2,2.5,2.9,3.3,3.6,3.9,4.6,4.8,4.8,4.6,4.9,5.2,5.3,5.8,6.4,6.5,6.4,6.5,6.4,6.5,6.5,7.4,7.5,7.9,8.3,8.6,9.3,9.6
"64","57","    Transit and railroad","W629RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.4,-0.4,0.6,0.4,0.6,0.7,0.6,0.2,0.2,0.2,0.5,0.5,0.5
"65","58","  Space","W631RC1",0.3,0.6,0.9,1.9,3.5,4.9,5.9,6.4,5.5,5.3,4.7,4.4,4.3,4.2,3.9,4.3,4.8,4.8,5,5.2,5.6,6.6,7.3,7.6,8.5,8.8,9.3,9.1,10,11.4,13.6,15.7,16.4,16.6,16.9,16.2,16.3,17.4,17.3,16.5,16,16.3,16.8,16.4,16.9,18.2
"66","59","  Other economic affairs","W632RC1",5.9,4.3,3.9,4.9,4.5,5.2,5,4.4,5.3,6.3,7.4,7.1,8.2,9,9.1,9.5,12,13.1,15.4,19.1,20.2,23.9,29.3,27.8,30.2,26.7,31.1,34.6,31.4,23.6,29,32.8,32.5,38.2,39,38,39.1,39.2,39.9,38.7,44.6,48.7,47.4,51.5,51.5,53.9
"67","60","    General economic and labor affairs","W621RC1",0.2,0.4,0.4,0.5,0.6,0.7,0.7,0.9,1.3,1.4,1.4,1.5,2.1,2.4,2.6,1.6,1.5,1.7,2.1,2.4,2.9,3.9,3.5,3.3,2.9,3.1,3.9,3.8,4.1,4.3,5.8,8.8,5.2,6.2,6.6,6.3,6.9,7.6,7.8,7.9,9.1,12.5,9,9.1,8.6,9.7
"68","61","    Agriculture","W622RC1",3.7,1.8,1,1.8,1.2,1.3,1,-0.1,0.3,1.7,2.6,1.6,1.7,1.5,1.5,1.6,2.4,2.4,2.6,3.1,3.4,5.4,5.4,7.6,9.3,5.7,9.5,14.3,9.1,1.6,5.7,5.1,6.9,8.1,7.3,6.6,6.2,6.2,7.8,6.6,8.2,8.3,9.4,10.3,9.5,9.5
"69","62","    Energy","W623RC1",0.7,0.8,1,1.1,1.1,1.3,1.3,1.4,1.6,1.5,1.7,1.8,1.8,2,1.9,2.9,4.2,4.8,6.2,8.5,7.7,7.8,12.6,9.3,9.1,9,8.3,7.3,7.8,7.4,7.3,7.7,7.8,10.7,12.3,10.8,12,9.6,9.1,7.9,9.6,8.7,9.8,11.8,13.8,14.3
"70","63","    Natural resources","W624RC1",1.1,1,1.2,1.3,1.4,1.4,1.5,1.8,1.9,1.4,1.5,1.9,2.2,2.5,2.4,2.8,3.4,3.4,3.9,4.4,5.4,5.9,6.9,6.8,7.7,7.3,7.9,7.6,8,8.3,8.3,8.8,9.6,10.1,10.2,11.7,11.3,12.4,11.4,12.1,12.8,14.8,15.2,17.5,17,17.3
"71","64","    Postal service","W630RC1",0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,0.9,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.5,2.5,2.7,3.4,4,4.2,4.9,4.5,4,2.8,2.6,3.1
"72","65","Housing and community services","W633RC1",0,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.4,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.5,0.4,0.6,0.7,0.6,0.7,0.7,0.7,1,0.8,0.7,0.8,0.8,0.8,0.7,1.9,0.9,0.7,0.7,0.9,1.5,2.2,1.3,1.2,1.1,1.4,0.5
