"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"62","40","      Private","K160401","99,346.0","104,423.0","106,476.0","105,624.0","209,676.0","356,591.0","239,766.0","224,606.0","296,202.0","372,251.0","577,590.0","675,350.0","529,998.0","357,797.0","272,055.0","287,679.0","250,055.0","243,146.0","338,717.0","422,363.0","424,332.0","546,558.0","306,291.0","303,469.0","267,949.0","332,865.0","296,287.0","298,357.0","158,812.0","161,434.0","431,126.0","493,548.0","248,773.0","552,357.0","531,660.0","939,254.0","1,101,940.0","856,647.0","1,115,968.0","406,281.0","353,540.0"
"63","41","      Government","K160411","34,548.0","36,910.0","38,534.0","37,071.0","72,530.0","123,265.0","87,330.0","78,428.0","98,275.0","114,897.0","170,584.0","198,053.0","156,302.0","105,836.0","80,549.0","83,533.0","71,500.0","69,195.0","96,168.0","119,150.0","118,506.0","152,756.0","86,493.0","86,604.0","76,051.0","93,589.0","82,759.0","83,290.0","43,621.0","44,117.0","115,356.0","130,816.0","65,591.0","144,704.0","138,420.0","239,321.0","283,705.0","218,237.0","291,106.0","111,375.0","105,377.0"
"64","42","    Private inventories \1\","K160421","11,595.0","11,922.0","11,935.0","11,420.0","23,340.0","43,015.0","27,128.0","24,679.0","31,817.0","38,418.0","60,407.0","69,193.0","55,569.0","34,070.0","24,642.0","28,012.0","23,766.0","21,751.0","28,651.0","35,939.0","37,070.0","46,673.0","25,713.0","24,752.0","21,438.0","26,976.0","23,445.0","23,595.0","12,550.0","12,373.0","31,350.0","35,659.0","16,912.0","34,882.0","32,929.0","58,553.0","67,039.0","50,776.0","64,561.0","23,966.0","19,224.0"
"65","43","  Real holding gains or losses (-)","K160431","-7,817.0","4,437.0","61,592.0","72,674.0","80,429.0","149,468.0","-66,634.0","16,153.0","85,154.0","137,054.0","90,454.0","34,294.0","-30,751.0","-128,786.0","-231,108.0","-121,697.0","-106,858.0","52,200.0","-29,976.0","-50,272.0","-100,759.0","-356,585.0","-340,291.0","13,070.0","181,982.0","263,327.0","100,878.0","34,886.0","298,833.0","328,386.0","233,272.0","241,646.0","505,773.0","82,211.0","334,818.0","1,353,916.0","1,309,171.0","1,024,676.0","-466,527.0","140,042.0","-1,760,482.0"
"66","44","    Fixed assets","K160441","-6,422.0","10,105.0","63,801.0","63,272.0","51,719.0","152,352.0","-48,625.0","26,903.0","96,874.0","112,319.0","72,184.0","25,733.0","14,530.0","-104,422.0","-235,197.0","-100,368.0","-68,253.0","98,435.0","-40,370.0","-71,364.0","-80,539.0","-333,097.0","-290,183.0","28,792.0","190,838.0","275,520.0","92,834.0","61,773.0","339,720.0","390,206.0","234,373.0","240,554.0","561,083.0","87,261.0","327,556.0","1,341,559.0","1,303,090.0","1,022,899.0","-533,233.0","177,744.0","-1,768,664.0"
"67","45","      Private","K160451","-18,230.0","-16,054.0","50,203.0","37,096.0","23,981.0","58,397.0","-3,266.0","51,798.0","127,220.0","112,382.0","47,259.0","-10,985.0","-4,523.0","-94,648.0","-173,281.0","-65,511.0","-46,743.0","70,460.0","-22,809.0","-40,103.0","-64,873.0","-268,334.0","-245,181.0","29,922.0","152,725.0","198,643.0","34,200.0","50,919.0","238,302.0","317,283.0","149,378.0","162,620.0","483,078.0","89,633.0","341,174.0","971,487.0","1,037,985.0","557,014.0","-801,885.0","-234,417.0","-1,435,137.0"
"68","46","      Government","K160461","11,807.0","26,158.0","13,599.0","26,176.0","27,738.0","93,955.0","-45,359.0","-24,895.0","-30,346.0","-62.0","24,924.0","36,718.0","19,053.0","-9,774.0","-61,916.0","-34,857.0","-21,509.0","27,975.0","-17,560.0","-31,260.0","-15,666.0","-64,763.0","-45,002.0","-1,130.0","38,113.0","76,877.0","58,633.0","10,854.0","101,418.0","72,923.0","84,995.0","77,934.0","78,005.0","-2,372.0","-13,619.0","370,073.0","265,104.0","465,885.0","268,652.0","412,161.0","-333,527.0"
"69","47","    Private inventories \1\","K160471","-1,395.0","-5,667.0","-2,209.0","9,401.0","28,710.0","-2,884.0","-18,009.0","-10,750.0","-11,721.0","24,735.0","18,271.0","8,561.0","-45,281.0","-24,364.0","4,089.0","-21,329.0","-38,605.0","-46,234.0","10,394.0","21,092.0","-20,220.0","-23,488.0","-50,108.0","-15,722.0","-8,856.0","-12,193.0","8,044.0","-26,887.0","-40,887.0","-61,819.0","-1,101.0","1,091.0","-55,310.0","-5,050.0","7,262.0","12,357.0","6,081.0","1,777.0","66,706.0","-37,703.0","8,182.0"
"70",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","48","Produced assets \10\","K160481","2,872,192.0","3,115,133.0","3,433,039.0","3,779,460.0","4,313,371.0","5,126,026.0","5,514,871.0","6,006,119.0","6,710,816.0","7,622,128.0","8,798,016.0","10,003,921.0","10,995,413.0","11,551,545.0","11,924,295.0","12,595,262.0","13,215,474.0","13,970,618.0","14,794,175.0","15,709,299.0","16,589,929.0","17,357,316.0","17,721,839.0","18,460,479.0","19,390,476.0","20,576,782.0","21,581,773.0","22,600,598.0","23,783,974.0","25,074,297.0","26,704,628.0","28,485,189.0","30,012,264.0","31,492,773.0","33,240,569.0","36,691,894.0","40,346,960.0","43,568,744.0","45,540,561.0","46,930,643.0","45,862,000.0"
"72","49","  Fixed assets","K160491","2,644,761.0","2,879,446.0","3,179,370.0","3,495,863.0","3,961,846.0","4,720,380.0","5,106,362.0","5,566,565.0","6,228,842.0","7,051,210.0","8,130,436.0","9,264,918.0","10,216,313.0","10,777,653.0","11,127,423.0","11,726,302.0","12,339,529.0","13,112,585.0","13,869,948.0","14,709,559.0","15,545,646.0","16,275,301.0","16,664,613.0","17,377,895.0","18,274,496.0","19,382,235.0","20,324,580.0","21,315,930.0","22,456,644.0","23,732,694.0","25,271,960.0","26,961,227.0","28,564,983.0","30,003,633.0","31,694,863.0","35,010,368.0","38,542,361.0","41,651,637.0","43,463,064.0","44,907,997.0","43,939,170.0"
"73","50","    Private","K160501","1,942,390.0","2,097,849.0","2,332,921.0","2,573,201.0","2,923,956.0","3,445,090.0","3,766,408.0","4,150,031.0","4,723,358.0","5,404,605.0","6,255,690.0","7,118,453.0","7,858,168.0","8,288,503.0","8,579,126.0","9,077,585.0","9,575,727.0","10,178,701.0","10,780,761.0","11,461,132.0","12,120,151.0","12,677,484.0","12,945,062.0","13,495,587.0","14,211,584.0","15,088,823.0","15,820,511.0","16,635,428.0","17,552,727.0","18,627,876.0","19,866,743.0","21,240,514.0","22,585,510.0","23,749,947.0","25,180,554.0","27,746,781.0","30,600,947.0","32,870,859.0","33,955,540.0","34,694,092.0","33,775,965.0"
"74","51","    Government","K160511","702,371.0","781,597.0","846,449.0","922,662.0","1,037,890.0","1,275,290.0","1,339,954.0","1,416,534.0","1,505,484.0","1,646,605.0","1,874,746.0","2,146,465.0","2,358,145.0","2,489,150.0","2,548,296.0","2,648,717.0","2,763,802.0","2,933,884.0","3,089,187.0","3,248,428.0","3,425,495.0","3,597,817.0","3,719,550.0","3,882,308.0","4,062,912.0","4,293,411.0","4,504,069.0","4,680,502.0","4,903,917.0","5,104,818.0","5,405,217.0","5,720,712.0","5,979,473.0","6,253,686.0","6,514,309.0","7,263,587.0","7,941,413.0","8,780,777.0","9,507,524.0","10,213,906.0","10,163,204.0"
"75","52","  Private inventories \1\","K160521","227,431.0","235,687.0","253,669.0","283,597.0","351,525.0","405,646.0","408,509.0","439,554.0","481,974.0","570,918.0","667,580.0","739,003.0","779,100.0","773,892.0","796,872.0","868,960.0","875,945.0","858,033.0","924,227.0","999,740.0","1,044,283.0","1,082,015.0","1,057,226.0","1,082,584.0","1,115,980.0","1,194,547.0","1,257,193.0","1,284,668.0","1,327,330.0","1,341,603.0","1,432,668.0","1,523,962.0","1,447,281.0","1,489,140.0","1,545,706.0","1,681,526.0","1,804,599.0","1,917,107.0","2,077,497.0","2,022,646.0","1,922,830.0"
"76",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","53","  Intersectoral auto valuation adjustment \11\","K160531","332.0","794.0","805.0","702.0","770.0","854.0","703.0","482.0","649.0","1,447.0","1,648.0","2,278.0","1,859.0","1,687.0","1,985.0","3,441.0","6,354.0","11,032.0","9,657.0","6,902.0","7,095.0","7,678.0","5,050.0","3,339.0","1,695.0","416.0","37.0","-1,494.0","3,056.0","1,326.0","994.0","783.0","3,873.0","6,289.0","9,616.0","9,290.0","7,441.0","9,279.0","6,342.0","6,561.0","7,088.0"
"78","54","  Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment","K160541","814.0","782.0","810.0","901.0","1,094.0","1,244.0","1,262.0","1,378.0","1,654.0","2,063.0","2,393.0","2,672.0","3,069.0","3,265.0","3,303.0","3,884.0","4,180.0","4,349.0","4,632.0","5,264.0","5,845.0","6,195.0","5,588.0","5,613.0","6,342.0","7,069.0","7,978.0","8,782.0","10,325.0","12,022.0","13,783.0","14,900.0","15,518.0","15,511.0","15,390.0","16,825.0","18,362.0","19,861.0","22,256.0","22,241.0","19,161.0"
"79","55","  Electric plants put in place less electric plants put in use \12\","K160551","869.0","1,359.0","1,659.0","1,363.0","1,467.0","2,356.0","1,751.0","3,270.0","3,599.0","4,949.0","6,153.0","6,647.0","6,952.0","7,318.0","6,962.0","4,378.0","38.0","1,571.0","-1,628.0","1,631.0","2,797.0","-1,368.0","3,817.0","7,856.0","3,916.0","5,704.0","7.0","-9,570.0","-842.0","-231.0","176.0","1,078.0","1,333.0","-242.0","-1,708.0","-2,418.0","-1,834.0","-2,014.0","-5,731.0","-4,132.0","-4,421.0"
"80","56","    Private","K160561","726.0","1,126.0","1,253.0","1,126.0","1,329.0","2,129.0","1,273.0","2,547.0","2,747.0","3,620.0","4,751.0","5,137.0","6,485.0","7,052.0","6,209.0","3,652.0","-1,000.0","668.0","-2,604.0","733.0","2,226.0","-2,001.0","3,415.0","6,530.0","2,558.0","5,084.0","1,516.0","-2,342.0","-841.0","-233.0","172.0","1,073.0","1,183.0","-551.0","-2,377.0","-2,684.0","-2,555.0","-2,577.0","-3,801.0","-4,372.0","-4,779.0"
"81","57","    Government","K160571","143.0","233.0","406.0","237.0","138.0","227.0","478.0","723.0","852.0","1,329.0","1,402.0","1,510.0","467.0","266.0","753.0","726.0","1,038.0","903.0","976.0","898.0","571.0","633.0","402.0","1,326.0","1,358.0","620.0","-1,509.0","-7,228.0","-1.0","2.0","4.0","5.0","150.0","309.0","670.0","266.0","720.0","563.0","-1,930.0","240.0","358.0"
"82","58","  Abandoned electric plants \13\","K160581","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","280.0","439.0","424.0","2,788.0","2,633.0","6,980.0","4,506.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"83","59","  Sale of equipment scrap, excluding autos \14\","K160591","-530.0","-619.0","-444.0","-445.0","-1,072.0","-2,208.0","-1,279.0","-1,662.0","-1,527.0","-2,351.0","-4,161.0","-3,900.0","-4,134.0","-2,056.0","-1,639.0","-1,896.0","-1,799.0","-1,826.0","-2,499.0","-2,973.0","-2,815.0","-2,847.0","-2,124.0","-2,006.0","-3,991.0","-4,281.0","-5,136.0","-4,844.0","-4,774.0","-4,049.0","-3,358.0","-3,524.0","-2,564.0","-2,802.0","-3,066.0","-5,650.0","-5,231.0","-7,002.0","-8,504.0","-9,682.0","-4,339.0"
"84","60","  Other \15\","K160601","-475.0","-498.0","-553.0","-643.0","-696.0","-755.0","-752.0","-824.0","-894.0","-1,472.0","-1,980.0","-2,264.0","-4,984.0","-4,930.0","-9,243.0","-7,125.0","-2,690.0","-2,708.0","-2,019.0","-2,063.0","-2,197.0","-2,131.0","-2,066.0","6.0","81.0","165.0","246.0","327.0","0.0","2.0","0.0","3.0","-1.0","2.0","52.0","51.0","33.0","15.0","3,041.0","491.0","263.0"
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Estimates of government inventories are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Private fixed investment shown in table 5.2.5, line 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","3. Gross government investment shown in table 5.2.5, line 23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","4. Consists of intersectoral auto valuation adjustment (line 53); brokers' commissions on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","sale of nonresidential used structures and dealers' margins on used equipment (line 54);",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","private electric plants put in place less electric plants put in use (line 56); sale of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","equipment scrap, excluding autos (line 59); and other (line 60).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","5. Consists of government electric plants put in place less electric plants put in use (line 57).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","6. Change in private inventories shown in table 1.1.5, line 13. Inventory estimates are not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","adjusted for disaster losses, theft, obsolescence, or infestation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","7. Consists of disaster losses.  Structures and equipment destroyed are valued at current cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","8. Consists of disaster and war losses.  Structures and equipment destroyed are valued at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","current cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","9. Neutral holding gains are the gains derived from holding an asset if the price of an",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","asset changed in the same proportion as the general price level. The chain-type price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","for gross domestic purchases is used as a measure for the general price level.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","10. Equals lines 1+6-15-18+27-28+37.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","11. Used autos are valued at acquisition prices less depreciation in the estimates of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","stocks of private fixed assets and consumer durable goods; net purchases of used autos by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","business from consumers are valued at wholesale prices in gross fixed investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","12. This adjustment reflects a timing difference between fixed investment and the stock of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","produced assets. In investment, the value of structures and equipment for electric plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","is recorded on a put-in-place basis; in the stocks, the investment is recorded when the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","plants are put in use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","13. Consists of the value of abandoned nuclear power plants that were never put in use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","The investment in these plants is included in gross fixed investment, but does not enter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","the opening or closing balances--it is included in the adjustments to gross fixed investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","shown in line 15.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","14. Sale of equipment scrap, excluding autos shown in table 5.5.5, line 35.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","15. Consists primarily of statistical revisions to the NIPAs that have not been incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","into the fixed assets accounts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
