"","Table 5#10# Capital Transfers Paid and Received, by Sector and b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","4","      Disaster-related insurance benefits","W943RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"23","5","      Other","W944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"24","6","    Nonfinancial corporations","W945RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","7","    Noncorporate business","W946RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","8","  By government","W947RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","721.0","809.0","1,312.0","2,332.0","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","4,035.0","4,387.0","4,260.0","5,993.0","5,860.0"
"27","9","    Federal","W948RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","721.0","809.0","1,312.0","2,332.0","3,122.0","2,616.0","2,854.0","3,067.0","3,586.0","4,064.0","4,035.0","4,387.0","4,260.0","5,993.0","5,860.0"
"28","10","      Investment grants to state and local governments \1\","AD11RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","713.0","791.0","1,288.0","2,303.0","3,073.0","2,523.0","2,731.0","2,941.0","3,498.0","3,983.0","3,954.0","4,304.0","4,175.0","5,881.0","5,781.0"
"29","11","      Disaster-related insurance benefits","W949RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","12","      Financial stabilization payments \2\","W950RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","13","      Other capital transfers paid to business \3\","W951RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0"
"32","14","      Other capital transfers paid to persons \4\","W027RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","15","      Capital transfers paid to the rest of the world (net) \5\","AD10RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0"
"34","16","    State and local","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","17","      Disaster-related insurance benefits","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","18","  By persons","W953RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","526.0","522.0","488.0","451.0","512.0","576.0","566.0","682.0","795.0","878.0","996.0","1,068.0","915.0","825.0","940.0","1,055.0","1,148.0","1,163.0","1,253.0","1,604.0","1,787.0","1,695.0","1,805.0","2,242.0","2,509.0","2,638.0","2,885.0","3,305.0","3,608.0","3,886.0","3,978.0","4,088.0","4,625.0"
"37","19","    Estate and gift taxes, federal","B232RC1","60.0","60.0","55.0","30.0","68.0","127.0","245.0","381.0","397.0","385.0","366.0","336.0","396.0","465.0","455.0","557.0","654.0","725.0","819.0","885.0","740.0","643.0","731.0","837.0","910.0","908.0","968.0","1,268.0","1,430.0","1,329.0","1,404.0","1,759.0","1,950.0","2,054.0","2,241.0","2,567.0","2,815.0","3,046.0","3,065.0","3,128.0","3,563.0"
"38","20","    Estate and gift taxes, state and local","S210201","165.0","182.0","168.0","137.0","110.0","97.0","109.0","116.0","129.0","137.0","122.0","115.0","116.0","111.0","111.0","125.0","141.0","153.0","177.0","183.0","175.0","182.0","209.0","218.0","238.0","255.0","285.0","336.0","357.0","366.0","401.0","483.0","559.0","584.0","644.0","738.0","793.0","840.0","913.0","960.0","1,062.0"
"39","21","  By the rest of the world","W954RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"40","22","    Disaster-related insurance benefits","W955RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"41","23","    Other","W956RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"42","24","Capital transfers received, by sector","W957RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","589.0","647.0","601.0","581.0","674.0","698.0","657.0","753.0","860.0","961.0","1,139.0","1,334.0","1,287.0","1,267.0","1,382.0","1,545.0","1,708.0","1,748.0","1,974.0","2,413.0","3,099.0","4,027.0","4,927.0","4,858.0","5,363.0","5,705.0","6,471.0","7,369.0","7,643.0","8,273.0","8,238.0","10,081.0","10,485.0"
"43","25","  By private business","W958RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0"
"44","26","    Financial corporations","W959RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"45","27","      Disaster-related insurance benefits","W960RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"46","28","      Other \2\","W961RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"47","29","    Nonfinancial corporations","W962RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0"
"48","30","      Disaster-related insurance benefits","W963RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"49","31","      Other \2,3\","W964RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","77.0"
"50","32","    Noncorporate business","W965RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"51","33","      Disaster-related insurance benefits","W966RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"52","34","      Other","W967RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"53","35","  By government","W968RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","589.0","647.0","601.0","581.0","674.0","698.0","657.0","753.0","860.0","961.0","1,139.0","1,334.0","1,287.0","1,267.0","1,382.0","1,545.0","1,708.0","1,748.0","1,966.0","2,395.0","3,075.0","3,998.0","4,878.0","4,765.0","5,240.0","5,579.0","6,383.0","7,288.0","7,562.0","8,190.0","8,153.0","9,969.0","10,406.0"
"54","36","    Federal","B232RC1","60.0","60.0","55.0","30.0","68.0","127.0","245.0","381.0","397.0","385.0","366.0","336.0","396.0","465.0","455.0","557.0","654.0","725.0","819.0","885.0","740.0","643.0","731.0","837.0","910.0","908.0","968.0","1,268.0","1,430.0","1,329.0","1,404.0","1,759.0","1,950.0","2,054.0","2,241.0","2,567.0","2,815.0","3,046.0","3,065.0","3,128.0","3,563.0"
"55","37","      Estate and gift taxes paid by persons","B232RC1","60.0","60.0","55.0","30.0","68.0","127.0","245.0","381.0","397.0","385.0","366.0","336.0","396.0","465.0","455.0","557.0","654.0","725.0","819.0","885.0","740.0","643.0","731.0","837.0","910.0","908.0","968.0","1,268.0","1,430.0","1,329.0","1,404.0","1,759.0","1,950.0","2,054.0","2,241.0","2,567.0","2,815.0","3,046.0","3,065.0","3,128.0","3,563.0"
"56","38","    State and local","W969RC1","165.0","182.0","168.0","137.0","110.0","97.0","109.0","116.0","192.0","262.0","235.0","245.0","278.0","233.0","202.0","196.0","206.0","236.0","320.0","449.0","547.0","624.0","651.0","708.0","798.0","840.0","998.0","1,127.0","1,645.0","2,669.0","3,474.0","3,006.0","3,290.0","3,525.0","4,142.0","4,721.0","4,747.0","5,144.0","5,088.0","6,841.0","6,843.0"
"57","39","      Disaster-related insurance benefits","W970RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"58","40","      Estate and gift taxes paid by persons","S210201","165.0","182.0","168.0","137.0","110.0","97.0","109.0","116.0","129.0","137.0","122.0","115.0","116.0","111.0","111.0","125.0","141.0","153.0","177.0","183.0","175.0","182.0","209.0","218.0","238.0","255.0","285.0","336.0","357.0","366.0","401.0","483.0","559.0","584.0","644.0","738.0","793.0","840.0","913.0","960.0","1,062.0"
"59","41","      Investment grants paid by federal government \1\","AD11RC1",".....",".....",".....",".....",".....",".....",".....",".....","63.0","125.0","113.0","130.0","162.0","122.0","91.0","71.0","65.0","83.0","143.0","266.0","372.0","442.0","442.0","490.0","560.0","585.0","713.0","791.0","1,288.0","2,303.0","3,073.0","2,523.0","2,731.0","2,941.0","3,498.0","3,983.0","3,954.0","4,304.0","4,175.0","5,881.0","5,781.0"
"60","42","  By persons","W971RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"61","43","    Disaster-related insurance benefits","W972RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"62","44","    Other \4\","W027RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"63","45","  By the rest of the world","W973RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0"
"64","46","    Capital transfers paid by U.S. government \5\","AD10RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0"
"65","47","    Other","W974RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"66",NA,"Addenda: Net capital transfers paid by sector"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","48","  By private business (2-25)","W975RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8.0","-18.0","-24.0","-29.0","-49.0","-93.0","-123.0","-126.0","-88.0","-81.0","-81.0","-83.0","-85.0","-112.0","-77.0"
"68","49","    Corporate business (3+6-26-29)","W976RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8.0","-18.0","-24.0","-29.0","-49.0","-93.0","-123.0","-126.0","-88.0","-81.0","-81.0","-83.0","-85.0","-112.0","-77.0"
"69","50","    Noncorporate business (7-32)","W977RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"70","51","  By government (8-35)","W978RC1","-225.0","-242.0","-223.0","-167.0","-178.0","-224.0","-354.0","-497.0","-526.0","-522.0","-488.0","-451.0","-512.0","-576.0","-566.0","-682.0","-795.0","-878.0","-996.0","-1,068.0","-915.0","-825.0","-940.0","-1,055.0","-1,148.0","-1,163.0","-1,245.0","-1,586.0","-1,763.0","-1,666.0","-1,756.0","-2,149.0","-2,386.0","-2,512.0","-2,797.0","-3,224.0","-3,527.0","-3,803.0","-3,893.0","-3,976.0","-4,546.0"
"71","52","    Federal (9-36)","W979RC1","-60.0","-60.0","-55.0","-30.0","-68.0","-127.0","-245.0","-381.0","-334.0","-260.0","-253.0","-206.0","-234.0","-343.0","-364.0","-486.0","-589.0","-642.0","-676.0","-619.0","-368.0","-201.0","-289.0","-347.0","-350.0","-323.0","-247.0","-459.0","-118.0","1,003.0","1,718.0","857.0","904.0","1,013.0","1,345.0","1,497.0","1,220.0","1,341.0","1,195.0","2,865.0","2,297.0"
"72","53","    State and local (16-38)","W980RC1","-165.0","-182.0","-168.0","-137.0","-110.0","-97.0","-109.0","-116.0","-192.0","-262.0","-235.0","-245.0","-278.0","-233.0","-202.0","-196.0","-206.0","-236.0","-320.0","-449.0","-547.0","-624.0","-651.0","-708.0","-798.0","-840.0","-998.0","-1,127.0","-1,645.0","-2,669.0","-3,474.0","-3,006.0","-3,290.0","-3,525.0","-4,142.0","-4,721.0","-4,747.0","-5,144.0","-5,088.0","-6,841.0","-6,843.0"
"73","54","  By persons (18-42)","W981RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","526.0","522.0","488.0","451.0","512.0","576.0","566.0","682.0","795.0","878.0","996.0","1,068.0","915.0","825.0","940.0","1,055.0","1,148.0","1,163.0","1,253.0","1,604.0","1,787.0","1,695.0","1,805.0","2,242.0","2,509.0","2,638.0","2,885.0","3,305.0","3,608.0","3,886.0","3,978.0","4,088.0","4,625.0"
"74","55","  By the rest of the world (21-45)","W982RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2.0"
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","1. Consists of federal government investment grants for highways, transit, air and water transportation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","and water treatment plants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2. Consists of the implied subsidy cost of government acquisition of assets such as shares of preferred",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","stock or warrants from private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","3. Consists of maritime construction subsidies and, beginning with 2009, the homebuyer tax credit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","provision of the American Recovery and Reinvestment Act of 2009.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","4. Beginning with October 2002, consists of payments to the Uniformed Services Retiree Health Care Fund",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","to amortize the unfunded liability.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
