"","Table 7#8# Supplements to Wages and Salaries by Type            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"19","1","      Supplements to wages and salaries","A038RC1","6,409.0","7,127.0","8,023.0","9,819.0","10,526.0","11,229.0","11,893.0","13,544.0","15,465.0","17,586.0","18,230.0","21,147.0","23,554.0","24,784.0","27,786.0","30,366.0","32,882.0","35,748.0","42,334.0","46,134.0","52,342.0","59,278.0"
"20","2","Employer contributions for government social insurance (3.6:2)","B039RC1","3,004.0","3,349.0","3,373.0","4,094.0","4,143.0","4,210.0","4,612.0","5,174.0","5,668.0","6,368.0","6,349.0","7,855.0","9,250.0","9,610.0","11,182.0","12,405.0","12,632.0","13,093.0","16,846.0","18,019.0","19,950.0","22,754.0"
"21","3","Employer contributions for employee pension and insurance funds (6.11A-D:1)","B040RC1","3,405.0","3,778.0","4,650.0","5,725.0","6,383.0","7,019.0","7,281.0","8,370.0","9,797.0","11,218.0","11,881.0","13,292.0","14,304.0","15,174.0","16,604.0","17,961.0","20,250.0","22,655.0","25,488.0","28,115.0","32,392.0","36,524.0"
"22",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","4","Pension, profit-sharing, and other retirement benefit plans \1\","A2209C1","3,148.0","3,346.0","4,458.0","5,513.0","6,038.0","6,421.0","7,057.0","8,105.0","9,138.0","10,555.0","10,774.0","12,614.0","14,165.0","14,583.0","15,839.0","17,852.0","19,628.0","21,480.0","26,016.0","28,624.0","31,921.0","36,693.0"
"24","5","  Old-age, survivors, and disability insurance (3.6:5)","L306051","839.0","816.0","1,308.0","1,660.0","1,776.0","1,882.0","2,458.0","2,825.0","3,043.0","3,673.0","3,657.0","4,556.0","5,632.0","5,700.0","6,226.0","7,464.0","7,846.0","8,330.0","11,033.0","11,866.0","13,138.0","15,621.0"
"25","6","  Federal civilian employee retirement (6.11A-C:26; 6.11D:28)","B4945C1","244.0","273.0","316.0","316.0","326.0","188.0","42.0","144.0","393.0","599.0","726.0","755.0","838.0","875.0","943.0","1,034.0","1,138.0","1,146.0","1,244.0","1,339.0","1,501.0","1,611.0"
"26","7","  Federal military employee retirement (6.11A-C:27; 6.11D:29)","B1583C1","226.0","298.0","329.0","343.0","359.0","388.0","420.0","466.0","519.0","556.0","622.0","686.0","757.0","864.0","969.0","1,120.0","1,331.0","1,507.0","1,721.0","1,987.0","2,288.0","2,661.0"
"27","8","  Railroad retirement (3.6:12)","CON1701","283.0","277.0","282.0","307.0","319.0","312.0","294.0","308.0","316.0","304.0","265.0","287.0","297.0","275.0","289.0","287.0","305.0","326.0","363.0","402.0","438.0","464.0"
"28","9","  Pension benefit guaranty (3.6:13)","B1043C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","  State and local employee retirement (6.11A-C:28; 6.11D:30)","S251101","360.0","420.0","510.0","625.0","715.0","790.0","940.0","985.0","1,110.0","1,270.0","1,370.0","1,559.0","1,775.0","1,903.0","1,970.0","2,187.0","2,417.0","2,525.0","2,980.0","3,574.0","3,839.0","4,513.0"
"30","11","  Private pension and profit-sharing (6.11A-C:22; 6.11D:24)","B4921C1","1,196.0","1,262.0","1,713.0","2,262.0","2,543.0","2,861.0","2,903.0","3,377.0","3,757.0","4,153.0","4,134.0","4,771.0","4,866.0","4,966.0","5,442.0","5,760.0","6,591.0","7,646.0","8,675.0","9,456.0","10,717.0","11,823.0"
"31","12","Health insurance","A2210C1","444.0","553.0","752.0","993.0","1,119.0","1,320.0","1,458.0","1,711.0","2,062.0","2,446.0","2,727.0","3,044.0","3,381.0","3,754.0","4,196.0","4,559.0","5,190.0","5,899.0","7,440.0","8,536.0","10,676.0","12,386.0"
"32","13","  Federal hospital insurance (3.6:6)","L306061",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,020.0","1,545.0","2,105.0","2,263.0"
"33","14","  Military medical insurance (3.6:16)","B1606C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","112.0","148.0","178.0"
"34","15","  Temporary disability insurance (3.6:18)","S252101","0.0","2.0","7.0","2.0","4.0","4.0","4.0","5.0","4.0","6.0","6.0","6.0","7.0","7.0","8.0","8.0","8.0","9.0","10.0","10.0","15.0","19.0"
"35","16","  Private group health insurance (6.11B,C:31; 6.11D:33) \2\","B4923C1","444.0","551.0","745.0","991.0","1,115.0","1,316.0","1,454.0","1,706.0","2,058.0","2,440.0","2,721.0","3,038.0","3,374.0","3,747.0","4,188.0","4,551.0","5,182.0","5,890.0","6,410.0","6,869.0","8,408.0","9,926.0"
"36","17","Life insurance","A2211C1","268.0","670.0","365.0","473.0","499.0","492.0","515.0","643.0","691.0","784.0","880.0","983.0","1,090.0","1,143.0","1,227.0","1,342.0","1,491.0","1,660.0","1,841.0","2,045.0","2,393.0","2,414.0"
"37","18","  Veterans life insurance (3.6:14)","CON2101","98.0","459.0","80.0","144.0","138.0","71.0","50.0","82.0","23.0","18.0","13.0","12.0","10.0","10.0","8.0","8.0","10.0","9.0","7.0","9.0","9.0","9.0"
"38","19","  Private group life insurance (6.11B,C:32; 6.11D:34) \2\","B4924C1","170.0","211.0","285.0","329.0","361.0","421.0","465.0","561.0","668.0","766.0","867.0","971.0","1,080.0","1,133.0","1,219.0","1,334.0","1,481.0","1,651.0","1,834.0","2,036.0","2,384.0","2,405.0"
"39","20","Workers' compensation","A2212C1","911.0","920.0","943.0","1,084.0","1,225.0","1,347.0","1,366.0","1,402.0","1,512.0","1,643.0","1,668.0","1,761.0","1,907.0","2,018.0","2,184.0","2,333.0","2,535.0","2,739.0","3,106.0","3,407.0","3,849.0","4,258.0"
"40","21","  Federal (3.6:15)","CON2201","14.0","14.0","23.0","33.0","39.0","43.0","44.0","48.0","52.0","56.0","63.0","64.0","60.0","62.0","66.0","69.0","72.0","74.0","82.0","93.0","104.0","121.0"
"41","22","  State and local (3.6:19)","S253001","132.0","144.0","165.0","192.0","222.0","247.0","261.0","269.0","298.0","321.0","312.0","319.0","353.0","377.0","403.0","442.0","472.0","496.0","536.0","580.0","619.0","664.0"
"42","23","  Private insurance (6.11B,C:33; 6.11D:35) \2\","B4925C1","765.0","762.0","755.0","859.0","964.0","1,057.0","1,061.0","1,085.0","1,162.0","1,266.0","1,293.0","1,378.0","1,494.0","1,579.0","1,715.0","1,822.0","1,991.0","2,169.0","2,488.0","2,734.0","3,126.0","3,473.0"
"43","24","Unemployment insurance","A2213C1","1,638.0","1,638.0","1,505.0","1,756.0","1,645.0","1,649.0","1,497.0","1,683.0","2,062.0","2,158.0","2,181.0","2,745.0","3,011.0","3,286.0","4,340.0","4,280.0","4,038.0","3,970.0","3,931.0","3,522.0","3,503.0","3,527.0"
"44","25","  State unemployment insurance (3.6:8)","CON1201","965.0","1,010.0","1,217.0","1,465.0","1,350.0","1,288.0","1,081.0","1,193.0","1,448.0","1,476.0","1,435.0","1,967.0","2,245.0","2,405.0","2,944.0","2,974.0","3,001.0","3,027.0","2,973.0","2,572.0","2,486.0","2,482.0"
"45","26","  Federal unemployment tax (3.6:9)","CON1501","228.0","223.0","232.0","263.0","263.0","298.0","289.0","304.0","326.0","337.0","326.0","337.0","343.0","456.0","947.0","847.0","619.0","558.0","597.0","601.0","634.0","669.0"
"46","27","  Railroad employees unemployment insurance (3.6:10)","CON1601","25.0","23.0","24.0","26.0","25.0","25.0","24.0","25.0","76.0","97.0","106.0","151.0","165.0","153.0","160.0","156.0","153.0","149.0","146.0","141.0","136.0","131.0"
"47","28","  Federal employees unemployment insurance (3.6:11)","TRP1501","420.0","382.0","32.0","2.0","7.0","38.0","103.0","110.0","82.0","80.0","166.0","156.0","138.0","165.0","131.0","150.0","146.0","115.0","79.0","88.0","118.0","133.0"
"48","29","  Private supplemental unemployment (6.11B,C:34; 6.11D:36)","B4926C1",".....",".....",".....",".....",".....",".....",".....","51.0","130.0","168.0","148.0","134.0","120.0","107.0","158.0","153.0","119.0","121.0","136.0","120.0","129.0","112.0"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Employer contributions to privately administered programs and to publicly administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","government employee retirement plans are classified as employer contributions for employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","pension and insurance funds.  Employer contributions to other publicly administered programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","are classified as employer contributions for government social insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Government contributions to privately administered health, life, and workers' compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","insurance for government employees are classified as employer contributions for employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","pension and insurance funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Note.  The numbers in parentheses indicate the tables and line numbers from which the entries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","in this table are derived.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
