"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"57","39","    Households and institutions","W996RC1","24,249.0","43,375.0","44,584.0","30,323.0","52,279.0","72,607.0","85,819.0","65,830.0","44,938.0","52,580.0","69,402.0","126,251.0","171,215.0","208,186.0","135,226.0","183,527.0","138,590.0","107,701.0","70,856.0","97,065.0","109,891.0","133,677.0","185,886.0","185,771.0","117,067.0","86,930.0","112,492.0","62,505.0","34,308.0","56,408.0","-97,993.0","-111,711.0","-128,239.0","-74,977.0","-86,121.0","-172,089.0","-372,050.0","-279,863.0","-159,694.0","228,903.0","555,505.0","571,742.0"
"58","40","  Government","AD01RC1","1,422.0","-21,548.0","-31,294.0","-16,843.0","-3,761.0","-15,743.0","-86,724.0","-62,453.0","-45,972.0","-31,898.0","-26,674.0","-75,653.0","-73,523.0","-161,304.0","-201,792.0","-190,401.0","-215,523.0","-238,481.0","-208,359.0","-186,659.0","-181,730.0","-251,837.0","-301,348.0","-373,080.0","-338,254.0","-262,250.0","-244,537.0","-179,654.0","-73,774.0","26,974.0","64,384.0","146,562.0","-65,141.0","-422,374.0","-553,280.0","-531,058.0","-418,312.0","-291,559.0","-408,095.0","-912,301.0","-1,592,720.0","-1,560,401.0"
"59","41","    Federal","AD02RC1","6,568.0","-15,578.0","-24,862.0","-20,271.0","-6,139.0","-10,402.0","-74,850.0","-57,516.0","-50,429.0","-37,666.0","-24,853.0","-69,091.0","-68,247.0","-148,707.0","-196,868.0","-199,202.0","-217,042.0","-233,587.0","-191,493.0","-171,166.0","-164,210.0","-213,082.0","-250,338.0","-328,226.0","-297,762.0","-229,276.0","-208,661.0","-153,913.0","-52,091.0","42,048.0","95,027.0","184,663.0","34,164.0","-277,956.0","-422,200.0","-426,827.0","-352,350.0","-247,230.0","-315,045.0","-755,188.0","-1,476,585.0","-1,511,892.0"
"60","42","    State and local","AD03RC1","-5,146.0","-5,970.0","-6,432.0","3,428.0","2,378.0","-5,341.0","-11,874.0","-4,937.0","4,457.0","5,768.0","-1,821.0","-6,562.0","-5,276.0","-12,597.0","-4,924.0","8,801.0","1,519.0","-4,894.0","-16,866.0","-15,493.0","-17,520.0","-38,755.0","-51,010.0","-44,854.0","-40,492.0","-32,974.0","-35,876.0","-25,741.0","-21,683.0","-15,074.0","-30,643.0","-38,101.0","-99,305.0","-144,418.0","-131,080.0","-104,231.0","-65,962.0","-44,329.0","-93,050.0","-157,113.0","-116,135.0","-48,509.0"
"61","43","    Statistical discrepancy","A030RC1","2,871.0","6,877.0","11,014.0","8,946.0","8,019.0","9,814.0","16,306.0","23,470.0","21,213.0","26,055.0","46,973.0","45,292.0","36,581.0","4,750.0","49,695.0","31,539.0","42,301.0","67,744.0","32,873.0","-9,533.0","56,105.0","84,200.0","79,737.0","109,992.0","135,795.0","108,809.0","52,522.0","25,920.0","-13,974.0","-85,321.0","-71,067.0","-133,986.0","-103,354.0","-22,072.0","16,611.0","-7,849.0","-79,660.0","-220,572.0","21,135.0","136,594.0","179,141.0","158,178.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","44","  Gross private saving","A126RC1","157,209.0","174,572.0","203,205.0","217,095.0","256,971.0","271,138.0","325,096.0","345,642.0","384,083.0","437,113.0","479,731.0","528,762.0","625,162.0","681,854.0","692,164.0","813,999.0","801,960.0","783,787.0","813,012.0","908,800.0","916,105.0","957,071.0","1,036,628.0","1,091,723.0","1,087,956.0","1,148,617.0","1,251,188.0","1,300,451.0","1,375,408.0","1,394,941.0","1,380,259.0","1,376,181.0","1,466,461.0","1,656,833.0","1,749,844.0","1,880,108.0","1,909,883.0","2,057,857.0","1,955,310.0","2,136,537.0","2,480,324.0","2,663,430.0"
"64","45","    Domestic business","W997RC1","92,192.0","91,597.0","107,483.0","123,417.0","135,236.0","135,218.0","174,454.0","195,757.0","228,088.0","259,192.0","281,329.0","285,553.0","336,364.0","362,182.0","407,112.0","456,220.0","483,565.0","468,155.0","515,427.0","572,679.0","565,916.0","589,780.0","628,594.0","660,439.0","690,905.0","748,782.0","829,897.0","891,468.0","966,677.0","914,683.0","1,016,933.0","1,000,570.0","1,086,493.0","1,189,106.0","1,244,590.0","1,369,217.0","1,532,106.0","1,553,551.0","1,461,396.0","1,401,212.0","1,529,417.0","1,716,967.0"
"65","46","    Households and institutions","W998RC1","65,017.0","82,975.0","95,722.0","93,678.0","121,735.0","135,920.0","150,642.0","149,885.0","155,995.0","177,921.0","198,402.0","243,209.0","288,798.0","319,672.0","285,052.0","357,779.0","318,395.0","315,632.0","297,585.0","336,121.0","350,189.0","367,291.0","408,034.0","431,284.0","397,051.0","399,835.0","421,291.0","408,983.0","408,731.0","480,258.0","363,326.0","375,611.0","379,968.0","467,727.0","505,254.0","510,891.0","377,777.0","504,306.0","493,914.0","735,325.0","950,907.0","946,463.0"
"66","47","  Gross government saving","A927RC1","41,236.0","18,231.0","6,019.0","20,167.0","35,206.0","30,693.0","-28,243.0","-3,663.0","12,634.0","39,225.0","53,478.0","13,962.0","20,891.0","-60,364.0","-89,768.0","-60,646.0","-63,593.0","-74,470.0","-30,758.0","-7,282.0","8,042.0","-39,470.0","-85,315.0","-159,428.0","-129,537.0","-53,949.0","-32,152.0","43,902.0","150,257.0","259,469.0","327,771.0","423,968.0","229,209.0","-95,909.0","-197,094.0","-155,937.0","-6,517.0","116,544.0","58,318.0","-351,323.0","-946,567.0","-965,651.0"
"67","48","    Federal","A926RC1","23,942.0","566.0","-12,238.0","-8,288.0","5,200.0","3,691.0","-50,928.0","-32,290.0","-23,081.0","-3,926.0","12,993.0","-26,618.0","-22,958.0","-97,695.0","-135,556.0","-126,916.0","-130,580.0","-143,043.0","-94,169.0","-79,326.0","-70,630.0","-108,695.0","-146,387.0","-227,890.0","-202,392.0","-140,304.0","-124,468.0","-66,315.0","22,390.0","116,410.0","183,850.0","272,980.0","129,095.0","-163,622.0","-285,543.0","-284,649.0","-182,574.0","-97,223.0","-132,573.0","-496,471.0","-1,127,377.0","-1,203,788.0"
"68","49","    State and local","A925RC1","17,294.0","17,665.0","18,257.0","28,455.0","30,006.0","27,002.0","22,685.0","28,627.0","35,715.0","43,151.0","40,485.0","40,580.0","43,849.0","37,331.0","45,788.0","66,270.0","66,987.0","68,573.0","63,411.0","72,044.0","78,672.0","69,225.0","61,072.0","68,462.0","72,855.0","86,355.0","92,316.0","110,217.0","127,867.0","143,059.0","143,921.0","150,988.0","100,114.0","67,713.0","88,449.0","128,712.0","176,057.0","213,767.0","190,891.0","145,148.0","180,810.0","238,137.0"
"69","50","  Net domestic investment","W171RC1","100,521.0","87,642.0","102,154.0","123,098.0","150,553.0","141,989.0","102,941.0","150,185.0","197,067.0","253,606.0","282,449.0","235,420.0","285,924.0","196,004.0","236,046.0","400,628.0","389,540.0","381,270.0","398,137.0","396,706.0","421,165.0","385,515.0","298,831.0","343,540.0","394,760.0","499,037.0","507,182.0","571,900.0","677,215.0","753,090.0","834,478.0","892,212.0","727,742.0","685,449.0","731,429.0","908,155.0","1,022,868.0","1,091,552.0","984,160.0","743,010.0","231,474.0","468,259.0"
"70","51","    Private","A557RC1","81,954.0","70,676.0","88,640.0","109,895.0","135,030.0","121,583.0","79,770.0","126,416.0","175,192.0","225,991.0","248,413.0","196,962.0","249,132.0","160,794.0","194,781.0","348,157.0","323,407.0","307,456.0","320,466.0","324,457.0","345,344.0","300,552.0","217,458.0","264,886.0","326,962.0","436,335.0","439,425.0","496,839.0","598,947.0","669,217.0","734,271.0","785,382.0","610,335.0","552,924.0","593,761.0","767,676.0","881,418.0","935,786.0","819,016.0","559,793.0","53,379.0","293,526.0"
"71","52","      Domestic business","W790RC1","57,611.0","48,544.0","56,977.0","68,618.0","89,701.0","84,867.0","44,601.0","75,347.0","102,908.0","142,147.0","166,575.0","134,265.0","191,300.0","113,414.0","109,395.0","241,603.0","214,786.0","175,832.0","175,216.0","172,604.0","197,235.0","168,998.0","100,342.0","119,763.0","164,458.0","245,886.0","263,395.0","293,020.0","377,912.0","411,352.0","453,032.0","489,400.0","299,704.0","216,476.0","207,548.0","299,479.0","345,512.0","426,226.0","442,564.0","325,624.0","-68,666.0","182,166.0"
"72","53","      Households and institutions","W791RC1","24,343.0","22,132.0","31,663.0","41,277.0","45,329.0","36,716.0","35,169.0","51,069.0","72,284.0","83,844.0","81,838.0","62,697.0","57,832.0","47,380.0","85,386.0","106,554.0","108,621.0","131,624.0","145,250.0","151,853.0","148,109.0","131,554.0","117,116.0","145,123.0","162,504.0","190,449.0","176,030.0","203,819.0","221,035.0","257,865.0","281,239.0","295,982.0","310,631.0","336,448.0","386,213.0","468,197.0","535,906.0","509,560.0","376,452.0","234,169.0","122,045.0","111,360.0"
"73","54","    Government","A889RC1","18,567.0","16,966.0","13,514.0","13,203.0","15,523.0","20,406.0","23,171.0","23,769.0","21,875.0","27,615.0","34,036.0","38,458.0","36,792.0","35,210.0","41,265.0","52,471.0","66,133.0","73,814.0","77,671.0","72,249.0","75,821.0","84,963.0","81,373.0","78,654.0","67,798.0","62,702.0","67,757.0","75,061.0","78,268.0","83,873.0","100,207.0","106,830.0","117,407.0","132,525.0","137,668.0","140,479.0","141,450.0","155,766.0","165,144.0","183,217.0","178,095.0","174,733.0"
"74","55","      Federal","A890RC1","-420.0","-1,226.0","-4,761.0","-4,610.0","-3,400.0","-1,560.0","-202.0","1,180.0","1,667.0","2,611.0","4,688.0","6,284.0","8,129.0","9,911.0","15,718.0","19,828.0","26,385.0","28,852.0","30,656.0","20,751.0","19,652.0","20,766.0","16,200.0","14,170.0","5,924.0","-2,216.0","-3,072.0","-1,486.0","-9,100.0","-6,408.0","-3,420.0","-7,705.0","-7,063.0","995.0","5,383.0","8,445.0","10,026.0","14,127.0","14,779.0","25,488.0","28,077.0","41,204.0"
"75","56","      State and local","A893RC1","18,987.0","18,192.0","18,275.0","17,812.0","18,923.0","21,966.0","23,373.0","22,588.0","20,209.0","25,004.0","29,346.0","32,174.0","28,662.0","25,299.0","25,547.0","32,642.0","39,748.0","44,963.0","47,016.0","51,498.0","56,169.0","64,197.0","65,172.0","64,484.0","61,874.0","64,918.0","70,829.0","76,547.0","87,368.0","90,281.0","103,627.0","114,534.0","124,470.0","131,530.0","132,285.0","132,035.0","131,424.0","141,639.0","150,365.0","157,729.0","150,018.0","133,529.0"
"76","57","  Gross saving as a percentage of gross national income","W206RC1","20.1","18.6","18.6","19.2","21.1","20.1","18.2","18.8","19.6","20.8","20.9","19.5","20.7","18.9","17.1","19.1","17.6","16.1","16.6","17.6","17.0","16.0","16.0","14.9","14.6","15.6","16.5","17.1","18.2","18.6","18.1","17.8","16.2","14.6","13.9","14.4","14.9","15.9","14.2","12.4","10.9","11.6"
"77","58","  Net saving as a percentage of gross national income","W207RC1","10.0","8.1","8.1","8.9","10.9","9.2","6.5","7.4","8.1","9.4","9.2","7.2","8.1","5.7","4.3","7.1","5.5","3.9","4.5","5.7","5.0","3.9","3.8","3.0","2.7","3.9","4.7","5.5","6.7","7.1","6.5","6.1","4.2","2.4","1.8","2.4","2.8","3.8","1.7","-0.4","-2.3","-1.2"
"78","59","  Disaster losses \2\","W771RC1",".....",".....","118.0","1,587.0","629.0","181.0","0.0","159.0","333.0","0.0","1,102.0","546.0","0.0","871.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","8,958.0","0.0","1,519.0","17,942.0","4,139.0","20,415.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","19,201.0","0.0","0.0","29,449.0","110,415.0","0.0","0.0","19,083.0","0.0","0.0"
"79","60","    Private","W772RC1",".....",".....","118.0","1,587.0","629.0","181.0","0.0","159.0","333.0","0.0","1,102.0","546.0","0.0","871.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","7,937.0","0.0","1,519.0","17,942.0","4,139.0","18,366.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","17,461.0","0.0","0.0","29,449.0","99,173.0","0.0","0.0","19,083.0","0.0","0.0"
"80","61","      Domestic business","W773RC1",".....",".....","68.0","954.0","473.0","67.0","0.0","99.0","259.0","0.0","816.0","445.0","0.0","562.0","632.0","0.0","494.0","0.0","0.0","0.0","4,679.0","0.0","343.0","8,152.0","2,517.0","13,588.0","1,206.0","0.0","0.0","0.0","2,231.0","0.0","15,472.0","0.0","0.0","17,409.0","48,804.0","0.0","0.0","10,767.0","0.0","0.0"
"81","62","      Households and institutions","W774RC1",".....",".....","50.0","633.0","156.0","114.0","0.0","60.0","74.0","0.0","286.0","101.0","0.0","309.0","454.0","0.0","1,212.0","0.0","0.0","0.0","3,258.0","0.0","1,176.0","9,790.0","1,622.0","4,778.0","1,219.0","0.0","0.0","0.0","1,269.0","0.0","1,989.0","0.0","0.0","12,040.0","50,369.0","0.0","0.0","8,316.0","0.0","0.0"
"82","63","    Government","W775RC1",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,021.0","0.0","0.0","0.0","0.0","2,049.0","0.0","0.0","0.0","0.0","0.0","0.0","1,740.0","0.0","0.0","0.0","11,242.0","0.0","0.0","0.0","0.0","0.0"
"83","64","      Federal","W776RC1",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","493.0","0.0","0.0","0.0","0.0","0.0"
"84","65","      State and local","W777RC1",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,021.0","0.0","0.0","0.0","0.0","2,049.0","0.0","0.0","0.0","0.0","0.0","0.0","1,740.0","0.0","0.0","0.0","10,749.0","0.0","0.0","0.0","0.0","0.0"
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
