"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"46","27","Less: Personal outlays","A068RC1","603,836.0","615,911.0","626,615.0","639,084.0","650,543.0","660,805.0","673,005.0","679,990.0","699,393.0","713,920.0","726,888.0","743,679.0","761,478.0","780,585.0","799,468.0","824,623.0","849,475.0","865,620.0","884,495.0","901,223.0","918,294.0","947,344.0","976,947.0","987,455.0","1,015,010.0","1,043,982.0","1,078,513.0","1,107,731.0","1,141,185.0","1,160,991.0","1,190,824.0","1,225,210.0","1,261,982.0","1,291,042.0","1,323,179.0","1,362,530.0","1,394,136.0","1,453,384.0","1,485,876.0","1,526,425.0","1,562,805.0","1,604,518.0","1,660,469.0","1,705,839.0","1,758,172.0","1,760,081.0","1,818,421.0","1,888,735.0","1,949,021.0","1,983,120.0","2,025,914.0","2,043,401.0","2,084,879.0","2,114,839.0","2,165,549.0","2,229,901.0","2,272,295.0","2,339,263.0","2,412,568.0","2,467,549.0","2,515,238.0","2,576,794.0","2,618,477.0","2,670,265.0","2,746,105.0","2,795,239.0","2,865,597.0","2,896,070.0","2,941,603.0","2,974,540.0","3,046,393.0","3,086,875.0","3,119,452.0","3,186,123.0","3,253,615.0","3,288,291.0","3,370,796.0","3,431,831.0","3,500,373.0","3,575,764.0","3,634,384.0","3,700,310.0","3,760,150.0","3,810,753.0","3,897,402.0","3,952,108.0","4,018,676.0","4,041,091.0","4,059,197.0","4,114,328.0","4,160,793.0","4,192,422.0","4,290,597.0","4,344,224.0","4,423,836.0","4,495,993.0","4,537,275.0","4,604,945.0","4,668,064.0","4,734,611.0","4,806,172.0","4,870,133.0","4,952,826.0","5,025,394.0","5,059,902.0","5,138,070.0","5,209,425.0","5,275,622.0","5,353,599.0","5,451,298.0","5,512,024.0","5,597,000.0","5,682,787.0","5,725,241.0","5,839,768.0","5,928,866.0","5,987,162.0","6,108,062.0","6,210,309.0","6,324,340.0","6,400,896.0","6,540,928.0","6,653,919.0","6,786,376.0","6,955,079.0","7,053,966.0","7,171,523.0","7,275,745.0","7,353,226.0","7,414,898.0","7,448,108.0","7,557,948.0","7,596,163.0","7,694,022.0","7,781,256.0","7,838,468.0","7,923,250.0","8,008,453.0","8,167,181.0","8,253,206.0","8,394,931.0","8,505,354.0","8,635,310.0","8,807,126.0","8,932,524.0","9,077,435.0","9,243,217.0","9,345,207.0","9,493,478.0","9,618,168.0","9,754,862.0","9,856,399.0","10,014,923.0","10,153,817.0","10,267,184.0","10,399,744.0","10,475,245.0","10,591,572.0","10,607,971.0","10,345,339.0","10,291,597.0","10,297,441.0","10,423,561.0","10,505,678.0","10,603,852.0","10,663,711.0","10,736,317.0","10,878,874.0","11,032,144.0"
"47","28","  Personal consumption expenditures","DPCERC1","588,443.0","599,810.0","610,129.0","622,128.0","633,204.0","643,146.0","655,083.0","661,787.0","680,809.0","694,862.0","707,279.0","723,502.0","740,875.0","759,406.0","777,934.0","802,711.0","827,303.0","842,909.0","861,353.0","876,472.0","894,660.0","923,204.0","952,002.0","961,838.0","988,078.0","1,016,845.0","1,050,630.0","1,079,591.0","1,113,375.0","1,133,042.0","1,162,427.0","1,196,170.0","1,231,661.0","1,259,667.0","1,290,867.0","1,329,097.0","1,359,078.0","1,416,706.0","1,447,739.0","1,486,962.0","1,522,584.0","1,563,196.0","1,617,680.0","1,661,199.0","1,707,955.0","1,710,038.0","1,768,722.0","1,836,591.0","1,892,399.0","1,923,951.0","1,963,424.0","1,978,219.0","2,016,169.0","2,042,679.0","2,090,696.0","2,152,427.0","2,192,241.0","2,256,377.0","2,326,528.0","2,379,161.0","2,425,486.0","2,484,127.0","2,522,758.0","2,571,970.0","2,643,442.0","2,687,420.0","2,755,851.0","2,783,735.0","2,827,237.0","2,859,187.0","2,930,635.0","2,969,914.0","3,004,750.0","3,071,877.0","3,138,264.0","3,172,952.0","3,253,507.0","3,313,020.0","3,380,394.0","3,453,317.0","3,507,724.0","3,569,989.0","3,626,753.0","3,673,508.0","3,758,718.0","3,811,849.0","3,875,207.0","3,896,024.0","3,909,742.0","3,963,292.0","4,008,695.0","4,038,575.0","4,140,147.0","4,193,515.0","4,267,652.0","4,346,246.0","4,384,909.0","4,452,115.0","4,516,277.0","4,581,056.0","4,650,404.0","4,709,848.0","4,786,316.0","4,856,664.0","4,888,650.0","4,957,494.0","5,022,885.0","5,080,087.0","5,156,543.0","5,248,780.0","5,304,411.0","5,384,689.0","5,467,062.0","5,503,981.0","5,613,341.0","5,698,114.0","5,757,518.0","5,870,215.0","5,967,995.0","6,078,213.0","6,157,445.0","6,289,967.0","6,398,875.0","6,524,861.0","6,682,986.0","6,775,651.0","6,881,730.0","6,981,120.0","7,058,139.0","7,118,678.0","7,151,248.0","7,267,166.0","7,308,976.0","7,403,386.0","7,491,203.0","7,553,191.0","7,646,893.0","7,723,836.0","7,882,490.0","7,962,831.0","8,105,326.0","8,209,373.0","8,330,684.0","8,494,915.0","8,609,637.0","8,747,203.0","8,908,833.0","9,010,315.0","9,148,209.0","9,266,611.0","9,391,773.0","9,484,070.0","9,632,820.0","9,753,208.0","9,850,824.0","9,988,412.0","10,065,723.0","10,183,004.0","10,201,959.0","9,967,240.0","9,912,984.0","9,920,113.0","10,040,745.0","10,131,486.0","10,230,838.0","10,285,386.0","10,366,297.0","10,513,648.0","10,668,230.0"
"48","29","  Personal interest payments \2\","B069RC1","13,326.0","13,815.0","14,222.0","14,601.0","14,857.0","15,060.0","15,339.0","15,599.0","15,945.0","16,340.0","16,722.0","17,197.0","17,578.0","18,026.0","18,343.0","18,617.0","19,157.0","19,643.0","20,042.0","20,378.0","20,322.0","20,757.0","21,473.0","22,060.0","23,280.0","23,517.0","23,867.0","24,104.0","23,538.0","23,686.0","23,975.0","24,421.0","25,610.0","26,542.0","27,440.0","28,485.0","29,969.0","31,276.0","32,669.0","33,698.0","34,534.0","35,547.0","36,699.0","38,024.0","43,687.0","43,353.0","42,692.0","44,755.0","45,781.0","47,932.0","50,746.0","52,888.0","55,615.0","58,479.0","60,792.0","63,094.0","65,898.0","68,030.0","70,479.0","72,450.0","73,337.0","75,707.0","78,599.0","80,522.0","84,389.0","89,435.0","90,602.0","93,130.0","94,141.0","94,764.0","94,537.0","94,586.0","92,570.0","91,380.0","91,449.0","91,353.0","92,414.0","93,340.0","94,381.0","95,849.0","99,592.0","102,599.0","105,323.0","107,930.0","109,359.0","110,581.0","112,271.0","112,981.0","114,772.0","115,133.0","114,933.0","114,986.0","113,928.0","112,329.0","110,499.0","108,388.0","108,055.0","107,802.0","105,791.0","106,336.0","107,161.0","110,723.0","116,242.0","117,878.0","120,461.0","129,292.0","133,491.0","139,048.0","141,604.0","145,228.0","149,438.0","152,962.0","153,382.0","158,113.0","162,260.0","164,961.0","163,713.0","169,764.0","171,937.0","172,402.0","169,766.0","174,649.0","177,852.0","183,749.0","190,111.0","195,557.0","206,018.0","209,546.0","206,146.0","205,648.0","204,701.0","198,445.0","191,996.0","194,814.0","192,388.0","185,898.0","177,727.0","183,990.0","185,004.0","183,955.0","181,543.0","185,674.0","193,093.0","200,846.0","203,768.0","210,990.0","214,930.0","213,648.0","223,918.0","223,721.0","233,516.0","239,173.0","244,396.0","260,572.0","273,376.0","265,224.0","259,243.0","252,632.0","248,045.0","225,028.0","220,101.0","218,432.0","220,948.0","207,775.0","203,809.0","206,044.0","197,149.0","188,631.0","186,250.0"
"49","30","  Personal current transfer payments","W211RC1","2,067.0","2,286.0","2,264.0","2,355.0","2,482.0","2,599.0","2,583.0","2,604.0","2,639.0","2,718.0","2,887.0","2,980.0","3,025.0","3,153.0","3,191.0","3,295.0","3,015.0","3,068.0","3,100.0","4,373.0","3,312.0","3,383.0","3,472.0","3,557.0","3,652.0","3,620.0","4,016.0","4,036.0","4,272.0","4,263.0","4,422.0","4,619.0","4,711.0","4,833.0","4,872.0","4,948.0","5,089.0","5,402.0","5,468.0","5,765.0","5,687.0","5,775.0","6,090.0","6,616.0","6,530.0","6,690.0","7,007.0","7,389.0","10,841.0","11,237.0","11,744.0","12,294.0","13,095.0","13,681.0","14,061.0","14,380.0","14,156.0","14,856.0","15,561.0","15,938.0","16,415.0","16,960.0","17,120.0","17,773.0","18,274.0","18,384.0","19,144.0","19,205.0","20,225.0","20,589.0","21,221.0","22,375.0","22,132.0","22,866.0","23,902.0","23,986.0","24,875.0","25,471.0","25,598.0","26,598.0","27,068.0","27,722.0","28,074.0","29,315.0","29,325.0","29,678.0","31,198.0","32,086.0","34,683.0","35,903.0","37,165.0","38,861.0","36,522.0","38,380.0","45,685.0","41,359.0","44,311.0","45,028.0","45,996.0","47,219.0","48,607.0","49,562.0","50,268.0","50,852.0","50,791.0","51,284.0","53,049.0","56,487.0","55,452.0","57,290.0","58,175.0","59,349.0","62,343.0","63,147.0","64,167.0","65,791.0","65,931.0","68,083.0","70,377.0","73,725.0","73,685.0","76,312.0","77,192.0","77,766.0","81,982.0","82,758.0","83,775.0","85,079.0","88,941.0","90,572.0","92,159.0","92,337.0","95,191.0","95,822.0","97,665.0","99,379.0","98,630.0","100,627.0","99,687.0","106,420.0","108,062.0","110,307.0","111,533.0","111,365.0","119,119.0","119,242.0","119,454.0","121,244.0","121,351.0","127,836.0","129,573.0","133,156.0","137,707.0","140,037.0","142,984.0","146,108.0","150,279.0","155,936.0","157,967.0","153,071.0","158,512.0","158,896.0","161,868.0","166,417.0","169,205.0","172,281.0","172,871.0","176,595.0","177,664.0"
"50","31","    To government","W062RC1","1,075.0","1,106.0","1,144.0","1,187.0","1,222.0","1,259.0","1,299.0","1,344.0","1,371.0","1,422.0","1,479.0","1,548.0","1,673.0","1,765.0","1,831.0","1,875.0","1,831.0","1,820.0","1,828.0","1,861.0","1,940.0","2,015.0","2,108.0","2,209.0","2,304.0","2,424.0","2,556.0","2,688.0","2,828.0","2,959.0","3,082.0","3,203.0","3,307.0","3,421.0","3,516.0","3,620.0","3,705.0","3,802.0","3,908.0","4,009.0","4,139.0","4,259.0","4,386.0","4,528.0","4,642.0","4,830.0","5,047.0","5,289.0","5,612.0","5,856.0","6,075.0","6,261.0","6,691.0","6,924.0","7,187.0","7,462.0","7,720.0","7,988.0","8,277.0","8,535.0","8,779.0","9,055.0","9,306.0","9,532.0","9,863.0","10,220.0","10,607.0","11,010.0","11,344.0","11,720.0","12,055.0","12,717.0","12,662.0","12,911.0","13,507.0","13,696.0","14,153.0","14,759.0","15,071.0","15,401.0","15,921.0","16,293.0","16,677.0","17,081.0","17,275.0","17,876.0","18,658.0","19,599.0","20,927.0","22,068.0","23,111.0","24,178.0","24,987.0","25,777.0","26,383.0","26,833.0","28,042.0","28,331.0","28,682.0","29,221.0","30,114.0","30,696.0","31,182.0","31,576.0","31,883.0","32,343.0","32,886.0","33,480.0","34,027.0","34,633.0","35,235.0","35,829.0","37,240.0","38,019.0","38,583.0","38,954.0","39,052.0","39,340.0","39,996.0","41,064.0","42,288.0","43,516.0","44,672.0","45,772.0","46,936.0","48,128.0","49,340.0","50,596.0","51,536.0","52,456.0","53,388.0","54,304.0","55,172.0","55,996.0","56,788.0","57,564.0","58,088.0","59,280.0","60,740.0","62,496.0","64,580.0","66,164.0","67,508.0","68,616.0","70,180.0","71,048.0","71,832.0","72,584.0","74,576.0","75,668.0","76,892.0","78,392.0","80,099.0","81,419.0","83,032.0","84,930.0","87,120.0","89,034.0","90,664.0","92,014.0","93,085.0","94,266.0","95,555.0","96,954.0","98,456.0","100,065.0","101,789.0","103,022.0","103,854.0"
"51","32","    To the rest of the world (net)","B070RC1","992.0","1,180.0","1,120.0","1,168.0","1,260.0","1,340.0","1,284.0","1,260.0","1,268.0","1,296.0","1,408.0","1,432.0","1,352.0","1,388.0","1,360.0","1,420.0","1,184.0","1,248.0","1,272.0","2,512.0","1,372.0","1,368.0","1,364.0","1,348.0","1,348.0","1,196.0","1,460.0","1,348.0","1,444.0","1,304.0","1,340.0","1,416.0","1,404.0","1,412.0","1,356.0","1,328.0","1,384.0","1,600.0","1,560.0","1,756.0","1,548.0","1,516.0","1,704.0","2,088.0","1,888.0","1,860.0","1,960.0","2,100.0","5,229.0","5,381.0","5,669.0","6,033.0","6,404.0","6,757.0","6,874.0","6,918.0","6,436.0","6,868.0","7,284.0","7,403.0","7,636.0","7,905.0","7,814.0","8,241.0","8,411.0","8,164.0","8,537.0","8,195.0","8,881.0","8,869.0","9,166.0","9,658.0","9,470.0","9,955.0","10,395.0","10,290.0","10,722.0","10,712.0","10,527.0","11,197.0","11,147.0","11,429.0","11,397.0","12,234.0","12,050.0","11,802.0","12,540.0","12,487.0","13,756.0","13,835.0","14,054.0","14,683.0","11,535.0","12,603.0","19,302.0","14,526.0","16,269.0","16,697.0","17,314.0","17,998.0","18,493.0","18,866.0","19,086.0","19,276.0","18,908.0","18,941.0","20,163.0","23,007.0","21,425.0","22,657.0","22,940.0","23,520.0","25,103.0","25,128.0","25,584.0","26,837.0","26,879.0","28,743.0","30,381.0","32,661.0","31,397.0","32,796.0","32,520.0","31,994.0","35,046.0","34,630.0","34,435.0","34,483.0","37,405.0","38,116.0","38,771.0","38,033.0","40,019.0","39,826.0","40,877.0","41,815.0","40,542.0","41,347.0","38,947.0","43,924.0","43,482.0","44,143.0","44,025.0","42,749.0","48,939.0","48,194.0","47,622.0","48,660.0","46,775.0","52,168.0","52,681.0","54,764.0","57,608.0","58,618.0","59,952.0","61,178.0","63,159.0","66,902.0","67,303.0","61,057.0","65,427.0","64,630.0","66,313.0","69,463.0","70,749.0","72,216.0","71,082.0","73,573.0","73,810.0"
"52","33","Equals: Personal saving","A071RC1","44,611.0","47,480.0","58,606.0","59,147.0","59,302.0","69,477.0","74,350.0","74,571.0","77,430.0","83,521.0","81,945.0","78,781.0","74,881.0","68,530.0","74,658.0","91,752.0","88,536.0","99,993.0","103,674.0","119,532.0","116,721.0","107,844.0","110,086.0","122,098.0","110,897.0","148,974.0","120,322.0","123,587.0","122,075.0","123,398.0","124,857.0","120,852.0","109,467.0","119,760.0","130,399.0","141,579.0","144,420.0","134,855.0","143,471.0","146,751.0","160,495.0","153,412.0","151,323.0","164,582.0","173,612.0","191,279.0","199,072.0","221,272.0","208,337.0","210,500.0","253,154.0","274,997.0","265,569.0","274,607.0","272,075.0","243,407.0","241,994.0","216,668.0","215,953.0","233,096.0","274,277.0","288,347.0","313,929.0","308,498.0","257,030.0","290,345.0","220,386.0","246,508.0","261,324.0","266,835.0","236,009.0","221,610.0","253,521.0","179,734.0","207,859.0","252,645.0","245,262.0","258,121.0","263,904.0","259,160.0","290,889.0","260,521.0","248,126.0","260,371.0","266,595.0","284,580.0","275,182.0","280,425.0","303,285.0","307,776.0","304,355.0","337,342.0","343,536.0","357,706.0","332,964.0","358,063.0","268,642.0","303,437.0","268,112.0","301,374.0","229,485.0","278,705.0","276,188.0","298,336.0","327,299.0","281,042.0","273,269.0","263,403.0","277,167.0","276,997.0","291,548.0","278,851.0","276,328.0","294,676.0","266,318.0","284,376.0","370,416.0","355,364.0","342,901.0","297,240.0","286,470.0","199,919.0","166,030.0","178,698.0","219,863.0","226,522.0","229,046.0","176,961.0","208,161.0","161,870.0","322,984.0","126,650.0","313,745.0","321,390.0","247,017.0","246,681.0","249,930.0","294,507.0","306,329.0","308,283.0","275,544.0","315,371.0","299,052.0","325,014.0","141,795.0","116,963.0","110,233.0","141,849.0","211,691.0","245,624.0","227,672.0","254,813.0","240,585.0","204,773.0","189,709.0","223,658.0","289,314.0","537,664.0","396,701.0","567,952.0","588,214.0","793,505.0","623,416.0","616,046.0","611,751.0","704,251.0","680,966.0","618,883.0","596,456.0"
"53","34","  Personal saving as a percentage of disposable personal income","A072RC1","6.9","7.2","8.6","8.5","8.4","9.5","9.9","9.9","10.0","10.5","10.1","9.6","9.0","8.1","8.5","10.0","9.4","10.4","10.5","11.7","11.3","10.2","10.1","11.0","9.8","12.5","10.0","10.0","9.7","9.6","9.5","9.0","8.0","8.5","9.0","9.4","9.4","8.5","8.8","8.8","9.3","8.7","8.4","8.8","9.0","9.8","9.9","10.5","9.7","9.6","11.1","11.9","11.3","11.5","11.2","9.8","9.6","8.5","8.2","8.6","9.8","10.1","10.7","10.4","8.6","9.4","7.1","7.8","8.2","8.2","7.2","6.7","7.5","5.3","6.0","7.1","6.8","7.0","7.0","6.8","7.4","6.6","6.2","6.4","6.4","6.7","6.4","6.5","7.0","7.0","6.8","7.4","7.4","7.6","7.0","7.4","5.6","6.2","5.4","6.0","4.6","5.4","5.3","5.6","6.1","5.2","5.0","4.8","4.9","4.8","5.0","4.7","4.6","4.9","4.4","4.6","5.8","5.5","5.2","4.5","4.3","3.0","2.4","2.6","3.1","3.1","3.1","2.4","2.8","2.1","4.2","1.6","4.0","4.0","3.1","3.1","3.1","3.5","3.6","3.6","3.2","3.6","3.3","3.6","1.6","1.3","1.2","1.5","2.2","2.5","2.3","2.5","2.3","2.0","1.8","2.1","2.7","4.8","3.6","5.2","5.4","7.2","5.6","5.5","5.5","6.2","6.0","5.4","5.1"
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","35","  Personal income excluding current transfer receipts, millions of chained (2005) dollars \3\","W875RX1","3,113,498.0","3,149,270.0","3,194,231.0","3,214,300.0","3,215,374.0","3,228,567.0","3,247,744.0","3,224,111.0","3,264,447.0","3,290,619.0","3,311,055.0","3,351,111.0","3,415,759.0","3,458,343.0","3,524,855.0","3,630,790.0","3,657,137.0","3,692,749.0","3,721,047.0","3,773,792.0","3,705,671.0","3,665,968.0","3,671,487.0","3,639,112.0","3,588,557.0","3,590,672.0","3,630,772.0","3,678,072.0","3,733,145.0","3,790,420.0","3,825,638.0","3,866,791.0","3,881,408.0","3,943,685.0","3,996,280.0","4,095,940.0","4,119,407.0","4,190,220.0","4,234,504.0","4,285,314.0","4,332,219.0","4,309,304.0","4,325,024.0","4,366,870.0","4,352,728.0","4,296,062.0","4,291,642.0","4,407,146.0","4,407,460.0","4,423,695.0","4,510,946.0","4,505,991.0","4,500,392.0","4,527,590.0","4,498,318.0","4,497,335.0","4,517,881.0","4,556,235.0","4,608,766.0","4,715,669.0","4,818,227.0","4,911,239.0","5,007,585.0","5,061,553.0","5,092,684.0","5,115,566.0","5,130,055.0","5,190,659.0","5,227,998.0","5,283,237.0","5,316,282.0","5,343,624.0","5,359,590.0","5,389,900.0","5,447,148.0","5,547,063.0","5,580,793.0","5,620,834.0","5,668,112.0","5,724,067.0","5,804,938.0","5,790,214.0","5,821,171.0","5,861,315.0","5,879,382.0","5,919,606.0","5,919,068.0","5,855,525.0","5,814,007.0","5,839,719.0","5,846,215.0","5,859,935.0","5,901,508.0","5,948,998.0","5,977,401.0","6,090,113.0","5,945,382.0","6,070,827.0","6,087,025.0","6,195,387.0","6,150,914.0","6,284,248.0","6,324,765.0","6,398,054.0","6,433,094.0","6,450,266.0","6,498,740.0","6,566,010.0","6,640,026.0","6,734,729.0","6,803,828.0","6,865,128.0","6,952,315.0","7,021,824.0","7,124,750.0","7,247,153.0","7,431,182.0","7,560,007.0","7,658,977.0","7,730,391.0","7,771,563.0","7,804,737.0","7,868,282.0","8,015,421.0","8,224,287.0","8,299,787.0","8,388,876.0","8,398,287.0","8,458,455.0","8,406,835.0","8,398,632.0","8,381,086.0","8,405,454.0","8,405,018.0","8,368,754.0","8,371,262.0","8,365,995.0","8,477,529.0","8,502,622.0","8,626,584.0","8,627,064.0","8,717,454.0","8,812,506.0","8,947,699.0","8,868,440.0","8,936,879.0","9,016,735.0","9,086,414.0","9,290,608.0","9,366,093.0","9,404,669.0","9,557,528.0","9,599,284.0","9,638,499.0","9,672,723.0","9,715,546.0","9,733,076.0","9,640,735.0","9,578,640.0","9,602,947.0","9,298,675.0","9,230,168.0","9,128,729.0","9,109,686.0","9,111,717.0","9,226,617.0","9,252,092.0","9,288,049.0","9,406,204.0"
"56",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","36","    Total, millions of chained (2005) dollars \3\","A067RX1","2,923,434.0","2,952,867.0","3,012,887.0","3,034,863.0","3,050,079.0","3,103,489.0","3,145,434.0","3,135,121.0","3,197,329.0","3,245,324.0","3,259,715.0","3,294,188.0","3,314,939.0","3,346,134.0","3,414,555.0","3,550,465.0","3,590,748.0","3,626,171.0","3,644,363.0","3,688,898.0","3,632,269.0","3,601,078.0","3,612,365.0","3,596,023.0","3,581,927.0","3,749,312.0","3,698,624.0","3,736,022.0","3,790,955.0","3,822,245.0","3,856,719.0","3,884,403.0","3,887,547.0","3,931,782.0","3,990,824.0","4,071,211.0","4,096,371.0","4,143,376.0","4,177,063.0","4,209,777.0","4,255,902.0","4,226,098.0","4,250,339.0","4,284,257.0","4,296,195.0","4,236,101.0","4,279,699.0","4,368,092.0","4,358,123.0","4,358,647.0","4,455,395.0","4,464,382.0","4,469,552.0","4,500,831.0","4,520,565.0","4,536,432.0","4,572,183.0","4,605,530.0","4,674,671.0","4,771,120.0","4,875,411.0","4,959,394.0","5,036,594.0","5,084,515.0","5,072,006.0","5,172,728.0","5,140,735.0","5,193,915.0","5,255,783.0","5,315,472.0","5,343,321.0","5,346,528.0","5,379,371.0","5,321,008.0","5,416,170.0","5,493,059.0","5,562,139.0","5,614,314.0","5,657,504.0","5,708,516.0","5,773,394.0","5,749,751.0","5,786,954.0","5,831,303.0","5,875,128.0","5,913,858.0","5,918,073.0","5,878,174.0","5,896,282.0","5,941,053.0","5,953,610.0","5,992,385.0","6,082,896.0","6,129,488.0","6,160,621.0","6,248,222.0","6,156,538.0","6,252,318.0","6,265,694.0","6,358,085.0","6,332,646.0","6,440,636.0","6,487,932.0","6,574,048.0","6,616,639.0","6,617,227.0","6,666,781.0","6,706,247.0","6,777,686.0","6,850,553.0","6,908,850.0","6,946,764.0","7,008,909.0","7,061,486.0","7,142,373.0","7,241,541.0","7,406,225.0","7,512,030.0","7,590,972.0","7,646,519.0","7,698,396.0","7,715,994.0","7,765,915.0","7,887,698.0","8,053,408.0","8,135,896.0","8,222,306.0","8,234,579.0","8,296,453.0","8,273,749.0","8,484,466.0","8,385,454.0","8,611,579.0","8,658,945.0","8,629,211.0","8,649,623.0","8,681,296.0","8,812,499.0","8,935,380.0","8,986,364.0","9,025,916.0","9,114,956.0","9,175,871.0","9,303,416.0","9,189,556.0","9,252,969.0","9,308,027.0","9,358,748.0","9,533,752.0","9,617,301.0","9,662,512.0","9,788,770.0","9,832,136.0","9,845,913.0","9,882,801.0","9,936,121.0","9,971,431.0","10,192,821.0","9,970,800.0","10,036,318.0","10,046,921.0","10,193,041.0","10,079,726.0","10,080,417.0","10,113,349.0","10,251,936.0","10,276,582.0","10,304,866.0","10,326,345.0"
"58",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
