"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"43","24","        Weapons support","B912RX1","10,299.0","11,308.0","9,829.0","9,603.0","8,047.0","7,940.0","7,493.0","12,786.0","8,897.0","10,760.0","10,224.0","11,968.0","7,565.0","10,720.0","10,102.0","11,598.0","9,493.0","9,739.0","11,113.0","15,348.0","7,007.0","13,234.0","12,535.0","12,583.0","15,167.0","14,346.0","13,533.0","14,852.0","16,146.0","15,069.0","18,703.0","20,792.0","17,817.0","22,039.0","25,107.0","23,637.0","22,258.0","20,445.0","24,046.0","21,591.0","23,005.0","22,749.0","28,108.0","23,618.0","23,968.0","26,180.0","22,700.0","26,909.0","22,700.0","24,312.0","26,520.0","26,730.0","27,363.0","24,713.0","31,794.0","30,659.0","28,923.0","31,507.0","32,575.0","31,125.0","29,355.0","31,324.0","33,579.0","27,754.0","24,182.0"
"44","25","        Personnel support","B913RX1","18,938.0","22,011.0","19,316.0","19,724.0","20,030.0","19,594.0","18,697.0","24,867.0","20,903.0","23,131.0","21,472.0","22,528.0","17,462.0","23,022.0","22,730.0","22,697.0","23,808.0","23,822.0","26,443.0","31,500.0","21,847.0","29,611.0","27,274.0","24,740.0","31,102.0","28,789.0","29,990.0","32,661.0","34,838.0","34,426.0","38,305.0","38,985.0","36,094.0","41,194.0","45,775.0","47,040.0","50,739.0","50,858.0","55,448.0","52,126.0","53,473.0","52,577.0","59,962.0","57,299.0","59,825.0","62,206.0","56,725.0","57,827.0","56,336.0","59,497.0","64,146.0","66,302.0","70,449.0","69,427.0","77,713.0","76,485.0","76,624.0","79,640.0","80,703.0","80,655.0","83,507.0","87,228.0","92,153.0","89,010.0","89,491.0"
"45","26","        Transportation of material","B786RX1","5,566.0","6,294.0","6,186.0","6,533.0","7,034.0","6,777.0","5,818.0","5,916.0","5,233.0","5,265.0","5,200.0","5,255.0","5,318.0","5,491.0","5,460.0","5,434.0","6,144.0","5,652.0","5,381.0","5,558.0","5,594.0","5,467.0","5,386.0","4,993.0","5,139.0","5,420.0","5,700.0","6,803.0","6,895.0","6,491.0","5,712.0","4,172.0","9,884.0","15,312.0","9,364.0","8,730.0","9,852.0","9,989.0","9,287.0","8,567.0","10,258.0","9,374.0","7,354.0","3,834.0","8,150.0","4,876.0","9,384.0","7,177.0","9,200.0","10,399.0","12,463.0","12,424.0","11,774.0","10,154.0","8,435.0","6,736.0","6,301.0","5,915.0","5,900.0","7,349.0","7,917.0","7,515.0","8,003.0","9,116.0","9,177.0"
"46","27","        Travel of persons","B785RX1","6,120.0","5,658.0","5,503.0","5,596.0","5,696.0","5,617.0","4,718.0","5,994.0","5,520.0","5,504.0","5,514.0","5,377.0","5,342.0","5,398.0","5,461.0","5,622.0","5,821.0","5,888.0","5,888.0","5,980.0","5,850.0","5,833.0","5,830.0","5,542.0","5,526.0","5,619.0","5,872.0","6,370.0","6,027.0","5,877.0","5,632.0","5,148.0","5,995.0","7,375.0","7,282.0","6,881.0","7,369.0","7,964.0","8,135.0","8,524.0","10,708.0","8,423.0","7,885.0","5,756.0","8,128.0","5,118.0","7,818.0","6,861.0","7,593.0","7,608.0","8,334.0","7,151.0","6,627.0","6,020.0","5,584.0","6,306.0","6,610.0","6,736.0","6,634.0","6,560.0","5,994.0","5,508.0","5,291.0","4,535.0","4,311.0"
"47","28","  Less: Own-account investment \4\","W088RX1","2,459.0","2,287.0","2,322.0","2,106.0","2,100.0","2,112.0","2,205.0","2,090.0","2,319.0","2,167.0","1,895.0","1,731.0","1,988.0","2,217.0","1,977.0","1,535.0","1,147.0","2,074.0","1,939.0","1,761.0","1,387.0","1,422.0","1,437.0","1,482.0","1,825.0","1,678.0","1,731.0","2,072.0","2,358.0","2,434.0","2,460.0","2,528.0","2,385.0","2,391.0","2,276.0","2,376.0","2,095.0","2,179.0","2,194.0","2,219.0","2,030.0","2,048.0","2,060.0","2,082.0","1,983.0","1,997.0","2,013.0","2,052.0","1,964.0","1,924.0","1,901.0","1,874.0","1,994.0","2,010.0","2,022.0","1,993.0","2,029.0","2,074.0","2,112.0","2,134.0","2,154.0","2,177.0","2,273.0","2,345.0","2,369.0"
"48","29","        Sales to other sectors","W089RX1","3,742.0","2,546.0","2,326.0","3,427.0","2,842.0","3,394.0","4,203.0","3,643.0","2,396.0","3,134.0","2,667.0","2,538.0","3,018.0","815.0","3,646.0","1,351.0","1,007.0","1,972.0","3,472.0","2,125.0","3,969.0","1,647.0","2,656.0","1,251.0","3,634.0","1,686.0","1,996.0","2,190.0","1,879.0","1,460.0","4,368.0","2,055.0","2,251.0","3,073.0","3,174.0","1,968.0","2,193.0","2,555.0","3,678.0","2,137.0","3,470.0","3,423.0","3,797.0","2,526.0","3,416.0","4,422.0","3,779.0","2,480.0","2,933.0","2,820.0","2,836.0","3,158.0","3,289.0","3,362.0","3,346.0","3,297.0","3,253.0","3,139.0","3,242.0","3,170.0","3,214.0","3,189.0","3,227.0","3,266.0","3,207.0"
"49","30","Gross investment \5\","A788RX1","54,264.0","54,470.0","51,432.0","50,914.0","54,456.0","54,729.0","52,323.0","47,682.0","44,270.0","44,752.0","49,053.0","48,991.0","44,381.0","46,698.0","50,890.0","48,165.0","45,455.0","49,346.0","51,888.0","50,402.0","49,930.0","49,928.0","50,878.0","50,458.0","49,757.0","52,735.0","53,984.0","54,499.0","54,533.0","59,479.0","62,803.0","61,747.0","61,793.0","64,804.0","66,552.0","68,075.0","68,039.0","69,553.0","74,296.0","72,522.0","71,067.0","74,466.0","76,839.0","74,468.0","76,414.0","81,365.0","77,587.0","82,132.0","79,518.0","85,250.0","85,693.0","85,545.0","85,819.0","96,746.0","100,698.0","101,214.0","95,480.0","101,101.0","104,837.0","106,000.0","106,187.0","111,223.0","112,940.0","120,184.0","109,446.0"
"50","31","  Structures","A808RX1","10,437.0","9,901.0","10,128.0","9,795.0","9,623.0","9,570.0","8,945.0","8,680.0","8,529.0","8,551.0","9,163.0","8,492.0","8,037.0","8,432.0","8,549.0","7,212.0","7,643.0","7,447.0","7,043.0","6,474.0","6,559.0","6,701.0","7,393.0","6,815.0","6,247.0","6,867.0","6,362.0","6,618.0","6,468.0","6,845.0","7,298.0","7,279.0","8,103.0","8,337.0","8,823.0","8,575.0","8,285.0","7,737.0","7,965.0","7,236.0","7,758.0","7,343.0","7,673.0","7,034.0","7,110.0","7,457.0","7,196.0","8,037.0","7,961.0","10,076.0","8,978.0","8,141.0","7,470.0","9,820.0","10,545.0","10,596.0","11,797.0","11,582.0","15,035.0","15,443.0","15,576.0","15,594.0","16,286.0","17,397.0","15,499.0"
"51","32","  Equipment and software","A873RX1","44,907.0","45,447.0","42,412.0","42,138.0","45,619.0","45,919.0","44,037.0","39,772.0","36,603.0","37,048.0","40,753.0","41,167.0","37,046.0","38,998.0","42,964.0","41,303.0","38,362.0","42,272.0","45,041.0","44,033.0","43,517.0","43,410.0","43,795.0","43,842.0","43,609.0","46,017.0","47,656.0","47,947.0","48,111.0","52,655.0","55,538.0","54,514.0","53,838.0","56,601.0","57,896.0","59,621.0","59,845.0","61,841.0","66,337.0","65,268.0","63,317.0","67,113.0","69,160.0","67,442.0","69,321.0","73,936.0","70,416.0","74,088.0","71,528.0","74,971.0","76,646.0","77,437.0","78,473.0","86,883.0","90,068.0","90,536.0","83,357.0","89,312.0","89,173.0","89,891.0","89,930.0","95,001.0","95,963.0","102,044.0","93,313.0"
"52","33","    Aircraft","B874RX1","8,596.0","8,045.0","7,061.0","7,905.0","10,069.0","8,933.0","6,912.0","4,845.0","3,892.0","3,254.0","6,402.0","7,838.0","4,040.0","4,646.0","6,382.0","6,461.0","4,756.0","5,349.0","6,989.0","5,327.0","7,610.0","5,803.0","6,914.0","5,806.0","5,976.0","6,085.0","9,461.0","9,014.0","6,916.0","8,951.0","9,517.0","9,820.0","8,880.0","8,599.0","8,030.0","9,434.0","8,307.0","9,681.0","11,644.0","13,478.0","12,315.0","13,462.0","14,116.0","14,187.0","13,170.0","15,356.0","11,821.0","14,591.0","12,375.0","14,244.0","13,186.0","12,529.0","8,708.0","14,185.0","14,272.0","16,052.0","12,452.0","15,387.0","12,779.0","15,678.0","15,020.0","18,310.0","18,203.0","16,972.0","17,839.0"
"53","34","    Missiles","B875RX1","3,805.0","5,490.0","4,922.0","3,485.0","4,097.0","4,043.0","4,066.0","3,649.0","2,825.0","2,769.0","3,061.0","3,082.0","2,993.0","2,654.0","4,562.0","3,000.0","2,878.0","2,863.0","2,935.0","3,303.0","2,506.0","2,538.0","2,190.0","4,053.0","3,771.0","3,737.0","3,259.0","3,398.0","3,748.0","3,539.0","3,279.0","3,582.0","2,978.0","3,022.0","3,724.0","4,864.0","4,026.0","3,645.0","4,468.0","4,434.0","3,180.0","4,505.0","3,480.0","4,879.0","4,674.0","4,647.0","3,339.0","5,251.0","5,173.0","4,254.0","3,809.0","3,660.0","3,534.0","4,195.0","4,220.0","3,710.0","4,367.0","4,673.0","5,299.0","4,957.0","5,094.0","5,588.0","5,494.0","5,456.0","5,119.0"
"54","35","    Ships","B876RX1","10,749.0","10,388.0","9,196.0","8,677.0","8,513.0","8,795.0","7,977.0","7,673.0","6,717.0","7,967.0","7,656.0","6,903.0","7,557.0","7,229.0","7,822.0","8,312.0","8,301.0","8,065.0","7,855.0","8,539.0","7,217.0","8,016.0","7,871.0","8,078.0","8,497.0","8,800.0","8,141.0","8,729.0","9,679.0","10,097.0","10,484.0","10,594.0","9,926.0","11,728.0","11,728.0","10,887.0","11,099.0","9,742.0","11,968.0","9,763.0","9,910.0","9,584.0","10,732.0","9,022.0","9,279.0","10,308.0","9,542.0","9,569.0","8,739.0","8,830.0","8,845.0","9,630.0","8,270.0","8,875.0","9,106.0","9,602.0","9,040.0","9,486.0","9,359.0","10,424.0","8,866.0","9,180.0","9,791.0","10,786.0","8,412.0"
"55","36","    Vehicles","B877RX1","1,149.0","1,009.0","1,153.0","971.0","1,241.0","1,101.0","1,083.0","1,206.0","1,209.0","1,400.0","1,429.0","1,313.0","1,267.0","1,747.0","1,541.0","1,401.0","1,455.0","1,768.0","1,492.0","1,917.0","1,788.0","2,012.0","1,973.0","1,607.0","1,920.0","2,114.0","1,715.0","2,147.0","2,253.0","2,645.0","3,187.0","2,622.0","3,661.0","3,349.0","3,031.0","2,648.0","2,844.0","3,155.0","2,572.0","2,676.0","2,810.0","4,295.0","4,679.0","3,692.0","4,635.0","4,925.0","5,484.0","4,817.0","4,908.0","6,450.0","6,760.0","5,964.0","8,342.0","8,217.0","9,374.0","9,514.0","8,142.0","8,486.0","8,828.0","8,415.0","9,062.0","9,197.0","8,926.0","9,241.0","7,131.0"
"56","37","    Electronics and software","B878RX1","6,893.0","6,360.0","6,824.0","6,470.0","6,634.0","7,261.0","7,432.0","7,176.0","7,443.0","7,480.0","7,563.0","7,436.0","7,726.0","8,076.0","8,009.0","7,925.0","7,676.0","9,069.0","9,293.0","8,848.0","8,845.0","9,183.0","8,829.0","9,258.0","8,915.0","8,937.0","8,836.0","9,002.0","9,146.0","9,360.0","9,666.0","9,381.0","9,893.0","9,813.0","10,651.0","10,312.0","10,454.0","11,746.0","11,414.0","11,659.0","11,526.0","12,362.0","13,489.0","13,196.0","13,621.0","14,014.0","14,952.0","14,956.0","15,760.0","16,426.0","17,547.0","17,363.0","19,727.0","20,794.0","21,855.0","21,612.0","19,976.0","21,497.0","22,499.0","21,321.0","22,387.0","22,223.0","22,791.0","23,208.0","20,706.0"
"57","38","    Other equipment","B879RX1","14,572.0","15,120.0","13,858.0","15,342.0","15,326.0","16,333.0","17,180.0","15,927.0","14,957.0","14,865.0","15,000.0","14,767.0","13,898.0","14,984.0","15,006.0","14,632.0","13,902.0","15,520.0","16,442.0","16,667.0","15,274.0","16,092.0","16,051.0","15,298.0","14,791.0","16,699.0","15,971.0","15,517.0","16,597.0","18,204.0","19,545.0","18,668.0","18,578.0","20,445.0","21,109.0","21,686.0","23,408.0","23,943.0","24,379.0","23,233.0","23,581.0","22,895.0","22,666.0","22,470.0","23,939.0","24,695.0","25,321.0","25,015.0","24,715.0","24,982.0","26,718.0","28,415.0","30,306.0","31,093.0","31,775.0","30,486.0","29,751.0","30,231.0","30,928.0","29,414.0","30,121.0","31,065.0","31,286.0","36,757.0","34,602.0"
"58","39","Residual","A975RX1","-10,400.0","-10,100.0","-9,900.0","-9,600.0","-7,800.0","-6,600.0","-7,700.0","-7,900.0","-8,800.0","-8,100.0","-6,900.0","-5,700.0","-8,400.0","-6,600.0","-4,800.0","-4,600.0","-6,300.0","-4,700.0","-4,200.0","-2,200.0","-3,700.0","-3,100.0","-3,700.0","-3,700.0","-3,900.0","-3,200.0","-2,500.0","-3,100.0","-3,000.0","-2,900.0","-1,200.0","-2,400.0","-3,300.0","-1,200.0","700.0","-100.0","-1,300.0","0.0","-300.0","700.0","0.0","-100.0","-200.0","-200.0","-400.0","-800.0","300.0","-300.0","0.0","-600.0","-800.0","-1,400.0","-2,200.0","-2,100.0","-3,000.0","-2,900.0","-1,800.0","-2,200.0","-2,000.0","-2,000.0","-2,300.0","-2,600.0","-3,200.0","-3,700.0","-2,300.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","structures and in software.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
