"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"26","7","    Other services-producing industries \1\","N235RC1","2,242,644.0","2,262,892.0","2,268,703.0","2,248,979.0","2,241,231.0","2,239,205.0","2,230,206.0","2,231,509.0","2,226,605.0","2,225,660.0","2,229,805.0","2,237,205.0","2,239,354.0","2,241,648.0","2,248,775.0","2,260,101.0","2,262,990.0","2,277,861.0","2,263,341.0","2,272,483.0","2,278,713.0","2,281,698.0","2,283,934.0","2,282,679.0","2,280,787.0","2,288,016.0","2,299,665.0","2,314,745.0","2,340,328.0","2,351,113.0","2,365,374.0","2,376,281.0","2,383,276.0","2,392,554.0","2,413,461.0","2,417,538.0","2,429,512.0","2,435,637.0","2,448,941.0","2,462,270.0","2,494,922.0","2,503,762.0","2,530,130.0","2,547,841.0","2,559,060.0","2,579,476.0","2,578,920.0","2,587,200.0","2,586,219.0","2,591,184.0","2,596,004.0","2,615,996.0","2,628,392.0","2,648,934.0","2,680,222.0","2,688,768.0","2,707,515.0","2,719,078.0","2,731,791.0","2,743,564.0","2,787,946.0","2,808,005.0","2,821,476.0","2,836,830.0","2,821,169.0","2,834,465.0","2,851,648.0","2,861,165.0","2,887,892.0","2,911,648.0","2,940,253.0","2,978,989.0","3,013,448.0","3,045,265.0","3,053,293.0","3,038,712.0","3,037,109.0","3,051,767.0","3,067,778.0","3,076,352.0","3,098,980.0","3,110,066.0","3,132,387.0","3,164,139.0","3,175,915.0","3,183,215.0","3,187,018.0","3,170,710.0","3,156,513.0","3,149,477.0","3,151,341.0","3,162,893.0","3,162,019.0","3,163,333.0","3,136,389.0","3,079,938.0","3,012,287.0","2,982,637.0","2,991,017.0","3,042,740.0","3,066,396.0","3,066,472.0","3,054,416.0","3,058,364.0","3,051,192.0","3,067,553.0","3,077,465.0","3,082,206.0","3,082,214.0","3,084,400.0","3,090,641.0","3,123,748.0","3,137,730.0","3,146,627.0","3,160,468.0","3,177,569.0","3,184,318.0","3,200,423.0","3,195,943.0","3,202,129.0","3,211,524.0","3,230,525.0","3,239,029.0","3,252,796.0"
"27","8","Government","B202RC1","799,788.0","805,224.0","808,200.0","811,476.0","814,644.0","820,152.0","824,820.0","828,504.0","831,972.0","835,500.0","839,748.0","842,580.0","858,756.0","861,840.0","864,132.0","866,628.0","870,756.0","873,732.0","875,448.0","878,844.0","879,144.0","880,680.0","882,840.0","884,556.0","899,012.0","904,139.0","907,111.0","908,875.0","913,266.0","919,317.0","916,788.0","915,372.0","914,700.0","918,276.0","919,896.0","923,148.0","935,995.0","939,912.0","945,376.0","953,402.0","950,885.0","952,373.0","953,869.0","956,004.0","957,648.0","960,264.0","963,372.0","964,596.0","980,880.0","982,884.0","983,556.0","985,584.0","987,720.0","989,532.0","992,796.0","993,888.0","996,684.0","997,788.0","1,001,652.0","1,004,904.0","1,015,512.0","1,019,052.0","1,022,484.0","1,025,484.0","1,028,172.0","1,031,292.0","1,036,032.0","1,040,076.0","1,046,832.0","1,049,448.0","1,052,388.0","1,055,040.0","1,072,080.0","1,077,264.0","1,079,784.0","1,080,744.0","1,082,220.0","1,084,992.0","1,087,536.0","1,092,492.0","1,097,712.0","1,100,184.0","1,104,036.0","1,109,292.0","1,122,240.0","1,127,364.0","1,131,492.0","1,134,600.0","1,137,840.0","1,142,244.0","1,146,948.0","1,150,800.0","1,155,000.0","1,158,840.0","1,160,712.0","1,159,680.0","1,168,176.0","1,166,964.0","1,167,576.0","1,173,540.0","1,176,576.0","1,178,616.0","1,176,780.0","1,176,420.0","1,173,528.0","1,174,824.0","1,175,052.0","1,174,800.0","1,183,746.0","1,185,184.0","1,187,585.0","1,190,148.0","1,195,884.0","1,193,364.0","1,191,876.0","1,183,992.0","1,179,924.0","1,184,148.0","1,184,076.0","1,185,288.0","1,186,644.0","1,187,040.0","1,188,336.0","1,188,624.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
