"","Table 5#4#6A# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"31","24","    Brokers' commissions on sale of structures","C321RX1",1.8,1.5,1.5,1.5,1.6,1.8,1.9,2.1
"32","25","    Net purchases of used structures","E322RX1",-1.9,-1.8,-1.8,-1.6,-1.5,-1.5,-1.2,-0.2
"33","26","Residential","A012RX1",292.6,264,301.4,326.4,358.6,346.8,375.1,382.4
"34","27","  Permanent site","A943RX1",181.3,156.1,182,194.3,217.6,203.2,222.3,223.5
"35","28","    Single-family structures","A944RX1",154.2,135.1,164.1,179.7,198.9,180.6,197.3,196.6
"36","29","    Multifamily structures","C292RX1",26.7,20.6,17.5,14.1,18.2,22.6,25,26.9
"37","30","  Other structures","A863RX1",111.6,107.8,119.5,132.1,141.2,143.4,152.8,158.8
"38","31","    Manufactured homes","A945RX1",6.8,5.9,7.3,9.3,11.3,12.9,14.2,14.7
"39","32","    Dormitories","C295RX1",1,0.4,0.5,0.7,0.4,0.6,0.7,0.9
"40","33","    Improvements","A946RX1",74.8,71.6,79.2,89.2,94.3,94.2,98.3,100.1
"41","34","    Brokers' commissions on sale of structures","A758RX1",31.2,32,34.5,35.5,36.8,37.3,41.6,45.7
"42","35","    Net purchases of used structures","A759RX1",-2.1,-2,-2,-2.6,-1.5,-1.5,-1.9,-2.6
"43","36","Residual","A971RX1",-0.6,0.3,1,0.9,0.9,1,0.8,0.3
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"45","37","  Private fixed investment in new structures \5\","W040RX1",538.5,478.6,499.1,522.2,556.2,558.1,596.2,617.7
"46","38","    Nonresidential structures","A771RX1",275.3,244.9,230.3,228.4,232.3,246.9,260.4,278.2
"47","39","    Residential structures","A756RX1",263.7,234.1,268.9,293.6,323.6,311.1,335.7,339.4
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Also includes medical buildings; in table 5.4.6B, these buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Consists of stores, restaurants, garages, service stations, warehouses, beauty and trade schools, mobile structures, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","buildings used for commercial purposes.  Also includes financial buidings of two stories or less.  In table 5.4.6B, financial ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","of two stories or less are included in office; bus or truck garages are included in transportation; and beauty and trade schools ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","included in educational and vocational structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of hotels and motels, buildings used primarily for social and recreational activities, and buildings not elsewhere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","classified, such as passenger terminals, greenhouses, and animal hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","4. Consists primarily of streets, dams and reservoirs, sewer and water facilities, parks, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
