"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRG3",19.619,18.863,16.447,13.78,14.276,15.694,15.514,15.879,17.37,16.807,16.686,17.178,18.858,22.01,25.517,29.732,32.782,32.893,35.083,36.502,35.203,36.248,40.67,39.757,39.741,39.566,39.487,40.259,41.212,41.273,41.289,41.942,42.419,42.519,42.629,42.794,42.812,43.596,45.002,46.723,48.585,49.607,50.456,51.139,52.64,57.222,61.75,63.814,66.228,69.451,73.716,80.343,86.239,90.317,92.34,94.253,96.373,97.882,99.67,101.832,102.468,103.851,104.466,106.351,107.432,109.223,109.813,110.497,110.325,110.326,109.558,108.894,106.87,104.75,102.191,100.936,100,99.354,97.557,95.983
"17","10","      Household appliances (part of 33)","DAPPRG3",61.915,59.159,54.669,47.378,44.614,45.022,44.308,44.967,46.586,46.762,46.159,44.504,46.772,53.853,59.766,63.713,67.307,67.167,73.872,78.031,75.759,74.814,80.167,80.107,79.555,78.307,75.755,72.266,71.269,69.531,69.357,68.412,67.015,65.468,64.228,63.51,62.02,60.981,61.03,62.318,63.687,65.259,66.601,66.947,67.015,70.444,78.236,82.579,85.581,89.952,94.852,99.583,105.356,111.82,115.076,115.299,112.761,112.208,113.055,113.305,113.262,112.549,111.359,110.631,110.924,112.313,111.442,111.262,110.732,109.327,106.901,105.821,105.08,103.974,100.75,97.254,100,102.494,105.85,106.95
"18","11","      Glassware, tableware, and household utensils (34)","DUTERG3",13.605,13.204,11.971,11.165,10.915,12.095,13.172,12.405,12.6,12.596,12.602,12.608,12.897,14.528,16.344,18.432,19.165,19.034,19.505,19.851,20.531,21.274,23.294,23.852,24.459,24.794,25.266,27.354,28.831,29.654,29.646,30.577,30.956,31.754,32.816,33.421,33.408,34.117,35.114,37.844,39.42,40.661,41.861,43.716,46.206,52.197,61.091,64.97,67.696,72.585,78.563,86.734,95.417,99.412,101.277,101.484,101.905,104.656,107.219,108.031,109.662,111.822,114.405,116.682,116.047,117.588,115.275,113.928,113.193,115.681,113.27,111.92,108.849,104.901,100.724,100.571,100,96.347,94.609,95.725
"19","12","      Tools and equipment for house and garden (35)","DTOORG3",25.366,24.309,21.438,19.162,19.066,21.092,21.156,21.392,23.264,22.931,22.636,23.147,25.174,28.624,31.047,34.022,35.623,37.574,41.558,43.403,42.272,43.088,47.283,46.463,47.108,47.627,48.783,50.783,52.845,54.013,55.545,55.925,57.53,58.499,58.777,58.364,57.322,56.254,56.143,58.441,60.766,60.42,59.871,59.799,59.93,63.669,69.577,72.048,73.562,75.156,79.293,84.731,90.622,97.366,99.684,99.769,102.988,101.228,101.485,101.565,97.985,98.833,99.918,99.793,99.806,101.576,101.602,103.295,104.777,102.185,100.057,100.023,99.476,98.308,96.109,97.162,100,101.114,101.331,100.443
"20","13","    Recreational goods and vehicles","DREQRG3",203.641,169.626,134.45,110.509,103.062,106.919,105.803,104.616,107.277,106.848,104.313,105.93,108.131,123.146,123.323,134.212,137.9,141.37,163.182,172.637,179.146,177.569,181.246,174.947,172.724,167.176,161.959,163.788,169.564,174.207,169.191,170.344,169.432,167.575,167.24,165.214,162.937,161.129,162.104,165.285,169.092,169.32,175.342,177.884,180.608,188.61,201.094,208.018,214.002,221.68,231.548,244.415,255.375,261.271,258.144,254.49,250.017,242.083,239.024,237.492,236.86,234.938,231.956,224.83,216.764,212.248,203.327,188.915,173.104,158.493,144.658,135.567,126.318,118.15,110.805,105.521,100,94.23,88.301,84.337
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRG3",1203.671,935.944,674.614,506.477,462.801,494.802,487.162,481.637,492.848,480.594,463.253,469.224,482.19,571.658,572.918,622.27,625.816,636.641,773.193,818.35,856.796,850.292,847.908,786.148,763.197,726.121,692.088,695.081,719.277,733.83,701.399,702.212,690.831,670.293,661.644,659.22,638.567,613.069,604.374,601.586,600.969,601.104,604.812,609.456,608.755,619.686,637.558,645.176,646.735,656.208,672.378,688.035,700.619,695.621,662.394,633.069,599.574,561.317,542.541,521.27,506.697,484.177,460.918,429.457,399.666,378.6,347.508,302.538,259.145,221.208,190.415,170.651,150.441,134.019,120.171,110.262,100,89.703,80.267,72.871
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRG3",43.645,43.574,41.147,37.078,35.936,36.993,36.782,36.077,37.506,38.028,37.034,38.371,38.61,43.909,41.927,48.814,51.13,52.269,56.535,59.139,59.309,58.027,62.714,62.799,62.737,61.889,61.316,62.977,64.12,65.617,64.437,65.054,65.605,66.163,66.411,63.787,63.794,65.535,67.965,71.677,74.762,75.008,74.82,73.42,74.353,77.082,81.85,84.485,86.505,88.766,92.622,98.636,104.237,107.224,108.464,108.484,106.854,105.905,107.518,111.327,113.597,117.72,122.279,123.042,121.82,123.736,122.88,121.628,120.624,118.308,112.343,108.289,105.984,103.229,102.38,101.139,100,98.738,97.31,99.57
"23","16","      Sports and recreational vehicles (79)","DWHLRG3",20.771,20.784,19.759,17.664,16.688,16.851,16.552,15.841,16.395,16.929,16.591,17.118,17.43,19.533,17.93,20.482,21.153,21.914,24.273,25.136,25.437,24.764,26.8,27.23,27.141,26.865,26.116,26.711,27.365,28.149,27.538,28.169,28.067,28.347,28.718,28.915,29.015,29.465,30.204,31.264,32.539,31.4,35.285,36.554,38.196,42.514,46.888,49.22,52.305,55.52,59.286,64.879,68.961,71.7,72.608,75.118,77.255,77.23,77.612,80.088,82.5,84.524,86.238,88.052,88.982,91.061,93.608,94.397,93.745,93.933,96.106,97.905,99.298,98.823,98.046,98.412,100,102.351,101.542,102.617
"24","17","      Recreational books (part of 90)","DRBKRG3",8.857,8.549,8.147,7.822,7.419,7.347,7.348,7.418,7.536,7.655,7.725,7.699,7.796,7.822,8.409,8.644,8.975,9.303,10.055,10.998,11.726,11.893,12.176,12.952,13.52,13.661,13.921,14.108,15.122,16.086,16.348,16.435,16.561,16.671,16.907,16.459,16.801,17.359,17.844,18.766,19.961,21.079,22.34,23.435,24.122,24.585,29.176,32.99,36.068,39.405,42.556,46.752,51.654,57.51,61.721,62.974,67.52,70.586,72.069,74.354,77.067,81.388,84.145,86.211,88.429,90.129,91.672,95.038,96.15,98.803,97.053,96.937,98.055,100.986,100.187,100.393,100,99.363,100.203,101.888
"25","18","      Musical instruments (part of 80)","DMSCRG3",78.974,60.464,42.567,31.273,28.354,30.553,30.07,29.797,30.492,29.483,28.322,28.643,29.497,35.276,35.632,38.46,38.453,38.86,47.918,51.016,53.843,53.515,52.998,48.723,47.159,44.636,42.354,42.474,44.039,44.896,42.751,43.699,44.441,45.2,45.78,45.529,45.182,45.09,46.055,48.616,52.167,54.558,57.108,58.017,58.384,61.024,65.644,67.231,68.033,70.993,74.606,80.345,85.96,90.444,91.378,91.754,91.39,91.735,93.187,97.57,100.881,101.944,102.062,103.325,104.215,105.089,103.489,104.554,103.43,102.982,101.594,101.456,102.416,102.323,101.384,100.128,100,99.888,97.287,98.491
"26","19","    Other durable goods","DODGRG3",21.033,20.652,19.719,17.727,17.774,18.449,18.095,18.479,18.649,18.037,18.187,18.724,20.373,23.499,24.679,27.554,28.645,28.633,30.256,30.594,30.444,30.006,31.848,31.774,31.92,31.262,30.869,31.192,31.397,31.436,31.584,31.671,31.605,31.472,31.637,32.448,32.282,32.273,33.04,33.767,35.439,36.36,37.358,38.566,39.825,42.889,46.149,48.398,50.52,53.325,57.724,69.53,73.356,74.063,76.452,78.084,78.936,80.801,86.302,91.937,96.212,102.276,106.062,108.862,109.7,111.452,113.307,112.631,111.051,109.02,106.275,104.869,105.203,103.257,101.604,101.383,100,101.938,106.078,111.534
"27","20","      Jewelry and watches (part of 119)","DJRYRG3",32.339,32.084,31.957,29.968,29.993,29.043,27.896,29.624,28.798,26.925,27.844,29.548,33.53,40.893,42.021,47.813,48.843,47.284,50.39,48.801,48.52,47.064,50.364,50.039,50.511,48.903,47.455,47.775,47.018,46.423,46.439,46.423,46.397,46.424,46.692,49.563,48.179,45.925,46.482,47.924,50.639,51.513,52.494,53.785,55.686,58.894,63.122,65.193,66.124,69.637,75.981,94.959,98.815,96.499,98.059,98.726,97.735,98.649,106.05,111.796,116.004,122.933,126.769,128.288,127.354,128.162,126.729,122.188,117.435,113.12,110.43,107.323,107.408,104.513,100.926,101.463,100,102.469,107.626,115.088
"28","21","      Therapeutic appliances and equipment (42)","DTAERG3",17.371,17.242,17.104,16.261,15.567,15.516,15.486,15.434,15.523,15.558,15.702,15.813,15.906,16.064,16.567,16.921,17.121,17.495,18.262,19.05,19.625,19.801,20.713,20.971,20.782,20.636,20.944,21.294,22.11,22.421,22.716,23.041,23.32,23.359,23.357,23.491,23.749,24.18,24.831,25.363,26.123,27.224,28.39,29.078,29.778,31.445,34.02,36.096,38.282,40.509,42.793,46.491,50.138,53.521,56.141,58.283,60.614,63.001,66.068,68.888,71.713,74.912,77.935,81.043,83.338,84.94,87.507,88.887,90.146,91.645,92.523,94.473,96.314,96.524,96.813,98.395,100,102.321,103.969,104.94
"29","22","      Educational books (96)","DEBKRG3",4.707,4.544,4.33,4.157,3.944,3.905,3.906,3.943,4.006,4.068,4.106,4.092,4.144,4.157,4.469,4.595,4.77,4.945,5.344,5.845,6.232,6.321,6.471,6.884,7.186,7.261,7.399,7.498,8.038,8.55,8.689,8.731,8.725,8.547,8.537,8.54,8.959,9.401,9.707,10.208,10.776,11.185,11.933,12.719,13.134,13.591,14.482,15.459,16.439,17.743,18.875,20.456,22.953,25.926,28.562,30.878,33.483,36.225,38.935,41.663,44.351,47.963,50.451,53.228,55.087,57.078,59.265,62.632,65.68,68.767,71.565,76.548,80.936,86.817,91.743,95.991,100,106.342,115.048,123.073
"30","23","      Luggage and similar personal items (part of 119)","DLUGRG3",21.249,20.496,18.057,14.623,15.359,17.869,17.608,17.563,18.559,18.049,17.585,17.775,19.559,23.315,25.68,29.933,32.685,33.956,35.46,37.37,35.959,35.571,37.933,37.181,37.124,36.449,36.116,36.533,36.797,36.84,36.953,36.915,36.356,35.916,36.294,35.988,36.209,38.243,39.79,39.76,41.722,42.785,43.606,45.399,46.948,53.298,57.666,61.54,67.074,70.632,76.91,96.298,100.24,97.926,99.53,100.164,99.182,100.07,107.139,121.899,130.623,142.856,148.288,152.196,151.963,155.783,166.532,166.931,159.875,149.053,132.155,125.026,123.268,115.443,115.18,108.889,100,102.038,112.211,127.154
"31","24","      Telephone and facsimile equipment (67)","DTCERG3",12.088,11.411,9.947,8.491,8.728,9.914,9.978,10.356,11.477,11.307,11.576,11.885,13.31,15.552,18.23,21.63,24.045,23.771,23.599,23.565,22.782,23.332,25.672,25.365,25.676,25.262,25.303,26.377,27.026,27.643,28.215,28.38,28.363,27.785,27.751,27.76,29.131,30.553,31.562,33.182,35.02,36.321,38.797,41.366,42.685,44.219,47.101,50.276,53.324,57.989,61.563,66.671,74.709,84.312,92.764,100.309,108.739,117.656,126.565,135.48,144.207,155.903,164.016,173.034,179.109,185.579,192.749,203.667,213.545,207.334,183.743,165.966,148.96,135.743,120.94,108.562,100,90.991,84.373,80.873
"32","25","  Nondurable goods","DNDGRG3",12.225,11.592,9.912,8.501,8.459,9.356,9.662,9.695,10.032,9.541,9.392,9.472,10.268,11.95,13.37,14.148,14.769,16.002,18.069,19.178,18.557,18.605,20.198,20.416,20.345,20.396,20.263,20.554,21.157,21.671,21.704,21.963,22.055,22.175,22.396,22.695,23.104,23.844,24.279,25.154,26.242,27.422,28.196,29.1,31.447,36.202,39,40.27,42.577,45.299,50.181,56.338,60.689,62.066,63.131,64.443,65.65,64.811,67.015,69.146,72.576,76.736,78.977,80.124,80.776,81.206,82.055,83.913,84.789,84.16,86.259,90.006,90.952,90.878,92.791,96.12,100,103.215,106.25,112.188
"33","26","    Food and beverages purchased for off-premises consumption","DFXARG3",11.474,10.737,8.672,7.093,7.132,8.017,8.641,8.655,8.92,8.245,8.164,8.212,9.078,10.856,12.502,12.836,13.227,14.601,16.814,17.647,16.939,17.024,18.814,19.271,18.897,18.886,18.541,18.677,19.242,20.045,19.838,20.004,20.105,20.257,20.47,20.883,21.305,22.204,22.232,22.905,23.932,25.267,25.843,27.075,30.502,35.14,37.782,38.484,40.751,44.65,49.035,53.158,56.946,58.444,59.115,60.891,61.554,63.003,64.99,66.929,70.458,73.9,76.22,76.805,77.88,79.184,80.9,83.368,84.956,86.024,87.433,89.486,92.116,93.528,95.296,98.267,100,101.709,105.623,111.926
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRG3",10.136,9.52,7.739,6.369,6.438,7.328,7.876,7.876,8.15,7.465,7.397,7.396,8.15,9.794,11.3,11.369,11.711,13.149,15.478,16.437,15.82,16.026,17.806,18.149,17.806,17.806,17.464,17.601,18.149,18.971,18.755,18.911,19.011,19.158,19.374,19.817,20.231,21.146,21.149,21.805,22.838,24.188,24.721,25.99,29.687,34.694,37.352,38.029,40.522,44.592,49.065,53.236,57.09,58.466,58.927,60.794,61.368,62.767,64.867,66.862,70.602,74.119,75.582,75.958,77.157,78.656,80.577,83.107,84.733,85.903,87.253,89.21,91.944,93.297,95.097,98.171,100,101.778,105.941,112.795
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRG3",NA,NA,NA,NA,16.495,15.69,15.351,15.163,15.316,15.465,15.616,15.997,16.991,19.362,21.503,24.207,24.703,25.626,26.366,25.992,25.645,25.037,25.963,27.944,27.484,28.092,27.936,28.205,28.819,28.979,29.242,29.703,29.804,29.944,30.236,30.411,30.592,30.939,31.387,32.096,32.797,33.904,34.874,35.458,36.044,38.273,40.895,41.771,42.422,44.702,48.203,52.223,55.693,57.992,60.167,61.311,62.693,64.489,65.639,67.19,69.248,72.136,80.551,82.767,82.851,82.749,82.969,85.003,86.298,86.749,88.581,91.244,93.197,95.027,96.556,98.854,100,101.326,103.806,107.058
"36","29","      Food produced and consumed on farms (6)","DFFDRG3",18.713,16.931,12.88,9.964,9.558,11.017,14.094,14.661,15.147,12.799,12.07,12.394,15.552,19.684,23.979,24.384,25.76,27.623,31.997,33.051,28.678,27.135,31.995,31.755,30.541,28.026,27.054,26.571,27.543,29.407,27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031,35.5,36.018,42.379,55.551,49.559,50.654,52.031,52.232,66.86,80.285,77.229,76.814,79.116,74.956,78.029,73.086,74.162,80.998,82.353,86.744,93.556,89.791,86.328,88.605,81.795,81.638,82.265,87.233,77.667,74.289,78.381,83.59,74.231,84.025,97.109,100,96.42,104.647,103.178
"37","30","    Clothing and footwear","DCLORG3",27.522,26.269,22.95,18.85,19.211,22.272,21.88,21.906,23.058,22.496,21.973,22.222,24.402,29.235,32.671,36.897,40.113,43.437,46.9,49.782,47.637,47.257,51.386,50.517,50.398,50.523,50.386,51.343,52.107,52.33,52.777,53.484,53.793,53.954,54.428,54.941,55.419,56.951,59.298,62.649,66.038,68.494,70.93,72.217,74.614,80.15,83.744,86.43,90.119,91.822,93.619,97.052,100.257,101.726,103.118,103.653,105.877,105.441,108.479,111.969,113.607,117.311,119.543,120.433,119.79,117.774,115.023,113.638,113.673,111.604,110.127,108.816,106.659,103.851,101.27,100.926,100,99.573,98.638,97.823
"38","31","      Garments","DGARRG3",29.005,27.757,24.331,19.888,20.545,24.193,23.796,23.785,25.054,24.35,23.732,23.989,26.544,31.986,36.155,41.58,45.667,49.253,52.345,55.372,52.702,52.031,56.183,55.309,55.232,55.142,54.834,55.555,56.228,56.353,56.449,56.97,57.252,57.293,57.783,58.387,58.793,60.063,62.439,66.011,69.475,71.842,74.438,75.627,78.004,84.046,87.868,90.57,94.392,95.915,96.769,99.544,102.464,103.81,105.491,106.002,108.592,108.194,111.455,114.801,116.057,120.062,122.305,122.846,122.005,119.755,116.589,115.044,115.244,113.012,111.834,110.557,108.034,104.85,102.029,101.646,100,99.352,98.472,97.196
"39","32","        Women's and girls' clothing (10)","DWGCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.08,66.375,66.492,66.389,66.814,67.375,67.648,68.941,71.879,76.022,79.506,81.93,85.331,86.81,89.262,95.349,99.015,101.621,105.288,106.886,107.252,109.021,110.505,110.568,111.715,111.656,114.307,112.907,117.111,120.375,120.592,125.421,127.155,127.579,126.639,123.959,119.384,116.458,116.319,113.29,111.275,109.707,107.652,104.528,102.049,101.949,100,99.937,99.563,97.041
"40","33","        Men's and boys' clothing (11)","DMBCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.084,47.922,48.497,48.761,49.379,50.086,50.689,52.029,53.897,56.981,60.647,63.124,64.918,65.763,68.152,73.489,76.69,79.409,83.089,84.359,85.724,89.289,93.494,96.316,98.316,99.525,101.779,102.218,104.513,107.941,110.654,113.184,116.213,116.941,116.519,114.768,113.317,113.38,114.304,113.284,112.893,111.733,108.277,104.875,101.628,101.171,100,98.337,96.833,97.409
