"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","8","    Imputations (177+178+179)","A2087C1",2.6,1.9,1.4,0.7,0.5,0.7,0.9,1.2,1.5,1.5,2,2.4,3,1.6,1.1,1.1,1.6,7.1,10.8,14.3,13.7,19.2,17.8,17.9,18.6,20.5,24,22.9,21.6,21.1,26.2,24.9,24.2,25.6,27.7,29.3,30.5,29.4,29.9,33.7,36.1,34.9,45.8,56.9,63.3,57.9,59.7,78.6,104,120.2,123.3,109.4,109.3,102.6,143.3,167.5,172.7,200.1,218.4,230.5,232.2,221.1,212.7,245.6,268.8,303.4,295.2,328.5,352.2,397.3,428.9,453.5,481.9,517.4,581.4,683.7,773.9,767.3,645.3,508.5
"17","9","    Excluding imputations (7-8)","A2088C1",13.9,8.9,4.5,0.6,1.3,3,5.8,7.4,10.7,5.6,7.3,11.2,15.2,8.8,5,6.7,9.2,24,24.1,33.8,23.2,34.8,42.4,36.2,37.9,33.4,45,49.1,48.8,43.4,52.3,54,54,62.6,66.1,72.7,87.7,101.9,98.7,107.4,120.4,117.5,132.4,150.7,181.2,191.6,170.5,213.3,257.4,317.8,369.6,369.8,463.1,414.6,421,568.1,563.5,546.5,566.6,591.1,642.7,639.9,590.2,619.2,684.5,793.9,848.8,911.7,1036.4,1113.5,1212.6,1318.7,1180,1129.6,1148.3,1284.8,1398.4,1559.9,1643.2,1627.6
"18","10","  Net exports of goods and services","A019RC1",0.4,0.3,0,0,0.1,0.3,-0.2,-0.1,0.1,1,0.8,1.5,1,-0.3,-2.2,-2,-0.8,7.2,10.8,5.5,5.2,0.7,2.5,1.2,-0.7,0.4,0.5,2.4,4.1,0.5,0.4,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4,4,0.6,-3.4,4.1,-0.8,16,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20,-51.7,-102.7,-115.2,-132.5,-145,-110.1,-87.9,-77.6,-27,-32.8,-64.4,-92.7,-90.7,-96.3,-101.4,-161.8,-262.1,-382.1,-371,-427.2,-504.1,-618.7,-722.7,-769.3,-713.8,-707.8
"19","11","    Imputations (14-17)","W510RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,5,4.6,4.2,3.8,3.1,3.9,5,6.2,6.2,6.1,5.3,5.8,6.2,5.4,5,4.6,2.9,2.4,1.6,1.2,3.2,2,2.6,6.9
"20","12","    Excluding imputations (10-11)","W511RC1",0.3,0.3,0,0,0,0.3,-0.2,-0.2,0,0.9,0.8,1.4,0.9,-0.4,-2.4,-2.2,-0.9,7,10.7,5.4,5.1,0.6,2.3,1,-0.9,0.2,0.3,2.1,3.8,0.3,0.1,3.9,4.6,3.8,4.6,6.6,5.2,3.4,3.1,0.9,0.9,3.3,0,-4.1,3.2,-2.2,14.3,-3.3,-25,-27.7,-25.6,-16.5,-16.6,-22.9,-55.7,-106.8,-120.2,-137.2,-149.2,-113.9,-90.9,-81.5,-31.9,-39.1,-70.6,-98.9,-96,-102.1,-107.6,-167.2,-267,-386.6,-373.9,-429.6,-505.7,-619.9,-725.9,-771.3,-716.4,-714.7
"21","13","    Exports of goods and services","B020RC1",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,4,4.9,5.5,4.4,4,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24,20.6,22.7,27,27.6,29.1,31.1,35,37.1,40.9,43.5,47.9,51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.3,363.8,443.9,503.1,552.1,596.6,635,655.6,720.7,811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1655.9,1831.1
"22","14","      Imputations (150+158+165)","W512RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,5,5.3,5.1,4.6,4.1,4.9,6.2,7.6,7.7,8,7.2,7.6,8.1,8.1,8,8.3,7.8,8,7.6,8.2,7.6,9,9.8,12.2
"23","15","      Excluding imputations (13-14)","W513RC1",5.9,4.4,2.9,1.9,2,2.5,2.7,3,4,3.8,3.9,4.8,5.4,4.3,3.9,4.7,6.6,14,18.6,15.4,14.4,12.2,16.9,16.2,15.1,15.6,17.5,21.1,23.8,20.3,22.4,26.8,27.3,28.7,30.8,34.7,36.7,40.5,43,47.5,51.4,59.1,62.3,70.1,94.3,125.3,137,147.8,157.5,184.6,227,277.3,301.1,280.3,272.9,298.3,297,315,358.7,439.3,499.1,547.2,590.4,627.4,647.9,712.7,804.7,860.1,946.3,945.8,981.3,1085,1019.9,995.1,1033.4,1172,1297.4,1462.1,1646.1,1818.9
"24","16","    Imports of goods and services","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2369.7,2538.9
"25","17","      Imputations (166)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7,7.2,5.3
"26","18","      Excluding imputations (16-17)","W515RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,590,628.7,622.3,666.5,718.5,811.6,900.7,962.2,1053.9,1113,1248.4,1471.6,1393.8,1424.6,1539.1,1791.9,2023.4,2233.4,2362.5,2533.6
"27","19","  Government consumption expenditures and gross investment","A822RC1",9.4,10,9.9,8.7,8.7,10.5,10.9,13.1,12.8,13.8,14.8,15,26.5,62.7,94.8,105.3,93,39.6,36.3,40.5,46.6,46.7,68.1,83.6,90.5,86.1,86.4,91.4,99.7,106,110,111.5,119.5,130.1,136.4,143.2,151.4,171.6,192.5,209.3,221.4,233.7,246.4,263.4,281.7,317.9,357.7,383,414.1,453.6,500.7,566.1,627.5,680.4,733.4,796.9,878.9,949.3,999.4,1038.9,1100.6,1181.7,1236.1,1273.5,1294.8,1329.8,1374,1421,1474.4,1526.1,1631.3,1731,1846.4,1983.3,2112.6,2232.8,2369.9,2518.4,2676.5,2883.2
"28","20","    Imputations (148+153+161+175+181)","A1684C1",1,1,0.9,0.9,0.9,1.1,1.1,1.3,1.3,1.4,1.5,1.4,1.9,3.4,6.2,9,10.4,12.4,11.3,9.9,8.9,7.8,8.4,9.3,10.2,11,11.5,12.5,13.3,13.6,14.2,14.7,15.3,16.1,17.1,17.7,18.4,19.3,20.9,22.5,24.8,26.9,28.6,29.7,30.9,35,39.5,41.7,44.3,46.6,50,55.8,62.6,70.1,75.2,79.3,89.2,102.9,104.1,110.3,115.5,123.4,131.4,137.7,144.3,147.8,152.8,155.5,159.1,163.6,171.9,180.6,184.5,192.2,199.3,210.4,226.5,242.6,260.8,279
"29","21","    Excluding imputations (19-20)","A2089C1",8.3,9,8.9,7.8,7.7,9.4,9.8,11.8,11.5,12.4,13.3,13.6,24.6,59.3,88.6,96.3,82.6,27.2,25.1,30.6,37.7,38.9,59.7,74.3,80.3,75.2,74.9,78.9,86.4,92.3,95.8,96.8,104.2,114,119.2,125.5,133.1,152.3,171.6,186.8,196.6,206.8,217.8,233.7,250.7,283,318.3,341.3,369.8,407,450.7,510.3,564.9,610.3,658.2,717.6,789.7,846.5,895.3,928.6,985.1,1058.3,1104.7,1135.8,1150.5,1182,1221.2,1265.4,1315.3,1362.4,1459.4,1550.4,1661.9,1791.1,1913.3,2022.4,2143.4,2275.8,2415.7,2604.2
"30","22","    Government consumption expenditures","A955RC1",6.5,6.8,6.9,6.6,6.7,7.8,8.1,9,9,9.6,10.3,10.7,15.7,34.2,55.8,68.7,68.9,36.1,31.7,33.5,36.9,36.9,50.4,61.3,66.5,63.6,65.5,68.5,75.3,79.5,80.7,83.3,88.2,96.8,102.7,108.6,115.9,131.8,149.5,165.7,178.2,190.1,204.7,220.8,234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.1,610.5,657.6,720.1,776.1,815.1,852.8,902.9,966,1015.8,1050.4,1075.4,1108.9,1141.4,1176.7,1222.1,1263.2,1343.9,1426.6,1524.4,1639.9,1756.8,1860.4,1977.9,2093.3,2214.9,2386.9
"31","23","      Imputations (148+153+161+175+181-182)","A2097C1",-1.8,-2.2,-2.1,-1.3,-1,-1.6,-1.6,-2.9,-2.5,-2.8,-3,-2.9,-8.9,-25.1,-32.8,-27.6,-13.7,8.9,6.7,2.9,-0.8,-2,-9.2,-13,-13.8,-11.5,-9.4,-10.4,-11.1,-12.8,-15.1,-13.5,-16.1,-17.2,-16.5,-16.9,-17.2,-20.5,-22.1,-21.1,-18.5,-16.7,-13.2,-13,-15.9,-21.3,-23.6,-24.7,-23.2,-30.5,-38.5,-44.4,-44.3,-42.2,-47.7,-60.1,-69.6,-70.3,-80.2,-75.8,-82.2,-92.4,-88.9,-85.4,-75.2,-73.2,-79.8,-88.7,-93.2,-99.2,-115.4,-123.7,-137.5,-151.2,-156.5,-162,-165.5,-182.4,-200.7,-217.4
"32","24","      Excluding imputations (22-23)","A2098C1",8.3,9,8.9,7.8,7.7,9.4,9.8,11.8,11.5,12.4,13.3,13.6,24.6,59.3,88.6,96.3,82.6,27.2,25.1,30.6,37.7,38.9,59.7,74.3,80.3,75.2,74.9,78.9,86.4,92.3,95.8,96.8,104.2,114,119.2,125.5,133.1,152.3,171.6,186.8,196.6,206.8,217.8,233.7,250.7,283,318.3,341.3,369.8,407,450.7,510.3,564.9,610.3,658.2,717.6,789.7,846.5,895.3,928.6,985.1,1058.3,1104.7,1135.8,1150.5,1182,1221.2,1265.4,1315.3,1362.4,1459.4,1550.4,1661.9,1791.1,1913.3,2022.4,2143.4,2275.8,2415.7,2604.2
"33","25","    Gross government investment","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3
"34","26","      Imputations (182)","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3
"35","27","      Excluding imputations (25-26)","A1680C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","Gross domestic income","A261RC1",102.8,91.6,75.7,58.4,55.9,65.6,73.5,82.6,91.9,85.4,90.9,100.3,126.4,162.8,200.4,217.2,219.2,221.1,241.8,269.6,265.4,292.4,335.7,355.6,375.4,377.2,412.3,439.2,461.1,466.2,506.1,527.4,545.3,585.3,618.6,662.9,717.6,781.5,827.9,905.5,981.6,1031.4,1115.8,1228.9,1374.3,1489.6,1621.4,1801.1,2008.9,2267.7,2515.3,2742.9,3090.3,3248.4,3484.9,3899.4,4175.2,4392.3,4703.5,5110,5426,5716.3,5912.4,6232.3,6531.6,6976.4,7362.1,7812.5,8346.3,8878.8,9424.6,10085.5,10389.5,10664.4,11125.5,11875.6,12718,13619.5,14092.5,14340.4
"38","29","    Imputations (133-134+141+147+148+150+152+153 +158+160+161+165-166+167+170+179+181)","A2023C1",9.6,9.1,8.1,7,6.4,6.4,6.8,7.1,7.5,7.5,7.6,7.8,9,11.9,16.4,20.4,22.7,24.1,23.6,24.1,24,24.5,27.9,31,34.3,37,39.6,43,46.3,49.1,52.7,56.4,59.9,64,67.6,71.9,76.6,82,88.1,95.3,105.7,116.2,126.6,137.5,149.7,168.7,192.9,211.1,234.1,265.1,295.6,333.7,375.7,418,471.9,506.1,558.7,608.3,647.1,697,742.7,804.5,864.5,934.2,988.4,1041,1073.3,1119.4,1172.9,1242.2,1342.6,1445.9,1530.3,1598,1656.1,1764.8,1887.7,1980.3,2096.5,2224.8
"39","30","    Excluding imputations (28-29)","W516RC1",93.2,82.6,67.6,51.5,49.5,59.2,66.7,75.5,84.4,77.9,83.2,92.6,117.4,150.9,184,196.8,196.5,197,218.3,245.5,241.4,267.9,307.8,324.5,341,340.2,372.7,396.2,414.8,417.1,453.5,471,485.5,521.3,551,591,641.1,699.5,739.8,810.2,875.8,915.2,989.2,1091.4,1224.6,1320.9,1428.5,1590,1774.8,2002.6,2219.7,2409.1,2714.6,2830.4,3013,3393.2,3616.5,3784,4056.4,4413,4683.3,4911.8,5047.9,5298.1,5543.1,5935.4,6288.8,6693.2,7173.4,7636.6,8082,8639.6,8859.2,9066.4,9469.5,10110.8,10830.3,11639.2,11995.9,12115.6
"40","31","  Compensation of employees, paid","A4002C1",51.1,46.9,39.8,31.1,29.6,34.3,37.4,42.9,48,45,48.1,52.2,64.8,85.3,109.6,121.3,123.3,119.7,130,141.9,141.8,155.2,181.4,196.2,210.2,209.2,225.8,244.6,257.6,259.6,281.1,296.6,305.4,327.2,345.3,370.7,399.5,442.6,475.1,524.3,577.6,617.2,658.9,725.1,811.2,890.3,949.2,1059.4,1180.6,1335.6,1498.4,1647.7,1819.8,1919.8,2035.7,2245.7,2412,2559.4,2737,2955,3132.6,3328.6,3441.1,3634.4,3800.4,4002.5,4199.3,4395.5,4670,5027.8,5359.2,5793.5,5984.5,6116.4,6388.3,6699.6,7071.5,7483.6,7863.6,8044.8
"41","32","     Imputations (170)","A2099C1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,1.1,1.9,2.7,3.1,3.1,2.1,2.4,2.5,2.4,3.3,3.6,3.7,3.8,3.9,4.3,4.8,5.3,5.8,6.2,6.8,7.3,7.8,8.6,9.5,10.6,11.6,13.6,15.2,17.6,19.3,21.9,24.1,27.8,33.5,40.7,47.6,55.6,63.2,72.7,84.3,95.8,105,113.8,124.2,132,141,158,175.1,194.6,210.9,235.7,255.1,266.9,264,267.3,271.5,292.5,324.4,361.6,392.2,418.6,457.5,492.5,529.1,543.1,563.9,577.3
