"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"11","4","  Nonfinancial","B1441C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,13.2,14,14.7,16,17,18.9,21.2,21.5,22.4,24.5,25,24.6,25.5,28.1,33.2,40.9,36.1,45,51.4,56,64.6,72.6,79,85.7,92.2,97.5,99.4,103.7,106.1,127.9,147.9,158.5,162.8,174.9,185.3,198.8,223.4,250.2,278.3,299.2,284.4,313.4,299.3,305.1,349.2,430.8,471.1,550.7,556.2,518.2
"12","5","Rest of the world \2\","B3375C1",0.6,0.9,1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4,3.6,3.9,4.2,4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80,83.2,92.7,86.3,87.4,92.8,101,135.6,363.3,186,233.3,258.7
"13","6","     Dividends received","A2220C1",8,9.2,10.5,10.7,12.9,12.8,12.7,13.1,13.6,15.3,16.4,16.9,16.8,18.1,19.2,20.4,22.2,23.5,26.4,29.3,29.2,30.4,33.2,34.8,35.3,37.5,40.9,49,59.7,51.9,64.5,74.7,81.3,97,107.5,115.8,124.9,128.3,137.6,143.4,156.8,162.2,205.7,236.3,247.5,253.7,266.5,282.1,328,361.5,425.5,481.1,513.1,516.7,566.7,539.3,563.9,626.9,792,1098.3,1048.5,1170.1,1097.6
"14","7","Domestic corporate business \2\","A2221C1",2.3,2.7,3.2,3.2,3.7,3.8,3.8,3.8,4,4.5,4.7,4.8,4.9,5.1,5.4,6,6.6,6.7,7.6,8.3,7.7,8.1,8.8,9.6,9.9,11.1,12.5,17.4,24.6,16.9,22.7,26.8,27,35.6,38.6,36.7,39.7,37.5,39.4,36.7,40.6,38.7,62.6,62.1,59.7,55.8,61.9,60.3,70.8,81.3,99.1,117.1,120.7,128.4,131.9,121.9,119.9,133.1,168.3,438.5,235.6,295.3,295.6
"15","8","  Financial","B1443C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.7,1.8,1.9,2.3,2.1,2.7,3.4,2.9,3,3.3,3.6,3.6,3.7,4,4.9,5.2,5.4,5.5,6.3,6.9,8.7,10.7,10.2,8.1,8.6,9.2,9.3,9.8,8.8,16.8,19.5,19.5,18.6,21.2,24.2,30,35.9,46.4,54.8,62.4,68.7,69.9,68,69.6,77.3,102,138.3,156,204.2,186.7
"16","9","  Nonfinancial","B1444C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.4,3.6,4.1,4.4,4.5,4.9,5,4.8,5.2,5.5,6,6.3,7.3,8.4,12.5,19.4,11.5,17.2,20.5,20,27,28,26.5,31.6,28.9,30.3,27.4,30.8,29.9,45.8,42.5,40.3,37.3,40.7,36.1,40.8,45.4,52.7,62.3,58.2,59.7,62,53.9,50.3,55.8,66.3,300.2,79.6,91,108.9
"17","10","Rest of the world \1\","B3376C1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.9,46.5,44.8,68.9,73.3,102.5,108.1,107.1,112.1
"18","11","Government","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2.1,2.3,2.6,2.7,3.5
"19","12","Persons \3\","B1447C1",5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,77.6,83.3,90.6,97.4,106,112.2,129.7,157.8,168.8,180.3,187.6,202.3,235,253.4,296.4,329.7,349.8,335.9,376.5,369.5,397.7,423.1,548.3,555,702.2,765.1,686.4
"20","13","  Publicly administered government employee retirement plans","B1452C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.3,0.3,0.5,0.8,0.8,0.8,1.3,1.7,1.9,1.8,2.2,2.8,3.2,3.7,4.3,5,5.7,7.1,8.8,10.4,11.5,12.8,13.4,14,15.1,18,20.6,21.5,22.2,21.5,19.6,16.6,16.5,20.9,25.1,28.3,30.5,31.1
"21","14","  Other","B1453C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,24.1,24.1,24.7,26.5,29.4,32.4,32.1,38.1,43.5,49.1,55.5,62.2,71.5,74.8,80.1,86.9,93.1,101.1,106.4,122.6,149,158.4,168.8,174.8,189,221,238.3,278.4,309.1,328.3,313.7,355,349.9,381.1,406.6,527.4,529.9,673.9,734.6,655.4
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Net corporate dividend payments (16+17)","B056RC1",5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.6,106.2,112.3,129.9,158,169.1,180.7,188,202.9,235.7,254.4,297.7,331.2,351.5,337.4,377.9,370.9,399.3,424.9,550.3,557.3,704.8,767.8,689.9
"24","16","    Domestic corporate business (2-7)","A2223C1",5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.4,160,182.3,197.6,221.6,257.3,284,309.2,295.7,348.5,330.1,351.2,392.8,488,296.5,626.9,641.6,543.3
"25","17","    Rest of the world (5-10)","A2224C1",0.4,0.7,0.8,0.8,1,1.2,1.1,1.1,1.4,1.6,1.8,1.9,1.7,1.9,2,2.4,2.7,2.7,3.2,3.3,2.8,3.2,3.4,3.8,3.9,4.7,4.9,6.8,9.8,6.6,9,11.1,11.2,16,16.7,15.4,16.4,12.1,12.3,11.8,17.9,16.7,31.9,31.6,25,24.3,28,20.6,38.2,32.8,40.4,47.2,42.3,41.7,29.4,40.9,48.1,32.1,62.3,260.9,77.9,126.2,146.6
"26","18","  Personal dividend income (15-11)","B703RC1",5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,77.6,83.3,90.6,97.4,106,112.2,129.7,157.8,168.8,180.3,187.6,202.3,235,253.4,296.4,329.7,349.8,335.9,376.5,369.5,397.7,423.1,548.3,555,702.2,765.1,686.4
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Remitted earnings to foreign residents from their unincorporated U.S. affiliates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","treated as dividends paid by domestic corporate business (line 2) and as dividends received",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by the rest of the world (line 10).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. Earnings of U.S. residents remitted by their unincorporated foreign affiliates are treated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","as dividends paid by the rest of the world (line 5) and as dividends received by domestic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","corporate business (line 7).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3. Dividends received by insured private pension plans are included in dividends received by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","financial corporate business (line 8), and in imputed interest received by persons,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","table 7.11 (line 61).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
