"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"15","6","Gross fixed investment","K160061",67.9,72.8,78.5,78.3,85,91,94.1,91.3,103.9,103.9,106.5,115.3,121.8,131.9,144.5,157.5,161.7,175.8,190.5,194,211.7,241.1,275.5,291.7,299.6,341.2,406.5,489.2,563.4,585.8,649.5,644.5,692.9,809.6,873.2,913.2,942.1,989.2,1044.9,1062.2,1023.6,1071.6,1152,1254.4,1345.5,1453.7,1570,1709.9,1868.1,2022,2022.2,1978.4,2069.1,2276,2514.3,2692.3,2730.7,2667.1
"16","7","  Private \2\","K160071",50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,412.2,474.9,485.6,542.6,532.1,570.1,670.2,714.4,739.9,757.8,803.1,847.3,846.4,803.3,848.5,932.5,1033.5,1112.9,1209.4,1317.7,1447.1,1580.7,1717.7,1700.2,1634.9,1713.3,1903.6,2122.3,2267.2,2269.1,2170.8
"17","8","    Nonresidential","K160081",31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.6,1061.1,1154.9,1268.7,1227.8,1125.4,1135.7,1223,1347.3,1505.3,1640.2,1693.6
"18","9","      Structures","K160091",12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,535.4,609.5
"19","10","      Equipment and software","K160101",19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1104.8,1084.1
"20","11","    Residential","K160111",18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,302.1,302.9,334.1,349.1,385.9,425.8,449,472.4,509.5,577.6,680.6,775,761.9,629,477.2
"21","12","  Government \3\","K160121",17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3
"22","13","    Structures","K160131",9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6,160.2,175.8,189.6,205.8,221.6,229.4,236.4,246.5,267.5,298.8,315.5
"23","14","    Equipment and software","K160141",8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,14.7,16.5,15.1,14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.4,96.2,97.9,99.8,96.8,102.7,111.6,114.7,116.2,121.8,126.4,135.9,145.5,157.6,162.8,180.8
"24","15","Less: Stock reconciliation adjustments","K160151",-0.1,-0.2,0,0.2,0.2,0.2,0.3,-0.2,0.4,0.5,0.4,0.2,0.3,0.2,0.2,0.6,0.8,1,1,1.8,2.3,1.9,1.6,1.5,1.7,2.6,3.5,4.9,4.5,5.9,5.6,7.9,8.3,7.2,6.1,12.4,8.1,8.8,10.7,7.5,10.3,14.8,8,9.1,3.1,-6.8,7.8,9.1,11.6,13.2,18.2,18.8,20.3,18.1,18.8,20.1,21.3,21.7
"25","16","  Private \4\","K160161",-0.2,-0.2,-0.2,0.2,0.4,0.3,0.2,-0.3,0.4,0.4,0.3,0.1,0.3,0.2,0.2,0.7,0.7,0.9,0.9,1.6,1.9,1.6,1.4,1.3,1.2,1.9,2.6,3.6,3.1,4.3,5.1,7.7,7.6,6.5,5,11.5,7.2,7.9,10.2,6.9,9.9,13.5,6.7,8.5,4.6,0.4,7.8,9.1,11.6,13.2,18,18.4,19.6,17.8,18.1,19.6,20.3,21.7
"26","17","  Government \5\","K160171",0.1,0,0.2,0,-0.3,-0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.7,0.9,1.3,1.4,1.5,0.5,0.3,0.8,0.7,1,0.9,1,0.9,0.6,0.6,0.4,1.3,1.4,0.6,-1.5,-7.2,0,0,0,0,0.2,0.3,0.7,0.3,0.7,0.6,1,0
"27","18","Less: Consumption of fixed capital","K160181",33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"28","19","  Private","K160191",25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5,81.7,89.5,97.7,109.5,127.8,150.4,165.5,186.1,212,244.5,282.3,323.2,356.4,369.5,387.5,412.8,439.1,464.5,497.1,529.6,560.4,585.4,599.9,626.4,661,704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1469.6,1536.2
"29","20","    Nonresidential","K160201",20.2,21.4,22.6,23.6,24.8,27.7,30.3,32.2,33.4,33.6,34.4,35.5,37,38.9,41.8,45.6,49.9,54.8,60.4,66.6,72.9,79.3,88.5,103.7,123.3,135.9,152.6,173,199.6,231,266.4,295.6,306.3,320.7,342.6,364.1,384.2,411.5,438.7,465,486.8,498.1,518.9,547.3,583.8,616.6,655.9,700.3,756.3,825,878.4,911.7,939.8,983.6,1051.1,1129.3,1196.5,1264.5
"30","21","      Structures","K160211",6.2,6.6,6.9,7,7.4,8.3,8.9,9.1,9.4,9.7,9.9,10.2,10.5,11,11.6,12.5,13.4,14.5,16,17.5,19.4,21.4,24.6,29.1,33.7,36.2,40.4,45.8,52.9,59.9,71.7,81.2,81.1,83.8,88.6,91.8,93.2,99.8,105.7,111.3,115.6,116.1,120.1,124.9,131.5,136.5,144.6,154.7,161.4,170.9,184.8,196.8,205.5,220.4,248.9,282.8,301.7,324.8
"31","22","      Equipment and software","K160221",14,14.9,15.7,16.6,17.5,19.4,21.3,23.1,24,24,24.5,25.3,26.4,27.9,30.1,33.1,36.6,40.2,44.5,49.1,53.5,57.9,63.9,74.6,89.6,99.7,112.1,127.2,146.7,171.1,194.7,214.4,225.2,236.9,254,272.2,291,311.7,333.1,353.8,371.2,382.1,398.9,422.4,452.3,480.1,511.3,545.6,594.9,654.2,693.6,715,734.3,763.1,802.2,846.5,894.7,939.7
"32","23","    Residential","K160231",5,5.3,5.6,5.8,6.2,6.7,7,7.2,7.6,7.9,8.3,8.6,8.9,9.4,10.1,10.8,11.6,12.7,14.1,15.1,16.6,18.4,21,24.1,27.1,29.6,33.6,39,44.9,51.3,56.9,60.8,63.2,66.7,70.2,75,80.3,85.7,90.9,95.4,98.7,101.8,107.5,113.6,120.9,126.8,133.8,141.3,150.9,161.8,173.2,182.3,196.1,217.3,239.7,262.1,273.1,271.7
"33","24","  Government","K160241",8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,290.4,310.9
"34","25","    Structures","K160251",3.5,3.7,3.9,3.9,4.1,4.6,5,5.2,5.4,5.5,5.7,6.1,6.4,6.8,7.2,7.8,8.4,9.2,10.2,11.4,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.5,40.3,41.2,42.7,45,47.6,49.9,52.1,54.8,56.8,58.4,61.2,64.2,68.2,71.5,75.8,79.5,83.9,89.5,94.6,99.4,104,112.4,125.5,137.7,152,163.5
"35","26","    Equipment and software","K160261",5.1,5.8,6.6,7.2,7.6,8.2,8.6,8.7,9.1,9.5,9.8,10.4,11,11.3,11.7,12.1,13,13.8,14.5,15.2,15.5,15.6,15.7,16.8,18.5,20.4,22.1,24.3,26.2,29.3,33.4,37.6,41.2,45.7,49.9,54.5,59,64,69.7,76,82.1,86,90.5,94,96.7,97.7,98.3,99.5,103.3,108,110,111.6,114.2,119.5,125,131.6,138.4,147.4
"36","27","Change in private inventories \6\","K160271",9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,19.4,-34.8
"37",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","Less: Other changes in volume of assets","K160281",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.5,1.6,1.1,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,9,0,2.2,18,4.1,20.4,2.4,0,-0.1,0,3.7,0.1,19.6,0.3,1.2,29.8,110.9,0,-0.1,17.6
"39","29","  Private fixed assets \7\","K160291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,7.9,0,1.5,17.9,4.1,18.4,2.4,0,0,0,3.5,0,17.5,0,0,29.4,99.2,0,0,17.4
"40","30","    Nonresidential fixed assets","K160301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.8,0.4,0,0,0.1,0.2,0,0.7,0.4,0,0.5,0.5,0,0.1,0,0,0,3.9,0,0,5.3,2,7.3,0.8,0,0,0,1.9,0,15.1,0,0,12.3,27.3,0,0,6.8
"41","31","      Structures","K160311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.6,0.4,0,0,0.1,0.2,0,0.7,0.4,0,0.5,0.5,0,0.1,0,0,0,2.3,0,0,2.2,0.6,5.3,0.6,0,0,0,1.3,0,7.9,0,0,6.6,16.6,0,0,5
"42","32","      Equipment and software","K160321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,1.6,0,0,3.1,1.5,1.9,0.2,0,0,0,0.5,0,7.2,0,0,5.7,10.7,0,0,1.7
"43","33","    Residential fixed assets","K160331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.8,0.2,0.1,0,0.1,0.1,0,0.4,0.1,0,0.4,0.6,0,1.6,0,0,0,4.1,0,1.5,12.6,2.1,11.1,1.6,0,0,0,1.6,0,2.4,0,0,17.2,71.8,0,0,10.6
"44","34","  Government fixed assets \8\","K160341",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,2,0,0,-0.1,0,0.2,0.1,2.1,0.3,1.2,0.3,11.7,0,-0.1,0.2
"45","35","    General government","K160351",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.7,0,0,1.7,0,0,-0.1,0,0.1,0.1,0.6,0.3,1.2,0.3,8.1,0,0,0.2
"46","36","    Government enterprises","K160361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0,1.5,0,0,0,3.6,0,0,0
"47",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","37","Nominal holding gains or losses (-)","K160371",52.7,5.8,-7.4,9.6,48.7,61.8,22,7.8,3.4,-1.2,7.1,14.6,-4.6,41.7,48.6,81.2,77.9,136.6,137.7,157.7,218.5,226.8,386,672.3,287.6,343.9,511.4,662.6,899,976.9,711.1,368.9,146.1,277.5,238.5,386.3,433.6,527.2,479.1,389.4,78.2,427.9,547.4,716.8,503.4,440.1,513.8,546.3,811.1,901.7,837,814.2,1037.8,2591,2761.9,2150.3,919.3,-606
"49","38","  Neutral holding gains or losses (-) \9\","K160381",40.8,15.7,13.3,8.2,32.1,50.2,42.1,20.7,20,24.1,15.5,23.7,24.2,30.4,41.5,67.9,78.7,113.7,145.5,153.3,156.9,154.1,305.5,522.9,354.2,327.7,426.3,525.6,808.6,942.6,741.9,497.7,377.2,399.2,345.3,334.1,463.5,577.5,579.9,746,418.5,414.8,365.4,453.4,402.5,405.2,215,217.9,577.8,660,331.3,731.9,703,1237.1,1452.7,1125.7,1501.6,578.2
"50","39","    Fixed assets","K160391",35.9,13.8,11.9,7.4,29,45.7,38.4,18.9,18.3,22.1,14.2,21.7,22.2,27.9,38.2,62.1,72.1,104.4,133.9,141.3,145,142.7,282.2,479.9,327.1,303,394.5,487.1,748.2,873.4,686.3,463.6,352.6,371.2,321.6,312.3,434.9,541.5,542.8,699.3,392.8,390.1,344,426.5,379,381.6,202.4,205.6,546.5,624.4,314.4,697.1,670.1,1178.6,1385.6,1074.9,1436.2,552.6
"51","40","      Private","K160401",27.4,10.4,9,5.6,21.9,34.5,28.8,14.2,13.6,16.5,10.6,16.1,16.3,20.5,28.2,45.9,53.2,77.1,99.3,104.4,106.5,105.6,209.7,356.6,239.8,224.6,296.2,372.3,577.6,675.4,530,357.8,272.1,287.7,250.1,243.1,338.7,422.4,424.3,546.6,306.3,303.5,267.9,332.9,296.3,298.4,158.8,161.4,431.1,493.5,248.8,552.4,531.7,939.3,1101.9,856.6,1136.7,434
"52","41","      Government","K160411",8.5,3.4,3,1.8,7.2,11.2,9.7,4.8,4.7,5.6,3.7,5.6,5.8,7.4,10,16.2,18.9,27.3,34.5,36.9,38.5,37.1,72.5,123.3,87.3,78.4,98.3,114.9,170.6,198.1,156.3,105.8,80.5,83.5,71.5,69.2,96.2,119.2,118.5,152.8,86.5,86.6,76.1,93.6,82.8,83.3,43.6,44.1,115.4,130.8,65.6,144.7,138.4,239.3,283.7,218.2,299.5,118.6
"53","42","    Private inventories \1\","K160421",5,1.8,1.4,0.8,3.1,4.5,3.6,1.7,1.7,2,1.3,2,2,2.5,3.4,5.8,6.6,9.3,11.6,11.9,11.9,11.4,23.3,43,27.1,24.7,31.8,38.4,60.4,69.2,55.6,34.1,24.6,28,23.8,21.8,28.7,35.9,37.1,46.7,25.7,24.8,21.4,27,23.4,23.6,12.6,12.4,31.4,35.7,16.9,34.9,32.9,58.6,67,50.8,65.4,25.6
"54","43","  Real holding gains or losses (-)","K160431",11.8,-9.9,-20.7,1.4,16.6,11.6,-20.1,-12.9,-16.6,-25.3,-8.4,-9.1,-28.8,11.3,7,13.3,-0.7,22.9,-7.8,4.4,61.6,72.7,80.4,149.5,-66.6,16.2,85.2,137.1,90.5,34.3,-30.8,-128.8,-231.1,-121.7,-106.9,52.2,-30,-50.3,-100.8,-356.6,-340.3,13.1,182,263.3,100.9,34.9,298.8,328.4,233.3,241.6,505.8,82.2,334.8,1353.9,1309.2,1024.7,-582.3,-1184.2
"55","44","    Fixed assets","K160441",13.7,3.9,-15.6,2.2,23.7,11.3,-18.8,-15.2,-12.5,-23.4,-7.5,-8.6,-23.7,14.1,4.7,16.5,6.6,27.9,-6.4,10.1,63.8,63.3,51.7,152.4,-48.6,26.9,96.9,112.3,72.2,25.7,14.5,-104.4,-235.2,-100.4,-68.3,98.4,-40.4,-71.4,-80.5,-333.1,-290.2,28.8,190.8,275.5,92.8,61.8,339.7,390.2,234.4,240.6,561.1,87.3,327.6,1341.6,1303.1,1022.9,-651,-1138.7
"56","45","      Private","K160451",5.2,3.2,-5.2,-0.1,18.8,-0.2,-12.4,-15.9,-3.2,-18.1,-7.5,-12.4,-22.4,15.8,1.2,11.7,2.8,24.6,-18.2,-16.1,50.2,37.1,24,58.4,-3.3,51.8,127.2,112.4,47.3,-11,-4.5,-94.6,-173.3,-65.5,-46.7,70.5,-22.8,-40.1,-64.9,-268.3,-245.2,29.9,152.7,198.6,34.2,50.9,238.3,317.3,149.4,162.6,483.1,89.6,341.2,971.5,1038,557,-857.9,-697.6
"57","46","      Government","K160461",8.5,0.8,-10.4,2.3,5,11.5,-6.4,0.7,-9.3,-5.3,0,3.8,-1.3,-1.7,3.5,4.8,3.9,3.3,11.8,26.2,13.6,26.2,27.7,94,-45.4,-24.9,-30.3,-0.1,24.9,36.7,19.1,-9.8,-61.9,-34.9,-21.5,28,-17.6,-31.3,-15.7,-64.8,-45,-1.1,38.1,76.9,58.6,10.9,101.4,72.9,85,77.9,78,-2.4,-13.6,370.1,265.1,465.9,206.9,-441
"58","47","    Private inventories \1\","K160471",-1.9,-13.8,-5.2,-0.8,-7.2,0.4,-1.3,2.3,-4.1,-1.9,-0.9,-0.5,-5.1,-2.8,2.3,-3.2,-7.4,-5.1,-1.4,-5.7,-2.2,9.4,28.7,-2.9,-18,-10.8,-11.7,24.7,18.3,8.6,-45.3,-24.4,4.1,-21.3,-38.6,-46.2,10.4,21.1,-20.2,-23.5,-50.1,-15.7,-8.9,-12.2,8,-26.9,-40.9,-61.8,-1.1,1.1,-55.3,-5.1,7.3,12.4,6.1,1.8,68.7,-45.5
"59",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
