"","Table 7#20# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"23","16","Equals: BEA-derived nonprofit institution income and receipts from sales","W442RC1",440.2,464,485.2,507.5,543.9,585.9,616.3,661.7,715.4,742.8,785.5,817,888.3,955.2,999.1,"1,037.6","1,077.4"
"24","17","    Gap, IRS less BEA nonprofit institution income and receipts from sales","W443RC1",20,29.6,38,51.6,51.5,51.8,60.4,65.1,74.6,121.8,136.2,150.3,142.9,156.7,222.1,".....","....."
"25","18","Expenses of nonprofit institutions, IRS \1\","W444RC1",633.6,673.6,700.7,764.2,809.7,862,882.7,933.5,1039.5,1116.3,1202.7,1284.5,1362.8,1455.3,1575.7,".....","....."
"26","19","Less: Nonprofit institution expenses recorded by the IRS not included in gross output of nonprofit institutions and current transfer payments","W445RC1",223.5,235.5,243.9,273.3,326,282.3,292.7,301.2,345.4,353.9,369.9,418,444.8,478.1,516.7,".....","....."
"27","20","      Adjustment for different accounting periods","W446RC1",7.5,3.6,4.4,1.2,5.5,3.8,8.8,8.6,15.6,14.6,6,7.9,13,21.4,11.9,".....","....."
"28","21","      Nonresident institutions","W447RC1",9.4,9.4,11.6,10.3,10.1,10.5,11.3,10.1,11,10.5,7.6,10.6,10,8.3,12.8,".....","....."
"29","22","      Government hospitals and schools \2\","W448RC1",49.1,58,64.4,67.1,79.2,51.4,69.8,64.8,76.4,82,97.3,119.6,130.4,136.1,155.2,".....","....."
"30","23","      Other out-of-scope activity \3\","W449RC1",136.1,141.5,141.3,170.9,202.9,186.3,164.5,174.4,191.9,192.4,203.7,222.5,233.3,250.4,266.4,".....","....."
"31","24","      Transfer payments to nonprofit institutions \4\","W426RC1",25.4,26.9,26.3,28,32.5,34.3,42.2,47.5,55.1,59.3,60.3,62.6,63.9,68.8,78.5,"90.0","92.7"
"32","25","      Capital consumption adjustment \9\","W429RC1",-3.9,-4,-4.1,-4.2,-4.1,-4,-3.9,-4.1,-4.5,-4.9,-5,-5.2,-5.8,-6.9,-8.1,".....","....."
"33","26","Plus: Gross output of nonprofit institutions and current transfer payments not recorded by the IRS","W451RC1",25.8,28,31.7,32.6,34.3,33.9,36.7,37.6,40.5,43.8,43.5,44.1,47,50.3,51.8,".....","....."
"34","27","      Religious organizations \5\","W453RC1",26.3,27.8,31.3,32.2,34.1,34.4,37.8,39.3,43.3,47.1,47.8,48.9,52.5,55.3,57.3,".....","....."
"35","28","      Other organizations","W454RC1",1.2,1.2,1.3,1.4,1.4,1.8,1.7,1.8,1.7,1.6,1.7,2,2,2,2.1,".....","....."
"36","29","      Adjustment for other accounting differences \10\","W452RC1",-1.7,-1,-0.9,-1,-1.2,-2.2,-2.8,-3.4,-4.5,-4.8,-6,-6.7,-7.5,-7,-7.6,".....","....."
"37","30","Equals: IRS-derived gross output of nonprofit institutions and current transfer payments","W455RC1",435.8,466.1,488.5,523.5,518,613.7,626.8,669.9,734.6,806.2,876.3,910.6,965.1,1027.5,1110.8,".....","....."
"38","31","Gross output of nonprofit institutions, NIPAs \11\","DNPERC1",400.8,423.3,444.7,463.4,488.8,509.3,550.5,585.3,632,688,749.7,785.8,827.7,874.6,933.6,"987.5","1,049.4"
"39","32","Plus: Nonprofit institution current transfer payments, NIPAs \12\","W419RC1",23.2,26.2,28.6,28.7,33.5,36.7,43.7,48.8,51.7,58.7,61.9,65.6,69.8,76.6,79.7,"82.2","87.5"
"40","33","Equals: BEA-derived gross output of nonprofit institutions and current transfer payments","W456RC1",424,449.5,473.3,492.1,522.3,546,594.2,634,683.6,746.7,811.6,851.4,897.5,951.2,1013.3,"1,069.7","1,136.9"
"41","34","    Gap, IRS less BEA gross output of nonprofit institutions and current transfer payments","W457RC1",11.9,16.5,15.3,31.5,-4.3,67.7,32.6,35.8,51,59.5,64.7,59.2,67.6,76.3,97.5,".....","....."
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. For 1996, includes an adjustment to account for some classes of tax-exempt institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","not included in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Primarily reflects adjustment for differences between IRS and BEA in sector definitions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and in treatment of scholarships and fellowships.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Includes activities of nonprofit institutions serving business, unrelated sales, secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","sales, and sales to business, government, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","households through the support of other nonprofit institutions, plus their payments to affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Reflects partial coverage in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","6. Consists of imputed interest received for depositor and insurance services, net insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","settlements, and capital consumption adjustment for rental income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","7. Estimates of income and outlays of nonprofit institutions serving households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","are provided in table 2.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","8. Equals table 2.9, line 68.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","9. IRS-reported capital consumption allowance less BEA-estimated consumption of fixed capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","for structures and for equipment and software of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","10. Consists primarily of financial services furnished without payment for depositor and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","insurance services, less expenditures for computer software investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","11. Equals table 2.9, line 58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","12. Equals table 2.9, line 78.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
