"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","            Services","W107RC1",1,1,1,0.9,1.1,1.4,1.4,1.6,1.5,1.8,1.9,1.8,2.7,3.2,3.3,5.3,5.9,4.9,3,3.9,4.5,4.9,8.3,9.9,9.1,8.5,10.7,11.7,14.6,15.2,13.3,14.9,16.8,18.4,20.4,21.4,22.9,26.8,31,32.8,35.1,37.1,41.5,44.4,46.3,52.9,59.7,62.4,68.1,74.7,82.9,94.4,105.5,123,135.9,148.1,170.4,193.5,203.3,214.3,222.7,240.1,255.9,269.6,276.3,294.6,305.5,316.1,335,349.7,379.1,400.8,445,494.7,531,562.8,590.8,627,658,716.3
"17","10","        Less: Own-account investment \4\","W108RC1",0.1,0.1,0.1,0.1,0.6,1.3,1.3,2.6,2,2.7,2.4,2,1.7,1.2,0.4,0.2,0.3,0.1,0.2,0.3,0.3,0.4,0.6,0.8,0.8,0.8,0.7,0.8,0.9,1,1.3,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.7,1.8,1.9,2.1,2.2,2.3,2.4,2.7,2.8,2.8,2.7,3.1,3.9,4.5,4.8,5.2,5.7,6.6,7.5,8.1,8.8,9.6,11.2,12.3,13.3,13.7,13.9,14.2,14.8,15,16.2,16.7,17.3,18.1,20.8,21.5,21.6,22.6,23.8,25.3,27,29
"18","11","              Sales to other sectors","W109RC1",0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.8,1.1,1.8,2.7,4.4,4.7,1.7,1.6,1.6,1.9,2.3,2,2.1,2.3,3.2,2.9,3.5,3.9,3.9,4.1,4.4,5,5.6,6.2,7.1,8.3,9,10.3,11.5,12.7,14.4,16.9,19.2,21.4,22.9,25.5,28.9,32.9,38,42.5,48.6,54.3,60.1,64.5,70,75.9,82.1,90,99.8,110.1,122.7,136.3,149.5,162.3,171.5,180.3,188.3,197.8,206.5,224.8,241.3,252.2,265.6,281.5,297.8,312.7,333.3,356.6
"19","12","Federal consumption expenditures \1\","A957RC1",1.5,1.6,1.5,1.4,1.7,2.4,2.2,4.3,3.9,4.5,4.9,4.9,9.4,27.1,48.2,61,60.7,26.9,20.8,21.2,23.3,22,34.4,44.2,48.3,43.9,43.9,45,49.5,50.9,49.9,49.7,51.6,57.8,60.8,62.8,65.7,75.7,87,95.3,98.3,98.6,101.9,107.6,108.8,117.9,129.5,137.1,150.7,163.3,178.9,207.4,238.3,263.3,286.4,309.9,338.3,358,373.7,381.7,398.5,419,438.3,444.1,441.2,440.7,440.1,446.5,457.5,454.6,473.3,496,530.2,590.5,660.3,721.4,765.8,811,848.8,934.4
"20","13","      Gross output of general government","W110RC1",1.6,1.6,1.6,1.5,2,2.8,2.9,4.9,4.3,4.9,5.3,5.3,10,28,49.6,63,64.5,30.7,21.5,21.6,23.6,22.5,35.2,44.7,48.9,44.6,45.2,45.8,50.7,52.1,51.1,50.8,52.6,58.9,61.9,64,67,77.5,88.2,96.6,99.7,100,103.4,110,111.6,121.3,132.5,140,154.4,167.8,184.5,213.6,244.4,269.4,292.5,316.5,345.2,364.9,381.6,390.5,407.9,429.3,449.6,455.4,452.2,453.7,450.8,457.7,466.6,464.7,481.8,505.8,539.3,599.8,670.1,732,779.6,823.8,861.7,947.7
"21","14","        Value added","W111RC1",1.1,1.1,1.1,1.1,1.4,2,2.1,3.9,3.4,3.9,3.9,4,5.9,12.8,25.7,34.8,38.6,25.4,19,17,17.2,16.8,22.6,26,26.6,26.5,27.5,28.7,29.9,31.1,31.8,33,34.4,36.5,38.4,40.7,42.4,47.2,51.5,56.3,59.9,64,67.7,71.5,73.9,79.6,87.3,93.8,102,109.7,117.6,131.2,147.4,161.2,171.2,192.1,205,212.6,223.3,234.8,246.4,258.8,274.8,282,285.2,285.2,283.6,287.6,290,292.2,300.4,315.1,324.9,351.8,382.9,412,438.7,460.6,485.7,515.2
"22","15","          Compensation of general government employees","B568RC1",0.9,0.9,1,0.9,1.2,1.7,1.8,3.6,3.1,3.6,3.5,3.5,5.1,10.7,21,27.3,30,16.2,10.3,9.6,10.7,11.1,16.6,19.3,19.1,18.3,19,19.6,20.2,21.3,21.7,22.6,23.7,25.2,26.5,28.5,30,34.3,37.9,41.9,44.9,48.3,51.7,55.4,57.4,62,68.4,73.3,79.9,85.8,91.8,102.5,115.1,125.3,132.3,149.4,159,163.1,170.3,178,185.7,193.9,205.9,210.7,210.9,208.9,205.8,209.7,212.1,214.3,220.6,233,242.1,268.4,297.8,323,344.4,360.1,379.5,402
"23","16","          Consumption of general government fixed capital \2\","B995RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,2.1,4.7,7.4,8.7,9.2,8.7,7.5,6.5,5.7,6,6.7,7.5,8.2,8.6,9.1,9.6,9.8,10.1,10.4,10.7,11.3,11.9,12.1,12.4,12.9,13.6,14.4,15.1,15.7,16.1,16.1,16.5,17.5,18.9,20.5,22.1,23.9,25.8,28.7,32.3,35.9,38.9,42.7,46.1,49.5,53,56.8,60.7,64.9,69,71.3,74.2,76.3,77.8,77.9,77.9,78,79.8,82.1,82.8,83.5,85.2,89,94.3,100.5,106.3,113.2
"24","17","        Intermediate goods and services purchased \3\","W113RC1",0.5,0.5,0.4,0.4,0.7,0.8,0.8,1,0.9,1,1.5,1.3,4.1,15.2,23.9,28.2,25.9,5.3,2.5,4.6,6.4,5.7,12.6,18.7,22.3,18.1,17.7,17.1,20.8,21.1,19.3,17.8,18.2,22.4,23.5,23.3,24.6,30.3,36.8,40.3,39.8,35.9,35.7,38.4,37.7,41.7,45.2,46.2,52.4,58.2,66.9,82.3,97,108.2,121.3,124.5,140.2,152.3,158.3,155.8,161.5,170.5,174.8,173.4,167,168.6,167.2,170.1,176.6,172.4,181.4,190.7,214.4,248,287.2,320,340.8,363.2,376,432.5
"25","18","          Durable goods","W114RC1",0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,1.7,7.3,13.2,13.6,13.7,0.6,0.4,0.9,1,1.8,4.5,8.1,9.2,6.9,6.1,6.1,6.7,7.1,5.2,4.5,3.7,4.8,5,4.3,4.6,6.6,6.6,7.8,6.8,6.3,4.8,6,5.7,5.4,6.2,6.1,8.3,10,11.9,13.4,16.8,20.1,25.9,28,30.2,32.8,34.9,34.6,33.3,33.1,32.5,30.1,28.1,24.5,22.5,22.5,22.6,22.6,24,24,24.2,25.5,27.9,31.2,32.3,35.7,39,46.3
"26","19","          Nondurable goods","W115RC1",0.1,0.2,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.7,0.6,1,6,8.5,10.5,7.5,1.1,0.7,1.5,2.9,1.4,2.4,3.3,6.6,5.5,4.1,2.5,3,2.8,5,3,2.7,4.4,3.8,4,4.3,5.1,8.5,10.4,10.6,7.4,6.5,7.1,6.2,7.8,7.9,8,9,9.7,11.4,17.4,23,20.6,21.9,16.8,19.5,22.6,17.2,10.5,16.6,16.7,17,16.3,16.8,14.4,14.9,15.5,17.3,17.8,16,20.1,23,24.5,28.3,33.8,40.6,41.8,43.4,53.5
"27","20","          Services","W116RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.6,1.4,1.9,2.1,4.1,4.7,3.5,1.4,2.2,2.5,2.4,5.7,7.4,6.5,5.7,7.5,8.5,11.1,11.1,9,10.3,11.8,13.2,14.7,15,15.6,18.6,21.7,22.1,22.4,22.2,24.3,25.3,25.8,28.6,31.1,32.1,35.2,38.4,43.6,51.5,57.2,67.5,73.5,79.6,90.5,96.8,106.2,110.7,111.6,120.7,125.3,127.1,122.2,129.6,129.8,132.1,136.7,132,141.4,146.6,167.2,198,231.1,254.9,267.9,285.7,293.5,332.7
"28","21","      Less: Own-account investment \4\","W117RC1",0,0,0,0,0.4,0.4,0.7,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.3,0.2,0.2,0,0,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1.2,1.3,1.5,1.7,2,2.3,2.4,2.7,2.9,3.4,3.7,4,4.1,4.2,4,4.1,4,4,4.1,3.8,3.2,4.1,4.5,4.4,4.5,4.6,4.7,4.7,5.2
"29","22","            Sales to other sectors","W118RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,1,1.8,3.6,3.7,0.6,0.4,0.2,0.3,0.6,0.2,0.2,0.3,1,0.5,0.9,0.9,0.7,0.6,0.5,0.6,0.7,0.7,0.8,1.1,0.8,0.8,0.9,0.9,0.9,1.7,2.2,2.8,2.3,2.1,3.1,3.7,4.6,5,4.9,4.6,4.4,4.7,4.6,4.5,5.2,5.8,6,6.6,7.3,7.2,6.8,9,6.5,7.1,5.1,6,4.7,6.6,5,4.9,5.5,6.1,9.1,8.1,8.2,8.1
"30","23","    Defense consumption expenditures \1\","A997RC1",0.9,0.9,0.9,0.9,0.8,0.7,0.9,1,1,1,1.2,1.7,7.1,25.1,46.8,59.1,59.3,23.6,17.2,16.3,16.9,17.1,30.1,38.9,41.2,37.1,36.8,38.7,43.1,44,40.1,41,42.7,46.6,48.3,48.8,50.6,59.9,69.9,77.1,78.1,76.5,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.1,208.7,232.8,253.7,267.9,283.6,293.5,299.4,308,319.7,315.2,307.5,300.8,297,303.2,304.5,300.3,313,321.8,342,380.7,435.2,481.2,514.8,543.9,574.9,634
"31","24","      Gross output of general government","W085RC1",0.9,0.9,0.9,0.9,0.8,0.7,0.9,1,1,1.1,1.2,1.7,7.3,25.7,47.8,60.6,62,26.3,17.2,16.4,16.9,17.2,30.6,39.1,41.4,37.3,37.3,39.1,43.6,44.7,40.5,41.5,43,47,48.7,49.2,51.1,60.8,70.3,77.3,78.4,76.8,77.3,80.1,80.5,86.1,92.1,96.4,105,113.6,124.8,145,168.9,193,210,234.5,255.4,269.7,285.7,295.8,301.8,311.2,323.1,319.2,311.8,306.8,300.7,307.2,308,303.5,316,324.9,345.6,384.9,439.7,485.8,520.2,549.6,581,639.3
"32","25","        Value added","W086RC1",0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.4,4.1,11.9,24.7,34,37.6,22.8,16,13.8,13.7,13.1,18.9,22.2,22.9,23,23.7,24.6,25.5,26.1,26.7,27.4,28.3,30,31.1,32.7,33.8,37.8,41.4,45.1,47.9,50.2,52,54.3,55.4,58.8,63.6,67.3,72,77.4,83,92,105.1,116.6,124.1,142.3,152.8,158.9,166.5,172.8,180.7,186.8,197.2,200.2,197.1,194.6,191.5,193.5,192.2,190.4,192.7,198.8,205.2,222.5,243.8,264.2,284.4,298.8,315.6,335.7
"33","26","          Compensation of general government employees","B237RC1",0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,1.1,3.6,10.1,20.3,27,29.3,14.1,7.8,6.9,7.8,8,13.5,16.1,16,15.4,15.8,16.1,16.5,17,17.3,17.7,18.3,19.4,20.1,21.6,22.6,26.3,29.3,32.4,34.7,36.6,38.2,40.5,41.4,44.1,47.9,50.3,53.6,57.5,61.7,68.6,78.8,87.4,92.4,107.5,115.3,118.8,123.5,126.9,131.7,134.5,141.8,143,137.7,133.7,129.8,132.3,131.9,130.8,132.7,138.1,144.8,162,182.1,199.4,215.7,225.6,238.2,252.9
"34","27","          Consumption of general government fixed capital \2\","B432RC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.5,1.7,4.4,7,8.2,8.8,8.2,6.9,5.9,5.2,5.4,6.1,6.9,7.5,7.9,8.5,9,9.1,9.4,9.8,10,10.6,11,11.1,11.3,11.5,12,12.7,13.2,13.6,13.8,13.8,14,14.7,15.7,17.1,18.4,19.9,21.3,23.5,26.3,29.2,31.7,34.8,37.4,40.2,43,45.9,49,52.3,55.3,57.1,59.4,61,61.7,61.2,60.4,59.7,60,60.7,60.5,60.5,61.7,64.8,68.7,73.2,77.4,82.9
"35","28","        Intermediate goods and services purchased \3\","W087RC1",0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,3.2,13.8,23.2,26.6,24.4,3.5,1.3,2.6,3.2,4.1,11.7,16.9,18.5,14.3,13.6,14.5,18.1,18.6,13.8,14,14.7,17,17.6,16.5,17.3,23,29,32.3,30.5,26.6,25.3,25.8,25.1,27.3,28.5,29.1,32.9,36.2,41.8,52.9,63.8,76.4,85.9,92.2,102.7,110.8,119.2,123.1,121.1,124.5,125.9,119.1,114.7,112.2,109.2,113.7,115.8,113,123.3,126.2,140.3,162.4,195.9,221.6,235.8,250.9,265.4,303.5
"36","29","          Durable goods","A998RC1",0,0,0,0,0,0,0,0,0,0,0.1,0.1,1.4,7.2,13.1,13.5,13.6,0.5,0.3,0.8,1,1.7,4.4,8,9.1,6.8,6,6.1,6.7,7.1,5.1,4.4,3.6,4.6,4.7,4,4.2,6.2,6.2,7.5,6.5,6.1,4.6,5.7,5.5,5.2,6,5.8,8,9.6,11.3,12.8,16.2,19.6,25.1,27.1,29.3,31.9,33.8,33.5,32,31.6,31,28.4,26.4,22.9,20.9,20.8,20.9,20.9,22.2,22.1,22.3,23.2,25.7,28.8,29.5,32.8,36.1,43.1
"37","30","          Nondurable goods","A725RC1",0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.6,5.2,8.7,9.7,7.3,0.7,0.3,0.7,0.8,0.9,2.3,2.8,4.2,3.2,1.7,1.7,2.2,2.1,1.8,1.9,2.3,2.9,2.7,2.9,3.2,4.7,7.3,8.4,7.6,5.4,4.4,4.7,4.3,5.2,5.1,4.5,4.5,4.9,6.2,10,11.8,11.5,11.3,10.4,10,10.2,10.3,10.6,10.8,11,10.7,9.4,8.5,7.6,6.3,7.6,7.6,7,8.2,10.4,10.3,11.5,13.4,17.1,20.9,22.1,24.1,30.8
"38","31","          Services","A489RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.1,1.4,1.4,3.4,3.6,2.2,0.7,1.1,1.5,1.5,5,6.1,5.1,4.2,5.9,6.7,9.3,9.5,6.9,7.7,8.8,9.6,10.2,9.7,9.9,12.2,15.5,16.4,16.5,15.2,16.3,15.5,15.3,16.9,17.4,18.8,20.4,21.7,24.2,30.2,35.8,45.4,49.5,54.7,63.4,68.7,75.1,79,78.3,81.8,84.3,81.3,79.8,81.7,81.9,85.2,87.3,85.1,92.9,93.6,107.8,127.7,156.8,175.8,185.4,196,205.3,229.6
"39","32","      Less: Own-account investment \4\","W088RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1,1.2,1.2,1.5,1.5,1.6,1.6,1.6,1.5,1.6,1.5,1.5,1.4,1.3,1.1,1.5,2.1,2.1,2.1,2.1,2.1,2.1,2.2
"40","33","            Sales to other sectors","W089RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.9,1.5,2.7,2.7,0,0.1,0,0,0.4,0,0,0,0.3,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.2,0.3,0.4,0.7,0.3,0.2,0.2,0.2,0.1,0.5,0.9,1.4,1,0.4,0.6,0.6,0.6,0.9,1.1,1.3,0.6,0.9,0.8,0.8,1,1.2,1,1.8,1.7,2.4,2.6,4.4,2.1,2.6,2,1.7,1.7,1.9,2,2.2,2.4,2.5,3.3,3.6,4.1,3
"41","34","    Nondefense consumption expenditures \1\","A542RC1",0.7,0.7,0.7,0.6,0.9,1.7,1.3,3.3,2.9,3.4,3.7,3.2,2.3,2,1.5,1.9,1.5,3.3,3.6,4.9,6.4,4.9,4.3,5.3,7.1,6.9,7.1,6.3,6.3,6.8,9.8,8.7,9,11.3,12.4,14,15.1,15.9,17,18.2,20.2,22.1,24.9,28.2,29.4,33.4,38.7,41.4,46.5,50.6,55.1,63.8,71,72.1,77.7,77.1,84.7,90.1,90.1,88.3,99.1,111,118.6,128.9,133.7,139.9,143.2,143.4,153,154.3,160.3,174.2,188.1,209.8,225.1,240.2,251,267.1,273.9,300.4
"42","35","      Gross output of general government","W128RC1",0.7,0.7,0.7,0.6,1.2,2.1,2,3.9,3.3,3.9,4.2,3.6,2.7,2.3,1.7,2.4,2.5,4.4,4.3,5.2,6.6,5.3,4.6,5.7,7.5,7.3,7.9,6.7,7.1,7.4,10.6,9.3,9.6,11.9,13.2,14.8,15.8,16.6,17.9,19.2,21.3,23.2,26.1,29.8,31.2,35.2,40.4,43.6,49.5,54.3,59.7,68.6,75.5,76.4,82.5,82,89.8,95.2,95.9,94.7,106.1,118.1,126.6,136.2,140.4,147,150.1,150.5,158.6,161.2,165.8,180.9,193.7,214.9,230.4,246.2,259.4,274.2,280.6,308.5
