"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"20","11","    Gasoline and other energy goods","DGOERZ2",-0.03,-0.11,-0.31,0.13,0.29,0.28,0.44,0.21,-0.06,0.38,0.35,0.43,-0.72,-0.79,0.02,0.52,1.34,0.24,0.17,0.01,0.24,0.24,0.2,0.12,0.13,0.38,0.21,0.12,0.22,0.12,0.08,-0.03,0.15,0.15,0.23,0.21,0.24,0.11,0.18,0.18,0.16,0.14,0.2,0.22,-0.37,0.11,0.25,0.08,0.07,-0.14,-0.5,-0.08,0.01,0.11,0.12,0.08,0.18,0.06,0.09,0.05,-0.06,-0.03,0.12,0.07,0.04,0.05,0.04,0.05,0.09,0.07,-0.05,0.02,0.04,0.07,0.04,-0.02,-0.08,0.03,-0.18
"21","12","    Other nondurable goods","DONGRZ2",-0.57,-0.11,-0.84,-0.1,0.7,0.36,0.74,0.38,0.08,0.62,0.33,0.8,0.5,0.68,0.4,0.77,-0.05,0.02,0.28,0.49,0.54,0.37,0.37,0.34,-0.03,0.38,0.35,0.29,0.16,0.48,0.38,0.42,0.59,0.39,0.38,0.51,0.66,0.25,0.34,0.23,0.27,0.04,0.38,0.52,-0.03,-0.25,0.32,0.12,0.5,0.41,0.13,0.17,-0.03,0.19,0.4,0.2,0.16,0.27,0.17,0.24,0.19,-0.04,0.15,0.27,0.37,0.3,0.33,0.41,0.41,0.48,0.4,0.26,0.26,0.36,0.28,0.24,0.29,0.23,-0.01
"22","13","Services","DSERRZ2",-0.91,-1.19,-2.92,-1.85,2.3,1.56,2.68,1.98,-0.34,1.72,1.68,2.52,2.23,3.36,2.42,2.37,1.97,0.17,1.02,0.94,1.74,2.3,1.82,1.76,1.49,2.2,2.07,1.52,1.44,2.26,1.8,1.72,2.27,2.04,2.88,2.68,2.4,1.98,2.62,2.19,1.95,1.77,2.97,2.43,0.97,1.94,2.27,2.18,2.47,1.63,0.82,0.98,1.09,2.99,2.26,2.99,1.75,2.34,2.53,1.82,1.8,0.92,2.23,2.03,1.9,1.61,1.87,1.97,2.84,2.64,3.17,1.58,1.24,1.23,1.92,1.96,1.76,1.57,0.46
"23","14","  Household consumption expenditures (for services)","DHCERZ2",-0.99,-1.23,-2.76,-1.66,2.41,1.58,2.66,2.03,-0.42,1.7,1.58,2.51,2.17,3.23,2.31,2.36,1.93,0.28,1,0.93,1.73,2.31,1.68,1.72,1.43,2.17,1.97,1.49,1.37,2.1,1.62,1.68,2.22,1.99,2.7,2.6,2.33,1.9,2.5,2.17,1.86,1.67,2.87,2.42,1,1.93,2.17,2.15,2.38,1.57,0.74,0.84,0.81,2.72,1.99,2.84,1.51,2.2,2.26,1.55,1.42,0.65,1.84,1.86,1.72,1.52,1.74,2.13,2.64,2.48,2.99,1.4,1,1.1,1.93,2.01,1.52,1.47,0.23
"24","15","    Housing and utilities","DHUTRZ2",-0.05,-0.11,-0.34,-0.4,1.03,0.22,0.36,0.33,0.28,0.46,0.58,0.84,0.75,0.51,0.53,0.34,1.08,0.94,0.75,0.83,0.99,1.01,0.92,0.83,0.83,0.86,0.86,0.82,0.81,0.95,0.89,0.84,1.02,0.83,0.86,0.93,0.78,0.76,0.85,0.91,0.64,0.73,0.92,0.79,0.78,0.54,0.49,0.48,0.81,0.61,0.56,0.3,0.12,0.42,0.66,0.7,0.4,0.56,0.62,0.47,0.33,0.41,0.37,0.48,0.67,0.49,0.4,0.42,0.56,0.57,0.54,0.48,0.13,0.22,0.39,0.82,0.39,0.17,0.17
"25","16","    Health care","DHLCRZ2",-0.07,-0.06,-0.18,-0.25,0.09,0.02,0.2,0.07,-0.06,0.16,0.08,0.1,0.13,-0.01,0.19,0.06,0.49,0.14,0.28,0.07,0.16,0.1,0.18,0.17,0.27,0.12,0.23,0.23,0.33,0.34,0.06,0.22,0.45,0.35,0.63,0.27,0.32,0.28,0.49,0.49,0.38,0.53,0.53,0.56,0.27,0.43,0.38,0.43,0.42,0.31,0.27,0.48,0.03,0.33,0.18,0.34,0.35,0.48,0.47,0.14,0.43,0.26,0.43,0.07,0.11,0.3,0.3,0.44,0.46,0.22,0.47,0.68,0.83,0.33,0.47,0.55,0.27,0.39,0.44
"26","17","    Transportation services","DTRSRZ2",-0.37,-0.36,-0.37,0.01,0.18,0.07,0.32,0.14,-0.13,0.21,0.18,0.31,0.27,0.67,0.27,0.24,0.56,-0.07,-0.01,-0.15,-0.09,0.1,0.03,0.07,-0.09,0.09,0.08,0.05,-0.04,0.11,0.09,0.03,0.11,0.12,0.15,0.14,0.16,0.15,0.18,0.19,0.11,0.13,0.18,0.05,0.02,0.04,0.16,0.22,0.08,0.1,-0.19,-0.12,-0.07,0.22,0.35,0.33,0.14,0.13,0.19,0.08,0,-0.16,0.16,0.18,0.31,0.26,0.29,0.28,0.16,0.21,0.18,-0.04,-0.1,0.01,0.08,0.03,-0.01,0.04,-0.16
"27","18","    Recreation services","DRCARZ2",-0.03,-0.06,-0.45,-0.09,0.21,0.13,0.23,0.15,-0.12,0.07,0.17,0.13,0.18,0.17,-0.03,0.14,0.37,-0.13,-0.07,-0.05,0,0.02,0.03,0.02,0.04,0.09,0.09,-0.06,-0.01,0.13,0.1,0.08,0.1,0.08,0.08,0.08,0.12,0.07,0.13,0.12,0.08,0.07,0.11,0.18,0.14,0.12,0.16,0.14,0.11,0.11,0.08,0.19,0.12,0.22,0.17,0.19,0.13,0.13,0.27,0.19,0.13,-0.02,0.21,0.21,0.17,0.26,0.16,0.12,0.13,0.18,0.11,0,0.02,0.11,0.18,0.07,0.12,0.14,0
"28","19","    Food services and accommodations","DFSARZ2",0.08,0.21,-0.1,-0.49,0.64,0.39,0.73,0.74,0.05,0.53,0.36,0.7,0.68,1.45,1.29,1.25,-1.06,-1.06,-0.25,0.08,0.07,0.61,0.34,0.27,-0.02,0.17,0.19,0.08,-0.1,0.13,0.07,0.02,0.22,0.15,0.31,0.43,0.31,-0.06,0.38,0.14,0.22,-0.01,0.48,0.32,-0.06,0.27,0.4,0.18,0.29,0.21,0,0.07,0.05,0.23,0.19,0.09,0.19,0.34,0.39,0.19,0.24,0,0.17,0.15,0.11,0.02,0.04,0.14,0.16,0.15,0.27,-0.01,0.09,0.2,0.18,0.19,0.19,0.07,-0.02
"29","20","    Financial services and insurance","DIFSRZ2",-0.33,-0.25,-0.16,0.28,-0.34,0.31,0.15,0.06,-0.11,0.1,0.01,0.07,-0.1,0.17,0.01,0.09,0.19,0.2,0.13,0.07,0.33,0.33,0.01,0.13,0.23,0.29,0.19,0.11,0.12,0.08,0.16,0.22,-0.01,0.15,0.3,0.29,0.15,0.22,0.24,0.07,0.17,0.18,0.29,0.28,0.12,0.47,0.28,0.32,0.28,0.17,0.07,-0.04,0.41,0.83,0.06,0.67,0.21,0.03,-0.01,0.25,0.15,0.44,0.2,0.6,0.05,0.04,0.28,0.26,0.5,0.67,0.8,-0.06,-0.03,-0.01,0.4,0.24,0.26,0.41,-0.14
"30","21","    Other services","DOTSRZ2",-0.23,-0.61,-1.16,-0.7,0.61,0.45,0.66,0.54,-0.32,0.17,0.2,0.37,0.26,0.26,0.05,0.24,0.29,0.26,0.18,0.08,0.27,0.14,0.16,0.23,0.17,0.54,0.33,0.27,0.26,0.35,0.25,0.26,0.33,0.3,0.37,0.47,0.49,0.49,0.24,0.25,0.27,0.03,0.36,0.23,-0.26,0.06,0.3,0.38,0.4,0.07,-0.04,-0.04,0.15,0.48,0.37,0.52,0.09,0.53,0.32,0.25,0.14,-0.28,0.3,0.16,0.29,0.15,0.26,0.47,0.68,0.48,0.61,0.35,0.05,0.23,0.21,0.1,0.3,0.25,-0.06
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRZ2",0.08,0.04,-0.16,-0.19,-0.12,-0.02,0.02,-0.05,0.07,0.02,0.1,0.01,0.06,0.13,0.11,0.01,0.05,-0.11,0.02,0.01,0.01,-0.02,0.14,0.04,0.06,0.03,0.1,0.03,0.08,0.16,0.17,0.04,0.05,0.05,0.17,0.07,0.06,0.08,0.11,0.03,0.09,0.09,0.11,0.02,-0.03,0.01,0.1,0.03,0.09,0.06,0.08,0.14,0.28,0.27,0.28,0.15,0.24,0.14,0.28,0.27,0.38,0.27,0.39,0.16,0.17,0.1,0.13,-0.15,0.2,0.16,0.18,0.19,0.24,0.13,-0.01,-0.05,0.24,0.1,0.23
"32","23","    Gross output of nonprofit institutions \2\","DNPERZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.2,0.25,0.27,0.38,0.29,0.34,0.32,0.4,0.29,0.28,0.42,0.37,0.18,0.07,0.24,0.35,0.25,0.38,0.2,0.21,0.3,0.32,0.3,0.27,0.28,0.39,0.32,0.45,0.3,0.5,0.33,0.5,0.23,0.2,0.12,0.25,0.15,0.46,0.33,0.36,0.45,0.57,0.16,0.2,0.16,0.3,0.26,0.35
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.16,0.2,0.21,0.21,0.21,0.27,0.23,0.28,0.27,0.19,0.32,0.26,0.16,0.11,0.23,0.25,0.23,0.29,0.14,0.12,0.16,0.04,0.03,-0.01,0.13,0.15,0.18,0.17,0.03,0.12,0.06,0.1,0.07,0.03,0.03,0.12,0.3,0.26,0.16,0.18,0.27,0.33,0.02,0.21,0.21,0.06,0.16,0.12
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  Energy goods and services \4\","DNRGRZ2",0.08,-0.06,-0.33,0.02,0.39,0.39,0.56,0.32,0.02,0.49,0.51,0.52,-0.6,-0.73,0.12,0.62,1.53,0.43,0.34,0.16,0.46,0.44,0.37,0.28,0.33,0.57,0.41,0.27,0.4,0.29,0.21,0.1,0.33,0.28,0.37,0.33,0.37,0.24,0.31,0.31,0.25,0.2,0.32,0.29,-0.34,0.25,0.35,0.22,0.2,-0.12,-0.42,-0.13,0.05,0.21,0.14,0.17,0.15,0.16,0.23,0.11,-0.11,0.05,0.11,0.2,0.08,0.07,0.12,0.03,0.14,0.09,0.02,-0.02,0.09,0.11,0.06,0.04,-0.15,0.08,-0.22
"36","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRZ2",-4.93,-2.97,-7.26,-3.08,4.67,4.49,6.38,2.71,-2.12,4.79,3.73,5.81,-1.66,4.17,1.69,4.28,8.03,1.49,2.12,2.49,5.48,1.01,2.19,3.66,1.2,5.8,1.85,1.73,0.4,4.56,2.4,1.7,4.49,3.69,5,5.15,4.64,2.37,4.74,3,1.65,3.42,5.52,4.93,-0.18,1.74,4.49,3.77,4.27,2.3,-0.07,1.7,1.09,5.19,4.92,4.7,3.68,2.99,3.53,2.59,1.93,0.11,3.34,3.28,3.48,2.59,3.28,3.58,5,5.06,4.87,2.63,2.55,2.53,3.19,3.01,2.79,2.42,-0.03
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
