"","Table 2#5#6 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"87","80","      Other sporting and recreational goods","DORIRX1",60.1,63.8,67.6,74.8,85.6,96,101.8,109.6,116.3,124.5,135.2,146.9,158.2,163.3
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERX1",2.3,2.3,2.5,2.9,3.5,4.1,4.5,4.9,5.1,5.2,5.4,5.7,6,5.4
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRX1",96.9,100.4,103.1,106.1,106.2,106.9,105.6,106.3,107.1,109.4,110.6,113.7,117,116.9
"90","83","      Membership clubs and participant sports centers","DMDFRX1",23.5,24.9,28.6,28.6,28.7,28.5,28,28.6,28.5,29.6,30.5,30.8,31.6,31.6
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRX1",39.1,39.5,37.1,37.4,36.6,36.4,35.2,33,33,33.9,34.9,36.1,37.7,38.1
"92","85","      Admissions to specified spectator amusements","DADMRX1",30.4,32.4,33.2,35.9,36.5,37.4,37.7,39.4,40.2,40.2,39.2,40.6,41.1,40.6
"93","86","        Motion picture theaters","DMOVRX1",8.4,8.7,9.1,9.8,10.1,10.3,10.4,10.8,10.5,10.2,9.1,9.1,8.9,8.7
"94","87","        Live entertainment, excluding sports","DLIGRX1",10.5,10.7,10.9,11.8,12.1,12.4,12.8,13.3,13.5,13.6,13.8,14.4,14.3,14.1
"95","88","        Spectator sports","DSPERX1",11.5,13.1,13.2,14.2,14.2,14.7,14.4,15.3,16.1,16.4,16.3,17.1,17.9,17.8
"96","89","      Museums and libraries","DMUSRX1",3.7,3.6,3.7,4,4.2,4.6,4.7,5.4,5.5,5.7,5.9,6.2,6.5,6.5
"97","90","    Magazines, newspapers, books, and stationery","DNBSRX1",71.5,72.8,75.3,76.6,80.8,84.8,82.5,82,84.8,89.2,93.1,97.5,101.4,101.5
"98","91","    Gambling","DGAMRX1",57.9,62.4,66.3,66.9,73.1,76.6,77.2,80.4,85.9,92.8,95.6,100.6,103.2,103.1
"99","92","    Pets, pet products, and related services","DPETRX1",35.8,37.6,39.7,41.7,43.9,45.8,46.9,48.5,49.8,51.1,53.1,54.8,56.9,55.7
"100","93","    Photographic goods and services","DPHORX1",17.7,17.6,17,17.6,18.1,18.3,17.9,17.7,18.2,18.6,18.7,18.8,20.4,20.9
"101","94","    Package tours \15\","DXHLRX1",7.1,7.6,7.5,8.1,8.9,9.1,8.4,8.1,7.9,8.2,8.5,8,8.2,7.9
"102","95","  Education","DEDURX1",164.6,168.7,173,178,182.4,188.2,191,186.7,185.3,181.5,180.7,181.2,183.8,185.4
"103","96","    Educational books","DEBKRX1",11.5,11.2,11.2,11.4,12,11.8,11.4,11.2,11.1,10.8,10.2,9.6,9.1,8.4
"104","97","    Higher education","DHEDRX1",93.1,95.7,99,102.3,105.5,109.9,113,110.9,111,108.8,108.8,109.3,110.2,112.1
"105","98","    Nursery, elementary, and secondary schools","DNEHRX1",34.2,34.2,33.5,32.7,32.7,32.5,32.6,32,31.8,31.9,31.8,32,32.9,32.8
"106","99","    Commercial and vocational schools \16\","DVEDRX1",25.5,27.4,29.1,31.4,32.1,33.9,34,32.6,31.4,30.1,29.8,30.3,31.6,32.2
"107","100","  Food services and accommodations","DFSARX1",416,418.8,428,439.2,450,470.5,469.9,477.2,493.6,508.8,525.3,541.6,547.7,545.4
"108","101","    Food services","DFSERX1",365.2,365.8,370.9,381.4,390.9,408,411.3,417.3,431,443.1,455.3,469.6,474.7,470.3
"109","102","      Purchased meals and beverages \17\","DPMBRX1",355.4,355.9,361.1,371.5,380.9,397.9,401,406.9,420.3,432.2,443.5,456.6,461.6,458
"110","103","      Food furnished to employees (including military)","DFOORX1",9.8,9.8,9.8,9.9,10,10.1,10.3,10.4,10.7,10.9,11.8,13,13.1,12.3
"111","104","    Accommodations \18\","DACCRX1",50.6,52.9,57,57.7,59.1,62.4,58.6,59.9,62.5,65.6,70,72,72.9,75.1
"112","105","  Financial services and insurance","DIFSRX1",489.4,507.8,525.2,558.6,605.6,665.4,660.7,658.3,657.8,691.8,712.6,735.4,772.3,759.8
"113","106","    Financial services","DFNLRX1",251.8,278,293.9,319.6,360.5,405,399.5,399.3,393.2,414.6,427.2,448.1,485.1,473.8
"114","107","      Financial services furnished without payment","DIMPRX1",179.9,195,199.8,201.7,210,216.9,218.4,214.1,202.3,217.9,220,222.3,241.5,246.3
"115","108","      Financial service charges, fees, and commissions","DOFIRX1",79.8,90.6,100.5,121.3,151.7,187.9,181,185.1,190.9,196.6,207.2,225.7,243.5,227.5
"116","109","    Insurance","DINSRX1",250.8,237.7,237.4,243.4,246.1,259.6,260.8,258.5,264.7,277.2,285.4,287.4,287.3,286
"117","110","      Life insurance \19\","DLIFRX1",88.8,80,80.5,77.3,75,79.7,75.8,66.8,65.2,73.4,76.5,78.7,79,77.5
"118","111","      Net household insurance \20\","DFINRX1",6.2,6.3,5.7,6.5,6.6,6.5,6.5,6,5.5,6.1,6.2,6,6.9,7.3
"119","112","      Net health insurance","DHINRX1",102.5,97.9,96.5,103.5,107.8,116.1,120.7,128.6,137.2,139.7,145.1,145.3,144.2,145.3
"120","113","        Medical care and hospitalization \21\","DMINRX1",78.6,77.1,76.3,83.9,88.3,95.7,98.5,104.9,111.9,113.9,117.8,117.5,118.7,121.2
"121","114","        Income loss \22\","DIINRX1",1.1,1.2,1.4,1.6,1.8,1.9,2,2.2,2.3,2.4,2.6,2.7,2.8,2.9
"122","115","        Workers' compensation \23\","DPWCRX1",22.3,19,18.2,17.8,17.7,18.7,20.2,21.5,23,23.4,24.7,25,22.7,21.4
"123","116","      Net motor vehicle and other transportation insurance \24\","DTINRX1",52.5,52.7,53.8,55.2,56,56.2,57.2,57,57.1,58,57.6,57.4,57.2,55.9
"124","117","  Other goods and services","DOISRX1",432.2,447.3,460.3,479.9,499.8,518.6,527,537.6,555.9,572.3,580.9,591.9,602.5,596.4
"125","118","    Personal care \25\","DPCRRX1",110.7,116.2,121.7,128.3,135.6,142.8,145,149.6,155.8,164.1,169.1,174.7,180.5,184
"126","119","    Personal items \26\","DPEORX1",36.2,38.9,40.6,45.2,51.9,57.3,55.5,59.3,63.3,67.4,72.6,75.5,74,67
"127","120","    Social services and religious activities \27\","DSOCRX1",79.3,81,83.4,88,93.2,98.7,106.2,110.6,114.2,117.7,118.7,121.8,127.4,131.4
"128","121","    Professional and other services","DPRSRX1",127.8,130,132.1,136.1,139.3,140.1,143,142.8,148.4,149.2,149.4,150,152.7,148.8
"129","122","      Legal services","DGALRX1",74.4,76.7,78.4,80.3,82,81.7,83.4,83.7,87.8,89,89.7,91.2,93.9,91
"130","123","      Accounting and other business services \28\","DPRORX1",15.9,16.4,17,18.7,20,21.1,21.9,22.6,23.2,24.3,24.3,24.1,25.3,24.9
"131","124","      Labor organization dues","DUNSRX1",14,13.9,14.1,13.4,12.9,12.4,11.6,11.1,11.2,11,10.7,10.7,10.7,11.2
"132","125","      Professional association dues","DAXSRX1",4.9,4.8,4.9,5.1,5.4,5.6,5.9,6.1,6,5.9,5.8,5.9,6,5.7
"133","126","      Funeral and burial services","DFUNRX1",18.4,18,17.5,18.6,19,19.2,20.1,19.4,20.1,18.9,19,18,16.7,16.1
"134","127","    Tobacco","DTOBRX1",90,91.2,91.5,88.2,82.3,80.3,78.9,76.1,74.7,74.1,71.1,69.9,68.1,65.9
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX1",-26.9,-29.8,-23.6,-10.1,-9.6,-3,3.2,2.1,3.6,2.4,-0.1,3.9,-5.7,-18.3
"136","129","    Foreign travel by U.S. residents","DFTRRX1",72.8,75.9,82.8,93.2,96.3,106.8,101,94.6,91.8,98.6,99.8,104.1,102.7,99
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRX1",101.6,107.8,110.7,107.9,110.3,115,103.4,98.5,94,101.6,104.9,105.1,113.2,121.3
"138","131","    Net expenditures abroad by U.S. residents","DNFRRX1",1.9,2.1,4.2,4.6,4.5,5.2,5.6,6,5.8,5.4,5,4.9,4.8,4.1
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \29\","DNPIRX1",142.3,150.9,140.6,153.9,165,177.8,191.4,209,219.3,218.3,214.1,235.4,244.9,266.6
"140","133","  Gross output of nonprofit institutions \30\","DNPERX1",636.4,653.4,663.8,696.7,721,749,785.3,831.1,844,860.6,874.6,901,924.6,956.7
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \31\","DNPSRX1",497.1,505.4,526.8,546,558.6,573,595.2,622.5,624.5,642.3,660.6,665.8,680,691
"142","135","Residual","A964RX1",-208.3,-180,-151.3,-116.1,-76.5,-47.3,-36.6,-20.7,-12.1,-3.5,0.5,-3.3,-13.8,-23.6
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","7. Consists of dishes, flatware, and non-electric cookware and tableware.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","8. Consists of household supplies; domestic services; moving, storage and freight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","service; and other household service.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","9. Excludes drug preparations and related products dispensed by physicians, hospitals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","and other medical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","10. Consists of offices of physicians, health maintenance organization medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","centers, and freestanding ambulatory surgical and emergency centers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","11. Includes podiatrists, chiropractors, mental health practitioners (except physicians),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","physical, occupational and speech therapists, audiologists, all other health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","practitioners, ambulance services, kidney dialysis centers, and blood and organ bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","12. Consists of nonprofit hospitals, proprietary hospitals, and government hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Consists of primary sales of these hospitals for personal consumption.  Expenses of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","nonprofit hospitals are included in the expenditures of nonprofit institutions serving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","households (NPISHs).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","13. Includes railway transportation, taxicab services, school and employee services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","limousine services, and airport bus fares.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","14. The quantity index for computers can be used to accurately measure the real growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","rate of this component. However, because computers exhibit rapid changes in prices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","relative to other prices in the economy, the chained-dollar estimates should not be used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","to measure the component's relative importance or its contribution to the growth rate of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","more aggregate series.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","15. Consists of tour operators' and travel agents' margins. Purchases of travel and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","accommodations included in tours are accounted for separately in other personal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
