"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"39","30","D       Durable goods industries","KC30DM0",7406,4809,5611,7630,-7645,-3616,-3273,3151,256
"40","31","D       Nondurable goods industries","KC30NM0",2058,-271,3125,-1976,-861,568,-1154,-1078,59
"41","32","D     Work-in-process","KC30W0",3229,7559,1140,-4069,-8275,-355,-836,-270,1564
"42","33","D       Durable goods industries","KC30DW0",1231,8043,-197,-4215,-7409,-892,-810,339,2987
"43","34","D       Nondurable goods industries","KC30NW0",2069,-619,1393,146,-862,539,-34,-571,-1200
"44","35","D     Finished goods","KC30F0",7897,6444,7069,6297,-4573,-2482,-2306,4426,1895
"45","36","D       Durable goods industries","KC30DF0",4881,5095,3113,3842,-3160,-2325,-1494,1492,2131
"46","37","D       Nondurable goods industries","KC30NF0",2960,1242,3972,2455,-1414,-159,-829,2886,-93
"47","38","B Wholesale trade industries","KCWT0",25058,22539,19710,17606,-10727,1317,1227,23328,15243
"48",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","B     Durable goods industries","KCWTD0",16288,16667,13349,11958,-16263,-417,1372,20278,13143
"50","40","B     Nondurable goods industries","KCWTN0",8680,5620,6297,5648,5347,1694,-100,3562,2586
"51",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","B     Merchant wholesale industries","KC42W0",22281,20342,17545,15067,-8396,1846,1490,21154,14031
"53","42","B       Durable goods industries","KC42WD0",14508,14823,11968,10008,-14289,21,1634,18864,12026
"54","43","D         Motor vehicles, parts, and supplies wholesalers","KC42110",1421,444,2320,724,-1684,2849,1526,1017,2662
"55","44","D         Furniture and home furnishings wholesalers","KC42120",179,146,278,423,-494,260,355,228,85
"56","45","D         Lumber and other construction materials wholesalers","KC42130",376,-51,387,448,44,448,800,2274,1060
"57","46","D         Professional and commercial equipment wholesalers","KC42140",4055,1941,3434,889,-1918,1666,1352,4049,2031
"58","47","D           Computers and software wholesalers","K421430",2691,1760,2193,-420,-1106,1069,1980,4146,2512
"59","48","D           Other professional and commercial equipment wholesalers","K4214X0",734,-191,1180,1309,-836,670,-128,841,275
"60","49","D         Metal and mineral (except petroleum) wholesalers","KC42150",797,1417,292,346,-891,-269,-228,3077,-463
"61","50","D         Electrical goods wholesalers","KC42160",774,1921,3266,3477,-4691,-915,-396,2878,1040
"62","51","D         Hardware and plumbing and heating equipment wholesalers","KC42170",115,820,218,913,-593,-27,-127,1068,838
"63","52","D         Machinery, equipment, and supplies wholesalers","KC42180",4543,5666,1099,747,-2921,-2774,-2101,4091,4207
"64","53","D         Miscellaneous durable goods wholesalers","KC42190",1186,2498,434,2041,-1148,-953,739,189,1084
"65","54","B       Nondurable goods industries","KC42WN0",7715,5378,5534,5059,5669,1779,-91,2726,2328
"66","55","D         Paper and paper products wholesalers","KC42210",737,151,46,479,-422,-220,120,614,503
"67","56","D         Drugs and druggists' sundries wholesalers","KC42220",1731,960,3177,4245,6423,825,52,-695,-2070
"68","57","D         Apparel, piece goods, and notions wholesalers","KC42230",1413,14,-789,-35,-111,568,-685,771,1065
"69","58","D         Grocery and related products wholesalers","KC42240",957,-21,2004,449,-1201,1662,-514,173,930
"70","59","D         Farm product raw material wholesalers","KC42250",1112,1908,944,621,349,-806,1214,-1491,1755
"71","60","D         Chemical and allied products wholesalers","KC42260",301,416,155,-399,195,290,-236,-474,-80
"72","61","D         Petroleum amd petroleum products wholesalers","KC42270",103,734,-1432,-479,1345,-503,-266,595,41
"73","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",351,204,353,237,-205,483,123,432,437
"74","63","D         Miscellaneous nondurable goods wholesalers","KC42290",900,961,506,-59,-552,-570,-120,2927,63
"75","64","B     Nonmerchant wholesale industries","KC42N0",2756,2140,2140,2539,-2344,-546,-266,2195,1307
"76","65","D       Durable goods industries","KC42ND0",1786,1847,1382,1950,-1974,-439,-267,1396,1106
"77","66","D       Nondurable goods industries","KC42NN0",927,148,737,589,-364,-106,-8,818,296
"78","67","B Retail trade industries","KC440",14645,17298,27658,21616,-10822,24278,16756,15381,1674
"79","68","D   Motor vehicle and parts dealers","KC4410",5078,2268,13060,12304,-8828,18421,12855,4144,-6008
"80","69","D   Furniture, furnishings, electronics, and appliance stores","KC44230",1014,1928,2118,2101,-593,1775,1522,2030,804
"81","70","D   Building material and garden equipment and supplies dealers","KC4440",1381,2339,2291,1380,-24,1478,1429,4027,2082
"82","71","D   Food and beverage stores","KC4450",359,1246,1845,-153,728,160,-966,498,-25
"83","72","D   Clothing and clothing accessories stores","KC4480",1169,1150,1273,2531,-1067,1596,228,-23,1408
"84","73","D   General merchandise stores","KC4520",171,874,2697,1064,-131,1220,909,3739,2757
"85","74","D     Department stores","KC45210",259,-703,656,-625,-2095,-1557,-817,30,-22
"86","75","D     Other general merchandise stores","KC45290",-90,1595,2051,1689,1945,2738,1694,3636,2705
"87","76","D   Other retail stores","KC44X0",5432,7468,4352,2389,-926,-121,1269,968,257
"88","77","B Other industries","KCOTH0",5414,5868,7346,12396,159,-1359,-251,3484,2987
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business (NIPA table 5.6.6B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
