"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"19","12","P1REVG D       Recreational vehicles","P1REVG3",25.782,26.635,26.383,26.76,27.194,27.654,27.975,28.628,29.462,30.579,32.006,29.832,35.497,37.218,39.31,45.436,50.76,53.237,57.051,60.635,64.522,71.069,75.566,78.558,79.167,82.069,84.304,83.511,83.225,85.731,88.11,90.245,91.748,93.384,93.698,94.722,96.714,96.704,95.567,95.796,98.348,100,101.456,100.686,99.49,99.904,101.769
"20","13","P1TBAG C     Tires, tubes, accessories, and other parts (73)","P1TBAG3",48.124,46.657,45.293,45.391,46.129,46.159,47.911,48.907,50.105,51.944,53.625,56.186,58.254,58.642,57.122,60.981,66.506,71.224,76.026,79.564,87.322,97.055,101.976,104.466,101.506,97.648,97.591,97.351,98.163,99.693,101.77,102.207,103.128,103.768,102.046,101.459,101.797,101.625,101.068,100.194,99.668,100,102.493,104.25,105.206,105.715,108.201
"21","14","P1TATG D       Tires and tubes","P1TATG3",55.768,52.099,49.521,52.065,54.504,54.816,56.057,57.481,59.598,62.949,65.387,67.397,69.323,69.041,65.866,70.42,75.283,79.206,82.039,84.464,91.64,103.129,110.191,112.228,108.473,100.289,100.412,98.796,99.068,100.555,103.449,102.355,103.236,104.513,103.446,103.277,104.697,104.044,102.902,101.276,100.086,100,103.061,104.369,104.276,104.367,107.083
"22","15","P1PAAG D       Accessories and parts","P1PAAG3",40.136,41.493,41.739,38.654,37.447,37.173,39.497,40.021,40.175,40.329,41.187,44.43,46.741,48.041,48.677,51.836,58.25,63.879,70.686,75.338,83.731,91.8,94.705,97.611,95.358,95.46,95.235,96.275,97.595,99.168,100.506,102.337,103.298,103.375,101.098,100.174,99.679,99.865,99.731,99.401,99.36,100,102.074,104.163,105.9,106.724,109.024
"23","16","P1FURG B   Furniture and household equipment","P1FURG3",82.861,83.325,83.149,82.493,82.232,82.064,81.096,80.847,82.044,84.528,86.91,88.509,90.041,91.198,92.847,98.807,107.02,110.886,113.95,118.952,125.399,133.754,141.937,147.097,147.743,147.266,146.257,144.565,144.792,144.64,143.973,143.176,141.812,139.835,137.072,136.108,131.913,125.625,118.446,111.631,104.679,100,94.059,88.688,83.354,79.96,76.97
"24","17","P1FNRG C     Furniture, including mattresses and bedsprings (29)","P1FNRG3",34.371,34.43,34.789,34.959,35.103,35.15,35.366,36.252,37.602,39.538,41.799,43.477,44.823,45.597,47.158,51.174,55.329,57.272,59.442,62.602,66.778,72.369,77.072,80.32,82.319,83.962,86.198,88.123,89.657,91.696,91.362,91.921,91.954,94.213,95.797,98.457,99.564,100.921,100.815,100.618,100.363,100,98.326,96.313,95.029,94.724,93.702
"25","18","P1APPG C     Kitchen and other household appliances (30)","P1APPG3",65.858,64.961,63.635,62.166,60.988,60.307,58.891,57.905,57.951,59.174,60.475,61.968,63.242,63.571,63.635,66.891,74.29,78.414,81.264,85.415,90.067,94.56,100.042,106.18,109.272,109.484,107.073,106.548,107.377,107.575,107.425,106.687,105.596,104.929,105.131,106.334,105.422,105.192,104.716,103.413,101.062,100,99.163,97.968,94.868,91.51,93.87
"26","19","P1MHAG D       Major household appliances","P1MHAG3",63.866,62.992,61.704,60.282,59.14,58.48,57.113,56.152,56.197,57.379,58.64,60.087,61.32,61.639,61.701,64.871,72.029,76.038,78.808,82.83,87.348,91.701,97.017,102.969,105.965,106.164,103.827,103.323,104.024,104.371,104.695,104.265,103.007,102.222,102.891,104.881,104.694,105.058,104.272,102.815,100.786,100,99.689,99.109,96.195,93.029,96.226
"27","20","P1SEAG D       Small electric appliances","P1SEAG3",78.749,77.738,76.179,74.391,72.978,72.161,70.425,69.269,69.325,70.821,72.375,74.17,75.709,76.106,76.185,79.997,88.961,93.835,97.211,102.197,107.725,113.124,119.69,127.036,130.754,131.061,128.16,127.475,129.827,128.127,123.325,120.152,120.229,120.288,117.781,114.488,109.489,105.924,107.218,106.814,102.613,100,96.325,91.973,87.958,83.664,82.087
"28","21","P1CHNG C     China, glassware, tableware, and utensils (31)","P1CHNG3",26.666,27.503,27.844,28.561,29.517,30.061,30.05,30.688,31.584,34.04,35.458,36.574,37.654,39.322,41.562,46.951,54.951,58.44,60.892,65.288,70.668,78.019,85.831,89.424,91.102,91.288,91.667,94.141,96.447,97.178,98.644,100.587,102.911,104.959,104.388,105.774,103.692,102.481,101.82,103.641,101.184,100,97.3,93.846,90.096,89.97,89.49
"29","22","P1RADG C     Video and audio goods, including musical instruments, and computer goods (91)","P1RADG3",422.95,422.393,414.298,400.041,393.417,386.513,371.505,353.314,348.16,348.274,349.14,350.385,353.011,354.539,353.714,361.561,374.117,378.773,379.482,385.835,396.415,403.691,412.226,409.697,389.21,371.463,351.537,327.941,317.305,305.722,297.561,284.817,272.388,253.741,235.92,224.553,205.948,179.097,152.723,129.708,111.513,100,87.28,77.13,68.697,62.901,56.866
"30","23","P1VAMG C       Video and audio goods, including musical instruments (92)","P1VAMG3",178.319,178.084,174.671,168.66,165.867,162.957,156.629,148.959,146.787,146.835,147.2,147.725,148.832,149.476,149.128,152.436,157.73,159.693,159.992,162.677,167.174,170.818,174.895,175.393,171.197,164.868,156.411,149.606,146.238,142.157,139.607,137.088,135.36,133.308,130.967,128.397,124.616,120.322,115.799,110.946,105.251,100,94.876,89.237,83.649,78.218,72.816
"31","24","P1TVVG D         Television receivers, video cassette recorders, and videotapes","P1TVVG3",338.506,340.785,331.247,315.2,307.355,300.413,288.383,273.622,268.277,267.464,267.037,267.358,268.475,266.859,262.945,265.34,272.547,276.041,272.751,272.409,276.126,279.904,282.106,278.484,268.74,254.859,236.719,222.371,210.704,200.377,193.368,186.218,178.137,173.625,168.362,161.907,155.366,146.132,138.956,129.024,114.675,100,86.162,76.378,65.843,57.272,50.686
"32","25","P1TVSG D           Television receivers","P1TVSG3",267.332,269.132,261.599,248.926,242.731,237.248,227.748,216.091,211.87,211.228,210.89,211.144,212.026,210.749,207.659,209.55,215.241,218.001,215.337,215.03,217.971,220.959,222.729,219.849,212.164,201.253,186.898,175.562,167.93,162.899,158.976,155.389,151.755,150.051,145.815,143.375,138.87,130.812,124.441,118.95,109.981,100,89.559,80.197,69.55,59.975,53.232
"33","26","P1OVEG D           Video equipment and media","P1OVEG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.354,377.721,382.785,387.965,390.792,385.891,372.353,352.932,327.913,308.064,287.785,266.091,252.693,238.203,221.189,211.122,204.08,190.071,179.995,168.947,160.563,143.605,121.228,100,81.776,71.49,61.116,53.818,47.636
"34","27","P1AMIG D         Audio equipment, media, and instruments","P1AMIG3",111.085,110,108.91,106.744,105.872,104.56,100.636,95.963,95.141,95.554,96.215,96.78,97.789,99.03,99.714,102.837,106.915,108.221,109.284,112.252,116.313,119.47,123.702,125.593,123.79,120.92,117.152,114.191,115.459,114.848,114.7,114.57,115.972,115.053,114.013,113.149,110.576,108.401,105.027,102.349,100.554,100,99.845,96.917,95.013,92.39,88.408
"35","28","P1AUDG D           Audio equipment","P1AUDG3",147.089,144.5,141.942,137.372,135.273,132.517,125.622,117.378,115.459,115.094,114.352,114.138,113.665,114.2,114.845,117.742,120.14,121.487,121.255,124.34,128.652,131.497,135.696,137.275,134.964,131.471,127.02,123.444,124.756,123.472,122.907,122.641,124.267,123.054,121.751,120.655,117.843,115.209,111.404,106.572,101.811,100,96.226,91.508,86.644,82.259,75.549
"36","29","P1RTDG D           Records, tapes, and disks","P1RTDG3",82.226,82.38,82.48,82.566,82.76,84.027,83.776,83.433,83.084,82.053,82.555,83.01,86.076,89.204,90.198,94.091,101.875,102.873,107.403,110.143,113.948,116.469,120.189,121.565,119.517,116.421,112.482,109.321,110.485,109.344,108.85,108.601,110.049,108.973,107.82,106.856,104.341,102.021,98.667,97.777,99.138,100,104.344,103.343,106.026,106.361,107.409
"37","30","P1MSCG D           Musical instruments","P1MSCG3",42.282,43.076,43.807,44.555,45.127,44.88,44.537,44.447,45.398,47.923,51.423,53.78,56.294,57.19,57.552,60.154,64.708,66.272,67.063,69.98,73.542,79.199,84.734,89.154,90.075,90.445,90.086,90.427,91.858,96.178,99.442,100.49,100.606,101.852,102.729,103.59,102.013,103.063,101.955,101.518,100.146,100,100.953,100.859,99.94,98.703,98.574
"38","31","P1CPTG C       Computers, peripherals, and software (93)","P1CPTG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12100.68,12100.68,11785.406,7942.22,6750.171,5433.234,3847.854,3381.394,3118.362,2349.825,2122.489,1942.913,1804.034,1516.154,1269.035,963.812,743.502,649.184,516.498,358.262,243.623,168.356,122.772,100,75.742,60.151,49.214,43.573,37.652
"39","32","P1CPPG D         Computers and peripherals","P1CPPG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14356.771,14356.771,13982.724,9422.991,8008.716,6446.373,4563.356,4011.844,3699.751,2787.879,2518.368,2305.44,2140.706,1798.961,1506.065,1143.734,881.945,770.059,612.735,425.037,289.035,189.829,129.295,100,71.162,53.733,42.518,37.087,31.218
"40","33","P1CPSG D         Software","P1CPSG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194.381,1093.054,1014.818,853.116,713.558,542.084,418.696,365.591,290.759,201.646,137.115,112.812,103.54,100,92.612,86.488,78.715,73.049,68.996
"41","34","P1ODHG C     Other durable house furnishings (32)","P1ODHG3",42.908,43.988,44.404,44.378,44.349,44.629,44.466,44.935,46.089,47.325,48.452,48.448,48.674,49.211,50.312,53.883,58.026,60.032,61.878,64.548,68.088,74.526,80.643,85.169,87.172,88.799,90.83,91.354,92.914,94.658,96.02,98.408,100.002,101.038,101.323,101.779,101.737,101.933,102.253,102.547,101.036,100,98.485,96.875,93.004,91.096,90.864
"42","35","P1FLRG D       Floor coverings","P1FLRG3",35.961,36.594,36.545,36.47,36.837,37.554,37.2,37.376,37.375,38.144,38.723,38.625,38.602,38.407,38.911,42.118,45.394,47.578,48.836,51.216,54.524,59.715,66.03,70.592,72.013,73.584,75.51,77.631,80.086,81.922,83.901,86.658,87.75,88.728,88.995,90.714,92.255,93.674,95.636,97.605,97.522,100,103.049,104.294,103.078,103.09,107.194
"43","36","P1DHFG D       Durable house furnishings, n.e.c.","P1DHFG3",49.946,51.926,52.868,52.933,52.288,52.096,51.84,52.645,55.635,56.995,58.224,57.958,57.887,58.793,60.778,65.052,69.853,71.167,73.505,76.51,80.104,88.397,94.517,98.211,100.157,101.908,103.29,102.522,103.24,104.946,106.76,108.771,110.512,111.421,111.401,110.229,108.79,107.327,106.08,106.077,103.597,100,95.685,92.183,86.259,82.456,79.631
"44","37","P1CLFG D         Clocks, lamps, and furnishings","P1CLFG3",52.574,53.997,54.545,54.672,53.729,53.57,53.227,54.062,57.506,58.873,60.053,59.638,59.502,60.366,62.518,66.17,70.992,72.268,74.207,77.295,80.87,89.389,95.458,98.887,100.907,102.283,103.949,102.958,102.937,104.218,106.46,108.852,111.052,111.987,111.973,110.535,109.159,107.876,106.817,107.451,104.527,100,96.189,92.465,85.882,81.795,78.812
"45","38","P1TEXG D         Blinds, rods, and other","P1TEXG3",35.853,38.751,40.573,40.448,40.886,40.597,40.689,41.291,42.233,43.419,44.743,45.25,45.56,46.736,47.47,56.668,61.365,63.04,69.108,71.408,75.311,81.649,88.499,95.087,96.459,100.36,100.54,100.516,103.33,106.224,106.69,107.377,107.403,108.201,108.159,108.193,106.46,104.106,101.893,98.562,98.426,100,92.817,90.575,88.513,86.461,84.66
"46","39","P1WTRG D       Writing equipment","P1WTRG3",11.351,11.405,11.398,11.165,11.153,11.155,11.711,12.277,12.684,13.333,14.075,14.596,15.59,16.62,17.149,17.761,18.911,20.193,21.427,23.168,24.628,26.675,29.881,33.825,37.32,40.351,43.715,47.289,50.871,54.443,57.955,62.65,65.923,69.533,71.963,74.547,77.424,81.807,85.782,89.837,93.494,100,105.668,113.408,119.826,125.398,130.641
"47","40","P1TOOG D       Hand tools","P1TOOG3",55.539,55.917,57.522,58.492,58.766,58.355,57.309,56.248,56.141,58.444,60.755,60.411,59.864,59.794,59.924,63.662,69.574,72.041,73.55,75.151,79.284,84.709,90.593,97.347,99.672,99.756,102.972,101.214,101.47,101.55,97.976,98.815,99.905,99.781,99.804,101.567,101.591,103.291,104.762,102.173,100.05,100,99.46,98.291,96.092,97.148,100.006
"48","41","P1HDWG D         Tools, hardware, and supplies","P1HDWG3",55.607,55.969,57.582,58.552,58.823,58.41,57.362,56.307,56.205,58.509,60.815,60.47,59.92,59.853,59.987,63.719,69.651,72.113,73.625,75.233,79.369,84.799,90.695,97.449,99.774,99.858,103.079,101.319,101.574,101.654,98.081,98.914,100.006,99.885,99.906,101.674,101.696,103.396,104.871,101.697,99.363,100,99.4,98.165,95.848,97.392,100.795
"49","42","P1LWNG D         Outdoor eqpt and supplies","P1LWNG3",55.257,55.808,57.332,58.316,58.634,58.242,57.204,56.051,55.884,58.204,60.563,60.226,59.692,59.607,59.715,63.494,69.315,71.813,73.307,74.865,78.996,84.406,90.214,97.017,99.365,99.443,102.636,100.892,101.154,101.233,97.638,98.516,99.596,99.459,99.488,101.234,101.269,102.97,104.426,104.567,103.474,100,99.763,98.938,97.372,95.732,95.496
"50","43","P1TODG B   Other","P1TODG3",33.256,33.547,33.763,33.98,34.286,34.828,34.672,34.606,35.398,36.661,38.387,39.017,40.69,41.751,43.061,45.591,49.751,52.315,54.337,57.343,61.456,70.278,74.455,76.459,78.534,79.769,81.084,82.348,85.901,89.596,92.577,96.86,99.967,101.841,102.439,103.921,104.584,104.285,103.216,102.486,100.841,100,100.337,99.541,97.925,98.033,97.675
"51","44","P1OPTG C     Ophthalmic products and orthopedic appliances (46)","P1OPTG3",21.067,21.577,22.286,22.634,22.791,23.045,23.516,24.189,25.347,26.203,27.323,28.8,30.525,31.688,32.857,35.135,37.964,40.3,42.647,44.955,47.385,51.7,55.187,57.637,59.766,61.613,63.892,65.928,69.718,73.224,75.599,78.787,81.797,85.158,87.338,89.024,91.616,93.071,94.498,96.245,97.189,100,103.175,103.849,104.141,106.395,108.85
"52","45","P1WHGG C     Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","P1WHGG3",41.772,42.383,42.564,42.94,43.359,43.443,43.205,43.714,44.73,46.208,47.761,47.119,49.374,50.049,51.459,55.14,59.382,61.731,64.134,67.034,70.818,76.813,81.191,83.953,85.015,86.581,87.488,87.715,89.25,92.369,94.916,97.719,100.581,101.893,101.924,103.766,104.687,104.632,103.98,102.887,101.078,100,99.173,97.292,96.044,95.077,94.604
"53","46","P1WHEG D       Sports and photographic equipment, bicycles and motorcycles","P1WHEG3",48.996,49.421,49.81,50.209,50.574,50.437,49.902,50.315,51.411,53.036,54.528,54.838,55.335,55.373,56.33,59.151,62.882,65.095,66.752,69.299,72.971,78.738,83.07,85.754,86.947,88.024,88.381,89.086,91.411,94.794,97.382,100.477,103.867,105.08,105.022,107.123,107.701,107.632,107.152,105.56,102.093,100,98.376,96.123,94.875,93.442,92.284
"54","47","P1GUNG D         Guns","P1GUNG3",59.516,60.088,60.578,61.06,61.313,58.866,58.921,60.561,62.754,66.224,69.01,69.267,69.044,67.763,68.634,71.171,75.593,77.988,79.825,81.971,85.498,91.067,96.232,98.993,100.14,100.155,98.663,97.774,99.254,102.769,104.871,108.675,112.869,113.61,112.464,114.233,113.46,112.305,111.369,109.235,103.727,100,97.847,95.313,94.528,93.381,92.33
"55","48","P1SPTG D         Sporting equipment","P1SPTG3",59.492,60.063,60.568,61.083,61.318,58.89,58.902,60.503,62.739,66.172,69.018,69.25,69.084,67.78,68.632,71.169,75.556,78.002,79.859,81.956,85.503,91.058,96.23,98.993,100.139,100.158,98.65,97.778,99.269,102.798,104.885,108.693,112.913,113.593,112.471,114.24,113.448,112.292,111.366,109.239,103.727,100,97.847,95.313,94.528,93.381,92.33
"56","49","P1CAMG D         Photographic equipment","P1CAMG3",62.693,63.363,63.848,64.394,65.742,73.204,70.375,67.71,66.187,63.508,62.354,60.571,59.2,61.526,62.293,64.097,65.459,66.453,66.78,69.122,71.682,79.405,82.201,84.418,85.276,86.299,87.26,90.26,95.835,99.924,104.139,106.272,107.808,109.384,110.171,108.095,108.565,108.459,108.64,105.863,102.788,100,94.222,88.101,81.308,71.826,63.569
"57","50","P1BCYG D         Bicycles","P1BCYG3",37.993,38.337,38.662,39.015,39.322,38.757,38.569,39.046,40.064,41.293,42.777,43.574,45.119,46.569,48.966,53.339,57.307,58.196,58.968,60.649,64.659,70.993,75.499,78.556,79.167,82.042,84.341,83.49,83.218,85.635,88.089,90.228,91.736,93.357,93.672,94.668,96.684,96.699,95.541,95.75,98.315,100,101.459,100.696,99.477,99.924,101.771
"58","51","P1MCYG D         Motorcycles","P1MCYG3",27.417,27.049,27.046,26.954,26.808,26.692,26.096,25.654,25.889,26.646,27.026,27.904,28.938,28.738,28.767,30.418,33.021,35.117,37.022,39.843,42.988,46.347,49.203,51.143,52.466,53.97,55.682,58.054,61.046,63.855,66.708,68.575,71.691,74.648,78.411,85.288,90.651,95.137,96.575,96.682,97.435,100,100.894,100.901,100.89,101.965,103.286
"59","52","P1BTAG D       Pleasure boats and aircraft","P1BTAG3",25.781,26.61,26.4,26.712,27.205,27.669,27.983,28.639,29.435,30.537,32.046,29.871,35.336,37.231,39.452,45.051,50.564,53.181,57.066,60.631,64.564,71.029,75.535,78.53,79.205,82.049,84.325,83.381,83.189,85.713,88.131,90.234,91.75,93.364,93.675,94.717,96.684,96.667,95.56,95.754,98.327,100,101.456,100.703,99.458,99.966,101.777
"60","53","P1BOAG D         Pleasure boats","P1BOAG3",25.776,26.603,26.395,26.708,27.2,27.666,27.977,28.634,29.428,30.529,32.04,29.868,35.336,37.226,39.436,45.038,50.561,53.178,57.062,60.631,64.567,71.033,75.537,78.531,79.204,82.049,84.325,83.38,83.188,85.71,88.13,90.233,91.748,93.363,93.676,94.719,96.683,96.665,95.56,95.754,98.327,100,101.456,100.703,99.458,99.966,101.773
"61","54","P1AIRG D         Pleasure aircraft","P1AIRG3",25.775,26.617,26.383,26.693,27.19,27.636,27.993,28.624,29.45,30.559,32.042,29.848,35.265,37.213,39.565,45.139,50.579,53.19,57.081,60.62,64.533,70.993,75.511,78.522,79.206,82.042,84.319,83.381,83.186,85.738,88.14,90.248,91.76,93.368,93.674,94.702,96.693,96.688,95.563,95.756,98.327,100,101.456,100.703,99.458,99.966,101.773
"62","55","P1JRYG C     Jewelry and watches (18)","P1JRYG3",43.219,43.205,43.18,43.206,43.455,46.127,44.838,42.741,43.259,44.601,47.128,47.942,48.855,50.057,51.826,54.812,58.746,60.674,61.541,64.81,70.714,88.377,91.966,89.812,91.263,91.884,90.962,91.813,98.7,104.048,107.964,114.413,117.983,119.397,118.528,119.28,117.946,113.717,109.295,105.277,102.693,100,99.949,97.254,93.938,94.499,93.312
"63","56","P1BKSG C     Books and maps (87)","P1BKSG3",16.864,16.954,17.084,17.198,17.441,16.978,17.332,17.908,18.408,19.359,20.591,21.745,23.045,24.176,24.884,25.362,30.1,34.034,37.207,40.649,43.9,48.229,53.285,59.327,63.675,64.968,69.657,72.82,74.345,76.702,79.501,83.959,86.803,88.934,91.219,92.973,94.562,98.037,99.187,101.927,100.118,100,101.153,104.173,103.351,103.563,103.155
"64","57","P1TNDG B Nondurable goods","P1TNDG3",22.765,23.089,23.227,23.412,23.683,23.986,24.423,25.232,25.83,26.82,28.062,29.446,30.359,31.373,33.838,38.702,41.735,43.346,45.911,48.985,54.148,60.449,65.13,66.955,68.386,70.004,71.543,71.273,73.731,76.206,79.842,84.226,86.779,88.105,88.973,89.605,90.629,92.567,93.835,93.821,96.173,100,101.531,102.089,104.151,107.634,111.596
