"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"54","43","D         Motor vehicles, parts, and supplies wholesalers","X42110",773,573,2508,1032,-2019,2141,1329,1187,2363
"55","44","D         Furniture and home furnishings wholesalers","X42120",133,198,294,478,-485,331,428,407,324
"56","45","D         Lumber and other construction materials wholesalers","X42130",426,-245,680,239,30,433,1083,3190,1389
"57","46","D         Professional and commercial equipment wholesalers","X42140",3106,-1280,1321,-446,-3622,472,341,2563,337
"58","47","D           Computers and software wholesalers","X421430",2278,-1111,113,-1861,-2895,-401,290,1453,-267
"59","48","D           Other professional and commercial equipment wholesalers","X4214X0",828,-169,1208,1415,-727,873,51,1110,604
"60","49","D         Metal and mineral (except petroleum) wholesalers","X42150",828,728,-5,534,-1436,210,198,7668,-829
"61","50","D         Electrical goods wholesalers","X42160",365,1656,2979,3294,-5059,-1301,-708,2397,923
"62","51","D         Hardware and plumbing and heating equipment wholesalers","X42170",167,800,290,981,-457,9,-58,1521,1373
"63","52","D         Machinery, equipment, and supplies wholesalers","X42180",4352,6011,1345,1126,-2521,-2586,-1672,5713,6765
"64","53","D         Miscellaneous durable goods wholesalers","X42190",1240,1314,997,1887,-1972,-397,1752,2526,1464
"65","54","D       Nondurable goods industries","X42WN0",6397,3189,6525,8579,4552,4390,3706,5561,7385
"66","55","D         Paper and paper products wholesalers","X42210",640,52,216,909,-619,-296,123,902,583
"67","56","D         Drugs and druggists' sundries wholesalers","X42220",1622,1998,3227,4410,6401,1091,396,-439,-1943
"68","57","D         Apparel, piece goods, and notions wholesalers","X42230",1530,14,-898,-54,-104,369,-646,837,1131
"69","58","D         Grocery and related products wholesalers","X42240",784,191,2149,632,-811,1554,492,945,1359
"70","59","D         Farm product raw material wholesalers","X42250",716,5,-312,1290,42,378,2645,-3495,1989
"71","60","D         Chemical and allied products wholesalers","X42260",259,254,230,-129,59,502,26,275,483
"72","61","D         Petroleum amd petroleum products wholesalers","X42270",-531,-591,354,580,-202,494,229,2187,2017
"73","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","X42280",385,311,369,418,-148,604,240,549,711
"74","63","D         Miscellaneous nondurable goods wholesalers","X42290",992,955,1190,523,-66,-306,201,3800,1055
"75","64","D     Nonmerchant wholesale industries","X42N0",1342,669,2114,3689,-3053,-294,845,5049,3544
"76","65","D       Durable goods industries","X42ND0",850,1113,1090,2226,-2262,-815,-149,2375,1740
"77","66","D       Nondurable goods industries","X42NN0",492,-444,1024,1463,-791,521,994,2674,1804
"78","67","D Retail trade industries","X440",10400,13930,29292,23265,-11748,23343,16586,21948,8328
"79","68","D   Motor vehicle and parts dealers","X4410",4050,1874,14010,13405,-9120,16938,10743,5062,-5108
"80","69","D   Furniture, furnishings, electronics, and appliance stores","X44230",-217,550,1326,1432,-1348,1322,1123,1838,1087
"81","70","D   Building material and garden equipment and supplies dealers","X4440",1455,2317,2437,1638,2,2021,1599,6306,3361
"82","71","D   Food and beverage stores","X4450",219,1240,2109,-148,1384,-319,-372,1103,379
"83","72","D   Clothing and clothing accessories stores","X4480",1228,1162,1195,2633,-1175,1412,577,326,1852
"84","73","D   General merchandise stores","X4520",114,876,2704,786,90,1360,957,4062,3204
"85","74","D     Department stores","X45210",171,-770,469,-979,-1943,-1508,-820,117,76
"86","75","D     Other general merchandise stores","X45290",-57,1646,2235,1765,2033,2868,1777,3945,3128
"87","76","D   Other retail stores","X44X0",3551,5911,5511,3519,-1581,609,1959,3251,3553
"88","77","D Other industries","XOTH0",4861,4849,7595,13400,-746,-1610,-92,4133,5228
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
