"","Table 3BU# Real Inventory-Sales Ratios for Manufacturing and Tra","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"44","37","D     Electrical goods wholesalers","R42163",1.419,1.481,1.503,1.456,1.351,1.351,1.284,1.231,1.212
"45","38","D     Hardware and plumbing and heating equipment wholesalers","R42173",1.969,2.037,1.995,2.074,2.062,2.042,2.02,2.098,2.156
"46","39","D     Machinery, equipment, and supplies wholesalers","R42183",2.322,2.438,2.484,2.466,2.448,2.518,2.4,2.264,2.256
"47","40","D     Miscellaneous durable goods wholesalers","R42193",1.268,1.481,1.391,1.454,1.412,1.336,1.434,1.334,1.318
"48","41","A   Nondurable goods merchant wholesale industries","R42WN3",1.012,1.016,1.022,1.038,1.064,1.043,1.038,1.035,1.033
"49","42","D     Paper and paper products wholesalers","R42213",1.326,1.312,1.229,1.34,1.324,1.278,1.291,1.34,1.359
"50","43","D     Drugs and druggists' sundries wholesalers","R42223",1.564,1.525,1.587,1.704,1.832,1.643,1.513,1.365,1.176
"51","44","D     Apparel, piece goods, and notions wholesalers","R42233",1.837,1.85,1.69,1.627,1.586,1.545,1.484,1.516,1.543
"52","45","D     Grocery and related products wholesalers","R42243",0.64,0.613,0.657,0.636,0.606,0.638,0.616,0.632,0.65
"53","46","D     Farm product raw material wholesalers","R42253",1.371,1.586,1.565,1.588,1.644,1.582,1.722,1.489,1.693
"54","47","D     Chemical and allied products wholesalers","R42263",1.017,1.105,1.127,1.008,1.045,1.062,1.058,0.983,0.945
"55","48","D     Petroleum and petroleum products wholesalers","R42273",0.418,0.407,0.336,0.351,0.41,0.372,0.381,0.414,0.451
"56","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","R42283",1.082,1.06,1.044,1.048,1.004,1.025,1.02,1.075,1.07
"57","50","D     Miscellaneous nondurable goods wholesalers","R42293",1.294,1.299,1.317,1.231,1.231,1.252,1.276,1.419,1.372
"58","51","A Retail trade industries","R443",1.55,1.528,1.52,1.531,1.446,1.478,1.466,1.427,1.362
"59","52","A   Motor vehicle and parts dealers","R4413",1.866,1.79,1.806,1.913,1.741,1.951,2.019,1.956,1.857
"60","53","A   Furniture, furnishings, electronics, and appliance stores","R44233",1.944,1.856,1.747,1.685,1.539,1.465,1.389,1.323,1.22
"61","54","A   Building material and garden equipment and supplies dealers","R4443",1.734,1.717,1.694,1.656,1.575,1.558,1.518,1.527,1.483
"62","55","A   Food and beverage stores","R4453",0.766,0.792,0.822,0.807,0.814,0.829,0.798,0.797,0.772
"63","56","A   Clothing and clothing accessories stores","R4483",2.349,2.257,2.164,2.204,2.111,2.11,1.994,1.868,1.816
"64","57","A   General merchandise stores","R4523",2.024,1.926,1.851,1.773,1.672,1.61,1.528,1.506,1.472
"65","58","D     Department stores","R45213",2.239,2.144,2.084,2.02,1.928,1.878,1.833,1.805,1.785
"66","59","D     Other general merchandise stores","R45293",1.632,1.565,1.5,1.437,1.369,1.338,1.258,1.268,1.247
"67","60","A   Other retail stores","R44X3",1.178,1.223,1.209,1.192,1.157,1.1,1.081,1.028,0.966
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
