"","Table 5#4#5BU# Private Fixed Investment in Structures by Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"16","8","        Special care","W034RC0",3701,3710,3993,4025,4166,4964,4985,4814,4137,4471,4519,4856,4571,4903,4739,4757,4036,4000,3963,4035,4090,4145,3956,3766,3615,3303,3147,3082,2954,2871,2777,2714,2511,2428,2710,2534
"17","9","      Medical buildings","W035RC0",4230,4069,4667,4940,4571,4665,4446,4531,5377,5127,5834,5634,5472,5823,5706,5671,5470,4851,5020,5414,5288,5511,5480,5756,6514,6707,6622,7312,7869,8812,8999,8805,9110,8691,8697,7621
"18","10","    Multimerchandise shopping","W036RC0",12166,11199,11715,11085,11613,12664,12783,13270,14053,14637,14673,14486,14349,13412,14048,14813,15771,15911,15459,15033,15873,14973,14233,14088,13957,14597,14876,15049,15636,17067,18145,18571,19546,20865,23053,24376
"19","11","    Food and beverage establishments","W037RC0",8634,7410,8283,8202,8540,9195,8380,8509,6843,8130,7912,8545,8619,8573,8271,7901,7669,8040,9289,8286,7451,7361,7353,7888,8104,7549,7716,8410,8247,8330,7747,6689,7574,7398,6152,7019
"20","12","    Warehouses","W038RC0",11962,12220,12224,11300,11244,11461,12496,13018,12933,12792,12910,13395,13773,13813,14020,14678,15222,15700,14798,13864,13053,11491,10312,10363,11343,11635,12283,11618,10680,11030,12168,11667,11961,12236,12588,12957
"21","13","    Other commercial\2\","W039RC0",15355,15746,15467,15117,15408,15785,15925,15960,15408,16132,16455,18079,18439,19008,19939,18064,17276,16947,16274,17670,18530,17692,17124,15998,15368,16156,16421,14871,15392,17228,17801,18999,17105,17079,16326,16036
"22","14","  Manufacturing","C307RC0",37252,36180,38982,38082,40809,41124,40300,39695,36315,32936,31526,29748,30579,32861,31765,31995,33090,31120,30141,23765,20357,18373,16259,16053,15884,17061,16961,17044,17106,16904,17906,21540,22295,22497,22598,23990
"23","15","  Power and communication","W003RC0",27517,28194,29319,30082,32786,33628,33890,33901,35368,37742,41323,43731,44068,45588,47945,49627,44848,48722,50799,54143,55797,50170,45665,46531,45138,43346,41751,44089,42560,38192,39634,39567,40562,38525,37327,37709
"24","16","    Power","W028RC0",15618,15805,16472,17553,19998,21013,21583,21717,20122,20408,21280,22734,25890,27569,28861,29712,25520,27877,31208,35522,36599,31320,27843,28865,32595,30549,28892,31457,30169,25241,25993,25022,25997,24308,23385,23542
"25","17","      Electric","C571RC0",11071,11207,11397,11625,11938,12209,12508,12869,12756,13679,15060,16845,19872,21617,22923,23740,19569,21820,24923,28901,29489,23805,20028,20866,24663,22539,20808,23305,21953,16976,17694,16706,16302,15658,14710,15391
"26","18","      Other power","W029RC0",4547,4598,5075,5928,8060,8804,9075,8848,7366,6729,6220,5889,6018,5951,5939,5972,5952,6058,6285,6621,7110,7515,7815,7999,7931,8010,8083,8152,8216,8265,8299,8316,9695,8650,8675,8151
"27","19","    Communication","C314RC0",11899,12388,12848,12529,12788,12614,12306,12184,15246,17333,20043,20997,18178,18019,19083,19915,19328,20844,19591,18620,19198,18849,17823,17666,12543,12797,12860,12632,12391,12951,13641,14545,14565,14217,13942,14167
"28","20","  Mining exploration, shafts, and wells","E318RC0",21069,22437,22408,23633,23295,24587,24175,21702,19779,20933,19559,22055,23249,26007,28496,30924,35754,39782,43514,37591,31997,33427,38013,39070,40496,45710,47816,48009,51455,56200,55985,61053,65310,75035,86220,100270
"29","21","    Petroleum and natural gas","C319RC0",19571,20979,21012,22318,22098,23476,23135,20714,18840,19984,18564,20982,22012,24691,27129,29540,34415,38495,42279,36399,30313,31439,35925,37083,39095,44456,46621,46785,50112,54679,54224,58999,63210,71816,83181,97572
"30","22","    Mining","C320RC0",1498,1458,1396,1316,1197,1111,1040,988,939,949,995,1073,1236,1316,1367,1384,1338,1287,1235,1192,1684,1988,2088,1986,1401,1254,1195,1224,1343,1521,1761,2054,2101,3219,3040,2698
"31","23","  Other structures","W004RC0",53606,56236,57635,61523,57969,62420,63706,65166,65208,66528,63861,65030,68177,69873,71545,69833,66349,66700,79853,64664,61241,60994,58017,57864,56781,60036,59154,58631,58346,61774,63681,63847,61547,61133,62213,62618
"32","24","    Religious","C309RC0",5163,5596,5577,6156,6344,5868,6411,7067,7260,7227,7059,7127,7752,7718,7904,7862,7859,8131,8377,8282,8330,8192,7880,8021,8305,8388,8548,8053,7608,7966,8021,7836,7723,7376,7144,6934
"33","25","    Educational and vocational","W044RC0",8666,9570,10315,10749,11332,11426,10398,10730,10132,11012,11010,11405,12136,12849,13699,13480,13351,13674,14478,15529,15168,15011,14019,14299,14305,15042,15236,14329,13936,13692,13822,14411,14345,14427,14580,13811
"34","26","    Lodging","W045RC0",15409,16287,16154,16014,15119,17716,20072,20463,20527,19964,19263,19247,20192,21161,20278,19097,18032,18468,18820,16570,13757,14048,12219,11803,11949,13750,11811,11659,12012,13957,15393,15788,14715,14998,14739,15349
"35","27","    Amusement and recreation","W046RC0",10066,10290,10449,10175,8980,10264,10644,11341,11861,11807,11080,11094,11386,10926,10464,9311,9002,9571,9436,9567,9283,9167,8872,8574,8369,9411,9609,9961,9446,10305,10565,10741,10171,9239,9604,9927
"36","28","    Transportation","W047RC0",5868,5995,6177,6368,7009,7225,7333,7001,6641,6342,6152,6197,6323,6536,6734,6914,7015,7047,6769,6673,6385,6597,6539,6467,6220,5859,5972,6045,6119,6458,6569,6807,6362,6358,6801,7011
"37","29","      Air","W048RC0",1045,998,1014,972,1173,1159,1224,1076,1176,1288,1361,1526,1579,1780,2066,2329,2393,2363,1998,1797,1379,1511,1426,1377,1332,968,1034,1015,952,1113,1003,981,879,836,842,844
"38","30","      Land\3\","W049RC0",4822,4996,5163,5396,5837,6067,6109,5925,5465,5054,4790,4672,4744,4756,4668,4585,4622,4684,4771,4875,5005,5086,5113,5089,4888,4891,4938,5030,5167,5345,5565,5826,5483,5522,5959,6166
"39","31","    Farm","C316RC0",3625,3689,3970,3975,4070,4535,4267,4264,4550,5573,4899,5214,5554,5539,6294,6565,5373,5207,5144,4817,5394,5384,5714,5952,5040,4931,4805,4555,4958,4849,5304,5382,4948,5594,6287,6212
"40","32","    Other\4\","W050RC0",3727,3768,3889,3817,4130,4402,3651,3317,3255,3702,3531,3885,3872,4104,5083,5511,4803,3764,3249,2646,2340,2270,2791,3008,2572,2751,3279,3828,3950,4186,3663,2923,3308,3165,3055,3324
"41","33","    Brokers' commissions on sale of structures","C321RC0",1991,1959,2065,2053,2135,2210,2214,2288,2303,2243,2222,2232,2334,2413,2457,2461,2420,2449,2365,2285,2230,2099,1968,1964,1935,1958,1955,1994,1983,2009,2075,2104,2120,2121,2148,2195
"42","34","    Net purchases of used structures","E322RC0",-908,-919,-961,2216,-1152,-1226,-1284,-1306,-1321,-1341,-1356,-1371,-1372,-1373,-1369,-1368,-1506,-1612,11215,-1703,-1646,-1774,-1984,-2224,-1913,-2053,-2062,-1794,-1665,-1647,-1730,-2145,-2145,-2145,-2145,-2145
"43","35","Residential","A012RC0",334526,340503,345055,351246,359529,372085,386154,399267,406726,414670,420613,429294,441179,441461,435720,439813,448204,460230,470223,468862,479568,493343,497830,514496,532443,545202,576928,604051,623785,665544,681296,691074,709725,736083,761290,782122
"44","36","  Permanent site","A943RC0",193921,197078,197840,203409,210079,217609,229099,239145,245673,247783,251630,259998,269321,267974,260250,262643,270495,278349,285504,283216,286553,297151,300967,310694,326234,330388,349388,376755,390802,414593,427567,431247,445833,455677,473805,493269
"45","37","    Single-family structures","A944RC0",172004,174162,175454,179096,185143,193739,204772,213982,218553,220705,223765,232325,240602,238898,233310,234341,240967,248548,255071,251759,254327,263989,267857,277383,291378,296167,313782,340973,354484,376712,388111,390921,401558,410279,426567,443729
"46","38","    Multifamily structures","C292RC0",21918,22917,22385,24312,24936,23870,24327,25163,27120,27078,27865,27673,28719,29076,26940,28301,29528,29801,30433,31458,32226,33162,33109,33311,34856,34221,35605,35782,36318,37880,39456,40326,44275,45398,47239,49540
"47","39","  Other structures","A863RC0",140605,143425,147215,147837,149450,154476,157055,160122,161053,166887,168983,169296,171858,173487,175470,177170,177709,181881,184719,185646,193015,196192,196863,203802,206209,214814,227540,227296,232983,250951,253729,259827,263892,280406,287485,288853
"48","40","    Manufactured homes","A945RC0",13164,13850,14203,14238,14443,15025,15592,16100,15863,15160,14386,14119,13514,11977,10934,9416,8713,9027,9608,9910,9207,8476,8419,7981,7388,6570,7035,7352,7742,6803,7189,8180,8326,6885,7298,8840
"49","41","    Dormitories","C295RC0",708,769,821,862,836,930,943,1116,1138,1174,1237,1554,1598,1304,1154,1375,1596,1451,1551,1631,1580,1511,1360,1669,1765,1750,1803,1734,1585,1774,1721,1580,1608,1512,1710,2120
"50","42","    Improvements","A946RC0",89939,90719,91329,91817,91748,92481,93561,95006,97193,99058,100948,102818,104734,106420,107974,109418,110593,112000,113681,115658,117960,120402,122980,125690,128544,131536,134687,137996,141464,145081,148846,152757,157043,160619,165260,171836
"51","43","    Brokers' commissions on sale of structures","A758RC0",38850,40335,43317,43585,45288,49063,50120,51130,50465,55061,55776,53982,54205,55485,56731,57778,58191,60914,61640,60914,67049,68922,67445,71750,72007,78460,87509,83680,85214,100062,98692,99944,99549,114026,115850,108691
"52","44","    Net purchases of used structures","A759RC0",-2056,-2250,-2455,-2665,-2866,-3022,-3161,-3230,-3604,-3566,-3365,-3178,-2193,-1698,-1322,-817,-1384,-1510,-1761,-2467,-2781,-3119,-3340,-3287,-3495,-3503,-3493,-3466,-3021,-2770,-2719,-2634,-2634,-2634,-2634,-2634
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RC0",539734,544537,558261,566011,580278,602589,615759,632150,637175,644283,648977,664577,683407,697050,700305,707796,714348,725686,732557,715012,706959,708066,705832,718001,732295,747434,771973,806645,826625,864169,887089,903606,928713,950310,988222,1034986
"55","46","    Nonresidential structures","A771RC0",242002,242119,254068,255685,263171,276545,276564,280783,277309,281108,280776,286087,294240,309376,319993,324944,322951,324860,322213,304597,291660,280526,272106,271967,268364,277189,279061,282808,285032,295918,301766,309842,315903,325618,340148,358921
"56","47","    Residential structures","A756RC0",297732,302418,304193,310326,317107,326044,339195,351367,359866,363175,368201,378490,389167,387674,380312,382852,391397,400826,410344,410415,415299,427540,433726,446034,463931,470245,492912,523837,541593,568251,585323,593764,612810,624692,648074,676065
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
