"","Table 6#17C# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"43","36","  Transportation and public utilities","E567RC0",43415,47843,44499,45753,51992,58391,69205,83256,85898,91980,83939,78458,57153,44454
"44","37","    Transportation","C512RC0",4543,7262,2244,1126,1154,2315,6742,10522,11675,16245,18869,21411,16207,15509
"45","38","      Railroad transportation","B3038C0",1239,1758,-249,840,872,1052,1185,2978,3191,3034,1309,751,312,2459
"46","39","      Local and interurban passenger transit","B3039C0",49,71,213,-9,333,332,240,331,429,593,504,711,448,669
"47","40","      Trucking and warehousing","B3040C0",1826,2128,2003,2514,3334,4544,5225,5164,3546,4395,5437,8821,8044,8458
"48","41","      Water transportation","B3041C0",11,439,545,547,605,308,466,400,458,672,953,864,378,845
"49","42","      Transportation by air","B3042C0",315,1842,-1403,-3876,-5412,-5291,-1995,181,2260,5286,8559,7746,5403,2181
"50","43","      Pipelines, except natural gas","B3043C0",894,808,767,746,702,664,696,663,778,769,685,893,371,-83
"51","44","      Transportation services","B3044C0",209,216,368,364,720,706,925,805,1013,1496,1422,1625,1251,980
"52","45","    Communications","C513RC0",19793,19561,18300,20042,23478,27612,32932,36748,33458,34816,25418,21355,4450,1210
"53","46","      Telephone and telegraph","B3046C0",19762,19589,19059,20593,22978,25666,29250,32344,30321,34350,24841,21720,11989,407
"54","47","      Radio and television","B3047C0",31,-28,-759,-551,500,1946,3682,4404,3137,466,577,-365,-7539,803
"55","48","    Electric, gas, and sanitary services","C514RC0",19079,21020,23955,24585,27360,28464,29531,35986,40765,40919,39652,35692,36496,27735
"56","49","  Wholesale trade","C510RC0",22418,26388,25132,21226,21969,25692,28719,34707,33435,38804,43661,44664,52267,58982
"57","50","  Retail trade","C511RC0",25813,24383,24781,24569,28608,35257,41246,48786,46402,53854,61144,72175,75606,71814
"58","51","  Finance, insurance, and real estate","A3051C0",58690,67793,74928,89406,117217,125664,134863,119151,163755,175785,198331,172526,203605,212891
"59","52","    Depository institutions","B3091C0",52291,54629,63595,76013,90293,97566,89630,84476,103877,102374,111232,103452,120920,145649
"60","53","      Federal Reserve banks","B3053C0",15713,17616,20171,21402,20273,17829,16224,18056,22495,22136,23847,25185,26297,30799
"61","54","      Commercial and mutual depository institutions","B3092C0",36578,37013,43424,54611,70020,79737,73406,66420,81382,80238,87385,78267,94623,114850
"62","55","    Nondepository institutions","B3093C0",3296,4593,6898,8421,10783,14399,15863,15781,18849,20667,20376,20459,26411,26124
"63","56","    Security and commodity brokers","B3056C0",1181,-1271,-2591,571,-1306,1968,5737,4768,2161,7786,12448,11228,11226,-6819
"64","57","    Insurance carriers","B3057C0",-230,10296,12643,7955,18307,9715,17937,20243,24443,29126,23873,15045,5046,2684
"65","58","    Insurance agents, brokers, and service","B3058C0",3062,2512,2635,2992,3056,3168,3314,4037,4272,4630,4916,6470,6300,8346
"66","59","    Real estate","B3059C0",-1115,-882,-3017,-5029,-6939,-4101,-1961,-746,1562,3167,5331,6604,7176,9082
"67","60","    Holding and other investment offices","B3060C0",205,-2084,-5235,-1517,3023,2949,4343,-9408,8591,8035,20155,9268,26526,27825
"68","61","  Services","A3061C0",13909,14860,15344,19674,23661,31923,37353,43261,48005,54054,57912,47362,50150,9765
"69","62","    Hotels and other lodging places","B3062C0",-615,-561,-1043,-1476,-1074,-252,771,1375,2104,2548,2776,1777,3210,3789
"70","63","    Personal services","B3063C0",865,1021,1613,1610,1472,1703,1889,2290,2545,2366,2882,3831,3343,4253
"71","64","    Business services","B3064C0",4105,5539,5917,6984,7223,11111,12023,13882,15831,18557,22112,10910,4044,-37530
"72","65","    Auto repair, services, and parking","B3065C0",-51,-155,-454,-193,-248,26,802,531,320,438,1271,1980,1711,1506
"73","66","    Miscellaneous repair services","B3066C0",500,687,760,789,764,795,884,922,1008,1226,1187,1203,1333,1357
"74","67","    Motion pictures","B3067C0",-712,-176,-718,-936,-1392,-8,26,-550,-361,-90,-1255,-1602,473,-566
"75","68","    Amusement and recreation services","B3068C0",-507,251,671,448,685,1641,1545,1593,1363,2488,3439,681,732,295
"76","69","    Other services","A3069C0",10324,8254,8598,12448,16231,16907,19413,23218,25195,26521,25500,28582,35304,36661
"77","70","      Health services","B3070C0",6330,4958,4709,7403,11185,10902,12709,15066,14876,15212,13032,13282,18073,22514
"78","71","      Legal services","B3071C0",1666,1105,1189,1367,1310,1950,1840,2230,2917,3050,3620,3947,4510,5778
"79","72","      Educational services","B3072C0",369,394,379,545,728,650,548,746,885,761,714,1446,1224,1276
"80","73","      Other \1\","B3073C0",1959,1797,2321,3133,3008,3405,4316,5176,6517,7498,8134,9907,11497,7093
"81","74","Rest of the world \2\","B394RC0",48012,56984,67129,76088,76469,73090,76931,77075,92810,101880,110917,102950,121513,145703
"82","75","  Receipts from the rest of the world","B3075C0",58923,71580,75510,80919,75489,78328,88948,103635,127227,139268,158856,146976,176804,202480
"83","76","  Less: Payments to the rest of the world","B3076C0",10911,14596,8381,4831,-980,5238,12017,26560,34417,37388,47939,44026,55291,56777
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of receipts by all U.S. residents, including both",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","corporations and persons, of dividends from foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","corporations, and, for U.S. corporations, their share of reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated foreign affiliates, and earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","foreign affiliates (line 75), net of corresponding payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","(line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
