"","Table 4#3A# Relation of Foreign Transactions in the National Inc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"18","11","Imports of goods and services and income payments, ITAs","B1231C1",7,8.3,10.5,9.8,12.2,15.3,16,16.8,16.2,18.1,19.9,21,21.1,23.6,23.7,23.5,25.7,27,29.1,32.7,38.5,41.5,48.7,54,59.9,66.4,79.2,99,137.3,132.7,162.1,193.8,229.9,281.7,333.8,364.2,356,377.5,473.9,483.8
"19","12","Less: Gold, ITAs \1\","B1095C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.4,0.5,1,0.3,0.9,1.9,1.8,2.9,5.6,4,3.4,2.4,3.4,3.2
"20","13","      Capital gains, net of losses, in direct investment income payments, ITAs \2\","B1094C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,0.2,0.2,-0.1,0,0.1,1.6,-0.1,NA,NA,NA,NA
"21","14","      Statistical differences \3\","B1093C1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","15","Plus: Gold, NIPAs \1\","B1091C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.1,0.2,0.3,0.5,0.6,0.3,0.3,0.4,0.4,0.4,-0.1,-0.1,0.1,-0.2,-0.1,-0.2
"23","16","      Adjustment for U.S. territories and Puerto Rico \4\","B921RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.9,1,1,1.1,1.3,1.4,1.5,1.6,1.7,1.7,1.9,2.2,2.1,2,2.2,3.5,4.2,5,6.5,9.2,8.7,9,10.2,11.7
"24","17","      Imputed interest paid to the rest of the world","W370RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5
"25","18","      Adjustment for grossing of parent/affiliate transactions \5\","B2628C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.5,1.7,1.9,2.6,3.4,4.4,6.4,4.8,6,6.8,6.5
"26","19","      Other items \6\","B1092C1",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.5,0.6,0,0,0,0
"27","20","Equals: Imports of goods and services and income payments, NIPAs","A1074C1",7.4,8.4,10.6,9.9,12.4,15.5,16.2,17,16.4,18.3,20.1,21.2,21.3,23.8,24.6,24.5,26.8,28.2,30.4,34.1,40.1,43.2,50.6,56.2,62.2,68.8,81.9,102.1,141.8,137.7,166.7,199.4,236.9,289.1,338.7,376.8,367.7,393.4,490.7,503.1
"28","21","Balance on goods and services and income, ITAs (1-11)","A2030C1",8.1,11.9,6.9,6.5,2.2,4.4,3.1,1.2,2.5,2.9,5.2,7.1,3.2,3.2,6.9,7.9,7.7,8.8,11.1,10,8,7.9,6.2,6.1,8.5,6,2.7,14.1,11.2,25.2,10,-9.1,-9.4,6.3,10.7,16.7,11,-21.4,-74,-96.2
"29","22","Less: Gold (2-12+15)","A2031C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1,-0.3,0.4,-0.3,-0.4,-0.2,2.7,-1.5,0.4,-1,-0.8,-1.2,-1.6
"30","23","      Capital gains, net of losses, in direct investment income, ITAs (3-13)","A2032C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.2,-0.2,-1.2,-0.4,-0.3,-3.2,0.5,NA,NA,NA,NA
"31","24","      Statistical differences (4-14)","A2033C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","25","Plus: Adjustment for U.S. territories and Puerto Rico (5-16)","A1608C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.3,1.7,2,2.2,2.4,3,3.7,4.3,4,4.5,4.8,5.1,4,4.5,6,6.3,5.9
"33","26","      Other items (9-19)","A2034C1",-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.2,0.5,0.6,0.4,0.6,0.6,0.6,0,0,0,0
"34","27","Equals: Net exports of goods and services and net receipts of income, NIPAs (10-20)","A1072C1",7.8,11.9,6.9,6.5,2.2,4.4,3.1,1.2,2.5,2.9,5.2,7.1,3.2,3.2,7.3,8.4,8.2,9.4,11.8,10.9,8.9,8.9,7.4,7.5,10.3,8.2,5.2,16.7,14.7,29,15.2,-2.8,-3.8,9.4,21.1,20.4,16.5,-14.6,-66.4,-88.7
"35","28","Unilateral current transfers, net, ITAs","B1089C1",2.9,2.6,4.5,5.6,4,3.5,2.5,2.5,2.3,2.5,2.4,2.3,2.3,4.4,4.1,4.1,4.3,4.4,4.2,4.6,5,5.3,5.6,5.7,6.2,7.4,8.5,6.9,9.2,7.1,5.7,5.2,5.8,6.6,8.3,11.7,16.5,17.3,20.3,22
"36","29","      Statistical differences \3\","B1098C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","30","Plus: Adjustment for U.S. territories and Puerto Rico \4\","B1655C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
"38","31","      Other items \7\","B1097C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.4,-1.2,0.5,0.6,0.9,0.8,1.3,1.3,2.3,0,0,0,0
"39","32","Equals: Current taxes and transfer payments to the rest of the world, net, NIPAs","A123RC1",2.9,2.6,4.5,5.6,4,3.5,2.5,2.5,2.3,2.5,2.4,2.3,2.3,4.3,4.1,4.2,4.3,4.4,4.3,4.7,5,5.4,5.7,5.8,6.3,7.6,8.8,7.4,8.1,7.6,6.3,6.2,6.7,8,9.8,14.1,16.7,17.5,20.5,22.2
"40","33","Balance on current account, ITAs (21-28)","A2035C1",5.2,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.8,4.8,0.9,-1.3,2.8,3.8,3.4,4.4,6.8,5.4,3,2.6,0.6,0.4,2.3,-1.4,-5.8,7.1,2,18.1,4.3,-14.3,-15.1,-0.3,2.3,5,-5.5,-38.7,-94.3,-118.2
"41","34","Less: Gold (22)","A2031C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1,-0.3,0.4,-0.3,-0.4,-0.2,2.7,-1.5,0.4,-1,-0.8,-1.2,-1.6
"42","35","      Capital gains, net of losses, in direct investment income, ITAs (23)","A2032C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,-0.2,-0.2,-1.2,-0.4,-0.3,-3.2,0.5,NA,NA,NA,NA
"43","36","      Statistical differences (24-29)","A2036C1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","37","      Other items (-26+31)","A2037C1",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0.1,-1.7,0.2,0.1,0.3,0.3,0.6,0.7,1.7,0,0,0,0
"45","38","Plus: Adjustment for U.S. territories and Puerto Rico (25-30)","A1610C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.5,0.7,0.8,0.8,0.9,1,1.3,1.6,2,2.2,2.3,2.9,3.7,4.2,3.9,4.4,4.7,5,3.9,4.4,5.9,6.2,5.7
"46","39","Equals: Balance on current account, NIPAs (27-32)","A124RC1",4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.8,4.8,0.9,-1.2,3.2,4.3,3.9,5,7.5,6.2,3.9,3.6,1.7,1.8,4,0.6,-3.6,9.3,6.6,21.4,8.9,-9,-10.4,1.4,11.4,6.3,-0.2,-32.1,-86.9,-110.8
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Beginning with 1967, exports and imports of gold in the NIPAs differ from those in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ITAs.  ITA gold exports (line 2) and imports (line 12) are excluded from the NIPAs; imports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","of gold in the NIPAs (line 15) is the excess of the value of gold in gross domestic purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","over the value of U.S. production of gold.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. ITA capital gains and losses included in U.S. direct investment income abroad (line 3) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","in foreign direct investment income in the United States (line 13) are removed from the NIPAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","beginning with 1974 for imports and with 1977 for exports.  Beginning with 1982, U.S. direct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","investment income abroad in the ITAs excludes capital gains and losses associated with currency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","translation adjustments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Consists of statistical revisions to the ITAs that have not yet been incorporated into the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","NIPAs and statistical revisions to the NIPAs that have not yet been incorporated into the ITAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","4. Consists of transactions between the United States and its territories, Puerto Rico, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","the Northern Mariana Islands.  The treatment of U.S. territories, Puerto Rico, and the Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Mariana Islands in the NIPAs differs from that in the ITA's.  In the NIPAs, they are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","the rest of the world; in the ITAs, they are treated as part of the United States.  The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","adjustments to exports and imports of goods and services and to receipts and payments of income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","are shown in lines 5 and 16, respectively.  The adjustment to unilateral current transfers, net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","(line 30) consists only of transfer payments from persons because transfer payments, subsidies,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","and grants-in-aid from the Federal Government to residents of U.S. territories, Puerto Rico, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","the Northern Mariana Islands are excluded from NIPA transfer payments to the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5. In the ITAs, income transactions between parents and affiliates are recorded on a net basis.  In ITA exports, U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","parents' receipts from foreign affiliates for interest are net of such payments by U.S. parents to foreign affiliates.  In ITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","imports, U.S. affiliates' payments to foreign parents for interest are net of such receipts by U.S. affiliates from foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","parents.  In the NIPAs, these transactions are recorded on a gross basis beginning with 1974.  The amount of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","adjustment is identical in income payments and in income receipts and, thus, does not affect NIPA net receipts of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","income or balance on current account.  In addition, for 1974 through 1981, royalties and license fees and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","private services are recorded on a net basis in the ITAs but on a gross basis in the NIPAs.  Beginning with 1982,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","these transactions are recorded on a gross basis in both the ITAs and the NIPAs.  The amount of adjustment is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","identical in exports and in imports of services and, thus, does not affect NIPA net exports of goods and services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","or balance on current account.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","6. For 1946 through 1959, includes shipments to the United States from Alaska and Hawaii.  These",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","are added to imports for 1946 to adjust the geographic coverage of imports to the 48-State coverage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","used in the NIPAs  prior to 1960.  From 1947 through 1959, such shipments are negligible.  Beginning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","with 1960, the adjustment is not required because Alaska and Hawaii gained statehood in 1959.  For",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","1959 through 1981, includes withheld nonresident taxes associated with royalties and license fees,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","other private services, and income transactions.  In the NIPAs, these transactions are recorded before",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","the deduction of nonresident taxes withheld beginning with 1959.  In the ITAs, the corresponding flows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","are recorded before the deduction of nonresident taxes withheld beginning with 1982.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
