"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"21","14","        Value added","W111RX1",371.6,373.8,366,358.9,347.2,334.1,325,318.8,315.2,312.7,315.4,317,323.2,331.7
"22","15","          Compensation of general government employees","B568RX1",299.4,298.4,288,279.6,267.4,254.2,244.9,238.8,235.1,231.8,233.8,234.7,240.2,247.7
"23","16","          Consumption of general government fixed capital \2\","B995RX1",76,78.6,80.3,81.1,81,80.5,80.3,80.2,80.2,80.8,81.6,82.3,82.9,83.7
"24","17","        Intermediate goods and services purchased \3\","W113RX1",205.6,205.8,201.1,188.8,186.8,181.7,181.3,185.8,180.1,188.9,193.8,211.8,243.2,272.2
"25","18","          Durable goods","W114RX1",35.4,33.9,30.8,28.1,24.4,22.3,22.4,22.5,22.8,24.1,24,24.4,25.7,27.7
"26","19","          Nondurable goods","W115RX1",19.1,19.9,19.8,19.3,17.8,16.3,16.7,17.7,18,17,18.9,20.9,24.5,24.9
"27","20","          Services","W116RX1",150,151.1,150,141,144.6,143,142.3,145.7,139.4,147.7,150.9,166.4,192.9,219.3
"28","21","      Less: Own-account investment \4\","W117RX1",5.4,5.6,5.6,5.4,5,4.9,4.6,4.4,4.4,4,3.2,4,4.1,3.9
"29","22","            Sales to other sectors","W118RX1",9.2,9.9,9.2,8.2,10.6,7.5,8,5.5,6.1,4.8,6.6,4.9,4.4,4.1
"30","23","    Defense consumption expenditures \1\","A997RX1",404.9,404.4,383.5,367.2,350.6,338.1,332.2,328.1,319.8,324.6,321.5,334.1,358.2,390.3
"31","24","      Gross output of general government","W085RX1",409.5,408.9,388.5,372.3,357.6,342.4,336.8,331.9,323.1,327.7,324.6,337.5,361.9,393.5
"32","25","        Value added","W086RX1",259.4,260.8,250.9,243.5,234.1,224.3,216.7,210.3,204.6,200.6,199.2,200.1,203.8,209.6
"33","26","          Compensation of general government employees","B237RX1",199.2,198.5,186.9,178.8,169.6,160.3,153.5,148,143.3,139.9,138.9,139.9,143.7,148.8
"34","27","          Consumption of general government fixed capital \2\","B432RX1",62.6,64.4,65.5,65.8,65.2,64.3,63.3,62.4,61.3,60.7,60.2,60.1,60,60.5
"35","28","        Intermediate goods and services purchased \3\","W087RX1",149.8,148,137.7,129.1,123.9,118.5,120.3,121.7,118.6,127.2,125.4,137.4,158.5,185.3
"36","29","          Durable goods","A998RX1",34.4,32.9,29.6,26.9,23.1,21,20.8,20.9,21.1,22.4,22.3,22.5,23.4,25.3
"37","30","          Nondurable goods","A725RX1",12,12.2,11.3,10.4,9.4,7.7,8.6,8.6,8.9,9.9,10.4,10.9,13.1,14.1
"38","31","          Services","A489RX1",102.2,102,96.1,91.3,91.1,89.5,90.7,92,88.4,94.8,92.7,104,121.9,145.4
"39","32","      Less: Own-account investment \4\","W088RX1",2,2.2,2.1,2.1,1.9,1.8,1.7,1.6,1.5,1.4,1.1,1.4,1.9,1.9
"40","33","            Sales to other sectors","W089RX1",2.7,2.4,2.9,3.1,5.2,2.5,2.9,2.2,1.8,1.8,1.9,1.9,1.8,1.3
"41","34","    Nondefense consumption expenditures \1\","A542RX1",156.5,158.4,168.2,166,167.3,164.7,161.1,166.6,164.8,168.1,177.8,185.8,199,204
"42","35","      Gross output of general government","W128RX1",166.3,169.4,177.9,174.4,175.8,172.9,169.1,172.7,172.1,173.8,184.6,191.3,203.8,208.9
"43","36","        Value added","W129RX1",111.1,112,114.5,115.1,112.9,109.7,108.1,108.5,110.6,112.1,116.2,117,119.4,122.1
"44","37","          Compensation of general government employees","W130RX1",99.1,98.8,100.6,100.5,97.7,93.8,91.3,90.7,91.8,92,94.8,94.8,96.5,98.8
"45","38","          Consumption of general government fixed capital \2\","B546RX1",13.5,14.3,14.9,15.4,15.8,16.3,17,17.9,18.8,20.2,21.4,22.2,22.9,23.3
"46","39","        Intermediate goods and services purchased \3\","W131RX1",56,58,63.4,59.7,63,63.2,61,64.1,61.5,61.7,68.4,74.3,84.6,86.9
"47","40","          Durable goods","A543RX1",1.2,1.3,1.4,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.8,2,2.3,2.3
"48","41","          Nondurable goods","A729RX1",7.7,7.6,8.7,9,8.6,8.6,8.2,9,9,7.2,8.5,9.9,11.3,10.7
"49","42","            Commodity Credit Corporation inventory change","B826RX1",-1.1,0.2,-0.4,-0.1,-0.3,-0.1,-0.1,0,0.2,0.1,0.8,0.8,0,-0.2
"50","43","            Other nondurable goods","B828RX1",8.7,7.4,9.1,9.1,8.8,8.7,8.3,9,8.8,7.1,7.7,9.1,11.2,10.9
"51","44","          Services","A544RX1",47.9,49.3,53.9,49.8,53.5,53.5,51.5,53.7,51,52.9,58.1,62.4,70.9,73.7
"52","45","      Less: Own-account investment \4\","W136RX1",3.4,3.4,3.4,3.3,3.1,3.1,3,2.8,2.9,2.6,2.1,2.5,2.2,2.1
"53","46","            Sales to other sectors","W137RX1",6.4,7.5,6.2,5,5.3,5,5,3.3,4.4,3.1,4.7,3,2.6,2.8
"54","47","State and local consumption expenditures \1\","A991RX1",714.2,729,746.5,761.4,780.6,798.4,812.8,834.9,866.4,900.3,917.8,941.2,962.2,969
"55","48","      Gross output of general government","W138RX1",879.2,899.4,923.8,946.4,971.8,996.4,1014.5,1044.2,1084.9,1124.3,1153.2,1193,1229.9,1248.6
"56","49","        Value added","W139RX1",633.6,641.7,652.6,661.6,673.1,686.5,697.2,711.2,725.8,738.7,754.2,772.3,784.3,788.3
"57","50","          Compensation of general government employees","B251RX1",579.1,584.2,592.4,598.8,608,618.8,626.9,637.7,648.8,657.9,669.4,683.7,692.2,692.9
"58","51","          Consumption of general government fixed capital \2\","B986RX1",55.7,58.4,61,63.3,65.6,68.1,70.6,73.6,77.1,80.9,84.8,88.6,92.1,95.6
"59","52","        Intermediate goods and services purchased \3\","W140RX1",246.7,258.3,271.5,285,298.8,309.9,317.4,332.9,358.9,385.5,399,420.8,446.1,461.1
"60","53","          Durable goods","B989RX1",12.5,12.9,13.3,13.7,14.3,15.3,15.7,16.8,18.1,19.1,20.1,21.2,21.7,22.1
"61","54","          Nondurable goods","B337RX1",76.7,80.4,84.1,87.9,93,97.2,99.9,104.5,112.5,121,126.4,134.6,143,147.3
"62","55","          Services","A988RX1",157.4,165,174.1,183.4,191.5,197.4,201.8,211.5,228.3,245.4,252.5,265,281.5,291.7
"63","56","      Less: Own-account investment \4\","W144RX1",11.3,11.8,11.7,11.7,11.8,12,12.1,13.2,13.5,14.1,14.9,16.2,16.7,16.6
"64","57","            Sales to other sectors","W145RX1",153.3,158.4,165.5,173.4,179.5,186.2,189.7,196.1,205,209.9,220.6,235.6,250.9,262.8
"65","58","              Tuition and related educational charges","B1065X1",37.9,38.6,39.3,38.8,38.9,39,39.1,40,41.2,42.6,44.3,47.2,50.1,52.4
"66","59","              Health and hospital charges","B1066X1",73.3,76.3,80.8,85.5,88.9,92.9,92.5,94.8,100.1,100.9,105.5,114.9,124.3,131.1
"67","60","              Other sales","W146RX1",43.2,44.4,46.3,49.5,51.9,54.3,58.1,61.4,63.7,66.5,70.7,73.4,76.5,79.2
"68","61","Residual","W100RX1",-3.7,-2,-1.7,-1.8,-1.4,-0.7,-0.2,0.3,0.3,0.2,0,-0.3,-0.9,-1.4
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","and the 2000 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
