"","Table 5#8#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"49","42","      Water systems","W168RC1",7.6,7.8,8.5,8.5,9.7,10.3,10.1
"50","43","      Conservation and development","W169RC1",1.9,1.9,2.2,2.8,2.5,1.9,1.7
"51","44","      Other \5\","W200RC1",0.3,0.4,0.2,0.3,0.2,0.6,1.2
"52","45","    Net purchases of used structures","B870RC1",2.9,3.6,4,4.1,1.1,4.6,4.6
"53","46","Equipment and software \2\","A871RC1",97.1,103.1,111.5,115.2,118.7,124.9,129.6
"54","47","  Federal","A872RC1",57.7,60.1,65.1,66.2,68.1,73.8,78.1
"55","48","    National defense","A873RC1",39.2,39.9,42.8,43.8,45.6,51,55.1
"56","49","      Aircraft","B874RC1",5.8,5.8,7,7.8,8.5,9.4,9.3
"57","50","      Missiles","B875RC1",2.9,3.3,2.8,2.7,3.3,3.2,3.4
"58","51","      Ships","B876RC1",6.1,6.4,6.8,6.6,7.2,8.7,9.5
"59","52","      Vehicles","B877RC1",1.4,1.5,1.7,1.8,1.8,2.5,3
"60","53","      Electronics and software","B878RC1",9,9.1,9.8,10.1,9.8,9.8,10.3
"61","54","      Other equipment","B879RC1",14,13.8,14.7,14.9,15,17.5,19.6
"62","55","    Nondefense","B880RC1",18.5,20.2,22.4,22.3,22.5,22.9,23
"63","56","  State and local","B881RC1",39.4,43,46.4,49,50.6,51,51.5
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA
"65","57","  Government enterprise gross fixed investment","A882RC1",48.6,50.4,56.1,59.7,64.7,67.1,69.9
"66","58","    Federal","A883RC1",5.8,7.1,7.7,6.9,5.8,5.6,6.6
"67","59","      Structures","B884RC1",2.2,2.4,2.8,2.5,2.4,1.9,2.4
"68","60","      Equipment and software","B885RC1",3.6,4.6,4.9,4.4,3.4,3.6,4.2
"69","61","    State and local","A886RC1",42.9,43.3,48.4,52.8,58.9,61.5,63.3
"70","62","      Structures","B887RC1",37.5,36.9,41,45.5,51.1,52.8,54.6
"71","63","      Equipment and software","B888RC1",5.4,6.5,7.5,7.3,7.7,8.8,8.7
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA
