"","Table 6#3B# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"27","20","        Machinery, except electrical","J4120C0",4770,4146,4589,6261,6964,7445,6764,7217,8316,8584,7580,8673,8956,8853,9731,10278,11411,12740,14704,15495,16382,18131,18410,17690,19730,23109,26394,26689,29070,32893,38043,44391,48781,53706,51628,49242,56609,59378,58333,59641
"28","21","        Electric and electronic equipment","J4121C0",3083,2744,3271,4063,4671,5447,5034,5499,6151,6552,6403,7617,8255,8609,9497,9580,9839,10728,12491,13509,14483,15749,15861,15537,16639,19172,20606,19885,22204,25118,29017,33126,36724,40408,42500,46418,53675,57242,58186,58741
"29","22","        Motor vehicles and equipment","J4122C0",2560,2656,3221,3563,3642,4526,3958,4870,4383,4427,3780,4386,4730,4255,5001,5600,6041,6955,7303,7050,8519,8966,8128,9553,11026,13030,12522,11841,15165,18350,20458,21470,18856,20532,19075,22092,27093,30068,30329,29775
"30","23","        Other transportation equipment","J4123C0",1700,1652,1696,2964,4457,5422,5048,5100,5791,6417,6309,6652,6437,6612,7281,7711,7887,8303,10101,10995,11662,12024,10835,9723,10463,11374,12401,13016,13771,15134,17557,21019,24299,26760,27504,27876,31081,34582,37786,39816
"31","24","        Instruments and related products","J4124C0",856,819,965,1257,1458,1674,1626,1730,1951,2116,2097,2311,2415,2445,2588,2698,2823,3067,3559,3867,4177,4591,4654,4641,5112,5807,6462,6591,7380,8548,9643,11058,12709,14463,15633,16261,17478,18702,19716,20321
"32","25","        Miscellaneous manufacturing industries","J4125C0",1168,1088,1208,1296,1331,1495,1445,1512,1618,1615,1587,1698,1757,1754,1870,1925,2062,2205,2380,2480,2676,2873,2938,3001,3268,3555,3836,3791,4262,4613,5098,5530,5772,6128,6287,6476,7142,7031,7309,7671
"33","26","      Nondurable goods","J4126C0",20760,20357,22153,24253,25436,27222,27112,28948,30852,31843,31672,34152,35280,36034,37921,39052,41274,43646,47081,49611,53946,58079,60313,62412,66905,72237,77508,79524,89347,98047,107796,117890,127374,138293,143147,151168,162420,169148,176029,185216
"34","27","        Food and kindred products","J4127C0",5118,5207,5499,6052,6376,6769,6936,7249,7709,7921,7986,8421,8795,8988,9247,9451,9906,10231,10767,11320,11988,12718,13526,14083,14646,15433,16850,17862,19654,21222,23135,25184,27241,29147,30481,31270,32466,33697,35084,36599
"35","28","        Tobacco manufactures","B4128C0",202,214,224,259,277,292,303,314,329,337,342,358,377,370,389,397,422,423,436,454,484,500,558,577,609,672,733,769,839,883,975,1091,1259,1468,1574,1668,1691,1817,1780,1916
"36","29","        Textile mill products","J4129C0",3426,3048,3460,3581,3461,3490,3129,3327,3391,3282,3118,3467,3448,3399,3610,3639,3883,4242,4630,4758,5323,5652,5709,5955,6647,7292,7386,6970,8085,8648,9311,9874,10229,10714,10121,11102,11559,11300,12055,13112
"37","30","        Apparel and other textile products","J4130C0",2924,2809,3006,3126,3253,3449,3326,3517,3733,3770,3670,4012,4092,4120,4476,4620,4926,5274,5646,5946,6573,6928,6896,7108,7626,8257,8400,8314,9604,10122,11082,11623,12227,13053,12755,13512,14524,14233,14569,15050
"38","31","        Paper and allied products","J4131C0",1501,1465,1686,1923,2004,2224,2292,2499,2712,2812,2868,3152,3288,3464,3678,3828,4028,4250,4616,4876,5267,5768,5994,6172,6704,7290,7885,7921,9167,10182,11219,12390,13401,14550,15046,16086,17634,18479,19361,20220
"39","32","        Printing and publishing","B4132C0",2519,2653,2814,3033,3251,3530,3703,3942,4246,4471,4565,4849,5162,5331,5546,5723,6093,6436,6970,7427,7969,8695,9163,9424,10087,10829,11574,12066,13144,14458,16068,17903,19892,21824,23568,25532,28365,30907,33160,35567
"40","33","        Chemicals and allied products","J4133C0",2142,2126,2343,2838,3094,3475,3556,3815,4232,4540,4573,4907,5162,5350,5625,5896,6238,6628,7329,7890,8603,9450,9970,10251,10839,11799,13265,14499,16116,17931,19722,21831,24200,26531,28318,29254,31235,33161,33994,35699
"41","34","        Petroleum and coal products","J4134C0",912,919,961,1088,1176,1257,1271,1329,1409,1491,1462,1495,1462,1473,1447,1478,1471,1500,1558,1617,1755,1910,2015,2140,2271,2420,2725,3103,3485,3887,4270,4613,5177,5715,6048,6335,6537,6771,6707,6407
"42","35","        Rubber and miscellaneous plastics products","J4135C0",1035,976,1152,1332,1442,1595,1498,1771,1852,1960,1869,2156,2194,2225,2539,2656,2864,3158,3527,3679,4184,4658,4718,4958,5649,6386,6827,6221,7188,8599,9721,10992,11213,12483,12553,13737,15844,16467,17166,18439
"43","36","        Leather and leather products","J4136C0",981,940,1008,1021,1102,1141,1098,1185,1239,1259,1219,1335,1300,1314,1364,1364,1443,1504,1602,1644,1800,1800,1764,1744,1827,1859,1863,1799,2065,2115,2293,2389,2535,2808,2683,2672,2565,2316,2154,2207
"44","37","    Transportation and public utilities","A4137C0",13587,13385,14081,15977,16961,18004,17679,18757,20274,21248,20820,21976,22783,22903,23846,24627,26087,27598,29697,31594,34148,37540,40527,43607,47611,53192,57447,59892,66585,74158,84202,95229,104257,114895,120358,124640,133014,140421,145194,153820
"45","38","      Transportation","J4138C0",9783,9349,9863,11321,11833,12378,11772,12478,13460,14027,13410,14223,14629,14458,15059,15472,16317,17276,18579,19715,21346,23176,24505,26210,28203,31854,34024,34512,38451,43009,48890,55166,59247,63428,62819,63928,69212,72556,75054,80319
"46","39","        Railroad transportation","B4139C0",5422,4995,5187,5962,5995,6004,5476,5622,6015,6050,5556,5593,5498,5197,5241,5206,5300,5446,5542,5592,5726,5935,6268,6691,6799,7783,8174,8108,9061,9824,10694,12203,12850,13083,12204,11581,12121,11861,11629,11578
"47","40","        Local and interurban passenger transit","J4140C0",1203,1180,1164,1221,1254,1276,1229,1222,1240,1277,1248,1274,1307,1311,1321,1337,1374,1427,1503,1594,1708,1775,1868,1937,1934,2033,2213,2375,2500,2641,2834,3092,3423,3655,3764,3729,3885,4047,4237,4484
"48","41","        Trucking and warehousing \1\","B4141C0",1617,1689,1994,2295,2534,2878,2919,3299,3620,3820,3868,4396,4592,4667,5038,5345,5754,6265,6834,7173,7938,8765,9123,10227,11539,13228,14079,13786,15572,17805,20639,22922,23755,25426,24900,25573,28392,29725,30867,33656
"49","42","        Water transportation","J4142C0",880,800,832,1024,1094,1194,1091,1184,1272,1410,1223,1278,1379,1356,1422,1453,1552,1584,1795,1878,1980,2048,2112,1981,2093,2288,2480,2601,2839,3140,3655,4051,4572,5074,5013,4839,5082,5050,4930,4923
"50","43","        Transportation by air \1\","J4143C0",319,331,350,419,512,568,600,677,799,930,983,1124,1268,1329,1425,1504,1669,1852,2133,2637,3091,3645,4029,4208,4588,5114,5480,5894,6494,7345,8389,9771,11029,12052,12410,13380,14281,15744,16971,18588
"51","44","        Pipelines, except natural gas","B4144C0",123,121,117,132,147,148,147,148,158,166,162,164,160,161,158,156,154,153,156,158,166,175,183,194,202,210,233,285,321,350,432,489,577,649,693,717,682,709,707,723
"52","45","        Transportation services","J4145C0",219,233,219,268,297,310,310,326,356,374,370,394,425,437,454,471,514,549,616,683,737,833,922,972,1048,1198,1365,1463,1664,1904,2247,2638,3041,3489,3835,4109,4769,5420,5712,6367
"53","46","      Communication","A4146C0",2120,2222,2280,2532,2815,3109,3270,3519,3857,4095,4073,4239,4464,4611,4814,5011,5403,5759,6305,6735,7256,8299,9333,10145,11494,12695,14028,15262,16958,18817,21475,24563,27497,31423,35009,36272,37200,38991,39727,41535
"54","47","        Telephone and telegraph","J4147C0",1921,2003,2031,2241,2490,2742,2853,3069,3361,3568,3516,3655,3840,3976,4143,4298,4627,4933,5404,5763,6185,7119,8069,8817,10024,11101,12290,13362,14811,16398,18690,21392,23941,27427,30454,31316,31741,33032,33437,35080
"55","48","        Radio and television","J4148C0",199,219,249,291,325,367,417,450,496,527,557,584,624,635,671,713,776,826,901,972,1071,1180,1264,1328,1470,1594,1738,1900,2147,2419,2785,3171,3556,3996,4555,4956,5459,5959,6290,6455
"56","49","      Electric, gas, and sanitary services","J4149C0",1684,1814,1938,2124,2313,2517,2637,2760,2957,3126,3337,3514,3690,3834,3973,4144,4367,4563,4813,5144,5546,6065,6689,7252,7914,8643,9395,10118,11176,12332,13837,15500,17513,20044,22530,24440,26602,28874,30413,31966
"57","50","    Wholesale trade","J4150C0",9303,9155,9739,10937,11509,12226,12532,13344,14801,15566,15973,17057,18027,18567,19510,20496,21905,23541,25715,27568,29866,32846,35520,37631,41033,46096,52071,55080,60317,66707,75837,86703,96232,106457,111481,115292,128778,137921,145162,155286
"58","51","    Retail trade","J4151C0",14682,15069,16111,17479,18454,19673,20083,21462,22880,23934,24285,26114,27770,28168,29912,31645,34040,36714,39643,42445,46776,51321,55170,59369,64515,70957,77237,83151,92616,101872,114857,126577,136189,147178,154026,165681,183323,197955,211157,226225
"59","52","    Finance, insurance, and real estate","J4152C0",4921,5147,5683,6241,6756,7365,7980,8662,9454,10091,10750,11624,12330,13221,13876,14722,15820,16915,18243,20031,22613,25063,27311,29747,32714,36115,39611,43116,47572,53133,61116,69813,79945,89785,98454,111030,123235,138487,158071,176887
"60","53","      Banking","J4153C0",1228,1298,1399,1556,1716,1873,1999,2140,2341,2526,2704,2866,3104,3305,3508,3735,4000,4258,4611,5093,5702,6531,7400,8006,8628,9584,10979,12045,13121,14323,16064,18316,21051,23987,27045,29171,31362,34197,36869,39153
"61","54","      Credit agencies other than banks","J4154C0",320,351,401,456,522,587,656,747,848,930,986,1086,1209,1317,1409,1562,1686,1809,1908,2015,2166,2355,2522,2744,3032,3424,3828,4143,4597,5212,6094,7043,7874,8705,9468,11212,13152,15269,18347,20583
"62","55","      Security and commodity brokers","J4155C0",248,244,314,342,342,353,447,547,562,571,660,834,848,1092,1021,989,1092,1228,1491,1887,2558,2808,2432,2841,3237,3036,2850,3259,3819,4205,4835,5635,7643,9343,10902,14972,16187,18784,24206,29261
"63","56","      Insurance carriers","B4156C0",1620,1755,1914,2102,2310,2568,2740,2892,3150,3458,3692,3913,4149,4346,4571,4854,5203,5480,5804,6322,6893,7355,8139,8548,9240,9971,11050,11982,12984,14291,16256,18077,20102,21921,24158,25878,28050,30864,34456,37697
"64","57","      Insurance agents, brokers, and service","J4157C0",344,373,411,469,511,565,615,655,728,786,851,906,977,1047,1120,1188,1283,1379,1482,1606,1740,1921,2150,2356,2572,2927,3278,3750,4170,4856,5795,6782,7691,8499,9253,9974,11100,12676,14359,16355
"65","58","      Real estate","J4158C0",1095,1059,1180,1247,1272,1334,1430,1579,1710,1695,1716,1861,1882,1936,2057,2200,2342,2520,2681,2823,3190,3641,4145,4669,5345,6330,6623,6761,7569,8712,10300,11913,13156,14428,13997,15718,18528,21020,23274,25609
"66","59","      Holding and other investment offices","B4159C0",66,67,64,69,83,85,93,102,115,125,141,158,161,178,190,194,214,241,266,285,364,452,523,583,660,843,1003,1176,1312,1534,1772,2047,2428,2902,3631,4105,4856,5678,6559,8229
"67","60","    Services","J4160C0",12878,13275,14102,15350,16434,17640,18309,20119,22109,23796,25173,27228,29523,31341,33783,36032,39113,42503,47001,51894,57756,65530,72051,78173,86942,97759,108975,120290,134083,149709,172718,198062,227331,258971,287457,315654,352705,386801,423238,477155
"68","61","      Hotels and other lodging places","B4161C0",918,922,932,996,1065,1125,1145,1196,1263,1353,1367,1455,1549,1576,1662,1780,1946,2121,2344,2587,2852,3199,3512,3759,4134,4641,5036,5386,5967,6522,7620,8804,10038,11503,12459,13557,15238,16501,17888,19503
"69","62","      Personal services","J4162C0",1778,1787,1837,1959,2059,2159,2217,2315,2466,2574,2611,2741,2859,2949,3095,3222,3452,3701,3991,4258,4504,4729,4836,4808,4833,5090,5309,5527,5981,6516,7354,8079,8752,9506,10062,10951,12034,12893,13761,14973
"70","63","      Business services","J4163C0",1051,1083,1201,1385,1571,1766,1897,2128,2496,2793,3010,3414,3829,4238,4747,5127,5801,6496,7422,8305,9242,10695,11635,11989,13309,15134,16989,17863,20236,23199,27768,33560,39559,45921,50769,57600,69393,79636,89595,101692
"71","64","      Auto repair, services, and parking","B4164C0",562,531,521,547,582,614,615,657,727,793,839,942,1032,1082,1165,1256,1372,1484,1599,1735,1918,2163,2385,2595,2879,3333,3630,3930,4486,5097,6108,7083,7575,8267,9025,9619,11151,12751,13531,15019
"72","65","      Miscellaneous repair services","B4165C0",356,318,302,379,415,415,380,413,475,517,500,569,622,646,676,709,767,843,949,1044,1123,1240,1340,1421,1541,1797,2071,2195,2456,2745,3255,3883,4382,4846,4939,5030,5876,6239,6453,6727
"73","66","      Motion pictures","J4166C0",655,660,658,680,697,689,723,775,789,783,746,776,773,816,793,808,865,969,1043,1103,1176,1281,1279,1283,1350,1440,1587,1677,1906,2153,2477,2915,3117,3467,3663,4002,4473,4904,5191,6075
"74","67","      Amusement and recreation services","J4167C0",594,601,607,631,665,716,757,815,869,930,1025,1115,1224,1296,1388,1474,1572,1647,1767,1922,2087,2243,2429,2635,2930,3314,3721,4108,4609,5085,5795,6527,7413,8189,9016,9810,10536,11184,12007,13241
"75","68","      Health services","J4168C0",1505,1637,1851,2086,2318,2573,2810,3087,3322,3689,4095,4427,4841,5232,5693,6296,6971,7652,8592,9995,11748,13994,16614,19339,22871,26399,30869,36329,41464,46824,53609,61297,72014,83934,96119,105492,113314,121998,132489,151810
"76","69","      Legal services","J4169C0",224,240,270,301,336,376,404,440,485,519,561,610,666,712,772,834,915,993,1087,1185,1332,1548,1824,2113,2492,3098,3673,4295,4979,5773,6834,8193,9997,12154,14602,16943,19518,22383,25852,31429
"77","70","      Educational services","J4170C0",809,858,899,934,965,1021,1090,1180,1307,1450,1577,1746,1920,2157,2442,2686,2966,3347,3765,4130,4735,5525,6312,7038,7911,8377,8926,9390,9731,9956,10608,11718,13142,14654,16330,18009,19688,21222,22686,24859
"78","71","      Social services and membership organizations","J4171C0",1478,1688,1816,1981,2123,2346,2533,2735,2946,3198,3467,3894,4315,4686,5101,5365,5660,6050,6669,7285,7993,9069,9498,10338,11074,12113,13191,14666,15649,17125,19440,21322,23732,25504,27222,29105,31428,33244,36571,39967
"79","72","        Social services","B4172C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4498,5118,5609,6742,7712,8840,9692,10172,11096,12229,13675,15336,17173
"80","73","        Membership organizations","B4173C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10168,10531,11516,12698,13610,14892,15812,17050,18009,19199,19569,21235,22794
"81","74","      Miscellaneous professional services","J4174C0",587,597,639,823,1037,1163,1187,1350,1722,1900,1898,2014,2131,2253,2481,2689,2957,3279,3809,4223,4728,5468,5947,6363,7046,8277,9460,10369,11293,12869,15416,18410,21611,24990,27116,29371,32910,36654,39638,44307
"82","75","      Private households","B411RC0",2361,2353,2569,2648,2601,2677,2551,3028,3242,3297,3477,3525,3762,3698,3768,3786,3869,3921,3964,4122,4318,4376,4440,4492,4572,4746,4513,4555,5326,5845,6434,6271,5999,6036,6135,6166,7147,7192,7576,7552
"83","76","  Government","A553RC0",19020,20827,22633,29229,33378,34338,34905,36596,38802,41013,44122,46054,49182,52471,56347,60026,64925,69910,78389,86483,96689,105600,117232,126780,137887,148799,160512,176240,188906,202588,220018,237136,261461,285849,307537,324795,348138,373863,396959,422628
"84","77","    Federal","A4177C0",10230,11110,12250,17864,20823,20698,20020,20582,21162,21594,22732,23100,24045,25070,26630,27931,29901,31500,35840,39112,43146,46040,49647,51514,55043,57166,60482,64417,67804,71779,77546,82014,90120,100697,108406,113122,121147,128151,132009,138372
"85","78","      General government","A4178C0",8618,9325,10400,15810,18474,18389,17679,18113,18601,18916,19771,20057,20764,21582,22979,23970,25695,26976,30862,33783,37210,39582,42084,43642,46564,47998,50201,53339,55987,59285,64091,67431,73761,82051,89427,93132,99439,105274,108769,113594
"86","79","        Civilian","B4179C0",4487,4863,5147,6878,7744,7765,7407,7932,8431,8713,9431,9691,10349,11006,11723,12466,13288,14046,15438,16715,18365,19573,21402,22924,24601,25877,27703,30243,32510,34982,38405,40471,43944,46953,49566,51312,54668,57414,58742,61476
"87","80","        Military \2\","B4180C0",4131,4462,5253,8932,10730,10624,10272,10181,10170,10203,10340,10366,10415,10576,11256,11504,12407,12930,15424,17068,18845,20009,20682,20718,21963,22121,22498,23096,23477,24303,25686,26960,29817,35098,39861,41820,44771,47860,50027,52118
"88","81","      Government enterprises","B4181C0",1612,1785,1850,2054,2349,2309,2341,2469,2561,2678,2961,3043,3281,3488,3651,3961,4206,4524,4978,5329,5936,6458,7563,7872,8479,9168,10281,11078,11817,12494,13455,14583,16359,18646,18979,19990,21708,22877,23240,24778
"89","82","    State and local","A4182C0",8790,9717,10383,11365,12555,13640,14885,16014,17640,19419,21390,22954,25137,27401,29717,32095,35024,38410,42549,47371,53543,59560,67585,75266,82844,91633,100030,111823,121102,130809,142472,155122,171341,185152,199131,211673,226991,245712,264950,284256
"90","83","      General government","A4183C0",8157,9019,9634,10520,11517,12532,13735,14788,16378,18105,19964,21336,23363,25604,27712,29977,32682,35878,39841,44474,50195,55847,63412,70614,77785,85893,93528,104365,113158,122376,133045,144707,159454,172107,184973,196364,210592,227768,245741,264105
"91","84","        Education","B4184C0",3599,3983,4292,4740,5244,5739,6361,6909,7734,8692,9719,10617,11857,13022,14287,15707,17390,19221,21603,24248,27569,30857,35048,38841,42522,46496,50253,56135,61177,65756,70102,76073,82848,89212,95531,100704,108542,118207,128269,137198
"92","85","        Other","B4185C0",4558,5036,5342,5780,6273,6793,7374,7879,8644,9413,10245,10719,11506,12582,13425,14270,15292,16657,18238,20226,22626,24990,28364,31773,35263,39397,43275,48230,51981,56620,62943,68634,76606,82895,89442,95660,102050,109561,117472,126907
"93","86","      Government enterprises","B4186C0",633,698,749,845,1038,1108,1150,1226,1262,1314,1426,1618,1774,1797,2005,2118,2342,2532,2708,2897,3348,3713,4173,4652,5059,5740,6502,7458,7944,8433,9427,10415,11887,13045,14158,15309,16399,17944,19209,20151
"94","87","Rest of the world","A4187C0",86,58,78,14,2,-7,-57,-70,-82,-78,-72,-81,-155,-144,-95,-63,-54,5,24,30,12,22,23,21,-1,-13,-22,-43,-37,-62,-99,-71,-98,-156,-192,-173,-211,-215,-1782,-1356
"95","88","  Receipts from the rest of the world","B4188C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,159,167,173,178,187,196,205,213,223,237,251,268,282,295,330,357,385,402,404,430,465,511,540,574,619,646,908,994
"96","89","  Less:  Payments to the rest of the world","B4189C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,314,311,268,241,241,191,181,183,211,215,228,247,283,308,352,400,422,464,503,501,563,667,732,747,830,861,2690,2350
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","1. Beginning with 1987, reflects the reclassification of air couriers from trucking and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
