"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","  Consumption of fixed capital","A456RD3",0.015,0.016,0.017,0.017,0.017,0.015,0.014,0.012,0.012,0.014,0.012,0.011,0.01,0.01,0.009,0.01,0.011,0.013,0.015,0.016,0.018,0.017,0.018,0.018,0.018,0.019,0.018,0.02,0.022,0.024,0.022,0.022,0.022,0.021,0.021,0.021,0.021,0.021,0.023,0.023,0.025,0.028,0.03,0.031,0.032,0.038,0.046,0.047,0.05,0.055,0.061,0.07,0.077,0.087,0.085,0.083,0.085,0.086,0.085,0.085,0.09,0.094,0.101,0.102,0.102,0.103,0.104,0.104,0.105,0.104,0.105,0.108,0.124,0.122,0.122,0.122,0.128,0.129
"12","5","  Taxes on production and imports less subsidies plus business current transfer payments","W330RD3",0.011,0.012,0.012,0.015,0.018,0.018,0.017,0.015,0.015,0.016,0.015,0.014,0.014,0.013,0.012,0.014,0.016,0.019,0.021,0.022,0.023,0.022,0.023,0.024,0.024,0.023,0.023,0.024,0.025,0.027,0.026,0.028,0.028,0.028,0.028,0.028,0.028,0.027,0.028,0.03,0.032,0.035,0.037,0.037,0.038,0.041,0.045,0.046,0.047,0.048,0.049,0.055,0.063,0.067,0.07,0.071,0.073,0.078,0.079,0.079,0.081,0.085,0.093,0.094,0.097,0.1,0.097,0.097,0.095,0.092,0.092,0.093,0.094,0.099,0.103,0.103,0.106,0.109
"13","6","  Net interest and miscellaneous payments","A471RD3",0.004,0.006,0.007,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.008,0.01,0.01,0.01,0.011,0.014,0.015,0.013,0.013,0.014,0.017,0.023,0.027,0.032,0.03,0.031,0.032,0.032,0.031,0.033,0.042,0.043,0.04,0.032,0.029,0.027,0.029,0.027,0.028,0.03,0.032,0.036,0.039,0.032,0.028,0.025,0.023,0.022
"14","7","Corporate profits with IVA and CCAdj (unit profits from current production)","A463RD3",0.029,0.023,0.009,-0.004,-0.004,0.008,0.013,0.017,0.018,0.012,0.016,0.022,0.03,0.037,0.04,0.039,0.034,0.029,0.037,0.045,0.041,0.047,0.05,0.045,0.042,0.041,0.048,0.044,0.043,0.039,0.046,0.042,0.042,0.045,0.048,0.05,0.053,0.053,0.05,0.05,0.045,0.037,0.042,0.045,0.046,0.04,0.052,0.059,0.064,0.066,0.062,0.056,0.067,0.062,0.076,0.089,0.085,0.075,0.083,0.093,0.084,0.081,0.077,0.083,0.095,0.11,0.114,0.125,0.128,0.114,0.107,0.09,0.068,0.081,0.091,0.121,0.129,0.135
"15","8","  Taxes on corporate income","A465RD3",0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.004,0.007,0.016,0.021,0.024,0.021,0.019,0.016,0.019,0.019,0.015,0.025,0.03,0.024,0.023,0.02,0.023,0.022,0.021,0.018,0.021,0.019,0.019,0.018,0.019,0.019,0.02,0.02,0.018,0.021,0.02,0.017,0.017,0.018,0.021,0.022,0.022,0.026,0.028,0.029,0.029,0.028,0.026,0.02,0.024,0.027,0.025,0.026,0.03,0.031,0.03,0.029,0.026,0.027,0.03,0.035,0.035,0.036,0.036,0.034,0.034,0.032,0.021,0.018,0.025,0.034,0.045,0.048
"16","9","  Profits after tax with IVA and CCAdj","A466RD3",0.026,0.021,0.008,-0.005,-0.007,0.005,0.009,0.013,0.014,0.009,0.012,0.015,0.014,0.015,0.016,0.018,0.015,0.012,0.018,0.026,0.026,0.022,0.021,0.021,0.019,0.021,0.025,0.022,0.022,0.021,0.025,0.023,0.023,0.027,0.028,0.031,0.034,0.033,0.031,0.029,0.025,0.02,0.025,0.027,0.025,0.018,0.03,0.033,0.037,0.037,0.032,0.027,0.041,0.042,0.052,0.062,0.06,0.049,0.053,0.061,0.054,0.052,0.051,0.056,0.065,0.075,0.078,0.088,0.092,0.08,0.073,0.058,0.047,0.063,0.066,0.087,0.084,0.087
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. The implicit price deflator for gross value added of nonfinancial corporate business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","divided by 100. Estimates for nonfinancial corporate business for 2000 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","are based on the 1987 Standard Industrial Classification (SIC); later estimates for these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","industries are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
