"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","2","      Consumption expenditures \1\","A955RZ2",4.57,2.66,0.19,1.72,8.04,1.25,6.36,-0.84,4.41,5.97,3.81,29.34,69.68,32.44,12.4,-3.02,-44.33,-16.35,2.15,5.42,-0.47,23.44,14.22,4.72,-5.36,-1.5,0.01,4.02,1.04,0.93,0.94,2.48,4.98,2.63,1.74,2.68,6.78,6.51,3.66,1.14,-1.07,-0.2,0.39,-0.82,1.69,1.92,0.19,1.6,1.69,0.82,1.44,1.45,1.96,2.4,1.32,4.6,4.45,1.43,1.39,1.88,2.05,1.05,0.37,-0.25,0.24,0.17,0.31,1.47,1.32,2.57,1.43,2.56,3.52,2.1,1.26,0.65,1.18
"12","3","      Gross investment \2\","A782RZ2",5.63,1.52,-3.52,-5.2,4.75,1.49,10.34,-3.38,3.28,2.84,-1,36.93,65.64,16.34,0.15,-9.67,-21.25,1.33,5.14,6.51,0.57,13.12,6.16,2.43,-1.48,-2.17,0.05,0.43,2.16,2.45,-0.78,2.54,1.18,-0.05,0.45,0.34,2.02,1.16,-0.53,-1.38,-1.35,-1.98,-1.13,0.47,0.83,0.33,0.26,-0.5,1.26,1.05,0.51,-0.54,-0.2,1.26,2.03,2.37,1.64,1.03,-0.1,0.71,1.16,0.08,0.16,-0.67,-0.22,0.37,0.67,0.39,0.59,1.28,0.63,0.86,0.89,0.38,0.16,0.1,0.63
"13","4","        Structures","A760RZ2",5.79,1.14,-3.22,-5.28,2.9,0.98,10.81,-3.68,2.53,2.5,-1.21,13.6,16.5,-9.2,-3.78,-0.75,-1.07,2.28,3.31,4.3,2.02,2.91,1.79,0.7,0.87,-0.12,0.26,0.9,1.77,0.29,-0.05,1.23,0.21,0.77,0.63,0.85,0.82,0.31,0.41,-0.75,-0.97,-0.12,-0.58,-0.02,-0.12,-0.06,-0.18,-0.61,1.04,0.23,0.05,-1,-0.86,-0.01,0.81,0.88,0.6,0.31,0.05,0.01,0.64,0.22,0.16,-0.17,0.01,0.3,0.44,0.39,-0.03,0.65,0.36,0.53,0.48,0.1,-0.24,-0.23,0.21
"14","5","        Equipment and software","A871RZ2",-0.16,0.38,-0.3,0.08,1.85,0.51,-0.46,0.3,0.75,0.34,0.22,23.33,49.14,25.55,3.93,-8.92,-20.18,-0.95,1.83,2.22,-1.45,10.2,4.36,1.72,-2.35,-2.05,-0.21,-0.47,0.39,2.15,-0.73,1.32,0.97,-0.83,-0.17,-0.51,1.2,0.85,-0.94,-0.63,-0.38,-1.86,-0.55,0.49,0.94,0.39,0.44,0.1,0.21,0.83,0.46,0.46,0.66,1.27,1.22,1.48,1.05,0.72,-0.16,0.7,0.52,-0.14,0,-0.51,-0.24,0.08,0.23,0,0.62,0.63,0.27,0.32,0.41,0.28,0.4,0.33,0.42
"15","6","Federal","A823RZ2",1.97,0.66,0.43,4.92,9.01,0.55,16.32,-4.22,4.18,2.99,4.79,69.91,138.42,50.06,12.87,-12.96,-66.49,-18.88,4.79,5.85,-3.24,36.21,19.81,5.69,-9.35,-6.06,-1.13,2.2,-0.04,1.87,-1.63,2.39,4.83,0.04,-0.76,-0.02,5.85,5.32,0.43,-1.83,-3.77,-3.75,-1.91,-1.91,0.38,0.14,0.02,0.89,1.06,1.02,1.99,2.06,1.73,3.02,1.44,3.67,2.66,1.67,-0.73,0.69,0.89,-0.07,-0.74,-1.75,-1.52,-1.06,-0.44,-0.38,-0.4,0.77,0.3,1.31,2.36,2.35,1.52,0.55,0.81
"16","7","    Consumption expenditures","A957RZ2",1.08,-0.4,-0.63,2.82,6.61,-1.92,16.22,-3.83,4.19,3.64,1.64,27.95,69.09,32.54,12.55,-3.2,-44.59,-17.98,1.82,2.74,-2.3,23.54,13.9,4.02,-6.22,-2.99,-0.89,2.65,-0.98,-0.2,-0.68,0.82,4.09,1.16,-0.29,0.58,4.74,4.99,1.55,-1,-3.23,-2.12,-1.18,-2.31,-0.33,-0.31,-0.45,0.71,0.73,0.51,1.54,1.63,1.3,1.89,0.5,2.31,1.67,0.9,-0.12,0.53,0.55,0.09,-0.75,-1.19,-1,-0.96,-0.61,0.08,-0.64,0.5,0.39,1.19,1.93,2.08,1.21,0.29,0.49
"17","8","    Gross investment","A787RZ2",0.89,1.06,1.06,2.11,2.4,2.47,0.1,-0.39,-0.01,-0.65,3.14,41.96,69.33,17.52,0.31,-9.77,-21.9,-0.9,2.97,3.11,-0.94,12.67,5.91,1.67,-3.13,-3.07,-0.23,-0.45,0.94,2.07,-0.95,1.58,0.74,-1.12,-0.47,-0.6,1.1,0.34,-1.12,-0.83,-0.55,-1.63,-0.73,0.4,0.72,0.44,0.47,0.18,0.33,0.51,0.45,0.43,0.43,1.13,0.95,1.36,0.98,0.77,-0.61,0.16,0.34,-0.17,0.01,-0.56,-0.53,-0.1,0.17,-0.46,0.23,0.27,-0.09,0.12,0.43,0.28,0.31,0.26,0.31
"18","9","      Structures","A801RZ2",0.72,0.91,1.22,1.66,0.46,1.95,0.53,-0.37,-0.62,-0.78,2.63,18.3,20.04,-8.08,-3.62,-0.85,-1.65,0.29,1.37,0.95,0.52,2.51,1.61,-0.01,-0.71,-1.04,0.09,0.23,0.55,-0.01,-0.1,0.3,-0.16,-0.15,-0.15,0,0.03,-0.46,-0.13,-0.11,-0.11,0.24,-0.04,0.06,-0.09,0.02,0,0.05,0.2,-0.18,0.1,-0.04,-0.13,0.08,0.01,0.16,0.12,0.14,-0.3,-0.16,0.03,-0.05,0.12,0.02,-0.05,0.02,0.02,-0.19,-0.01,-0.05,-0.18,-0.05,0.06,0.04,-0.06,-0.04,0.01
"19","10","      Equipment and software","A872RZ2",0.18,0.15,-0.16,0.45,1.94,0.52,-0.43,-0.02,0.62,0.13,0.51,23.66,49.29,25.6,3.93,-8.92,-20.24,-1.18,1.6,2.16,-1.46,10.16,4.3,1.68,-2.43,-2.03,-0.32,-0.68,0.39,2.09,-0.85,1.28,0.9,-0.98,-0.32,-0.6,1.07,0.8,-0.99,-0.72,-0.43,-1.87,-0.69,0.34,0.81,0.42,0.47,0.13,0.13,0.69,0.35,0.47,0.57,1.05,0.94,1.2,0.87,0.63,-0.32,0.32,0.31,-0.11,-0.11,-0.58,-0.48,-0.12,0.15,-0.27,0.25,0.32,0.08,0.17,0.37,0.24,0.37,0.31,0.3
"20","11","  National defense","A824RZ2",0.71,0.05,0.03,-0.32,-1.15,1.74,1.79,0.07,0.45,1.01,7.34,72.78,141.17,51.09,12.54,-12.39,-67.47,-20.5,0.42,2.28,-0.56,38.27,18.77,3.98,-8.91,-5.53,-0.42,2.27,-0.29,-1.04,-0.8,2.1,2.86,-1.12,-1.78,-0.88,5.71,5.43,0.69,-2.1,-3.66,-4.27,-2.73,-1.83,-0.24,-0.29,-0.1,0.34,0.25,0.88,1.26,1.88,2.37,2.38,1.68,2.98,2.25,1.64,-0.16,-0.17,-0.01,-0.35,-1.55,-1.66,-1.37,-1.02,-0.35,-0.7,-0.49,0.43,-0.11,0.84,1.59,1.94,1.38,0.38,0.47
"21","12","    Consumption expenditures","A997RZ2",0.41,-0.27,0.13,-0.58,-1.3,1.86,0.39,-0.21,0.5,0.93,4.19,33.85,70.27,33.43,11.81,-2.45,-45.82,-18.67,-2.06,0.05,0.79,25.25,12.79,2.08,-5.92,-2.85,0.08,2.87,-0.98,-3.11,0.42,0.9,2.46,0.39,-0.93,0.12,4.69,4.56,1.54,-1.44,-3.2,-2.56,-1.94,-2.19,-0.91,-0.66,-0.44,0.26,0.27,0.32,0.97,1.44,1.79,1.5,0.88,1.75,1.31,1.04,0.32,-0.2,-0.18,-0.03,-1.35,-1.05,-1.08,-0.8,-0.38,-0.27,-0.52,0.3,-0.19,0.73,1.28,1.69,1.09,0.22,0.26
"22","13","    Gross investment","A788RZ2",0.3,0.32,-0.1,0.25,0.15,-0.13,1.4,0.28,-0.04,0.08,3.15,38.93,70.9,17.65,0.72,-9.94,-21.66,-1.83,2.48,2.23,-1.35,13.02,5.98,1.9,-2.99,-2.68,-0.51,-0.6,0.69,2.07,-1.22,1.2,0.4,-1.52,-0.85,-1,1.02,0.87,-0.85,-0.66,-0.46,-1.71,-0.79,0.36,0.66,0.38,0.34,0.08,-0.02,0.56,0.3,0.43,0.58,0.89,0.8,1.23,0.94,0.6,-0.49,0.04,0.17,-0.32,-0.19,-0.61,-0.29,-0.21,0.03,-0.44,0.03,0.13,0.07,0.11,0.31,0.24,0.29,0.16,0.21
"23","14","      Structures","A808RZ2",0.17,0.19,0,0.01,0.2,-0.11,1.04,0.27,-0.21,-0.19,2.78,18.14,20.57,-7.99,-3.41,-0.81,-1.48,-0.47,0.53,-0.01,0.22,2.85,1.72,0.07,-0.56,-0.72,-0.17,0.05,0.26,-0.08,-0.27,0.13,-0.34,-0.27,-0.28,-0.1,0.04,-0.06,-0.01,0.05,-0.12,0.15,-0.07,-0.01,-0.06,-0.02,-0.07,0.01,0.01,-0.09,0.08,-0.03,0.09,0.11,-0.02,0.14,0.06,0.06,-0.06,-0.14,-0.04,-0.13,0.04,-0.03,0.04,0.02,0.02,-0.08,-0.05,-0.02,-0.01,-0.03,-0.01,0.03,0,-0.01,0
"24","15","      Equipment and software","A873RZ2",0.13,0.13,-0.1,0.24,-0.06,-0.01,0.37,0.01,0.17,0.27,0.37,20.79,50.32,25.64,4.13,-9.13,-20.17,-1.36,1.95,2.24,-1.58,10.17,4.26,1.83,-2.43,-1.96,-0.34,-0.65,0.42,2.15,-0.96,1.08,0.74,-1.24,-0.57,-0.9,0.98,0.93,-0.84,-0.71,-0.34,-1.86,-0.72,0.37,0.73,0.4,0.41,0.08,-0.03,0.65,0.21,0.46,0.49,0.78,0.82,1.09,0.88,0.54,-0.43,0.18,0.21,-0.19,-0.23,-0.58,-0.33,-0.23,0.01,-0.35,0.08,0.15,0.08,0.15,0.32,0.21,0.29,0.17,0.21
"25","16","  Nondefense","A825RZ2",1.26,0.61,0.4,5.25,10.16,-1.19,14.53,-4.29,3.73,1.98,-2.56,-2.87,-2.75,-1.03,0.33,-0.57,0.99,1.62,4.37,3.58,-2.68,-2.06,1.04,1.72,-0.44,-0.53,-0.7,-0.07,0.25,2.9,-0.83,0.29,1.98,1.16,1.02,0.86,0.13,-0.11,-0.26,0.28,-0.11,0.52,0.82,-0.08,0.63,0.42,0.12,0.55,0.81,0.14,0.73,0.18,-0.64,0.64,-0.24,0.69,0.41,0.03,-0.57,0.85,0.9,0.27,0.8,-0.09,-0.15,-0.05,-0.09,0.32,0.09,0.34,0.42,0.47,0.77,0.42,0.14,0.17,0.34
"26","17","    Consumption expenditures","A542RZ2",0.67,-0.13,-0.76,3.39,7.91,-3.79,15.83,-3.62,3.69,2.7,-2.55,-5.9,-1.18,-0.89,0.74,-0.74,1.23,0.69,3.88,2.7,-3.09,-1.71,1.11,1.94,-0.3,-0.14,-0.98,-0.22,-0.01,2.9,-1.1,-0.08,1.64,0.77,0.65,0.46,0.05,0.43,0.01,0.45,-0.03,0.44,0.76,-0.12,0.57,0.35,-0.01,0.45,0.46,0.19,0.57,0.18,-0.49,0.39,-0.38,0.56,0.36,-0.15,-0.44,0.73,0.74,0.12,0.6,-0.14,0.08,-0.16,-0.23,0.35,-0.11,0.2,0.58,0.46,0.65,0.39,0.12,0.07,0.24
"27","18","    Gross investment","A798RZ2",0.59,0.74,1.16,1.85,2.25,2.59,-1.3,-0.67,0.04,-0.73,-0.01,3.03,-1.57,-0.14,-0.41,0.17,-0.24,0.93,0.49,0.88,0.41,-0.35,-0.07,-0.23,-0.14,-0.39,0.27,0.15,0.25,0,0.27,0.37,0.34,0.39,0.38,0.4,0.09,-0.54,-0.27,-0.17,-0.09,0.08,0.06,0.05,0.05,0.07,0.13,0.1,0.35,-0.05,0.16,-0.01,-0.15,0.25,0.14,0.13,0.05,0.18,-0.13,0.12,0.17,0.16,0.21,0.05,-0.23,0.11,0.14,-0.03,0.2,0.14,-0.16,0,0.12,0.03,0.02,0.1,0.1
"28","19","      Structures","A830RZ2",0.55,0.72,1.22,1.65,0.26,2.06,-0.51,-0.64,-0.41,-0.59,-0.15,0.15,-0.53,-0.09,-0.21,-0.04,-0.17,0.76,0.84,0.96,0.3,-0.34,-0.11,-0.07,-0.15,-0.32,0.25,0.18,0.29,0.07,0.17,0.17,0.18,0.13,0.13,0.1,-0.01,-0.4,-0.12,-0.15,0.01,0.09,0.03,0.08,-0.03,0.04,0.08,0.04,0.19,-0.09,0.02,-0.02,-0.22,-0.03,0.03,0.02,0.05,0.09,-0.24,-0.02,0.08,0.08,0.08,0.06,-0.09,0,0,-0.11,0.04,-0.02,-0.17,-0.02,0.07,0,-0.06,-0.04,0.02
"29","20","      Equipment and software","B880RZ2",0.05,0.02,-0.06,0.21,1.99,0.54,-0.79,-0.03,0.45,-0.13,0.14,2.87,-1.04,-0.04,-0.2,0.21,-0.07,0.18,-0.35,-0.08,0.11,-0.01,0.05,-0.16,0,-0.07,0.02,-0.03,-0.03,-0.07,0.1,0.2,0.16,0.26,0.25,0.31,0.1,-0.13,-0.15,-0.02,-0.09,-0.02,0.03,-0.03,0.08,0.03,0.06,0.06,0.16,0.04,0.14,0.01,0.08,0.27,0.12,0.11,-0.01,0.09,0.11,0.14,0.09,0.08,0.12,-0.01,-0.15,0.12,0.14,0.08,0.16,0.17,0,0.02,0.04,0.03,0.08,0.13,0.08
"30","21","State and local","A829RZ2",8.23,3.52,-3.76,-8.41,3.78,2.19,0.38,-0.01,3.51,5.82,-1.98,-3.64,-3.1,-1.28,-0.32,0.28,0.9,3.85,2.49,6.08,3.35,0.35,0.57,1.45,2.52,2.39,1.18,2.25,3.24,1.51,1.78,2.63,1.33,2.54,2.95,3.03,2.95,2.34,2.7,1.58,1.35,1.57,1.17,1.56,2.14,2.12,0.43,0.21,1.88,0.85,-0.04,-1.14,0.03,0.64,1.9,3.3,3.43,0.79,2.02,1.9,2.31,1.2,1.26,0.83,1.54,1.61,1.42,2.25,2.31,3.08,1.75,2.1,2.05,0.12,-0.1,0.2,1
"31","22","  Consumption expenditures","A991RZ2",3.49,3.06,0.82,-1.1,1.43,3.17,-9.86,2.98,0.22,2.33,2.16,1.39,0.59,-0.1,-0.16,0.17,0.25,1.63,0.33,2.68,1.83,-0.1,0.32,0.7,0.86,1.49,0.9,1.36,2.02,1.14,1.62,1.66,0.88,1.47,2.02,2.1,2.04,1.52,2.11,2.14,2.16,1.92,1.57,1.49,2.03,2.23,0.64,0.89,0.95,0.31,-0.1,-0.18,0.67,0.51,0.82,2.29,2.77,0.53,1.51,1.35,1.49,0.95,1.12,0.94,1.23,1.14,0.92,1.39,1.95,2.07,1.03,1.36,1.59,0.02,0.05,0.36,0.69
"32","23","  Gross investment","A799RZ2",4.74,0.46,-4.58,-7.31,2.35,-0.98,10.24,-2.99,3.29,3.49,-4.14,-5.03,-3.69,-1.18,-0.16,0.1,0.64,2.23,2.17,3.4,1.51,0.45,0.24,0.75,1.66,0.9,0.28,0.88,1.22,0.38,0.17,0.97,0.45,1.07,0.92,0.93,0.92,0.83,0.59,-0.55,-0.8,-0.35,-0.39,0.07,0.11,-0.12,-0.21,-0.68,0.93,0.54,0.06,-0.97,-0.64,0.13,1.08,1.01,0.66,0.25,0.51,0.55,0.82,0.25,0.15,-0.11,0.3,0.47,0.5,0.86,0.36,1.01,0.72,0.74,0.46,0.1,-0.16,-0.16,0.32
"33","24","    Structures","A842RZ2",5.08,0.23,-4.44,-6.94,2.43,-0.97,10.28,-3.31,3.15,3.28,-3.85,-4.7,-3.54,-1.12,-0.16,0.11,0.58,2,1.94,3.35,1.5,0.41,0.18,0.71,1.58,0.92,0.18,0.67,1.22,0.31,0.05,0.93,0.38,0.92,0.77,0.85,0.79,0.78,0.54,-0.64,-0.86,-0.36,-0.54,-0.09,-0.02,-0.09,-0.18,-0.65,0.85,0.4,-0.05,-0.96,-0.73,-0.09,0.8,0.73,0.48,0.17,0.35,0.17,0.6,0.27,0.03,-0.19,0.06,0.28,0.42,0.58,-0.01,0.69,0.53,0.58,0.42,0.06,-0.19,-0.18,0.19
"34","25","    Equipment and software","B881RZ2",-0.34,0.22,-0.14,-0.37,-0.08,-0.01,-0.04,0.32,0.13,0.21,-0.29,-0.33,-0.14,-0.05,0,0,0.06,0.23,0.23,0.06,0.02,0.04,0.06,0.04,0.08,-0.02,0.11,0.21,0,0.07,0.12,0.03,0.07,0.15,0.15,0.09,0.13,0.05,0.05,0.09,0.05,0.02,0.14,0.15,0.13,-0.03,-0.03,-0.03,0.08,0.14,0.1,-0.01,0.09,0.21,0.28,0.28,0.18,0.08,0.16,0.38,0.21,-0.03,0.11,0.08,0.24,0.19,0.08,0.27,0.37,0.31,0.19,0.15,0.04,0.04,0.03,0.02,0.12
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
