"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214"
"11","3","  Durable goods manufacturing industries","KS30D0",294148,295460,295842,297799,299408,300358,302414,303434,304482,306896,306184,309540,312746,315652,318231,319987,321134,323085,323297,324886,325850,328393,329109,328431,326768,327891,330172,329347,329614,329089,331688,330922,332245,331682,334099,335992,334564,336270,335461,337123,336062,338305,338917,340628,339595,341543,343995,343403,345036,342864,339181,339156,337683,335451,332788,331124,328837,326880,323879,320470,320102,319527,317328,316788,315579,315782,314936,315372,315796,315136,313853,316572,315364,318387,317044,316599,316738,314066,312048,310998,309822,310605,308852,310870,309746,309772,309884,309753,310040,311671,312787,313211,312711,313184,315069,315131,318081,320877,322522,322975,324728,324787,327796,327820,328432,329921,332064,332939,334159,333892,335610,337123,337690,338548,340484,340620,343151,345057,345331,345628,347762,348711,348993,349544,349938,350064,350100,350403,352074,353424,355314,358271,357879,357129,357453,355058,352753,350535,350112,350177,349199,350617,352320,353092,353910,352352,348006,345980,343579,338836,337168,333290,330700,330230,330421,329033,329772,330989,331289,332047,332777,335552,336729,338279,341017,342563,344555,345863,347712,348937,352283,354187,357112,357868,359631,361210,361011,363024,365465,366208,368270,368762,370371,371164,372942,374289,377082,379324,379637,380479,380977,380478,381290,382287,382007,383236,383248,384248,385521,385399,388220,389111,389265,391808,392217,394775,395703,396223,399509,400669,402173
"12","4","    Wood product manufacturing","KS3210",9809,9883,9827,9853,9812,9828,9966,10167,10359,10488,10506,10413,10272,10309,10284,10433,10591,10484,10607,10741,10861,11011,11124,10989,11146,11120,11073,10984,11052,11171,11450,11418,11239,11332,11469,11747,11956,11941,11873,11991,11816,11975,12050,11984,11838,11977,11971,11950,11924,11813,11645,11593,11794,12053,12039,11949,11932,11826,11677,11343,11584,11578,11780,11772,11862,11847,11731,11764,12004,12018,11993,11850,11989,12166,12097,12077,11892,11713,11585,11420,11388,11507,11670,11713,11700,11900,12161,12368,12452,12281,12267,12389,12673,12502,12620,12531,13101,13152,13446,13416,13331,13218,13109,13043,13014,13205,13187,13365,13103,13203,13120,13261,13401,13535,13448,13535,13478,13335,13225,13298,13235,13121,13094,13013,12973,12972,12987,12887,12728,12680,12587,12567,12434,11909,11662,11519,11447,11567,11625,11514,11534,11484,11209,10963,10878,10426,10234,10073,9743,9603,9560,9494,9338,9148,9001,8999,9087,9208,9280,9266,9394,9506,9470,9474,9603,9532,9483,9541,9661,9717,9596,9544,9571,9464,9476,9604,9657,9786,9944,9863,9854,9854,9759,9845,9805,9912,9941,9990,10074,10122,10137,10118,10210,10257,10412,10416,10553,10527,10598,10609,10570,10618,10710,10828,10952,11013,11044,11128,11115,11175,11235
"13","5","    Nonmetallic mineral product manufacturing","KS3270",13542,13608,13582,13681,13720,13777,13679,13653,13627,13522,13610,13694,13694,13726,13750,13715,13702,13661,13606,13621,13675,13672,13737,13635,13652,13579,13451,13393,13527,13436,13485,13797,13783,13915,13848,13981,14044,14033,13796,14000,13916,13908,13888,13942,13948,13873,13958,14169,14109,13988,14012,13950,13830,13890,13801,13732,13766,13751,13668,13487,13393,13307,13325,13337,13367,13433,13417,13504,13573,13663,13688,13810,13755,13879,14047,14105,14178,14182,14190,14085,14045,13892,13567,13640,13630,13665,13670,13673,13711,13647,13651,13742,13759,13974,14017,14003,13959,14042,14021,13986,14028,14126,14168,14134,14040,13959,13978,14114,14184,14176,14189,14255,14255,14311,14422,14470,14617,14691,14771,14712,14675,14747,14759,14817,14863,14831,14845,14933,14937,14925,14981,15111,15043,14978,15001,14959,14857,14778,14683,14617,14576,14618,14556,14567,14602,14339,14168,13987,13816,13636,13405,13163,13061,12935,12726,12571,12500,12455,12500,12339,12374,12398,12492,12439,12506,12507,12568,12552,12472,12485,12467,12522,12586,12614,12582,12586,12636,12688,12770,12836,12800,12800,12823,12863,12790,12801,12832,12898,12843,12866,12852,12796,12792,12745,12736,12726,12758,12829,12823,12953,12945,12876,12909,13016,13095,12969,13121,13156,13207,13294,13127
"14","6","    Primary metal manufacturing","KS3310",29228,29443,29908,29738,29887,30039,30067,30333,30377,30589,30717,30930,31172,30980,31018,31276,31513,31826,32131,32555,32906,32891,33011,33027,33030,32914,32605,32568,32976,32904,32968,33004,32893,33078,33298,33422,33571,33327,33133,33240,33205,33025,33117,32938,32913,32982,32816,32597,32567,32239,31822,31614,31124,30666,30363,30167,30127,30125,29807,29550,29273,29189,28780,28755,28761,29030,29071,29301,29357,29464,29664,29782,29877,30134,29702,29653,29508,28743,28491,28124,27710,27326,27356,27247,27369,27422,27624,27746,27674,28168,28322,28718,29177,29773,30158,30415,31056,31402,32032,32148,32408,32532,32507,32446,32234,31950,32027,32246,32423,32652,32452,32449,32680,32557,32638,32870,33422,33763,33733,33697,33721,33765,33858,33743,33380,33634,33853,33851,33467,33306,33439,33831,33782,33748,33806,33643,33626,33478,33390,33777,33471,33362,32934,32391,31921,31357,30303,29182,28268,27711,27051,26731,26510,26072,25796,25797,25799,25990,26224,26691,27111,27311,27461,27286,27268,27421,27604,27732,28042,28191,28531,28976,29307,29480,29699,29868,29961,30114,30530,30572,30596,30844,30702,30532,30622,30704,30669,30814,30917,31195,31099,31266,31401,31537,31351,31040,30871,30996,31149,31154,31425,31138,31048,31323,31450,31658,31668,31767,32012,32187,32390
"15","7","    Fabricated metal product manufacturing","KS3320",39952,40042,40302,40402,40477,40882,40814,40860,40954,41053,41257,41715,41635,41877,41884,42193,42150,42813,42496,42643,42798,42804,42973,42899,43106,42825,43004,43123,43213,42885,43133,43110,43308,43567,43733,43891,44003,44044,43869,44021,44405,44699,44679,44865,44773,44886,45100,44965,45224,44855,44676,44634,44769,44505,44185,44180,44236,44286,43890,43330,43510,43445,43496,43404,42716,43628,43305,43454,43668,43532,43523,43739,43292,45066,45179,44378,44288,43920,43235,43009,42773,42877,43026,42913,42778,42859,42754,42452,42628,42681,42888,42989,42752,42441,42539,42778,43045,43590,43864,44219,44671,44596,44876,44905,44777,44735,45238,45364,45696,45798,45937,45990,45946,46028,46043,46254,46414,46640,46799,47195,47678,47642,47679,47635,47462,47402,47310,46998,47337,47711,47615,48045,48076,48065,47846,47656,47410,46796,46883,46830,46806,46877,47352,47476,47682,47633,47070,46374,45931,45220,44788,44241,43773,43382,43345,43044,43072,42729,42918,42767,42377,42826,43058,43181,43236,43288,43418,43576,43624,43672,43948,44276,44800,44833,45023,45266,45184,45351,45959,46065,45883,45935,45996,46134,46269,46519,46669,46857,46954,47058,46862,46834,46817,46771,47102,47138,47139,47177,47356,47392,47536,47606,47698,47887,47923,48126,48229,48262,48452,48591,48865
"16","8","    Machinery manufacturing","KS3330",45652,45242,45171,45677,45917,46094,45945,45910,45865,46334,46533,46831,46938,47706,47698,47592,47539,47451,47810,48219,48492,48405,48762,48284,48531,48191,48266,48492,48282,47751,47989,47742,47707,48134,48399,48404,48501,48983,48554,49638,49142,49627,50126,50602,50461,51130,51043,51617,51813,51169,51189,50926,50061,49541,48974,48244,47961,47139,46544,46130,46053,46023,46179,46062,45922,45480,45607,45489,45468,45406,45277,46074,45422,45441,45019,45124,45005,44656,44385,44028,43968,44087,43363,43790,43612,43529,43456,43262,43478,43686,43795,43799,43623,43280,43723,43724,44116,44360,44511,44800,45140,45034,45757,46038,46161,46204,46476,46659,46865,46785,47169,47454,47736,47661,47875,48113,48848,49117,48826,49662,49733,49889,49592,49700,49641,49663,50020,50063,50312,50480,50404,50487,50500,50444,50968,50396,49872,49386,49466,49232,49330,49615,50092,50616,51619,50950,50133,49803,49223,48728,47776,47444,46887,46441,46193,45904,45549,45265,45282,45134,45116,45496,46100,46389,46771,47440,47918,48103,48461,48647,49418,49695,50500,50932,51470,52035,52033,52889,53453,53177,54483,54830,54959,55533,55751,56062,56794,57349,57407,57324,57227,56955,56549,56295,56452,56539,56472,56086,56237,56205,56589,56578,56064,56286,55619,55962,55683,55945,56401,56749,57144
"17","9","    Computer and electronic product manufacturing","KS3340",36144,36332,36600,37196,37729,38188,39332,39806,40130,40549,40949,41287,41733,42266,42987,43160,43151,42999,42379,42171,41938,42126,42005,41605,41454,42182,43433,43590,43674,43887,43619,43931,44107,43544,43859,44827,44367,45062,45504,46347,47266,48242,48956,50118,49617,51062,52873,53652,54504,54553,53335,52906,52802,52676,51661,51257,49690,48906,48564,47220,47366,46833,46539,46399,46055,45549,45420,45387,45105,44592,44338,43937,43866,44299,44355,44241,44416,44298,44220,44134,44330,44823,44738,45530,44757,44825,45649,46054,46151,46762,47019,46993,47112,47641,47446,47710,48256,48261,48012,48052,48436,48496,49131,49203,49502,49919,50618,50602,51136,50390,50913,51175,51082,51024,51375,51504,51237,51279,51408,50867,51545,51494,51460,51514,51732,51304,50353,50576,51423,51617,51989,52114,52224,52738,53398,53525,53756,53570,54047,54548,54727,55202,55485,55879,55690,55899,55267,55802,55527,54687,54439,54243,54631,54670,54992,55541,55091,55472,55041,54997,55384,56189,56156,56555,56940,57185,56956,56822,57031,57577,58240,58618,58961,58996,59171,59196,59054,59403,59383,59444,59869,59620,60257,60309,59991,59641,60080,60270,60297,60282,60360,60253,60388,60119,60179,60294,60646,61074,60876,60690,61265,61112,61347,62027,61722,61974,62186,61868,63039,62846,62599
"18","10","    Electrical equipment, appliance, and component manufacturing","KS3350",16842,16991,17041,17317,17493,17591,17798,17793,17793,17755,17803,17796,17947,17994,18091,17981,17898,17914,18016,18155,18163,18315,18357,18349,18180,18111,18104,18214,18238,18225,18181,18084,18366,18429,18407,18309,18345,18455,18312,18403,18481,18481,18703,19054,19195,19338,19144,19400,19313,19428,19281,19212,18952,18650,18271,18303,18218,18312,18084,18103,18049,18136,18077,18138,18128,18055,18109,17993,18042,18001,17998,17843,17841,17769,17728,17714,17709,17545,17371,17262,17174,17198,17260,17260,17210,16939,16930,16811,16984,17046,17096,17221,17133,17000,16896,16873,16893,16923,16971,17064,17050,16946,16888,16810,16921,16918,16879,16891,17045,17035,17129,17092,16958,17066,17128,17374,17087,17212,17313,17674,17703,17796,17817,17808,17717,17625,17694,17735,17553,17974,18272,18439,18572,18748,18442,18533,18277,18332,18163,18162,18202,18322,18338,18301,17937,17887,17790,17619,17505,17214,17077,16905,16751,16531,16500,16381,16400,16131,16123,16004,16104,16258,16357,16558,16694,16638,16587,16544,16502,16652,16647,16751,16860,16912,16897,16989,16932,16986,17089,17102,17508,17483,17347,17422,17459,17476,17476,17465,17584,17659,17580,17515,17769,17781,17730,17566,17532,17649,17701,17579,17486,17759,17698,17578,17611,17568,17536,17504,17543,17154,17513
"19","11","    Transportation equipment manufacturing","KS3360",82580,83239,82295,82771,82878,82076,82534,82089,82335,83261,81117,83041,85385,86553,87756,88741,89614,91393,91830,92745,93159,95269,95288,96177,94199,94971,95474,94033,93697,93803,95993,94835,95507,94575,95762,95518,93883,94155,93675,92407,90215,90285,88990,87912,87612,86456,86423,84309,84222,83109,81790,83255,83101,82140,82721,82706,82877,83106,82330,82337,81953,82293,80548,80336,80117,80288,79723,80138,79855,80097,79236,81326,80966,81374,80392,80819,81112,80277,79516,79873,79545,79726,78664,78968,78996,78945,77977,78030,77499,77732,78088,77691,76892,76600,77742,77120,77724,79172,79805,79140,79547,79446,80627,80020,80478,81649,81866,81747,81556,81797,82558,83237,83512,84370,85252,84024,85382,86306,86629,85834,86765,87469,88083,89135,89595,90067,90376,90824,91719,92023,93276,94873,94631,94338,94387,93362,92385,91673,90697,90083,88794,89195,90126,90248,90800,91100,90259,90524,90941,89556,90741,88910,87728,89152,89909,89044,90423,91808,92026,92647,92627,93155,93106,93703,95166,95736,97141,97834,98628,98739,100196,100596,101445,101646,102348,102663,102479,102632,103121,104042,104415,104875,105925,105876,107511,108350,109569,110733,110732,111165,112107,112078,112778,114121,113579,115139,115015,115709,116501,116489,118082,119012,119327,120263,121140,122689,123284,123601,124747,125627,126076
"20","12","      Motor vehicle and parts manufacturing","KS3MV0",26613,26930,27126,27428,27866,27068,27220,27175,27554,27098,26905,27048,27286,27253,27856,27195,27053,27640,27109,26784,27072,27028,27714,27783,27486,27287,28253,27690,27660,28033,28466,28464,28316,28564,29334,29611,29407,29575,29174,29294,29565,29545,29659,29661,29643,29758,29658,29330,28934,28574,27975,28419,28099,27940,27762,27363,27137,27033,26447,26343,25925,25765,25984,26544,26774,26902,27279,27179,27652,27820,27678,27744,27650,28259,27803,27943,27924,27788,27988,28380,28031,28092,28198,28434,28845,28609,28572,28366,28162,28522,28498,28486,28848,28680,28817,28540,28869,28993,29424,29437,29350,29548,29296,29265,28882,29518,29557,29334,29150,29275,29507,29648,29552,29714,29813,29625,29636,29811,30098,29961,29927,29994,29875,29541,29492,29376,29406,29196,29314,29145,28787,28968,28478,28238,28234,27625,27154,27124,26614,26326,26078,26250,26045,25495,25411,25350,25017,24764,24667,23355,23345,23266,23078,22973,23097,23457,23747,24942,24880,24965,24946,24785,24925,25106,24998,24988,25343,25200,25320,25500,25422,25752,25966,25936,26241,26275,26614,26724,26746,26909,26901,26779,27207,26893,27157,27411,27548,27711,27596,27731,27749,27800,27414,27316,26850,26998,27046,26999,26982,27166,27357,27328,27075,27016,27548,27685,27801,27868,27725,27970,28037
"21","13","      Other transportation equipment manufacturing","KS3OT0",55792,56126,54969,55137,54792,54808,55111,54710,54567,55972,54009,55803,57918,59128,59713,61388,62414,63603,64597,65851,65966,68126,67443,68259,66577,67548,67083,66207,65901,65633,67389,66230,67051,65869,66284,65762,64332,64432,64354,62964,60511,60596,59194,58117,57837,56572,56637,54853,55162,54409,53689,54706,54872,54070,54831,55216,55614,55947,55759,55869,55899,56393,54440,53677,53232,53272,52335,52843,52095,52168,51453,53466,53198,53006,52475,52760,53069,52373,51426,51399,51411,51530,50382,50453,50082,50260,49336,49589,49262,49141,49517,49133,47988,47862,48862,48516,48792,50114,50316,49639,50133,49837,51263,50690,51521,52058,52236,52339,52330,52447,52974,53510,53880,54574,55358,54316,55664,56412,56448,55790,56753,57389,58121,59515,60025,60615,60893,61556,62334,62812,64440,65861,66118,66069,66122,65719,65223,64528,64072,63749,62699,62928,64073,64755,65394,65755,65247,65767,66282,66212,67404,65651,64656,66180,66810,65589,66677,66864,67145,67682,67678,68371,68181,68596,70168,70748,71798,72637,73313,73242,74785,74850,75485,75718,76112,76395,75862,75903,76374,77134,77518,78104,78723,78995,80370,80953,82039,83041,83157,83454,84382,84300,85393,86840,86767,88181,88009,88752,89560,89366,90767,91725,92294,93289,93635,95048,95527,95777,97065,97700,98082
"22","14","    Furniture and related product manufacturing","KS3370",8409,8357,8342,8311,8511,8500,8551,8450,8476,8444,8476,8561,8523,8570,8569,8655,8734,8656,8645,8643,8665,8708,8708,8686,8720,8726,8737,8708,8729,8750,8815,8836,8785,8938,8956,9075,9138,9202,9218,9195,9247,9309,9290,9412,9463,9437,9508,9393,9456,9451,9686,9576,9425,9299,9164,9072,9128,9082,9051,8886,8886,8896,8855,8814,8878,8922,9000,9011,9278,9283,9314,9386,9468,9373,9363,9320,9246,9195,9257,9058,8842,8884,8900,8951,9016,8985,8816,8892,8892,8979,9049,9118,9090,9204,9160,9231,9232,9262,9222,9249,9258,9286,9301,9331,9412,9390,9530,9578,9588,9527,9617,9581,9550,9598,9579,9635,9660,9724,9734,9601,9627,9659,9527,9509,9521,9533,9518,9483,9473,9490,9469,9470,9425,9324,9286,9156,9176,9072,9059,9000,8976,8866,8811,8773,8774,8642,8611,8463,8377,8249,8165,8098,8039,7981,7949,7904,7875,7872,7818,7942,7948,7903,7879,7889,7918,7940,7934,7869,7931,7887,7870,7829,7787,7750,7754,7761,7720,7654,7643,7662,7646,7588,7577,7640,7674,7685,7704,7686,7688,7751,7757,7739,7664,7669,7590,7585,7541,7549,7540,7548,7499,7469,7458,7474,7510,7545,7552,7570,7573,7589,7576
"23","15","    Miscellaneous durable goods manufacturing","KS3390",17129,17128,17172,16959,16841,17041,16643,17028,17048,17253,17333,17431,17519,17576,17779,17828,17889,17805,18102,18019,18082,18043,18160,17950,17998,18061,18137,18298,18363,18196,18190,18176,18531,18538,18680,18752,18948,18950,19061,19207,19303,19310,19452,19719,19890,20005,19992,19911,20143,20321,20172,20009,20217,20288,20080,20054,20047,19772,19628,19794,19652,19615,19606,19671,19719,19822,19858,19702,19981,19799,19680,19869,19886,20002,20200,20144,20257,20249,20388,20491,20390,20437,20469,20818,20794,20798,20816,20326,20453,20523,20426,20439,20414,20649,20708,20675,20612,20668,20669,20958,20910,21156,21421,21873,21817,21847,22075,22213,22384,22414,22382,22491,22452,22302,22624,22736,22939,22915,22807,23067,23029,23084,23072,22648,23063,23035,23164,23076,23186,23276,23336,23391,23240,22867,22714,22332,21941,21898,22114,22373,22762,23108,23485,23982,24113,24244,24293,24253,24329,24309,24226,24131,24058,24012,24113,23952,24075,24187,24187,24343,24425,24594,24715,24890,25031,24996,25062,25404,25471,25483,25486,25444,25330,25251,25213,25233,25337,25515,25511,25393,25169,24850,25003,25006,25053,25110,25351,25278,25146,25042,25019,24932,24937,25005,24906,24868,24833,24782,24859,24898,24969,25084,25173,25332,25395,25474,25620,25619,25681,25711,25852
"24","16","  Nondurable goods manufacturing industries","KS30N0",226101,226546,227840,228981,229829,230344,229526,231088,232369,233785,234693,235408,235234,236110,236170,235913,235997,235844,236382,235635,234967,235320,236750,234558,235864,236115,236884,238372,240057,239929,240189,240903,241697,243064,244685,245537,245534,245762,244991,245604,245753,246612,247692,246913,247134,247483,247581,246530,248369,245072,244696,244679,244021,242553,242117,241651,242031,241870,241563,241198,241921,239005,239108,240059,239984,240398,241851,242905,244249,244720,244897,244550,243432,245257,244023,244709,244134,244277,243912,244179,243362,242575,243185,241401,240464,241736,241773,241083,241314,242054,242862,243643,242040,242455,243998,243557,245738,246835,247580,247318,245352,246501,246964,246068,245538,246697,246159,248383,251126,250507,251530,252275,252442,253712,253146,254309,254290,254573,255188,254664,253754,253683,253491,254731,256809,257677,256936,257058,259573,258964,259508,259589,265092,264882,264990,263300,261608,265478,262745,262467,259958,256927,255328,247124,247301,245298,246324,244205,244590,244997,243892,245124,243269,244896,245460,244921,244269,245444,245191,244288,241789,242364,243788,244366,245785,247465,248145,250427,250632,250059,249034,253095,252836,252752,251865,250972,249397,252705,253076,252218,252719,252868,251520,251771,250745,250709,250331,250753,252580,250433,249502,249635,249601,247898,248453,248716,248383,248037,247568,248437,247447,246928,246886,246569,246477,246922,245933,246797,247896,248011,247533
"25","17","    Food manufacturing","KS3110",42754,43095,43373,43445,43486,43884,43803,43975,44058,44304,44344,44505,44719,44934,44560,44519,44402,44355,44248,43965,44051,43993,43866,44041,44447,44395,44432,44729,44768,44685,44825,44720,45288,45576,45785,45878,46251,46479,46738,46483,46539,46511,46645,46688,46555,46163,46209,46546,47831,45778,45806,45844,45932,45667,45762,45460,45616,45442,46082,45942,46259,45932,45565,46388,46296,46844,47089,47335,47191,47110,47221,47180,47184,47460,47652,47227,47532,47204,47040,46924,46541,46482,46676,46317,46257,45960,45711,44968,44786,44855,45371,45590,45598,45444,45183,45291,45084,45326,45567,46264,45960,46063,46312,46451,46664,46794,46802,46875,47487,47584,47652,47637,47475,47516,47137,46843,46686,47225,47115,47122,46807,46367,46021,46070,47095,47405,46788,47268,47470,46931,46501,46567,46292,45922,46285,46145,45963,46235,45655,45434,45695,46215,46769,46891,47370,47296,47705,47678,47990,47731,47907,48229,47736,48347,48298,48457,47923,48027,47729,47742,47682,47759,47869,48001,48362,48297,47894,48000,47286,46735,46576,46381,46603,46686,46712,46766,46448,46889,47191,47598,47858,47975,47821,47700,47673,47681,47424,47074,46833,47040,46948,46950,46590,46108,45884,45978,45831,45750,45567,45691,45855,45722,45798,45172,45004,44778,44521,44208,44169,44496,44774
"26","18","    Beverage and tobacco product manufacturing","KS3120",13949,13927,13910,14211,14217,14210,14347,14444,14492,14613,14702,14629,15010,14771,14870,14652,14609,14478,14533,14216,14224,14594,14695,14592,14490,14669,14366,14523,14662,14492,14282,14303,13929,14113,14030,14367,14435,14510,14402,14407,14384,14488,14403,14368,14452,14378,14459,14326,14209,14240,14447,14513,14638,14573,14839,14830,14783,14685,14653,15024,15039,14847,14851,14827,14864,15090,14912,14933,15120,15068,14968,15116,14944,14949,14732,15135,15041,14966,14957,14883,14948,14938,15103,14882,14821,14995,14653,14660,14613,14777,14630,15200,15200,14834,14804,14782,14956,14817,14725,14810,14842,14784,14943,14944,14817,15228,15284,15196,15189,15202,15068,15121,15029,14987,15076,15222,15097,15213,15223,15221,15254,15135,15130,15162,15203,15116,15151,15068,14915,14919,14868,14851,14932,14964,14815,14811,14745,14713,14613,14641,14763,14648,14682,14682,14671,14959,15203,15269,15326,15437,15510,15617,15754,15874,15837,15881,15694,15771,15729,15660,15801,15851,15789,15745,15626,15664,15680,15701,15834,15855,15797,15772,15755,15713,15835,15728,15764,15786,15878,15992,16061,15885,16226,16304,16297,16395,16437,16255,16456,16698,16645,16667,16553,16632,16637,16703,16759,16791,16773,16916,16945,16899,16919,16947,17100,17112,17113,17246,17227,17359,17336
"27","19","    Textile mills","KS3130",7359,7322,7330,7363,7323,7327,7320,7384,7326,7331,7282,7297,7298,7339,7339,7315,7358,7325,7378,7329,7369,7377,7366,7368,7424,7441,7462,7460,7458,7508,7498,7493,7526,7462,7514,7564,7428,7331,7336,7340,7295,7268,7261,7243,7161,7188,7180,7072,7190,7060,6874,6939,6924,6897,6817,6807,6822,6806,6773,6601,6595,6603,6579,6412,6421,6405,6425,6493,6404,6437,6344,6353,6356,6369,6389,6419,6449,6482,6412,6381,6372,6264,6263,6202,6180,6177,6214,6207,6190,6148,6186,6201,6163,6140,6161,6135,6145,6136,6070,6081,6119,6095,6087,6008,6008,6041,6031,6067,6097,6097,6100,6045,5971,6027,6051,6070,6083,5963,5912,5913,5874,5898,5804,5777,5770,5809,5773,5826,5795,5765,5742,5760,5703,5625,5683,5578,5540,5403,5487,5442,5436,5452,5467,5388,5351,5298,5237,5217,5127,5041,4962,4879,4791,4848,4801,4743,4725,4743,4727,4698,4699,4721,4734,4755,4782,4806,4837,4867,4876,4840,4835,4857,4873,4870,4870,4846,4847,4841,4830,4815,4795,4779,4760,4716,4687,4709,4701,4701,4705,4696,4681,4673,4659,4674,4672,4695,4701,4689,4700,4707,4700,4720,4734,4738,4766,4758,4779,4761,4750,4745,4726
"28","20","    Textile product mills","KS3140",3666,3718,3762,3800,3843,3892,3908,3924,3954,3940,3969,3978,3986,4007,3981,3958,3942,3889,3869,3875,3847,3799,3768,3753,3698,3770,3886,3931,3949,4004,4008,4027,4033,4105,4094,4106,4128,4150,4205,4236,4303,4340,4381,4391,4451,4460,4534,4546,4600,4606,4589,4595,4621,4723,4680,4694,4713,4735,4742,4735,4636,4505,4392,4360,4293,4214,4171,4106,4034,3939,3818,3719,3793,3830,3839,3873,3872,3855,3848,3865,3821,3786,3834,3854,3823,3816,3840,3854,3824,3831,3841,3840,3888,3881,3871,3848,3930,3948,3970,3935,3950,3949,3923,3945,3911,3962,3920,4058,4014,4009,3999,3990,3968,4055,4102,4106,4103,4104,4080,4078,4030,4010,3956,3915,3982,3982,3971,3963,3967,3961,3971,3988,4001,3986,3974,3962,3922,3871,3960,3929,3916,3930,3917,3883,3686,3591,3541,3456,3394,3344,3326,3314,3300,3299,3293,3299,3303,3312,3328,3354,3378,3430,3468,3508,3550,3574,3586,3605,3638,3591,3532,3525,3526,3502,3495,3512,3477,3452,3454,3452,3408,3416,3408,3403,3395,3400,3400,3396,3399,3410,3433,3445,3455,3460,3468,3457,3453,3455,3451,3462,3473,3486,3486,3488,3498,3511,3513,3515,3511,3491,3514
"29","21","    Apparel manufacturing","KS3150",10296,10313,10340,10447,10558,10696,10781,10881,10844,10907,10770,10766,10759,10762,10854,10823,10748,10751,10742,10741,10779,10841,10839,10761,10734,10869,11053,11113,11253,11336,11391,11481,11533,11487,11430,11534,11539,11424,11346,11222,11135,11063,11146,11065,10996,11058,11209,11142,11229,11063,10753,10586,10439,10330,10029,9822,9568,9471,9342,9020,8948,9031,8980,8942,8956,8978,8960,8979,9054,9112,9141,9114,9210,9307,9397,9512,9537,9426,9445,9302,9216,9126,9107,9132,9050,8870,8914,8831,8811,8851,8895,8895,8889,8893,8897,8851,8940,8965,8960,8979,8950,8866,8797,8815,8826,8833,8736,8696,8655,8642,8624,8585,8551,8469,8513,8594,8342,8435,8591,8701,8652,8639,8607,8630,8604,8606,8669,8536,8527,8522,8470,8502,8500,8458,8411,8413,8401,8394,8379,8353,8283,8256,8220,8183,8103,8073,8038,8005,7960,7946,7893,7837,7811,7776,7776,7768,7763,7737,7714,7677,7660,7727,7724,7732,7752,7755,7736,7736,7716,7695,7694,7676,7694,7684,7702,7712,7717,7786,7785,7772,7784,7783,7785,7796,7810,7834,7861,7895,7911,7917,7965,7934,7960,7995,8006,8028,8037,8063,8079,8097,8116,8174,8203,8266,8273,8333,8399,8468,8528,8586,8652
"30","22","    Leather and allied product manufacturing","KS3160",1958,1969,1943,2004,2042,2053,2052,2036,2037,2058,2046,2057,2064,2079,2082,2126,2135,2124,2128,2124,2112,2124,2151,2068,2025,2028,2036,2027,2023,2081,2063,2066,2093,2102,2109,2072,2038,2044,2038,2051,2030,2035,2046,2044,2038,2043,2023,1949,1964,1961,1953,2037,1967,1893,1879,1871,1868,1855,1831,1759,1690,1669,1615,1571,1557,1565,1585,1615,1596,1619,1638,1624,1632,1619,1627,1617,1617,1612,1584,1572,1572,1558,1560,1567,1553,1554,1547,1545,1532,1518,1516,1515,1516,1540,1548,1562,1582,1587,1599,1616,1605,1598,1595,1609,1623,1626,1631,1620,1627,1580,1588,1597,1611,1635,1650,1679,1705,1712,1719,1755,1758,1763,1760,1759,1749,1757,1752,1749,1737,1755,1743,1719,1703,1687,1693,1965,1906,1853,1822,1793,1780,1753,1747,1720,1736,1740,1765,1741,1733,1718,1710,1702,1679,1640,1647,1642,1642,1641,1622,1614,1608,1618,1626,1634,1653,1673,1696,1696,1711,1714,1730,1741,1739,1740,1749,1749,1748,1758,1760,1771,1771,1771,1769,1777,1789,1810,1810,1825,1831,1820,1864,1865,1858,1843,1862,1857,1851,1832,1824,1814,1816,1809,1800,1799,1795,1796,1794,1794,1794,1799,1795
