"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"55","36","  Total receipts","W018RC1","195,398.0","188,813.0","195,296.0","224,370.0","254,338.0","283,295.0","281,719.0","327,808.0","370,667.0","428,785.0","492,270.0","539,552.0","627,339.0","625,544.0","649,985.0","716,633.0","781,626.0","824,291.0","906,170.0","969,073.0","1,049,734.0","1,097,267.0","1,116,551.0","1,163,363.0","1,241,657.0","1,341,834.0","1,427,826.0","1,548,644.0","1,682,208.0","1,808,918.0","1,929,503.0","2,091,254.0","2,054,756.0","1,891,082.0","1,911,913.0","2,046,813.0","2,323,089.0","2,559,557.0","2,687,263.0","2,531,933.0","2,248,396.0","2,406,826.0","2,529,167.0","2,698,148.0","3,133,856.0","3,323,561.0"
"56","37","    Current receipts","W005RC1","191,835.0","185,131.0","190,709.0","219,009.0","249,246.0","278,500.0","276,832.0","322,225.0","363,510.0","423,573.0","486,776.0","533,038.0","620,448.0","618,029.0","644,212.0","710,663.0","775,253.0","817,320.0","898,962.0","961,431.0","1,040,835.0","1,085,669.0","1,105,551.0","1,152,083.0","1,228,754.0","1,326,725.0","1,412,878.0","1,531,155.0","1,661,645.0","1,783,759.0","1,900,732.0","2,063,152.0","2,026,805.0","1,865,781.0","1,889,937.0","2,022,198.0","2,298,100.0","2,531,725.0","2,660,792.0","2,503,670.0","2,227,786.0","2,391,747.0","2,519,523.0","2,684,071.0","3,112,976.0","3,302,616.0"
"57","38","    Capital transfer receipts","B232RC1","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,976.0","24,615.0","24,989.0","27,833.0","26,471.0","28,263.0","20,611.0","15,079.0","9,644.0","14,077.0","20,880.0","20,944.0"
"58","39","  Total expenditures","W019RC1","207,854.0","227,762.0","245,842.0","272,501.0","289,644.0","322,384.0","385,148.0","414,429.0","450,659.0","502,027.0","552,958.0","644,321.0","731,626.0","810,922.0","883,230.0","946,014.0","1,028,407.0","1,088,608.0","1,125,695.0","1,170,052.0","1,244,009.0","1,341,069.0","1,397,307.0","1,522,508.0","1,570,421.0","1,603,580.0","1,669,474.0","1,730,686.0","1,763,900.0","1,798,028.0","1,867,506.0","1,938,924.0","2,053,983.0","2,200,940.0","2,381,017.0","2,516,924.0","2,719,682.0","2,852,731.0","3,041,146.0","3,312,576.0","3,724,093.0","3,915,520.0","3,926,255.0","3,883,734.0","3,839,435.0","3,938,891.0"
"59","40","    Current expenditures","W013RC1","196,943.0","219,892.0","241,532.0","267,895.0","286,935.0","319,146.0","373,808.0","402,079.0","435,417.0","483,398.0","531,295.0","619,289.0","706,264.0","782,656.0","849,221.0","903,001.0","970,868.0","1,029,981.0","1,062,129.0","1,118,774.0","1,197,478.0","1,286,589.0","1,351,758.0","1,484,738.0","1,540,564.0","1,580,409.0","1,653,719.0","1,709,661.0","1,752,810.0","1,781,041.0","1,834,096.0","1,906,641.0","2,012,351.0","2,136,265.0","2,292,813.0","2,421,418.0","2,602,834.0","2,758,755.0","2,926,440.0","3,137,661.0","3,476,630.0","3,720,459.0","3,763,664.0","3,763,210.0","3,762,103.0","3,883,080.0"
"60","41","    Gross government investment","A787RC1","30,723.0","30,457.0","27,798.0","29,349.0","31,652.0","35,662.0","39,847.0","44,749.0","49,198.0","54,742.0","61,744.0","70,253.0","80,429.0","89,956.0","102,338.0","115,590.0","132,525.0","141,884.0","152,447.0","147,983.0","151,217.0","158,204.0","156,797.0","156,394.0","150,683.0","145,359.0","147,701.0","149,792.0","143,705.0","147,663.0","154,857.0","157,376.0","163,845.0","180,277.0","196,354.0","211,006.0","222,879.0","238,049.0","251,422.0","275,784.0","283,983.0","299,959.0","297,390.0","287,779.0","268,479.0","253,929.0"
"61","42","    Capital transfer payments","W020RC1","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,926.0","36,569.0","37,020.0","42,533.0","49,695.0","63,083.0","63,954.0","85,324.0","71,040.0","79,434.0","145,863.0","206,899.0","141,399.0","123,497.0","98,807.0","79,294.0","79,158.0"
"62","43","    Net purchases of nonproduced assets","AD08RC1","104.0","-269.0","-439.0","-714.0","-3,205.0","-5,673.0","-433.0","-2,387.0","-1,421.0","-639.0","-2,848.0","-4,068.0","-5,526.0","-3,692.0","-4,949.0","-3,957.0","-1,202.0","-3,024.0","-438.0","-156.0","-736.0","-781.0","149.0","189.0","154.0","74.0","-7,929.0","-4,785.0","-8,801.0","-6,025.0","-1,217.0","-625.0","-1,450.0","-266.0","-918.0","-832.0","-1,993.0","-14,408.0","-3,349.0","-20,385.0","-8,877.0","-972.0","-887.0","-1,944.0","-2,426.0","-2,842.0"
"63","44","    Less: Consumption of fixed capital","A918RC1","25,776.0","27,578.0","28,998.0","30,080.0","31,735.0","34,677.0","37,785.0","40,629.0","43,728.0","47,458.0","51,755.0","57,892.0","65,277.0","72,668.0","78,962.0","86,403.0","93,349.0","100,314.0","107,542.0","116,303.0","124,161.0","131,148.0","137,904.0","141,426.0","145,284.0","148,309.0","151,917.0","152,402.0","153,028.0","153,577.0","156,799.0","161,488.0","163,296.0","165,031.0","170,315.0","178,622.0","189,362.0","200,705.0","212,801.0","226,347.0","234,542.0","245,325.0","257,409.0","264,118.0","268,015.0","274,434.0"
"64","45","  Net lending or net borrowing (-)","AD02RC1","-12,456.0","-38,949.0","-50,546.0","-48,131.0","-35,306.0","-39,089.0","-103,429.0","-86,621.0","-79,992.0","-73,242.0","-60,688.0","-104,769.0","-104,287.0","-185,378.0","-233,245.0","-229,381.0","-246,781.0","-264,317.0","-219,525.0","-200,979.0","-194,275.0","-243,802.0","-280,756.0","-359,145.0","-328,764.0","-261,746.0","-241,648.0","-182,042.0","-81,692.0","10,890.0","61,997.0","152,330.0","773.0","-309,858.0","-469,104.0","-470,111.0","-396,593.0","-293,174.0","-353,883.0","-780,643.0","-1,475,697.0","-1,508,694.0","-1,397,088.0","-1,185,586.0","-705,579.0","-615,330.0"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Prior to 1960, interest payments to persons and business (line 30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","and interest receipts (line 13) are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","included in interest payments (line 29), which is shown net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","interest receipts.  Interest payments to persons and business includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","interest accrued on the actuarial liabilities of defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","pension plans for federal government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Rents and royalties are receipts from the leasing of federally owned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","lands and mineral deposits. These values do not include bonus payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","made to secure such leases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","5. Prior to 1959, subsidies (line 32) and the current surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","government enterprises (line 19) are not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","6. Prior to 1960, government social benefits to the rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","(line 25) are included in line 28, ""Other current transfer payments to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
