"","Table 5#11# Capital Transfers Paid and Received, by Sector and b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Capital transfers paid, by sector","W940RC1","10,485.0","10,024.0","11,746.0","12,855.0","12,598.0","14,224.0","16,159.0","17,853.0","20,469.0","19,173.0","22,063.0","25,517.0","24,998.0","24,773.0","23,872.0","26,143.0","28,499.0","30,100.0","29,675.0","30,868.0","35,896.0","43,960.0","43,388.0","57,643.0","44,020.0","58,785.0","49,889.0","51,530.0","56,188.0","61,319.0","75,024.0","72,660.0","103,022.0","82,344.0","91,049.0","119,675.0","166,307.0","103,968.0","110,943.0","193,476.0","272,206.0","186,745.0","137,876.0","139,813.0","105,444.0"
"20","2","  By private business","W941RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,250.0","0.0","1,284.0","17,700.0","2,079.0","12,510.0","1,950.0","0.0","0.0","0.0","1,750.0","0.0","11,600.0","0.0","0.0","17,308.0","28,857.0","0.0","0.0","7,580.0","40,390.0","25,821.0","0.0","14,332.0","0.0"
"21","3","    Financial corporations","W942RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,250.0","0.0","1,284.0","17,700.0","2,079.0","12,510.0","1,950.0","0.0","0.0","0.0","1,750.0","0.0","11,600.0","0.0","0.0","17,308.0","28,857.0","0.0","0.0","7,580.0","0.0","0.0","0.0","14,332.0","0.0"
"22","4","      Disaster-related insurance benefits","W943RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,250.0","0.0","1,284.0","17,700.0","2,079.0","12,510.0","1,950.0","0.0","0.0","0.0","1,750.0","0.0","11,600.0","0.0","0.0","17,308.0","28,857.0","0.0","0.0","7,580.0","0.0","0.0","0.0","14,332.0","0.0"
"23","5","      Other","W944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"24","6","    Nonfinancial corporations \1,2\","W945RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","40,390.0","25,821.0","0.0","0.0","0.0"
"25","7","    Noncorporate business","W946RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","8","  By government","W947RC1","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,926.0","36,569.0","37,020.0","42,533.0","49,695.0","63,083.0","68,418.0","91,765.0","71,040.0","79,434.0","145,863.0","206,899.0","141,399.0","123,497.0","98,807.0","79,294.0"
"27","9","    Federal","W948RC1","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,926.0","36,569.0","37,020.0","42,533.0","49,695.0","63,083.0","63,954.0","85,324.0","71,040.0","79,434.0","145,863.0","206,899.0","141,399.0","123,497.0","98,807.0","79,294.0"
"28","10","      Capital grants to state and local governments \3\","AD11RC1","5,781.0","5,130.0","5,794.0","5,827.0","5,803.0","7,667.0","9,413.0","10,368.0","10,968.0","11,733.0","14,171.0","16,335.0","15,412.0","14,358.0","15,443.0","17,677.0","19,418.0","19,970.0","18,961.0","19,620.0","19,863.0","20,832.0","21,208.0","22,385.0","23,476.0","24,803.0","27,259.0","28,219.0","28,811.0","28,681.0","32,090.0","36,650.0","42,250.0","45,542.0","45,960.0","46,794.0","49,431.0","52,666.0","54,301.0","57,625.0","63,411.0","72,076.0","69,100.0","66,634.0","66,324.0"
"29","11","      Disaster-related insurance benefits","W949RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17,300.0","0.0","0.0","2,800.0","0.0","0.0","0.0","7,647.0","0.0"
"30","12","      Financial stabilization payments \4\","W950RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","67,665.0","121,921.0","41,481.0","32,394.0","4,736.0","0.0"
"31","13","      Other capital transfers paid to business \5\","W951RC1","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","90.0","117.0","46.0","27.0","34.0","102.0","8,087.0","12,674.0","8,017.0","8,150.0","5,678.0"
"32","14","      Other capital transfers paid to persons \6\","W027RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,592.0","14,842.0","16,125.0","15,943.0","16,359.0","24,695.0","16,912.0","12,915.0","14,491.0","12,352.0","10,516.0","6,450.0"
"33","15","      Capital transfers paid to the rest of the world (net) \7\","AD10RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","552.0","2,191.0","919.0","2,604.0","1,989.0","404.0","759.0","564.0","678.0","1,634.0","1,125.0","842.0"
"34","16","    State and local","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"35","17","      Disaster-related insurance benefits","W952RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"36","18","  By persons","W953RC1","4,625.0","4,764.0","5,797.0","6,804.0","6,601.0","6,298.0","6,448.0","7,236.0","9,276.0","7,189.0","7,541.0","8,778.0","9,262.0","10,103.0","8,290.0","8,360.0","8,934.0","10,019.0","10,576.0","11,114.0","12,435.0","15,755.0","15,597.0","15,795.0","17,637.0","20,228.0","20,039.0","23,110.0","26,974.0","32,393.0","36,705.0","35,640.0","35,697.0","32,649.0","27,966.0","30,258.0","30,305.0","32,928.0","31,509.0","33,863.0","24,917.0","19,525.0","14,379.0","19,006.0","26,150.0"
"37","19","    Estate and gift taxes, federal","B232RC1","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,976.0","24,615.0","24,989.0","27,833.0","26,471.0","28,263.0","20,611.0","15,079.0","9,644.0","14,077.0","20,880.0"
"38","20","    Estate and gift taxes, state and local","S210201","1,062.0","1,082.0","1,209.0","1,443.0","1,509.0","1,503.0","1,561.0","1,653.0","2,119.0","1,977.0","2,047.0","2,264.0","2,371.0","2,588.0","2,517.0","2,390.0","2,561.0","3,048.0","3,368.0","3,471.0","3,536.0","4,158.0","4,597.0","4,514.0","4,734.0","5,120.0","5,091.0","5,621.0","6,410.0","7,234.0","7,935.0","7,539.0","7,746.0","7,347.0","5,990.0","5,643.0","5,316.0","5,095.0","5,038.0","5,600.0","4,306.0","4,446.0","4,735.0","4,929.0","5,270.0"
"39","21","  By the rest of the world","W954RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","1,535.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,192.0","0.0","0.0","3,691.0","15,380.0","0.0","0.0","6,170.0","0.0","0.0","0.0","7,668.0","0.0"
"40","22","    Disaster-related insurance benefits","W955RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","1,535.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,192.0","0.0","0.0","3,691.0","15,380.0","0.0","0.0","6,170.0","0.0","0.0","0.0","7,668.0","0.0"
"41","23","    Other","W956RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"42","24","Capital transfers received, by sector","W957RC1","10,485.0","10,024.0","11,746.0","12,855.0","12,598.0","14,224.0","16,159.0","17,853.0","20,469.0","19,173.0","22,063.0","25,517.0","24,998.0","24,773.0","23,872.0","26,143.0","28,499.0","30,100.0","29,675.0","30,868.0","35,896.0","43,960.0","43,388.0","57,642.0","44,020.0","58,785.0","49,889.0","51,530.0","56,188.0","61,319.0","75,024.0","72,660.0","103,022.0","82,344.0","91,049.0","119,674.0","166,307.0","103,968.0","110,943.0","193,476.0","272,206.0","186,745.0","137,876.0","139,813.0","105,444.0"
"43","25","  By private business","W958RC1","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","1,602.0","0.0","139.0","9,119.0","996.0","7,748.0","818.0","0.0","0.0","0.0","1,313.0","0.0","17,711.0","9.0","90.0","12,810.0","29,717.0","27.0","34.0","75,032.0","130,008.0","54,155.0","40,411.0","26,347.0","5,678.0"
"44","26","    Financial corporations","W959RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","56.0","0.0","0.0","340.0","30.0","342.0","20.0","0.0","0.0","0.0","22.0","0.0","3,863.0","0.0","0.0","1,126.0","1,133.0","0.0","0.0","68,063.0","121,921.0","41,481.0","32,394.0","4,736.0","0.0"
"45","27","      Disaster-related insurance benefits","W960RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","56.0","0.0","0.0","340.0","30.0","342.0","20.0","0.0","0.0","0.0","22.0","0.0","3,863.0","0.0","0.0","1,126.0","1,133.0","0.0","0.0","398.0","0.0","0.0","0.0","0.0","0.0"
"46","28","      Other \4\","W961RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","67,665.0","121,921.0","41,481.0","32,394.0","4,736.0","0.0"
"47","29","    Nonfinancial corporations","W962RC1","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","1,184.0","0.0","0.0","6,955.0","603.0","3,258.0","444.0","0.0","0.0","0.0","878.0","0.0","12,532.0","9.0","90.0","6,657.0","15,516.0","27.0","34.0","3,685.0","2,092.0","4,905.0","6,426.0","16,695.0","5,664.0"
"48","30","      Disaster-related insurance benefits","W963RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,184.0","0.0","0.0","6,955.0","603.0","3,258.0","444.0","0.0","0.0","0.0","878.0","0.0","12,532.0","0.0","0.0","6,540.0","15,470.0","0.0","0.0","3,583.0","0.0","0.0","0.0","8,549.0","0.0"
"49","31","      Other \5\","W964RC1","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","90.0","117.0","46.0","27.0","34.0","102.0","2,092.0","4,905.0","6,426.0","8,146.0","5,664.0"
"50","32","    Noncorporate business","W965RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","363.0","0.0","139.0","1,824.0","363.0","4,148.0","354.0","0.0","0.0","0.0","413.0","0.0","1,316.0","0.0","0.0","5,027.0","13,068.0","0.0","0.0","3,284.0","5,996.0","7,769.0","1,591.0","4,916.0","14.0"
"51","33","      Disaster-related insurance benefits","W966RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","363.0","0.0","139.0","1,824.0","363.0","4,148.0","354.0","0.0","0.0","0.0","413.0","0.0","1,316.0","0.0","0.0","5,027.0","13,068.0","0.0","0.0","3,284.0","0.0","0.0","0.0","4,912.0","0.0"
"52","34","      Other","W967RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,996.0","7,769.0","1,591.0","4.0","14.0"
"53","35","  By government","W968RC1","10,406.0","9,894.0","11,591.0","12,631.0","12,404.0","13,965.0","15,861.0","17,604.0","20,244.0","18,922.0","21,712.0","25,113.0","24,674.0","24,461.0","23,733.0","26,037.0","28,352.0","29,989.0","29,537.0","30,734.0","32,298.0","36,587.0","36,805.0","38,180.0","41,113.0","45,031.0","47,298.0","51,329.0","55,785.0","61,074.0","68,795.0","72,290.0","79,672.0","78,191.0","73,926.0","77,052.0","81,786.0","85,594.0","85,810.0","91,488.0","88,328.0","91,801.0","83,479.0","88,293.0","92,474.0"
"54","36","    Federal","B232RC1","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,976.0","24,615.0","24,989.0","27,833.0","26,471.0","28,263.0","20,611.0","15,079.0","9,644.0","14,077.0","20,880.0"
"55","37","      Estate and gift taxes paid by persons","B232RC1","3,563.0","3,682.0","4,588.0","5,361.0","5,092.0","4,795.0","4,887.0","5,583.0","7,157.0","5,212.0","5,494.0","6,514.0","6,891.0","7,515.0","5,773.0","5,970.0","6,373.0","6,971.0","7,208.0","7,643.0","8,899.0","11,597.0","11,000.0","11,281.0","12,903.0","15,108.0","14,948.0","17,489.0","20,564.0","25,159.0","28,770.0","28,101.0","27,951.0","25,302.0","21,976.0","24,615.0","24,989.0","27,833.0","26,471.0","28,263.0","20,611.0","15,079.0","9,644.0","14,077.0","20,880.0"
"56","38","    State and local","W969RC1","6,843.0","6,212.0","7,003.0","7,270.0","7,312.0","9,170.0","10,974.0","12,021.0","13,087.0","13,710.0","16,218.0","18,599.0","17,783.0","16,946.0","17,960.0","20,067.0","21,979.0","23,018.0","22,329.0","23,091.0","23,399.0","24,990.0","25,805.0","26,899.0","28,210.0","29,923.0","32,350.0","33,840.0","35,221.0","35,915.0","40,025.0","44,189.0","51,721.0","52,889.0","51,950.0","52,437.0","56,797.0","57,761.0","59,339.0","63,225.0","67,717.0","76,722.0","73,835.0","74,216.0","71,594.0"
"57","39","      Disaster-related insurance benefits","W970RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,725.0","0.0","0.0","0.0","2,050.0","0.0","0.0","0.0","0.0","0.0","0.0","2,653.0","0.0"
"58","40","      Estate and gift taxes paid by persons","S210201","1,062.0","1,082.0","1,209.0","1,443.0","1,509.0","1,503.0","1,561.0","1,653.0","2,119.0","1,977.0","2,047.0","2,264.0","2,371.0","2,588.0","2,517.0","2,390.0","2,561.0","3,048.0","3,368.0","3,471.0","3,536.0","4,158.0","4,597.0","4,514.0","4,734.0","5,120.0","5,091.0","5,621.0","6,410.0","7,234.0","7,935.0","7,539.0","7,746.0","7,347.0","5,990.0","5,643.0","5,316.0","5,095.0","5,038.0","5,600.0","4,306.0","4,446.0","4,735.0","4,929.0","5,270.0"
"59","41","      Capital grants paid by federal government \3\","AD11RC1","5,781.0","5,130.0","5,794.0","5,827.0","5,803.0","7,667.0","9,413.0","10,368.0","10,968.0","11,733.0","14,171.0","16,335.0","15,412.0","14,358.0","15,443.0","17,677.0","19,418.0","19,970.0","18,961.0","19,620.0","19,863.0","20,832.0","21,208.0","22,385.0","23,476.0","24,803.0","27,259.0","28,219.0","28,811.0","28,681.0","32,090.0","36,650.0","42,250.0","45,542.0","45,960.0","46,794.0","49,431.0","52,666.0","54,301.0","57,625.0","63,411.0","72,076.0","69,100.0","66,634.0","66,324.0"
"60","42","      Other \2\","W937RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","200.0","0.0","0.0","0.0"
"61","43","  By persons","W971RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,648.0","0.0","1,145.0","10,115.0","1,083.0","4,762.0","1,132.0","0.0","0.0","0.0","438.0","0.0","5,356.0","3,592.0","14,842.0","28,894.0","52,200.0","16,359.0","24,695.0","26,197.0","53,305.0","40,112.0","12,352.0","24,049.0","6,450.0"
"62","44","    Disaster-related insurance benefits","W972RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,648.0","0.0","1,145.0","10,115.0","1,083.0","4,762.0","1,132.0","0.0","0.0","0.0","438.0","0.0","5,356.0","0.0","0.0","12,769.0","36,257.0","0.0","0.0","9,285.0","0.0","0.0","0.0","13,533.0","0.0"
"63","45","    Other \1,6\","W688RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,592.0","14,842.0","16,125.0","15,943.0","16,359.0","24,695.0","16,912.0","53,305.0","40,112.0","12,352.0","10,516.0","6,450.0"
"64","46","  By the rest of the world","W973RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","552.0","2,191.0","919.0","2,604.0","1,989.0","404.0","759.0","564.0","678.0","1,634.0","1,125.0","842.0"
"65","47","    Capital transfers paid by U.S. government \7\","AD10RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","552.0","2,191.0","919.0","2,604.0","1,989.0","404.0","759.0","564.0","678.0","1,634.0","1,125.0","842.0"
