"","Table 5#10# Changes in Net Stock of Produced Assets (Fixed Asset","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"55","35","      Structures","K100351","16,006.0","17,584.0","19,446.0","21,431.0","24,624.0","29,192.0","33,785.0","36,260.0","40,557.0","45,872.0","53,010.0","60,026.0","71,778.0","81,248.0","81,175.0","83,972.0","88,717.0","92,001.0","93,361.0","99,987.0","105,932.0","111,566.0","115,931.0","116,475.0","121,062.0","126,387.0","133,498.0","138,949.0","147,470.0","157,791.0","164,403.0","173,908.0","188,525.0","201,075.0","210,843.0","229,334.0","262,956.0","299,675.0","322,111.0","343,861.0","337,765.0","333,729.0","343,789.0","353,810.0","368,306.0"
"56","36","      Equipment","K100361","43,374.0","47,631.0","51,724.0","55,827.0","61,413.0","71,603.0","85,984.0","95,535.0","107,546.0","122,269.0","140,745.0","163,772.0","185,851.0","203,894.0","213,056.0","222,695.0","237,112.0","253,059.0","268,519.0","285,420.0","302,775.0","318,265.0","329,450.0","337,178.0","347,727.0","366,545.0","392,798.0","413,801.0","434,972.0","455,425.0","482,475.0","516,800.0","537,980.0","546,972.0","554,392.0","574,252.0","605,456.0","639,121.0","676,871.0","706,076.0","707,184.0","702,838.0","724,677.0","750,658.0","775,875.0"
"57","37","      Intellectual property products","K100371","12,993.0","14,674.0","16,093.0","17,392.0","19,198.0","22,019.0","24,745.0","26,879.0","29,433.0","32,695.0","37,187.0","42,959.0","49,549.0","56,099.0","62,433.0","69,776.0","77,835.0","85,582.0","94,393.0","104,822.0","115,542.0","127,619.0","141,399.0","150,707.0","162,501.0","173,340.0","188,921.0","202,673.0","222,825.0","245,253.0","277,577.0","316,660.0","342,666.0","356,349.0","370,192.0","386,168.0","407,976.0","433,158.0","459,336.0","486,164.0","497,803.0","509,998.0","527,842.0","552,520.0","577,677.0"
"58","38","    Residential","K100381","17,059.0","18,371.0","20,372.0","22,844.0","26,257.0","30,345.0","34,277.0","37,838.0","43,592.0","51,278.0","59,791.0","68,220.0","74,754.0","79,151.0","82,124.0","87,072.0","92,746.0","100,931.0","110,036.0","118,069.0","125,834.0","131,532.0","135,575.0","139,798.0","148,675.0","158,054.0","167,364.0","175,615.0","184,802.0","196,474.0","211,460.0","229,207.0","248,527.0","263,619.0","286,941.0","319,547.0","358,908.0","393,055.0","406,659.0","400,772.0","382,899.0","376,967.0","374,756.0","377,236.0","398,971.0"
"59","39","  Government","K100391","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","495,960.0","506,414.0"
"60","40","    Structures","K100401","10,198.0","11,445.0","12,746.0","13,850.0","15,589.0","19,068.0","21,455.0","22,260.0","23,523.0","25,174.0","28,277.0","32,456.0","36,676.0","39,536.0","40,358.0","41,209.0","42,716.0","44,943.0","47,597.0","49,841.0","52,110.0","54,797.0","56,777.0","58,393.0","61,144.0","64,213.0","68,144.0","71,472.0","74,783.0","78,422.0","82,933.0","88,467.0","93,555.0","98,235.0","102,872.0","111,113.0","124,405.0","137,481.0","152,661.0","163,826.0","169,119.0","171,977.0","181,200.0","189,948.0","195,979.0"
"61","41","    Equipment","K100411","13,421.0","13,940.0","14,127.0","14,183.0","14,225.0","15,074.0","16,530.0","18,246.0","19,761.0","21,737.0","23,227.0","25,820.0","29,277.0","32,827.0","35,921.0","39,476.0","42,711.0","46,299.0","49,821.0","53,645.0","58,005.0","62,677.0","67,194.0","70,169.0","73,254.0","76,241.0","78,090.0","78,897.0","78,638.0","78,739.0","80,592.0","83,263.0","84,386.0","85,243.0","87,268.0","90,737.0","94,754.0","99,078.0","104,214.0","111,191.0","117,706.0","122,780.0","127,724.0","130,634.0","131,128.0"
"62","42","    Intellectual property products","K100421","11,812.0","13,141.0","14,356.0","15,373.0","16,778.0","18,868.0","20,761.0","22,191.0","23,925.0","26,038.0","28,897.0","32,756.0","37,162.0","41,562.0","45,481.0","50,131.0","54,815.0","59,349.0","64,226.0","70,600.0","75,914.0","80,372.0","84,800.0","87,005.0","89,233.0","90,793.0","93,968.0","94,616.0","96,462.0","98,169.0","101,422.0","105,936.0","108,343.0","110,576.0","114,710.0","120,551.0","127,499.0","134,451.0","142,502.0","151,484.0","155,904.0","163,301.0","170,655.0","175,378.0","179,306.0"
"63","43","Change in private inventories \9\","K100431","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","41,763.0","64,863.0","74,061.0"
"64",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","44","Less: Other changes in volume of assets","K100441","521.0","576.0","507.0","1,587.0","1,055.0","181.0","0.0","159.0","333.0","0.0","1,102.0","547.0","0.0","872.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","8,958.0","0.0","2,236.0","17,987.0","4,139.0","20,416.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","17,832.0","344.0","1,186.0","29,786.0","110,937.0","16.0","45.0","19,210.0","72.0","72.0","222.0","46,072.0","65.0"
"66","45","  Private fixed assets \10\","K100451",".....",".....","118.0","1,587.0","630.0","181.0","0.0","159.0","333.0","0.0","1,102.0","547.0","0.0","872.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","7,936.0","0.0","1,519.0","17,943.0","4,139.0","18,367.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","17,461.0","0.0","0.0","29,450.0","99,173.0","0.0","0.0","19,082.0","0.0","0.0","0.0","38,333.0","0.0"
"67","46","    Nonresidential fixed assets","K100461",".....",".....","53.0","769.0","428.0","34.0","0.0","82.0","237.0","0.0","733.0","417.0","0.0","473.0","499.0","0.0","140.0","0.0","0.0","0.0","3,883.0","0.0","0.0","5,294.0","2,044.0","7,257.0","827.0","0.0","0.0","0.0","1,860.0","0.0","15,103.0","0.0","0.0","12,280.0","27,343.0","0.0","0.0","7,223.0","0.0","0.0","0.0","13,452.0","0.0"
"68","47","      Structures","K100471",".....",".....","53.0","614.0","352.0","21.0","0.0","55.0","185.0","0.0","653.0","385.0","0.0","451.0","479.0","0.0","123.0","0.0","0.0","0.0","2,274.0","0.0","0.0","2,158.0","577.0","5,341.0","627.0","0.0","0.0","0.0","1,340.0","0.0","7,865.0","0.0","0.0","6,606.0","16,604.0","0.0","0.0","5,383.0","0.0","0.0","0.0","9,956.0","0.0"
"69","48","      Equipment","K100481",".....",".....","0.0","155.0","76.0","13.0","0.0","27.0","52.0","0.0","80.0","32.0","0.0","22.0","20.0","0.0","17.0","0.0","0.0","0.0","1,609.0","0.0","0.0","3,136.0","1,467.0","1,916.0","200.0","0.0","0.0","0.0","520.0","0.0","5,799.0","0.0","0.0","4,944.0","9,686.0","0.0","0.0","1,733.0","0.0","0.0","0.0","3,496.0","0.0"
"70","49","      Intellectual property products","K100491",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,439.0","0.0","0.0","730.0","1,053.0","0.0","0.0","107.0","0.0","0.0","0.0","0.0","0.0"
"71","50","    Residential fixed assets","K100501",".....",".....","65.0","818.0","202.0","147.0","0.0","77.0","96.0","0.0","369.0","130.0","0.0","399.0","587.0","0.0","1,566.0","0.0","0.0","0.0","4,053.0","0.0","1,519.0","12,649.0","2,095.0","11,110.0","1,598.0","0.0","0.0","0.0","1,640.0","0.0","2,358.0","0.0","0.0","17,170.0","71,830.0","0.0","0.0","11,859.0","0.0","0.0","0.0","24,881.0","0.0"
"72","51","  Government fixed assets \11\","K100511","521.0","576.0","389.0","0.0","425.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,022.0","0.0","717.0","44.0","0.0","2,049.0","0.0","0.0","0.0","0.0","0.0","0.0","371.0","344.0","1,186.0","336.0","11,764.0","16.0","45.0","128.0","72.0","72.0","222.0","7,739.0","65.0"
"73","52","    General government","K100521","521.0","576.0","389.0","0.0","425.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","830.0","0.0","717.0","44.0","0.0","1,723.0","0.0","0.0","0.0","0.0","0.0","0.0","371.0","344.0","1,186.0","336.0","8,115.0","16.0","45.0","128.0","72.0","72.0","222.0","3,630.0","65.0"
"74","53","    Government enterprises","K100531","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","192.0","0.0","0.0","0.0","0.0","326.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,649.0","0.0","0.0","0.0","0.0","0.0","0.0","4,109.0","0.0"
"75",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","54","Nominal holding gains or losses (-)","K100541","144,314.0","164,321.0","218,943.0","231,350.0","399,309.0","685,310.0","292,384.0","350,462.0","515,335.0","668,213.0","916,186.0","989,369.0","734,410.0","388,522.0","167,918.0","293,805.0","241,082.0","390,880.0","454,338.0","554,881.0","495,570.0","409,152.0","104,537.0","434,092.0","554,722.0","740,333.0","535,535.0","442,573.0","506,731.0","547,591.0","816,884.0","919,511.0","770,480.0","797,861.0","1,003,898.0","2,569,724.0","2,826,012.0","2,239,895.0","1,097,816.0","716,844.0","-1,173,644.0","753,945.0","1,203,718.0","982,408.0","1,689,449.0"
"77","55","  Neutral holding gains or losses (-) \12\","K100551","148,755.0","160,788.0","164,277.0","156,854.0","311,338.0","530,705.0","352,317.0","324,175.0","434,021.0","539,375.0","816,101.0","956,869.0","761,626.0","512,038.0","371,903.0","403,847.0","373,441.0","276,848.0","476,258.0","607,470.0","611,653.0","719,051.0","401,386.0","450,149.0","398,592.0","462,558.0","406,144.0","397,905.0","222,376.0","215,094.0","607,737.0","696,553.0","345,406.0","694,535.0","692,772.0","1,199,242.0","1,403,922.0","1,073,587.0","1,390,857.0","522,047.0","412,669.0","808,535.0","1,130,556.0","729,190.0","651,187.0"
"78","56","    Fixed assets","K100561","137,272.0","148,693.0","152,205.0","145,602.0","288,295.0","488,396.0","326,118.0","300,451.0","402,515.0","500,958.0","756,596.0","888,267.0","705,849.0","477,799.0","348,206.0","376,264.0","348,456.0","259,407.0","447,768.0","570,850.0","573,696.0","675,405.0","377,479.0","424,122.0","375,935.0","435,856.0","383,168.0","375,407.0","209,759.0","203,205.0","575,616.0","659,855.0","328,200.0","662,018.0","660,834.0","1,143,281.0","1,339,390.0","1,024,930.0","1,329,862.0","498,835.0","396,328.0","774,437.0","1,079,662.0","694,733.0","619,340.0"
"79","57","      Private","K100571","99,306.0","107,061.0","108,853.0","104,938.0","208,614.0","353,364.0","232,997.0","217,027.0","294,622.0","373,214.0","569,833.0","670,309.0","531,952.0","359,673.0","262,009.0","284,193.0","264,140.0","196,768.0","339,879.0","433,850.0","436,953.0","514,369.0","286,917.0","321,571.0","285,513.0","331,881.0","292,364.0","286,729.0","160,904.0","156,359.0","444,938.0","511,447.0","254,779.0","514,572.0","514,348.0","893,404.0","1,044,999.0","801,374.0","1,032,628.0","384,412.0","299,909.0","582,423.0","810,224.0","517,120.0","473,014.0"
"80","58","        Nonresidential","K100581","53,101.0","57,926.0","59,518.0","56,716.0","111,664.0","188,384.0","127,589.0","119,410.0","160,916.0","199,972.0","304,086.0","357,880.0","287,383.0","198,766.0","145,206.0","157,587.0","146,980.0","109,077.0","185,923.0","236,837.0","239,510.0","283,240.0","159,069.0","178,253.0","157,018.0","181,638.0","159,563.0","157,297.0","88,255.0","85,872.0","243,554.0","278,790.0","138,201.0","274,815.0","270,319.0","459,203.0","530,646.0","404,009.0","527,228.0","200,864.0","161,675.0","313,022.0","440,019.0","285,083.0","260,735.0"
"81","59","        Residential","K100591","46,205.0","49,135.0","49,335.0","48,222.0","96,950.0","164,980.0","105,408.0","97,617.0","133,706.0","173,242.0","265,747.0","312,429.0","244,569.0","160,907.0","116,803.0","126,606.0","117,160.0","87,691.0","153,956.0","197,013.0","197,443.0","231,129.0","127,848.0","143,318.0","128,495.0","150,243.0","132,801.0","129,432.0","72,649.0","70,487.0","201,384.0","232,657.0","116,578.0","239,757.0","244,029.0","434,201.0","514,353.0","397,365.0","505,400.0","183,548.0","138,234.0","269,401.0","370,205.0","232,037.0","212,279.0"
"82","60","      Government","K100601","37,966.0","41,632.0","43,352.0","40,664.0","79,681.0","135,032.0","93,121.0","83,424.0","107,893.0","127,744.0","186,763.0","217,958.0","173,897.0","118,126.0","86,197.0","92,071.0","84,316.0","62,639.0","107,889.0","137,000.0","136,743.0","161,036.0","90,562.0","102,551.0","90,422.0","103,975.0","90,804.0","88,678.0","48,855.0","46,846.0","130,678.0","148,408.0","73,421.0","147,446.0","146,486.0","249,877.0","294,391.0","223,556.0","297,234.0","114,423.0","96,419.0","192,014.0","269,438.0","177,613.0","146,326.0"
"83","61","    Private inventories \1\","K100611","11,483.0","12,095.0","12,072.0","11,252.0","23,043.0","42,309.0","26,199.0","23,724.0","31,506.0","38,417.0","59,505.0","68,602.0","55,777.0","34,239.0","23,697.0","27,583.0","24,985.0","17,441.0","28,490.0","36,620.0","37,957.0","43,646.0","23,907.0","26,027.0","22,657.0","26,702.0","22,976.0","22,498.0","12,617.0","11,889.0","32,121.0","36,698.0","17,206.0","32,517.0","31,938.0","55,961.0","64,532.0","48,657.0","60,995.0","23,212.0","16,341.0","34,098.0","50,894.0","34,457.0","31,847.0"
"84","62","  Real holding gains or losses (-)","K100621","-4,441.0","3,533.0","54,666.0","74,496.0","87,971.0","154,605.0","-59,933.0","26,287.0","81,314.0","128,838.0","100,085.0","32,500.0","-27,216.0","-123,516.0","-203,985.0","-110,042.0","-132,359.0","114,032.0","-21,920.0","-52,589.0","-116,083.0","-309,899.0","-296,849.0","-16,057.0","156,130.0","277,775.0","129,391.0","44,668.0","284,355.0","332,497.0","209,147.0","222,958.0","425,074.0","103,326.0","311,126.0","1,370,482.0","1,422,090.0","1,166,308.0","-293,041.0","194,797.0","-1,586,313.0","-54,590.0","73,162.0","253,218.0","1,038,262.0"
"85","63","    Fixed assets","K100631","-3,158.0","9,373.0","57,012.0","64,927.0","58,964.0","156,783.0","-42,853.0","36,082.0","92,724.0","104,102.0","80,912.0","23,348.0","18,273.0","-98,983.0","-209,019.0","-89,142.0","-89,142.0","155,702.0","-33,829.0","-75,983.0","-94,516.0","-289,034.0","-249,438.0","2,171.0","166,202.0","289,692.0","120,893.0","70,493.0","324,669.0","393,697.0","210,962.0","222,833.0","481,150.0","106,764.0","300,968.0","1,348,981.0","1,401,795.0","1,170,929.0","-363,206.0","254,872.0","-1,594,613.0","-161,333.0","-5,562.0","261,423.0","1,092,270.0"
"86","64","      Private","K100641","-15,183.0","-17,137.0","43,989.0","38,057.0","27,111.0","62,331.0","1,329.0","58,467.0","122,304.0","106,937.0","55,426.0","-13,221.0","-3,490.0","-89,617.0","-155,167.0","-55,659.0","-61,933.0","115,859.0","-17,190.0","-43,796.0","-74,351.0","-227,507.0","-213,759.0","8,123.0","131,858.0","205,484.0","57,577.0","58,021.0","244,832.0","303,489.0","130,768.0","150,171.0","414,337.0","109,886.0","309,151.0","979,176.0","1,105,112.0","672,966.0","-617,995.0","-111,091.0","-1,356,872.0","-205,772.0","-198,968.0","169,427.0","953,275.0"
"87","65","        Nonresidential","K100651","-1,921.0","4,829.0","12,808.0","4,359.0","-2,258.0","78,192.0","11,147.0","18,807.0","13,118.0","27,583.0","879.0","-6,653.0","52,184.0","-45,233.0","-106,760.0","-42,396.0","-54,123.0","-2,921.0","-20,817.0","-9,217.0","-29,065.0","-87,312.0","-115,894.0","-51,798.0","34,618.0","64,302.0","47,347.0","-17,565.0","94,719.0","76,654.0","-48,180.0","6,550.0","86,266.0","-61,735.0","-35,211.0","403,515.0","479,610.0","474,028.0","-41,037.0","489,851.0","-832,568.0","-6,726.0","74,346.0","15,713.0","203,177.0"
"88","66","        Residential","K100661","-13,262.0","-21,966.0","31,181.0","33,698.0","29,369.0","-15,861.0","-9,818.0","39,660.0","109,186.0","79,354.0","54,547.0","-6,568.0","-55,674.0","-44,384.0","-48,407.0","-13,263.0","-7,810.0","118,780.0","3,627.0","-34,579.0","-45,286.0","-140,195.0","-97,865.0","59,921.0","97,240.0","141,182.0","10,230.0","75,586.0","150,113.0","226,835.0","178,948.0","143,621.0","328,071.0","171,621.0","344,362.0","575,661.0","625,502.0","198,938.0","-576,958.0","-600,942.0","-524,304.0","-199,046.0","-273,314.0","153,714.0","750,098.0"
"89","67","      Government","K100671","12,025.0","26,510.0","13,023.0","26,870.0","31,853.0","94,452.0","-44,182.0","-22,385.0","-29,580.0","-2,835.0","25,486.0","36,569.0","21,763.0","-9,366.0","-53,852.0","-33,483.0","-27,209.0","39,843.0","-16,639.0","-32,187.0","-20,165.0","-61,527.0","-35,679.0","-5,952.0","34,344.0","84,208.0","63,316.0","12,472.0","79,837.0","90,208.0","80,194.0","72,662.0","66,813.0","-3,122.0","-8,183.0","369,805.0","296,683.0","497,963.0","254,789.0","365,963.0","-237,741.0","44,439.0","193,406.0","91,996.0","138,995.0"
"90","68","    Private inventories \1\","K100681","-1,283.0","-5,840.0","-2,346.0","9,569.0","29,007.0","-2,178.0","-17,080.0","-9,795.0","-11,410.0","24,736.0","19,173.0","9,152.0","-45,489.0","-24,533.0","5,034.0","-20,900.0","-43,217.0","-41,670.0","11,909.0","23,394.0","-21,567.0","-20,865.0","-47,411.0","-18,228.0","-10,072.0","-11,917.0","8,498.0","-25,825.0","-40,314.0","-61,200.0","-1,815.0","125.0","-56,076.0","-3,438.0","10,158.0","21,501.0","20,295.0","-4,621.0","70,165.0","-60,075.0","8,300.0","106,743.0","78,724.0","-8,205.0","-54,008.0"
"91",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","69","Produced assets \13\","K100691","2,969,888.0","3,224,809.0","3,547,371.0","3,903,112.0","4,454,210.0","5,282,277.0","5,676,980.0","6,178,173.0","6,890,987.0","7,813,000.0","9,012,015.0","10,234,789.0","11,256,911.0","11,840,029.0","12,246,348.0","12,951,577.0","13,597,391.0","14,380,499.0","15,245,557.0","16,204,654.0","17,114,556.0","17,913,169.0","18,312,520.0","19,063,224.0","20,000,887.0","21,206,819.0","22,238,777.0","23,262,997.0","24,448,733.0","25,754,706.0","27,409,042.0","29,221,484.0","30,693,417.0","32,179,323.0","33,925,299.0","37,380,855.0","41,138,514.0","44,461,372.0","46,521,255.0","47,908,028.0","46,873,526.0","47,990,426.0","49,614,491.0","51,103,974.0","53,393,031.0"
"93","70","  Fixed assets","K100701","2,742,457.0","2,989,122.0","3,293,702.0","3,619,515.0","4,102,685.0","4,876,631.0","5,268,471.0","5,738,619.0","6,409,013.0","7,242,082.0","8,344,435.0","9,495,786.0","10,477,811.0","11,066,137.0","11,449,476.0","12,082,617.0","12,724,839.0","13,525,605.0","14,323,115.0","15,203,716.0","16,069,535.0","16,830,820.0","17,254,069.0","17,980,646.0","18,884,910.0","20,012,273.0","20,981,584.0","21,978,331.0","23,120,824.0","24,412,389.0","25,975,603.0","27,696,677.0","29,245,763.0","30,684,089.0","32,368,683.0","35,682,917.0","39,296,170.0","42,508,020.0","44,402,291.0","45,857,923.0","44,946,350.0","45,860,881.0","47,313,565.0","48,711,933.0","50,949,090.0"
"94","71","    Private","K100711","1,962,783.0","2,120,847.0","2,352,567.0","2,593,800.0","2,946,949.0","3,468,484.0","3,786,213.0","4,169,101.0","4,736,089.0","5,412,951.0","6,264,757.0","7,118,176.0","7,860,777.0","8,297,581.0","8,599,921.0","9,112,837.0","9,619,357.0","10,231,047.0","10,845,285.0","11,537,659.0","12,204,090.0","12,773,978.0","13,058,136.0","13,608,930.0","14,321,526.0","15,200,445.0","15,946,646.0","16,760,046.0","17,694,087.0","18,762,535.0","20,011,520.0","21,399,022.0","22,681,029.0","23,826,166.0","25,213,908.0","27,743,017.0","30,610,680.0","32,920,255.0","34,067,858.0","34,835,425.0","33,861,262.0","34,345,872.0","35,178,148.0","36,191,370.0","38,054,223.0"
"95","72","      Nonresidential","K100721","1,055,739.0","1,161,594.0","1,275,082.0","1,385,659.0","1,560,626.0","1,894,067.0","2,083,749.0","2,280,513.0","2,533,067.0","2,870,602.0","3,314,433.0","3,800,820.0","4,300,797.0","4,589,780.0","4,745,322.0","5,041,603.0","5,333,008.0","5,604,345.0","5,921,246.0","6,313,054.0","6,701,201.0","7,072,018.0","7,242,133.0","7,487,402.0","7,838,223.0","8,271,034.0","8,719,096.0","9,145,032.0","9,665,527.0","10,214,321.0","10,834,308.0","11,589,307.0","12,164,505.0","12,604,289.0","13,053,636.0","14,159,930.0","15,462,415.0","16,731,353.0","17,668,493.0","18,750,234.0","18,152,797.0","18,562,956.0","19,287,059.0","19,874,239.0","20,653,967.0"
"96","73","      Residential","K100731","907,044.0","959,253.0","1,077,485.0","1,208,141.0","1,386,323.0","1,574,417.0","1,702,464.0","1,888,588.0","2,203,022.0","2,542,349.0","2,950,324.0","3,317,356.0","3,559,980.0","3,707,801.0","3,854,599.0","4,071,234.0","4,286,349.0","4,626,702.0","4,924,039.0","5,224,605.0","5,502,889.0","5,701,960.0","5,816,003.0","6,121,528.0","6,483,303.0","6,929,411.0","7,227,550.0","7,615,014.0","8,028,560.0","8,548,214.0","9,177,212.0","9,809,715.0","10,516,524.0","11,221,877.0","12,160,272.0","13,583,087.0","15,148,265.0","16,188,902.0","16,399,365.0","16,085,191.0","15,708,465.0","15,782,916.0","15,891,089.0","16,317,131.0","17,400,256.0"
"97","74","    Government","K100741","779,674.0","868,275.0","941,135.0","1,025,715.0","1,155,736.0","1,408,147.0","1,482,258.0","1,569,518.0","1,672,924.0","1,829,131.0","2,079,678.0","2,377,610.0","2,617,034.0","2,768,556.0","2,849,555.0","2,969,780.0","3,105,482.0","3,294,558.0","3,477,830.0","3,666,057.0","3,865,445.0","4,056,842.0","4,195,933.0","4,371,716.0","4,563,384.0","4,811,828.0","5,034,938.0","5,218,285.0","5,426,737.0","5,649,854.0","5,964,083.0","6,297,655.0","6,564,734.0","6,857,923.0","7,154,775.0","7,939,900.0","8,685,490.0","9,587,765.0","10,334,433.0","11,022,498.0","11,085,088.0","11,515,009.0","12,135,417.0","12,520,563.0","12,894,867.0"
"98","75","  Private inventories \1\","K100751","227,431.0","235,687.0","253,669.0","283,597.0","351,525.0","405,646.0","408,509.0","439,554.0","481,974.0","570,918.0","667,580.0","739,003.0","779,100.0","773,892.0","796,872.0","868,960.0","872,552.0","854,894.0","922,442.0","1,000,938.0","1,045,021.0","1,082,349.0","1,058,451.0","1,082,578.0","1,115,977.0","1,194,546.0","1,257,193.0","1,284,666.0","1,327,909.0","1,342,317.0","1,433,439.0","1,524,807.0","1,447,654.0","1,495,234.0","1,556,616.0","1,697,938.0","1,842,344.0","1,953,352.0","2,118,964.0","2,050,105.0","1,927,176.0","2,129,545.0","2,300,926.0","2,392,041.0","2,443,941.0"
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","1. Estimates of government inventories are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2. Private fixed investment shown in table 5.2.5, line 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","3. Gross government investment shown in table 5.2.5, line 26.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","4. Used autos are valued at acquisition prices less depreciation in the estimates of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","stocks of private fixed assets and consumer durable goods; net purchases of used autos by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","business from consumers are valued at wholesale prices in gross fixed investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","5. This adjustment reflects a timing difference between fixed investment and the stock of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","produced assets. In investment, the value of structures and equipment for electric plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
