"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"37","19","        Ammunition","B781RX1","2,478.0","2,356.0","2,691.0","3,273.0","3,386.0","4,441.0","4,622.0","4,540.0","4,252.0","4,352.0","4,178.0","4,143.0","3,982.0","3,977.0","3,308.0","2,942.0"
"38","20","        Other nondurable goods","B783RX1","4,466.0","5,428.0","4,705.0","5,147.0","6,376.0","7,278.0","7,497.0","7,173.0","7,864.0","8,497.0","9,812.0","8,765.0","9,123.0","8,666.0","8,815.0","8,886.0"
"39","21","      Services","A489RX1","94,807.0","92,796.0","105,557.0","122,722.0","145,632.0","157,432.0","158,809.0","161,660.0","162,083.0","179,520.0","192,835.0","203,186.0","191,051.0","180,772.0","160,691.0","163,194.0"
"40","22","        Installation support","B911RX1","33,899.0","33,605.0","35,694.0","38,907.0","43,256.0","42,435.0","39,691.0","40,752.0","39,216.0","41,047.0","44,068.0","44,872.0","41,045.0","38,348.0","34,053.0","34,864.0"
"41","23","        Weapons support","B912RX1","14,245.0","14,284.0","17,760.0","21,465.0","25,984.0","26,456.0","28,579.0","29,345.0","29,908.0","31,493.0","32,618.0","36,300.0","33,673.0","31,685.0","25,165.0","26,104.0"
"42","24","        Personnel support","B913RX1","34,545.0","33,260.0","39,762.0","49,950.0","57,018.0","69,569.0","72,864.0","75,863.0","72,216.0","87,433.0","93,602.0","97,960.0","94,069.0","93,496.0","88,062.0","88,525.0"
"43","25","        Transportation of material","B786RX1","6,032.0","5,688.0","6,118.0","6,173.0","11,613.0","9,954.0","8,227.0","7,811.0","11,849.0","11,278.0","13,135.0","14,154.0","13,388.0","9,450.0","7,706.0","7,715.0"
"44","26","        Travel of persons","B785RX1","6,695.0","6,546.0","6,641.0","6,441.0","7,869.0","9,076.0","9,517.0","7,919.0","8,845.0","8,321.0","9,412.0","9,907.0","8,927.0","8,118.0","6,155.0","6,446.0"
"45","27","  Less: Own-account investment \4\","W088RX1","11,891.0","12,447.0","14,313.0","15,809.0","16,355.0","16,207.0","16,856.0","17,817.0","19,226.0","19,521.0","19,458.0","19,460.0","20,945.0","22,747.0","21,487.0","19,980.0"
"46","28","  Less: Sales to other sectors","W089RX1","2,534.0","2,793.0","2,785.0","2,875.0","3,121.0","3,123.0","3,930.0","4,803.0","3,509.0","3,862.0","3,797.0","3,564.0","3,752.0","3,683.0","3,520.0","3,330.0"
"47","29","Gross investment \5\","A788RX1","90,528.0","91,448.0","96,692.0","109,434.0","121,606.0","133,186.0","140,023.0","147,908.0","156,156.0","171,397.0","174,988.0","177,494.0","168,663.0","159,988.0","145,740.0","134,137.0"
"48","30","  Structures","A808RX1","8,531.0","8,191.0","7,781.0","8,723.0","9,774.0","9,050.0","8,533.0","8,509.0","10,256.0","13,460.0","17,128.0","16,737.0","13,024.0","7,680.0","5,981.0","4,739.0"
"49","31","  Equipment","Y050RX1","37,015.0","38,320.0","41,373.0","48,048.0","52,629.0","59,033.0","62,691.0","68,620.0","72,322.0","84,354.0","86,029.0","89,671.0","85,283.0","82,633.0","76,125.0","70,087.0"
"50","32","    Aircraft","B874RX1","5,832.0","6,797.0","7,943.0","9,157.0","9,217.0","11,059.0","13,874.0","14,122.0","13,460.0","13,780.0","13,490.0","16,758.0","19,988.0","19,949.0","22,006.0","20,287.0"
"51","33","    Missiles","B875RX1","3,162.0","2,979.0","3,738.0","3,734.0","3,846.0","4,370.0","4,236.0","4,706.0","4,486.0","4,355.0","5,063.0","5,474.0","4,837.0","6,372.0","6,157.0","6,058.0"
"52","34","    Ships","B876RX1","8,690.0","8,271.0","9,063.0","10,836.0","11,671.0","11,837.0","11,275.0","11,721.0","10,953.0","11,273.0","11,142.0","11,520.0","10,883.0","10,999.0","11,424.0","11,919.0"
"53","35","    Vehicles","B877RX1","1,784.0","1,986.0","2,125.0","2,881.0","3,415.0","3,026.0","4,164.0","5,344.0","6,480.0","9,538.0","9,202.0","9,518.0","7,018.0","5,463.0","3,614.0","2,621.0"
"54","36","    Electronics","Y051RX1","2,518.0","2,800.0","2,949.0","3,428.0","4,178.0","4,908.0","5,832.0","7,369.0","9,641.0","13,024.0","13,234.0","12,744.0","10,562.0","9,354.0","7,332.0","6,014.0"
"55","37","    Other equipment","B879RX1","16,235.0","16,283.0","16,351.0","18,956.0","21,249.0","24,637.0","23,827.0","25,749.0","27,418.0","32,389.0","33,898.0","33,641.0","31,877.0","30,239.0","25,378.0","22,866.0"
"56","38","  Intellectual property products","Y052RX1","45,966.0","45,684.0","48,026.0","53,099.0","59,754.0","65,338.0","68,887.0","70,764.0","73,590.0","73,601.0","71,831.0","71,095.0","70,294.0","69,580.0","63,580.0","59,273.0"
"57","39","    Software","Y053RX1","6,313.0","6,238.0","5,904.0","5,776.0","5,643.0","5,909.0","6,118.0","6,319.0","6,588.0","6,880.0","6,836.0","7,341.0","7,691.0","7,746.0","7,698.0","7,771.0"
"58","40","    Research and development","Y076RX1","39,428.0","39,228.0","41,966.0","47,234.0","54,093.0","59,427.0","62,772.0","64,447.0","67,004.0","66,721.0","64,995.0","63,762.0","62,629.0","61,869.0","55,961.0","51,628.0"
"59","41","Residual","A975RX1","-6,500.0","-5,500.0","-5,200.0","-4,500.0","-3,000.0","-1,700.0","-800.0","0.0","200.0","200.0","200.0","0.0","600.0","0.0","-1,300.0","-500.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","structures, software, and research and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
