"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"41","22","      Less: Sales to other sectors","W118RX1","5,145.0","7,261.0","7,778.0","6,198.0","9,227.0","7,195.0","7,815.0","10,711.0","7,371.0","5,558.0","5,904.0","7,534.0","6,836.0","4,748.0","7,878.0","5,403.0","6,365.0","7,588.0","6,723.0","6,554.0","6,182.0","6,309.0","7,768.0","8,730.0","9,952.0","8,051.0","10,680.0","12,343.0","9,683.0","9,772.0","9,727.0","8,601.0","7,497.0","8,045.0","7,649.0","7,594.0","7,897.0","8,105.0","10,910.0","8,453.0","9,129.0","9,520.0","9,749.0","9,723.0","9,921.0","11,184.0","11,700.0","9,126.0","8,008.0","9,314.0","21,625.0","9,681.0","8,572.0","9,719.0","8,022.0","7,577.0","7,789.0","7,749.0","7,771.0","7,496.0","7,498.0","9,784.0","8,565.0","9,054.0","8,214.0"
"42","23","    Defense consumption expenditures \1\","A997RX1","420,220.0","420,714.0","431,565.0","444,955.0","412,164.0","435,069.0","422,807.0","422,965.0","430,236.0","434,368.0","437,482.0","439,299.0","449,894.0","455,597.0","459,584.0","470,757.0","468,028.0","505,251.0","494,677.0","510,582.0","513,930.0","517,528.0","531,163.0","517,139.0","523,416.0","524,622.0","536,252.0","518,566.0","529,422.0","528,319.0","527,564.0","538,571.0","526,041.0","533,487.0","548,752.0","549,607.0","559,085.0","562,120.0","588,627.0","596,975.0","587,449.0","612,113.0","626,592.0","626,998.0","625,346.0","633,674.0","647,086.0","637,927.0","620,663.0","630,701.0","636,663.0","616,935.0","610,174.0","604,913.0","628,110.0","591,005.0","577,569.0","575,632.0","576,368.0","557,445.0","562,300.0","559,521.0","586,742.0","562,785.0","562,928.0"
"43","24","      Gross output of general government","W085RX1","432,320.0","434,942.0","447,380.0","459,167.0","428,434.0","448,974.0","438,294.0","437,365.0","448,199.0","450,354.0","454,223.0","456,907.0","467,618.0","473,101.0","480,649.0","489,452.0","487,732.0","524,764.0","514,024.0","529,937.0","532,820.0","536,605.0","550,468.0","536,951.0","543,296.0","545,050.0","557,256.0","540,192.0","551,484.0","550,807.0","550,329.0","561,504.0","548,680.0","556,109.0","571,416.0","572,510.0","582,319.0","585,493.0","612,044.0","620,421.0","610,744.0","635,291.0","649,884.0","650,252.0","648,463.0","656,482.0","670,046.0","661,145.0","644,462.0","655,090.0","661,646.0","642,529.0","636,315.0","631,433.0","654,724.0","617,395.0","603,418.0","600,814.0","601,105.0","581,649.0","586,034.0","582,767.0","609,846.0","585,915.0","586,380.0"
"44","25","        Value added","W086RX1","312,947.0","311,459.0","311,389.0","310,501.0","308,168.0","308,657.0","308,161.0","307,343.0","307,963.0","308,046.0","308,242.0","307,994.0","310,495.0","312,215.0","313,273.0","312,791.0","317,609.0","320,766.0","322,039.0","322,934.0","326,109.0","326,324.0","329,340.0","331,535.0","332,803.0","332,926.0","334,081.0","335,491.0","333,337.0","333,794.0","337,169.0","338,628.0","337,724.0","338,135.0","341,815.0","343,607.0","346,650.0","350,244.0","356,847.0","362,112.0","365,656.0","371,634.0","376,830.0","379,688.0","382,394.0","384,590.0","386,470.0","388,251.0","389,258.0","390,369.0","391,415.0","392,813.0","389,880.0","388,411.0","387,488.0","385,488.0","383,284.0","381,878.0","375,525.0","375,510.0","376,950.0","375,982.0","374,936.0","372,942.0","371,799.0"
"45","26","          Compensation of general government employees","B237RX1","195,152.0","194,198.0","194,790.0","194,507.0","192,566.0","193,696.0","193,594.0","193,005.0","193,944.0","194,313.0","194,751.0","194,762.0","197,803.0","199,730.0","200,651.0","199,714.0","204,220.0","206,811.0","207,348.0","207,309.0","209,637.0","208,780.0","210,738.0","211,787.0","211,833.0","210,699.0","210,641.0","210,773.0","207,352.0","206,531.0","208,640.0","208,816.0","206,588.0","205,659.0","207,957.0","208,353.0","209,933.0","212,045.0","217,068.0","220,675.0","222,537.0","227,205.0","231,543.0","233,939.0","235,029.0","235,856.0","236,581.0","237,441.0","237,793.0","238,272.0","238,737.0","239,590.0","236,211.0","234,481.0","233,485.0","231,629.0","229,740.0","228,499.0","222,096.0","221,857.0","222,899.0","221,488.0","219,991.0","217,584.0","216,000.0"
"46","27","          Consumption of general government fixed capital \2\","B432RX1","116,772.0","116,238.0","115,778.0","115,263.0","114,726.0","114,336.0","114,007.0","113,756.0","113,596.0","113,399.0","113,243.0","113,027.0","112,829.0","112,802.0","112,999.0","113,340.0","113,876.0","114,521.0","115,228.0","116,087.0","116,968.0","117,944.0","119,003.0","120,110.0","121,268.0","122,460.0","123,629.0","124,865.0","126,053.0","127,313.0","128,579.0","129,837.0","131,134.0","132,477.0","133,858.0","135,249.0","136,711.0","138,194.0","139,775.0","141,440.0","143,124.0","144,429.0","145,286.0","145,745.0","147,355.0","148,731.0","149,891.0","150,816.0","151,478.0","152,115.0","152,699.0","153,245.0","153,706.0","153,975.0","154,051.0","153,912.0","153,602.0","153,439.0","153,488.0","153,715.0","154,112.0","154,555.0","155,011.0","155,435.0","155,891.0"
"47","28","        Intermediate goods and services purchased \3\","W087RX1","123,174.0","126,975.0","138,678.0","150,432.0","123,826.0","142,588.0","133,061.0","132,936.0","142,489.0","144,438.0","147,880.0","150,616.0","158,498.0","162,134.0","168,336.0","177,218.0","170,918.0","204,204.0","192,395.0","207,134.0","206,889.0","210,419.0","221,116.0","205,752.0","210,717.0","212,301.0","223,229.0","204,989.0","218,314.0","217,171.0","213,364.0","222,964.0","211,081.0","218,118.0","229,762.0","229,078.0","235,807.0","235,429.0","255,079.0","258,206.0","245,044.0","263,678.0","273,066.0","270,577.0","266,062.0","271,881.0","283,578.0","272,914.0","255,333.0","264,760.0","270,202.0","249,988.0","246,716.0","243,328.0","267,184.0","232,375.0","220,786.0","219,585.0","226,027.0","206,881.0","209,797.0","207,530.0","235,093.0","213,459.0","215,057.0"
"48","29","          Durable goods","A998RX1","21,838.0","24,822.0","26,546.0","23,948.0","24,352.0","24,213.0","24,329.0","23,299.0","22,734.0","24,652.0","26,187.0","23,296.0","23,682.0","25,022.0","26,757.0","25,395.0","24,561.0","28,198.0","28,928.0","29,106.0","29,342.0","30,462.0","32,157.0","30,597.0","29,672.0","30,515.0","31,646.0","31,670.0","32,512.0","32,702.0","33,770.0","35,470.0","34,130.0","35,805.0","38,309.0","39,422.0","40,199.0","42,461.0","44,690.0","45,266.0","41,586.0","45,602.0","48,756.0","47,284.0","43,564.0","45,842.0","48,067.0","50,313.0","41,820.0","44,129.0","45,372.0","47,062.0","42,585.0","42,873.0","44,587.0","43,116.0","37,372.0","38,538.0","38,143.0","36,836.0","34,035.0","33,774.0","32,896.0","35,487.0","33,574.0"
"49","30","          Nondurable goods","A725RX1","13,166.0","14,547.0","17,552.0","14,646.0","17,427.0","16,681.0","14,491.0","14,257.0","14,921.0","16,559.0","15,696.0","17,475.0","17,447.0","18,848.0","17,821.0","19,735.0","20,332.0","21,435.0","17,541.0","20,659.0","23,293.0","22,891.0","25,152.0","19,622.0","21,063.0","23,822.0","24,159.0","22,517.0","21,924.0","21,490.0","23,373.0","22,723.0","23,060.0","22,643.0","23,119.0","21,696.0","22,760.0","23,256.0","23,225.0","24,224.0","22,840.0","24,740.0","26,365.0","23,850.0","24,032.0","24,129.0","22,955.0","23,173.0","24,143.0","23,347.0","24,178.0","24,921.0","23,972.0","23,261.0","23,001.0","22,079.0","20,858.0","19,852.0","20,046.0","18,499.0","18,476.0","18,323.0","20,499.0","19,106.0","19,110.0"
"50","31","          Services","A489RX1","87,386.0","86,573.0","94,034.0","111,237.0","81,620.0","101,386.0","93,450.0","94,729.0","104,433.0","102,803.0","105,167.0","109,825.0","117,213.0","118,284.0","123,276.0","132,116.0","126,288.0","154,456.0","144,945.0","156,840.0","154,228.0","156,793.0","163,660.0","155,047.0","159,704.0","157,772.0","167,260.0","150,499.0","163,715.0","162,801.0","155,765.0","164,357.0","153,421.0","159,236.0","167,927.0","167,748.0","172,561.0","169,245.0","187,465.0","188,808.0","180,646.0","193,323.0","197,899.0","199,473.0","198,414.0","201,907.0","212,805.0","199,618.0","188,898.0","197,330.0","200,597.0","177,377.0","179,591.0","176,795.0","199,775.0","166,927.0","162,186.0","161,156.0","167,827.0","151,595.0","157,238.0","155,381.0","181,366.0","158,793.0","162,192.0"
"51","32","      Less: Own-account investment \4\","W088RX1","11,246.0","12,139.0","12,098.0","12,082.0","11,940.0","12,240.0","12,586.0","13,023.0","13,807.0","14,046.0","14,413.0","14,986.0","15,438.0","15,696.0","15,913.0","16,187.0","16,264.0","16,400.0","16,332.0","16,423.0","16,036.0","16,128.0","16,231.0","16,433.0","16,485.0","16,746.0","16,983.0","17,211.0","17,298.0","17,589.0","17,955.0","18,428.0","18,845.0","19,172.0","19,398.0","19,490.0","19,569.0","19,551.0","19,496.0","19,470.0","19,370.0","19,405.0","19,462.0","19,595.0","19,571.0","19,300.0","19,409.0","19,561.0","20,100.0","20,651.0","21,204.0","21,826.0","22,456.0","22,840.0","22,936.0","22,756.0","22,255.0","21,748.0","21,232.0","20,713.0","20,336.0","19,916.0","19,786.0","19,885.0","20,168.0"
"52","33","      Less: Sales to other sectors","W089RX1","1,245.0","2,341.0","4,035.0","2,514.0","4,588.0","1,967.0","3,106.0","1,511.0","4,204.0","2,005.0","2,354.0","2,577.0","2,239.0","1,765.0","5,053.0","2,442.0","3,376.0","3,130.0","3,015.0","2,962.0","2,912.0","3,007.0","3,150.0","3,421.0","3,445.0","3,730.0","4,080.0","4,464.0","4,825.0","4,963.0","4,869.0","4,554.0","3,829.0","3,479.0","3,289.0","3,440.0","3,694.0","3,855.0","3,926.0","3,974.0","3,926.0","3,773.0","3,830.0","3,660.0","3,546.0","3,506.0","3,548.0","3,656.0","3,700.0","3,743.0","3,786.0","3,778.0","3,698.0","3,697.0","3,689.0","3,650.0","3,611.0","3,448.0","3,518.0","3,504.0","3,409.0","3,339.0","3,322.0","3,252.0","3,291.0"
"53","34","    Nondefense consumption expenditures \1\","A542RX1","216,645.0","212,416.0","212,842.0","214,490.0","220,207.0","227,706.0","223,397.0","219,492.0","229,440.0","236,097.0","237,081.0","239,103.0","245,097.0","252,270.0","255,713.0","259,978.0","260,256.0","263,105.0","265,552.0","267,401.0","269,000.0","270,410.0","268,205.0","273,970.0","274,386.0","271,254.0","273,285.0","277,208.0","286,081.0","281,097.0","284,315.0","278,675.0","278,488.0","279,800.0","283,195.0","287,698.0","293,447.0","298,277.0","299,173.0","308,138.0","315,704.0","323,068.0","320,827.0","322,057.0","334,188.0","344,050.0","340,113.0","338,402.0","332,685.0","326,215.0","311,087.0","323,820.0","329,643.0","329,419.0","330,597.0","331,661.0","325,200.0","320,410.0","317,417.0","309,686.0","317,707.0","314,705.0","315,386.0","315,594.0","317,580.0"
"54","35","      Gross output of general government","W128RX1","233,539.0","232,144.0","231,424.0","232,520.0","238,569.0","246,770.0","242,275.0","242,973.0","247,547.0","254,975.0","255,751.0","258,898.0","264,455.0","270,065.0","273,673.0","277,943.0","278,284.0","282,758.0","284,413.0","286,402.0","287,386.0","288,875.0","288,105.0","294,413.0","296,173.0","290,964.0","295,342.0","300,477.0","306,211.0","301,142.0","304,419.0","297,821.0","296,998.0","299,120.0","302,319.0","306,455.0","312,339.0","317,255.0","321,132.0","327,810.0","336,121.0","344,030.0","342,215.0","343,707.0","356,036.0","366,998.0","363,545.0","358,960.0","351,948.0","346,618.0","343,617.0","344,196.0","348,939.0","349,886.0","349,314.0","349,760.0","343,309.0","338,406.0","335,129.0","326,746.0","334,853.0","334,054.0","333,381.0","334,055.0","335,215.0"
"55","36","        Value added","W129RX1","188,557.0","186,690.0","185,612.0","186,282.0","190,995.0","198,342.0","191,545.0","190,460.0","193,554.0","195,362.0","195,927.0","194,955.0","196,766.0","198,057.0","200,110.0","202,607.0","203,687.0","204,618.0","204,554.0","204,692.0","204,430.0","204,893.0","204,751.0","206,356.0","206,814.0","206,738.0","206,438.0","207,905.0","208,212.0","209,118.0","210,563.0","210,414.0","211,663.0","211,868.0","213,364.0","214,402.0","216,727.0","219,032.0","220,880.0","224,189.0","226,930.0","231,994.0","230,691.0","231,093.0","235,086.0","242,803.0","238,949.0","238,477.0","240,253.0","240,272.0","239,447.0","239,743.0","242,674.0","242,934.0","242,716.0","243,298.0","243,049.0","241,615.0","240,703.0","232,703.0","242,302.0","242,523.0","243,102.0","243,724.0","244,814.0"
"56","37","          Compensation of general government employees","W130RX1","128,477.0","125,618.0","123,625.0","123,635.0","128,165.0","135,690.0","127,433.0","125,617.0","128,485.0","129,907.0","129,940.0","128,286.0","129,668.0","130,492.0","132,138.0","134,287.0","134,898.0","135,363.0","134,793.0","134,423.0","133,636.0","133,614.0","132,956.0","134,097.0","134,032.0","133,407.0","132,488.0","133,331.0","132,960.0","133,212.0","134,015.0","133,216.0","133,855.0","133,479.0","134,418.0","134,883.0","136,641.0","138,345.0","139,517.0","142,140.0","144,113.0","148,610.0","146,913.0","147,104.0","150,306.0","157,221.0","152,710.0","151,625.0","152,611.0","151,926.0","150,447.0","150,114.0","152,443.0","152,194.0","151,529.0","151,701.0","151,104.0","149,280.0","147,909.0","139,588.0","148,394.0","147,977.0","147,885.0","147,849.0","148,210.0"
"57","38","          Consumption of general government fixed capital \2\","B546RX1","61,483.0","62,020.0","62,588.0","63,141.0","63,699.0","64,227.0","64,714.0","65,176.0","65,607.0","66,055.0","66,512.0","66,973.0","67,456.0","67,928.0","68,389.0","68,826.0","69,268.0","69,707.0","70,143.0","70,592.0","71,053.0","71,514.0","71,982.0","72,455.0","72,945.0","73,455.0","74,028.0","74,646.0","75,295.0","75,937.0","76,574.0","77,189.0","77,794.0","78,367.0","78,924.0","79,493.0","80,067.0","80,672.0","81,345.0","82,046.0","82,815.0","83,385.0","83,778.0","83,990.0","84,775.0","85,534.0","86,240.0","86,870.0","87,664.0","88,386.0","89,070.0","89,719.0","90,307.0","90,828.0","91,289.0","91,702.0","92,059.0","92,478.0","92,964.0","93,509.0","94,110.0","94,771.0","95,463.0","96,141.0","96,886.0"
"58","39","        Intermediate goods and services purchased \3\","W131RX1","46,246.0","46,648.0","46,962.0","47,377.0","48,735.0","49,683.0","51,754.0","53,445.0","54,915.0","60,272.0","60,479.0","64,375.0","68,014.0","72,239.0","73,764.0","75,500.0","74,781.0","78,284.0","79,988.0","81,823.0","83,065.0","84,096.0","83,471.0","88,151.0","89,460.0","84,329.0","89,010.0","92,667.0","98,061.0","92,104.0","93,918.0","87,541.0","85,471.0","87,378.0","89,072.0","92,151.0","95,703.0","98,302.0","100,306.0","103,628.0","109,147.0","112,004.0","111,530.0","112,683.0","120,892.0","124,199.0","124,652.0","120,520.0","111,688.0","106,350.0","104,181.0","104,468.0","106,291.0","106,974.0","106,620.0","106,476.0","100,364.0","96,929.0","94,584.0","94,188.0","92,712.0","91,712.0","90,486.0","90,542.0","90,615.0"
"59","40","          Durable goods","A543RX1","1,310.0","1,388.0","1,415.0","1,407.0","1,434.0","1,486.0","1,542.0","1,617.0","1,544.0","1,609.0","1,658.0","1,710.0","1,926.0","1,961.0","2,034.0","2,076.0","2,052.0","2,023.0","2,098.0","2,081.0","2,133.0","2,298.0","2,313.0","2,376.0","2,377.0","2,451.0","2,541.0","2,610.0","2,893.0","2,765.0","2,833.0","2,694.0","2,697.0","2,790.0","2,925.0","3,011.0","3,131.0","3,220.0","3,244.0","3,369.0","3,428.0","3,464.0","3,556.0","3,544.0","3,773.0","3,894.0","3,934.0","3,875.0","3,717.0","3,594.0","3,534.0","3,540.0","3,589.0","3,600.0","3,598.0","3,576.0","3,451.0","3,372.0","3,338.0","3,329.0","3,280.0","3,271.0","3,214.0","3,198.0","3,161.0"
"60","41","          Nondurable goods","A729RX1","9,520.0","9,780.0","9,705.0","9,416.0","10,815.0","10,921.0","12,002.0","13,052.0","13,975.0","16,943.0","14,580.0","15,409.0","14,762.0","16,393.0","15,872.0","15,996.0","16,608.0","19,303.0","20,042.0","20,555.0","20,684.0","20,595.0","19,080.0","21,553.0","23,955.0","18,486.0","20,396.0","21,532.0","22,186.0","21,048.0","20,995.0","19,839.0","19,366.0","20,133.0","20,785.0","21,649.0","22,314.0","22,874.0","22,918.0","24,000.0","26,534.0","27,550.0","25,769.0","25,799.0","27,116.0","28,002.0","28,255.0","27,107.0","23,559.0","22,620.0","22,149.0","22,345.0","21,280.0","21,683.0","21,370.0","22,482.0","20,759.0","19,805.0","19,222.0","19,184.0","18,885.0","18,454.0","18,709.0","18,460.0","18,569.0"
"61","42","            Commodity Credit Corporation inventory change","B826RX1","90.0","338.0","257.0","-69.0","714.0","688.0","909.0","1,486.0","950.0","3,321.0","-154.0","-318.0","-152.0","676.0","183.0","-233.0","-368.0","311.0","-324.0","-168.0","-1,184.0","-652.0","-1,896.0","-433.0","1,695.0","-3,159.0","-831.0","152.0","-264.0","77.0","-7.0","32.0","-38.0","-50.0","36.0","-1.0","14.0","-1,051.0","44.0","420.0","236.0","137.0","54.0","85.0","-295.0","-215.0","-44.0","-36.0","7.0","58.0","-45.0","-34.0","56.0","-102.0","44.0","74.0","31.0","32.0","-30.0","-3.0","-3.0","-338.0","-365.0","129.0","-2.0"
"62","43","            Other nondurable goods","B828RX1","9,430.0","9,442.0","9,448.0","9,485.0","10,101.0","10,233.0","11,093.0","11,566.0","13,025.0","13,623.0","14,735.0","15,727.0","14,914.0","15,717.0","15,689.0","16,229.0","16,975.0","18,992.0","20,366.0","20,724.0","21,869.0","21,247.0","20,975.0","21,986.0","22,260.0","21,644.0","21,227.0","21,380.0","22,451.0","20,972.0","21,002.0","19,807.0","19,404.0","20,182.0","20,749.0","21,650.0","22,300.0","23,925.0","22,874.0","23,581.0","26,298.0","27,413.0","25,715.0","25,714.0","27,410.0","28,216.0","28,299.0","27,143.0","23,552.0","22,563.0","22,193.0","22,379.0","21,224.0","21,785.0","21,326.0","22,408.0","20,728.0","19,773.0","19,253.0","19,187.0","18,887.0","18,792.0","19,074.0","18,332.0","18,571.0"
"63","44","          Services","A544RX1","35,572.0","35,543.0","35,928.0","36,720.0","36,445.0","37,226.0","38,129.0","38,792.0","39,434.0","41,857.0","44,292.0","47,145.0","51,239.0","53,868.0","55,820.0","57,381.0","56,136.0","57,003.0","57,956.0","59,232.0","60,536.0","61,314.0","62,266.0","64,247.0","63,260.0","63,495.0","66,176.0","68,666.0","73,114.0","68,386.0","70,194.0","65,102.0","63,497.0","64,585.0","65,398.0","67,473.0","70,167.0","72,435.0","74,138.0","76,279.0","79,224.0","81,025.0","82,200.0","83,271.0","90,117.0","92,341.0","92,453.0","89,519.0","84,410.0","80,126.0","78,541.0","78,616.0","81,459.0","81,779.0","81,680.0","80,391.0","76,173.0","73,780.0","72,084.0","71,732.0","70,603.0","70,148.0","68,732.0","68,994.0","69,015.0"
"64","45","      Less: Own-account investment \4\","W136RX1","12,918.0","14,555.0","14,548.0","14,157.0","13,536.0","13,777.0","14,019.0","14,124.0","14,758.0","15,179.0","14,982.0","14,726.0","14,684.0","14,749.0","15,041.0","14,956.0","14,979.0","15,152.0","15,105.0","15,350.0","15,068.0","15,119.0","15,252.0","15,130.0","15,278.0","15,366.0","15,441.0","15,361.0","15,250.0","15,210.0","15,226.0","15,085.0","14,835.0","14,753.0","14,767.0","14,613.0","14,708.0","14,758.0","14,959.0","15,158.0","15,204.0","15,216.0","15,473.0","15,591.0","15,469.0","15,271.0","15,296.0","15,078.0","14,970.0","14,859.0","14,693.0","14,557.0","14,504.0","14,500.0","14,461.0","14,255.0","14,008.0","13,773.0","13,533.0","13,139.0","13,124.0","12,917.0","12,784.0","12,678.0","12,752.0"
"65","46","      Less: Sales to other sectors","W137RX1","3,836.0","4,855.0","3,760.0","3,665.0","4,684.0","5,152.0","4,697.0","8,963.0","3,194.0","3,520.0","3,527.0","4,922.0","4,567.0","2,967.0","2,841.0","2,953.0","2,985.0","4,442.0","3,697.0","3,580.0","3,260.0","3,294.0","4,602.0","5,288.0","6,472.0","4,315.0","6,572.0","7,834.0","4,873.0","4,827.0","4,873.0","4,064.0","3,674.0","4,565.0","4,359.0","4,160.0","4,217.0","4,273.0","6,961.0","4,464.0","5,201.0","5,749.0","5,921.0","6,061.0","6,370.0","7,680.0","8,156.0","5,475.0","4,330.0","5,599.0","17,756.0","5,943.0","4,917.0","6,048.0","4,377.0","3,975.0","4,223.0","4,340.0","4,296.0","4,040.0","4,133.0","6,443.0","5,262.0","5,809.0","4,945.0"
"66","47","State and local consumption expenditures \1\","A991RX1","1,313,367.0","1,322,628.0","1,332,740.0","1,341,768.0","1,344,916.0","1,351,517.0","1,358,458.0","1,367,080.0","1,380,639.0","1,394,488.0","1,409,245.0","1,420,930.0","1,431,943.0","1,439,832.0","1,443,761.0","1,442,566.0","1,435,824.0","1,431,657.0","1,427,697.0","1,426,138.0","1,428,276.0","1,431,525.0","1,432,020.0","1,435,066.0","1,436,525.0","1,437,505.0","1,442,487.0","1,443,344.0","1,441,546.0","1,445,080.0","1,452,392.0","1,463,879.0","1,470,052.0","1,474,277.0","1,474,415.0","1,477,687.0","1,473,747.0","1,471,736.0","1,478,572.0","1,485,396.0","1,499,310.0","1,509,550.0","1,510,954.0","1,513,625.0","1,489,579.0","1,477,182.0","1,462,442.0","1,449,638.0","1,435,752.0","1,431,728.0","1,428,015.0","1,426,039.0","1,423,293.0","1,424,516.0","1,428,779.0","1,431,485.0","1,437,324.0","1,442,981.0","1,447,550.0","1,451,120.0","1,454,114.0","1,458,431.0","1,461,694.0","1,465,529.0","1,468,291.0"
"67","48","      Gross output of general government","W138RX1","1,647,360.0","1,659,130.0","1,671,713.0","1,685,268.0","1,693,823.0","1,704,144.0","1,716,099.0","1,729,686.0","1,750,248.0","1,769,429.0","1,786,902.0","1,801,570.0","1,813,985.0","1,822,921.0","1,827,812.0","1,827,219.0","1,819,767.0","1,816,120.0","1,813,342.0","1,812,391.0","1,815,679.0","1,820,086.0","1,820,784.0","1,824,040.0","1,826,629.0","1,828,581.0","1,833,831.0","1,835,534.0","1,840,203.0","1,845,682.0","1,854,110.0","1,863,699.0","1,871,405.0","1,877,672.0","1,879,232.0","1,881,100.0","1,875,294.0","1,872,962.0","1,879,969.0","1,887,194.0","1,901,929.0","1,914,396.0","1,917,716.0","1,921,568.0","1,898,288.0","1,888,177.0","1,875,517.0","1,864,670.0","1,847,982.0","1,844,285.0","1,841,333.0","1,839,731.0","1,837,191.0","1,839,597.0","1,845,182.0","1,849,266.0","1,857,222.0","1,864,888.0","1,870,040.0","1,873,768.0","1,876,756.0","1,882,479.0","1,887,049.0","1,892,629.0","1,896,769.0"
"68","49","        Value added","W139RX1","1,147,549.0","1,152,055.0","1,158,982.0","1,166,554.0","1,172,945.0","1,178,328.0","1,183,269.0","1,188,204.0","1,195,608.0","1,204,819.0","1,213,850.0","1,221,212.0","1,225,928.0","1,231,739.0","1,235,857.0","1,236,811.0","1,239,859.0","1,240,734.0","1,240,510.0","1,240,705.0","1,241,742.0","1,244,177.0","1,245,075.0","1,248,120.0","1,250,826.0","1,252,271.0","1,256,048.0","1,255,367.0","1,257,602.0","1,260,329.0","1,266,182.0","1,272,133.0","1,274,758.0","1,279,668.0","1,282,484.0","1,290,444.0","1,294,822.0","1,296,599.0","1,302,054.0","1,302,091.0","1,303,699.0","1,305,492.0","1,302,866.0","1,303,903.0","1,299,708.0","1,298,380.0","1,292,919.0","1,289,787.0","1,286,149.0","1,282,357.0","1,278,206.0","1,276,168.0","1,272,578.0","1,272,480.0","1,274,994.0","1,275,368.0","1,278,330.0","1,281,832.0","1,285,055.0","1,287,322.0","1,288,422.0","1,291,355.0","1,292,818.0","1,294,746.0","1,295,682.0"
"69","50","          Compensation of general government employees","B251RX1","1,031,763.0","1,034,823.0","1,040,310.0","1,046,429.0","1,051,340.0","1,055,258.0","1,058,751.0","1,062,259.0","1,068,278.0","1,076,150.0","1,083,871.0","1,089,955.0","1,093,423.0","1,098,020.0","1,100,961.0","1,100,784.0","1,103,216.0","1,103,086.0","1,101,886.0","1,101,124.0","1,101,219.0","1,102,714.0","1,102,696.0","1,104,821.0","1,106,623.0","1,107,164.0","1,110,019.0","1,108,430.0","1,109,745.0","1,111,501.0","1,116,326.0","1,121,205.0","1,122,714.0","1,126,494.0","1,128,176.0","1,134,995.0","1,138,226.0","1,138,883.0","1,143,241.0","1,142,197.0","1,142,760.0","1,143,656.0","1,140,304.0","1,140,778.0","1,135,718.0","1,133,625.0","1,127,492.0","1,123,747.0","1,119,545.0","1,115,211.0","1,110,540.0","1,107,988.0","1,103,909.0","1,103,328.0","1,105,367.0","1,105,281.0","1,107,791.0","1,110,828.0","1,113,573.0","1,115,351.0","1,115,947.0","1,118,393.0","1,119,389.0","1,120,869.0","1,121,378.0"
"70","51","          Consumption of general government fixed capital \2\","B986RX1","115,748.0","117,116.0","118,501.0","119,906.0","121,332.0","122,742.0","124,137.0","125,522.0","126,886.0","128,214.0","129,514.0","130,781.0","132,016.0","133,223.0","134,399.0","135,542.0","136,166.0","137,194.0","138,209.0","139,211.0","140,200.0","141,183.0","142,153.0","143,105.0","144,041.0","144,982.0","145,921.0","146,860.0","147,802.0","148,794.0","149,832.0","150,915.0","152,044.0","153,178.0","154,315.0","155,455.0","156,599.0","157,720.0","158,820.0","159,899.0","160,940.0","161,833.0","162,562.0","163,128.0","164,012.0","164,798.0","165,513.0","166,160.0","166,757.0","167,331.0","167,883.0","168,411.0","168,915.0","169,407.0","169,885.0","170,350.0","170,803.0","171,269.0","171,748.0","172,240.0","172,746.0","173,234.0","173,704.0","174,155.0","174,587.0"
"71","52","        Intermediate goods and services purchased \3\","W140RX1","500,820.0","507,952.0","513,542.0","519,459.0","521,640.0","526,505.0","533,393.0","541,882.0","554,808.0","564,690.0","573,107.0","580,431.0","588,179.0","591,294.0","592,035.0","590,443.0","579,912.0","575,359.0","572,761.0","571,590.0","573,867.0","575,853.0","575,649.0","575,858.0","575,745.0","576,260.0","577,746.0","580,097.0","582,520.0","585,248.0","587,819.0","591,426.0","596,446.0","597,800.0","596,592.0","590,752.0","581,018.0","577,124.0","578,676.0","585,470.0","598,351.0","608,935.0","614,807.0","617,555.0","598,579.0","589,843.0","582,676.0","575,049.0","562,296.0","562,386.0","563,514.0","563,910.0","564,854.0","567,266.0","570,269.0","573,862.0","578,734.0","582,819.0","584,735.0","586,182.0","588,023.0","590,760.0","593,781.0","597,350.0","600,513.0"
"72","53","          Durable goods","B989RX1","18,601.0","18,944.0","19,259.0","19,687.0","20,029.0","20,285.0","20,703.0","20,951.0","21,534.0","21,989.0","22,249.0","22,387.0","22,462.0","22,370.0","22,296.0","22,209.0","21,920.0","21,923.0","21,983.0","22,070.0","22,252.0","22,425.0","22,546.0","22,595.0","22,685.0","22,815.0","22,919.0","23,055.0","23,186.0","23,396.0","23,574.0","23,815.0","24,126.0","24,275.0","24,354.0","24,281.0","24,071.0","24,008.0","24,093.0","24,392.0","24,901.0","25,133.0","25,175.0","25,125.0","24,515.0","24,300.0","23,956.0","23,703.0","23,345.0","23,373.0","23,388.0","23,383.0","23,318.0","23,540.0","23,520.0","23,419.0","23,505.0","23,634.0","23,682.0","23,706.0","23,727.0","23,883.0","24,000.0","24,123.0","24,185.0"
