"","Table 3#7U# Government Current Transfer Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196"
"11","3","  Federal","W012RC0",332,340,332,336,348,368,384,408,420,424,448,456,456,464,472,480,512,556,524,544,524,488,840,912,964,996,1040,1068,1080,1096,1108,1128,992,1032,1072,1088,1064,1064,1036,1032,1060,1080,1084,1096,1084,1092,980,976,1012,1016,1032,1060,1104,1132,1148,1160,1260,1360,952,1028,1220,1316,1352,1356,1340,1344,1352,1376,1400,1444,1484,1536,1516,1596,1900,1968,2072,2188,2288,2388,2484,2588,2684,2788,2892,2992,2928,4348,3684,3280,3452,3672,4280,4512,4616,4640,4608,4888,5084,5556,6032,6236,6300,6336,6812,12448,6772,6676,6820,6956,6028,7744,8328,9384,8412,8732,7568,7572,8212,8624,8812,8932,9928,9584,9052,9308,10192,11988,13436,13820,14380,14588,14372,14096,14472,18120,16108,15848,15740,16692,17916,16460,16968,15328,14608,13492,12704,11112,11372,11264,11512,29700,11656,11676,12344,12200,12860,12900,13060,12840,12556,12472,12532,13984,14376,14600,14868,15652,16204,16428,16320,15792,14784,14084,13752,13388,14148,14308,14548,14352,14816,15008,15420,15416,15832,16936,-75652,16316,17452,17652,17996,17452,17344
"12","4","    Deposit insurance premiums","B1041C0",124,124,128,128,128,132,132,136,136,132,136,136,144,144,152,152,156,160,164,168,176,184,184,188,192,200,204,212,208,216,208,216,224,248,268,280,284,284,264,256,252,256,260,260,268,276,172,180,196,200,200,204,204,212,220,232,312,332,384,428,460,460,440,416,396,384,388,396,412,428,436,448,456,468,488,508,532,556,564,560,552,560,568,588,624,656,676,680,1132,1160,1184,1204,1488,1536,1580,1644,1732,1752,1772,1988,1896,1916,1936,2084,3084,3104,3148,3340,3388,3428,3464,3424,3440,3428,3420,3772,3300,3344,3416,3864,3892,3952,4032,4264,3468,3992,4656,6240,7028,7572,7864,7664,7864,7588,7608,8712,8908,8584,8548,8772,8724,8152,7676,6624,6112,5020,4252,2648,2880,2652,2708,20632,2224,1888,1924,1936,2112,1924,1984,1776,1844,1804,1816,3128,3196,3144,3136,3716,3716,3704,3704,3600,3596,3596,3596,3168,3172,3168,3168,2664,2864,2664,2660,2236,2124,2804,2236,2264,2400,2272,2280,2548,3056
"13","5","    Other \1\","B1042C0",208,216,204,208,220,236,252,272,284,292,312,320,312,320,320,328,356,396,360,376,348,304,656,724,772,796,836,856,872,880,900,912,768,784,804,808,780,780,772,776,808,824,824,836,816,816,808,796,816,816,832,856,900,920,928,928,948,1028,568,600,760,856,912,940,944,960,964,980,988,1016,1048,1088,1060,1128,1412,1460,1540,1632,1724,1828,1932,2028,2116,2200,2268,2336,2252,3668,2552,2120,2268,2468,2792,2976,3036,2996,2876,3136,3312,3568,4136,4320,4364,4252,3728,9344,3624,3336,3432,3528,2564,4320,4888,5956,4992,4960,4268,4228,4796,4760,4920,4980,5896,5320,5584,5316,5536,5748,6408,6248,6516,6924,6508,6508,6864,9408,7200,7264,7192,7920,9192,8308,9292,8704,8496,8472,8452,8464,8492,8612,8804,9068,9432,9788,10420,10264,10748,10976,11076,11064,10712,10668,10716,10856,11180,11456,11732,11936,12488,12724,12616,12192,11188,10488,10156,10220,10976,11140,11380,11688,11952,12344,12760,13180,13708,14132,-77888,14052,15052,15380,15716,14904,14288
"14","6","  State and local (net)","W076RC0",104,105,108,111,163,168,171,174,231,230,227,224,226,223,226,229,254,256,257,253,256,256,258,262,339,341,335,325,320,308,302,302,452,455,460,461,485,484,484,483,532,531,529,528,565,563,561,551,611,600,593,588,680,679,682,687,856,869,887,908,1070,1086,1092,1088,1232,1217,1204,1191,1377,1370,1358,1355,1584,1583,1581,1580,1860,1862,1867,1875,2158,2167,2174,2177,2459,2460,2457,2452,2865,2863,2869,2879,3232,3247,3256,3261,3628,3581,3623,3748,4004,4155,4268,4313,4323,4362,4427,4484,12559,4724,4781,4816,4811,4848,4905,4992,5072,5240,5471,5741,6057,6313,6520,6686,7238,6882,7032,7208,7762,7634,7896,8504,8883,8862,9172,10031,10117,10358,10646,10987,11381,11765,12147,12527,12895,13286,13690,14109,14534,14957,15381,15800,16261,16621,20625,17241,18839,17996,19641,31796,22389,22775,23216,23712,28027,28563,29086,29588,30110,30515,33315,31500,31965,32419,32855,33289,32649,33158,33782,34499,35313,35889,31009,36421,36098,36313,41362,33071,38184,39082,39906,40635,41419
"15","7","    Fines","S230560",24,29,30,29,18,16,15,15,48,48,48,48,72,71,71,70,50,49,49,48,64,64,63,61,56,55,54,55,93,93,92,90,131,128,127,126,161,160,160,159,186,185,183,182,207,208,208,209,243,244,246,247,269,270,272,273,213,213,212,210,244,243,242,243,298,300,302,304,372,374,376,378,436,436,435,433,507,503,499,495,600,596,592,588,696,694,692,690,870,868,864,858,998,992,987,983,1101,1125,1158,1196,1249,1280,1314,1349,1382,1410,1453,1487,9504,1637,1676,1695,1686,1694,1700,1716,1711,1747,1806,1872,1884,1941,1995,2040,2574,2117,2144,2169,2531,2206,2257,2642,2760,2527,2646,3331,3355,3429,3549,3715,3913,4108,4294,4469,4626,4795,4970,5153,5344,5510,5668,5814,5951,6072,6185,6292,6377,6488,6611,6748,6907,7071,7244,7426,7620,7814,8009,8205,8470,8684,8883,9071,9188,9320,9473,9647,9908,10162,10404,10634,10848,11066,11288,11514,11738,11972,12211,12455,12709,12967,13230,13498,13771
"16","8","    Net insurance settlements","W098RC0",-7,-11,-9,-5,9,16,20,23,18,17,14,11,7,5,8,12,25,28,29,26,10,10,13,19,41,44,39,28,-5,-17,-22,-20,0,6,12,14,9,9,9,9,9,9,9,9,11,8,6,-5,-18,-30,-39,-45,-49,-51,-50,-46,-45,-32,-13,10,51,68,75,70,45,28,13,-2,-10,-19,-33,-38,-46,-47,-48,-47,-46,-39,-30,-17,-1,13,24,32,40,43,42,39,25,25,35,51,88,110,124,134,119,133,154,182,232,253,260,251,235,183,109,17,-124,-216,-290,-342,-352,-363,-360,-341,-321,-273,-208,-134,-14,46,72,76,29,4,-20,-37,-82,-56,0,82,278,327,319,256,39,-50,-108,-129,-60,-42,-24,-10,-9,-4,-2,-5,-2,-19,-45,-74,-140,-145,-119,-56,84,146,185,197,151,129,104,80,50,40,41,53,100,113,2459,120,37,-64,-160,-237,-337,-325,-211,-19,556,598,-4815,65,-956,-1292,3187,-5695,-573,-299,-108,-21,-213
"17","9","    Other \2\","S230570",87,87,87,87,136,136,136,136,165,165,165,165,147,147,147,147,179,179,179,179,182,182,182,182,242,242,242,242,232,232,232,232,321,321,321,321,315,315,315,315,337,337,337,337,347,347,347,347,386,386,386,386,460,460,460,460,688,688,688,688,775,775,775,775,889,889,889,889,1015,1015,1015,1015,1194,1194,1194,1194,1399,1398,1398,1397,1559,1558,1558,1557,1723,1723,1723,1723,1970,1970,1970,1970,2146,2145,2145,2144,2408,2323,2311,2370,2523,2622,2694,2713,2706,2769,2865,2980,3179,3303,3395,3463,3477,3517,3565,3617,3682,3766,3873,4003,4187,4326,4453,4570,4635,4761,4908,5076,5313,5484,5639,5780,5845,6008,6207,6444,6723,6979,7205,7401,7528,7699,7877,8068,8278,8495,8722,8961,9192,9466,9758,10060,10450,10694,14559,11005,12378,11362,12845,24851,15331,15575,15868,16206,20357,20709,21036,21330,21540,21718,21973,22309,22740,23163,23542,23879,23078,23321,23589,23884,23909,24225,24536,24842,25316,25633,25964,26311,26048,26414,26784,27158,27861
"18","10","From persons","W062RC0",335,320,313,312,312,327,352,377,430,464,492,518,537,546,547,542,519,522,532,547,599,606,605,598,555,558,580,619,691,749,809,863,921,967,1004,1036,1032,1038,1040,1046,1075,1106,1144,1187,1222,1259,1299,1344,1371,1422,1479,1548,1673,1765,1831,1875,1831,1820,1828,1861,1940,2015,2108,2209,2304,2424,2556,2688,2828,2959,3082,3203,3307,3421,3516,3620,3705,3802,3908,4009,4139,4259,4386,4528,4642,4830,5047,5289,5612,5856,6075,6261,6691,6924,7187,7462,7720,7988,8277,8535,8779,9055,9306,9532,9863,10220,10607,11010,11344,11720,12055,12717,12662,12911,13507,13696,14153,14759,15071,15401,15921,16293,16677,17081,17275,17876,18658,19599,20927,22068,23111,24178,24987,25777,26383,26833,27874,28251,28698,29261,30114,30672,31146,31580,31887,32331,32850,33420,33983,34593,35199,35813,37150,37936,38624,39198,39500,40101,40853,41770,42844,44019,45285,46600,48063,49398,50674,51893,52631,53566,54692,55963,57044,57840,58632,59420,59524,60608,61836,63204,64720,66152,67552,68868,69948,71300,72724,74200,75744,77336,78952,80048,80868
"19","11","  Federal \3\","B233RC0",44,44,44,44,44,40,40,40,44,44,44,48,52,52,52,52,52,56,60,60,64,60,56,52,52,52,52,52,48,48,48,48,52,56,60,68,56,48,36,28,40,52,68,84,88,88,88,88,72,68,60,60,88,124,152,176,156,132,116,108,108,112,120,120,120,120,128,132,136,144,148,156,156,168,168,180,180,184,188,180,180,180,184,196,212,228,240,248,252,256,264,264,576,648,740,836,896,956,1024,1044,1024,1044,1040,1004,1116,1168,1224,1272,1156,1200,1248,1668,1692,1828,2288,2308,2540,2904,2932,2940,2956,3032,3128,3228,3264,3360,3468,3560,3712,3848,3916,4056,3992,4096,4144,4180,4864,4928,5016,5168,5404,5584,5708,5820,5892,6024,6216,6460,6752,7020,7268,7500,7692,7876,8044,8180,8304,8472,8708,9004,9344,9672,9980,10248,10460,10688,10896,11096,11000,10856,10804,10796,10932,10812,10712,10604,10068,10424,10884,11392,11892,12364,12788,13136,13256,13592,13956,14332,14736,15176,15628,15528,15164
"20","12","  State and local","B246RC0",291,276,269,268,268,287,312,337,386,420,448,470,485,494,495,490,467,466,472,487,535,546,549,546,503,506,528,567,643,701,761,815,869,911,944,968,976,990,1004,1018,1035,1054,1076,1103,1134,1171,1211,1256,1299,1354,1419,1488,1585,1641,1679,1699,1675,1688,1712,1753,1832,1903,1988,2089,2184,2304,2428,2556,2692,2815,2934,3047,3151,3253,3348,3440,3525,3618,3720,3829,3959,4079,4202,4332,4430,4602,4807,5041,5360,5600,5811,5997,6115,6276,6447,6626,6824,7032,7253,7491,7755,8011,8266,8528,8747,9052,9383,9738,10188,10520,10807,11049,10970,11083,11219,11388,11613,11855,12139,12461,12965,13261,13549,13853,14011,14516,15190,16039,17215,18220,19195,20122,20995,21681,22239,22653,23010,23323,23682,24093,24710,25088,25438,25760,25995,26307,26634,26960,27231,27573,27931,28313,29458,30060,30580,31018,31196,31629,32145,32766,33500,34347,35305,36352,37603,38710,39778,40797,41631,42710,43888,45167,46112,47028,47920,48816,49456,50184,50952,51812,52828,53788,54764,55732,56692,57708,58768,59868,61008,62160,63324,64520,65704
"21","13","    Fines","S210660",169,155,143,133,113,115,124,140,175,205,232,256,286,296,294,280,236,224,219,225,264,273,276,275,248,247,257,276,314,345,380,413,453,478,497,508,505,509,515,523,536,549,566,585,606,635,668,707,745,788,834,877,947,958,941,898,783,736,709,708,778,811,851,896,919,971,1024,1078,1138,1187,1235,1280,1316,1361,1407,1456,1507,1566,1632,1703,1793,1869,1944,2018,2069,2161,2270,2396,2565,2697,2816,2926,3001,3104,3214,3329,3458,3585,3713,3844,3984,4110,4225,4337,4404,4537,4686,4853,5098,5243,5349,5414,5392,5414,5442,5480,5525,5601,5706,5832,6072,6176,6273,6371,6501,6610,6721,6840,6926,7089,7286,7511,7854,8041,8168,8233,8146,8160,8198,8264,8426,8499,8562,8613,8652,8684,8712,8736,8681,8705,8757,8841,8982,9109,9249,9400,9550,9730,9924,10136,10363,10607,10866,11140,11428,11720,12013,12307,12704,13024,13324,13604,13776,13976,14208,14476,14860,15248,15608,15948,16268,16596,16932,17268,17604,17952,18316,18684,19068,19452,19836,20244,20640
"22","14","    Other \4\","S210670",122,121,126,135,155,172,188,197,211,215,216,214,199,198,201,210,231,242,253,262,271,273,273,271,255,259,271,291,329,356,381,402,416,433,447,460,471,481,489,495,499,505,510,518,528,536,543,549,554,566,585,611,638,683,738,801,892,952,1003,1045,1054,1092,1137,1193,1265,1333,1404,1478,1554,1628,1699,1767,1835,1892,1941,1984,2018,2052,2088,2126,2166,2210,2258,2314,2361,2441,2537,2645,2795,2903,2995,3071,3114,3172,3233,3297,3366,3447,3540,3647,3771,3901,4041,4191,4343,4515,4697,4885,5090,5277,5458,5635,5578,5669,5777,5908,6088,6254,6433,6629,6893,7085,7276,7482,7510,7906,8469,9199,10289,11131,11909,12611,13141,13640,14071,14420,14864,15163,15484,15829,16284,16589,16876,17147,17343,17623,17922,18224,18550,18868,19174,19472,20476,20951,21331,21618,21646,21899,22221,22630,23137,23740,24439,25212,26175,26990,27765,28490,28927,29686,30564,31563,32336,33052,33712,34340,34596,34936,35344,35864,36560,37192,37832,38464,39088,39756,40452,41184,41940,42708,43488,44276,45064
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
