"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"34","26","A     Chemical manufacturing","KP3250",35912,36613,36348,36806,36730,36703,36651,36775,36943,37126,37603,37054,37388,37382,36703,36364,36692,36824,36148,36304,36696,35846,36395,36689,36089,36821,36587,36712,36324,36922,36644,36815,36782,37036,37291,36661,37364,36873,36734,37602,37221,37488,37645,37525,37829,37211,37095,37780,36336,37913,36708,35835,36602,35317,36399,36739,35281,35870,35868,35496,35540,34927,34358,35200,35313,36290,34432,34444,35959,35594,35683,35833,35838,36327,36349,34830,35088,35849,37792,36795,37672,37945,36872,37424,37443,37176,38549,38273,38818,38629,38861,38832,37385,38580,38360,37445,37716,37181,37356,37534,37460,36573,37434,38240,36426,36326,36643,35992,37213,36182,36670,37569,37768,36974,37654,37530,35709,35923,35299,35323,34887,35264,35072,35637
"35","27","A     Plastics and rubber product manufacturing","KP3260",12991,13168,13092,13442,13196,13338,13500,13442,13713,13833,13974,14077,13846,13998,13754,13816,13817,13707,13891,14032,14085,14222,14138,14304,14287,14985,14527,14307,14433,14484,14327,14574,14664,14737,15009,15072,15105,14820,15038,15248,15076,15201,14715,14702,14789,14566,14401,14225,13944,14619,14200,13870,14033,13900,14341,14216,14006,14064,13948,14071,14297,14324,14261,14983,14902,14665,15051,14863,14725,14999,15032,15151,15258,15123,15263,14693,14964,15003,15328,14922,15126,15184,14570,15056,14966,14281,15414,15285,15093,15455,15373,15430,15174,15051,15102,15363,15297,15126,15315,15100,15315,15298,15181,15430,15606,15457,15482,15273,15267,15149,14893,14965,15303,15571,15411,15368,14794,14700,14688,14816,14795,14694,15009,15214
"36","28","A Merchant wholesale industries","KP42W0",184382,189081,187468,187104,188939,190426,191037,190233,193567,193260,193579,193712,197615,198507,200172,201631,201225,201574,203322,204523,205673,206592,207788,210037,208803,213111,214645,213993,218222,219494,220279,220325,221412,224260,225744,226094,227168,223533,225336,227919,227072,229784,229542,230309,230472,231267,229643,232711,231390,231507,229219,227859,228694,225276,228795,228810,228105,227203,228591,228720,229927,230852,228257,232072,233111,234778,233715,235569,234036,232158,236356,233633,234044,230513,231996,232199,233087,235696,238060,236773,237680,239115,239955,239684,238293,242203,248812,247713,247677,249734,248388,250880,249915,248366,251313,254247,254199,253383,250949,254387,255402,255886,255365,257408,258930,261221,261427,262053,263917,265970,267893,267820,270268,270251,270396,273437,273839,275087,272756,274163,275680,274285,277220,278886
"37","29","A   Durable goods merchant wholesale industries","KP42WD0",89098,92340,90956,92045,92739,93676,94585,93692,96429,96072,96585,96223,98517,99149,100400,101224,100619,101498,102091,102474,102047,102939,103251,104233,105383,108310,108893,109211,111246,111784,113017,113148,114071,115607,116450,118152,118360,116846,117720,118193,118613,119026,118372,119289,119506,120008,119418,118415,118862,119350,118408,116880,117167,115026,115726,116469,114234,112751,113667,113334,114197,115493,113775,116106,116736,117062,116944,118210,117223,115988,116715,114853,116308,114331,116567,116259,116562,118078,119253,118496,120110,120971,121982,122392,121432,124392,129541,130144,130455,131432,131147,131720,129977,131157,132728,134948,133782,133458,133261,135160,135339,136462,136502,138727,138800,141780,141395,143271,144028,143922,144357,143936,146318,145668,146223,148422,146558,146756,147279,148346,148406,146589,148818,150193
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KP42110",13732,13986,14012,13690,14190,14365,14097,13310,14210,14228,14040,13008,14108,14039,14617,14623,14599,14467,14656,14854,14891,14506,14798,14847,14860,16392,15844,15975,16224,16429,16687,16416,16737,17046,16797,17013,16815,16766,16619,16820,16425,16638,16419,16572,16520,16657,16690,16678,17000,17003,17219,17275,17642,17351,17407,17572,16700,17733,17630,17287,17684,18066,17886,18257,18238,18362,18664,19865,18928,18560,19158,19042,19077,18157,18666,18784,18836,19085,19168,18992,19211,19166,19956,20443,19038,20320,20474,21015,20650,20790,20485,20596,20767,20898,20381,20697,20439,21044,21155,20658,20876,21169,21545,22507,21667,22674,22703,23165,23977,24266,23566,23571,24206,23853,23947,24659,24012,25277,25732,26581,25332,25135,25477,25896
"39","31","D     Furniture and home furnishings wholesalers","KP42120",3264,3458,3239,3305,3208,3211,3255,3207,3499,3440,3364,3433,3496,3356,3435,3404,3381,3456,3412,3453,3422,3334,3486,3437,3438,3527,3482,3509,3580,3553,3740,3663,3631,3732,3664,3756,3796,3865,3831,3914,3955,3928,3909,3917,3977,3915,3871,3846,3879,3861,3864,3779,3682,3699,3648,3708,3625,3680,3646,3589,3671,3607,3671,3683,3669,3837,3673,3617,3610,3598,3684,3499,3637,3703,3667,3642,3682,3696,3791,3727,3764,3732,3740,3776,3780,3786,3860,3855,3913,3821,3856,3948,3977,3855,3832,3878,3838,3830,3809,3865,3843,3936,3916,3903,3915,4082,3977,4067,4133,4127,4126,4132,4154,4167,4214,4221,4321,4391,4472,4491,4528,4457,4550,4550
"40","32","D     Lumber and other construction materials wholesalers","KP42130",4912,5128,5032,5105,4915,5063,5051,5079,5122,5090,5033,5180,5219,5183,5134,5211,5273,5371,5511,5545,5564,5696,5767,5771,5576,5685,5708,5763,5874,5904,5854,5797,5983,6099,6260,6094,6114,5926,5949,5826,5872,5901,5785,5831,5897,5960,5959,6017,5968,6049,5992,6116,6168,5924,6077,6118,6028,6171,6293,6488,6544,6785,6500,6573,6356,6346,6146,6269,6344,6428,6362,6353,6678,6432,6657,6582,6619,6891,7164,7220,7434,7608,7626,7239,7200,7294,7953,7987,8003,7874,7890,8044,7663,7578,7745,8018,7906,7823,7672,7712,7712,7676,7784,7907,7953,8159,8401,8512,8681,8185,8216,8108,8068,8185,8071,8068,7540,7483,7556,7609,7139,6895,7286,7281
"41","33","D     Professional and commercial equipment wholesalers","KP42140",11911,12607,12417,12750,13145,13458,13430,13594,14183,14347,14898,15057,15464,15951,16133,16679,16429,17031,17285,17832,17763,18281,17934,18669,19102,19648,20172,20379,20897,21278,21714,21896,21948,22511,22775,22922,22346,22285,22689,22569,22269,22111,22031,22820,22788,22952,22666,21692,22847,23224,23207,23301,23628,23309,23445,23098,22854,22159,22909,23243,23483,23771,23760,23806,24593,25135,24857,25623,26109,25807,26321,25604,25922,26098,26480,26598,26264,26198,26474,26365,26450,26750,27314,27672,28384,28613,28878,28651,28802,29743,30107,29368,28863,29813,30318,30704,30249,30357,30338,31038,31490,31406,31410,32655,33302,33353,33197,34045,33775,34166,35281,34629,34824,35033,35295,35913,36320,36799,36804,37130,37895,38015,37987,38554
"42","34","D       Computers and software wholesalers","KP42430",5060,5346,5288,5611,5871,6074,6110,6354,6698,6708,7130,7172,7411,7761,8034,8530,8464,8975,8926,9048,8942,9222,9165,9444,10123,10649,11008,11147,11525,11496,12218,12361,12253,12923,12799,13022,12711,12617,13074,12892,12666,12232,12100,12751,12502,12703,12636,11594,12666,12628,12632,12245,12653,12515,12375,12208,12561,11990,12311,12500,12468,12643,12547,12401,13278,13915,14001,14686,14756,14520,14142,14212,14097,14444,14602,15095,14348,14398,14735,14395,14502,15244,15437,15917,16465,16557,16965,17028,16806,17623,18270,17055,16596,17206,18368,19055,18709,18666,18694,18892,19868,19317,19546,20478,21170,20809,20822,21474,20999,21497,22382,22204,22235,22907,23173,23769,25358,25882,26677,27047,26021,26131,28365,26875
"43","35","D       Other professional and commercial equipment wholesalers","KP424X0",7735,8227,8071,7919,8004,8081,7980,7761,7980,8206,8234,8388,8537,8613,8414,8346,8126,8124,8521,9022,9082,9312,8975,9463,9089,9049,9195,9259,9382,9827,9470,9504,9676,9534,9946,9867,9617,9662,9605,9674,9603,9886,9937,10078,10290,10261,10044,10082,10192,10575,10552,10965,10918,10739,10972,10795,10303,10136,10543,10688,10911,11027,11084,11224,11264,11270,10983,11151,11503,11412,12077,11454,11785,11709,11914,11707,11901,11819,11832,11949,11952,11750,12072,12071,12301,12422,12394,12188,12425,12685,12609,12712,12582,12959,12716,12642,12493,12595,12569,12974,12822,13027,12922,13361,13495,13698,13585,13880,13903,13952,14328,13963,14081,13942,14004,14172,13802,13909,13599,13666,14561,14597,13723,14652
"44","36","D     Metal and mineral (except petroleum) wholesalers","KP42150",7621,7843,7565,7869,7795,8006,7913,7903,8109,8025,7992,8065,7895,7854,8095,7877,7830,7927,7916,8054,8055,8046,7999,8032,8419,8338,8341,8192,8175,8035,8158,7930,7961,8242,8402,8560,8940,8572,8639,8530,8503,8520,8489,8458,8436,8422,8540,8604,8261,8379,8135,8329,8414,8323,8226,8399,8194,7971,7868,7453,7458,7365,7262,7695,7639,7826,7738,7540,7422,7539,7039,6804,6911,6731,6942,6860,7077,7074,7292,7118,7262,7148,7220,7305,7437,7687,8550,8423,8116,8399,8283,8372,8236,8015,8033,8079,8143,8141,8041,8210,8239,8469,8303,8389,8299,8720,8460,8614,8364,8477,8549,8429,8494,8454,8333,8317,8347,8265,8414,8238,8626,8519,8371,8277
"45","37","D     Electrical goods wholesalers","KP42160",13782,14019,14136,14200,14428,14532,14821,14925,14793,14531,14605,14813,14677,14892,15073,15158,15286,15063,15239,15135,15145,15524,15366,15293,15465,15950,16143,16312,16602,16852,17131,17391,17673,18016,18489,19189,19566,19154,19312,19604,19881,20480,20323,20625,20571,20298,20281,20382,20197,19483,19293,18528,18046,17152,17454,17443,17344,17510,17778,17311,17476,17516,17242,17696,17888,17392,17528,17397,17318,17208,17460,17333,17261,17376,17668,17451,17180,17831,18043,17718,18318,18876,18831,18622,18810,19349,19561,20186,21111,20669,20507,20808,20503,20336,20718,21031,21242,20253,20843,21394,21059,21128,21155,21466,21468,21892,21826,21886,22135,22143,22136,21985,22979,22704,23269,23954,23845,23605,24284,24663,24328,23723,23909,23829
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KP42170",4776,4805,4821,4977,4843,4838,4979,4874,4962,5020,4980,5009,5150,5119,4980,5043,5108,5201,5223,5149,5117,5108,5245,5303,5285,5295,5377,5316,5394,5362,5398,5405,5378,5333,5401,5434,5510,5503,5600,5570,5715,5676,5585,5573,5634,5661,5580,5600,5477,5516,5396,5085,5387,5157,5223,5323,5289,5400,5437,5450,5469,5669,5445,5520,5371,5328,5339,5429,5319,5263,5249,5193,5387,5243,5390,5367,5413,5398,5456,5427,5518,5451,5468,5428,5419,5401,5803,5794,5730,5810,5722,5745,5730,5636,5643,5729,5784,5728,5723,5735,5729,5863,5876,5942,5943,6160,6170,6202,6054,6193,6230,6372,6547,6385,6376,6446,6081,5891,5763,5887,5781,5757,5711,5838
"47","39","D     Machinery, equipment, and supplies wholesalers","KP42180",18074,19093,18491,18703,18880,19091,19504,19143,19453,19764,19574,19695,20678,20755,20510,20868,20867,20723,20401,20366,20467,20052,20362,20364,20182,20187,20605,20397,20657,20703,20810,20840,20633,20706,20629,20882,21120,20696,20740,20968,20834,21403,21307,21206,21223,21250,21177,20729,20648,21328,21026,20372,20221,19883,19902,20297,20166,18567,18929,18831,18285,18269,18281,18791,18992,18819,18541,18081,18459,18103,17828,17778,18120,17543,17918,17950,18288,18434,18554,18775,18651,18341,18168,18501,18307,18899,20272,19729,19527,19626,20003,20216,19699,20386,20444,21366,20752,20664,20363,21323,21233,21451,21495,21415,21802,21987,22107,22326,22408,22563,22625,22709,22579,22638,22697,23328,23106,22494,22645,22409,22782,22318,22981,22843
"48","40","D     Miscellaneous durable goods wholesalers","KP42190",12565,12887,12690,12817,12573,12275,12788,12738,13153,12616,12889,12646,12571,12606,13019,12853,12371,12670,12822,12339,11858,12570,12546,12685,13210,13418,13289,13413,13881,13659,13501,13772,14097,13877,13983,14262,14139,14067,14324,14387,15154,14373,14526,14291,14468,14909,14667,14872,14602,14525,14296,14156,14047,14327,14441,14557,14086,13559,13204,13762,14246,14570,13867,14179,14181,14277,14706,14743,14140,13902,14134,13715,13772,13623,13740,13620,13698,13915,13752,13581,13900,14348,14211,14028,13843,13810,14548,14855,15094,15274,14985,15083,15015,15341,16272,16134,16050,16211,16058,16000,16025,16089,15830,15685,15730,15842,15694,15727,15831,15338,15385,15568,16074,15925,15910,15711,15409,15371,14622,14661,15086,15002,15609,16260
"49","41","A   Nondurable goods merchant wholesale industries","KP42WN0",95988,97339,97195,95573,96756,97287,96903,97069,97521,97598,97357,97912,99479,99711,100065,100685,100937,100305,101497,102344,104069,104031,104951,106237,103618,104904,105880,104843,107051,107799,107280,107189,107333,108638,109280,107861,108769,106651,107593,109719,108451,110761,111178,111034,110988,111300,110276,114271,112533,112176,110838,110976,111519,110227,113009,112305,113774,114341,114821,115285,115632,115271,114385,115879,116289,117612,116678,117279,116719,116063,119437,118536,117570,115989,115398,115858,116424,117529,118717,118176,117573,118160,118047,117424,116964,118026,119689,118126,117820,118891,117871,119709,120347,117846,119227,120026,121003,120519,118425,119987,120775,120271,119765,119792,121109,120769,121261,120307,121373,123313,124700,124966,125252,125756,125438,126412,128267,129241,126706,127114,128432,128637,129492,129893
"50","42","D     Paper and paper products wholesalers","KP42210",6195,6473,6315,6485,6068,6083,6131,6232,6248,6229,6243,6079,6107,6150,6309,6344,6286,6365,6357,6410,6553,6604,6670,6831,6812,6917,6631,6833,6903,6984,6951,6932,6938,7003,6991,6733,6960,6863,6932,6634,6614,6523,6615,6617,6588,6571,6582,6601,6540,6541,6468,6505,6492,6423,6395,6475,6199,6296,6451,6444,6403,6453,6405,6466,6518,6564,6600,6520,6491,6477,6547,6511,6584,6509,6580,6498,6411,6468,6538,6366,6617,6791,6603,6749,6641,6885,7020,7051,7049,7035,6930,6874,6941,7023,7097,7062,7081,7090,6849,7045,7077,7088,7224,7551,7643,7549,7514,7578,7531,7454,7457,7481,7508,7342,7290,7211,7040,7135,7137,7111,7184,7285,7252,7342
"51","43","D     Drugs and druggists' sundries wholesalers","KP42220",9299,9431,9697,9711,9864,9978,10147,10222,10226,10189,10295,10367,10921,11047,10799,10417,10459,10394,10674,10732,10879,11095,11140,11476,11669,11786,11939,12336,12446,12415,12514,12630,12527,12533,12935,13294,12849,12996,13517,13603,13903,14148,14307,14396,14365,14704,14840,15087,15686,15503,15361,15473,15871,16224,16456,16787,17545,18116,17795,18113,18353,18668,18891,18971,18871,19211,18658,18809,19158,18922,19818,19469,19540,19806,19998,20276,20609,20660,21143,21345,20806,21225,20897,21140,20623,20809,21497,21348,21501,21381,22006,21960,22146,22282,22398,21852,23331,22621,22020,22868,22668,23078,22667,22714,23802,23439,23694,23853,23827,24779,24846,25062,25517,25520,25463,25931,24874,25388,24660,25132,24946,24876,25256,25509
"52","44","D     Apparel, piece goods, and notions wholesalers","KP42230",6913,6949,6818,7068,6929,6842,7206,7102,7074,6920,7025,7151,7290,7247,7216,7014,6880,6809,6903,6914,6555,7060,6790,6812,6963,6837,7365,7158,7220,7164,7107,7119,7203,7148,7208,7295,7173,7294,7389,7450,7467,7585,7384,7280,7398,7412,7304,7734,7504,7536,7124,7423,7824,7405,7382,7453,7519,7685,7821,7677,7590,7890,8055,8137,8209,8163,8339,8474,8132,7989,8398,7777,8117,7787,7835,7697,7802,7769,7917,7956,8147,8025,8219,8244,7989,8301,8289,8104,8123,8133,7999,8264,8337,8216,8266,8716,8343,8468,8476,8746,8879,8902,9013,8589,8656,9184,9074,9391,9415,9025,9002,9153,9156,9718,9718,9782,9915,10162,10194,9850,9991,10183,9835,9906
"53","45","D     Grocery and related products wholesalers","KP42240",27761,27900,28153,27884,27861,28211,28036,27781,27481,27160,27839,27767,28231,28846,28541,28721,28843,29206,29256,29166,29359,29308,29349,29382,28847,29363,29607,29642,30025,29682,29800,30386,30644,30900,31444,31254,31321,31439,31245,31634,31343,31960,31906,32160,31773,31753,32014,33359,31799,31512,31441,31757,31189,31272,31678,31223,31070,31129,31744,31594,31779,31836,31120,31842,32116,32419,32606,33014,33070,33078,33292,33156,32884,33434,33281,33224,33297,33444,33886,33262,32905,32416,32227,31412,32362,32207,32743,31857,30985,31477,31696,32249,31925,31326,31492,31949,31895,31935,31657,31642,32014,32203,32310,32618,32471,32284,32557,32058,32904,33206,33262,33174,32900,32950,32693,33288,33166,32962,33138,33534,34352,34397,34545,34761
"54","46","D     Farm product raw material wholesalers","KP42250",7998,8138,7156,7372,7456,7621,7391,7698,8108,9077,7991,7944,8135,7449,7244,7584,7617,7360,7743,8343,8745,8366,8346,8749,7993,8322,8214,8136,8739,8900,9396,8452,9172,9308,8830,8716,8527,8120,8316,8783,8459,9188,9777,9872,9396,9151,8701,9058,8667,9469,9400,9225,9085,8438,8805,8788,8680,8764,8585,8350,8740,8589,8566,9118,8740,9068,8781,8130,7859,8261,9013,9438,9003,8392,8289,8169,8044,8782,8709,8852,8455,9095,9014,8862,8596,8577,8460,8650,8178,8213,8462,9227,9172,9703,9426,9311,8926,8949,8193,8772,8575,8575,8753,8417,9070,9139,8936,8267,8552,8949,9587,9482,9522,9672,9602,10005,9938,8776,7808,7972,8524,8225,8557,8875
"55","47","D     Chemical and allied products wholesalers","KP42260",4585,4683,4778,4836,4784,4946,5004,4883,4968,4867,4824,4837,4919,4910,4741,4771,4815,4753,4734,4821,4811,4913,4891,4824,4839,4589,4834,4755,4840,5055,4907,4929,4856,4881,4981,4973,4975,4756,4998,5069,4990,5091,5012,5098,5131,5161,5072,5219,5005,5075,5078,4958,4993,4984,5171,5084,5013,5066,5131,5132,5249,5338,5045,5304,5451,5289,5218,5305,5370,5218,5147,5031,5132,4907,4966,5049,5052,5009,5098,4950,5050,5087,5077,5079,5001,4992,5087,5020,4964,5082,5093,5098,4969,4966,5096,5104,5231,5205,5004,5248,5233,5335,5261,5313,5179,4976,5116,5106,4899,4975,4993,4961,4979,5034,5070,5050,5147,5134,5185,5304,5320,5190,5286,5306
"56","48","D     Petroleum and petroleum products wholesalers","KP42270",15890,15690,16461,14842,15915,16277,15994,16163,15779,15323,16009,16056,16153,16629,17715,17593,17403,18222,18090,18453,18897,18687,19265,20190,19086,19563,19872,17327,18027,18265,17482,17107,16772,16842,16493,15217,15860,15037,14289,15596,15127,15284,15926,15592,15875,16031,15401,16415,16827,16085,16126,15780,16169,15554,16519,15933,17077,17125,17632,18339,17959,16449,16521,16571,16784,17310,16445,16955,16933,16524,17305,17046,16360,15127,14959,15366,16451,16113,15550,15277,15925,15341,15780,15478,15546,16102,16190,15362,16187,16447,14779,14618,15394,13701,14296,14343,14586,14408,14348,14202,14491,13864,13739,13773,13584,13294,13568,13598,13540,14082,14535,14115,14051,13866,14000,13707,15354,16355,15568,15587,15943,16506,15936,15723
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",4850,4913,5006,4761,5040,4958,5088,5073,5178,5143,5113,5400,5117,5149,5247,5318,5319,5139,5360,5304,5649,5527,5420,5521,5602,5573,5574,5657,5723,5731,5678,5784,5935,5998,5986,5886,5985,5824,5958,5964,5851,5989,5864,5972,6007,6069,6081,5972,6211,6137,5731,6005,5968,6003,6063,5935,5904,5882,6085,6330,6146,6361,6464,6414,6367,6414,6385,6445,6335,6232,6277,6599,6281,6448,6431,6355,6327,6365,6627,6697,6379,6607,6544,6559,6454,6269,6177,6371,6632,6525,6511,6366,6705,6679,6706,6898,6868,6878,6966,6982,7059,7142,6803,7077,7042,7117,7070,6983,7126,7187,7080,7169,7231,7391,7278,7565,7704,7764,7905,7884,7882,7732,7985,7939
"58","50","D     Miscellaneous nondurable goods wholesalers","KP42290",12680,13346,13566,12931,13379,12921,12455,12418,12727,12498,12351,12646,12861,12870,13322,13840,14129,13244,13349,13187,13700,13439,14306,14001,13033,13291,13213,13365,13605,14157,13764,14033,13386,14110,14388,14302,15060,14251,14912,14962,14682,14984,14416,14104,14483,14468,14336,14850,14296,14304,14097,13841,13940,13899,14557,14587,14831,14362,13788,13707,13768,13620,13341,13097,13297,13307,13637,13745,13536,13432,13653,13416,13607,13701,13201,13262,12555,12878,13193,13383,13286,13451,13561,13816,13644,13774,14182,14321,14170,14517,14512,15175,14750,14447,14742,15130,15022,15300,15198,14958,15196,14805,14828,14572,14851,15303,15045,14738,15005,14812,14890,15636,15742,15925,15729,15755,15735,15662,15642,15214,14572,14342,15202,15050
"59","51","A Retail trade industries","KP440",215011,216880,217363,216848,214952,218291,221423,222324,222324,222556,224552,224643,225783,226714,229000,231954,233591,234939,233573,232863,236234,239592,241679,243976,245342,248562,249958,248666,252334,252334,253767,255594,256354,256617,259778,264434,263437,265845,267353,263599,264248,263886,265186,266133,268810,267677,266731,267401,269392,269644,268233,271968,272356,271224,271386,273603,268432,289478,281720,280550,280728,282557,281161,284216,280167,284445,286723,288494,283514,285617,287186,289656,290913,284979,289626,290775,293537,296225,300761,304610,302029,301747,307192,305706,306160,307673,312129,308351,312397,305761,312940,312722,318259,317332,318621,323499,321979,323744,322790,326504,326022,331831,338470,330042,326924,328203,334586,336519,344984,342617,343699,343702,343035,341769,345856,345122,346151,348363,351516,353704,354355,355979,356998,355820
"60","52","A   Motor vehicle and parts dealers","KP4410",56534,56896,56209,56268,54457,55955,57787,58614,57672,57674,58603,58836,58600,58029,59087,61105,62097,62150,59804,58410,60969,62765,62901,64115,64546,65283,65674,65758,67526,67391,68609,69072,68718,68352,69236,70017,71731,73001,72388,70081,69378,69542,69754,69439,71140,69303,68315,67890,69572,69819,69432,70473,71166,71047,69735,70242,68834,85214,76022,72878,72300,73083,72355,73813,70307,73876,76030,77667,73048,72875,73745,75567,75754,72673,75074,75722,75767,75568,77768,80013,78418,77771,80576,78511,77887,80025,81065,78208,81424,74699,79840,79416,83019,82600,80660,83118,80508,81448,81024,82428,80671,83073,90396,80529,77490,76119,79813,80885,83628,81027,81835,82052,80264,78294,81300,80984,81917,82745,82963,84247,83723,84536,84980,84546
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",9704,9919,9941,10182,10210,10294,10496,10695,10775,10828,11041,11159,11359,11458,11440,11407,11554,11874,12047,12253,12238,12390,12722,12885,12811,13083,13320,13359,13622,13856,14021,14251,14545,14632,14661,14973,15232,15491,15523,15788,15674,15607,15747,15920,15991,15966,15844,15454,16254,16144,16243,16190,16374,16686,16855,16996,16715,17071,17798,18200,18180,18537,18717,18611,18868,18802,18623,18828,19010,19172,19374,19509,19427,19000,19691,19906,20651,21013,21316,21864,22178,22325,22615,22828,22909,23042,23645,23759,23699,24161,24867,24739,24880,24934,25244,25595,25728,26234,26078,26340,26374,26956,27149,27590,28102,28148,28332,28172,30167,29401,29541,29863,30274,30535,30731,30905,31259,31205,32239,32763,32939,32937,32911,33165
"62","54","A   Building material and garden equipment and supplies dealers","KP4440",18964,19248,19457,19360,19331,19544,19657,19654,20024,20149,19998,20082,20286,20374,20456,20776,20895,20985,21249,21077,21551,21891,22208,22472,22420,22714,22517,22397,22445,22432,22326,22627,22828,23323,23881,23983,24295,23907,25214,23447,23849,23803,23906,24160,24092,24254,24233,24980,24919,25343,25176,26276,25666,25338,25388,25286,24847,25545,25611,25482,26089,26094,26142,27192,26807,26789,26584,26747,26788,26869,27050,26355,27438,25760,27397,27208,27699,28387,28858,28864,28543,29039,29049,28935,28767,28425,30850,30217,29860,30299,30441,30301,30426,30500,30959,31642,31551,31018,31260,31974,32373,32443,32194,32590,32843,33265,34077,33878,36096,35788,36368,35376,35221,34939,35229,35240,34579,34609,34750,34668,34579,34177,34655,33958
"63","55","A   Food and beverage stores","KP4450",37720,37507,37692,37648,37414,37422,37558,37698,37685,37665,37708,37530,37463,37441,37803,37660,37780,38008,38062,38210,38260,38176,38321,38396,38134,38456,38498,38695,38889,38608,38769,38853,39118,38829,38997,40195,38468,38712,39243,39630,39307,39677,39430,39442,39424,39708,39569,39608,39606,39717,39626,39785,39941,39808,39787,39909,40020,40105,40022,40283,39820,39654,39519,39134,39339,39286,39270,39166,39061,39298,39454,39390,39716,39517,39518,39667,39195,39686,40016,39851,39848,39748,39668,39487,40043,39721,39977,39929,39923,39948,39949,40113,40421,40350,40621,40718,40924,40948,40954,41003,41089,41235,41245,41440,41493,41674,41658,41789,41696,42064,41914,42132,42260,42432,42485,42605,42336,42786,43057,43361,43137,43204,43263,43365
"64","56","A   Clothing and clothing accessories stores","KP4480",11491,11534,11557,11379,11351,11633,11735,11961,11937,11959,12116,12236,12318,12452,12578,12700,12600,12808,12832,12702,12541,12946,13079,13190,13478,13518,13692,13698,13951,13931,13893,14032,13971,14025,14053,14107,14048,14328,14678,14515,14864,14651,14735,14977,15307,15046,15029,14905,14917,15003,14664,14944,14880,14782,14890,15145,14280,15079,14935,15305,15380,15630,15448,15714,15391,15703,15590,15631,15243,16076,15924,16247,16159,15811,16241,16229,16587,16748,16997,16995,17163,16964,17282,17526,17637,17794,18089,17491,17718,17542,17764,17751,18111,18260,18186,18290,18458,19045,18438,19154,18926,19351,19244,19201,19159,19772,19698,19711,20170,20162,20078,20040,20123,20204,20663,20418,20905,20646,20546,20723,21271,20802,21405,21198
"65","57","A   General merchandise stores","KP4520",28541,28773,28780,28722,28790,28902,29431,29613,29427,29727,29809,29604,30048,30487,30647,30756,30896,31120,30929,31068,31518,31762,32079,31999,32658,33174,33559,33154,33448,33725,33859,34013,34384,34319,34452,35293,34607,34892,35529,35081,35717,35746,36149,36204,36702,36646,36717,37097,37722,36894,36441,37530,37583,37572,38034,38322,38205,38772,39202,39895,39565,39840,39757,40194,39830,40355,40120,40231,40004,40974,40972,41061,41268,41767,42105,42028,42621,42871,43496,44430,44347,43815,44356,44635,45262,45261,45535,45186,45990,45347,45990,46032,46579,46565,46937,47635,47659,48036,47951,48547,48489,49429,49234,49409,49855,50468,50496,50609,51647,51697,51600,51882,51991,52154,52590,52601,53005,52971,53487,54106,54564,53981,54868,54450
"66","58","D     Department stores","KP45210",18583,18761,18803,18688,18716,18838,19064,19267,19083,19263,19370,19162,19145,19427,19399,19353,19477,19467,19314,19362,19530,19673,19782,19838,20077,20383,20483,20194,20253,20323,20419,20337,20591,20428,20364,20456,20625,20358,20586,20464,20811,20573,20689,20619,20896,20680,20943,21086,21417,20542,19925,20442,20509,20413,20591,20753,20407,20598,20752,20760,20604,20628,20466,20740,20234,20383,20168,20146,19849,20497,20031,20017,19997,20039,20027,20044,20380,20414,20681,20903,20846,20514,20428,20535,20555,20759,20777,20450,20604,20397,20688,20697,20972,20770,20778,21106,20862,21018,20710,20990,20700,21195,20862,20799,20721,21111,21164,20974,21362,21234,21085,21006,20996,20948,21080,20968,21092,21053,21206,21250,21315,20984,21318,20951
"67","59","D     Other general merchandise stores","KP45290",9886,9938,9899,9962,10002,9989,10299,10272,10275,10396,10367,10375,10852,11008,11202,11363,11378,11618,11583,11676,11962,12063,12274,12135,12560,12771,13059,12945,13182,13392,13430,13670,13786,13887,14085,14843,13979,14536,14945,14618,14907,15174,15461,15584,15805,15964,15774,16010,16306,16349,16509,17077,17064,17146,17429,17555,17775,18148,18421,19094,18921,19167,19243,19407,19536,19906,19883,20012,20074,20402,20842,20942,21162,21607,21945,21855,22113,22324,22678,23373,23346,23143,23747,23917,24502,24311,24559,24527,25159,24731,25081,25113,25384,25558,25908,26276,26526,26744,26948,27263,27475,27921,28041,28267,28767,28995,28974,29257,29896,30061,30105,30447,30561,30761,31059,31171,31445,31448,31803,32355,32733,32479,33022,32956
