"","Table 5#7#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"67","56","        Drugs and druggists' sundries wholesalers","C42220",1557,1078,3352,4559,7005,858,-238,-696,-2069,450,776,-571,-424,1339,1429,-483
"68","57","        Apparel, piece goods, and notions wholesalers","C42230",1429,286,-663,117,-29,1099,-261,796,1412,85,345,553,-3074,2710,188,-302
"69","58","        Grocery and related products wholesalers","C42240",931,-196,1192,-89,-1625,1453,-1307,-323,1573,1126,1086,1059,-1173,1249,1219,1141
"70","59","        Farm product raw material wholesalers","C42250",1368,1241,972,367,124,-959,1426,-2665,1480,206,1775,-2410,3491,3583,-11110,-869
"71","60","        Chemical and allied products wholesalers","C42260",285,483,246,-285,323,150,-160,-199,93,-112,405,230,-1417,731,711,602
"72","61","        Petroleum and petroleum products wholesalers","C42270",51,575,-1011,-377,1517,-758,-402,1025,174,534,588,-2139,3962,-2113,-1682,641
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","C42280",350,171,278,123,-253,455,209,368,520,694,1043,963,-967,320,603,970
"74","63","        Miscellaneous nondurable goods wholesalers","C42290",806,713,-293,-317,-1160,506,-200,1711,-129,-428,862,26,-1398,426,1131,-1411
"75","64","    Nonmerchant wholesale industries","C42N0",2676,1978,2602,4079,-4291,-624,-386,1922,8265,5659,5681,14458,-15794,4461,9875,2349
"76","65","      Durable goods industries","C42ND0",2029,1941,1662,3098,-3351,600,-90,992,4694,3702,603,2194,-5078,-2585,10979,2884
"77","66","      Nondurable goods industries","C42NN0",647,37,939,981,-941,-1224,-296,930,3571,1957,5078,12264,-10715,7046,-1103,-535
"78","67","Retail trade industries","C440",14452,14637,24934,19957,-10317,25035,17535,23137,5012,9340,6299,-31007,-49714,19110,-1750,29091
"79","68","  Motor vehicle and parts dealers","C4410",5143,1832,12440,11880,-9329,17216,12756,7337,-2906,-665,2921,-12345,-32931,12331,-1918,22527
"80","69","  Furniture, furnishings, electronics, and appliance stores","C44230",1190,1640,1852,1931,-175,2053,1986,3384,1258,999,1086,-3714,-1737,2259,-571,459
"81","70","  Building material and garden equipment and supplies dealers","C4440",1328,1942,1953,1162,26,1756,838,2093,1845,-76,715,-5229,-2540,167,-326,1102
"82","71","  Food and beverage stores","C4450",344,942,1529,-561,408,848,-1180,306,-218,885,1139,-453,-332,339,48,371
"83","72","  Clothing and clothing accessories stores","C4480",974,1297,1390,2927,-1130,1776,544,2432,1373,3297,-1090,-2224,-4916,312,-1160,1239
"84","73","  General merchandise stores","C4520",142,359,2694,1040,160,2040,1276,4492,2855,1012,-236,-4035,-2870,2216,1105,1000
"85","74","    Department stores","C45210",238,-963,634,-630,-1890,-1352,-1404,691,611,-1052,-908,-3437,-2176,1778,-1538,-1209
"86","75","    Other general merchandise stores","C45290",-96,1322,2060,1670,2050,3392,2680,3801,2244,2064,672,-598,-694,438,2643,2209
"87","76","  Other retail stores","C44X0",5331,6625,3076,1578,-277,-654,1315,3093,805,3888,1764,-3007,-4388,1486,1072,2393
"88","77","Other industries","COTH0",5301,5570,7085,12446,-356,-1088,1465,4294,2323,4176,-230,1490,-5516,-1146,3067,7607
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
