"","Table 5#7#5BM3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204"
"11","3","Manufacturing industries","I300",8034,7557,9580,4817,9268,6257,4238,9672,8651,7483,6023,10852,5904,3646,8048,6296,5536,9043,9000,11998,12641,14900,15003,18165,22226,13627,9015,7847,-2083,-1202,790,-5774,-7719,-13910,-10893,-13026,-11684,-5495,-11667,-15148,-10251,-16530,-10256,-7574,-8804,-9348,-7707,-10534,-10874,-10441,-3421,3477,8100,6441,8706,10748,14924,11002,12332,9881,34901,28789,15718,14067,8466,4619,678,-1036,-6737,-10142,-12458,-17584,-17577,-15739,-9023,-4442,-728,-1773,-3646,-2641,-7458,-12456,-9821,-5620,-12885,-21009,-22814,-31020,-33526,-25291,-20063,-28065,-33417,-33647,-25397,-14591,-21223,-25318,-26867,-20278,-9789,-6277,-9004,-14145,-20303,-24378,-20299,-17038,-14767,-15456,-17145,-26929,-34615,-31775,-31910,-25933,-10388,-4105,-5650,-3268,-14960,-21555,-22843,-26402,-25758,-20273,-14399,-11234,-12700,-22214,-31007,-31461,-42969,-51054,-58459,-70446,-77835,-79215,-71475,-40750,3703,56869,91523,101465,59611,41721,33486,26964,21994,11527,6617,-4836,-18793,-26280,-29524,-35380,-17675,-29811,-36597,-36978,-27243,-11885,-5725,-8506,-17840,-30430,-39279,-48640,-58215,-68307,-69061,-56863,-41917,-30340,-26637,-19901,-9462,865,5409,1496,-2107,-11002,-8726,-515,7522,13246,7325,-3920,-15105,-13904,-7632,-9704,-7056,-15432,-10512,3816,7980,5376,2148,1812,1260
"12","4","  Durable goods industries","I30D0",-834,2130,4444,-59,6896,5311,3590,8661,7996,8177,7350,9559,1728,837,4549,3228,2641,6254,5809,9088,9792,11436,11201,12993,12779,5872,2961,5735,-2520,-1137,2197,-1833,-1529,-6861,-3401,-4497,-614,5445,-595,-6830,-3083,-7708,-4042,-3806,-5183,-5053,-3784,-8697,-4771,-6418,-860,3344,5479,3039,4514,3841,8111,5076,6987,6140,19831,17256,8945,10431,4321,2251,1152,4144,261,-2135,-5821,-8992,-3801,-2857,349,904,3179,3099,279,445,-1032,-3521,-3400,-4086,-4659,-10923,-11906,-16352,-18242,-14801,-14523,-20630,-20828,-19347,-16014,-10881,-13522,-12339,-10348,-7778,-2441,1308,606,-1402,-3414,-5974,-7377,-7099,-3445,-9815,-12191,-18688,-23678,-21723,-21325,-18255,-11321,-9327,-7393,-4353,-8004,-9267,-6965,-10213,-11108,-6058,-1305,-960,888,394,-3439,-4251,-18353,-27382,-35282,-43699,-45480,-41364,-32161,-21377,-6651,13623,29451,37057,29212,23105,22408,20062,19286,13632,10226,-2153,-11184,-13752,-12317,-14684,-4597,-8920,-14288,-20058,-19832,-11463,-4110,-641,-4391,-11119,-14073,-16340,-25926,-29503,-27971,-23036,-17743,-14415,-13987,-10228,-2671,4318,8636,6498,-3830,-7625,-5990,-4848,-2741,2979,5674,6424,1103,-2709,-2437,-3911,-1308,-3648,-3036,1320,3660,4380,1632,420,-660
"13","5","  Nondurable goods industries","I30N0",8868,5427,5136,4876,2372,946,649,1011,655,-695,-1327,1293,4177,2809,3499,3068,2895,2788,3191,2910,2850,3464,3802,5173,9447,7755,6054,2111,437,-65,-1408,-3940,-6190,-7048,-7492,-8530,-11070,-10939,-11073,-8318,-7167,-8821,-6214,-3768,-3621,-4295,-3923,-1837,-6103,-4023,-2562,133,2621,3402,4191,6907,6813,5926,5346,3740,15070,11533,6773,3636,4145,2368,-474,-5180,-6998,-8007,-6636,-8592,-13776,-12882,-9372,-5346,-3907,-4872,-3924,-3086,-6426,-8936,-6420,-1534,-8225,-10085,-10908,-14668,-15284,-10490,-5541,-7435,-12588,-14300,-9383,-3711,-7701,-12980,-16519,-12500,-7347,-7584,-9609,-12743,-16889,-18405,-12922,-9940,-11321,-5641,-4954,-8241,-10936,-10052,-10585,-7678,934,5223,1743,1085,-6956,-12288,-15878,-16190,-14650,-14215,-13094,-10274,-13588,-22608,-27568,-27209,-24617,-23673,-23177,-26747,-32356,-37851,-39314,-19373,10354,43246,62072,64408,30399,18616,11078,6903,2708,-2105,-3609,-2683,-7609,-12528,-17207,-20696,-13078,-20891,-22308,-16919,-7411,-422,-1615,-7866,-13449,-19311,-25206,-32300,-32289,-38804,-41090,-33827,-24175,-15925,-12650,-9673,-6791,-3453,-3227,-5002,1724,-3377,-2736,4333,10264,10267,1651,-10344,-16207,-11195,-5195,-5793,-5748,-11784,-7476,2496,4320,996,516,1392,1920
"14","6","Wholesale trade industries","IWT0",3457,4565,7274,8646,9938,8298,8111,8677,6658,6690,4820,660,6929,10372,13018,12934,13181,11614,9430,11202,9439,3641,-1276,-1458,8457,8091,6977,3458,1458,2618,-1321,-4264,-3727,-7110,-10378,-10017,-15154,-16993,-15859,-8157,-3591,-3218,-611,-8,-115,1410,208,5614,-9770,-4934,-5153,-5991,-2287,1455,3316,3128,7251,18375,25209,22267,19924,13207,7125,5570,3891,-1186,-9540,-17998,-20587,-18136,-14312,-18385,-9872,-12633,-13308,-1092,6260,2696,4874,713,-4398,-9919,-18163,-14579,-14310,-13439,-15095,-18399,-16875,-8920,-3395,-11254,-17409,-20887,-17481,-10102,1778,-8211,-12321,-9363,-1527,-247,-500,-6990,-14166,-17302,-14582,-18511,-15928,-12699,-11410,-16596,-20717,-22784,-27287,-19183,-7223,-5788,-15770,-24231,-17221,-13789,-15720,-15178,-8757,-3549,-6026,-4972,-11246,-30454,-44240,-44583,-55771,-52792,-54196,-51202,-52732,-52413,-46233,-19645,13751,59868,88361,97931,61014,36766,25710,11830,-2893,-14006,-5769,-6963,-15794,-22607,-28976,-37389,-21544,-11488,-8589,-7554,-1749,1442,-1709,-9591,-20932,-32349,-63000,-62041,-72455,-67707,-61608,-44385,-31235,-24258,-13351,-6620,-4968,-8759,-8293,-8459,-10722,-17488,-17267,-4986,13738,18278,9241,-18672,-33707,-18286,2446,3648,-5976,-9348,4056,16704,10884,1968,1020,8496,11748
"15",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","    Durable goods industries","IWTD0",4773,6764,5783,3515,3947,3810,5859,7057,5333,7267,6366,2367,4753,5788,7050,7780,10636,10410,7619,9211,7818,2769,-589,-152,8506,8100,7742,6383,3596,2336,-895,-2098,-1689,-2990,-4434,-6400,-6236,-7020,-6573,-2805,-891,-1486,15,1862,4608,7110,5605,7046,-7021,-2557,-1504,-2536,-674,256,128,2782,6338,11547,15567,14896,12286,9584,6847,5207,2540,-722,-4005,-5535,-7464,-6973,-10487,-15360,1107,1074,-5229,1000,6227,5491,6482,3323,-1360,-6655,-11526,-10787,-8306,-9662,-12239,-12751,-11262,-8488,-5779,-9964,-8467,-7149,-8364,-7273,357,-1109,-2552,-1507,3246,5113,7028,4915,898,-5959,-11829,-15472,-7153,-7988,-5623,-4831,-7114,-9643,-13669,-7909,-2178,-3201,3348,4837,-6255,-3909,-2225,-4618,-3812,-2769,-3778,-1346,-290,-2431,-7468,-10190,-15895,-17286,-22875,-26856,-29893,-28059,-22743,-15645,-2536,13361,27172,36905,26798,22479,19452,14550,11750,6707,3552,-2371,-7559,-9935,-11568,-14150,-6554,-6339,-5397,-6697,-6382,-2426,-366,197,-1317,-5986,-9976,-11357,-10841,-9938,-12192,-10767,-10449,-9844,-9873,-9913,-6987,-5268,-3001,-2202,-4850,-6691,-4708,-3318,-1851,2828,5713,6633,3465,-992,-3097,-4284,-3120,-1920,-540,2076,4572,5604,4668,2388,-276
"17","8","    Nondurable goods industries","IWTN0",-1316,-2199,1491,5131,5991,4489,2251,1620,1325,-576,-1547,-1707,2176,4584,5967,5154,2545,1204,1811,1992,1622,872,-687,-1305,-49,-9,-765,-2925,-2138,282,-426,-2167,-2038,-4120,-5944,-3617,-8918,-9973,-9286,-5352,-2700,-1732,-627,-1870,-4723,-5700,-5397,-1431,-2749,-2377,-3649,-3454,-1613,1200,3188,346,912,6829,9642,7371,7638,3623,278,363,1350,-464,-5535,-12463,-13123,-11163,-3825,-3025,-10979,-13707,-8080,-2092,34,-2795,-1608,-2609,-3038,-3264,-6637,-3792,-6004,-3777,-2856,-5648,-5613,-432,2384,-1290,-8942,-13737,-9117,-2829,1421,-7102,-9769,-7856,-4773,-5360,-7527,-11905,-15063,-11343,-2754,-3038,-8775,-4711,-5787,-11765,-13603,-13141,-13618,-11274,-5045,-2587,-19118,-29068,-10966,-9880,-13495,-10559,-4945,-780,-2248,-3626,-10956,-28022,-36772,-34393,-39876,-35506,-31321,-24346,-22839,-24354,-23490,-4000,16288,46507,61189,61025,34216,14287,6258,-2720,-14643,-20713,-9320,-4592,-8235,-12671,-17408,-23239,-14991,-5149,-3191,-857,4634,3868,-1343,-9788,-19614,-26363,-53024,-50684,-61614,-57770,-49416,-33619,-20785,-14413,-3478,3293,2020,-3492,-5292,-6257,-5872,-10797,-12558,-1669,15590,15449,3528,-25305,-37172,-17295,5543,7933,-2856,-7428,4596,14628,6312,-3636,-3648,6108,12024
"18",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Merchant wholesale industries","I42W0",1465,2597,5798,6930,7814,7362,6299,7141,6370,5766,4484,-228,5897,8656,10114,12070,12797,11230,9610,9246,7951,2501,-2896,-3282,7677,7359,6065,3350,1818,1874,-529,-2956,-3067,-6294,-9478,-8337,-12346,-12829,-11599,-7953,-4803,-2366,985,2116,1337,1494,1552,6178,-9134,-3794,-4793,-5055,-2335,711,2968,1652,5991,17247,22917,20659,14500,10411,6561,4898,3255,-1150,-8124,-16498,-16927,-14776,-8852,-8773,-7460,-12537,-10956,-756,6308,4868,2726,-739,-3462,-7759,-12607,-10055,-10122,-8615,-9515,-12675,-9171,-3172,-1259,-6466,-13893,-17707,-14697,-9574,3998,-4143,-6477,-4539,-3,2165,2560,-2010,-9066,-11170,-10154,-15343,-12196,-7791,-7126,-10524,-13493,-17312,-19715,-13099,-5807,-4072,-14126,-21063,-17401,-11965,-14340,-11998,-6189,-2505,-5438,-6964,-11378,-27514,-39200,-39411,-53731,-48856,-46828,-42178,-41488,-40629,-34569,-14917,8735,43020,62129,69479,53418,34162,26058,14242,287,-9650,-2505,-3003,-9614,-14855,-20396,-28185,-17656,-8884,-5325,-4518,-513,1034,-1817,-9159,-20056,-30957,-61452,-60685,-62567,-55503,-46524,-32913,-22919,-19986,-11239,-4736,-5340,-10655,-11677,-11663,-10938,-15484,-17471,-6906,10882,14342,8569,-16212,-28055,-12886,5278,7212,-4008,-4428,7104,15936,9048,1428,1500,8940,11892
"20","10","      Durable goods industries","I42WD0",3909,4712,4667,2375,2171,2886,3999,5437,4985,6187,5898,1479,4489,4960,4986,7468,10636,10446,8255,7591,6618,1953,-1801,-1364,8026,7596,6890,5855,3536,1316,-595,-1510,-1785,-2966,-4458,-5788,-5192,-4764,-4053,-3405,-2739,-1810,363,3050,5064,5850,5581,6662,-7177,-2017,-1432,-1768,-698,-668,80,2434,6182,11499,14715,14656,9550,8132,6151,3707,1856,-230,-4077,-6867,-7032,-7645,-9743,-11256,2067,-1266,-5361,-308,4991,6007,4334,1619,-1552,-5887,-7794,-8363,-5582,-6914,-8495,-9907,-6918,-5224,-5311,-7252,-8275,-7293,-7428,-8329,2013,955,172,1001,3426,6253,8036,7039,2242,-3907,-9549,-13408,-10069,-9284,-7099,-5959,-7918,-11995,-14185,-9169,-6066,-5421,-444,1465,-5259,-2409,-2417,-3238,-2624,-2841,-3586,-2690,-890,-2911,-7420,-9866,-16507,-16110,-19407,-23052,-25405,-23343,-19095,-12705,-2500,10685,21556,29909,23282,20199,17148,13026,10094,5591,1332,-3259,-7067,-8855,-10776,-13898,-6902,-5703,-4677,-4657,-4138,-1886,-378,-547,-2121,-6058,-9856,-11597,-5885,-5966,-7224,-8067,-8517,-9076,-9285,-8533,-7191,-5652,-3661,-2358,-3218,-4135,-4228,-2490,-759,2096,5125,5217,2805,-620,-2905,-3228,-2868,-1260,-84,1896,4116,5388,4680,2136,-600
"21","11","      Nondurable goods industries","I42WN0",-2444,-2115,1131,4555,5643,4477,2299,1704,1385,-420,-1415,-1707,1408,3696,5127,4602,2161,784,1355,1656,1334,548,-1095,-1917,-349,-237,-825,-2505,-1718,558,66,-1447,-1282,-3328,-5020,-2549,-7154,-8065,-7546,-4548,-2064,-556,621,-934,-3727,-4356,-4029,-483,-1957,-1777,-3361,-3286,-1637,1380,2888,-782,-192,5749,8202,6003,4950,2279,410,1191,1398,-920,-4047,-9631,-9895,-7131,891,2483,-9527,-11271,-5596,-448,1318,-1139,-1608,-2357,-1910,-1872,-4813,-1692,-4540,-1701,-1020,-2768,-2253,2052,4052,786,-5618,-10413,-7269,-1245,1985,-5098,-6649,-5540,-3429,-4088,-5475,-9049,-11307,-7263,-606,-1934,-2127,1493,-27,-4565,-5575,-5317,-5530,-3930,259,1349,-13682,-22528,-12142,-9556,-11923,-8759,-3565,336,-1852,-4274,-10488,-24602,-31780,-29545,-37224,-32746,-27421,-19126,-16083,-17286,-15474,-2212,11236,32335,40573,39569,30136,13963,8910,1216,-9807,-15241,-3836,256,-2547,-5999,-9620,-14287,-10755,-3181,-647,139,3626,2920,-1439,-8612,-17934,-24899,-51596,-49088,-56682,-49538,-39300,-24847,-14401,-10909,-1954,3797,1852,-5004,-8016,-9305,-7720,-11349,-13242,-4417,11642,12245,3444,-21429,-30860,-12267,8183,10441,-1140,-3168,7188,14040,4932,-3960,-3180,6804,12492
"22","12","    Nonmerchant wholesale industries","I42N0",1992,1968,1476,1716,2124,936,1812,1536,288,924,336,888,1032,1716,2904,864,384,384,-180,1956,1488,1140,1620,1824,780,732,912,108,-360,744,-792,-1308,-660,-816,-900,-1680,-2808,-4164,-4260,-204,1212,-852,-1596,-2124,-1452,-84,-1344,-564,-636,-1140,-360,-936,48,744,348,1476,1260,1128,2292,1608,5424,2796,564,672,636,-36,-1416,-1500,-3660,-3360,-5460,-9612,-2412,-96,-2352,-336,-48,-2172,2148,1452,-936,-2160,-5556,-4524,-4188,-4824,-5580,-5724,-7704,-5748,-2136,-4788,-3516,-3180,-2784,-528,-2220,-4068,-5844,-4824,-1524,-2412,-3060,-4980,-5100,-6132,-4428,-3168,-3732,-4908,-4284,-6072,-7224,-5472,-7572,-6084,-1416,-1716,-1644,-3168,180,-1824,-1380,-3180,-2568,-1044,-588,1992,132,-2940,-5040,-5172,-2040,-3936,-7368,-9024,-11244,-11784,-11664,-4728,5016,16848,26232,28452,7596,2604,-348,-2412,-3180,-4356,-3264,-3960,-6180,-7752,-8580,-9204,-3888,-2604,-3264,-3036,-1236,408,108,-432,-876,-1392,-1548,-1356,-9888,-12204,-15084,-11472,-8316,-4272,-2112,-1884,372,1896,3384,3204,216,-2004,204,1920,2856,3936,672,-2460,-5652,-5400,-2832,-3564,-1968,-4920,-3048,768,1836,540,-480,-444,-144
"23","13","      Durable goods industries","I42ND0",864,2052,1116,1140,1776,924,1860,1620,348,1080,468,888,264,828,2064,312,0,-36,-636,1620,1200,816,1212,1212,480,504,852,528,60,1020,-300,-588,96,-24,24,-612,-1044,-2256,-2520,600,1848,324,-348,-1188,-456,1260,24,384,156,-540,-72,-768,24,924,48,348,156,48,852,240,2736,1452,696,1500,684,-492,72,1332,-432,672,-744,-4104,-960,2340,132,1308,1236,-516,2148,1704,192,-768,-3732,-2424,-2724,-2748,-3744,-2844,-4344,-3264,-468,-2712,-192,144,-936,1056,-1656,-2064,-2724,-2508,-180,-1140,-1008,-2124,-1344,-2052,-2280,-2064,2916,1296,1476,1128,804,2352,516,1260,3888,2220,3792,3372,-996,-1500,192,-1380,-1188,72,-192,1344,600,480,-48,-324,612,-1176,-3468,-3804,-4488,-4716,-3648,-2940,-36,2676,5616,6996,3516,2280,2304,1524,1656,1116,2220,888,-492,-1080,-792,-252,348,-636,-720,-2040,-2244,-540,12,744,804,72,-120,240,-4956,-3972,-4968,-2700,-1932,-768,-588,-1380,204,384,660,156,-1632,-2556,-480,-828,-1092,732,588,1416,660,-372,-192,-1056,-252,-660,-456,180,456,216,-12,252,324
"24","14","      Nondurable goods industries","I42NN0",1128,-84,360,576,348,12,-48,-84,-60,-156,-132,0,768,888,840,552,384,420,456,336,288,324,408,612,300,228,60,-420,-420,-276,-492,-720,-756,-792,-924,-1068,-1764,-1908,-1740,-804,-636,-1176,-1248,-936,-996,-1344,-1368,-948,-792,-600,-288,-168,24,-180,300,1128,1104,1080,1440,1368,2688,1344,-132,-828,-48,456,-1488,-2832,-3228,-4032,-4716,-5508,-1452,-2436,-2484,-1644,-1284,-1656,0,-252,-1128,-1392,-1824,-2100,-1464,-2076,-1836,-2880,-3360,-2484,-1668,-2076,-3324,-3324,-1848,-1584,-564,-2004,-3120,-2316,-1344,-1272,-2052,-2856,-3756,-4080,-2148,-1104,-6648,-6204,-5760,-7200,-8028,-7824,-8088,-7344,-5304,-3936,-5436,-6540,1176,-324,-1572,-1800,-1380,-1116,-396,648,-468,-3420,-4992,-4848,-2652,-2760,-3900,-5220,-6756,-7068,-8016,-1788,5052,14172,20616,21456,4080,324,-2652,-3936,-4836,-5472,-5484,-4848,-5688,-6672,-7788,-8952,-4236,-1968,-2544,-996,1008,948,96,-1176,-1680,-1464,-1428,-1596,-4932,-8232,-10116,-8772,-6384,-3504,-1524,-504,168,1512,2724,3048,1848,552,684,2748,3948,3204,84,-3876,-6312,-5028,-2640,-2508,-1716,-4260,-2592,588,1380,324,-468,-696,-468
"25","15","Retail trade industries","I440",7360,7514,5455,3124,2926,4539,5224,4285,3107,2124,819,46,31,2583,3369,1810,173,-195,1240,4181,6126,4893,2952,1500,804,4710,4863,2674,2001,-7,-3574,-6889,-9602,-10409,-10600,-10000,3854,1435,519,1800,-2735,-7963,-3606,785,-1043,-5043,-6966,-6244,-1248,-1110,2281,-1854,-2357,3495,5420,1684,1080,6944,7053,3626,11055,7027,3094,3217,5343,4353,2893,3091,1817,3168,4222,8968,6476,-165,756,4616,4942,1521,-1819,-2361,-1593,1365,-925,381,3761,3987,1974,-4024,-8763,-8491,-6254,-5672,-8942,-12823,-16219,-10173,-7348,-10218,-9992,-6404,-3097,-4381,-6637,-8483,-8954,-1387,-1696,-491,-9231,-7298,-9035,-9953,-8159,-6414,-4828,-2989,2471,4213,-5024,-3180,-3877,-7278,-8933,-8662,-5093,-3307,-3257,-4445,-7950,-13268,-12237,-11989,-21375,-20125,-18048,-16686,-17434,-18892,-16370,-13135,-8076,4836,19799,21884,9270,6567,9063,6813,316,-3502,-3149,-4536,-5770,-8256,-12892,-16332,-10935,-8113,-5654,-5363,-4253,-4223,-5981,-8210,-9856,-10115,-9454,-8674,-15019,-15527,-16836,-18611,-18482,-17632,-16457,-14967,-14239,-11092,-7040,-4648,-6283,-5017,-5805,-6266,-6317,-7003,-8381,-10978,-9312,-1089,5477,4930,-156,-2616,468,3180,1128,-1932,-1584,-456,1140
"26","16","  Motor vehicle and parts dealers","I4410",-397,-260,-155,-138,357,1259,2182,2576,2056,1151,893,1265,2738,1988,1397,1159,952,537,-1,-458,-510,-912,-1437,-1338,-832,1834,2648,1528,-525,-1692,-1665,-1619,-2624,-3698,-3557,-2134,-632,132,553,45,-1667,-2686,-1396,-318,-668,-1898,-2021,-2238,-944,-2622,625,-1750,-2069,1695,2408,819,905,3897,2419,114,2311,1402,1569,2237,2396,1743,897,1188,1364,737,-135,1211,3106,933,-2443,-2716,726,3265,3153,2765,3201,4242,4263,3949,3277,2377,687,-1171,-2504,-2933,-2877,-2166,-2476,-3734,-4532,-4012,-3723,-2931,-2042,-1245,-1124,-1497,-2091,-2112,-2898,-1981,983,4272,1363,-253,-2516,-3875,-3807,-3593,-3166,-1819,229,-367,-725,-840,1409,1498,1693,1452,627,-427,-1595,-3125,-3529,-2477,-1842,-2445,-2150,-2323,-2245,-1756,-1283,-1092,-1049,-1667,-1595,-440,2023,3319,3176,2334,2291,2547,1681,38,-1331,-2050,-1500,-1843,-1925,-2039,-2257,-2493,-2333,-1791,-1429,-1493,-2269,-3083,-3355,-1806,353,1594,-335,-1873,-2793,-3822,-5230,-6593,-6802,-5662,-3549,-836,1411,2276,1700,1020,-84,-1703,-3422,-4402,-4420,-3863,-1709,1316,3717,4134,2220,1224,696,756,1056,1260,1608,1512,1008
"27","17","  Food and beverage stores","I4450",275,277,464,342,350,-68,-338,-108,40,48,152,79,-847,-717,-537,-549,-331,3,163,86,216,364,702,1248,-937,-161,836,1084,566,-42,-27,-398,-1658,-1904,-954,-425,625,445,73,-415,-604,-271,371,566,150,-584,-667,-272,-1755,-1650,-1444,-990,-573,-535,-501,-208,-245,-431,-194,48,1667,1892,1837,1903,1918,1472,736,471,576,646,439,603,-1769,-1784,-1477,-1232,-1288,-1037,-546,-329,-482,-481,106,874,-602,-148,-479,-1292,-1645,-835,213,276,-504,-1166,-1016,-85,727,-143,-808,-904,-479,144,548,237,-498,-1158,-1622,-2009,-384,145,399,72,-323,-231,-279,-659,-537,73,758,928,-1080,-1502,-1456,-950,220,933,765,242,-554,-1334,-1620,-1513,-1611,-1344,-1083,-1080,-1299,-1904,-2376,-2188,-1630,-882,-79,704,1338,755,106,-369,-541,-526,-487,-400,-415,-645,-807,-435,-2304,-1579,-1556,-1508,-244,819,744,-88,-891,-1393,-1747,-2078,-4656,-4231,-3052,-1114,-322,-706,-1370,-1410,-1126,-819,-572,-398,-882,-714,-872,-1136,-1136,-982,-843,-794,-706,-288,200,496,-780,-432,-168,-84,-264,-672,-780,-636,-96
"28","18","  General merchandise stores","I4520",2666,3127,1481,-47,-96,866,983,-137,-573,-1187,-2467,-3945,-2734,-1836,-857,-370,-239,-237,-252,74,793,1341,1260,885,779,981,1391,1859,1613,847,134,-432,-1054,-1389,-1570,-1684,69,589,1164,1525,948,-12,-94,189,387,324,-142,-195,-1519,-1095,-610,-215,132,437,828,1180,1300,1009,518,14,3128,2147,642,-260,-481,-473,-159,-289,-666,-495,490,2032,1286,1184,1270,1312,1183,848,498,188,-324,-1033,-1394,-1227,729,739,430,-138,-615,-634,-240,152,339,246,0,-325,-2276,-1566,-1111,-865,-651,-554,-351,90,525,911,1150,1555,1396,1144,1207,988,630,160,-512,-992,-1252,-1600,-2064,-2673,-2425,-1951,-1620,-1362,-1069,-733,-382,-29,308,605,909,1437,-5809,-4924,-4184,-3395,-2631,-1480,-176,394,646,1167,1477,1553,-5,43,-58,70,129,51,30,-1,175,551,-751,-2516,-2010,-1908,-1758,-1625,-1693,-1724,-1469,-1369,-1372,-1795,-2195,-2323,-144,-756,-1572,-2590,-2711,-2546,-2507,-2720,-2925,-2650,-2131,-1839,-1147,304,-88,-939,-1585,-1820,-1296,-1227,-1171,-152,411,-673,-36,36,72,132,-36,-300,-324,-24,288
"29","19","  Other retail stores","I44Y0",4816,4370,3664,2968,2314,2482,2398,1954,1585,2112,2241,2648,875,3148,3365,1569,-209,-499,1329,4479,5627,4100,2427,705,1794,2055,-13,-1797,346,880,-2016,-4439,-4266,-3419,-4519,-5757,3793,269,-1272,645,-1412,-4994,-2486,348,-912,-2885,-4137,-3539,2971,4256,3710,1100,153,1898,2685,-107,-881,2469,4310,3450,3949,1586,-953,-663,1509,1611,1420,1721,543,2279,3428,5122,3853,-498,3406,7251,4320,-1556,-4924,-4984,-3988,-1362,-3900,-3215,357,1019,1337,-1423,-3999,-4089,-3349,-3934,-6301,-8169,-10672,-5752,-2076,-5578,-6031,-3389,-843,-2474,-4742,-6698,-6082,842,-2207,-4309,-11606,-8334,-8125,-7138,-4658,-2750,-871,480,4031,6107,-2993,-595,-1783,-5323,-7550,-7802,-4872,-3081,-2045,-1533,-4175,-10062,-9684,-9468,-11804,-11534,-10536,-10453,-12221,-14417,-12769,-9674,-5497,4991,16378,16307,4761,3435,6724,4564,-952,-3065,-1361,-2086,-4029,-6319,-9409,-11341,-4365,-2133,-8,-439,-887,-1826,-2987,-3671,-4239,-5121,-5864,-5867,-9884,-8666,-9419,-11084,-10219,-7787,-5777,-5174,-6638,-6787,-5748,-4687,-5954,-5627,-4761,-2488,-174,201,-1822,-5093,-5726,-1966,1149,973,-1560,-3444,-132,2376,372,-2220,-2088,-1308,-60
